# _root_ Federal National Mortgage Association , a recently hot stock , climbed 4 to 124 on nearly 1.6 million shares .
#goldHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
#predictedHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
(9,18),-1.76526 # DEPENDENCYPART_ARC
(9,19),-1.13748 # DEPENDENCYPART_ARC
(9,20),0.354809 # DEPENDENCYPART_ARC
(10,1),-2.24118 # DEPENDENCYPART_ARC
(10,2),-2.16695 # DEPENDENCYPART_ARC
(10,3),-2.02225 # DEPENDENCYPART_ARC
(10,4),-1.93726 # DEPENDENCYPART_ARC
(10,5),-0.315609 # DEPENDENCYPART_ARC
(10,6),-0.962805 # DEPENDENCYPART_ARC
(10,7),-1.47884 # DEPENDENCYPART_ARC
(10,8),-1.24396 # DEPENDENCYPART_ARC
(10,9),-0.955755 # DEPENDENCYPART_ARC
(10,11),-0.2407 # DEPENDENCYPART_ARC
(10,12),-1.30432 # DEPENDENCYPART_ARC
(10,13),-1.57163 # DEPENDENCYPART_ARC
(10,14),-2.11468 # DEPENDENCYPART_ARC
(10,15),-1.90274 # DEPENDENCYPART_ARC
(10,16),-2.1777 # DEPENDENCYPART_ARC
(10,17),-2.75445 # DEPENDENCYPART_ARC
(10,18),-2.89432 # DEPENDENCYPART_ARC
(10,19),-2.77984 # DEPENDENCYPART_ARC
(10,20),-2.01046 # DEPENDENCYPART_ARC
(11,1),1.55148 # DEPENDENCYPART_ARC
(11,2),1.12052 # DEPENDENCYPART_ARC
(11,3),1.17807 # DEPENDENCYPART_ARC
(11,4),1.76711 # DEPENDENCYPART_ARC
(11,5),1.62111 # DEPENDENCYPART_ARC
(11,6),0.359867 # DEPENDENCYPART_ARC
(11,7),0.901429 # DEPENDENCYPART_ARC
(11,8),0.797969 # DEPENDENCYPART_ARC
(11,9),1.4416 # DEPENDENCYPART_ARC
(11,10),1.74695 # DEPENDENCYPART_ARC
(11,12),3.15048 # DEPENDENCYPART_ARC
(11,13),3.93424 # DEPENDENCYPART_ARC
(11,14),1.25858 # DEPENDENCYPART_ARC
(11,15),3.22167 # DEPENDENCYPART_ARC
(11,16),0.549817 # DEPENDENCYPART_ARC
(11,17),-0.0192194 # DEPENDENCYPART_ARC
(11,18),0.406397 # DEPENDENCYPART_ARC
(11,19),1.33618 # DEPENDENCYPART_ARC
(11,20),5.95491 # DEPENDENCYPART_ARC
(12,1),-2.14011 # DEPENDENCYPART_ARC
(12,2),-1.83723 # DEPENDENCYPART_ARC
(12,3),-1.73126 # DEPENDENCYPART_ARC
(12,4),-1.67297 # DEPENDENCYPART_ARC
(12,5),-1.35314 # DEPENDENCYPART_ARC
(12,6),0.0529892 # DEPENDENCYPART_ARC
(12,7),-0.581462 # DEPENDENCYPART_ARC
(12,8),-0.147694 # DEPENDENCYPART_ARC
(12,9),-0.890353 # DEPENDENCYPART_ARC
(12,10),-0.0228923 # DEPENDENCYPART_ARC
(12,11),0.47892 # DEPENDENCYPART_ARC
(12,13),2.08456 # DEPENDENCYPART_ARC
(12,14),1.08129 # DEPENDENCYPART_ARC
(12,15),0.982465 # DEPENDENCYPART_ARC
(12,16),0.497131 # DEPENDENCYPART_ARC
(12,17),0.230019 # DEPENDENCYPART_ARC
(12,18),0.368287 # DEPENDENCYPART_ARC
(12,19),-0.134384 # DEPENDENCYPART_ARC
(12,20),0.565889 # DEPENDENCYPART_ARC
(13,1),-0.986823 # DEPENDENCYPART_ARC
(13,2),-1.0502 # DEPENDENCYPART_ARC
(13,3),-0.680998 # DEPENDENCYPART_ARC
(13,4),-0.711153 # DEPENDENCYPART_ARC
(13,5),-0.338258 # DEPENDENCYPART_ARC
(13,6),-0.320619 # DEPENDENCYPART_ARC
(13,7),-1.0583 # DEPENDENCYPART_ARC
(13,8),-0.235359 # DEPENDENCYPART_ARC
(13,9),-0.652425 # DEPENDENCYPART_ARC
(13,10),0.409453 # DEPENDENCYPART_ARC
(13,11),0.20281 # DEPENDENCYPART_ARC
(13,12),1.40669 # DEPENDENCYPART_ARC
(13,14),2.97294 # DEPENDENCYPART_ARC
(13,15),0.694949 # DEPENDENCYPART_ARC
(13,16),0.0678105 # DEPENDENCYPART_ARC
(13,17),0.27592 # DEPENDENCYPART_ARC
(13,18),0.308774 # DEPENDENCYPART_ARC
(13,19),-0.623462 # DEPENDENCYPART_ARC
(13,20),-0.170494 # DEPENDENCYPART_ARC
(14,1),-1.38658 # DEPENDENCYPART_ARC
(14,2),-1.32098 # DEPENDENCYPART_ARC
(14,3),-1.19819 # DEPENDENCYPART_ARC
(14,4),-0.936337 # DEPENDENCYPART_ARC
(14,5),-0.345958 # DEPENDENCYPART_ARC
(14,6),1.11891 # DEPENDENCYPART_ARC
(14,7),0.0888091 # DEPENDENCYPART_ARC
(14,8),0.42379 # DEPENDENCYPART_ARC
(14,9),-0.329004 # DEPENDENCYPART_ARC
(14,10),0.609335 # DEPENDENCYPART_ARC
(14,11),0.412119 # DEPENDENCYPART_ARC
(14,12),1.77224 # DEPENDENCYPART_ARC
(14,13),2.95352 # DEPENDENCYPART_ARC
(14,15),1.25928 # DEPENDENCYPART_ARC
(14,16),0.721705 # DEPENDENCYPART_ARC
(14,17),0.424402 # DEPENDENCYPART_ARC
(14,18),0.319122 # DEPENDENCYPART_ARC
(14,19),0.03711 # DEPENDENCYPART_ARC
(14,20),0.584276 # DEPENDENCYPART_ARC
(15,1),-1.93226 # DEPENDENCYPART_ARC
(15,2),-2.01368 # DEPENDENCYPART_ARC
(15,3),-2.03552 # DEPENDENCYPART_ARC
(15,4),-2.13531 # DEPENDENCYPART_ARC
(15,5),-1.64947 # DEPENDENCYPART_ARC
(15,6),-1.05513 # DEPENDENCYPART_ARC
(15,7),-1.41735 # DEPENDENCYPART_ARC
(15,8),-0.88196 # DEPENDENCYPART_ARC
(15,9),-1.81661 # DEPENDENCYPART_ARC
(15,10),-1.02228 # DEPENDENCYPART_ARC
(15,11),-0.829582 # DEPENDENCYPART_ARC
(15,12),-0.253471 # DEPENDENCYPART_ARC
(15,13),-0.114165 # DEPENDENCYPART_ARC
(15,14),0.0819702 # DEPENDENCYPART_ARC
(15,16),1.51678 # DEPENDENCYPART_ARC
(15,17),2.21085 # DEPENDENCYPART_ARC
(15,18),1.12639 # DEPENDENCYPART_ARC
(15,19),3.47601 # DEPENDENCYPART_ARC
(15,20),-0.172337 # DEPENDENCYPART_ARC
(16,1),-2.83291 # DEPENDENCYPART_ARC
(16,2),-2.8234 # DEPENDENCYPART_ARC
(16,3),-2.66251 # DEPENDENCYPART_ARC
(16,4),-2.54522 # DEPENDENCYPART_ARC
(16,5),-2.00372 # DEPENDENCYPART_ARC
(16,6),-0.855055 # DEPENDENCYPART_ARC
(16,7),-1.05736 # DEPENDENCYPART_ARC
(16,8),-1.40281 # DEPENDENCYPART_ARC
(16,9),-2.19611 # DEPENDENCYPART_ARC
(16,10),-1.44921 # DEPENDENCYPART_ARC
(16,11),-1.72212 # DEPENDENCYPART_ARC
(16,12),-0.936852 # DEPENDENCYPART_ARC
(16,13),-0.787824 # DEPENDENCYPART_ARC
(16,14),-0.554744 # DEPENDENCYPART_ARC
(16,15),0.678277 # DEPENDENCYPART_ARC
(16,17),4.63116 # DEPENDENCYPART_ARC
(16,18),5.55766 # DEPENDENCYPART_ARC
(16,19),1.04358 # DEPENDENCYPART_ARC
(16,20),0.657844 # DEPENDENCYPART_ARC
(17,1),-3.61233 # DEPENDENCYPART_ARC
(17,2),-3.51595 # DEPENDENCYPART_ARC
(17,3),-3.41432 # DEPENDENCYPART_ARC
(17,4),-3.28695 # DEPENDENCYPART_ARC
(17,5),-2.44667 # DEPENDENCYPART_ARC
(17,6),-1.50995 # DEPENDENCYPART_ARC
(17,7),-2.11609 # DEPENDENCYPART_ARC
(17,8),-1.99064 # DEPENDENCYPART_ARC
(17,9),-2.94594 # DEPENDENCYPART_ARC
(17,10),-1.9698 # DEPENDENCYPART_ARC
(17,11),-2.16354 # DEPENDENCYPART_ARC
(17,12),-1.43794 # DEPENDENCYPART_ARC
(17,13),-1.26444 # DEPENDENCYPART_ARC
(17,14),-0.882344 # DEPENDENCYPART_ARC
(17,15),-0.520418 # DEPENDENCYPART_ARC
(17,16),0.924529 # DEPENDENCYPART_ARC
(17,18),1.3094 # DEPENDENCYPART_ARC
(17,19),0.178866 # DEPENDENCYPART_ARC
(17,20),-0.285056 # DEPENDENCYPART_ARC
(18,1),-2.2422 # DEPENDENCYPART_ARC
(18,2),-2.1564 # DEPENDENCYPART_ARC
(18,3),-2.03717 # DEPENDENCYPART_ARC
(18,4),-2.00542 # DEPENDENCYPART_ARC
(18,5),-1.14746 # DEPENDENCYPART_ARC
(18,6),-0.418773 # DEPENDENCYPART_ARC
(18,7),-0.812356 # DEPENDENCYPART_ARC
(18,8),-0.671587 # DEPENDENCYPART_ARC
(18,9),-1.83393 # DEPENDENCYPART_ARC
(18,10),-0.757907 # DEPENDENCYPART_ARC
(18,11),-0.79807 # DEPENDENCYPART_ARC
(18,12),0.804026 # DEPENDENCYPART_ARC
(18,13),1.01813 # DEPENDENCYPART_ARC
(18,14),0.752146 # DEPENDENCYPART_ARC
(18,15),0.86607 # DEPENDENCYPART_ARC
(18,16),1.3937 # DEPENDENCYPART_ARC
(18,17),3.28595 # DEPENDENCYPART_ARC
(18,19),0.133686 # DEPENDENCYPART_ARC
(18,20),-1.0115 # DEPENDENCYPART_ARC
(19,1),-2.83269 # DEPENDENCYPART_ARC
(19,2),-3.00075 # DEPENDENCYPART_ARC
(19,3),-3.46144 # DEPENDENCYPART_ARC
(19,4),-4.16329 # DEPENDENCYPART_ARC
(19,5),-1.37923 # DEPENDENCYPART_ARC
(19,6),-0.508057 # DEPENDENCYPART_ARC
(19,7),-1.19992 # DEPENDENCYPART_ARC
(19,8),-0.248585 # DEPENDENCYPART_ARC
(19,9),-2.47618 # DEPENDENCYPART_ARC
(19,10),-1.19226 # DEPENDENCYPART_ARC
(19,11),-0.45525 # DEPENDENCYPART_ARC
(19,12),-0.26169 # DEPENDENCYPART_ARC
(19,13),0.233099 # DEPENDENCYPART_ARC
(19,14),0.308318 # DEPENDENCYPART_ARC
(19,15),0.889266 # DEPENDENCYPART_ARC
(19,16),3.52101 # DEPENDENCYPART_ARC
(19,17),2.11731 # DEPENDENCYPART_ARC
(19,18),3.55147 # DEPENDENCYPART_ARC
(19,20),0.348398 # DEPENDENCYPART_ARC
(20,1),-2.39031 # DEPENDENCYPART_ARC
(20,2),-2.45856 # DEPENDENCYPART_ARC
(20,3),-2.45317 # DEPENDENCYPART_ARC
(20,4),-2.57021 # DEPENDENCYPART_ARC
(20,5),-1.12699 # DEPENDENCYPART_ARC
(20,6),-2.04369 # DEPENDENCYPART_ARC
(20,7),-1.92413 # DEPENDENCYPART_ARC
(20,8),-2.05151 # DEPENDENCYPART_ARC
(20,9),-2.12405 # DEPENDENCYPART_ARC
(20,10),-1.16758 # DEPENDENCYPART_ARC
(20,11),-1.11416 # DEPENDENCYPART_ARC
(20,12),-1.83549 # DEPENDENCYPART_ARC
(20,13),-1.30798 # DEPENDENCYPART_ARC
(20,14),-1.56941 # DEPENDENCYPART_ARC
(20,15),-1.44758 # DEPENDENCYPART_ARC
(20,16),-1.18295 # DEPENDENCYPART_ARC
(20,17),-1.08716 # DEPENDENCYPART_ARC
(20,18),-1.51107 # DEPENDENCYPART_ARC
(20,19),-1.51165 # DEPENDENCYPART_ARC
