# _root_ Says James Norman , the mayor of Ava , Mo. : `` I do n't invest in stocks .
#goldHeads=0,3,1,3,6,3,6,7,8,8,1,14,14,1,14,14,16,17,1,
#predictedHeads=0,3,1,3,6,3,6,7,8,8,1,1,14,1,14,14,16,17,1,
(16,4),0.0805261 # DEPENDENCYPART_ARC
(16,5),-0.529499 # DEPENDENCYPART_ARC
(16,6),-0.644646 # DEPENDENCYPART_ARC
(16,7),-0.178583 # DEPENDENCYPART_ARC
(16,8),-0.462277 # DEPENDENCYPART_ARC
(16,9),0.18691 # DEPENDENCYPART_ARC
(16,10),-0.239589 # DEPENDENCYPART_ARC
(16,11),-0.208393 # DEPENDENCYPART_ARC
(16,12),0.29755 # DEPENDENCYPART_ARC
(16,13),0.658175 # DEPENDENCYPART_ARC
(16,14),0.272788 # DEPENDENCYPART_ARC
(16,15),1.28087 # DEPENDENCYPART_ARC
(16,17),3.98333 # DEPENDENCYPART_ARC
(16,18),1.2319 # DEPENDENCYPART_ARC
(16,19),1.88114 # DEPENDENCYPART_ARC
(17,1),-2.0809 # DEPENDENCYPART_ARC
(17,2),-2.33261 # DEPENDENCYPART_ARC
(17,3),-2.44342 # DEPENDENCYPART_ARC
(17,4),-1.39747 # DEPENDENCYPART_ARC
(17,5),-1.54692 # DEPENDENCYPART_ARC
(17,6),-1.90945 # DEPENDENCYPART_ARC
(17,7),-1.00265 # DEPENDENCYPART_ARC
(17,8),-1.38819 # DEPENDENCYPART_ARC
(17,9),-0.719517 # DEPENDENCYPART_ARC
(17,10),-1.16468 # DEPENDENCYPART_ARC
(17,11),-0.0541172 # DEPENDENCYPART_ARC
(17,12),-0.403544 # DEPENDENCYPART_ARC
(17,13),-0.827111 # DEPENDENCYPART_ARC
(17,14),-0.737657 # DEPENDENCYPART_ARC
(17,15),0.13601 # DEPENDENCYPART_ARC
(17,16),0.869024 # DEPENDENCYPART_ARC
(17,18),4.08278 # DEPENDENCYPART_ARC
(17,19),-0.429914 # DEPENDENCYPART_ARC
(18,1),-3.02007 # DEPENDENCYPART_ARC
(18,2),-5.00514 # DEPENDENCYPART_ARC
(18,3),-6.04464 # DEPENDENCYPART_ARC
(18,4),-2.52335 # DEPENDENCYPART_ARC
(18,5),-2.75482 # DEPENDENCYPART_ARC
(18,6),-4.26935 # DEPENDENCYPART_ARC
(18,7),-1.93148 # DEPENDENCYPART_ARC
(18,8),-3.31098 # DEPENDENCYPART_ARC
(18,9),-2.12799 # DEPENDENCYPART_ARC
(18,10),-2.99041 # DEPENDENCYPART_ARC
(18,11),-1.75137 # DEPENDENCYPART_ARC
(18,12),-1.14899 # DEPENDENCYPART_ARC
(18,13),-1.25883 # DEPENDENCYPART_ARC
(18,14),-1.46686 # DEPENDENCYPART_ARC
(18,15),-0.818566 # DEPENDENCYPART_ARC
(18,16),-0.309007 # DEPENDENCYPART_ARC
(18,17),0.2379 # DEPENDENCYPART_ARC
(18,19),0.167334 # DEPENDENCYPART_ARC
(19,1),-2.01187 # DEPENDENCYPART_ARC
(19,2),-2.53316 # DEPENDENCYPART_ARC
(19,3),-2.6596 # DEPENDENCYPART_ARC
(19,4),-1.0503 # DEPENDENCYPART_ARC
(19,5),-2.05334 # DEPENDENCYPART_ARC
(19,6),-2.09039 # DEPENDENCYPART_ARC
(19,7),-1.84944 # DEPENDENCYPART_ARC
(19,8),-2.21965 # DEPENDENCYPART_ARC
(19,9),-0.987828 # DEPENDENCYPART_ARC
(19,10),-2.04171 # DEPENDENCYPART_ARC
(19,11),-0.527125 # DEPENDENCYPART_ARC
(19,12),-1.25774 # DEPENDENCYPART_ARC
(19,13),-1.13876 # DEPENDENCYPART_ARC
(19,14),-1.91614 # DEPENDENCYPART_ARC
(19,15),-1.33427 # DEPENDENCYPART_ARC
(19,16),-1.14891 # DEPENDENCYPART_ARC
(19,17),-1.41426 # DEPENDENCYPART_ARC
(19,18),-1.58301 # DEPENDENCYPART_ARC
