# _root_ The decline in the German Stock Index of 203.56 points , or 12.8 % , to 1385.72 was the Frankfurt market 's steepest fall ever .
#goldHeads=2,18,2,7,7,7,3,2,10,8,10,10,14,12,10,2,16,0,21,21,24,21,24,18,24,18,
#predictedHeads=2,18,2,7,7,7,3,7,10,8,10,10,14,12,18,2,16,0,21,21,24,21,24,18,24,18,
(4,12),-1.51803 # DEPENDENCYPART_ARC
(4,13),-1.97014 # DEPENDENCYPART_ARC
(4,14),-2.23399 # DEPENDENCYPART_ARC
(4,15),-1.50686 # DEPENDENCYPART_ARC
(4,16),-2.21962 # DEPENDENCYPART_ARC
(4,17),-2.69122 # DEPENDENCYPART_ARC
(4,18),-3.29536 # DEPENDENCYPART_ARC
(4,19),-3.55355 # DEPENDENCYPART_ARC
(4,20),-3.39454 # DEPENDENCYPART_ARC
(4,21),-2.99903 # DEPENDENCYPART_ARC
(4,22),-3.74401 # DEPENDENCYPART_ARC
(4,23),-3.93298 # DEPENDENCYPART_ARC
(4,24),-3.29192 # DEPENDENCYPART_ARC
(4,25),-3.54281 # DEPENDENCYPART_ARC
(4,26),-2.84177 # DEPENDENCYPART_ARC
(5,1),0.404881 # DEPENDENCYPART_ARC
(5,2),0.111974 # DEPENDENCYPART_ARC
(5,3),0.58086 # DEPENDENCYPART_ARC
(5,4),1.83272 # DEPENDENCYPART_ARC
(5,6),1.4278 # DEPENDENCYPART_ARC
(5,7),0.909118 # DEPENDENCYPART_ARC
(5,8),0.910663 # DEPENDENCYPART_ARC
(5,9),0.160833 # DEPENDENCYPART_ARC
(5,10),0.343171 # DEPENDENCYPART_ARC
(5,11),0.675544 # DEPENDENCYPART_ARC
(5,12),0.425394 # DEPENDENCYPART_ARC
(5,13),-1.08382 # DEPENDENCYPART_ARC
(5,14),-0.585494 # DEPENDENCYPART_ARC
(5,15),0.354779 # DEPENDENCYPART_ARC
(5,16),-0.631201 # DEPENDENCYPART_ARC
(5,17),-1.68955 # DEPENDENCYPART_ARC
(5,18),-0.514406 # DEPENDENCYPART_ARC
(5,19),-1.92272 # DEPENDENCYPART_ARC
(5,20),-1.53201 # DEPENDENCYPART_ARC
(5,21),-1.45187 # DEPENDENCYPART_ARC
(5,22),-1.16669 # DEPENDENCYPART_ARC
(5,23),-1.54506 # DEPENDENCYPART_ARC
(5,24),-1.8799 # DEPENDENCYPART_ARC
(5,25),-1.70448 # DEPENDENCYPART_ARC
(5,26),-0.094225 # DEPENDENCYPART_ARC
(6,1),-0.398194 # DEPENDENCYPART_ARC
(6,2),-1.80205 # DEPENDENCYPART_ARC
(6,3),-1.3681 # DEPENDENCYPART_ARC
(6,4),2.0008 # DEPENDENCYPART_ARC
(6,5),1.38845 # DEPENDENCYPART_ARC
(6,7),1.01501 # DEPENDENCYPART_ARC
(6,8),0.370752 # DEPENDENCYPART_ARC
(6,9),-0.740056 # DEPENDENCYPART_ARC
(6,10),-0.871151 # DEPENDENCYPART_ARC
(6,11),-0.364506 # DEPENDENCYPART_ARC
(6,12),-1.17832 # DEPENDENCYPART_ARC
(6,13),-2.17609 # DEPENDENCYPART_ARC
(6,14),-1.69453 # DEPENDENCYPART_ARC
(6,15),-0.358568 # DEPENDENCYPART_ARC
(6,16),-2.36514 # DEPENDENCYPART_ARC
(6,17),-2.54241 # DEPENDENCYPART_ARC
(6,18),-1.45797 # DEPENDENCYPART_ARC
(6,19),-2.28035 # DEPENDENCYPART_ARC
(6,20),-3.40766 # DEPENDENCYPART_ARC
(6,21),-3.89967 # DEPENDENCYPART_ARC
(6,22),-2.79831 # DEPENDENCYPART_ARC
(6,23),-2.61432 # DEPENDENCYPART_ARC
(6,24),-4.5399 # DEPENDENCYPART_ARC
(6,25),-2.83184 # DEPENDENCYPART_ARC
(6,26),-1.11944 # DEPENDENCYPART_ARC
(7,1),1.38824 # DEPENDENCYPART_ARC
(7,2),-0.0530642 # DEPENDENCYPART_ARC
(7,3),0.529718 # DEPENDENCYPART_ARC
(7,4),4.45114 # DEPENDENCYPART_ARC
(7,5),3.97044 # DEPENDENCYPART_ARC
(7,6),4.79529 # DEPENDENCYPART_ARC
(7,8),1.57331 # DEPENDENCYPART_ARC
(7,9),0.267413 # DEPENDENCYPART_ARC
(7,10),0.324479 # DEPENDENCYPART_ARC
(7,11),0.656121 # DEPENDENCYPART_ARC
(7,12),0.103437 # DEPENDENCYPART_ARC
(7,13),-1.44282 # DEPENDENCYPART_ARC
(7,14),-0.102599 # DEPENDENCYPART_ARC
(7,15),0.0304639 # DEPENDENCYPART_ARC
(7,16),-1.32962 # DEPENDENCYPART_ARC
(7,17),-1.72971 # DEPENDENCYPART_ARC
(7,18),-0.297043 # DEPENDENCYPART_ARC
(7,19),-1.55472 # DEPENDENCYPART_ARC
(7,20),-2.5663 # DEPENDENCYPART_ARC
(7,21),-2.47169 # DEPENDENCYPART_ARC
(7,22),-1.21758 # DEPENDENCYPART_ARC
(7,23),-1.57796 # DEPENDENCYPART_ARC
(7,24),-3.01152 # DEPENDENCYPART_ARC
(7,25),-1.86107 # DEPENDENCYPART_ARC
(7,26),-0.373573 # DEPENDENCYPART_ARC
(8,1),-1.42251 # DEPENDENCYPART_ARC
(8,2),-1.26983 # DEPENDENCYPART_ARC
(8,3),-1.18912 # DEPENDENCYPART_ARC
(8,4),-0.845792 # DEPENDENCYPART_ARC
(8,5),-0.784368 # DEPENDENCYPART_ARC
(8,6),-0.385998 # DEPENDENCYPART_ARC
(8,7),-0.0816436 # DEPENDENCYPART_ARC
(8,9),1.51266 # DEPENDENCYPART_ARC
(8,10),3.35417 # DEPENDENCYPART_ARC
(8,11),1.04504 # DEPENDENCYPART_ARC
(8,12),-0.810562 # DEPENDENCYPART_ARC
(8,13),-0.632625 # DEPENDENCYPART_ARC
(8,14),-0.643559 # DEPENDENCYPART_ARC
(8,15),0.242483 # DEPENDENCYPART_ARC
(8,16),-2.42153 # DEPENDENCYPART_ARC
(8,17),-0.463699 # DEPENDENCYPART_ARC
(8,18),-0.694741 # DEPENDENCYPART_ARC
(8,19),-3.22086 # DEPENDENCYPART_ARC
(8,20),-4.98346 # DEPENDENCYPART_ARC
(8,21),-3.83566 # DEPENDENCYPART_ARC
(8,22),-2.17745 # DEPENDENCYPART_ARC
(8,23),-2.05102 # DEPENDENCYPART_ARC
(8,24),-4.20649 # DEPENDENCYPART_ARC
(8,25),-1.37187 # DEPENDENCYPART_ARC
(8,26),0.382369 # DEPENDENCYPART_ARC
(9,1),-0.669352 # DEPENDENCYPART_ARC
(9,2),-1.80285 # DEPENDENCYPART_ARC
(9,3),-1.94725 # DEPENDENCYPART_ARC
(9,4),0.254022 # DEPENDENCYPART_ARC
(9,5),-0.19844 # DEPENDENCYPART_ARC
(9,6),-0.256848 # DEPENDENCYPART_ARC
(9,7),0.183098 # DEPENDENCYPART_ARC
(9,8),1.47307 # DEPENDENCYPART_ARC
(9,10),0.0978952 # DEPENDENCYPART_ARC
(9,11),-0.387794 # DEPENDENCYPART_ARC
(9,12),0.194685 # DEPENDENCYPART_ARC
(9,13),-1.28203 # DEPENDENCYPART_ARC
(9,14),-1.30131 # DEPENDENCYPART_ARC
(9,15),0.0974378 # DEPENDENCYPART_ARC
(9,16),-1.24812 # DEPENDENCYPART_ARC
(9,17),-1.65788 # DEPENDENCYPART_ARC
(9,18),-1.36472 # DEPENDENCYPART_ARC
(9,19),-1.93711 # DEPENDENCYPART_ARC
(9,20),-2.01978 # DEPENDENCYPART_ARC
(9,21),-2.36812 # DEPENDENCYPART_ARC
(9,22),-1.3707 # DEPENDENCYPART_ARC
(9,23),-2.55962 # DEPENDENCYPART_ARC
(9,24),-2.50911 # DEPENDENCYPART_ARC
(9,25),-2.19533 # DEPENDENCYPART_ARC
(9,26),-1.4674 # DEPENDENCYPART_ARC
(10,1),-0.878023 # DEPENDENCYPART_ARC
(10,2),-1.16059 # DEPENDENCYPART_ARC
(10,3),-0.569773 # DEPENDENCYPART_ARC
(10,4),1.90723 # DEPENDENCYPART_ARC
(10,5),1.89997 # DEPENDENCYPART_ARC
(10,6),1.39002 # DEPENDENCYPART_ARC
(10,7),0.706938 # DEPENDENCYPART_ARC
(10,8),1.73883 # DEPENDENCYPART_ARC
(10,9),4.32055 # DEPENDENCYPART_ARC
(10,11),2.88113 # DEPENDENCYPART_ARC
(10,12),2.73294 # DEPENDENCYPART_ARC
(10,13),0.243698 # DEPENDENCYPART_ARC
(10,14),0.493201 # DEPENDENCYPART_ARC
(10,15),2.36591 # DEPENDENCYPART_ARC
(10,16),-0.331307 # DEPENDENCYPART_ARC
(10,17),-0.285296 # DEPENDENCYPART_ARC
(10,18),-0.510725 # DEPENDENCYPART_ARC
(10,19),-0.216991 # DEPENDENCYPART_ARC
(10,20),-0.463314 # DEPENDENCYPART_ARC
(10,21),-0.206773 # DEPENDENCYPART_ARC
(10,22),-0.572404 # DEPENDENCYPART_ARC
(10,23),-0.969831 # DEPENDENCYPART_ARC
(10,24),-0.33722 # DEPENDENCYPART_ARC
(10,25),-1.5326 # DEPENDENCYPART_ARC
(10,26),1.05469 # DEPENDENCYPART_ARC
(11,1),-1.25295 # DEPENDENCYPART_ARC
(11,2),-1.23701 # DEPENDENCYPART_ARC
(11,3),-1.43712 # DEPENDENCYPART_ARC
(11,4),-0.941075 # DEPENDENCYPART_ARC
(11,5),-1.25495 # DEPENDENCYPART_ARC
(11,6),-1.55341 # DEPENDENCYPART_ARC
(11,7),-1.34076 # DEPENDENCYPART_ARC
(11,8),-0.613 # DEPENDENCYPART_ARC
(11,9),-0.77098 # DEPENDENCYPART_ARC
(11,10),-0.640278 # DEPENDENCYPART_ARC
(11,12),-0.00438715 # DEPENDENCYPART_ARC
(11,13),-0.544727 # DEPENDENCYPART_ARC
(11,14),-1.0195 # DEPENDENCYPART_ARC
(11,15),0.456042 # DEPENDENCYPART_ARC
(11,16),-1.30558 # DEPENDENCYPART_ARC
(11,17),-1.88063 # DEPENDENCYPART_ARC
(11,18),-1.13838 # DEPENDENCYPART_ARC
(11,19),-1.78979 # DEPENDENCYPART_ARC
(11,20),-1.87272 # DEPENDENCYPART_ARC
(11,21),-2.23326 # DEPENDENCYPART_ARC
(11,22),-2.0104 # DEPENDENCYPART_ARC
(11,23),-2.33137 # DEPENDENCYPART_ARC
(11,24),-2.49687 # DEPENDENCYPART_ARC
(11,25),-2.30802 # DEPENDENCYPART_ARC
(11,26),-1.67732 # DEPENDENCYPART_ARC
(12,1),-1.8719 # DEPENDENCYPART_ARC
(12,2),-2.02156 # DEPENDENCYPART_ARC
(12,3),-1.45904 # DEPENDENCYPART_ARC
(12,4),-1.3266 # DEPENDENCYPART_ARC
(12,5),-1.49462 # DEPENDENCYPART_ARC
(12,6),-0.848291 # DEPENDENCYPART_ARC
(12,7),-0.882668 # DEPENDENCYPART_ARC
(12,8),-0.868361 # DEPENDENCYPART_ARC
(12,9),-0.777999 # DEPENDENCYPART_ARC
(12,10),-0.747652 # DEPENDENCYPART_ARC
(12,11),-0.433395 # DEPENDENCYPART_ARC
(12,13),1.82175 # DEPENDENCYPART_ARC
(12,14),3.58732 # DEPENDENCYPART_ARC
(12,15),0.769924 # DEPENDENCYPART_ARC
(12,16),0.889225 # DEPENDENCYPART_ARC
(12,17),0.56919 # DEPENDENCYPART_ARC
(12,18),2.05052 # DEPENDENCYPART_ARC
(12,19),-0.556027 # DEPENDENCYPART_ARC
(12,20),-1.5039 # DEPENDENCYPART_ARC
(12,21),-0.82486 # DEPENDENCYPART_ARC
(12,22),-0.959877 # DEPENDENCYPART_ARC
(12,23),-0.438306 # DEPENDENCYPART_ARC
(12,24),-1.4589 # DEPENDENCYPART_ARC
(12,25),-0.987363 # DEPENDENCYPART_ARC
(12,26),0.0547958 # DEPENDENCYPART_ARC
(13,1),-1.56197 # DEPENDENCYPART_ARC
(13,2),-2.43733 # DEPENDENCYPART_ARC
(13,3),-2.18119 # DEPENDENCYPART_ARC
(13,4),-0.844757 # DEPENDENCYPART_ARC
(13,5),-1.22678 # DEPENDENCYPART_ARC
(13,6),-1.31692 # DEPENDENCYPART_ARC
(13,7),-1.21435 # DEPENDENCYPART_ARC
(13,8),0.208115 # DEPENDENCYPART_ARC
(13,9),0.409587 # DEPENDENCYPART_ARC
(13,10),-0.419191 # DEPENDENCYPART_ARC
(13,11),0.563343 # DEPENDENCYPART_ARC
(13,12),0.717917 # DEPENDENCYPART_ARC
(13,14),1.75387 # DEPENDENCYPART_ARC
(13,15),0.125168 # DEPENDENCYPART_ARC
(13,16),-0.368646 # DEPENDENCYPART_ARC
(13,17),-0.482449 # DEPENDENCYPART_ARC
(13,18),-0.742354 # DEPENDENCYPART_ARC
(13,19),-1.12883 # DEPENDENCYPART_ARC
(13,20),-0.91718 # DEPENDENCYPART_ARC
(13,21),-1.19785 # DEPENDENCYPART_ARC
(13,22),-0.586421 # DEPENDENCYPART_ARC
(13,23),-1.68211 # DEPENDENCYPART_ARC
(13,24),-1.43177 # DEPENDENCYPART_ARC
(13,25),-1.56234 # DEPENDENCYPART_ARC
(13,26),-0.901654 # DEPENDENCYPART_ARC
(14,1),-3.16335 # DEPENDENCYPART_ARC
(14,2),-4.52088 # DEPENDENCYPART_ARC
(14,3),-2.15955 # DEPENDENCYPART_ARC
(14,4),-0.137571 # DEPENDENCYPART_ARC
(14,5),0.603063 # DEPENDENCYPART_ARC
(14,6),-1.66118 # DEPENDENCYPART_ARC
(14,7),-2.69228 # DEPENDENCYPART_ARC
(14,8),-0.147961 # DEPENDENCYPART_ARC
(14,9),0.936096 # DEPENDENCYPART_ARC
(14,10),-0.132192 # DEPENDENCYPART_ARC
(14,11),0.830503 # DEPENDENCYPART_ARC
(14,12),1.58977 # DEPENDENCYPART_ARC
(14,13),4.45277 # DEPENDENCYPART_ARC
(14,15),1.43579 # DEPENDENCYPART_ARC
(14,16),0.457262 # DEPENDENCYPART_ARC
(14,17),0.521158 # DEPENDENCYPART_ARC
(14,18),-0.158284 # DEPENDENCYPART_ARC
(14,19),-0.820663 # DEPENDENCYPART_ARC
(14,20),-1.04713 # DEPENDENCYPART_ARC
(14,21),-0.507639 # DEPENDENCYPART_ARC
(14,22),-0.458303 # DEPENDENCYPART_ARC
(14,23),-0.746607 # DEPENDENCYPART_ARC
(14,24),-0.415139 # DEPENDENCYPART_ARC
(14,25),-1.0551 # DEPENDENCYPART_ARC
(14,26),0.470559 # DEPENDENCYPART_ARC
(15,1),-2.56896 # DEPENDENCYPART_ARC
(15,2),-2.361 # DEPENDENCYPART_ARC
(15,3),-2.52317 # DEPENDENCYPART_ARC
(15,4),-2.24506 # DEPENDENCYPART_ARC
(15,5),-2.37644 # DEPENDENCYPART_ARC
(15,6),-2.49851 # DEPENDENCYPART_ARC
(15,7),-2.42799 # DEPENDENCYPART_ARC
(15,8),-1.85558 # DEPENDENCYPART_ARC
(15,9),-1.94168 # DEPENDENCYPART_ARC
(15,10),-2.18742 # DEPENDENCYPART_ARC
(15,11),-0.631059 # DEPENDENCYPART_ARC
(15,12),-1.67619 # DEPENDENCYPART_ARC
(15,13),-1.43168 # DEPENDENCYPART_ARC
(15,14),-0.964794 # DEPENDENCYPART_ARC
(15,16),-0.298676 # DEPENDENCYPART_ARC
(15,17),-0.786827 # DEPENDENCYPART_ARC
(15,18),-0.713581 # DEPENDENCYPART_ARC
(15,19),-1.57471 # DEPENDENCYPART_ARC
(15,20),-1.31362 # DEPENDENCYPART_ARC
(15,21),-2.01504 # DEPENDENCYPART_ARC
(15,22),-1.86705 # DEPENDENCYPART_ARC
(15,23),-2.20203 # DEPENDENCYPART_ARC
(15,24),-2.34337 # DEPENDENCYPART_ARC
(15,25),-2.09605 # DEPENDENCYPART_ARC
(15,26),-1.48981 # DEPENDENCYPART_ARC
(16,1),-1.21691 # DEPENDENCYPART_ARC
(16,2),-1.61582 # DEPENDENCYPART_ARC
(16,3),-1.2235 # DEPENDENCYPART_ARC
(16,4),-0.981551 # DEPENDENCYPART_ARC
(16,5),-1.04481 # DEPENDENCYPART_ARC
(16,6),-0.567498 # DEPENDENCYPART_ARC
(16,7),-0.311385 # DEPENDENCYPART_ARC
(16,8),-0.653152 # DEPENDENCYPART_ARC
(16,9),-0.193001 # DEPENDENCYPART_ARC
(16,10),-0.671207 # DEPENDENCYPART_ARC
(16,11),0.293508 # DEPENDENCYPART_ARC
(16,12),-0.126348 # DEPENDENCYPART_ARC
(16,13),0.609369 # DEPENDENCYPART_ARC
(16,14),-0.287202 # DEPENDENCYPART_ARC
(16,15),0.974586 # DEPENDENCYPART_ARC
(16,17),2.67758 # DEPENDENCYPART_ARC
(16,18),1.96654 # DEPENDENCYPART_ARC
(16,19),-0.192643 # DEPENDENCYPART_ARC
(16,20),0.986417 # DEPENDENCYPART_ARC
(16,21),0.86314 # DEPENDENCYPART_ARC
(16,22),0.0839476 # DEPENDENCYPART_ARC
(16,23),-0.0350632 # DEPENDENCYPART_ARC
(16,24),0.0586152 # DEPENDENCYPART_ARC
(16,25),-0.160897 # DEPENDENCYPART_ARC
(16,26),0.149823 # DEPENDENCYPART_ARC
(17,1),-1.10411 # DEPENDENCYPART_ARC
(17,2),-2.30847 # DEPENDENCYPART_ARC
(17,3),-2.01938 # DEPENDENCYPART_ARC
(17,4),-0.383737 # DEPENDENCYPART_ARC
(17,5),-0.953927 # DEPENDENCYPART_ARC
(17,6),-1.62551 # DEPENDENCYPART_ARC
(17,7),-1.37905 # DEPENDENCYPART_ARC
(17,8),0.4178 # DEPENDENCYPART_ARC
(17,9),0.306255 # DEPENDENCYPART_ARC
(17,10),-0.878271 # DEPENDENCYPART_ARC
(17,11),-0.15385 # DEPENDENCYPART_ARC
(17,12),-0.364219 # DEPENDENCYPART_ARC
(17,13),0.657511 # DEPENDENCYPART_ARC
(17,14),-0.118166 # DEPENDENCYPART_ARC
(17,15),0.642763 # DEPENDENCYPART_ARC
(17,16),1.89789 # DEPENDENCYPART_ARC
(17,18),0.581779 # DEPENDENCYPART_ARC
(17,19),-0.663167 # DEPENDENCYPART_ARC
(17,20),-0.534896 # DEPENDENCYPART_ARC
(17,21),-0.633839 # DEPENDENCYPART_ARC
(17,22),-0.428741 # DEPENDENCYPART_ARC
(17,23),-1.44734 # DEPENDENCYPART_ARC
(17,24),-0.794243 # DEPENDENCYPART_ARC
(17,25),-1.2295 # DEPENDENCYPART_ARC
(17,26),-1.0307 # DEPENDENCYPART_ARC
(18,1),-2.00401 # DEPENDENCYPART_ARC
(18,2),0.955538 # DEPENDENCYPART_ARC
(18,3),1.41559 # DEPENDENCYPART_ARC
(18,4),-1.59076 # DEPENDENCYPART_ARC
(18,5),0.296007 # DEPENDENCYPART_ARC
(18,6),0.408486 # DEPENDENCYPART_ARC
(18,7),1.6328 # DEPENDENCYPART_ARC
(18,8),-1.29155 # DEPENDENCYPART_ARC
(18,9),-0.463465 # DEPENDENCYPART_ARC
(18,10),-1.72619 # DEPENDENCYPART_ARC
(18,11),-0.0591771 # DEPENDENCYPART_ARC
(18,12),-0.0142113 # DEPENDENCYPART_ARC
(18,13),0.413718 # DEPENDENCYPART_ARC
(18,14),1.23897 # DEPENDENCYPART_ARC
(18,15),2.51932 # DEPENDENCYPART_ARC
(18,16),1.23182 # DEPENDENCYPART_ARC
(18,17),1.78312 # DEPENDENCYPART_ARC
(18,19),1.07739 # DEPENDENCYPART_ARC
(18,20),1.98755 # DEPENDENCYPART_ARC
(18,21),2.2874 # DEPENDENCYPART_ARC
(18,22),0.702739 # DEPENDENCYPART_ARC
(18,23),0.694685 # DEPENDENCYPART_ARC
(18,24),1.9606 # DEPENDENCYPART_ARC
(18,25),1.76611 # DEPENDENCYPART_ARC
(18,26),4.21737 # DEPENDENCYPART_ARC
(19,1),-3.51024 # DEPENDENCYPART_ARC
(19,2),-4.25508 # DEPENDENCYPART_ARC
(19,3),-3.6561 # DEPENDENCYPART_ARC
(19,4),-3.13986 # DEPENDENCYPART_ARC
(19,5),-3.51698 # DEPENDENCYPART_ARC
(19,6),-3.47662 # DEPENDENCYPART_ARC
(19,7),-3.40703 # DEPENDENCYPART_ARC
(19,8),-2.8006 # DEPENDENCYPART_ARC
(19,9),-2.76056 # DEPENDENCYPART_ARC
(19,10),-3.07857 # DEPENDENCYPART_ARC
(19,11),-2.73837 # DEPENDENCYPART_ARC
(19,12),-3.11032 # DEPENDENCYPART_ARC
(19,13),-2.34418 # DEPENDENCYPART_ARC
(19,14),-2.58435 # DEPENDENCYPART_ARC
(19,15),-1.97865 # DEPENDENCYPART_ARC
(19,16),-1.86225 # DEPENDENCYPART_ARC
(19,17),-1.35984 # DEPENDENCYPART_ARC
(19,18),-1.11597 # DEPENDENCYPART_ARC
(19,20),-0.00308968 # DEPENDENCYPART_ARC
(19,21),0.0258995 # DEPENDENCYPART_ARC
(19,22),-0.860979 # DEPENDENCYPART_ARC
(19,23),-1.35826 # DEPENDENCYPART_ARC
(19,24),-0.756205 # DEPENDENCYPART_ARC
(19,25),-1.07976 # DEPENDENCYPART_ARC
(19,26),-1.10495 # DEPENDENCYPART_ARC
(20,1),-5.57366 # DEPENDENCYPART_ARC
(20,2),-6.62785 # DEPENDENCYPART_ARC
(20,3),-3.51269 # DEPENDENCYPART_ARC
(20,4),-4.1182 # DEPENDENCYPART_ARC
(20,5),-4.16519 # DEPENDENCYPART_ARC
(20,6),-6.75565 # DEPENDENCYPART_ARC
(20,7),-7.15554 # DEPENDENCYPART_ARC
(20,8),-2.2007 # DEPENDENCYPART_ARC
