# _root_ The average plunged some 600 points , or 1.7 % , in the first 20 minutes of trading .
#goldHeads=2,3,0,6,4,3,6,6,10,8,6,3,16,16,16,12,16,17,3,
#predictedHeads=2,3,0,6,4,3,3,6,10,8,3,3,16,16,16,12,16,17,3,
(5,18),-2.12908 # DEPENDENCYPART_ARC
(5,19),-0.649915 # DEPENDENCYPART_ARC
(6,1),1.45994 # DEPENDENCYPART_ARC
(6,2),0.527055 # DEPENDENCYPART_ARC
(6,3),0.226181 # DEPENDENCYPART_ARC
(6,4),4.16119 # DEPENDENCYPART_ARC
(6,5),3.93905 # DEPENDENCYPART_ARC
(6,7),2.78077 # DEPENDENCYPART_ARC
(6,8),2.63258 # DEPENDENCYPART_ARC
(6,9),0.143342 # DEPENDENCYPART_ARC
(6,10),0.392845 # DEPENDENCYPART_ARC
(6,11),2.15785 # DEPENDENCYPART_ARC
(6,12),-0.83728 # DEPENDENCYPART_ARC
(6,13),-0.333488 # DEPENDENCYPART_ARC
(6,14),-0.14688 # DEPENDENCYPART_ARC
(6,15),-0.711167 # DEPENDENCYPART_ARC
(6,16),-1.11849 # DEPENDENCYPART_ARC
(6,17),-1.5189 # DEPENDENCYPART_ARC
(6,18),-1.0526 # DEPENDENCYPART_ARC
(6,19),1.10384 # DEPENDENCYPART_ARC
(7,1),-0.790934 # DEPENDENCYPART_ARC
(7,2),-1.14947 # DEPENDENCYPART_ARC
(7,3),-0.90184 # DEPENDENCYPART_ARC
(7,4),-0.21524 # DEPENDENCYPART_ARC
(7,5),-0.766979 # DEPENDENCYPART_ARC
(7,6),-0.640278 # DEPENDENCYPART_ARC
(7,8),-0.00438715 # DEPENDENCYPART_ARC
(7,9),-0.544727 # DEPENDENCYPART_ARC
(7,10),-1.0195 # DEPENDENCYPART_ARC
(7,11),0.416428 # DEPENDENCYPART_ARC
(7,12),-1.12374 # DEPENDENCYPART_ARC
(7,13),-1.53356 # DEPENDENCYPART_ARC
(7,14),-1.7104 # DEPENDENCYPART_ARC
(7,15),-2.13473 # DEPENDENCYPART_ARC
(7,16),-2.10858 # DEPENDENCYPART_ARC
(7,17),-1.39262 # DEPENDENCYPART_ARC
(7,18),-2.35679 # DEPENDENCYPART_ARC
(7,19),-1.3892 # DEPENDENCYPART_ARC
(8,1),-1.1428 # DEPENDENCYPART_ARC
(8,2),-1.31102 # DEPENDENCYPART_ARC
(8,3),-0.772708 # DEPENDENCYPART_ARC
(8,4),-0.645623 # DEPENDENCYPART_ARC
(8,5),-0.723136 # DEPENDENCYPART_ARC
(8,6),-0.711224 # DEPENDENCYPART_ARC
(8,7),-0.396966 # DEPENDENCYPART_ARC
(8,9),1.58303 # DEPENDENCYPART_ARC
(8,10),3.34859 # DEPENDENCYPART_ARC
(8,11),0.710226 # DEPENDENCYPART_ARC
(8,12),-0.0324384 # DEPENDENCYPART_ARC
(8,13),-0.667967 # DEPENDENCYPART_ARC
(8,14),-0.571965 # DEPENDENCYPART_ARC
(8,15),-0.418198 # DEPENDENCYPART_ARC
(8,16),-1.24374 # DEPENDENCYPART_ARC
(8,17),-0.592819 # DEPENDENCYPART_ARC
(8,18),-1.53019 # DEPENDENCYPART_ARC
(8,19),0.140911 # DEPENDENCYPART_ARC
(9,1),-0.819776 # DEPENDENCYPART_ARC
(9,2),-1.84617 # DEPENDENCYPART_ARC
(9,3),-1.39653 # DEPENDENCYPART_ARC
(9,4),-0.398187 # DEPENDENCYPART_ARC
(9,5),0.490351 # DEPENDENCYPART_ARC
(9,6),-0.447981 # DEPENDENCYPART_ARC
(9,7),0.534554 # DEPENDENCYPART_ARC
(9,8),0.689127 # DEPENDENCYPART_ARC
(9,10),1.74743 # DEPENDENCYPART_ARC
(9,11),-0.0586056 # DEPENDENCYPART_ARC
(9,12),-0.270458 # DEPENDENCYPART_ARC
(9,13),-1.20926 # DEPENDENCYPART_ARC
(9,14),-0.890022 # DEPENDENCYPART_ARC
(9,15),-0.698099 # DEPENDENCYPART_ARC
(9,16),-1.04786 # DEPENDENCYPART_ARC
(9,17),-1.10379 # DEPENDENCYPART_ARC
(9,18),-1.12321 # DEPENDENCYPART_ARC
(9,19),-0.763597 # DEPENDENCYPART_ARC
(10,1),-1.13229 # DEPENDENCYPART_ARC
(10,2),-2.33172 # DEPENDENCYPART_ARC
(10,3),-0.979435 # DEPENDENCYPART_ARC
(10,4),1.37495 # DEPENDENCYPART_ARC
(10,5),0.892229 # DEPENDENCYPART_ARC
(10,6),-0.406347 # DEPENDENCYPART_ARC
(10,7),0.556347 # DEPENDENCYPART_ARC
(10,8),1.31561 # DEPENDENCYPART_ARC
(10,9),4.26122 # DEPENDENCYPART_ARC
(10,11),1.61427 # DEPENDENCYPART_ARC
(10,12),0.340297 # DEPENDENCYPART_ARC
(10,13),-0.397616 # DEPENDENCYPART_ARC
(10,14),-0.00783372 # DEPENDENCYPART_ARC
(10,15),0.0727138 # DEPENDENCYPART_ARC
(10,16),-0.159895 # DEPENDENCYPART_ARC
(10,17),-1.33141 # DEPENDENCYPART_ARC
(10,18),-0.565636 # DEPENDENCYPART_ARC
(10,19),0.0607878 # DEPENDENCYPART_ARC
(11,1),-2.01819 # DEPENDENCYPART_ARC
(11,2),-2.22237 # DEPENDENCYPART_ARC
(11,3),-1.96491 # DEPENDENCYPART_ARC
(11,4),-1.69745 # DEPENDENCYPART_ARC
(11,5),-2.04171 # DEPENDENCYPART_ARC
(11,6),-2.29904 # DEPENDENCYPART_ARC
(11,7),-0.768023 # DEPENDENCYPART_ARC
(11,8),-1.77673 # DEPENDENCYPART_ARC
(11,9),-1.5357 # DEPENDENCYPART_ARC
(11,10),-1.17065 # DEPENDENCYPART_ARC
(11,12),-0.61563 # DEPENDENCYPART_ARC
(11,13),-0.912969 # DEPENDENCYPART_ARC
(11,14),-1.09459 # DEPENDENCYPART_ARC
(11,15),-1.5083 # DEPENDENCYPART_ARC
(11,16),-1.62318 # DEPENDENCYPART_ARC
(11,17),-1.36089 # DEPENDENCYPART_ARC
(11,18),-2.13895 # DEPENDENCYPART_ARC
(11,19),-1.36189 # DEPENDENCYPART_ARC
(12,1),-1.94153 # DEPENDENCYPART_ARC
(12,2),-1.97295 # DEPENDENCYPART_ARC
(12,3),-1.56514 # DEPENDENCYPART_ARC
(12,4),-1.41848 # DEPENDENCYPART_ARC
(12,5),-0.736631 # DEPENDENCYPART_ARC
(12,6),-1.54238 # DEPENDENCYPART_ARC
(12,7),-0.68673 # DEPENDENCYPART_ARC
(12,8),-1.01882 # DEPENDENCYPART_ARC
(12,9),-0.210673 # DEPENDENCYPART_ARC
(12,10),-1.36644 # DEPENDENCYPART_ARC
(12,11),0.738518 # DEPENDENCYPART_ARC
(12,13),0.3951 # DEPENDENCYPART_ARC
(12,14),1.611 # DEPENDENCYPART_ARC
(12,15),1.53245 # DEPENDENCYPART_ARC
(12,16),2.54759 # DEPENDENCYPART_ARC
(12,17),-0.0423176 # DEPENDENCYPART_ARC
(12,18),0.726552 # DEPENDENCYPART_ARC
(12,19),0.291302 # DEPENDENCYPART_ARC
(13,1),-3.43657 # DEPENDENCYPART_ARC
(13,2),-4.1668 # DEPENDENCYPART_ARC
(13,3),-3.48061 # DEPENDENCYPART_ARC
(13,4),-2.92336 # DEPENDENCYPART_ARC
(13,5),-3.06708 # DEPENDENCYPART_ARC
(13,6),-3.3678 # DEPENDENCYPART_ARC
(13,7),-2.96953 # DEPENDENCYPART_ARC
(13,8),-3.35347 # DEPENDENCYPART_ARC
(13,9),-2.25637 # DEPENDENCYPART_ARC
(13,10),-2.55579 # DEPENDENCYPART_ARC
(13,11),-2.01966 # DEPENDENCYPART_ARC
(13,12),-1.7044 # DEPENDENCYPART_ARC
(13,14),-0.224887 # DEPENDENCYPART_ARC
(13,15),-0.75463 # DEPENDENCYPART_ARC
(13,16),-1.53688 # DEPENDENCYPART_ARC
(13,17),-1.73834 # DEPENDENCYPART_ARC
(13,18),-1.85632 # DEPENDENCYPART_ARC
(13,19),-1.81422 # DEPENDENCYPART_ARC
(14,1),-1.3974 # DEPENDENCYPART_ARC
(14,2),-2.01701 # DEPENDENCYPART_ARC
(14,3),-2.20803 # DEPENDENCYPART_ARC
(14,4),-1.15191 # DEPENDENCYPART_ARC
(14,5),-0.848197 # DEPENDENCYPART_ARC
(14,6),-1.35812 # DEPENDENCYPART_ARC
(14,7),-1.12827 # DEPENDENCYPART_ARC
(14,8),-1.48532 # DEPENDENCYPART_ARC
(14,9),-0.0695507 # DEPENDENCYPART_ARC
(14,10),-0.267546 # DEPENDENCYPART_ARC
(14,11),0.0288946 # DEPENDENCYPART_ARC
(14,12),0.642724 # DEPENDENCYPART_ARC
(14,13),2.22787 # DEPENDENCYPART_ARC
(14,15),1.99008 # DEPENDENCYPART_ARC
(14,16),1.03335 # DEPENDENCYPART_ARC
(14,17),0.661722 # DEPENDENCYPART_ARC
(14,18),0.321149 # DEPENDENCYPART_ARC
(14,19),0.041098 # DEPENDENCYPART_ARC
(15,1),-0.748944 # DEPENDENCYPART_ARC
(15,2),-1.98411 # DEPENDENCYPART_ARC
(15,3),-1.40234 # DEPENDENCYPART_ARC
(15,4),-0.752477 # DEPENDENCYPART_ARC
(15,5),0.258495 # DEPENDENCYPART_ARC
(15,6),-0.920551 # DEPENDENCYPART_ARC
(15,7),-0.567376 # DEPENDENCYPART_ARC
(15,8),-0.834875 # DEPENDENCYPART_ARC
(15,9),0.453686 # DEPENDENCYPART_ARC
(15,10),-0.593672 # DEPENDENCYPART_ARC
(15,11),-0.0883832 # DEPENDENCYPART_ARC
(15,12),0.627118 # DEPENDENCYPART_ARC
(15,13),2.58927 # DEPENDENCYPART_ARC
(15,14),2.40857 # DEPENDENCYPART_ARC
(15,16),0.504146 # DEPENDENCYPART_ARC
(15,17),0.293857 # DEPENDENCYPART_ARC
(15,18),-0.28233 # DEPENDENCYPART_ARC
(15,19),-0.759098 # DEPENDENCYPART_ARC
(16,1),-1.45031 # DEPENDENCYPART_ARC
(16,2),-2.45916 # DEPENDENCYPART_ARC
(16,3),-0.865684 # DEPENDENCYPART_ARC
(16,4),0.216414 # DEPENDENCYPART_ARC
(16,5),-0.979006 # DEPENDENCYPART_ARC
(16,6),-1.12437 # DEPENDENCYPART_ARC
(16,7),-0.721968 # DEPENDENCYPART_ARC
(16,8),-0.00726243 # DEPENDENCYPART_ARC
(16,9),0.195084 # DEPENDENCYPART_ARC
(16,10),-1.18934 # DEPENDENCYPART_ARC
(16,11),0.294045 # DEPENDENCYPART_ARC
(16,12),0.347844 # DEPENDENCYPART_ARC
(16,13),4.81874 # DEPENDENCYPART_ARC
(16,14),4.37016 # DEPENDENCYPART_ARC
(16,15),3.96272 # DEPENDENCYPART_ARC
(16,17),3.61598 # DEPENDENCYPART_ARC
(16,18),1.20367 # DEPENDENCYPART_ARC
(16,19),0.955099 # DEPENDENCYPART_ARC
(17,1),-3.08319 # DEPENDENCYPART_ARC
(17,2),-2.86441 # DEPENDENCYPART_ARC
(17,3),-2.52689 # DEPENDENCYPART_ARC
(17,4),-2.8367 # DEPENDENCYPART_ARC
(17,5),-1.86509 # DEPENDENCYPART_ARC
(17,6),-2.11978 # DEPENDENCYPART_ARC
(17,7),-1.7328 # DEPENDENCYPART_ARC
(17,8),-1.87341 # DEPENDENCYPART_ARC
(17,9),-1.39928 # DEPENDENCYPART_ARC
(17,10),-2.28173 # DEPENDENCYPART_ARC
(17,11),-1.38929 # DEPENDENCYPART_ARC
(17,12),-1.08673 # DEPENDENCYPART_ARC
(17,13),-0.974848 # DEPENDENCYPART_ARC
(17,14),-0.819585 # DEPENDENCYPART_ARC
(17,15),-0.441394 # DEPENDENCYPART_ARC
(17,16),0.240677 # DEPENDENCYPART_ARC
(17,18),4.28509 # DEPENDENCYPART_ARC
(17,19),-0.881 # DEPENDENCYPART_ARC
(18,1),-5.24043 # DEPENDENCYPART_ARC
(18,2),-5.37407 # DEPENDENCYPART_ARC
(18,3),-1.90377 # DEPENDENCYPART_ARC
(18,4),-2.38497 # DEPENDENCYPART_ARC
(18,5),-3.73103 # DEPENDENCYPART_ARC
(18,6),-1.95467 # DEPENDENCYPART_ARC
(18,7),-1.77159 # DEPENDENCYPART_ARC
(18,8),-1.04973 # DEPENDENCYPART_ARC
(18,9),-2.58272 # DEPENDENCYPART_ARC
(18,10),-3.03137 # DEPENDENCYPART_ARC
(18,11),-1.2573 # DEPENDENCYPART_ARC
(18,12),-1.14383 # DEPENDENCYPART_ARC
(18,13),1.3975 # DEPENDENCYPART_ARC
(18,14),1.27524 # DEPENDENCYPART_ARC
(18,15),-0.237676 # DEPENDENCYPART_ARC
(18,16),0.722345 # DEPENDENCYPART_ARC
(18,17),1.33793 # DEPENDENCYPART_ARC
(18,19),-0.65983 # DEPENDENCYPART_ARC
(19,1),-1.85981 # DEPENDENCYPART_ARC
(19,2),-2.5568 # DEPENDENCYPART_ARC
(19,3),-1.23091 # DEPENDENCYPART_ARC
(19,4),-1.60747 # DEPENDENCYPART_ARC
(19,5),-2.05393 # DEPENDENCYPART_ARC
(19,6),-1.1922 # DEPENDENCYPART_ARC
(19,7),-0.547318 # DEPENDENCYPART_ARC
(19,8),-1.10251 # DEPENDENCYPART_ARC
(19,9),-1.64088 # DEPENDENCYPART_ARC
(19,10),-1.29578 # DEPENDENCYPART_ARC
(19,11),-0.105568 # DEPENDENCYPART_ARC
(19,12),-1.14414 # DEPENDENCYPART_ARC
(19,13),-0.476288 # DEPENDENCYPART_ARC
(19,14),-1.02466 # DEPENDENCYPART_ARC
(19,15),-1.11147 # DEPENDENCYPART_ARC
(19,16),-0.757981 # DEPENDENCYPART_ARC
(19,17),-1.18617 # DEPENDENCYPART_ARC
(19,18),-1.20784 # DEPENDENCYPART_ARC
