# _root_ NASA should now sue for fines against all three politico-plaintiffs , foreign and domestic , for bringing this mischievous case .
#goldHeads=2,0,2,2,4,5,6,10,10,7,10,10,12,13,10,6,16,20,20,17,2,
#predictedHeads=2,0,2,2,4,5,6,10,10,7,10,10,12,13,10,4,16,20,20,17,2,
(2,18),-0.712336 # DEPENDENCYPART_ARC
(2,19),-0.829492 # DEPENDENCYPART_ARC
(2,20),-0.195348 # DEPENDENCYPART_ARC
(2,21),5.63538 # DEPENDENCYPART_ARC
(3,1),-1.13882 # DEPENDENCYPART_ARC
(3,2),-0.136413 # DEPENDENCYPART_ARC
(3,4),0.635475 # DEPENDENCYPART_ARC
(3,5),0.249218 # DEPENDENCYPART_ARC
(3,6),-0.324256 # DEPENDENCYPART_ARC
(3,7),-0.277051 # DEPENDENCYPART_ARC
(3,8),-0.632402 # DEPENDENCYPART_ARC
(3,9),-1.73273 # DEPENDENCYPART_ARC
(3,10),-1.36846 # DEPENDENCYPART_ARC
(3,11),-0.498675 # DEPENDENCYPART_ARC
(3,12),-1.06336 # DEPENDENCYPART_ARC
(3,13),0.137578 # DEPENDENCYPART_ARC
(3,14),-1.22479 # DEPENDENCYPART_ARC
(3,15),-0.861458 # DEPENDENCYPART_ARC
(3,16),-1.93857 # DEPENDENCYPART_ARC
(3,17),-1.70665 # DEPENDENCYPART_ARC
(3,18),-2.39329 # DEPENDENCYPART_ARC
(3,19),-1.75605 # DEPENDENCYPART_ARC
(3,20),-3.46545 # DEPENDENCYPART_ARC
(3,21),-0.706174 # DEPENDENCYPART_ARC
(4,1),0.763395 # DEPENDENCYPART_ARC
(4,2),0.527055 # DEPENDENCYPART_ARC
(4,3),1.80797 # DEPENDENCYPART_ARC
(4,5),3.45521 # DEPENDENCYPART_ARC
(4,6),1.26351 # DEPENDENCYPART_ARC
(4,7),1.85148 # DEPENDENCYPART_ARC
(4,8),-0.493111 # DEPENDENCYPART_ARC
(4,9),-0.0298551 # DEPENDENCYPART_ARC
(4,10),-0.671965 # DEPENDENCYPART_ARC
(4,11),1.36216 # DEPENDENCYPART_ARC
(4,12),-0.642685 # DEPENDENCYPART_ARC
(4,13),0.847814 # DEPENDENCYPART_ARC
(4,14),-0.761379 # DEPENDENCYPART_ARC
(4,15),1.34752 # DEPENDENCYPART_ARC
(4,16),1.11002 # DEPENDENCYPART_ARC
(4,17),0.304141 # DEPENDENCYPART_ARC
(4,18),-1.50342 # DEPENDENCYPART_ARC
(4,19),-2.22892 # DEPENDENCYPART_ARC
(4,20),-2.74937 # DEPENDENCYPART_ARC
(4,21),1.5969 # DEPENDENCYPART_ARC
(5,1),-0.880637 # DEPENDENCYPART_ARC
(5,2),-0.937609 # DEPENDENCYPART_ARC
(5,3),0.0492801 # DEPENDENCYPART_ARC
(5,4),0.778727 # DEPENDENCYPART_ARC
(5,6),3.09533 # DEPENDENCYPART_ARC
(5,7),0.0685176 # DEPENDENCYPART_ARC
(5,8),-0.470074 # DEPENDENCYPART_ARC
(5,9),-0.718903 # DEPENDENCYPART_ARC
(5,10),0.291273 # DEPENDENCYPART_ARC
(5,11),0.558838 # DEPENDENCYPART_ARC
(5,12),-0.837025 # DEPENDENCYPART_ARC
(5,13),-0.232382 # DEPENDENCYPART_ARC
(5,14),-0.88402 # DEPENDENCYPART_ARC
(5,15),0.265634 # DEPENDENCYPART_ARC
(5,16),-0.332543 # DEPENDENCYPART_ARC
(5,17),-2.10612 # DEPENDENCYPART_ARC
(5,18),-2.31309 # DEPENDENCYPART_ARC
(5,19),-2.05323 # DEPENDENCYPART_ARC
(5,20),-4.78377 # DEPENDENCYPART_ARC
(5,21),-0.232059 # DEPENDENCYPART_ARC
(6,1),-1.55715 # DEPENDENCYPART_ARC
(6,2),-1.2699 # DEPENDENCYPART_ARC
(6,3),-1.12786 # DEPENDENCYPART_ARC
(6,4),-0.12432 # DEPENDENCYPART_ARC
(6,5),0.567344 # DEPENDENCYPART_ARC
(6,7),2.95963 # DEPENDENCYPART_ARC
(6,8),0.352045 # DEPENDENCYPART_ARC
(6,9),0.82508 # DEPENDENCYPART_ARC
(6,10),1.28549 # DEPENDENCYPART_ARC
(6,11),1.88589 # DEPENDENCYPART_ARC
(6,12),0.819446 # DEPENDENCYPART_ARC
(6,13),1.15863 # DEPENDENCYPART_ARC
(6,14),0.464961 # DEPENDENCYPART_ARC
(6,15),1.23321 # DEPENDENCYPART_ARC
(6,16),-0.667336 # DEPENDENCYPART_ARC
(6,17),0.358081 # DEPENDENCYPART_ARC
(6,18),-0.502543 # DEPENDENCYPART_ARC
(6,19),-0.3437 # DEPENDENCYPART_ARC
(6,20),-0.478641 # DEPENDENCYPART_ARC
(6,21),0.401826 # DEPENDENCYPART_ARC
(7,1),-1.33821 # DEPENDENCYPART_ARC
(7,2),-1.79134 # DEPENDENCYPART_ARC
(7,3),-0.957879 # DEPENDENCYPART_ARC
(7,4),-0.429334 # DEPENDENCYPART_ARC
(7,5),-0.328677 # DEPENDENCYPART_ARC
(7,6),0.556987 # DEPENDENCYPART_ARC
(7,8),1.6167 # DEPENDENCYPART_ARC
(7,9),1.30989 # DEPENDENCYPART_ARC
(7,10),2.92809 # DEPENDENCYPART_ARC
(7,11),1.03154 # DEPENDENCYPART_ARC
(7,12),0.568684 # DEPENDENCYPART_ARC
(7,13),0.132622 # DEPENDENCYPART_ARC
(7,14),0.14715 # DEPENDENCYPART_ARC
(7,15),0.827234 # DEPENDENCYPART_ARC
(7,16),0.208264 # DEPENDENCYPART_ARC
(7,17),-0.934452 # DEPENDENCYPART_ARC
(7,18),-1.51974 # DEPENDENCYPART_ARC
(7,19),-0.688942 # DEPENDENCYPART_ARC
(7,20),-0.823865 # DEPENDENCYPART_ARC
(7,21),-0.0940995 # DEPENDENCYPART_ARC
(8,1),-1.26123 # DEPENDENCYPART_ARC
(8,2),-1.30257 # DEPENDENCYPART_ARC
(8,3),-0.714447 # DEPENDENCYPART_ARC
(8,4),-0.465941 # DEPENDENCYPART_ARC
(8,5),0.292743 # DEPENDENCYPART_ARC
(8,6),-0.323384 # DEPENDENCYPART_ARC
(8,7),1.25408 # DEPENDENCYPART_ARC
(8,9),2.26402 # DEPENDENCYPART_ARC
(8,10),0.323598 # DEPENDENCYPART_ARC
(8,11),1.17612 # DEPENDENCYPART_ARC
(8,12),0.215545 # DEPENDENCYPART_ARC
(8,13),0.225363 # DEPENDENCYPART_ARC
(8,14),-0.155243 # DEPENDENCYPART_ARC
(8,15),0.515221 # DEPENDENCYPART_ARC
(8,16),-0.409467 # DEPENDENCYPART_ARC
(8,17),-0.452943 # DEPENDENCYPART_ARC
(8,18),-1.49491 # DEPENDENCYPART_ARC
(8,19),-0.776854 # DEPENDENCYPART_ARC
(8,20),-1.22897 # DEPENDENCYPART_ARC
(8,21),-0.352467 # DEPENDENCYPART_ARC
(9,1),-1.78962 # DEPENDENCYPART_ARC
(9,2),-1.84006 # DEPENDENCYPART_ARC
(9,3),-1.34312 # DEPENDENCYPART_ARC
(9,4),-1.06999 # DEPENDENCYPART_ARC
(9,5),-0.607862 # DEPENDENCYPART_ARC
(9,6),-0.731305 # DEPENDENCYPART_ARC
(9,7),-0.218712 # DEPENDENCYPART_ARC
(9,8),1.6303 # DEPENDENCYPART_ARC
(9,10),0.873223 # DEPENDENCYPART_ARC
(9,11),0.282803 # DEPENDENCYPART_ARC
(9,12),0.0740176 # DEPENDENCYPART_ARC
(9,13),0.0374814 # DEPENDENCYPART_ARC
(9,14),-0.308185 # DEPENDENCYPART_ARC
(9,15),0.18829 # DEPENDENCYPART_ARC
(9,16),-0.516207 # DEPENDENCYPART_ARC
(9,17),-0.397016 # DEPENDENCYPART_ARC
(9,18),-0.983971 # DEPENDENCYPART_ARC
(9,19),-0.808393 # DEPENDENCYPART_ARC
(9,20),-0.940369 # DEPENDENCYPART_ARC
(9,21),-0.28578 # DEPENDENCYPART_ARC
(10,1),-2.08251 # DEPENDENCYPART_ARC
(10,2),-0.771213 # DEPENDENCYPART_ARC
(10,3),-1.47591 # DEPENDENCYPART_ARC
(10,4),-0.543396 # DEPENDENCYPART_ARC
(10,5),-0.00854585 # DEPENDENCYPART_ARC
(10,6),-0.144099 # DEPENDENCYPART_ARC
(10,7),0.723117 # DEPENDENCYPART_ARC
(10,8),4.44407 # DEPENDENCYPART_ARC
(10,9),3.53491 # DEPENDENCYPART_ARC
(10,11),2.15537 # DEPENDENCYPART_ARC
(10,12),1.31954 # DEPENDENCYPART_ARC
(10,13),0.995688 # DEPENDENCYPART_ARC
(10,14),0.776781 # DEPENDENCYPART_ARC
(10,15),1.68076 # DEPENDENCYPART_ARC
(10,16),0.0588548 # DEPENDENCYPART_ARC
(10,17),0.426559 # DEPENDENCYPART_ARC
(10,18),0.183743 # DEPENDENCYPART_ARC
(10,19),0.042819 # DEPENDENCYPART_ARC
(10,20),0.0261244 # DEPENDENCYPART_ARC
(10,21),0.495237 # DEPENDENCYPART_ARC
(11,1),-2.48149 # DEPENDENCYPART_ARC
(11,2),-2.42676 # DEPENDENCYPART_ARC
(11,3),-2.5741 # DEPENDENCYPART_ARC
(11,4),-1.92214 # DEPENDENCYPART_ARC
(11,5),-1.6093 # DEPENDENCYPART_ARC
(11,6),-2.04409 # DEPENDENCYPART_ARC
(11,7),-1.5272 # DEPENDENCYPART_ARC
(11,8),-0.816872 # DEPENDENCYPART_ARC
(11,9),-1.32739 # DEPENDENCYPART_ARC
(11,10),-1.21007 # DEPENDENCYPART_ARC
(11,12),-0.382745 # DEPENDENCYPART_ARC
(11,13),-1.03282 # DEPENDENCYPART_ARC
(11,14),-1.36735 # DEPENDENCYPART_ARC
(11,15),0.323627 # DEPENDENCYPART_ARC
(11,16),-1.46534 # DEPENDENCYPART_ARC
(11,17),-1.54744 # DEPENDENCYPART_ARC
(11,18),-2.03938 # DEPENDENCYPART_ARC
(11,19),-2.2803 # DEPENDENCYPART_ARC
(11,20),-2.75354 # DEPENDENCYPART_ARC
(11,21),-1.74654 # DEPENDENCYPART_ARC
(12,1),-1.24103 # DEPENDENCYPART_ARC
(12,2),-1.46975 # DEPENDENCYPART_ARC
(12,3),-1.13884 # DEPENDENCYPART_ARC
(12,4),-0.809315 # DEPENDENCYPART_ARC
(12,5),-0.365901 # DEPENDENCYPART_ARC
(12,6),-0.538942 # DEPENDENCYPART_ARC
(12,7),-0.0919729 # DEPENDENCYPART_ARC
(12,8),0.668201 # DEPENDENCYPART_ARC
(12,9),1.15421 # DEPENDENCYPART_ARC
(12,10),0.634762 # DEPENDENCYPART_ARC
(12,11),0.618618 # DEPENDENCYPART_ARC
(12,13),4.92728 # DEPENDENCYPART_ARC
(12,14),1.76533 # DEPENDENCYPART_ARC
(12,15),1.45568 # DEPENDENCYPART_ARC
(12,16),0.689993 # DEPENDENCYPART_ARC
(12,17),0.573882 # DEPENDENCYPART_ARC
(12,18),-0.331183 # DEPENDENCYPART_ARC
(12,19),0.278253 # DEPENDENCYPART_ARC
(12,20),0.0870845 # DEPENDENCYPART_ARC
(12,21),0.276013 # DEPENDENCYPART_ARC
(13,1),-0.731388 # DEPENDENCYPART_ARC
(13,2),-1.534 # DEPENDENCYPART_ARC
(13,3),-1.73751 # DEPENDENCYPART_ARC
(13,4),-1.17542 # DEPENDENCYPART_ARC
(13,5),-0.86057 # DEPENDENCYPART_ARC
(13,6),-0.510243 # DEPENDENCYPART_ARC
(13,7),-0.56078 # DEPENDENCYPART_ARC
(13,8),-0.397582 # DEPENDENCYPART_ARC
(13,9),-0.583934 # DEPENDENCYPART_ARC
(13,10),0.0641341 # DEPENDENCYPART_ARC
(13,11),-0.451145 # DEPENDENCYPART_ARC
(13,12),0.332056 # DEPENDENCYPART_ARC
(13,14),4.07835 # DEPENDENCYPART_ARC
(13,15),0.579498 # DEPENDENCYPART_ARC
(13,16),-0.0414675 # DEPENDENCYPART_ARC
(13,17),0.47573 # DEPENDENCYPART_ARC
(13,18),-0.688387 # DEPENDENCYPART_ARC
(13,19),-0.0409712 # DEPENDENCYPART_ARC
(13,20),-0.917371 # DEPENDENCYPART_ARC
(13,21),-0.0806693 # DEPENDENCYPART_ARC
(14,1),-3.02948 # DEPENDENCYPART_ARC
(14,2),-2.81664 # DEPENDENCYPART_ARC
(14,3),-2.38705 # DEPENDENCYPART_ARC
(14,4),-2.1205 # DEPENDENCYPART_ARC
(14,5),-1.7107 # DEPENDENCYPART_ARC
(14,6),-1.78595 # DEPENDENCYPART_ARC
(14,7),-1.41618 # DEPENDENCYPART_ARC
(14,8),-0.990413 # DEPENDENCYPART_ARC
(14,9),-0.572402 # DEPENDENCYPART_ARC
(14,10),-0.926633 # DEPENDENCYPART_ARC
(14,11),-0.753641 # DEPENDENCYPART_ARC
(14,12),-0.0783436 # DEPENDENCYPART_ARC
(14,13),0.371983 # DEPENDENCYPART_ARC
(14,15),1.29771 # DEPENDENCYPART_ARC
(14,16),0.464798 # DEPENDENCYPART_ARC
(14,17),0.440012 # DEPENDENCYPART_ARC
(14,18),-0.575117 # DEPENDENCYPART_ARC
(14,19),0.56342 # DEPENDENCYPART_ARC
(14,20),-0.194139 # DEPENDENCYPART_ARC
(14,21),0.0535974 # DEPENDENCYPART_ARC
(15,1),-2.78147 # DEPENDENCYPART_ARC
(15,2),-2.48907 # DEPENDENCYPART_ARC
(15,3),-2.7451 # DEPENDENCYPART_ARC
(15,4),-2.12016 # DEPENDENCYPART_ARC
(15,5),-1.86122 # DEPENDENCYPART_ARC
(15,6),-1.77434 # DEPENDENCYPART_ARC
(15,7),-1.66533 # DEPENDENCYPART_ARC
(15,8),-1.2844 # DEPENDENCYPART_ARC
(15,9),-1.58434 # DEPENDENCYPART_ARC
(15,10),-1.7457 # DEPENDENCYPART_ARC
(15,11),-0.286075 # DEPENDENCYPART_ARC
(15,12),-1.02137 # DEPENDENCYPART_ARC
(15,13),-1.04388 # DEPENDENCYPART_ARC
(15,14),-0.510632 # DEPENDENCYPART_ARC
(15,16),-0.444696 # DEPENDENCYPART_ARC
(15,17),-0.564395 # DEPENDENCYPART_ARC
(15,18),-1.33721 # DEPENDENCYPART_ARC
(15,19),-1.45205 # DEPENDENCYPART_ARC
(15,20),-1.89136 # DEPENDENCYPART_ARC
(15,21),-1.16122 # DEPENDENCYPART_ARC
(16,1),-2.9671 # DEPENDENCYPART_ARC
(16,2),-2.93828 # DEPENDENCYPART_ARC
(16,3),-2.47388 # DEPENDENCYPART_ARC
(16,4),-2.03255 # DEPENDENCYPART_ARC
(16,5),-2.03443 # DEPENDENCYPART_ARC
(16,6),-1.80418 # DEPENDENCYPART_ARC
(16,7),-1.44395 # DEPENDENCYPART_ARC
(16,8),-0.722674 # DEPENDENCYPART_ARC
(16,9),-1.32292 # DEPENDENCYPART_ARC
(16,10),-1.42285 # DEPENDENCYPART_ARC
(16,11),-1.11308 # DEPENDENCYPART_ARC
(16,12),-0.835301 # DEPENDENCYPART_ARC
(16,13),-0.869383 # DEPENDENCYPART_ARC
(16,14),-0.594327 # DEPENDENCYPART_ARC
(16,15),0.516578 # DEPENDENCYPART_ARC
(16,17),3.04135 # DEPENDENCYPART_ARC
(16,18),0.569059 # DEPENDENCYPART_ARC
(16,19),0.164577 # DEPENDENCYPART_ARC
(16,20),0.406684 # DEPENDENCYPART_ARC
(16,21),0.0451187 # DEPENDENCYPART_ARC
(17,1),-2.59907 # DEPENDENCYPART_ARC
(17,2),-2.88427 # DEPENDENCYPART_ARC
(17,3),-2.95965 # DEPENDENCYPART_ARC
(17,4),-2.34893 # DEPENDENCYPART_ARC
(17,5),-2.60957 # DEPENDENCYPART_ARC
(17,6),-1.04158 # DEPENDENCYPART_ARC
(17,7),-2.25979 # DEPENDENCYPART_ARC
(17,8),-1.40331 # DEPENDENCYPART_ARC
(17,9),-1.57087 # DEPENDENCYPART_ARC
(17,10),-1.33769 # DEPENDENCYPART_ARC
(17,11),-0.986937 # DEPENDENCYPART_ARC
(17,12),-1.15819 # DEPENDENCYPART_ARC
(17,13),-1.51329 # DEPENDENCYPART_ARC
(17,14),-0.774217 # DEPENDENCYPART_ARC
(17,15),-0.445801 # DEPENDENCYPART_ARC
(17,16),-0.208832 # DEPENDENCYPART_ARC
(17,18),1.73828 # DEPENDENCYPART_ARC
(17,19),1.55777 # DEPENDENCYPART_ARC
(17,20),3.27859 # DEPENDENCYPART_ARC
(17,21),0.358579 # DEPENDENCYPART_ARC
(18,1),-3.10117 # DEPENDENCYPART_ARC
(18,2),-2.99546 # DEPENDENCYPART_ARC
(18,3),-2.74902 # DEPENDENCYPART_ARC
(18,4),-2.40701 # DEPENDENCYPART_ARC
(18,5),-2.24832 # DEPENDENCYPART_ARC
(18,6),-2.58691 # DEPENDENCYPART_ARC
(18,7),-2.15095 # DEPENDENCYPART_ARC
(18,8),-0.930029 # DEPENDENCYPART_ARC
(18,9),-1.84525 # DEPENDENCYPART_ARC
(18,10),-2.11934 # DEPENDENCYPART_ARC
(18,11),-1.72287 # DEPENDENCYPART_ARC
(18,12),-1.62274 # DEPENDENCYPART_ARC
(18,13),-1.97453 # DEPENDENCYPART_ARC
(18,14),-1.15292 # DEPENDENCYPART_ARC
(18,15),-0.754781 # DEPENDENCYPART_ARC
(18,16),-0.585889 # DEPENDENCYPART_ARC
(18,17),0.0109606 # DEPENDENCYPART_ARC
(18,19),0.68608 # DEPENDENCYPART_ARC
(18,20),0.0949716 # DEPENDENCYPART_ARC
(18,21),-0.54241 # DEPENDENCYPART_ARC
(19,1),-3.69635 # DEPENDENCYPART_ARC
(19,2),-3.18318 # DEPENDENCYPART_ARC
(19,3),-3.1103 # DEPENDENCYPART_ARC
(19,4),-2.59949 # DEPENDENCYPART_ARC
(19,5),-2.31569 # DEPENDENCYPART_ARC
(19,6),-2.54572 # DEPENDENCYPART_ARC
(19,7),-1.99595 # DEPENDENCYPART_ARC
(19,8),-1.88348 # DEPENDENCYPART_ARC
(19,9),-1.43119 # DEPENDENCYPART_ARC
(19,10),-2.01232 # DEPENDENCYPART_ARC
(19,11),-1.55026 # DEPENDENCYPART_ARC
(19,12),-1.42178 # DEPENDENCYPART_ARC
(19,13),-2.0302 # DEPENDENCYPART_ARC
(19,14),-0.17882 # DEPENDENCYPART_ARC
(19,15),-0.256139 # DEPENDENCYPART_ARC
(19,16),-0.463413 # DEPENDENCYPART_ARC
(19,17),-0.360333 # DEPENDENCYPART_ARC
(19,18),1.14805 # DEPENDENCYPART_ARC
(19,20),0.795301 # DEPENDENCYPART_ARC
(19,21),-0.634667 # DEPENDENCYPART_ARC
(20,1),-7.36935 # DEPENDENCYPART_ARC
(20,2),-2.15872 # DEPENDENCYPART_ARC
(20,3),-5.19192 # DEPENDENCYPART_ARC
(20,4),-2.12162 # DEPENDENCYPART_ARC
(20,5),-1.37775 # DEPENDENCYPART_ARC
(20,6),-2.01862 # DEPENDENCYPART_ARC
(20,7),-1.62498 # DEPENDENCYPART_ARC
(20,8),-1.31319 # DEPENDENCYPART_ARC
(20,9),-1.81277 # DEPENDENCYPART_ARC
(20,10),-1.2702 # DEPENDENCYPART_ARC
(20,11),-0.558823 # DEPENDENCYPART_ARC
(20,12),-0.75387 # DEPENDENCYPART_ARC
(20,13),-0.700853 # DEPENDENCYPART_ARC
(20,14),-0.085059 # DEPENDENCYPART_ARC
(20,15),1.07765 # DEPENDENCYPART_ARC
(20,16),0.375663 # DEPENDENCYPART_ARC
(20,17),1.27572 # DEPENDENCYPART_ARC
(20,18),4.39179 # DEPENDENCYPART_ARC
(20,19),4.58511 # DEPENDENCYPART_ARC
(20,21),0.201976 # DEPENDENCYPART_ARC
(21,1),-3.00613 # DEPENDENCYPART_ARC
(21,2),-2.45428 # DEPENDENCYPART_ARC
(21,3),-1.64055 # DEPENDENCYPART_ARC
(21,4),-2.39729 # DEPENDENCYPART_ARC
(21,5),-2.63053 # DEPENDENCYPART_ARC
(21,6),-1.8132 # DEPENDENCYPART_ARC
(21,7),-2.39561 # DEPENDENCYPART_ARC
(21,8),-1.76523 # DEPENDENCYPART_ARC
(21,9),-2.18712 # DEPENDENCYPART_ARC
(21,10),-1.98502 # DEPENDENCYPART_ARC
(21,11),-0.626638 # DEPENDENCYPART_ARC
(21,12),-1.77673 # DEPENDENCYPART_ARC
(21,13),-1.60953 # DEPENDENCYPART_ARC
(21,14),-1.54265 # DEPENDENCYPART_ARC
(21,15),-0.0421869 # DEPENDENCYPART_ARC
(21,16),-1.76639 # DEPENDENCYPART_ARC
(21,17),-0.935368 # DEPENDENCYPART_ARC
(21,18),-0.422567 # DEPENDENCYPART_ARC
(21,19),-1.48807 # DEPENDENCYPART_ARC
(21,20),-1.6135 # DEPENDENCYPART_ARC
