# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,20,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(4,31),-2.78136 # DEPENDENCYPART_ARC
(4,32),-3.86819 # DEPENDENCYPART_ARC
(4,33),-4.13199 # DEPENDENCYPART_ARC
(4,34),-5.01806 # DEPENDENCYPART_ARC
(4,35),-4.32849 # DEPENDENCYPART_ARC
(4,36),-4.5718 # DEPENDENCYPART_ARC
(4,37),-0.972362 # DEPENDENCYPART_ARC
(5,1),0.60106 # DEPENDENCYPART_ARC
(5,2),0.0836031 # DEPENDENCYPART_ARC
(5,3),4.65558 # DEPENDENCYPART_ARC
(5,4),4.40306 # DEPENDENCYPART_ARC
(5,6),1.49919 # DEPENDENCYPART_ARC
(5,7),0.207356 # DEPENDENCYPART_ARC
(5,8),2.03653 # DEPENDENCYPART_ARC
(5,9),-0.570098 # DEPENDENCYPART_ARC
(5,10),-0.182667 # DEPENDENCYPART_ARC
(5,11),-0.514099 # DEPENDENCYPART_ARC
(5,12),-0.929323 # DEPENDENCYPART_ARC
(5,13),-1.49907 # DEPENDENCYPART_ARC
(5,14),-0.36915 # DEPENDENCYPART_ARC
(5,15),-0.677945 # DEPENDENCYPART_ARC
(5,16),-1.38117 # DEPENDENCYPART_ARC
(5,17),0.0496117 # DEPENDENCYPART_ARC
(5,18),-0.864958 # DEPENDENCYPART_ARC
(5,19),-1.84182 # DEPENDENCYPART_ARC
(5,20),-0.925468 # DEPENDENCYPART_ARC
(5,21),-1.98565 # DEPENDENCYPART_ARC
(5,22),-1.84025 # DEPENDENCYPART_ARC
(5,23),-2.31817 # DEPENDENCYPART_ARC
(5,24),-1.83894 # DEPENDENCYPART_ARC
(5,25),-1.92629 # DEPENDENCYPART_ARC
(5,26),0.140078 # DEPENDENCYPART_ARC
(5,27),-6.00489 # DEPENDENCYPART_ARC
(5,28),-2.66722 # DEPENDENCYPART_ARC
(5,29),-2.19618 # DEPENDENCYPART_ARC
(5,30),-2.55398 # DEPENDENCYPART_ARC
(5,31),-1.57199 # DEPENDENCYPART_ARC
(5,32),-3.18885 # DEPENDENCYPART_ARC
(5,33),-2.93831 # DEPENDENCYPART_ARC
(5,34),-2.58303 # DEPENDENCYPART_ARC
(5,35),-2.79853 # DEPENDENCYPART_ARC
(5,36),-4.62902 # DEPENDENCYPART_ARC
(5,37),1.07565 # DEPENDENCYPART_ARC
(6,1),0.80175 # DEPENDENCYPART_ARC
(6,2),0.306897 # DEPENDENCYPART_ARC
(6,3),0.859579 # DEPENDENCYPART_ARC
(6,4),0.900072 # DEPENDENCYPART_ARC
(6,5),2.68309 # DEPENDENCYPART_ARC
(6,7),3.08648 # DEPENDENCYPART_ARC
(6,8),2.58413 # DEPENDENCYPART_ARC
(6,9),-0.285367 # DEPENDENCYPART_ARC
(6,10),0.0987735 # DEPENDENCYPART_ARC
(6,11),1.27903 # DEPENDENCYPART_ARC
(6,12),0.779571 # DEPENDENCYPART_ARC
(6,13),-0.410619 # DEPENDENCYPART_ARC
(6,14),-0.593097 # DEPENDENCYPART_ARC
(6,15),-0.744703 # DEPENDENCYPART_ARC
(6,16),-0.219344 # DEPENDENCYPART_ARC
(6,17),1.02025 # DEPENDENCYPART_ARC
(6,18),0.75201 # DEPENDENCYPART_ARC
(6,19),-0.62948 # DEPENDENCYPART_ARC
(6,20),-0.812701 # DEPENDENCYPART_ARC
(6,21),-0.970335 # DEPENDENCYPART_ARC
(6,22),-1.94146 # DEPENDENCYPART_ARC
(6,23),-1.80346 # DEPENDENCYPART_ARC
(6,24),-1.63961 # DEPENDENCYPART_ARC
(6,25),-1.41015 # DEPENDENCYPART_ARC
(6,26),-0.0450279 # DEPENDENCYPART_ARC
(6,27),-1.89361 # DEPENDENCYPART_ARC
(6,28),-2.04922 # DEPENDENCYPART_ARC
(6,29),-1.88019 # DEPENDENCYPART_ARC
(6,30),-1.46098 # DEPENDENCYPART_ARC
(6,31),0.423516 # DEPENDENCYPART_ARC
(6,32),-1.3573 # DEPENDENCYPART_ARC
(6,33),-2.5684 # DEPENDENCYPART_ARC
(6,34),-2.22906 # DEPENDENCYPART_ARC
(6,35),-2.63203 # DEPENDENCYPART_ARC
(6,36),-2.42221 # DEPENDENCYPART_ARC
(6,37),6.2666 # DEPENDENCYPART_ARC
(7,1),-0.770956 # DEPENDENCYPART_ARC
(7,2),-1.19672 # DEPENDENCYPART_ARC
(7,3),1.69426 # DEPENDENCYPART_ARC
(7,4),2.45541 # DEPENDENCYPART_ARC
(7,5),1.4808 # DEPENDENCYPART_ARC
(7,6),0.582509 # DEPENDENCYPART_ARC
(7,8),2.6807 # DEPENDENCYPART_ARC
(7,9),0.0688944 # DEPENDENCYPART_ARC
(7,10),0.815137 # DEPENDENCYPART_ARC
(7,11),0.748561 # DEPENDENCYPART_ARC
(7,12),1.45712 # DEPENDENCYPART_ARC
(7,13),-0.99369 # DEPENDENCYPART_ARC
(7,14),0.0635604 # DEPENDENCYPART_ARC
(7,15),-0.283983 # DEPENDENCYPART_ARC
(7,16),0.35803 # DEPENDENCYPART_ARC
(7,17),0.832293 # DEPENDENCYPART_ARC
(7,18),-0.231654 # DEPENDENCYPART_ARC
(7,19),-1.09097 # DEPENDENCYPART_ARC
(7,20),-0.243964 # DEPENDENCYPART_ARC
(7,21),-0.874749 # DEPENDENCYPART_ARC
(7,22),-1.37329 # DEPENDENCYPART_ARC
(7,23),-1.48593 # DEPENDENCYPART_ARC
(7,24),-0.983487 # DEPENDENCYPART_ARC
(7,25),-0.789267 # DEPENDENCYPART_ARC
(7,26),0.451725 # DEPENDENCYPART_ARC
(7,27),-2.85899 # DEPENDENCYPART_ARC
(7,28),-2.16449 # DEPENDENCYPART_ARC
(7,29),-1.65119 # DEPENDENCYPART_ARC
(7,30),-1.98009 # DEPENDENCYPART_ARC
(7,31),-0.422105 # DEPENDENCYPART_ARC
(7,32),-1.60639 # DEPENDENCYPART_ARC
(7,33),-2.51094 # DEPENDENCYPART_ARC
(7,34),-2.21263 # DEPENDENCYPART_ARC
(7,35),-2.43042 # DEPENDENCYPART_ARC
(7,36),-1.7655 # DEPENDENCYPART_ARC
(7,37),-0.565079 # DEPENDENCYPART_ARC
(8,1),-1.44083 # DEPENDENCYPART_ARC
(8,2),-1.13534 # DEPENDENCYPART_ARC
(8,3),-0.205972 # DEPENDENCYPART_ARC
(8,4),-0.80296 # DEPENDENCYPART_ARC
(8,5),-0.858178 # DEPENDENCYPART_ARC
(8,6),-0.378559 # DEPENDENCYPART_ARC
(8,7),0.674013 # DEPENDENCYPART_ARC
(8,9),0.390645 # DEPENDENCYPART_ARC
(8,10),1.23582 # DEPENDENCYPART_ARC
(8,11),3.97982 # DEPENDENCYPART_ARC
(8,12),-0.111082 # DEPENDENCYPART_ARC
(8,13),0.491467 # DEPENDENCYPART_ARC
(8,14),-0.0916672 # DEPENDENCYPART_ARC
(8,15),-1.47431 # DEPENDENCYPART_ARC
(8,16),-0.970084 # DEPENDENCYPART_ARC
(8,17),0.235203 # DEPENDENCYPART_ARC
(8,18),-0.593427 # DEPENDENCYPART_ARC
(8,19),-0.610385 # DEPENDENCYPART_ARC
(8,20),-0.779852 # DEPENDENCYPART_ARC
(8,21),-1.50158 # DEPENDENCYPART_ARC
(8,22),-3.11195 # DEPENDENCYPART_ARC
(8,23),-1.25085 # DEPENDENCYPART_ARC
(8,24),-0.86472 # DEPENDENCYPART_ARC
(8,25),-2.56336 # DEPENDENCYPART_ARC
(8,26),0.567861 # DEPENDENCYPART_ARC
(8,27),-3.09537 # DEPENDENCYPART_ARC
(8,28),-4.10177 # DEPENDENCYPART_ARC
(8,29),-2.28407 # DEPENDENCYPART_ARC
(8,30),-2.04943 # DEPENDENCYPART_ARC
(8,31),-1.24723 # DEPENDENCYPART_ARC
(8,32),-3.97173 # DEPENDENCYPART_ARC
(8,33),-6.55402 # DEPENDENCYPART_ARC
(8,34),-2.27278 # DEPENDENCYPART_ARC
(8,35),-5.01568 # DEPENDENCYPART_ARC
(8,36),-9.35207 # DEPENDENCYPART_ARC
(8,37),-0.0567033 # DEPENDENCYPART_ARC
(9,1),-2.66732 # DEPENDENCYPART_ARC
(9,2),-2.6393 # DEPENDENCYPART_ARC
(9,3),-1.89475 # DEPENDENCYPART_ARC
(9,4),-2.25604 # DEPENDENCYPART_ARC
(9,5),-2.38454 # DEPENDENCYPART_ARC
(9,6),-1.9568 # DEPENDENCYPART_ARC
(9,7),-2.05734 # DEPENDENCYPART_ARC
(9,8),-0.821771 # DEPENDENCYPART_ARC
(9,10),0.841505 # DEPENDENCYPART_ARC
(9,11),-0.700659 # DEPENDENCYPART_ARC
(9,12),-0.687905 # DEPENDENCYPART_ARC
(9,13),-2.11811 # DEPENDENCYPART_ARC
(9,14),-0.963781 # DEPENDENCYPART_ARC
(9,15),-2.15271 # DEPENDENCYPART_ARC
(9,16),-1.43682 # DEPENDENCYPART_ARC
(9,17),-0.958321 # DEPENDENCYPART_ARC
(9,18),-1.7957 # DEPENDENCYPART_ARC
(9,19),-1.88738 # DEPENDENCYPART_ARC
(9,20),-2.23376 # DEPENDENCYPART_ARC
(9,21),-1.88611 # DEPENDENCYPART_ARC
(9,22),-3.1245 # DEPENDENCYPART_ARC
(9,23),-2.58457 # DEPENDENCYPART_ARC
(9,24),-2.38624 # DEPENDENCYPART_ARC
(9,25),-2.8042 # DEPENDENCYPART_ARC
(9,26),-2.14342 # DEPENDENCYPART_ARC
(9,27),-3.3446 # DEPENDENCYPART_ARC
(9,28),-4.12434 # DEPENDENCYPART_ARC
(9,29),-2.95602 # DEPENDENCYPART_ARC
(9,30),-2.93994 # DEPENDENCYPART_ARC
(9,31),-2.58389 # DEPENDENCYPART_ARC
(9,32),-3.28332 # DEPENDENCYPART_ARC
(9,33),-4.63545 # DEPENDENCYPART_ARC
(9,34),-3.60853 # DEPENDENCYPART_ARC
(9,35),-4.58744 # DEPENDENCYPART_ARC
(9,36),-3.97367 # DEPENDENCYPART_ARC
(9,37),-2.48229 # DEPENDENCYPART_ARC
(10,1),-2.17889 # DEPENDENCYPART_ARC
(10,2),-1.76383 # DEPENDENCYPART_ARC
(10,3),-0.368376 # DEPENDENCYPART_ARC
(10,4),-0.859264 # DEPENDENCYPART_ARC
(10,5),-1.43242 # DEPENDENCYPART_ARC
(10,6),-1.20645 # DEPENDENCYPART_ARC
(10,7),-0.80644 # DEPENDENCYPART_ARC
(10,8),-0.275746 # DEPENDENCYPART_ARC
(10,9),2.25369 # DEPENDENCYPART_ARC
(10,11),0.471272 # DEPENDENCYPART_ARC
(10,12),0.266002 # DEPENDENCYPART_ARC
(10,13),-0.425818 # DEPENDENCYPART_ARC
(10,14),-0.80486 # DEPENDENCYPART_ARC
(10,15),-1.25619 # DEPENDENCYPART_ARC
(10,16),-0.791575 # DEPENDENCYPART_ARC
(10,17),0.338514 # DEPENDENCYPART_ARC
(10,18),-1.10819 # DEPENDENCYPART_ARC
(10,19),-1.10494 # DEPENDENCYPART_ARC
(10,20),-1.10202 # DEPENDENCYPART_ARC
(10,21),-1.28129 # DEPENDENCYPART_ARC
(10,22),-1.94317 # DEPENDENCYPART_ARC
(10,23),-1.66595 # DEPENDENCYPART_ARC
(10,24),-1.95235 # DEPENDENCYPART_ARC
(10,25),-1.74298 # DEPENDENCYPART_ARC
(10,26),-0.981561 # DEPENDENCYPART_ARC
(10,27),-2.73715 # DEPENDENCYPART_ARC
(10,28),-2.22827 # DEPENDENCYPART_ARC
(10,29),-2.42233 # DEPENDENCYPART_ARC
(10,30),-2.22342 # DEPENDENCYPART_ARC
(10,31),-1.56384 # DEPENDENCYPART_ARC
(10,32),-2.5924 # DEPENDENCYPART_ARC
(10,33),-2.81921 # DEPENDENCYPART_ARC
(10,34),-2.8868 # DEPENDENCYPART_ARC
(10,35),-3.13223 # DEPENDENCYPART_ARC
(10,36),-3.26141 # DEPENDENCYPART_ARC
(10,37),-1.5449 # DEPENDENCYPART_ARC
(11,1),-0.798416 # DEPENDENCYPART_ARC
(11,2),-1.16535 # DEPENDENCYPART_ARC
(11,3),-0.110158 # DEPENDENCYPART_ARC
(11,4),0.264441 # DEPENDENCYPART_ARC
(11,5),-1.22235 # DEPENDENCYPART_ARC
(11,6),-0.361107 # DEPENDENCYPART_ARC
(11,7),-0.27023 # DEPENDENCYPART_ARC
(11,8),0.740985 # DEPENDENCYPART_ARC
(11,9),4.64708 # DEPENDENCYPART_ARC
(11,10),4.13048 # DEPENDENCYPART_ARC
(11,12),2.80679 # DEPENDENCYPART_ARC
(11,13),0.26237 # DEPENDENCYPART_ARC
(11,14),0.432626 # DEPENDENCYPART_ARC
(11,15),0.0960077 # DEPENDENCYPART_ARC
(11,16),1.10897 # DEPENDENCYPART_ARC
(11,17),0.451101 # DEPENDENCYPART_ARC
(11,18),0.265154 # DEPENDENCYPART_ARC
(11,19),-0.0283935 # DEPENDENCYPART_ARC
(11,20),0.252254 # DEPENDENCYPART_ARC
(11,21),-0.281651 # DEPENDENCYPART_ARC
(11,22),-0.732782 # DEPENDENCYPART_ARC
(11,23),-0.666793 # DEPENDENCYPART_ARC
(11,24),-0.716401 # DEPENDENCYPART_ARC
(11,25),-0.367009 # DEPENDENCYPART_ARC
(11,26),0.399609 # DEPENDENCYPART_ARC
(11,27),-3.16131 # DEPENDENCYPART_ARC
(11,28),-2.65213 # DEPENDENCYPART_ARC
(11,29),-1.27368 # DEPENDENCYPART_ARC
(11,30),-1.3714 # DEPENDENCYPART_ARC
(11,31),-0.328819 # DEPENDENCYPART_ARC
(11,32),-1.43307 # DEPENDENCYPART_ARC
(11,33),-3.15 # DEPENDENCYPART_ARC
(11,34),-1.72517 # DEPENDENCYPART_ARC
(11,35),-1.32375 # DEPENDENCYPART_ARC
(11,36),-2.12363 # DEPENDENCYPART_ARC
(11,37),-0.522132 # DEPENDENCYPART_ARC
(12,1),-2.34367 # DEPENDENCYPART_ARC
(12,2),-1.96244 # DEPENDENCYPART_ARC
(12,3),-1.7124 # DEPENDENCYPART_ARC
(12,4),-1.71256 # DEPENDENCYPART_ARC
(12,5),-1.60131 # DEPENDENCYPART_ARC
(12,6),-1.27609 # DEPENDENCYPART_ARC
(12,7),-0.769951 # DEPENDENCYPART_ARC
(12,8),-1.01893 # DEPENDENCYPART_ARC
(12,9),-0.566274 # DEPENDENCYPART_ARC
(12,10),-0.49312 # DEPENDENCYPART_ARC
(12,11),0.509407 # DEPENDENCYPART_ARC
(12,13),3.37242 # DEPENDENCYPART_ARC
(12,14),1.51588 # DEPENDENCYPART_ARC
(12,15),-0.851633 # DEPENDENCYPART_ARC
(12,16),0.534207 # DEPENDENCYPART_ARC
(12,17),0.330563 # DEPENDENCYPART_ARC
(12,18),-0.765053 # DEPENDENCYPART_ARC
(12,19),-0.992799 # DEPENDENCYPART_ARC
(12,20),-1.05075 # DEPENDENCYPART_ARC
(12,21),-2.76382 # DEPENDENCYPART_ARC
(12,22),-2.80526 # DEPENDENCYPART_ARC
(12,23),-1.61248 # DEPENDENCYPART_ARC
(12,24),-0.761061 # DEPENDENCYPART_ARC
(12,25),-2.66616 # DEPENDENCYPART_ARC
(12,26),-0.809343 # DEPENDENCYPART_ARC
(12,27),-1.41089 # DEPENDENCYPART_ARC
(12,28),-3.18322 # DEPENDENCYPART_ARC
(12,29),-1.83686 # DEPENDENCYPART_ARC
(12,30),-1.05206 # DEPENDENCYPART_ARC
(12,31),-1.1671 # DEPENDENCYPART_ARC
(12,32),-4.49879 # DEPENDENCYPART_ARC
(12,33),-5.77873 # DEPENDENCYPART_ARC
(12,34),-2.04024 # DEPENDENCYPART_ARC
(12,35),-5.05704 # DEPENDENCYPART_ARC
(12,36),-9.00674 # DEPENDENCYPART_ARC
(12,37),-1.24245 # DEPENDENCYPART_ARC
(13,1),-2.13564 # DEPENDENCYPART_ARC
(13,2),-2.07816 # DEPENDENCYPART_ARC
(13,3),-0.774695 # DEPENDENCYPART_ARC
(13,4),-1.78681 # DEPENDENCYPART_ARC
(13,5),-1.69438 # DEPENDENCYPART_ARC
(13,6),-1.68704 # DEPENDENCYPART_ARC
(13,7),-1.20986 # DEPENDENCYPART_ARC
(13,8),-1.56278 # DEPENDENCYPART_ARC
(13,9),0.827779 # DEPENDENCYPART_ARC
(13,10),-0.263036 # DEPENDENCYPART_ARC
(13,11),-0.0335967 # DEPENDENCYPART_ARC
(13,12),1.05641 # DEPENDENCYPART_ARC
(13,14),4.40048 # DEPENDENCYPART_ARC
(13,15),1.85285 # DEPENDENCYPART_ARC
(13,16),3.18847 # DEPENDENCYPART_ARC
(13,17),1.85905 # DEPENDENCYPART_ARC
(13,18),0.885419 # DEPENDENCYPART_ARC
(13,19),0.20167 # DEPENDENCYPART_ARC
(13,20),0.818169 # DEPENDENCYPART_ARC
(13,21),-0.72934 # DEPENDENCYPART_ARC
(13,22),-0.0399107 # DEPENDENCYPART_ARC
(13,23),-0.099473 # DEPENDENCYPART_ARC
(13,24),-0.905071 # DEPENDENCYPART_ARC
(13,25),-1.15721 # DEPENDENCYPART_ARC
(13,26),-0.300146 # DEPENDENCYPART_ARC
(13,27),-1.96564 # DEPENDENCYPART_ARC
(13,28),-0.775721 # DEPENDENCYPART_ARC
(13,29),-0.805345 # DEPENDENCYPART_ARC
(13,30),-0.854144 # DEPENDENCYPART_ARC
(13,31),1.12929 # DEPENDENCYPART_ARC
(13,32),1.16013 # DEPENDENCYPART_ARC
(13,33),-1.76197 # DEPENDENCYPART_ARC
(13,34),-2.56599 # DEPENDENCYPART_ARC
(13,35),-0.746089 # DEPENDENCYPART_ARC
