# _root_ The New York Stock Exchange , under its own rules , remained open .
#goldHeads=5,5,5,5,12,12,12,10,10,7,12,0,12,12,
#predictedHeads=5,5,5,5,12,12,12,10,10,7,12,0,12,12,
(2,8),-2.28483 # DEPENDENCYPART_ARC
(2,9),-1.84323 # DEPENDENCYPART_ARC
(2,10),-1.26446 # DEPENDENCYPART_ARC
(2,11),-1.352 # DEPENDENCYPART_ARC
(2,12),-1.51776 # DEPENDENCYPART_ARC
(2,13),-2.46197 # DEPENDENCYPART_ARC
(2,14),-1.98412 # DEPENDENCYPART_ARC
(3,1),1.28472 # DEPENDENCYPART_ARC
(3,2),1.85329 # DEPENDENCYPART_ARC
(3,4),0.0767234 # DEPENDENCYPART_ARC
(3,5),0.593854 # DEPENDENCYPART_ARC
(3,6),-0.889068 # DEPENDENCYPART_ARC
(3,7),-2.79451 # DEPENDENCYPART_ARC
(3,8),-2.76958 # DEPENDENCYPART_ARC
(3,9),-2.31877 # DEPENDENCYPART_ARC
(3,10),-1.65177 # DEPENDENCYPART_ARC
(3,11),-0.935173 # DEPENDENCYPART_ARC
(3,12),-2.20393 # DEPENDENCYPART_ARC
(3,13),-2.87783 # DEPENDENCYPART_ARC
(3,14),-1.71601 # DEPENDENCYPART_ARC
(4,1),1.57997 # DEPENDENCYPART_ARC
(4,2),2.27347 # DEPENDENCYPART_ARC
(4,3),2.28701 # DEPENDENCYPART_ARC
(4,5),1.55026 # DEPENDENCYPART_ARC
(4,6),0.090857 # DEPENDENCYPART_ARC
(4,7),-1.52441 # DEPENDENCYPART_ARC
(4,8),-1.4841 # DEPENDENCYPART_ARC
(4,9),-1.11725 # DEPENDENCYPART_ARC
(4,10),-0.481869 # DEPENDENCYPART_ARC
(4,11),0.58237 # DEPENDENCYPART_ARC
(4,12),-1.09485 # DEPENDENCYPART_ARC
(4,13),-1.8836 # DEPENDENCYPART_ARC
(4,14),-0.718811 # DEPENDENCYPART_ARC
(5,1),3.96174 # DEPENDENCYPART_ARC
(5,2),4.94481 # DEPENDENCYPART_ARC
(5,3),4.78063 # DEPENDENCYPART_ARC
(5,4),4.84821 # DEPENDENCYPART_ARC
(5,6),0.593489 # DEPENDENCYPART_ARC
(5,7),-0.0871767 # DEPENDENCYPART_ARC
(5,8),-1.09062 # DEPENDENCYPART_ARC
(5,9),-0.755513 # DEPENDENCYPART_ARC
(5,10),-0.360562 # DEPENDENCYPART_ARC
(5,11),0.679369 # DEPENDENCYPART_ARC
(5,12),-0.87543 # DEPENDENCYPART_ARC
(5,13),-1.63416 # DEPENDENCYPART_ARC
(5,14),-1.01318 # DEPENDENCYPART_ARC
(6,1),-1.1924 # DEPENDENCYPART_ARC
(6,2),-1.79844 # DEPENDENCYPART_ARC
(6,3),-1.47647 # DEPENDENCYPART_ARC
(6,4),-1.5829 # DEPENDENCYPART_ARC
(6,5),-1.0024 # DEPENDENCYPART_ARC
(6,7),-1.01197 # DEPENDENCYPART_ARC
(6,8),-1.66153 # DEPENDENCYPART_ARC
(6,9),-1.63595 # DEPENDENCYPART_ARC
(6,10),-1.94522 # DEPENDENCYPART_ARC
(6,11),-0.578628 # DEPENDENCYPART_ARC
(6,12),-1.75159 # DEPENDENCYPART_ARC
(6,13),-2.42176 # DEPENDENCYPART_ARC
(6,14),-1.78025 # DEPENDENCYPART_ARC
(7,1),-0.528607 # DEPENDENCYPART_ARC
(7,2),-0.85533 # DEPENDENCYPART_ARC
(7,3),-0.846269 # DEPENDENCYPART_ARC
(7,4),-0.572286 # DEPENDENCYPART_ARC
(7,5),-0.713302 # DEPENDENCYPART_ARC
(7,6),0.821856 # DEPENDENCYPART_ARC
(7,8),0.873792 # DEPENDENCYPART_ARC
(7,9),1.67483 # DEPENDENCYPART_ARC
(7,10),3.04891 # DEPENDENCYPART_ARC
(7,11),1.35785 # DEPENDENCYPART_ARC
(7,12),1.29858 # DEPENDENCYPART_ARC
(7,13),0.191999 # DEPENDENCYPART_ARC
(7,14),0.810888 # DEPENDENCYPART_ARC
(8,1),-1.42719 # DEPENDENCYPART_ARC
(8,2),-1.59804 # DEPENDENCYPART_ARC
(8,3),-1.47697 # DEPENDENCYPART_ARC
(8,4),-1.24546 # DEPENDENCYPART_ARC
(8,5),-0.911061 # DEPENDENCYPART_ARC
(8,6),-0.615853 # DEPENDENCYPART_ARC
(8,7),-0.130624 # DEPENDENCYPART_ARC
(8,9),0.461367 # DEPENDENCYPART_ARC
(8,10),0.303568 # DEPENDENCYPART_ARC
(8,11),-0.309993 # DEPENDENCYPART_ARC
(8,12),-0.664494 # DEPENDENCYPART_ARC
(8,13),-1.28313 # DEPENDENCYPART_ARC
(8,14),-0.845011 # DEPENDENCYPART_ARC
(9,1),-0.373516 # DEPENDENCYPART_ARC
(9,2),0.370044 # DEPENDENCYPART_ARC
(9,3),-0.779759 # DEPENDENCYPART_ARC
(9,4),-0.600278 # DEPENDENCYPART_ARC
(9,5),-0.854522 # DEPENDENCYPART_ARC
(9,6),-0.0568446 # DEPENDENCYPART_ARC
(9,7),0.14169 # DEPENDENCYPART_ARC
(9,8),1.9413 # DEPENDENCYPART_ARC
(9,10),0.984392 # DEPENDENCYPART_ARC
(9,11),-0.260052 # DEPENDENCYPART_ARC
(9,12),-0.636197 # DEPENDENCYPART_ARC
(9,13),-1.09151 # DEPENDENCYPART_ARC
(9,14),-1.16654 # DEPENDENCYPART_ARC
(10,1),0.502359 # DEPENDENCYPART_ARC
(10,2),0.661213 # DEPENDENCYPART_ARC
(10,3),0.0541011 # DEPENDENCYPART_ARC
(10,4),-0.170935 # DEPENDENCYPART_ARC
(10,5),-0.616397 # DEPENDENCYPART_ARC
(10,6),-0.361461 # DEPENDENCYPART_ARC
(10,7),0.42383 # DEPENDENCYPART_ARC
(10,8),4.12075 # DEPENDENCYPART_ARC
(10,9),3.93045 # DEPENDENCYPART_ARC
(10,11),0.770185 # DEPENDENCYPART_ARC
(10,12),0.31742 # DEPENDENCYPART_ARC
(10,13),-1.02873 # DEPENDENCYPART_ARC
(10,14),-0.618086 # DEPENDENCYPART_ARC
(11,1),-1.65538 # DEPENDENCYPART_ARC
(11,2),-2.24151 # DEPENDENCYPART_ARC
(11,3),-2.16573 # DEPENDENCYPART_ARC
(11,4),-2.02103 # DEPENDENCYPART_ARC
(11,5),-1.93603 # DEPENDENCYPART_ARC
(11,6),-0.423875 # DEPENDENCYPART_ARC
(11,7),-1.37713 # DEPENDENCYPART_ARC
(11,8),-0.494674 # DEPENDENCYPART_ARC
(11,9),-1.23797 # DEPENDENCYPART_ARC
(11,10),-1.11902 # DEPENDENCYPART_ARC
(11,12),-0.259539 # DEPENDENCYPART_ARC
(11,13),-1.30242 # DEPENDENCYPART_ARC
(11,14),-1.38291 # DEPENDENCYPART_ARC
(12,1),-1.11572 # DEPENDENCYPART_ARC
(12,2),0.929537 # DEPENDENCYPART_ARC
(12,3),0.999101 # DEPENDENCYPART_ARC
(12,4),1.55938 # DEPENDENCYPART_ARC
(12,5),1.48468 # DEPENDENCYPART_ARC
(12,6),2.35777 # DEPENDENCYPART_ARC
(12,7),1.60732 # DEPENDENCYPART_ARC
(12,8),0.882828 # DEPENDENCYPART_ARC
(12,9),1.31684 # DEPENDENCYPART_ARC
(12,10),1.70016 # DEPENDENCYPART_ARC
(12,11),1.86138 # DEPENDENCYPART_ARC
(12,13),2.52071 # DEPENDENCYPART_ARC
(12,14),3.68353 # DEPENDENCYPART_ARC
(13,1),-0.86518 # DEPENDENCYPART_ARC
(13,2),-0.130074 # DEPENDENCYPART_ARC
(13,3),-1.09204 # DEPENDENCYPART_ARC
(13,4),-1.15442 # DEPENDENCYPART_ARC
(13,5),-1.50089 # DEPENDENCYPART_ARC
(13,6),-0.601374 # DEPENDENCYPART_ARC
(13,7),-0.370154 # DEPENDENCYPART_ARC
(13,8),0.750664 # DEPENDENCYPART_ARC
(13,9),0.704772 # DEPENDENCYPART_ARC
(13,10),-0.282287 # DEPENDENCYPART_ARC
(13,11),0.384461 # DEPENDENCYPART_ARC
(13,12),0.323147 # DEPENDENCYPART_ARC
(13,14),0.1721 # DEPENDENCYPART_ARC
(14,1),-2.09316 # DEPENDENCYPART_ARC
(14,2),-2.21317 # DEPENDENCYPART_ARC
(14,3),-2.19617 # DEPENDENCYPART_ARC
(14,4),-2.09222 # DEPENDENCYPART_ARC
(14,5),-2.21653 # DEPENDENCYPART_ARC
(14,6),-0.729699 # DEPENDENCYPART_ARC
(14,7),-1.68874 # DEPENDENCYPART_ARC
(14,8),-1.03499 # DEPENDENCYPART_ARC
(14,9),-2.02851 # DEPENDENCYPART_ARC
(14,10),-2.03273 # DEPENDENCYPART_ARC
(14,11),-0.440041 # DEPENDENCYPART_ARC
(14,12),-1.63764 # DEPENDENCYPART_ARC
(14,13),-1.38399 # DEPENDENCYPART_ARC
