# _root_ In London , a midday rally left the market 's major index off 3.2 % , and Tokyo 's leading stock index fell only 1.8 % in surprisingly lackluster trading .
#goldHeads=7,1,7,6,6,7,0,9,12,9,12,7,7,15,13,7,7,22,18,22,22,23,17,26,24,23,23,30,30,27,7,
#predictedHeads=7,1,7,6,6,7,0,9,12,9,12,7,7,15,13,7,7,22,18,22,22,23,17,26,24,23,23,30,30,27,7,
(1,5),-1.17749 # DEPENDENCYPART_ARC
(1,6),-0.923021 # DEPENDENCYPART_ARC
(1,7),0.234375 # DEPENDENCYPART_ARC
(1,8),-2.19659 # DEPENDENCYPART_ARC
(1,9),-3.75916 # DEPENDENCYPART_ARC
(1,10),-1.47797 # DEPENDENCYPART_ARC
(1,11),-2.47251 # DEPENDENCYPART_ARC
(1,12),-3.4063 # DEPENDENCYPART_ARC
(1,13),-1.03383 # DEPENDENCYPART_ARC
(1,14),-3.91048 # DEPENDENCYPART_ARC
(1,15),-7.53432 # DEPENDENCYPART_ARC
(1,16),0.0299426 # DEPENDENCYPART_ARC
(1,17),-2.06971 # DEPENDENCYPART_ARC
(1,18),-8.24698 # DEPENDENCYPART_ARC
(1,19),-2.53177 # DEPENDENCYPART_ARC
(1,20),-3.71159 # DEPENDENCYPART_ARC
(1,21),-8.7678 # DEPENDENCYPART_ARC
(1,22),-7.75728 # DEPENDENCYPART_ARC
(1,23),-4.00857 # DEPENDENCYPART_ARC
(1,24),-4.08809 # DEPENDENCYPART_ARC
(1,25),-6.63751 # DEPENDENCYPART_ARC
(1,26),-14.2369 # DEPENDENCYPART_ARC
(1,27),-4.58985 # DEPENDENCYPART_ARC
(1,28),-4.31183 # DEPENDENCYPART_ARC
(1,29),-13.0672 # DEPENDENCYPART_ARC
(1,30),-13.5102 # DEPENDENCYPART_ARC
(1,31),0.864672 # DEPENDENCYPART_ARC
(2,1),-0.116493 # DEPENDENCYPART_ARC
(2,3),0.75458 # DEPENDENCYPART_ARC
(2,4),-0.751385 # DEPENDENCYPART_ARC
(2,5),-0.231944 # DEPENDENCYPART_ARC
(2,6),-0.234237 # DEPENDENCYPART_ARC
(2,7),0.209211 # DEPENDENCYPART_ARC
(2,8),-1.06641 # DEPENDENCYPART_ARC
(2,9),-1.96517 # DEPENDENCYPART_ARC
(2,10),-1.26374 # DEPENDENCYPART_ARC
(2,11),-1.53201 # DEPENDENCYPART_ARC
(2,12),-2.34906 # DEPENDENCYPART_ARC
(2,13),-2.05661 # DEPENDENCYPART_ARC
(2,14),-2.87795 # DEPENDENCYPART_ARC
(2,15),-3.34162 # DEPENDENCYPART_ARC
(2,16),0.0541818 # DEPENDENCYPART_ARC
(2,17),0.00034307 # DEPENDENCYPART_ARC
(2,18),-4.59682 # DEPENDENCYPART_ARC
(2,19),-2.98224 # DEPENDENCYPART_ARC
(2,20),-2.40189 # DEPENDENCYPART_ARC
(2,21),-4.41167 # DEPENDENCYPART_ARC
(2,22),-5.56247 # DEPENDENCYPART_ARC
(2,23),-2.15356 # DEPENDENCYPART_ARC
(2,24),-3.63227 # DEPENDENCYPART_ARC
(2,25),-4.37366 # DEPENDENCYPART_ARC
(2,26),-7.39749 # DEPENDENCYPART_ARC
(2,27),-3.59937 # DEPENDENCYPART_ARC
(2,28),-3.69562 # DEPENDENCYPART_ARC
(2,29),-8.32267 # DEPENDENCYPART_ARC
(2,30),-7.86011 # DEPENDENCYPART_ARC
(2,31),-2.94875 # DEPENDENCYPART_ARC
(3,1),-1.26066 # DEPENDENCYPART_ARC
(3,2),-1.02885 # DEPENDENCYPART_ARC
(3,4),-0.381003 # DEPENDENCYPART_ARC
(3,5),-1.03406 # DEPENDENCYPART_ARC
(3,6),-1.41212 # DEPENDENCYPART_ARC
(3,7),-0.996436 # DEPENDENCYPART_ARC
(3,8),-1.78926 # DEPENDENCYPART_ARC
(3,9),-2.23121 # DEPENDENCYPART_ARC
(3,10),-1.88319 # DEPENDENCYPART_ARC
(3,11),-2.09718 # DEPENDENCYPART_ARC
(3,12),-2.7455 # DEPENDENCYPART_ARC
(3,13),-1.60619 # DEPENDENCYPART_ARC
(3,14),-2.63989 # DEPENDENCYPART_ARC
(3,15),-2.86141 # DEPENDENCYPART_ARC
(3,16),-1.48719 # DEPENDENCYPART_ARC
(3,17),-2.29965 # DEPENDENCYPART_ARC
(3,18),-2.75001 # DEPENDENCYPART_ARC
(3,19),-2.76285 # DEPENDENCYPART_ARC
(3,20),-2.50527 # DEPENDENCYPART_ARC
(3,21),-3.46428 # DEPENDENCYPART_ARC
(3,22),-3.57912 # DEPENDENCYPART_ARC
(3,23),-2.68544 # DEPENDENCYPART_ARC
(3,24),-3.21022 # DEPENDENCYPART_ARC
(3,25),-3.72953 # DEPENDENCYPART_ARC
(3,26),-4.05404 # DEPENDENCYPART_ARC
(3,27),-2.8871 # DEPENDENCYPART_ARC
(3,28),-3.62488 # DEPENDENCYPART_ARC
(3,29),-4.32386 # DEPENDENCYPART_ARC
(3,30),-4.45644 # DEPENDENCYPART_ARC
(3,31),-3.49425 # DEPENDENCYPART_ARC
(4,1),-0.659683 # DEPENDENCYPART_ARC
(4,2),-1.08431 # DEPENDENCYPART_ARC
(4,3),-0.187597 # DEPENDENCYPART_ARC
(4,5),0.749459 # DEPENDENCYPART_ARC
(4,6),0.198887 # DEPENDENCYPART_ARC
(4,7),0.380552 # DEPENDENCYPART_ARC
(4,8),-1.42426 # DEPENDENCYPART_ARC
(4,9),-0.628448 # DEPENDENCYPART_ARC
(4,10),-1.44648 # DEPENDENCYPART_ARC
(4,11),-1.31561 # DEPENDENCYPART_ARC
(4,12),-1.27077 # DEPENDENCYPART_ARC
(4,13),-1.50048 # DEPENDENCYPART_ARC
(4,14),-1.27452 # DEPENDENCYPART_ARC
(4,15),-1.71416 # DEPENDENCYPART_ARC
(4,16),-1.40256 # DEPENDENCYPART_ARC
(4,17),-1.75604 # DEPENDENCYPART_ARC
(4,18),-2.20296 # DEPENDENCYPART_ARC
(4,19),-2.5981 # DEPENDENCYPART_ARC
(4,20),-2.10729 # DEPENDENCYPART_ARC
(4,21),-2.1736 # DEPENDENCYPART_ARC
(4,22),-2.21648 # DEPENDENCYPART_ARC
(4,23),-3.03803 # DEPENDENCYPART_ARC
(4,24),-2.54757 # DEPENDENCYPART_ARC
(4,25),-2.79816 # DEPENDENCYPART_ARC
(4,26),-2.93282 # DEPENDENCYPART_ARC
(4,27),-4.1082 # DEPENDENCYPART_ARC
(4,28),-3.03124 # DEPENDENCYPART_ARC
(4,29),-3.05403 # DEPENDENCYPART_ARC
(4,30),-3.27542 # DEPENDENCYPART_ARC
(4,31),-2.62156 # DEPENDENCYPART_ARC
(5,1),-1.08196 # DEPENDENCYPART_ARC
(5,2),-1.27792 # DEPENDENCYPART_ARC
(5,3),-0.222805 # DEPENDENCYPART_ARC
(5,4),2.53297 # DEPENDENCYPART_ARC
(5,6),1.71083 # DEPENDENCYPART_ARC
(5,7),1.25954 # DEPENDENCYPART_ARC
(5,8),-0.104204 # DEPENDENCYPART_ARC
(5,9),-0.395677 # DEPENDENCYPART_ARC
(5,10),0.627287 # DEPENDENCYPART_ARC
(5,11),-0.156849 # DEPENDENCYPART_ARC
(5,12),-0.514156 # DEPENDENCYPART_ARC
(5,13),-0.708168 # DEPENDENCYPART_ARC
(5,14),-0.729622 # DEPENDENCYPART_ARC
(5,15),-1.70158 # DEPENDENCYPART_ARC
(5,16),-0.215667 # DEPENDENCYPART_ARC
(5,17),-0.836735 # DEPENDENCYPART_ARC
(5,18),-1.61887 # DEPENDENCYPART_ARC
(5,19),-1.94628 # DEPENDENCYPART_ARC
(5,20),-0.593043 # DEPENDENCYPART_ARC
(5,21),-2.35274 # DEPENDENCYPART_ARC
(5,22),-2.00902 # DEPENDENCYPART_ARC
(5,23),-2.67536 # DEPENDENCYPART_ARC
(5,24),-1.791 # DEPENDENCYPART_ARC
(5,25),-1.79455 # DEPENDENCYPART_ARC
(5,26),-3.81025 # DEPENDENCYPART_ARC
(5,27),-3.25698 # DEPENDENCYPART_ARC
(5,28),-1.73624 # DEPENDENCYPART_ARC
(5,29),-3.19811 # DEPENDENCYPART_ARC
(5,30),-3.89693 # DEPENDENCYPART_ARC
(5,31),0.345974 # DEPENDENCYPART_ARC
(6,1),0.177615 # DEPENDENCYPART_ARC
(6,2),0.353608 # DEPENDENCYPART_ARC
(6,3),1.11725 # DEPENDENCYPART_ARC
(6,4),4.58058 # DEPENDENCYPART_ARC
(6,5),4.30606 # DEPENDENCYPART_ARC
(6,7),1.08269 # DEPENDENCYPART_ARC
(6,8),-0.330901 # DEPENDENCYPART_ARC
(6,9),-0.119804 # DEPENDENCYPART_ARC
(6,10),1.03227 # DEPENDENCYPART_ARC
(6,11),-0.0607547 # DEPENDENCYPART_ARC
(6,12),-0.409813 # DEPENDENCYPART_ARC
(6,13),-0.0662432 # DEPENDENCYPART_ARC
(6,14),-0.735567 # DEPENDENCYPART_ARC
(6,15),-1.25502 # DEPENDENCYPART_ARC
(6,16),0.134167 # DEPENDENCYPART_ARC
(6,17),-0.5645 # DEPENDENCYPART_ARC
(6,18),-1.33091 # DEPENDENCYPART_ARC
(6,19),-1.74917 # DEPENDENCYPART_ARC
(6,20),-0.210785 # DEPENDENCYPART_ARC
(6,21),-2.21304 # DEPENDENCYPART_ARC
(6,22),-2.39688 # DEPENDENCYPART_ARC
(6,23),-2.69967 # DEPENDENCYPART_ARC
(6,24),-1.54575 # DEPENDENCYPART_ARC
(6,25),-1.71225 # DEPENDENCYPART_ARC
(6,26),-3.69286 # DEPENDENCYPART_ARC
(6,27),-3.00932 # DEPENDENCYPART_ARC
(6,28),-1.56365 # DEPENDENCYPART_ARC
(6,29),-3.32902 # DEPENDENCYPART_ARC
(6,30),-4.55 # DEPENDENCYPART_ARC
(6,31),0.110323 # DEPENDENCYPART_ARC
(7,1),2.88821 # DEPENDENCYPART_ARC
(7,2),0.810958 # DEPENDENCYPART_ARC
(7,3),2.85215 # DEPENDENCYPART_ARC
(7,4),1.09383 # DEPENDENCYPART_ARC
(7,5),1.63854 # DEPENDENCYPART_ARC
(7,6),2.58692 # DEPENDENCYPART_ARC
(7,8),1.06971 # DEPENDENCYPART_ARC
(7,9),2.35969 # DEPENDENCYPART_ARC
(7,10),1.07389 # DEPENDENCYPART_ARC
(7,11),0.861261 # DEPENDENCYPART_ARC
(7,12),2.35892 # DEPENDENCYPART_ARC
(7,13),2.98534 # DEPENDENCYPART_ARC
(7,14),0.31604 # DEPENDENCYPART_ARC
(7,15),0.872235 # DEPENDENCYPART_ARC
(7,16),2.12839 # DEPENDENCYPART_ARC
(7,17),2.08959 # DEPENDENCYPART_ARC
(7,18),-0.238096 # DEPENDENCYPART_ARC
(7,19),-0.278458 # DEPENDENCYPART_ARC
(7,20),1.55214 # DEPENDENCYPART_ARC
(7,21),-0.428358 # DEPENDENCYPART_ARC
(7,22),-1.01057 # DEPENDENCYPART_ARC
(7,23),1.48262 # DEPENDENCYPART_ARC
(7,24),-0.435119 # DEPENDENCYPART_ARC
(7,25),-0.501227 # DEPENDENCYPART_ARC
(7,26),-1.45623 # DEPENDENCYPART_ARC
(7,27),0.312419 # DEPENDENCYPART_ARC
(7,28),-0.625014 # DEPENDENCYPART_ARC
(7,29),-2.05335 # DEPENDENCYPART_ARC
(7,30),-2.69255 # DEPENDENCYPART_ARC
(7,31),6.03113 # DEPENDENCYPART_ARC
(8,1),-2.62251 # DEPENDENCYPART_ARC
(8,2),-2.53378 # DEPENDENCYPART_ARC
(8,3),-2.18252 # DEPENDENCYPART_ARC
(8,4),-1.40729 # DEPENDENCYPART_ARC
(8,5),-1.976 # DEPENDENCYPART_ARC
(8,6),-1.99651 # DEPENDENCYPART_ARC
(8,7),-1.07091 # DEPENDENCYPART_ARC
(8,9),0.00663989 # DEPENDENCYPART_ARC
(8,10),-0.791304 # DEPENDENCYPART_ARC
(8,11),-1.19491 # DEPENDENCYPART_ARC
(8,12),-1.38581 # DEPENDENCYPART_ARC
(8,13),-1.52495 # DEPENDENCYPART_ARC
(8,14),-1.49144 # DEPENDENCYPART_ARC
(8,15),-1.91974 # DEPENDENCYPART_ARC
(8,16),-1.49351 # DEPENDENCYPART_ARC
(8,17),-1.54851 # DEPENDENCYPART_ARC
(8,18),-2.47346 # DEPENDENCYPART_ARC
(8,19),-2.83356 # DEPENDENCYPART_ARC
(8,20),-2.36738 # DEPENDENCYPART_ARC
(8,21),-2.53937 # DEPENDENCYPART_ARC
(8,22),-2.57206 # DEPENDENCYPART_ARC
(8,23),-2.4512 # DEPENDENCYPART_ARC
(8,24),-2.85147 # DEPENDENCYPART_ARC
(8,25),-3.02895 # DEPENDENCYPART_ARC
(8,26),-3.28755 # DEPENDENCYPART_ARC
(8,27),-4.03097 # DEPENDENCYPART_ARC
(8,28),-3.19606 # DEPENDENCYPART_ARC
(8,29),-3.36963 # DEPENDENCYPART_ARC
(8,30),-3.52013 # DEPENDENCYPART_ARC
(8,31),-2.97646 # DEPENDENCYPART_ARC
(9,1),-1.47523 # DEPENDENCYPART_ARC
(9,2),-2.9193 # DEPENDENCYPART_ARC
(9,3),-1.44843 # DEPENDENCYPART_ARC
(9,4),1.13688 # DEPENDENCYPART_ARC
(9,5),0.566853 # DEPENDENCYPART_ARC
(9,6),-0.725274 # DEPENDENCYPART_ARC
(9,7),-0.151496 # DEPENDENCYPART_ARC
(9,8),5.31562 # DEPENDENCYPART_ARC
(9,10),4.46678 # DEPENDENCYPART_ARC
(9,11),1.25012 # DEPENDENCYPART_ARC
(9,12),0.406585 # DEPENDENCYPART_ARC
(9,13),0.648003 # DEPENDENCYPART_ARC
(9,14),0.306215 # DEPENDENCYPART_ARC
(9,15),-0.930666 # DEPENDENCYPART_ARC
(9,16),0.118742 # DEPENDENCYPART_ARC
(9,17),0.0380847 # DEPENDENCYPART_ARC
(9,18),-1.03856 # DEPENDENCYPART_ARC
(9,19),-0.202872 # DEPENDENCYPART_ARC
(9,20),0.140578 # DEPENDENCYPART_ARC
(9,21),-1.40841 # DEPENDENCYPART_ARC
(9,22),-1.32449 # DEPENDENCYPART_ARC
(9,23),-1.0497 # DEPENDENCYPART_ARC
(9,24),-1.21494 # DEPENDENCYPART_ARC
(9,25),-0.947022 # DEPENDENCYPART_ARC
(9,26),-3.11516 # DEPENDENCYPART_ARC
(9,27),-0.61656 # DEPENDENCYPART_ARC
(9,28),-0.994646 # DEPENDENCYPART_ARC
(9,29),-2.18647 # DEPENDENCYPART_ARC
(9,30),-3.11661 # DEPENDENCYPART_ARC
(9,31),-0.0534493 # DEPENDENCYPART_ARC
(10,1),-1.75579 # DEPENDENCYPART_ARC
(10,2),-0.99718 # DEPENDENCYPART_ARC
(10,3),-0.550635 # DEPENDENCYPART_ARC
(10,4),-0.0827767 # DEPENDENCYPART_ARC
(10,5),-0.997846 # DEPENDENCYPART_ARC
(10,6),-0.666766 # DEPENDENCYPART_ARC
(10,7),-0.203596 # DEPENDENCYPART_ARC
(10,8),1.48962 # DEPENDENCYPART_ARC
(10,9),0.482364 # DEPENDENCYPART_ARC
(10,11),0.0901834 # DEPENDENCYPART_ARC
(10,12),-0.781387 # DEPENDENCYPART_ARC
(10,13),-1.0658 # DEPENDENCYPART_ARC
(10,14),-1.45129 # DEPENDENCYPART_ARC
(10,15),-1.6446 # DEPENDENCYPART_ARC
(10,16),-0.655997 # DEPENDENCYPART_ARC
(10,17),-0.838851 # DEPENDENCYPART_ARC
(10,18),-2.2285 # DEPENDENCYPART_ARC
(10,19),-1.68167 # DEPENDENCYPART_ARC
(10,20),-1.91688 # DEPENDENCYPART_ARC
(10,21),-2.4701 # DEPENDENCYPART_ARC
(10,22),-2.6299 # DEPENDENCYPART_ARC
(10,23),-1.33861 # DEPENDENCYPART_ARC
(10,24),-2.07585 # DEPENDENCYPART_ARC
(10,25),-2.84249 # DEPENDENCYPART_ARC
(10,26),-3.00442 # DEPENDENCYPART_ARC
(10,27),-3.06906 # DEPENDENCYPART_ARC
(10,28),-2.5416 # DEPENDENCYPART_ARC
(10,29),-3.16981 # DEPENDENCYPART_ARC
(10,30),-3.30352 # DEPENDENCYPART_ARC
(10,31),-3.23001 # DEPENDENCYPART_ARC
(11,1),-2.40203 # DEPENDENCYPART_ARC
(11,2),-1.66128 # DEPENDENCYPART_ARC
(11,3),-1.66982 # DEPENDENCYPART_ARC
(11,4),-0.136513 # DEPENDENCYPART_ARC
(11,5),-0.893784 # DEPENDENCYPART_ARC
(11,6),-0.764751 # DEPENDENCYPART_ARC
(11,7),-1.48741 # DEPENDENCYPART_ARC
(11,8),0.461674 # DEPENDENCYPART_ARC
(11,9),0.247459 # DEPENDENCYPART_ARC
(11,10),0.484561 # DEPENDENCYPART_ARC
(11,12),1.33365 # DEPENDENCYPART_ARC
(11,13),-0.043219 # DEPENDENCYPART_ARC
(11,14),-0.0803482 # DEPENDENCYPART_ARC
(11,15),-0.558249 # DEPENDENCYPART_ARC
(11,16),-0.768929 # DEPENDENCYPART_ARC
(11,17),-0.549631 # DEPENDENCYPART_ARC
(11,18),-1.52477 # DEPENDENCYPART_ARC
(11,19),-0.991997 # DEPENDENCYPART_ARC
(11,20),-1.23062 # DEPENDENCYPART_ARC
(11,21),-1.35653 # DEPENDENCYPART_ARC
(11,22),-1.76044 # DEPENDENCYPART_ARC
(11,23),-0.909232 # DEPENDENCYPART_ARC
(11,24),-1.88755 # DEPENDENCYPART_ARC
(11,25),-2.38441 # DEPENDENCYPART_ARC
(11,26),-2.09471 # DEPENDENCYPART_ARC
(11,27),-2.27241 # DEPENDENCYPART_ARC
(11,28),-2.06649 # DEPENDENCYPART_ARC
(11,29),-2.49982 # DEPENDENCYPART_ARC
(11,30),-2.98635 # DEPENDENCYPART_ARC
(11,31),-0.331881 # DEPENDENCYPART_ARC
(12,1),-0.929114 # DEPENDENCYPART_ARC
(12,2),-2.7698 # DEPENDENCYPART_ARC
(12,3),-1.04062 # DEPENDENCYPART_ARC
(12,4),0.650539 # DEPENDENCYPART_ARC
(12,5),0.952014 # DEPENDENCYPART_ARC
(12,6),-1.0064 # DEPENDENCYPART_ARC
(12,7),-0.13882 # DEPENDENCYPART_ARC
(12,8),3.00397 # DEPENDENCYPART_ARC
(12,9),4.82158 # DEPENDENCYPART_ARC
(12,10),2.1088 # DEPENDENCYPART_ARC
(12,11),4.67134 # DEPENDENCYPART_ARC
(12,13),2.38391 # DEPENDENCYPART_ARC
(12,14),1.27081 # DEPENDENCYPART_ARC
(12,15),0.850762 # DEPENDENCYPART_ARC
(12,16),1.15431 # DEPENDENCYPART_ARC
(12,17),1.06703 # DEPENDENCYPART_ARC
(12,18),-0.307708 # DEPENDENCYPART_ARC
(12,19),0.295646 # DEPENDENCYPART_ARC
(12,20),1.08176 # DEPENDENCYPART_ARC
(12,21),-0.13468 # DEPENDENCYPART_ARC
(12,22),-0.0167475 # DEPENDENCYPART_ARC
(12,23),0.365488 # DEPENDENCYPART_ARC
(12,24),-0.483862 # DEPENDENCYPART_ARC
(12,25),-0.558535 # DEPENDENCYPART_ARC
(12,26),-1.58433 # DEPENDENCYPART_ARC
(12,27),-0.341351 # DEPENDENCYPART_ARC
(12,28),-0.424223 # DEPENDENCYPART_ARC
(12,29),-1.04391 # DEPENDENCYPART_ARC
(12,30),-1.87552 # DEPENDENCYPART_ARC
(12,31),1.3858 # DEPENDENCYPART_ARC
(13,1),-1.20406 # DEPENDENCYPART_ARC
(13,2),-1.55086 # DEPENDENCYPART_ARC
(13,3),-1.14347 # DEPENDENCYPART_ARC
(13,4),-0.442477 # DEPENDENCYPART_ARC
(13,5),-0.401192 # DEPENDENCYPART_ARC
(13,6),-0.719852 # DEPENDENCYPART_ARC
(13,7),-0.62081 # DEPENDENCYPART_ARC
(13,8),0.0582135 # DEPENDENCYPART_ARC
(13,9),0.175929 # DEPENDENCYPART_ARC
(13,10),0.50703 # DEPENDENCYPART_ARC
(13,11),0.187527 # DEPENDENCYPART_ARC
(13,12),0.55459 # DEPENDENCYPART_ARC
(13,14),1.2078 # DEPENDENCYPART_ARC
(13,15),2.9158 # DEPENDENCYPART_ARC
(13,16),0.858877 # DEPENDENCYPART_ARC
(13,17),0.128756 # DEPENDENCYPART_ARC
(13,18),-1.06858 # DEPENDENCYPART_ARC
(13,19),-0.802397 # DEPENDENCYPART_ARC
(13,20),-0.759075 # DEPENDENCYPART_ARC
(13,21),-0.404593 # DEPENDENCYPART_ARC
(13,22),1.04953 # DEPENDENCYPART_ARC
(13,23),-0.516355 # DEPENDENCYPART_ARC
(13,24),-0.980548 # DEPENDENCYPART_ARC
(13,25),-3.07417 # DEPENDENCYPART_ARC
(13,26),-2.2665 # DEPENDENCYPART_ARC
(13,27),-0.822968 # DEPENDENCYPART_ARC
(13,28),-1.36835 # DEPENDENCYPART_ARC
(13,29),-3.53828 # DEPENDENCYPART_ARC
(13,30),-2.63302 # DEPENDENCYPART_ARC
(13,31),-0.181534 # DEPENDENCYPART_ARC
(14,1),-3.47744 # DEPENDENCYPART_ARC
(14,2),-2.42901 # DEPENDENCYPART_ARC
(14,3),-2.53807 # DEPENDENCYPART_ARC
(14,4),-1.51552 # DEPENDENCYPART_ARC
(14,5),-2.52542 # DEPENDENCYPART_ARC
(14,6),-2.46029 # DEPENDENCYPART_ARC
(14,7),-2.08122 # DEPENDENCYPART_ARC
(14,8),-0.705478 # DEPENDENCYPART_ARC
(14,9),-1.7111 # DEPENDENCYPART_ARC
(14,10),-1.51515 # DEPENDENCYPART_ARC
(14,11),-0.455946 # DEPENDENCYPART_ARC
(14,12),-0.762981 # DEPENDENCYPART_ARC
(14,13),0.420051 # DEPENDENCYPART_ARC
(14,15),1.11747 # DEPENDENCYPART_ARC
(14,16),0.220568 # DEPENDENCYPART_ARC
(14,17),-0.379273 # DEPENDENCYPART_ARC
(14,18),-0.671327 # DEPENDENCYPART_ARC
(14,19),-0.055377 # DEPENDENCYPART_ARC
(14,20),-0.453887 # DEPENDENCYPART_ARC
(14,21),-0.266605 # DEPENDENCYPART_ARC
(14,22),-0.982059 # DEPENDENCYPART_ARC
(14,23),-0.598129 # DEPENDENCYPART_ARC
(14,24),-1.01529 # DEPENDENCYPART_ARC
(14,25),-1.32857 # DEPENDENCYPART_ARC
(14,26),-1.92304 # DEPENDENCYPART_ARC
(14,27),-0.898978 # DEPENDENCYPART_ARC
(14,28),-1.29733 # DEPENDENCYPART_ARC
(14,29),-1.42973 # DEPENDENCYPART_ARC
(14,30),-2.22129 # DEPENDENCYPART_ARC
(14,31),-0.915024 # DEPENDENCYPART_ARC
(15,1),-1.70578 # DEPENDENCYPART_ARC
(15,2),-5.4283 # DEPENDENCYPART_ARC
(15,3),-1.61384 # DEPENDENCYPART_ARC
(15,4),-1.84601 # DEPENDENCYPART_ARC
(15,5),-1.399 # DEPENDENCYPART_ARC
(15,6),-3.17547 # DEPENDENCYPART_ARC
(15,7),-1.50002 # DEPENDENCYPART_ARC
(15,8),-0.0924097 # DEPENDENCYPART_ARC
(15,9),1.34248 # DEPENDENCYPART_ARC
(15,10),0.21338 # DEPENDENCYPART_ARC
(15,11),1.80603 # DEPENDENCYPART_ARC
(15,12),-0.244825 # DEPENDENCYPART_ARC
(15,13),1.14275 # DEPENDENCYPART_ARC
(15,14),4.25719 # DEPENDENCYPART_ARC
(15,16),1.80094 # DEPENDENCYPART_ARC
(15,17),0.791867 # DEPENDENCYPART_ARC
(15,18),-0.464173 # DEPENDENCYPART_ARC
(15,19),0.367942 # DEPENDENCYPART_ARC
(15,20),-0.0391598 # DEPENDENCYPART_ARC
(15,21),0.0109094 # DEPENDENCYPART_ARC
(15,22),-0.712839 # DEPENDENCYPART_ARC
(15,23),-1.40194 # DEPENDENCYPART_ARC
(15,24),-0.713123 # DEPENDENCYPART_ARC
(15,25),-0.679988 # DEPENDENCYPART_ARC
(15,26),-1.43571 # DEPENDENCYPART_ARC
(15,27),-1.29019 # DEPENDENCYPART_ARC
(15,28),-0.511089 # DEPENDENCYPART_ARC
(15,29),-1.45489 # DEPENDENCYPART_ARC
(15,30),-2.31879 # DEPENDENCYPART_ARC
(15,31),1.54138 # DEPENDENCYPART_ARC
(16,1),-2.71853 # DEPENDENCYPART_ARC
(16,2),-2.97335 # DEPENDENCYPART_ARC
(16,3),-0.708075 # DEPENDENCYPART_ARC
(16,4),-2.12235 # DEPENDENCYPART_ARC
(16,5),-2.05799 # DEPENDENCYPART_ARC
(16,6),-1.8436 # DEPENDENCYPART_ARC
(16,7),-1.9474 # DEPENDENCYPART_ARC
(16,8),-1.52429 # DEPENDENCYPART_ARC
(16,9),-1.67903 # DEPENDENCYPART_ARC
(16,10),-1.70595 # DEPENDENCYPART_ARC
(16,11),-1.71162 # DEPENDENCYPART_ARC
(16,12),-1.51592 # DEPENDENCYPART_ARC
(16,13),-1.06922 # DEPENDENCYPART_ARC
(16,14),-1.21836 # DEPENDENCYPART_ARC
(16,15),-0.680382 # DEPENDENCYPART_ARC
(16,17),-0.225362 # DEPENDENCYPART_ARC
(16,18),-0.35722 # DEPENDENCYPART_ARC
(16,19),-0.884248 # DEPENDENCYPART_ARC
(16,20),-1.00967 # DEPENDENCYPART_ARC
(16,21),-1.39397 # DEPENDENCYPART_ARC
(16,22),-1.67024 # DEPENDENCYPART_ARC
(16,23),-1.10771 # DEPENDENCYPART_ARC
(16,24),-1.6425 # DEPENDENCYPART_ARC
(16,25),-2.18027 # DEPENDENCYPART_ARC
(16,26),-2.17194 # DEPENDENCYPART_ARC
