# _root_ It points to the pernicious impact of local government regulation , particularly zoning and building fees , which pushes the price of housing out of the reach of low- and middle-income people .
#goldHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
#predictedHeads=2,0,2,6,6,3,6,10,10,7,6,13,10,13,16,14,10,19,13,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
(2,29),-2.6297 # DEPENDENCYPART_ARC
(2,30),-1.53533 # DEPENDENCYPART_ARC
(2,31),-2.63479 # DEPENDENCYPART_ARC
(2,32),-3.67433 # DEPENDENCYPART_ARC
(2,33),8.09632 # DEPENDENCYPART_ARC
(3,1),0.173852 # DEPENDENCYPART_ARC
(3,2),0.607007 # DEPENDENCYPART_ARC
(3,4),0.850729 # DEPENDENCYPART_ARC
(3,5),1.63202 # DEPENDENCYPART_ARC
(3,6),3.35088 # DEPENDENCYPART_ARC
(3,7),0.243676 # DEPENDENCYPART_ARC
(3,8),0.225584 # DEPENDENCYPART_ARC
(3,9),0.701224 # DEPENDENCYPART_ARC
(3,10),1.61411 # DEPENDENCYPART_ARC
(3,11),0.918021 # DEPENDENCYPART_ARC
(3,12),0.331176 # DEPENDENCYPART_ARC
(3,13),-0.656836 # DEPENDENCYPART_ARC
(3,14),0.654608 # DEPENDENCYPART_ARC
(3,15),-1.41256 # DEPENDENCYPART_ARC
(3,16),-1.15674 # DEPENDENCYPART_ARC
(3,17),0.369741 # DEPENDENCYPART_ARC
(3,18),-0.845925 # DEPENDENCYPART_ARC
(3,19),-0.223357 # DEPENDENCYPART_ARC
(3,20),-2.10167 # DEPENDENCYPART_ARC
(3,21),-3.14722 # DEPENDENCYPART_ARC
(3,22),-1.74641 # DEPENDENCYPART_ARC
(3,23),-4.76264 # DEPENDENCYPART_ARC
(3,24),-1.71906 # DEPENDENCYPART_ARC
(3,25),-2.39638 # DEPENDENCYPART_ARC
(3,26),-2.65974 # DEPENDENCYPART_ARC
(3,27),-6.99283 # DEPENDENCYPART_ARC
(3,28),-3.03202 # DEPENDENCYPART_ARC
(3,29),-2.90614 # DEPENDENCYPART_ARC
(3,30),0.223967 # DEPENDENCYPART_ARC
(3,31),-3.11344 # DEPENDENCYPART_ARC
(3,32),-6.89674 # DEPENDENCYPART_ARC
(3,33),0.476267 # DEPENDENCYPART_ARC
(4,1),-1.39861 # DEPENDENCYPART_ARC
(4,2),-1.78173 # DEPENDENCYPART_ARC
(4,3),-0.810674 # DEPENDENCYPART_ARC
(4,5),-0.0611384 # DEPENDENCYPART_ARC
(4,6),-0.61761 # DEPENDENCYPART_ARC
(4,7),-0.467208 # DEPENDENCYPART_ARC
(4,8),-1.31203 # DEPENDENCYPART_ARC
(4,9),-1.43474 # DEPENDENCYPART_ARC
(4,10),-1.51708 # DEPENDENCYPART_ARC
(4,11),-1.5807 # DEPENDENCYPART_ARC
(4,12),-1.64388 # DEPENDENCYPART_ARC
(4,13),-1.81988 # DEPENDENCYPART_ARC
(4,14),-1.43342 # DEPENDENCYPART_ARC
(4,15),-2.16392 # DEPENDENCYPART_ARC
(4,16),-2.50335 # DEPENDENCYPART_ARC
(4,17),-2.17276 # DEPENDENCYPART_ARC
(4,18),-3.2295 # DEPENDENCYPART_ARC
(4,19),-3.09635 # DEPENDENCYPART_ARC
(4,20),-3.40661 # DEPENDENCYPART_ARC
(4,21),-2.75942 # DEPENDENCYPART_ARC
(4,22),-3.22626 # DEPENDENCYPART_ARC
(4,23),-3.01256 # DEPENDENCYPART_ARC
(4,24),-3.99873 # DEPENDENCYPART_ARC
(4,25),-3.81894 # DEPENDENCYPART_ARC
(4,26),-4.08761 # DEPENDENCYPART_ARC
(4,27),-3.79619 # DEPENDENCYPART_ARC
(4,28),-4.36517 # DEPENDENCYPART_ARC
(4,29),-4.01765 # DEPENDENCYPART_ARC
(4,30),-3.57097 # DEPENDENCYPART_ARC
(4,31),-4.1987 # DEPENDENCYPART_ARC
(4,32),-4.19025 # DEPENDENCYPART_ARC
(4,33),-2.22709 # DEPENDENCYPART_ARC
(5,1),-1.13136 # DEPENDENCYPART_ARC
(5,2),-0.748396 # DEPENDENCYPART_ARC
(5,3),0.630388 # DEPENDENCYPART_ARC
(5,4),1.83838 # DEPENDENCYPART_ARC
(5,6),1.17179 # DEPENDENCYPART_ARC
(5,7),0.812559 # DEPENDENCYPART_ARC
(5,8),-0.398475 # DEPENDENCYPART_ARC
(5,9),-0.231246 # DEPENDENCYPART_ARC
(5,10),-0.827107 # DEPENDENCYPART_ARC
(5,11),-0.391522 # DEPENDENCYPART_ARC
(5,12),-0.902754 # DEPENDENCYPART_ARC
(5,13),-1.22653 # DEPENDENCYPART_ARC
(5,14),-0.976723 # DEPENDENCYPART_ARC
(5,15),-1.63829 # DEPENDENCYPART_ARC
(5,16),-1.20782 # DEPENDENCYPART_ARC
(5,17),-0.763993 # DEPENDENCYPART_ARC
(5,18),-2.29742 # DEPENDENCYPART_ARC
(5,19),-0.553457 # DEPENDENCYPART_ARC
(5,20),-2.51916 # DEPENDENCYPART_ARC
(5,21),-2.33855 # DEPENDENCYPART_ARC
(5,22),-3.1148 # DEPENDENCYPART_ARC
(5,23),-2.70691 # DEPENDENCYPART_ARC
(5,24),-2.92912 # DEPENDENCYPART_ARC
(5,25),-4.41874 # DEPENDENCYPART_ARC
(5,26),-3.42353 # DEPENDENCYPART_ARC
(5,27),-3.20539 # DEPENDENCYPART_ARC
(5,28),-5.00415 # DEPENDENCYPART_ARC
(5,29),-2.13545 # DEPENDENCYPART_ARC
(5,30),-2.05357 # DEPENDENCYPART_ARC
(5,31),-2.5638 # DEPENDENCYPART_ARC
(5,32),-3.5121 # DEPENDENCYPART_ARC
(5,33),-1.29166 # DEPENDENCYPART_ARC
(6,1),0.592683 # DEPENDENCYPART_ARC
(6,2),-0.077265 # DEPENDENCYPART_ARC
(6,3),-0.00922959 # DEPENDENCYPART_ARC
(6,4),4.78973 # DEPENDENCYPART_ARC
(6,5),4.58587 # DEPENDENCYPART_ARC
(6,7),4.16176 # DEPENDENCYPART_ARC
(6,8),1.10876 # DEPENDENCYPART_ARC
(6,9),1.32978 # DEPENDENCYPART_ARC
(6,10),0.899611 # DEPENDENCYPART_ARC
(6,11),2.00586 # DEPENDENCYPART_ARC
(6,12),1.40877 # DEPENDENCYPART_ARC
(6,13),0.442492 # DEPENDENCYPART_ARC
(6,14),1.54391 # DEPENDENCYPART_ARC
(6,15),-0.149684 # DEPENDENCYPART_ARC
(6,16),0.254846 # DEPENDENCYPART_ARC
(6,17),2.73383 # DEPENDENCYPART_ARC
(6,18),-0.740595 # DEPENDENCYPART_ARC
(6,19),1.20441 # DEPENDENCYPART_ARC
(6,20),-0.387628 # DEPENDENCYPART_ARC
(6,21),-1.59439 # DEPENDENCYPART_ARC
(6,22),0.247559 # DEPENDENCYPART_ARC
(6,23),-1.84318 # DEPENDENCYPART_ARC
(6,24),0.35282 # DEPENDENCYPART_ARC
(6,25),-2.10822 # DEPENDENCYPART_ARC
(6,26),-0.75576 # DEPENDENCYPART_ARC
(6,27),-2.2568 # DEPENDENCYPART_ARC
(6,28),-3.09641 # DEPENDENCYPART_ARC
(6,29),-2.06811 # DEPENDENCYPART_ARC
(6,30),-1.56454 # DEPENDENCYPART_ARC
(6,31),-1.89861 # DEPENDENCYPART_ARC
(6,32),-1.70189 # DEPENDENCYPART_ARC
(6,33),0.983594 # DEPENDENCYPART_ARC
(7,1),-1.46805 # DEPENDENCYPART_ARC
(7,2),-1.28172 # DEPENDENCYPART_ARC
(7,3),-1.01645 # DEPENDENCYPART_ARC
(7,4),-0.531973 # DEPENDENCYPART_ARC
(7,5),-0.898763 # DEPENDENCYPART_ARC
(7,6),0.0102273 # DEPENDENCYPART_ARC
(7,8),1.03477 # DEPENDENCYPART_ARC
(7,9),1.52778 # DEPENDENCYPART_ARC
(7,10),2.79302 # DEPENDENCYPART_ARC
(7,11),0.20222 # DEPENDENCYPART_ARC
(7,12),-0.756256 # DEPENDENCYPART_ARC
(7,13),-0.547391 # DEPENDENCYPART_ARC
(7,14),-0.862631 # DEPENDENCYPART_ARC
(7,15),-2.61692 # DEPENDENCYPART_ARC
(7,16),-0.93944 # DEPENDENCYPART_ARC
(7,17),-0.48697 # DEPENDENCYPART_ARC
(7,18),-2.35513 # DEPENDENCYPART_ARC
(7,19),-2.52558 # DEPENDENCYPART_ARC
(7,20),-3.73617 # DEPENDENCYPART_ARC
(7,21),-5.91822 # DEPENDENCYPART_ARC
(7,22),-0.662029 # DEPENDENCYPART_ARC
(7,23),-7.60711 # DEPENDENCYPART_ARC
(7,24),-1.05895 # DEPENDENCYPART_ARC
(7,25),-1.13181 # DEPENDENCYPART_ARC
(7,26),-4.72062 # DEPENDENCYPART_ARC
(7,27),-10.1994 # DEPENDENCYPART_ARC
(7,28),-2.50101 # DEPENDENCYPART_ARC
(7,29),-5.27802 # DEPENDENCYPART_ARC
(7,30),-3.06518 # DEPENDENCYPART_ARC
(7,31),-6.21577 # DEPENDENCYPART_ARC
(7,32),-13.6882 # DEPENDENCYPART_ARC
(7,33),-0.675864 # DEPENDENCYPART_ARC
(8,1),-2.39733 # DEPENDENCYPART_ARC
(8,2),-1.97495 # DEPENDENCYPART_ARC
(8,3),-0.80768 # DEPENDENCYPART_ARC
(8,4),-0.157211 # DEPENDENCYPART_ARC
(8,5),0.163701 # DEPENDENCYPART_ARC
(8,6),-0.558909 # DEPENDENCYPART_ARC
(8,7),0.20361 # DEPENDENCYPART_ARC
(8,9),1.37834 # DEPENDENCYPART_ARC
(8,10),0.183425 # DEPENDENCYPART_ARC
(8,11),-0.300902 # DEPENDENCYPART_ARC
(8,12),-0.719857 # DEPENDENCYPART_ARC
(8,13),-0.648812 # DEPENDENCYPART_ARC
(8,14),-0.756142 # DEPENDENCYPART_ARC
(8,15),-1.33636 # DEPENDENCYPART_ARC
(8,16),-0.717814 # DEPENDENCYPART_ARC
(8,17),-0.358657 # DEPENDENCYPART_ARC
(8,18),-2.20025 # DEPENDENCYPART_ARC
(8,19),-0.523941 # DEPENDENCYPART_ARC
(8,20),-2.33224 # DEPENDENCYPART_ARC
(8,21),-2.23179 # DEPENDENCYPART_ARC
(8,22),-2.59549 # DEPENDENCYPART_ARC
(8,23),-2.49365 # DEPENDENCYPART_ARC
(8,24),-2.80193 # DEPENDENCYPART_ARC
(8,25),-4.00982 # DEPENDENCYPART_ARC
(8,26),-3.29867 # DEPENDENCYPART_ARC
(8,27),-3.16037 # DEPENDENCYPART_ARC
(8,28),-4.45531 # DEPENDENCYPART_ARC
(8,29),-1.77713 # DEPENDENCYPART_ARC
(8,30),-1.89189 # DEPENDENCYPART_ARC
(8,31),-2.31022 # DEPENDENCYPART_ARC
(8,32),-2.94208 # DEPENDENCYPART_ARC
(8,33),-1.13501 # DEPENDENCYPART_ARC
(9,1),-1.48758 # DEPENDENCYPART_ARC
(9,2),-1.95792 # DEPENDENCYPART_ARC
(9,3),-2.40978 # DEPENDENCYPART_ARC
(9,4),0.539272 # DEPENDENCYPART_ARC
(9,5),0.271379 # DEPENDENCYPART_ARC
(9,6),-1.23409 # DEPENDENCYPART_ARC
(9,7),-0.299791 # DEPENDENCYPART_ARC
(9,8),2.11515 # DEPENDENCYPART_ARC
(9,10),0.121084 # DEPENDENCYPART_ARC
(9,11),-0.342288 # DEPENDENCYPART_ARC
(9,12),-0.77615 # DEPENDENCYPART_ARC
(9,13),-0.886221 # DEPENDENCYPART_ARC
(9,14),-0.250181 # DEPENDENCYPART_ARC
(9,15),-1.47935 # DEPENDENCYPART_ARC
(9,16),-1.60193 # DEPENDENCYPART_ARC
(9,17),-0.215955 # DEPENDENCYPART_ARC
(9,18),-2.74682 # DEPENDENCYPART_ARC
(9,19),-0.687452 # DEPENDENCYPART_ARC
(9,20),-2.16361 # DEPENDENCYPART_ARC
(9,21),-2.85253 # DEPENDENCYPART_ARC
(9,22),-3.03289 # DEPENDENCYPART_ARC
(9,23),-2.9807 # DEPENDENCYPART_ARC
(9,24),-3.03588 # DEPENDENCYPART_ARC
(9,25),-5.20305 # DEPENDENCYPART_ARC
(9,26),-2.53345 # DEPENDENCYPART_ARC
(9,27),-3.27592 # DEPENDENCYPART_ARC
(9,28),-6.69144 # DEPENDENCYPART_ARC
(9,29),-3.24178 # DEPENDENCYPART_ARC
(9,30),-1.3378 # DEPENDENCYPART_ARC
(9,31),-3.559 # DEPENDENCYPART_ARC
(9,32),-3.45918 # DEPENDENCYPART_ARC
(9,33),-0.661552 # DEPENDENCYPART_ARC
(10,1),0.201958 # DEPENDENCYPART_ARC
(10,2),-0.123219 # DEPENDENCYPART_ARC
(10,3),-1.39352 # DEPENDENCYPART_ARC
(10,4),1.95285 # DEPENDENCYPART_ARC
(10,5),2.24351 # DEPENDENCYPART_ARC
(10,6),0.513564 # DEPENDENCYPART_ARC
(10,7),0.729755 # DEPENDENCYPART_ARC
(10,8),3.1922 # DEPENDENCYPART_ARC
(10,9),3.91992 # DEPENDENCYPART_ARC
(10,11),1.7957 # DEPENDENCYPART_ARC
(10,12),1.22799 # DEPENDENCYPART_ARC
(10,13),1.97293 # DEPENDENCYPART_ARC
(10,14),1.37431 # DEPENDENCYPART_ARC
(10,15),0.62815 # DEPENDENCYPART_ARC
(10,16),1.09068 # DEPENDENCYPART_ARC
(10,17),2.88283 # DEPENDENCYPART_ARC
(10,18),-0.912269 # DEPENDENCYPART_ARC
(10,19),1.45581 # DEPENDENCYPART_ARC
(10,20),-0.481281 # DEPENDENCYPART_ARC
(10,21),-0.546937 # DEPENDENCYPART_ARC
(10,22),-0.54154 # DEPENDENCYPART_ARC
(10,23),-0.597906 # DEPENDENCYPART_ARC
(10,24),-0.72133 # DEPENDENCYPART_ARC
(10,25),-2.42808 # DEPENDENCYPART_ARC
(10,26),-1.01398 # DEPENDENCYPART_ARC
(10,27),-0.913632 # DEPENDENCYPART_ARC
(10,28),-3.725 # DEPENDENCYPART_ARC
(10,29),-1.45923 # DEPENDENCYPART_ARC
(10,30),-0.621671 # DEPENDENCYPART_ARC
(10,31),-1.87473 # DEPENDENCYPART_ARC
(10,32),-1.48046 # DEPENDENCYPART_ARC
(10,33),1.17563 # DEPENDENCYPART_ARC
(11,1),-2.25519 # DEPENDENCYPART_ARC
(11,2),-1.96235 # DEPENDENCYPART_ARC
(11,3),-1.83011 # DEPENDENCYPART_ARC
(11,4),-1.30979 # DEPENDENCYPART_ARC
(11,5),-1.6273 # DEPENDENCYPART_ARC
(11,6),-1.62132 # DEPENDENCYPART_ARC
(11,7),-1.38425 # DEPENDENCYPART_ARC
(11,8),-1.06118 # DEPENDENCYPART_ARC
(11,9),-1.5433 # DEPENDENCYPART_ARC
(11,10),-0.928665 # DEPENDENCYPART_ARC
(11,12),-0.389969 # DEPENDENCYPART_ARC
(11,13),-0.815514 # DEPENDENCYPART_ARC
(11,14),-1.03776 # DEPENDENCYPART_ARC
(11,15),-1.48252 # DEPENDENCYPART_ARC
(11,16),-1.58483 # DEPENDENCYPART_ARC
(11,17),0.0762306 # DEPENDENCYPART_ARC
(11,18),-2.39258 # DEPENDENCYPART_ARC
(11,19),-1.51647 # DEPENDENCYPART_ARC
(11,20),-2.03889 # DEPENDENCYPART_ARC
(11,21),-2.48792 # DEPENDENCYPART_ARC
(11,22),-1.57122 # DEPENDENCYPART_ARC
(11,23),-2.69091 # DEPENDENCYPART_ARC
(11,24),-1.64005 # DEPENDENCYPART_ARC
(11,25),-1.79914 # DEPENDENCYPART_ARC
(11,26),-2.68757 # DEPENDENCYPART_ARC
(11,27),-3.12574 # DEPENDENCYPART_ARC
(11,28),-1.90527 # DEPENDENCYPART_ARC
(11,29),-3.1579 # DEPENDENCYPART_ARC
(11,30),-2.76982 # DEPENDENCYPART_ARC
(11,31),-3.31687 # DEPENDENCYPART_ARC
(11,32),-3.51996 # DEPENDENCYPART_ARC
(11,33),-2.60737 # DEPENDENCYPART_ARC
(12,1),-2.72874 # DEPENDENCYPART_ARC
(12,2),-2.37293 # DEPENDENCYPART_ARC
(12,3),-2.00524 # DEPENDENCYPART_ARC
(12,4),-1.05048 # DEPENDENCYPART_ARC
(12,5),-0.973551 # DEPENDENCYPART_ARC
(12,6),-2.01439 # DEPENDENCYPART_ARC
(12,7),-1.58251 # DEPENDENCYPART_ARC
(12,8),-0.774205 # DEPENDENCYPART_ARC
(12,9),-1.38018 # DEPENDENCYPART_ARC
(12,10),-1.33193 # DEPENDENCYPART_ARC
(12,11),-0.106664 # DEPENDENCYPART_ARC
(12,13),0.732594 # DEPENDENCYPART_ARC
(12,14),0.590926 # DEPENDENCYPART_ARC
(12,15),-0.0752438 # DEPENDENCYPART_ARC
(12,16),-0.259322 # DEPENDENCYPART_ARC
(12,17),-0.237691 # DEPENDENCYPART_ARC
(12,18),-1.23604 # DEPENDENCYPART_ARC
(12,19),-0.234293 # DEPENDENCYPART_ARC
(12,20),-1.33478 # DEPENDENCYPART_ARC
(12,21),-1.96003 # DEPENDENCYPART_ARC
(12,22),-1.55772 # DEPENDENCYPART_ARC
(12,23),-2.20911 # DEPENDENCYPART_ARC
(12,24),-1.35975 # DEPENDENCYPART_ARC
(12,25),-2.23242 # DEPENDENCYPART_ARC
(12,26),-1.89932 # DEPENDENCYPART_ARC
(12,27),-2.66037 # DEPENDENCYPART_ARC
(12,28),-3.21359 # DEPENDENCYPART_ARC
(12,29),-1.82313 # DEPENDENCYPART_ARC
(12,30),-0.812578 # DEPENDENCYPART_ARC
(12,31),-1.8329 # DEPENDENCYPART_ARC
(12,32),-3.32032 # DEPENDENCYPART_ARC
(12,33),-0.204396 # DEPENDENCYPART_ARC
(13,1),-0.823688 # DEPENDENCYPART_ARC
(13,2),-0.85736 # DEPENDENCYPART_ARC
(13,3),-1.88297 # DEPENDENCYPART_ARC
(13,4),1.64732 # DEPENDENCYPART_ARC
(13,5),1.23798 # DEPENDENCYPART_ARC
(13,6),-0.655494 # DEPENDENCYPART_ARC
(13,7),-0.504477 # DEPENDENCYPART_ARC
(13,8),2.27303 # DEPENDENCYPART_ARC
(13,9),2.011 # DEPENDENCYPART_ARC
(13,10),0.960569 # DEPENDENCYPART_ARC
(13,11),1.40674 # DEPENDENCYPART_ARC
(13,12),2.41179 # DEPENDENCYPART_ARC
(13,14),3.63148 # DEPENDENCYPART_ARC
(13,15),1.18219 # DEPENDENCYPART_ARC
(13,16),1.38468 # DEPENDENCYPART_ARC
(13,17),1.88486 # DEPENDENCYPART_ARC
(13,18),-0.586772 # DEPENDENCYPART_ARC
(13,19),1.57866 # DEPENDENCYPART_ARC
(13,20),-0.11023 # DEPENDENCYPART_ARC
(13,21),-0.572732 # DEPENDENCYPART_ARC
(13,22),0.718777 # DEPENDENCYPART_ARC
(13,23),-0.772217 # DEPENDENCYPART_ARC
(13,24),-0.10502 # DEPENDENCYPART_ARC
(13,25),-1.91586 # DEPENDENCYPART_ARC
(13,26),-0.674704 # DEPENDENCYPART_ARC
(13,27),-1.13977 # DEPENDENCYPART_ARC
(13,28),-2.98396 # DEPENDENCYPART_ARC
(13,29),-1.18531 # DEPENDENCYPART_ARC
(13,30),-0.0605028 # DEPENDENCYPART_ARC
(13,31),-1.36966 # DEPENDENCYPART_ARC
(13,32),-1.12554 # DEPENDENCYPART_ARC
(13,33),1.23823 # DEPENDENCYPART_ARC
(14,1),-2.27243 # DEPENDENCYPART_ARC
(14,2),-1.68348 # DEPENDENCYPART_ARC
(14,3),-1.7216 # DEPENDENCYPART_ARC
(14,4),-1.43348 # DEPENDENCYPART_ARC
(14,5),-1.63931 # DEPENDENCYPART_ARC
(14,6),-1.4173 # DEPENDENCYPART_ARC
(14,7),-0.804387 # DEPENDENCYPART_ARC
(14,8),-1.26395 # DEPENDENCYPART_ARC
(14,9),-0.871394 # DEPENDENCYPART_ARC
(14,10),-0.205678 # DEPENDENCYPART_ARC
(14,11),-0.811522 # DEPENDENCYPART_ARC
(14,12),-0.698762 # DEPENDENCYPART_ARC
(14,13),0.270588 # DEPENDENCYPART_ARC
(14,15),2.8283 # DEPENDENCYPART_ARC
(14,16),3.67154 # DEPENDENCYPART_ARC
(14,17),1.09417 # DEPENDENCYPART_ARC
(14,18),-1.19435 # DEPENDENCYPART_ARC
(14,19),0.803758 # DEPENDENCYPART_ARC
(14,20),-1.34468 # DEPENDENCYPART_ARC
(14,21),-0.76588 # DEPENDENCYPART_ARC
(14,22),-0.907214 # DEPENDENCYPART_ARC
(14,23),-1.43555 # DEPENDENCYPART_ARC
(14,24),-0.00363323 # DEPENDENCYPART_ARC
(14,25),-1.13855 # DEPENDENCYPART_ARC
(14,26),-2.30259 # DEPENDENCYPART_ARC
(14,27),-3.72813 # DEPENDENCYPART_ARC
(14,28),-1.52552 # DEPENDENCYPART_ARC
(14,29),-2.05691 # DEPENDENCYPART_ARC
(14,30),-0.132445 # DEPENDENCYPART_ARC
(14,31),-1.88306 # DEPENDENCYPART_ARC
(14,32),-7.00571 # DEPENDENCYPART_ARC
(14,33),-0.0212778 # DEPENDENCYPART_ARC
(15,1),-3.72985 # DEPENDENCYPART_ARC
(15,2),-3.82237 # DEPENDENCYPART_ARC
(15,3),-5.19282 # DEPENDENCYPART_ARC
(15,4),-2.91699 # DEPENDENCYPART_ARC
(15,5),-2.04024 # DEPENDENCYPART_ARC
(15,6),-4.07009 # DEPENDENCYPART_ARC
(15,7),-3.37637 # DEPENDENCYPART_ARC
(15,8),-1.88699 # DEPENDENCYPART_ARC
(15,9),-2.65605 # DEPENDENCYPART_ARC
(15,10),-2.94124 # DEPENDENCYPART_ARC
(15,11),-2.10689 # DEPENDENCYPART_ARC
(15,12),-1.70269 # DEPENDENCYPART_ARC
(15,13),-1.31711 # DEPENDENCYPART_ARC
(15,14),-1.03716 # DEPENDENCYPART_ARC
(15,16),1.30798 # DEPENDENCYPART_ARC
(15,17),0.11441 # DEPENDENCYPART_ARC
(15,18),-1.79153 # DEPENDENCYPART_ARC
(15,19),-0.120278 # DEPENDENCYPART_ARC
(15,20),-1.87478 # DEPENDENCYPART_ARC
(15,21),-1.69184 # DEPENDENCYPART_ARC
(15,22),-1.72727 # DEPENDENCYPART_ARC
(15,23),-2.04064 # DEPENDENCYPART_ARC
(15,24),-1.77979 # DEPENDENCYPART_ARC
(15,25),-3.97432 # DEPENDENCYPART_ARC
(15,26),-2.3146 # DEPENDENCYPART_ARC
