# _root_ But in another dramatic burst , the Dow tacked on 42 points in five minutes , and at 10:25 the index showed a gain of 5.74 .
#goldHeads=9,9,5,5,2,9,8,9,0,9,12,10,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,12,9,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
(3,7),-1.13463 # DEPENDENCYPART_ARC
(3,8),-0.732444 # DEPENDENCYPART_ARC
(3,9),-0.404588 # DEPENDENCYPART_ARC
(3,10),-0.854819 # DEPENDENCYPART_ARC
(3,11),-0.424642 # DEPENDENCYPART_ARC
(3,12),-1.08228 # DEPENDENCYPART_ARC
(3,13),-1.48343 # DEPENDENCYPART_ARC
(3,14),-0.423852 # DEPENDENCYPART_ARC
(3,15),-1.63791 # DEPENDENCYPART_ARC
(3,16),-0.551388 # DEPENDENCYPART_ARC
(3,17),-1.67593 # DEPENDENCYPART_ARC
(3,18),-1.91676 # DEPENDENCYPART_ARC
(3,19),-1.15426 # DEPENDENCYPART_ARC
(3,20),-2.65968 # DEPENDENCYPART_ARC
(3,21),-1.73634 # DEPENDENCYPART_ARC
(3,22),-2.93137 # DEPENDENCYPART_ARC
(3,23),-2.953 # DEPENDENCYPART_ARC
(3,24),-2.00293 # DEPENDENCYPART_ARC
(3,25),-2.70023 # DEPENDENCYPART_ARC
(3,26),-2.23644 # DEPENDENCYPART_ARC
(3,27),-0.627787 # DEPENDENCYPART_ARC
(4,1),-1.51161 # DEPENDENCYPART_ARC
(4,2),-0.0786912 # DEPENDENCYPART_ARC
(4,3),1.36609 # DEPENDENCYPART_ARC
(4,5),1.18508 # DEPENDENCYPART_ARC
(4,6),0.12117 # DEPENDENCYPART_ARC
(4,7),-0.761601 # DEPENDENCYPART_ARC
(4,8),-0.355141 # DEPENDENCYPART_ARC
(4,9),-0.0540532 # DEPENDENCYPART_ARC
(4,10),-0.748825 # DEPENDENCYPART_ARC
(4,11),-1.32557 # DEPENDENCYPART_ARC
(4,12),-0.788293 # DEPENDENCYPART_ARC
(4,13),-1.21356 # DEPENDENCYPART_ARC
(4,14),-1.62218 # DEPENDENCYPART_ARC
(4,15),-0.917646 # DEPENDENCYPART_ARC
(4,16),-0.625861 # DEPENDENCYPART_ARC
(4,17),-0.807731 # DEPENDENCYPART_ARC
(4,18),-1.58426 # DEPENDENCYPART_ARC
(4,19),-2.5914 # DEPENDENCYPART_ARC
(4,20),-2.52347 # DEPENDENCYPART_ARC
(4,21),-2.25601 # DEPENDENCYPART_ARC
(4,22),-1.4241 # DEPENDENCYPART_ARC
(4,23),-2.67414 # DEPENDENCYPART_ARC
(4,24),-2.63259 # DEPENDENCYPART_ARC
(4,25),-3.9361 # DEPENDENCYPART_ARC
(4,26),-3.98117 # DEPENDENCYPART_ARC
(4,27),-0.104663 # DEPENDENCYPART_ARC
(5,1),-0.833789 # DEPENDENCYPART_ARC
(5,2),0.597512 # DEPENDENCYPART_ARC
(5,3),4.12426 # DEPENDENCYPART_ARC
(5,4),4.58049 # DEPENDENCYPART_ARC
(5,6),2.14561 # DEPENDENCYPART_ARC
(5,7),0.74343 # DEPENDENCYPART_ARC
(5,8),0.918077 # DEPENDENCYPART_ARC
(5,9),1.13718 # DEPENDENCYPART_ARC
(5,10),0.394086 # DEPENDENCYPART_ARC
(5,11),0.352419 # DEPENDENCYPART_ARC
(5,12),0.226514 # DEPENDENCYPART_ARC
(5,13),-0.123894 # DEPENDENCYPART_ARC
(5,14),-0.241822 # DEPENDENCYPART_ARC
(5,15),0.622885 # DEPENDENCYPART_ARC
(5,16),0.793564 # DEPENDENCYPART_ARC
(5,17),-0.23388 # DEPENDENCYPART_ARC
(5,18),-1.09364 # DEPENDENCYPART_ARC
(5,19),-0.932918 # DEPENDENCYPART_ARC
(5,20),-0.772801 # DEPENDENCYPART_ARC
(5,21),-1.33978 # DEPENDENCYPART_ARC
(5,22),-1.35997 # DEPENDENCYPART_ARC
(5,23),-0.834748 # DEPENDENCYPART_ARC
(5,24),-1.75315 # DEPENDENCYPART_ARC
(5,25),-4.82123 # DEPENDENCYPART_ARC
(5,26),-2.01792 # DEPENDENCYPART_ARC
(5,27),1.37577 # DEPENDENCYPART_ARC
(6,1),-2.17794 # DEPENDENCYPART_ARC
(6,2),-1.65971 # DEPENDENCYPART_ARC
(6,3),-0.815129 # DEPENDENCYPART_ARC
(6,4),-1.42656 # DEPENDENCYPART_ARC
(6,5),-1.21757 # DEPENDENCYPART_ARC
(6,7),-0.0635001 # DEPENDENCYPART_ARC
(6,8),-0.417726 # DEPENDENCYPART_ARC
(6,9),-0.506991 # DEPENDENCYPART_ARC
(6,10),-1.04915 # DEPENDENCYPART_ARC
(6,11),-1.52941 # DEPENDENCYPART_ARC
(6,12),-1.80135 # DEPENDENCYPART_ARC
(6,13),-1.38675 # DEPENDENCYPART_ARC
(6,14),-2.16552 # DEPENDENCYPART_ARC
(6,15),-2.11321 # DEPENDENCYPART_ARC
(6,16),-0.348921 # DEPENDENCYPART_ARC
(6,17),-1.82306 # DEPENDENCYPART_ARC
(6,18),-1.75145 # DEPENDENCYPART_ARC
(6,19),-2.63542 # DEPENDENCYPART_ARC
(6,20),-2.42993 # DEPENDENCYPART_ARC
(6,21),-2.81981 # DEPENDENCYPART_ARC
(6,22),-2.05448 # DEPENDENCYPART_ARC
(6,23),-2.70877 # DEPENDENCYPART_ARC
(6,24),-3.35355 # DEPENDENCYPART_ARC
(6,25),-2.29426 # DEPENDENCYPART_ARC
(6,26),-3.33323 # DEPENDENCYPART_ARC
(6,27),-2.20272 # DEPENDENCYPART_ARC
(7,1),-2.9096 # DEPENDENCYPART_ARC
(7,2),-2.1774 # DEPENDENCYPART_ARC
(7,3),-1.21515 # DEPENDENCYPART_ARC
(7,4),-1.51911 # DEPENDENCYPART_ARC
(7,5),-1.86816 # DEPENDENCYPART_ARC
(7,6),-0.7026 # DEPENDENCYPART_ARC
(7,8),-0.363309 # DEPENDENCYPART_ARC
(7,9),0.211378 # DEPENDENCYPART_ARC
(7,10),-0.733133 # DEPENDENCYPART_ARC
(7,11),-0.715873 # DEPENDENCYPART_ARC
(7,12),-1.1051 # DEPENDENCYPART_ARC
(7,13),-1.52474 # DEPENDENCYPART_ARC
(7,14),-1.08323 # DEPENDENCYPART_ARC
(7,15),-1.71861 # DEPENDENCYPART_ARC
(7,16),-0.593628 # DEPENDENCYPART_ARC
(7,17),-1.43466 # DEPENDENCYPART_ARC
(7,18),-2.22915 # DEPENDENCYPART_ARC
(7,19),-2.10794 # DEPENDENCYPART_ARC
(7,20),-2.99149 # DEPENDENCYPART_ARC
(7,21),-2.4609 # DEPENDENCYPART_ARC
(7,22),-2.56504 # DEPENDENCYPART_ARC
(7,23),-3.28525 # DEPENDENCYPART_ARC
(7,24),-2.76912 # DEPENDENCYPART_ARC
(7,25),-2.80079 # DEPENDENCYPART_ARC
(7,26),-3.08447 # DEPENDENCYPART_ARC
(7,27),-1.38127 # DEPENDENCYPART_ARC
(8,1),-2.08443 # DEPENDENCYPART_ARC
(8,2),-0.904366 # DEPENDENCYPART_ARC
(8,3),0.340836 # DEPENDENCYPART_ARC
(8,4),0.877705 # DEPENDENCYPART_ARC
(8,5),-0.644531 # DEPENDENCYPART_ARC
(8,6),1.10943 # DEPENDENCYPART_ARC
(8,7),4.34959 # DEPENDENCYPART_ARC
(8,9),0.915234 # DEPENDENCYPART_ARC
(8,10),0.101454 # DEPENDENCYPART_ARC
(8,11),0.0636394 # DEPENDENCYPART_ARC
(8,12),-0.599237 # DEPENDENCYPART_ARC
(8,13),-0.167969 # DEPENDENCYPART_ARC
(8,14),-1.37724 # DEPENDENCYPART_ARC
(8,15),-1.04665 # DEPENDENCYPART_ARC
(8,16),-0.585485 # DEPENDENCYPART_ARC
(8,17),-1.15982 # DEPENDENCYPART_ARC
(8,18),-0.816158 # DEPENDENCYPART_ARC
(8,19),-2.3148 # DEPENDENCYPART_ARC
(8,20),-1.42815 # DEPENDENCYPART_ARC
(8,21),-4.27655 # DEPENDENCYPART_ARC
(8,22),-1.54354 # DEPENDENCYPART_ARC
(8,23),-1.89285 # DEPENDENCYPART_ARC
(8,24),-5.22572 # DEPENDENCYPART_ARC
(8,25),-3.28231 # DEPENDENCYPART_ARC
(8,26),-3.40543 # DEPENDENCYPART_ARC
(8,27),0.295207 # DEPENDENCYPART_ARC
(9,1),1.5951 # DEPENDENCYPART_ARC
(9,2),2.19602 # DEPENDENCYPART_ARC
(9,3),-0.13791 # DEPENDENCYPART_ARC
(9,4),0.510209 # DEPENDENCYPART_ARC
(9,5),0.607625 # DEPENDENCYPART_ARC
(9,6),3.08053 # DEPENDENCYPART_ARC
(9,7),0.787608 # DEPENDENCYPART_ARC
(9,8),2.86818 # DEPENDENCYPART_ARC
(9,10),3.1403 # DEPENDENCYPART_ARC
(9,11),1.13106 # DEPENDENCYPART_ARC
(9,12),1.96287 # DEPENDENCYPART_ARC
(9,13),2.50076 # DEPENDENCYPART_ARC
(9,14),-0.138995 # DEPENDENCYPART_ARC
(9,15),0.900236 # DEPENDENCYPART_ARC
(9,16),2.45108 # DEPENDENCYPART_ARC
(9,17),1.89165 # DEPENDENCYPART_ARC
(9,18),1.12901 # DEPENDENCYPART_ARC
(9,19),-0.582717 # DEPENDENCYPART_ARC
(9,20),-1.16646 # DEPENDENCYPART_ARC
(9,21),-0.991312 # DEPENDENCYPART_ARC
(9,22),0.25414 # DEPENDENCYPART_ARC
(9,23),-1.30184 # DEPENDENCYPART_ARC
(9,24),-0.690554 # DEPENDENCYPART_ARC
(9,25),-1.62973 # DEPENDENCYPART_ARC
(9,26),-1.06228 # DEPENDENCYPART_ARC
(9,27),5.65906 # DEPENDENCYPART_ARC
(10,1),-1.70031 # DEPENDENCYPART_ARC
(10,2),-0.403353 # DEPENDENCYPART_ARC
(10,3),-0.484726 # DEPENDENCYPART_ARC
(10,4),-0.647236 # DEPENDENCYPART_ARC
(10,5),-1.0619 # DEPENDENCYPART_ARC
(10,6),-0.500411 # DEPENDENCYPART_ARC
(10,7),0.35494 # DEPENDENCYPART_ARC
(10,8),-0.068673 # DEPENDENCYPART_ARC
(10,9),0.171405 # DEPENDENCYPART_ARC
(10,11),1.23864 # DEPENDENCYPART_ARC
(10,12),1.57432 # DEPENDENCYPART_ARC
(10,13),0.265413 # DEPENDENCYPART_ARC
(10,14),-0.122597 # DEPENDENCYPART_ARC
(10,15),0.610708 # DEPENDENCYPART_ARC
(10,16),0.387943 # DEPENDENCYPART_ARC
(10,17),0.196012 # DEPENDENCYPART_ARC
(10,18),-0.443653 # DEPENDENCYPART_ARC
(10,19),-1.05243 # DEPENDENCYPART_ARC
(10,20),-1.25728 # DEPENDENCYPART_ARC
(10,21),-0.771188 # DEPENDENCYPART_ARC
(10,22),-1.00659 # DEPENDENCYPART_ARC
(10,23),-1.63081 # DEPENDENCYPART_ARC
(10,24),-1.16691 # DEPENDENCYPART_ARC
(10,25),-1.08408 # DEPENDENCYPART_ARC
(10,26),-1.81259 # DEPENDENCYPART_ARC
(10,27),-1.3374 # DEPENDENCYPART_ARC
(11,1),-1.89417 # DEPENDENCYPART_ARC
(11,2),-1.19155 # DEPENDENCYPART_ARC
(11,3),-0.352354 # DEPENDENCYPART_ARC
(11,4),-0.325845 # DEPENDENCYPART_ARC
(11,5),-1.34151 # DEPENDENCYPART_ARC
(11,6),-0.416312 # DEPENDENCYPART_ARC
(11,7),0.764323 # DEPENDENCYPART_ARC
(11,8),0.353135 # DEPENDENCYPART_ARC
(11,9),0.393023 # DEPENDENCYPART_ARC
(11,10),1.77433 # DEPENDENCYPART_ARC
(11,12),0.263928 # DEPENDENCYPART_ARC
(11,13),-0.167143 # DEPENDENCYPART_ARC
(11,14),-0.776438 # DEPENDENCYPART_ARC
(11,15),-0.881618 # DEPENDENCYPART_ARC
(11,16),-0.728661 # DEPENDENCYPART_ARC
(11,17),-0.958742 # DEPENDENCYPART_ARC
(11,18),-1.16435 # DEPENDENCYPART_ARC
(11,19),-1.64354 # DEPENDENCYPART_ARC
(11,20),-1.71644 # DEPENDENCYPART_ARC
(11,21),-1.75872 # DEPENDENCYPART_ARC
(11,22),-1.09803 # DEPENDENCYPART_ARC
(11,23),-2.11566 # DEPENDENCYPART_ARC
(11,24),-2.21195 # DEPENDENCYPART_ARC
(11,25),-2.4098 # DEPENDENCYPART_ARC
(11,26),-2.35546 # DEPENDENCYPART_ARC
(11,27),-0.835898 # DEPENDENCYPART_ARC
(12,1),-1.50494 # DEPENDENCYPART_ARC
(12,2),-0.246436 # DEPENDENCYPART_ARC
(12,3),1.11435 # DEPENDENCYPART_ARC
(12,4),1.07659 # DEPENDENCYPART_ARC
(12,5),-1.2026 # DEPENDENCYPART_ARC
(12,6),-0.0596075 # DEPENDENCYPART_ARC
(12,7),2.06521 # DEPENDENCYPART_ARC
(12,8),0.482121 # DEPENDENCYPART_ARC
(12,9),0.322385 # DEPENDENCYPART_ARC
(12,10),1.41825 # DEPENDENCYPART_ARC
(12,11),4.22904 # DEPENDENCYPART_ARC
(12,13),1.70953 # DEPENDENCYPART_ARC
(12,14),0.959196 # DEPENDENCYPART_ARC
(12,15),0.919327 # DEPENDENCYPART_ARC
(12,16),1.7856 # DEPENDENCYPART_ARC
(12,17),0.529511 # DEPENDENCYPART_ARC
(12,18),-0.216968 # DEPENDENCYPART_ARC
(12,19),-0.312102 # DEPENDENCYPART_ARC
(12,20),-0.116091 # DEPENDENCYPART_ARC
(12,21),0.397303 # DEPENDENCYPART_ARC
(12,22),0.127885 # DEPENDENCYPART_ARC
(12,23),-0.308037 # DEPENDENCYPART_ARC
(12,24),-0.153879 # DEPENDENCYPART_ARC
(12,25),-2.12864 # DEPENDENCYPART_ARC
(12,26),-1.0266 # DEPENDENCYPART_ARC
(12,27),1.97005 # DEPENDENCYPART_ARC
(13,1),-1.74748 # DEPENDENCYPART_ARC
(13,2),-1.57225 # DEPENDENCYPART_ARC
(13,3),-0.697192 # DEPENDENCYPART_ARC
(13,4),-0.94221 # DEPENDENCYPART_ARC
(13,5),-1.72054 # DEPENDENCYPART_ARC
(13,6),-0.451567 # DEPENDENCYPART_ARC
(13,7),0.0226753 # DEPENDENCYPART_ARC
(13,8),-0.514201 # DEPENDENCYPART_ARC
(13,9),-0.285898 # DEPENDENCYPART_ARC
(13,10),0.0597513 # DEPENDENCYPART_ARC
(13,11),0.587836 # DEPENDENCYPART_ARC
(13,12),0.877151 # DEPENDENCYPART_ARC
(13,14),1.40456 # DEPENDENCYPART_ARC
(13,15),3.55535 # DEPENDENCYPART_ARC
(13,16),0.837164 # DEPENDENCYPART_ARC
(13,17),1.03879 # DEPENDENCYPART_ARC
(13,18),0.335015 # DEPENDENCYPART_ARC
(13,19),0.0300603 # DEPENDENCYPART_ARC
(13,20),-2.18119 # DEPENDENCYPART_ARC
(13,21),-1.79283 # DEPENDENCYPART_ARC
(13,22),-0.70762 # DEPENDENCYPART_ARC
(13,23),-2.50972 # DEPENDENCYPART_ARC
(13,24),-4.33702 # DEPENDENCYPART_ARC
(13,25),-1.68632 # DEPENDENCYPART_ARC
(13,26),-1.75269 # DEPENDENCYPART_ARC
(13,27),0.537863 # DEPENDENCYPART_ARC
(14,1),-3.82166 # DEPENDENCYPART_ARC
(14,2),-3.74669 # DEPENDENCYPART_ARC
(14,3),-2.49805 # DEPENDENCYPART_ARC
(14,4),-2.22151 # DEPENDENCYPART_ARC
(14,5),-3.23569 # DEPENDENCYPART_ARC
(14,6),-2.60048 # DEPENDENCYPART_ARC
(14,7),-1.51316 # DEPENDENCYPART_ARC
(14,8),-2.14905 # DEPENDENCYPART_ARC
(14,9),-2.13695 # DEPENDENCYPART_ARC
(14,10),-1.48211 # DEPENDENCYPART_ARC
(14,11),-0.0582551 # DEPENDENCYPART_ARC
(14,12),-0.959041 # DEPENDENCYPART_ARC
(14,13),0.124951 # DEPENDENCYPART_ARC
(14,15),0.674215 # DEPENDENCYPART_ARC
(14,16),0.23153 # DEPENDENCYPART_ARC
(14,17),-0.242168 # DEPENDENCYPART_ARC
(14,18),-0.438714 # DEPENDENCYPART_ARC
(14,19),-0.949277 # DEPENDENCYPART_ARC
(14,20),-0.925153 # DEPENDENCYPART_ARC
(14,21),-0.820182 # DEPENDENCYPART_ARC
(14,22),0.00641325 # DEPENDENCYPART_ARC
(14,23),-1.25607 # DEPENDENCYPART_ARC
(14,24),-1.25092 # DEPENDENCYPART_ARC
(14,25),-1.16896 # DEPENDENCYPART_ARC
(14,26),-1.73452 # DEPENDENCYPART_ARC
(14,27),-0.364853 # DEPENDENCYPART_ARC
(15,1),-1.57844 # DEPENDENCYPART_ARC
(15,2),-0.999771 # DEPENDENCYPART_ARC
(15,3),-0.5982 # DEPENDENCYPART_ARC
(15,4),-0.674848 # DEPENDENCYPART_ARC
(15,5),-2.28401 # DEPENDENCYPART_ARC
(15,6),-0.839144 # DEPENDENCYPART_ARC
(15,7),0.354482 # DEPENDENCYPART_ARC
(15,8),-0.704988 # DEPENDENCYPART_ARC
(15,9),-0.392375 # DEPENDENCYPART_ARC
(15,10),0.0673252 # DEPENDENCYPART_ARC
(15,11),1.64742 # DEPENDENCYPART_ARC
(15,12),0.807802 # DEPENDENCYPART_ARC
(15,13),1.08424 # DEPENDENCYPART_ARC
(15,14),4.41215 # DEPENDENCYPART_ARC
(15,16),2.02533 # DEPENDENCYPART_ARC
(15,17),0.974284 # DEPENDENCYPART_ARC
(15,18),0.153624 # DEPENDENCYPART_ARC
(15,19),0.0270133 # DEPENDENCYPART_ARC
(15,20),-0.164735 # DEPENDENCYPART_ARC
(15,21),0.228433 # DEPENDENCYPART_ARC
(15,22),0.0969201 # DEPENDENCYPART_ARC
(15,23),-0.113059 # DEPENDENCYPART_ARC
(15,24),-0.252219 # DEPENDENCYPART_ARC
(15,25),-1.38525 # DEPENDENCYPART_ARC
(15,26),-1.02307 # DEPENDENCYPART_ARC
(15,27),0.911878 # DEPENDENCYPART_ARC
(16,1),-2.5188 # DEPENDENCYPART_ARC
(16,2),-2.23412 # DEPENDENCYPART_ARC
(16,3),-1.887 # DEPENDENCYPART_ARC
(16,4),-2.13076 # DEPENDENCYPART_ARC
(16,5),-1.62009 # DEPENDENCYPART_ARC
(16,6),0.137816 # DEPENDENCYPART_ARC
(16,7),-1.29863 # DEPENDENCYPART_ARC
(16,8),-1.88457 # DEPENDENCYPART_ARC
(16,9),-1.10851 # DEPENDENCYPART_ARC
(16,10),-1.40401 # DEPENDENCYPART_ARC
(16,11),-1.36398 # DEPENDENCYPART_ARC
(16,12),-1.46807 # DEPENDENCYPART_ARC
(16,13),-0.802778 # DEPENDENCYPART_ARC
(16,14),-0.903315 # DEPENDENCYPART_ARC
(16,15),-0.772614 # DEPENDENCYPART_ARC
(16,17),-0.217784 # DEPENDENCYPART_ARC
(16,18),-0.763239 # DEPENDENCYPART_ARC
(16,19),-1.16609 # DEPENDENCYPART_ARC
(16,20),-1.47955 # DEPENDENCYPART_ARC
(16,21),-1.65982 # DEPENDENCYPART_ARC
(16,22),-1.12978 # DEPENDENCYPART_ARC
(16,23),-1.74864 # DEPENDENCYPART_ARC
(16,24),-2.31563 # DEPENDENCYPART_ARC
(16,25),-1.41202 # DEPENDENCYPART_ARC
(16,26),-2.41306 # DEPENDENCYPART_ARC
(16,27),-1.38505 # DEPENDENCYPART_ARC
(17,1),-2.22509 # DEPENDENCYPART_ARC
(17,2),-1.83418 # DEPENDENCYPART_ARC
(17,3),-1.74649 # DEPENDENCYPART_ARC
(17,4),-1.77465 # DEPENDENCYPART_ARC
(17,5),-1.0545 # DEPENDENCYPART_ARC
(17,6),-1.80685 # DEPENDENCYPART_ARC
(17,7),-1.02303 # DEPENDENCYPART_ARC
(17,8),-0.325274 # DEPENDENCYPART_ARC
(17,9),-0.0649593 # DEPENDENCYPART_ARC
(17,10),-1.0643 # DEPENDENCYPART_ARC
(17,11),-1.03026 # DEPENDENCYPART_ARC
(17,12),-0.574199 # DEPENDENCYPART_ARC
(17,13),-0.446475 # DEPENDENCYPART_ARC
(17,14),-0.318545 # DEPENDENCYPART_ARC
(17,15),-0.249801 # DEPENDENCYPART_ARC
(17,16),0.0112321 # DEPENDENCYPART_ARC
(17,18),2.00602 # DEPENDENCYPART_ARC
(17,19),1.24798 # DEPENDENCYPART_ARC
(17,20),-0.417766 # DEPENDENCYPART_ARC
(17,21),-0.104387 # DEPENDENCYPART_ARC
(17,22),3.13722 # DEPENDENCYPART_ARC
(17,23),-0.604227 # DEPENDENCYPART_ARC
(17,24),-1.6058 # DEPENDENCYPART_ARC
(17,25),0.645807 # DEPENDENCYPART_ARC
(17,26),-1.16711 # DEPENDENCYPART_ARC
(17,27),0.499163 # DEPENDENCYPART_ARC
(18,1),-3.53105 # DEPENDENCYPART_ARC
(18,2),-3.60909 # DEPENDENCYPART_ARC
(18,3),-3.27166 # DEPENDENCYPART_ARC
(18,4),-2.82137 # DEPENDENCYPART_ARC
(18,5),-4.03922 # DEPENDENCYPART_ARC
(18,6),-2.05012 # DEPENDENCYPART_ARC
(18,7),-2.52843 # DEPENDENCYPART_ARC
(18,8),-2.36788 # DEPENDENCYPART_ARC
(18,9),-2.18223 # DEPENDENCYPART_ARC
(18,10),-2.2374 # DEPENDENCYPART_ARC
(18,11),-1.61173 # DEPENDENCYPART_ARC
(18,12),-2.12512 # DEPENDENCYPART_ARC
(18,13),-1.59972 # DEPENDENCYPART_ARC
(18,14),-1.22064 # DEPENDENCYPART_ARC
(18,15),-1.47886 # DEPENDENCYPART_ARC
(18,16),-0.268324 # DEPENDENCYPART_ARC
(18,17),0.350619 # DEPENDENCYPART_ARC
(18,19),3.57553 # DEPENDENCYPART_ARC
(18,20),0.132317 # DEPENDENCYPART_ARC
(18,21),1.19637 # DEPENDENCYPART_ARC
(18,22),1.43745 # DEPENDENCYPART_ARC
(18,23),-0.89881 # DEPENDENCYPART_ARC
(18,24),-1.78145 # DEPENDENCYPART_ARC
(18,25),0.717083 # DEPENDENCYPART_ARC
(18,26),-0.099553 # DEPENDENCYPART_ARC
(18,27),0.564804 # DEPENDENCYPART_ARC
(19,1),-3.43814 # DEPENDENCYPART_ARC
(19,2),-3.58545 # DEPENDENCYPART_ARC
(19,3),-2.19097 # DEPENDENCYPART_ARC
(19,4),-2.21582 # DEPENDENCYPART_ARC
(19,5),-3.29528 # DEPENDENCYPART_ARC
(19,6),-1.8889 # DEPENDENCYPART_ARC
(19,7),-1.72903 # DEPENDENCYPART_ARC
(19,8),-2.40255 # DEPENDENCYPART_ARC
(19,9),-2.15245 # DEPENDENCYPART_ARC
(19,10),-1.76831 # DEPENDENCYPART_ARC
(19,11),-0.927023 # DEPENDENCYPART_ARC
(19,12),-1.78412 # DEPENDENCYPART_ARC
(19,13),-1.64887 # DEPENDENCYPART_ARC
(19,14),0.281945 # DEPENDENCYPART_ARC
