# _root_ Isao Ushikubo , general manager of the investment research department at Toyo Trust & Banking Co. , also was optimistic .
#goldHeads=2,19,2,5,2,5,10,10,10,6,10,13,11,13,14,15,2,19,0,19,19,
#predictedHeads=2,19,2,5,2,5,10,10,10,6,5,13,11,13,14,15,2,19,0,19,19,
(1,16),-1.55227 # DEPENDENCYPART_ARC
(1,17),0.951783 # DEPENDENCYPART_ARC
(1,18),-2.2493 # DEPENDENCYPART_ARC
(1,19),-0.677648 # DEPENDENCYPART_ARC
(1,20),-2.27233 # DEPENDENCYPART_ARC
(1,21),0.0417764 # DEPENDENCYPART_ARC
(2,1),4.73361 # DEPENDENCYPART_ARC
(2,3),3.35733 # DEPENDENCYPART_ARC
(2,4),1.80853 # DEPENDENCYPART_ARC
(2,5),2.90616 # DEPENDENCYPART_ARC
(2,6),1.38401 # DEPENDENCYPART_ARC
(2,7),0.348992 # DEPENDENCYPART_ARC
(2,8),0.317093 # DEPENDENCYPART_ARC
(2,9),0.47039 # DEPENDENCYPART_ARC
(2,10),0.61268 # DEPENDENCYPART_ARC
(2,11),-0.433472 # DEPENDENCYPART_ARC
(2,12),-1.23062 # DEPENDENCYPART_ARC
(2,13),0.62967 # DEPENDENCYPART_ARC
(2,14),0.88981 # DEPENDENCYPART_ARC
(2,15),-2.01269 # DEPENDENCYPART_ARC
(2,16),0.233994 # DEPENDENCYPART_ARC
(2,17),2.76875 # DEPENDENCYPART_ARC
(2,18),-0.827022 # DEPENDENCYPART_ARC
(2,19),0.623572 # DEPENDENCYPART_ARC
(2,20),-1.33806 # DEPENDENCYPART_ARC
(2,21),0.746525 # DEPENDENCYPART_ARC
(3,1),-1.90247 # DEPENDENCYPART_ARC
(3,2),-1.34175 # DEPENDENCYPART_ARC
(3,4),-0.461707 # DEPENDENCYPART_ARC
(3,5),-1.3032 # DEPENDENCYPART_ARC
(3,6),-1.17031 # DEPENDENCYPART_ARC
(3,7),-1.88764 # DEPENDENCYPART_ARC
(3,8),-2.15743 # DEPENDENCYPART_ARC
(3,9),-2.38628 # DEPENDENCYPART_ARC
(3,10),-2.57523 # DEPENDENCYPART_ARC
(3,11),-1.67152 # DEPENDENCYPART_ARC
(3,12),-2.37563 # DEPENDENCYPART_ARC
(3,13),-2.49616 # DEPENDENCYPART_ARC
(3,14),-2.03685 # DEPENDENCYPART_ARC
(3,15),-2.76786 # DEPENDENCYPART_ARC
(3,16),-2.87242 # DEPENDENCYPART_ARC
(3,17),-2.02417 # DEPENDENCYPART_ARC
(3,18),-2.89221 # DEPENDENCYPART_ARC
(3,19),-2.55857 # DEPENDENCYPART_ARC
(3,20),-3.34741 # DEPENDENCYPART_ARC
(3,21),-2.57592 # DEPENDENCYPART_ARC
(4,1),1.29123 # DEPENDENCYPART_ARC
(4,2),0.991254 # DEPENDENCYPART_ARC
(4,3),1.46382 # DEPENDENCYPART_ARC
(4,5),0.894829 # DEPENDENCYPART_ARC
(4,6),0.304108 # DEPENDENCYPART_ARC
(4,7),-1.33851 # DEPENDENCYPART_ARC
(4,8),-0.950712 # DEPENDENCYPART_ARC
(4,9),-1.1724 # DEPENDENCYPART_ARC
(4,10),-1.65072 # DEPENDENCYPART_ARC
(4,11),-1.24327 # DEPENDENCYPART_ARC
(4,12),-1.74739 # DEPENDENCYPART_ARC
(4,13),-1.75107 # DEPENDENCYPART_ARC
(4,14),-1.14314 # DEPENDENCYPART_ARC
(4,15),-1.85617 # DEPENDENCYPART_ARC
(4,16),-1.85746 # DEPENDENCYPART_ARC
(4,17),-1.70802 # DEPENDENCYPART_ARC
(4,18),-2.20853 # DEPENDENCYPART_ARC
(4,19),-1.11136 # DEPENDENCYPART_ARC
(4,20),-1.97019 # DEPENDENCYPART_ARC
(4,21),-1.22092 # DEPENDENCYPART_ARC
(5,1),1.97168 # DEPENDENCYPART_ARC
(5,2),1.19606 # DEPENDENCYPART_ARC
(5,3),1.48074 # DEPENDENCYPART_ARC
(5,4),4.28691 # DEPENDENCYPART_ARC
(5,6),3.36092 # DEPENDENCYPART_ARC
(5,7),0.693111 # DEPENDENCYPART_ARC
(5,8),1.63461 # DEPENDENCYPART_ARC
(5,9),0.963979 # DEPENDENCYPART_ARC
(5,10),0.701478 # DEPENDENCYPART_ARC
(5,11),2.8679 # DEPENDENCYPART_ARC
(5,12),0.140847 # DEPENDENCYPART_ARC
(5,13),0.371755 # DEPENDENCYPART_ARC
(5,14),0.947658 # DEPENDENCYPART_ARC
(5,15),-0.342899 # DEPENDENCYPART_ARC
(5,16),0.603887 # DEPENDENCYPART_ARC
(5,17),1.83749 # DEPENDENCYPART_ARC
(5,18),-0.273324 # DEPENDENCYPART_ARC
(5,19),0.514847 # DEPENDENCYPART_ARC
(5,20),-0.464337 # DEPENDENCYPART_ARC
(5,21),1.44964 # DEPENDENCYPART_ARC
(6,1),-0.878433 # DEPENDENCYPART_ARC
(6,2),-0.852326 # DEPENDENCYPART_ARC
(6,3),-0.570726 # DEPENDENCYPART_ARC
(6,4),-0.606371 # DEPENDENCYPART_ARC
(6,5),-0.00767011 # DEPENDENCYPART_ARC
(6,7),0.58159 # DEPENDENCYPART_ARC
(6,8),2.32799 # DEPENDENCYPART_ARC
(6,9),2.20035 # DEPENDENCYPART_ARC
(6,10),2.68818 # DEPENDENCYPART_ARC
(6,11),0.331468 # DEPENDENCYPART_ARC
(6,12),-1.0841 # DEPENDENCYPART_ARC
(6,13),0.991755 # DEPENDENCYPART_ARC
(6,14),-0.10324 # DEPENDENCYPART_ARC
(6,15),-2.24667 # DEPENDENCYPART_ARC
(6,16),-2.16567 # DEPENDENCYPART_ARC
(6,17),0.261217 # DEPENDENCYPART_ARC
(6,18),-1.5478 # DEPENDENCYPART_ARC
(6,19),-1.77754 # DEPENDENCYPART_ARC
(6,20),-2.27128 # DEPENDENCYPART_ARC
(6,21),-0.0729402 # DEPENDENCYPART_ARC
(7,1),-2.44235 # DEPENDENCYPART_ARC
(7,2),-2.28045 # DEPENDENCYPART_ARC
(7,3),-1.8151 # DEPENDENCYPART_ARC
(7,4),-1.51028 # DEPENDENCYPART_ARC
(7,5),-1.92016 # DEPENDENCYPART_ARC
(7,6),-0.567884 # DEPENDENCYPART_ARC
(7,8),0.388339 # DEPENDENCYPART_ARC
(7,9),-0.501634 # DEPENDENCYPART_ARC
(7,10),-0.944807 # DEPENDENCYPART_ARC
(7,11),-1.72267 # DEPENDENCYPART_ARC
(7,12),-1.90052 # DEPENDENCYPART_ARC
(7,13),-2.21034 # DEPENDENCYPART_ARC
(7,14),-1.44509 # DEPENDENCYPART_ARC
(7,15),-2.45948 # DEPENDENCYPART_ARC
(7,16),-2.42297 # DEPENDENCYPART_ARC
(7,17),-1.60742 # DEPENDENCYPART_ARC
(7,18),-2.37909 # DEPENDENCYPART_ARC
(7,19),-3.17574 # DEPENDENCYPART_ARC
(7,20),-2.65547 # DEPENDENCYPART_ARC
(7,21),-2.59755 # DEPENDENCYPART_ARC
(8,1),-3.43296 # DEPENDENCYPART_ARC
(8,2),-3.95827 # DEPENDENCYPART_ARC
(8,3),-1.52745 # DEPENDENCYPART_ARC
(8,4),-1.93697 # DEPENDENCYPART_ARC
(8,5),-2.70537 # DEPENDENCYPART_ARC
(8,6),-0.576966 # DEPENDENCYPART_ARC
(8,7),2.77757 # DEPENDENCYPART_ARC
(8,9),0.86853 # DEPENDENCYPART_ARC
(8,10),0.364657 # DEPENDENCYPART_ARC
(8,11),0.312243 # DEPENDENCYPART_ARC
(8,12),-0.618926 # DEPENDENCYPART_ARC
(8,13),-0.632315 # DEPENDENCYPART_ARC
(8,14),-0.155804 # DEPENDENCYPART_ARC
(8,15),-1.47314 # DEPENDENCYPART_ARC
(8,16),-1.18542 # DEPENDENCYPART_ARC
(8,17),0.201993 # DEPENDENCYPART_ARC
(8,18),-2.03154 # DEPENDENCYPART_ARC
(8,19),-0.398703 # DEPENDENCYPART_ARC
(8,20),-1.40654 # DEPENDENCYPART_ARC
(8,21),0.402344 # DEPENDENCYPART_ARC
(9,1),-2.10559 # DEPENDENCYPART_ARC
(9,2),-2.90024 # DEPENDENCYPART_ARC
(9,3),-0.309483 # DEPENDENCYPART_ARC
(9,4),-0.362423 # DEPENDENCYPART_ARC
(9,5),-1.29198 # DEPENDENCYPART_ARC
(9,6),-0.0376701 # DEPENDENCYPART_ARC
(9,7),2.99011 # DEPENDENCYPART_ARC
(9,8),3.08321 # DEPENDENCYPART_ARC
(9,10),1.51354 # DEPENDENCYPART_ARC
(9,11),-0.0655089 # DEPENDENCYPART_ARC
(9,12),-0.113072 # DEPENDENCYPART_ARC
(9,13),-0.195218 # DEPENDENCYPART_ARC
(9,14),0.230046 # DEPENDENCYPART_ARC
(9,15),-1.10207 # DEPENDENCYPART_ARC
(9,16),-0.753163 # DEPENDENCYPART_ARC
(9,17),0.131937 # DEPENDENCYPART_ARC
(9,18),-1.29108 # DEPENDENCYPART_ARC
(9,19),-0.0740918 # DEPENDENCYPART_ARC
(9,20),-1.11946 # DEPENDENCYPART_ARC
(9,21),1.20922 # DEPENDENCYPART_ARC
(10,1),-0.280613 # DEPENDENCYPART_ARC
(10,2),-1.28847 # DEPENDENCYPART_ARC
(10,3),0.467725 # DEPENDENCYPART_ARC
(10,4),1.58973 # DEPENDENCYPART_ARC
(10,5),0.522928 # DEPENDENCYPART_ARC
(10,6),1.18031 # DEPENDENCYPART_ARC
(10,7),5.2077 # DEPENDENCYPART_ARC
(10,8),4.74527 # DEPENDENCYPART_ARC
(10,9),4.45427 # DEPENDENCYPART_ARC
(10,11),2.64051 # DEPENDENCYPART_ARC
(10,12),0.621737 # DEPENDENCYPART_ARC
(10,13),0.846525 # DEPENDENCYPART_ARC
(10,14),1.30295 # DEPENDENCYPART_ARC
(10,15),-0.078646 # DEPENDENCYPART_ARC
(10,16),0.472146 # DEPENDENCYPART_ARC
(10,17),1.16715 # DEPENDENCYPART_ARC
(10,18),-0.448122 # DEPENDENCYPART_ARC
(10,19),0.927272 # DEPENDENCYPART_ARC
(10,20),-0.240441 # DEPENDENCYPART_ARC
(10,21),1.08857 # DEPENDENCYPART_ARC
(11,1),-1.48911 # DEPENDENCYPART_ARC
(11,2),-1.65362 # DEPENDENCYPART_ARC
(11,3),-0.897548 # DEPENDENCYPART_ARC
(11,4),-0.855382 # DEPENDENCYPART_ARC
(11,5),-1.12659 # DEPENDENCYPART_ARC
(11,6),-0.76592 # DEPENDENCYPART_ARC
(11,7),-0.261656 # DEPENDENCYPART_ARC
(11,8),0.0255568 # DEPENDENCYPART_ARC
(11,9),-0.599209 # DEPENDENCYPART_ARC
(11,10),0.133365 # DEPENDENCYPART_ARC
(11,12),2.7381 # DEPENDENCYPART_ARC
(11,13),3.39237 # DEPENDENCYPART_ARC
(11,14),0.671246 # DEPENDENCYPART_ARC
(11,15),0.62866 # DEPENDENCYPART_ARC
(11,16),0.863009 # DEPENDENCYPART_ARC
(11,17),0.709697 # DEPENDENCYPART_ARC
(11,18),-0.30824 # DEPENDENCYPART_ARC
(11,19),-0.689437 # DEPENDENCYPART_ARC
(11,20),-0.557802 # DEPENDENCYPART_ARC
(11,21),0.323598 # DEPENDENCYPART_ARC
(12,1),-4.7157 # DEPENDENCYPART_ARC
(12,2),-4.59144 # DEPENDENCYPART_ARC
(12,3),-3.69283 # DEPENDENCYPART_ARC
(12,4),-3.03064 # DEPENDENCYPART_ARC
(12,5),-4.15021 # DEPENDENCYPART_ARC
(12,6),-3.05497 # DEPENDENCYPART_ARC
(12,7),-1.15436 # DEPENDENCYPART_ARC
(12,8),-0.985778 # DEPENDENCYPART_ARC
(12,9),-1.20545 # DEPENDENCYPART_ARC
(12,10),-2.44 # DEPENDENCYPART_ARC
(12,11),-1.29826 # DEPENDENCYPART_ARC
(12,13),2.11337 # DEPENDENCYPART_ARC
(12,14),2.08788 # DEPENDENCYPART_ARC
(12,15),-0.905126 # DEPENDENCYPART_ARC
(12,16),0.968146 # DEPENDENCYPART_ARC
(12,17),0.00251578 # DEPENDENCYPART_ARC
(12,18),-1.66704 # DEPENDENCYPART_ARC
(12,19),-0.732415 # DEPENDENCYPART_ARC
(12,20),-1.6826 # DEPENDENCYPART_ARC
(12,21),-1.11655 # DEPENDENCYPART_ARC
(13,1),-0.997388 # DEPENDENCYPART_ARC
(13,2),-2.51288 # DEPENDENCYPART_ARC
(13,3),-1.05555 # DEPENDENCYPART_ARC
(13,4),0.243211 # DEPENDENCYPART_ARC
(13,5),-1.38737 # DEPENDENCYPART_ARC
(13,6),-0.567427 # DEPENDENCYPART_ARC
(13,7),1.99781 # DEPENDENCYPART_ARC
(13,8),2.01806 # DEPENDENCYPART_ARC
(13,9),2.04369 # DEPENDENCYPART_ARC
(13,10),0.297929 # DEPENDENCYPART_ARC
(13,11),0.486329 # DEPENDENCYPART_ARC
(13,12),5.55776 # DEPENDENCYPART_ARC
(13,14),4.75799 # DEPENDENCYPART_ARC
(13,15),1.11938 # DEPENDENCYPART_ARC
(13,16),3.24709 # DEPENDENCYPART_ARC
(13,17),1.86853 # DEPENDENCYPART_ARC
(13,18),0.687068 # DEPENDENCYPART_ARC
(13,19),1.51329 # DEPENDENCYPART_ARC
(13,20),0.47182 # DEPENDENCYPART_ARC
(13,21),1.27624 # DEPENDENCYPART_ARC
(14,1),-2.11748 # DEPENDENCYPART_ARC
(14,2),-2.06997 # DEPENDENCYPART_ARC
(14,3),-2.17632 # DEPENDENCYPART_ARC
(14,4),-1.86814 # DEPENDENCYPART_ARC
(14,5),-2.08453 # DEPENDENCYPART_ARC
(14,6),-1.38835 # DEPENDENCYPART_ARC
(14,7),-1.244 # DEPENDENCYPART_ARC
(14,8),-1.62547 # DEPENDENCYPART_ARC
(14,9),-1.43381 # DEPENDENCYPART_ARC
(14,10),-1.15047 # DEPENDENCYPART_ARC
(14,11),-0.800633 # DEPENDENCYPART_ARC
(14,12),-0.532015 # DEPENDENCYPART_ARC
(14,13),-0.00109428 # DEPENDENCYPART_ARC
(14,15),3.14578 # DEPENDENCYPART_ARC
(14,16),2.7096 # DEPENDENCYPART_ARC
(14,17),1.06245 # DEPENDENCYPART_ARC
(14,18),0.093375 # DEPENDENCYPART_ARC
(14,19),-0.239566 # DEPENDENCYPART_ARC
(14,20),-0.67399 # DEPENDENCYPART_ARC
(14,21),-0.432903 # DEPENDENCYPART_ARC
(15,1),-4.6551 # DEPENDENCYPART_ARC
(15,2),-4.82822 # DEPENDENCYPART_ARC
(15,3),-2.77805 # DEPENDENCYPART_ARC
(15,4),-1.876 # DEPENDENCYPART_ARC
(15,5),-2.79404 # DEPENDENCYPART_ARC
(15,6),-1.99171 # DEPENDENCYPART_ARC
(15,7),-0.372889 # DEPENDENCYPART_ARC
(15,8),-0.545914 # DEPENDENCYPART_ARC
(15,9),-0.844783 # DEPENDENCYPART_ARC
(15,10),-1.573 # DEPENDENCYPART_ARC
(15,11),-1.69553 # DEPENDENCYPART_ARC
(15,12),0.813788 # DEPENDENCYPART_ARC
(15,13),-0.00380581 # DEPENDENCYPART_ARC
(15,14),0.580338 # DEPENDENCYPART_ARC
(15,16),4.64948 # DEPENDENCYPART_ARC
(15,17),1.51949 # DEPENDENCYPART_ARC
(15,18),0.334604 # DEPENDENCYPART_ARC
(15,19),0.444871 # DEPENDENCYPART_ARC
(15,20),0.135673 # DEPENDENCYPART_ARC
(15,21),0.784694 # DEPENDENCYPART_ARC
(16,1),-3.35972 # DEPENDENCYPART_ARC
(16,2),-4.56937 # DEPENDENCYPART_ARC
(16,3),-2.5843 # DEPENDENCYPART_ARC
(16,4),-1.70927 # DEPENDENCYPART_ARC
(16,5),-3.57526 # DEPENDENCYPART_ARC
(16,6),-2.06932 # DEPENDENCYPART_ARC
(16,7),-0.00473328 # DEPENDENCYPART_ARC
(16,8),-0.482205 # DEPENDENCYPART_ARC
(16,9),-0.608567 # DEPENDENCYPART_ARC
(16,10),-2.6379 # DEPENDENCYPART_ARC
(16,11),-2.01013 # DEPENDENCYPART_ARC
(16,12),1.29504 # DEPENDENCYPART_ARC
(16,13),-0.708121 # DEPENDENCYPART_ARC
(16,14),0.00170292 # DEPENDENCYPART_ARC
(16,15),2.82536 # DEPENDENCYPART_ARC
(16,17),0.437805 # DEPENDENCYPART_ARC
(16,18),-0.57912 # DEPENDENCYPART_ARC
(16,19),-0.190328 # DEPENDENCYPART_ARC
(16,20),-1.13761 # DEPENDENCYPART_ARC
(16,21),-1.10735 # DEPENDENCYPART_ARC
(17,1),-2.83839 # DEPENDENCYPART_ARC
(17,2),-2.88134 # DEPENDENCYPART_ARC
(17,3),-0.833822 # DEPENDENCYPART_ARC
(17,4),-2.19187 # DEPENDENCYPART_ARC
(17,5),-1.90888 # DEPENDENCYPART_ARC
(17,6),-1.8068 # DEPENDENCYPART_ARC
(17,7),-1.38965 # DEPENDENCYPART_ARC
(17,8),-1.67195 # DEPENDENCYPART_ARC
(17,9),-1.64525 # DEPENDENCYPART_ARC
(17,10),-1.59968 # DEPENDENCYPART_ARC
(17,11),-1.16812 # DEPENDENCYPART_ARC
(17,12),-1.73498 # DEPENDENCYPART_ARC
(17,13),-1.5412 # DEPENDENCYPART_ARC
(17,14),-1.16222 # DEPENDENCYPART_ARC
(17,15),-1.27108 # DEPENDENCYPART_ARC
(17,16),-0.7127 # DEPENDENCYPART_ARC
(17,18),-0.444305 # DEPENDENCYPART_ARC
(17,19),-0.348017 # DEPENDENCYPART_ARC
(17,20),-1.19131 # DEPENDENCYPART_ARC
(17,21),-1.1359 # DEPENDENCYPART_ARC
(18,1),-3.18702 # DEPENDENCYPART_ARC
(18,2),-3.01821 # DEPENDENCYPART_ARC
(18,3),-2.20345 # DEPENDENCYPART_ARC
(18,4),-1.72594 # DEPENDENCYPART_ARC
(18,5),-2.82703 # DEPENDENCYPART_ARC
(18,6),-2.1543 # DEPENDENCYPART_ARC
(18,7),-1.35445 # DEPENDENCYPART_ARC
(18,8),-2.14014 # DEPENDENCYPART_ARC
(18,9),-2.31597 # DEPENDENCYPART_ARC
(18,10),-2.19052 # DEPENDENCYPART_ARC
(18,11),-1.04038 # DEPENDENCYPART_ARC
(18,12),-1.79777 # DEPENDENCYPART_ARC
(18,13),-1.87256 # DEPENDENCYPART_ARC
(18,14),-1.60665 # DEPENDENCYPART_ARC
(18,15),-1.09023 # DEPENDENCYPART_ARC
(18,16),-0.715079 # DEPENDENCYPART_ARC
(18,17),-0.201467 # DEPENDENCYPART_ARC
(18,19),0.192364 # DEPENDENCYPART_ARC
(18,20),-0.954376 # DEPENDENCYPART_ARC
(18,21),-0.508657 # DEPENDENCYPART_ARC
(19,1),1.47015 # DEPENDENCYPART_ARC
(19,2),1.12759 # DEPENDENCYPART_ARC
(19,3),1.20846 # DEPENDENCYPART_ARC
(19,4),0.3247 # DEPENDENCYPART_ARC
(19,5),0.63435 # DEPENDENCYPART_ARC
(19,6),-0.294221 # DEPENDENCYPART_ARC
(19,7),-1.70241 # DEPENDENCYPART_ARC
(19,8),1.22248 # DEPENDENCYPART_ARC
(19,9),0.755656 # DEPENDENCYPART_ARC
(19,10),0.887877 # DEPENDENCYPART_ARC
(19,11),0.366069 # DEPENDENCYPART_ARC
(19,12),1.32241 # DEPENDENCYPART_ARC
(19,13),1.56035 # DEPENDENCYPART_ARC
(19,14),0.474678 # DEPENDENCYPART_ARC
(19,15),1.45884 # DEPENDENCYPART_ARC
(19,16),1.01043 # DEPENDENCYPART_ARC
(19,17),2.14835 # DEPENDENCYPART_ARC
(19,18),2.8898 # DEPENDENCYPART_ARC
(19,20),3.27408 # DEPENDENCYPART_ARC
(19,21),3.9884 # DEPENDENCYPART_ARC
(20,1),-2.16784 # DEPENDENCYPART_ARC
(20,2),-2.67933 # DEPENDENCYPART_ARC
(20,3),-1.31462 # DEPENDENCYPART_ARC
(20,4),-1.88373 # DEPENDENCYPART_ARC
(20,5),-1.68066 # DEPENDENCYPART_ARC
(20,6),-1.819 # DEPENDENCYPART_ARC
(20,7),-0.57502 # DEPENDENCYPART_ARC
(20,8),-1.40141 # DEPENDENCYPART_ARC
(20,9),-1.59638 # DEPENDENCYPART_ARC
(20,10),-1.33042 # DEPENDENCYPART_ARC
(20,11),-0.572821 # DEPENDENCYPART_ARC
(20,12),-0.187111 # DEPENDENCYPART_ARC
(20,13),-0.854701 # DEPENDENCYPART_ARC
(20,14),-1.00238 # DEPENDENCYPART_ARC
(20,15),0.123031 # DEPENDENCYPART_ARC
(20,16),-0.322958 # DEPENDENCYPART_ARC
(20,17),0.582714 # DEPENDENCYPART_ARC
(20,18),0.102106 # DEPENDENCYPART_ARC
(20,19),0.365891 # DEPENDENCYPART_ARC
(20,21),0.618478 # DEPENDENCYPART_ARC
(21,1),-2.45701 # DEPENDENCYPART_ARC
(21,2),-2.66871 # DEPENDENCYPART_ARC
(21,3),-1.93767 # DEPENDENCYPART_ARC
(21,4),-2.77878 # DEPENDENCYPART_ARC
(21,5),-2.14801 # DEPENDENCYPART_ARC
(21,6),-2.45945 # DEPENDENCYPART_ARC
(21,7),-2.03596 # DEPENDENCYPART_ARC
(21,8),-2.18343 # DEPENDENCYPART_ARC
(21,9),-2.06678 # DEPENDENCYPART_ARC
(21,10),-2.06066 # DEPENDENCYPART_ARC
(21,11),-1.62928 # DEPENDENCYPART_ARC
(21,12),-1.65542 # DEPENDENCYPART_ARC
(21,13),-1.73722 # DEPENDENCYPART_ARC
(21,14),-1.4955 # DEPENDENCYPART_ARC
(21,15),-1.3389 # DEPENDENCYPART_ARC
(21,16),-1.85611 # DEPENDENCYPART_ARC
(21,17),-0.529309 # DEPENDENCYPART_ARC
(21,18),-1.08731 # DEPENDENCYPART_ARC
(21,19),-1.42168 # DEPENDENCYPART_ARC
(21,20),-1.14213 # DEPENDENCYPART_ARC
