# _root_ The French group has an agreement giving it the right to buy all the shares outstanding , and this could be completed within a few months , a BSN spokeswoman said .
#goldHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,4,30,30,31,0,31,
#predictedHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,31,30,30,31,0,31,
(4,29),-3.06356 # DEPENDENCYPART_ARC
(4,30),-2.68882 # DEPENDENCYPART_ARC
(4,31),-1.88402 # DEPENDENCYPART_ARC
(4,32),5.3639 # DEPENDENCYPART_ARC
(5,1),-1.12731 # DEPENDENCYPART_ARC
(5,2),-1.38748 # DEPENDENCYPART_ARC
(5,3),-1.76287 # DEPENDENCYPART_ARC
(5,4),-0.860567 # DEPENDENCYPART_ARC
(5,6),0.792853 # DEPENDENCYPART_ARC
(5,7),0.14345 # DEPENDENCYPART_ARC
(5,8),-0.477896 # DEPENDENCYPART_ARC
(5,9),-1.35849 # DEPENDENCYPART_ARC
(5,10),-0.646485 # DEPENDENCYPART_ARC
(5,11),-0.671484 # DEPENDENCYPART_ARC
(5,12),-1.09583 # DEPENDENCYPART_ARC
(5,13),-1.78413 # DEPENDENCYPART_ARC
(5,14),-1.88356 # DEPENDENCYPART_ARC
(5,15),-1.56298 # DEPENDENCYPART_ARC
(5,16),-1.97173 # DEPENDENCYPART_ARC
(5,17),-1.44657 # DEPENDENCYPART_ARC
(5,18),-1.06886 # DEPENDENCYPART_ARC
(5,19),-2.64356 # DEPENDENCYPART_ARC
(5,20),-2.35472 # DEPENDENCYPART_ARC
(5,21),-2.08393 # DEPENDENCYPART_ARC
(5,22),-1.75203 # DEPENDENCYPART_ARC
(5,23),-2.49218 # DEPENDENCYPART_ARC
(5,24),-3.11653 # DEPENDENCYPART_ARC
(5,25),-2.90267 # DEPENDENCYPART_ARC
(5,26),-2.70158 # DEPENDENCYPART_ARC
(5,27),-2.10728 # DEPENDENCYPART_ARC
(5,28),-3.55707 # DEPENDENCYPART_ARC
(5,29),-3.49605 # DEPENDENCYPART_ARC
(5,30),-2.84588 # DEPENDENCYPART_ARC
(5,31),-4.62008 # DEPENDENCYPART_ARC
(5,32),-0.671409 # DEPENDENCYPART_ARC
(6,1),1.3987 # DEPENDENCYPART_ARC
(6,2),1.52823 # DEPENDENCYPART_ARC
(6,3),0.435491 # DEPENDENCYPART_ARC
(6,4),0.572906 # DEPENDENCYPART_ARC
(6,5),5.18089 # DEPENDENCYPART_ARC
(6,7),3.20545 # DEPENDENCYPART_ARC
(6,8),0.794275 # DEPENDENCYPART_ARC
(6,9),0.635342 # DEPENDENCYPART_ARC
(6,10),0.922757 # DEPENDENCYPART_ARC
(6,11),1.69592 # DEPENDENCYPART_ARC
(6,12),0.736392 # DEPENDENCYPART_ARC
(6,13),0.403033 # DEPENDENCYPART_ARC
(6,14),0.0966956 # DEPENDENCYPART_ARC
(6,15),-0.504207 # DEPENDENCYPART_ARC
(6,16),-0.212239 # DEPENDENCYPART_ARC
(6,17),0.26484 # DEPENDENCYPART_ARC
(6,18),0.670098 # DEPENDENCYPART_ARC
(6,19),-0.43658 # DEPENDENCYPART_ARC
(6,20),-0.182695 # DEPENDENCYPART_ARC
(6,21),-0.197219 # DEPENDENCYPART_ARC
(6,22),-1.13012 # DEPENDENCYPART_ARC
(6,23),-1.6372 # DEPENDENCYPART_ARC
(6,24),-0.803886 # DEPENDENCYPART_ARC
(6,25),-2.11905 # DEPENDENCYPART_ARC
(6,26),-0.705006 # DEPENDENCYPART_ARC
(6,27),-0.407543 # DEPENDENCYPART_ARC
(6,28),-1.41514 # DEPENDENCYPART_ARC
(6,29),-2.01705 # DEPENDENCYPART_ARC
(6,30),-1.30222 # DEPENDENCYPART_ARC
(6,31),-2.67721 # DEPENDENCYPART_ARC
(6,32),-0.234245 # DEPENDENCYPART_ARC
(7,1),0.354291 # DEPENDENCYPART_ARC
(7,2),-0.462022 # DEPENDENCYPART_ARC
(7,3),-0.049106 # DEPENDENCYPART_ARC
(7,4),0.00344631 # DEPENDENCYPART_ARC
(7,5),0.965197 # DEPENDENCYPART_ARC
(7,6),1.27311 # DEPENDENCYPART_ARC
(7,8),2.86995 # DEPENDENCYPART_ARC
(7,9),0.962025 # DEPENDENCYPART_ARC
(7,10),3.35198 # DEPENDENCYPART_ARC
(7,11),2.40395 # DEPENDENCYPART_ARC
(7,12),1.17049 # DEPENDENCYPART_ARC
(7,13),0.277121 # DEPENDENCYPART_ARC
(7,14),-0.113408 # DEPENDENCYPART_ARC
(7,15),0.294388 # DEPENDENCYPART_ARC
(7,16),0.506297 # DEPENDENCYPART_ARC
(7,17),1.125 # DEPENDENCYPART_ARC
(7,18),0.926912 # DEPENDENCYPART_ARC
(7,19),0.010505 # DEPENDENCYPART_ARC
(7,20),0.442587 # DEPENDENCYPART_ARC
(7,21),-0.294851 # DEPENDENCYPART_ARC
(7,22),0.284304 # DEPENDENCYPART_ARC
(7,23),-0.090316 # DEPENDENCYPART_ARC
(7,24),-1.07625 # DEPENDENCYPART_ARC
(7,25),-1.30657 # DEPENDENCYPART_ARC
(7,26),-2.14656 # DEPENDENCYPART_ARC
(7,27),0.453106 # DEPENDENCYPART_ARC
(7,28),-1.24236 # DEPENDENCYPART_ARC
(7,29),-2.30811 # DEPENDENCYPART_ARC
(7,30),-2.87455 # DEPENDENCYPART_ARC
(7,31),-1.4881 # DEPENDENCYPART_ARC
(7,32),1.11721 # DEPENDENCYPART_ARC
(8,1),-0.957275 # DEPENDENCYPART_ARC
(8,2),-1.53119 # DEPENDENCYPART_ARC
(8,3),-1.76901 # DEPENDENCYPART_ARC
(8,4),-1.36314 # DEPENDENCYPART_ARC
(8,5),0.031204 # DEPENDENCYPART_ARC
(8,6),-1.16835 # DEPENDENCYPART_ARC
(8,7),0.106796 # DEPENDENCYPART_ARC
(8,9),1.38376 # DEPENDENCYPART_ARC
(8,10),0.443691 # DEPENDENCYPART_ARC
(8,11),0.851353 # DEPENDENCYPART_ARC
(8,12),-0.802715 # DEPENDENCYPART_ARC
(8,13),0.219376 # DEPENDENCYPART_ARC
(8,14),-0.169263 # DEPENDENCYPART_ARC
(8,15),-0.79816 # DEPENDENCYPART_ARC
(8,16),-1.35779 # DEPENDENCYPART_ARC
(8,17),-0.29426 # DEPENDENCYPART_ARC
(8,18),-0.671695 # DEPENDENCYPART_ARC
(8,19),-0.80026 # DEPENDENCYPART_ARC
(8,20),-0.709622 # DEPENDENCYPART_ARC
(8,21),-1.85029 # DEPENDENCYPART_ARC
(8,22),-1.67748 # DEPENDENCYPART_ARC
(8,23),-0.731763 # DEPENDENCYPART_ARC
(8,24),-1.45189 # DEPENDENCYPART_ARC
(8,25),-2.39941 # DEPENDENCYPART_ARC
(8,26),-2.18431 # DEPENDENCYPART_ARC
(8,27),-0.914437 # DEPENDENCYPART_ARC
(8,28),-1.8136 # DEPENDENCYPART_ARC
(8,29),-1.98654 # DEPENDENCYPART_ARC
(8,30),-0.813948 # DEPENDENCYPART_ARC
(8,31),-1.68599 # DEPENDENCYPART_ARC
(8,32),-1.51429 # DEPENDENCYPART_ARC
(9,1),-1.79396 # DEPENDENCYPART_ARC
(9,2),-2.17686 # DEPENDENCYPART_ARC
(9,3),-2.42872 # DEPENDENCYPART_ARC
(9,4),-2.08791 # DEPENDENCYPART_ARC
(9,5),-0.967968 # DEPENDENCYPART_ARC
(9,6),-1.57077 # DEPENDENCYPART_ARC
(9,7),-1.07982 # DEPENDENCYPART_ARC
(9,8),0.490927 # DEPENDENCYPART_ARC
(9,10),-0.349314 # DEPENDENCYPART_ARC
(9,11),-1.30496 # DEPENDENCYPART_ARC
(9,12),-1.50573 # DEPENDENCYPART_ARC
(9,13),-2.56587 # DEPENDENCYPART_ARC
(9,14),-2.7398 # DEPENDENCYPART_ARC
(9,15),-2.31688 # DEPENDENCYPART_ARC
(9,16),-2.41431 # DEPENDENCYPART_ARC
(9,17),-1.85471 # DEPENDENCYPART_ARC
(9,18),-1.73572 # DEPENDENCYPART_ARC
(9,19),-3.15643 # DEPENDENCYPART_ARC
(9,20),-3.00989 # DEPENDENCYPART_ARC
(9,21),-2.93418 # DEPENDENCYPART_ARC
(9,22),-2.60257 # DEPENDENCYPART_ARC
(9,23),-3.08637 # DEPENDENCYPART_ARC
(9,24),-3.84247 # DEPENDENCYPART_ARC
(9,25),-3.61178 # DEPENDENCYPART_ARC
(9,26),-3.46654 # DEPENDENCYPART_ARC
(9,27),-2.40596 # DEPENDENCYPART_ARC
(9,28),-4.29372 # DEPENDENCYPART_ARC
(9,29),-4.1489 # DEPENDENCYPART_ARC
(9,30),-3.58435 # DEPENDENCYPART_ARC
(9,31),-5.15146 # DEPENDENCYPART_ARC
(9,32),-1.70916 # DEPENDENCYPART_ARC
(10,1),-2.59457 # DEPENDENCYPART_ARC
(10,2),-1.90443 # DEPENDENCYPART_ARC
(10,3),-2.76722 # DEPENDENCYPART_ARC
(10,4),-1.68898 # DEPENDENCYPART_ARC
(10,5),0.658413 # DEPENDENCYPART_ARC
(10,6),-0.980759 # DEPENDENCYPART_ARC
(10,7),-0.315088 # DEPENDENCYPART_ARC
(10,8),0.630423 # DEPENDENCYPART_ARC
(10,9),4.08886 # DEPENDENCYPART_ARC
(10,11),3.91776 # DEPENDENCYPART_ARC
(10,12),1.62943 # DEPENDENCYPART_ARC
(10,13),0.343343 # DEPENDENCYPART_ARC
(10,14),0.175122 # DEPENDENCYPART_ARC
(10,15),0.12657 # DEPENDENCYPART_ARC
(10,16),0.343365 # DEPENDENCYPART_ARC
(10,17),0.913061 # DEPENDENCYPART_ARC
(10,18),1.21222 # DEPENDENCYPART_ARC
(10,19),-0.291427 # DEPENDENCYPART_ARC
(10,20),0.223018 # DEPENDENCYPART_ARC
(10,21),0.174679 # DEPENDENCYPART_ARC
(10,22),-0.848265 # DEPENDENCYPART_ARC
(10,23),-1.23404 # DEPENDENCYPART_ARC
(10,24),-0.771047 # DEPENDENCYPART_ARC
(10,25),-1.65217 # DEPENDENCYPART_ARC
(10,26),-0.0276924 # DEPENDENCYPART_ARC
(10,27),0.845176 # DEPENDENCYPART_ARC
(10,28),-1.26121 # DEPENDENCYPART_ARC
(10,29),-1.3046 # DEPENDENCYPART_ARC
(10,30),-1.23082 # DEPENDENCYPART_ARC
(10,31),-2.16141 # DEPENDENCYPART_ARC
(10,32),0.458037 # DEPENDENCYPART_ARC
(11,1),0.0800968 # DEPENDENCYPART_ARC
(11,2),-0.523565 # DEPENDENCYPART_ARC
(11,3),-0.273995 # DEPENDENCYPART_ARC
(11,4),-0.116483 # DEPENDENCYPART_ARC
(11,5),0.466359 # DEPENDENCYPART_ARC
(11,6),0.70765 # DEPENDENCYPART_ARC
(11,7),0.168796 # DEPENDENCYPART_ARC
(11,8),0.708008 # DEPENDENCYPART_ARC
(11,9),1.20035 # DEPENDENCYPART_ARC
(11,10),1.69073 # DEPENDENCYPART_ARC
(11,12),3.91917 # DEPENDENCYPART_ARC
(11,13),0.53527 # DEPENDENCYPART_ARC
(11,14),-0.709239 # DEPENDENCYPART_ARC
(11,15),-0.369922 # DEPENDENCYPART_ARC
(11,16),-0.306736 # DEPENDENCYPART_ARC
(11,17),1.32617 # DEPENDENCYPART_ARC
(11,18),0.324034 # DEPENDENCYPART_ARC
(11,19),-0.567053 # DEPENDENCYPART_ARC
(11,20),-0.568024 # DEPENDENCYPART_ARC
(11,21),-0.422726 # DEPENDENCYPART_ARC
(11,22),-1.20428 # DEPENDENCYPART_ARC
(11,23),-0.251637 # DEPENDENCYPART_ARC
(11,24),-1.61104 # DEPENDENCYPART_ARC
(11,25),-1.88578 # DEPENDENCYPART_ARC
(11,26),-4.54843 # DEPENDENCYPART_ARC
(11,27),0.0640083 # DEPENDENCYPART_ARC
(11,28),-2.04519 # DEPENDENCYPART_ARC
(11,29),-5.62736 # DEPENDENCYPART_ARC
(11,30),-6.85165 # DEPENDENCYPART_ARC
(11,31),-2.41327 # DEPENDENCYPART_ARC
(11,32),0.310878 # DEPENDENCYPART_ARC
(12,1),-1.2946 # DEPENDENCYPART_ARC
(12,2),-0.720996 # DEPENDENCYPART_ARC
(12,3),-0.846434 # DEPENDENCYPART_ARC
(12,4),-1.21004 # DEPENDENCYPART_ARC
(12,5),-0.503253 # DEPENDENCYPART_ARC
(12,6),-0.521733 # DEPENDENCYPART_ARC
(12,7),-0.371772 # DEPENDENCYPART_ARC
(12,8),-0.443884 # DEPENDENCYPART_ARC
(12,9),0.357847 # DEPENDENCYPART_ARC
(12,10),0.109321 # DEPENDENCYPART_ARC
(12,11),1.04145 # DEPENDENCYPART_ARC
(12,13),1.31154 # DEPENDENCYPART_ARC
(12,14),0.395719 # DEPENDENCYPART_ARC
(12,15),2.72448 # DEPENDENCYPART_ARC
(12,16),0.669977 # DEPENDENCYPART_ARC
(12,17),1.1235 # DEPENDENCYPART_ARC
(12,18),0.669453 # DEPENDENCYPART_ARC
(12,19),0.0615951 # DEPENDENCYPART_ARC
(12,20),-0.299982 # DEPENDENCYPART_ARC
(12,21),0.338171 # DEPENDENCYPART_ARC
(12,22),-0.106052 # DEPENDENCYPART_ARC
(12,23),2.65486 # DEPENDENCYPART_ARC
(12,24),-1.37694 # DEPENDENCYPART_ARC
(12,25),-1.35723 # DEPENDENCYPART_ARC
(12,26),-0.204279 # DEPENDENCYPART_ARC
(12,27),0.263908 # DEPENDENCYPART_ARC
(12,28),-1.25873 # DEPENDENCYPART_ARC
(12,29),-0.62681 # DEPENDENCYPART_ARC
(12,30),-2.39646 # DEPENDENCYPART_ARC
(12,31),-1.84024 # DEPENDENCYPART_ARC
(12,32),0.380189 # DEPENDENCYPART_ARC
(13,1),-1.31922 # DEPENDENCYPART_ARC
(13,2),-1.62836 # DEPENDENCYPART_ARC
(13,3),-1.79936 # DEPENDENCYPART_ARC
(13,4),-1.44046 # DEPENDENCYPART_ARC
(13,5),-0.645912 # DEPENDENCYPART_ARC
(13,6),-1.48093 # DEPENDENCYPART_ARC
(13,7),-0.884495 # DEPENDENCYPART_ARC
(13,8),-0.0632039 # DEPENDENCYPART_ARC
(13,9),0.159463 # DEPENDENCYPART_ARC
(13,10),-0.485889 # DEPENDENCYPART_ARC
(13,11),-0.0376035 # DEPENDENCYPART_ARC
(13,12),1.07604 # DEPENDENCYPART_ARC
(13,14),0.655984 # DEPENDENCYPART_ARC
(13,15),0.718901 # DEPENDENCYPART_ARC
(13,16),0.589392 # DEPENDENCYPART_ARC
(13,17),0.750426 # DEPENDENCYPART_ARC
(13,18),0.559388 # DEPENDENCYPART_ARC
(13,19),-0.730205 # DEPENDENCYPART_ARC
(13,20),-0.0488309 # DEPENDENCYPART_ARC
(13,21),-0.244769 # DEPENDENCYPART_ARC
(13,22),-0.0643849 # DEPENDENCYPART_ARC
(13,23),-0.0380852 # DEPENDENCYPART_ARC
(13,24),-1.32988 # DEPENDENCYPART_ARC
(13,25),-0.912956 # DEPENDENCYPART_ARC
(13,26),-1.12509 # DEPENDENCYPART_ARC
(13,27),0.838428 # DEPENDENCYPART_ARC
(13,28),-1.72778 # DEPENDENCYPART_ARC
(13,29),-1.58647 # DEPENDENCYPART_ARC
(13,30),-0.984602 # DEPENDENCYPART_ARC
(13,31),-1.7425 # DEPENDENCYPART_ARC
(13,32),0.501822 # DEPENDENCYPART_ARC
(14,1),-2.66186 # DEPENDENCYPART_ARC
(14,2),-3.09435 # DEPENDENCYPART_ARC
(14,3),-3.40355 # DEPENDENCYPART_ARC
(14,4),-2.87884 # DEPENDENCYPART_ARC
(14,5),-1.97672 # DEPENDENCYPART_ARC
(14,6),-2.95179 # DEPENDENCYPART_ARC
(14,7),-2.37397 # DEPENDENCYPART_ARC
(14,8),-2.01704 # DEPENDENCYPART_ARC
(14,9),-1.34273 # DEPENDENCYPART_ARC
(14,10),-2.15614 # DEPENDENCYPART_ARC
(14,11),-1.68094 # DEPENDENCYPART_ARC
(14,12),-1.08252 # DEPENDENCYPART_ARC
(14,13),0.3383 # DEPENDENCYPART_ARC
(14,15),-0.459362 # DEPENDENCYPART_ARC
(14,16),-1.04829 # DEPENDENCYPART_ARC
(14,17),-1.16402 # DEPENDENCYPART_ARC
(14,18),-1.12178 # DEPENDENCYPART_ARC
(14,19),-2.5801 # DEPENDENCYPART_ARC
(14,20),-1.91149 # DEPENDENCYPART_ARC
(14,21),-1.99421 # DEPENDENCYPART_ARC
(14,22),-1.79568 # DEPENDENCYPART_ARC
(14,23),-1.99458 # DEPENDENCYPART_ARC
(14,24),-2.93152 # DEPENDENCYPART_ARC
(14,25),-2.83676 # DEPENDENCYPART_ARC
(14,26),-2.76344 # DEPENDENCYPART_ARC
(14,27),-1.62813 # DEPENDENCYPART_ARC
(14,28),-3.59583 # DEPENDENCYPART_ARC
(14,29),-3.44246 # DEPENDENCYPART_ARC
(14,30),-2.96766 # DEPENDENCYPART_ARC
(14,31),-3.94284 # DEPENDENCYPART_ARC
(14,32),-1.39576 # DEPENDENCYPART_ARC
(15,1),-4.43987 # DEPENDENCYPART_ARC
(15,2),-4.01058 # DEPENDENCYPART_ARC
(15,3),-3.72014 # DEPENDENCYPART_ARC
(15,4),-1.63328 # DEPENDENCYPART_ARC
(15,5),-2.23776 # DEPENDENCYPART_ARC
(15,6),-2.56382 # DEPENDENCYPART_ARC
(15,7),-1.75767 # DEPENDENCYPART_ARC
(15,8),-1.52992 # DEPENDENCYPART_ARC
(15,9),-0.983759 # DEPENDENCYPART_ARC
(15,10),-1.4273 # DEPENDENCYPART_ARC
(15,11),-0.83972 # DEPENDENCYPART_ARC
(15,12),0.28345 # DEPENDENCYPART_ARC
(15,13),2.97601 # DEPENDENCYPART_ARC
(15,14),4.11665 # DEPENDENCYPART_ARC
(15,16),3.01045 # DEPENDENCYPART_ARC
(15,17),1.43397 # DEPENDENCYPART_ARC
(15,18),1.31443 # DEPENDENCYPART_ARC
(15,19),0.525426 # DEPENDENCYPART_ARC
(15,20),1.04933 # DEPENDENCYPART_ARC
(15,21),0.434425 # DEPENDENCYPART_ARC
(15,22),0.671845 # DEPENDENCYPART_ARC
(15,23),0.415395 # DEPENDENCYPART_ARC
(15,24),0.0198192 # DEPENDENCYPART_ARC
(15,25),-0.298462 # DEPENDENCYPART_ARC
(15,26),0.335288 # DEPENDENCYPART_ARC
(15,27),0.779932 # DEPENDENCYPART_ARC
(15,28),-0.121089 # DEPENDENCYPART_ARC
(15,29),-0.752739 # DEPENDENCYPART_ARC
(15,30),-0.807463 # DEPENDENCYPART_ARC
(15,31),-0.260727 # DEPENDENCYPART_ARC
(15,32),-0.578914 # DEPENDENCYPART_ARC
(16,1),-2.21098 # DEPENDENCYPART_ARC
(16,2),-1.89912 # DEPENDENCYPART_ARC
(16,3),-1.9396 # DEPENDENCYPART_ARC
(16,4),-2.49517 # DEPENDENCYPART_ARC
(16,5),-1.46942 # DEPENDENCYPART_ARC
(16,6),-1.37112 # DEPENDENCYPART_ARC
(16,7),-1.7123 # DEPENDENCYPART_ARC
(16,8),-2.09125 # DEPENDENCYPART_ARC
(16,9),-0.806305 # DEPENDENCYPART_ARC
(16,10),-0.97409 # DEPENDENCYPART_ARC
(16,11),-0.609425 # DEPENDENCYPART_ARC
