# _root_ The market seems to be straightening out ; we 're taking a wait-and-see attitude , '' says Cathleen B. Stewart , executive vice president of marketing .
#goldHeads=2,3,17,3,4,5,6,3,10,3,10,14,14,11,17,17,0,20,20,17,20,24,24,20,24,25,17,
#predictedHeads=2,3,17,3,4,5,6,3,10,6,10,14,14,11,17,17,0,20,20,17,20,24,24,20,24,25,17,
(1,19),-3.99987 # DEPENDENCYPART_ARC
(1,20),-4.02966 # DEPENDENCYPART_ARC
(1,21),-3.11523 # DEPENDENCYPART_ARC
(1,22),-3.97572 # DEPENDENCYPART_ARC
(1,23),-4.03891 # DEPENDENCYPART_ARC
(1,24),-4.11071 # DEPENDENCYPART_ARC
(1,25),-5.24101 # DEPENDENCYPART_ARC
(1,26),-4.2922 # DEPENDENCYPART_ARC
(1,27),-3.59719 # DEPENDENCYPART_ARC
(2,1),4.75015 # DEPENDENCYPART_ARC
(2,3),1.25348 # DEPENDENCYPART_ARC
(2,4),1.06725 # DEPENDENCYPART_ARC
(2,5),0.332992 # DEPENDENCYPART_ARC
(2,6),0.0491967 # DEPENDENCYPART_ARC
(2,7),-0.357985 # DEPENDENCYPART_ARC
(2,8),0.250298 # DEPENDENCYPART_ARC
(2,9),-0.550472 # DEPENDENCYPART_ARC
(2,10),-0.254272 # DEPENDENCYPART_ARC
(2,11),-0.35004 # DEPENDENCYPART_ARC
(2,12),-1.06656 # DEPENDENCYPART_ARC
(2,13),-1.53366 # DEPENDENCYPART_ARC
(2,14),-0.579405 # DEPENDENCYPART_ARC
(2,15),-1.35716 # DEPENDENCYPART_ARC
(2,16),-0.174058 # DEPENDENCYPART_ARC
(2,17),-1.8855 # DEPENDENCYPART_ARC
(2,18),-2.0914 # DEPENDENCYPART_ARC
(2,19),-2.04812 # DEPENDENCYPART_ARC
(2,20),-1.77364 # DEPENDENCYPART_ARC
(2,21),-2.37069 # DEPENDENCYPART_ARC
(2,22),-1.76238 # DEPENDENCYPART_ARC
(2,23),-1.55375 # DEPENDENCYPART_ARC
(2,24),-2.22095 # DEPENDENCYPART_ARC
(2,25),-3.43492 # DEPENDENCYPART_ARC
(2,26),-2.81122 # DEPENDENCYPART_ARC
(2,27),0.221501 # DEPENDENCYPART_ARC
(3,1),1.04498 # DEPENDENCYPART_ARC
(3,2),3.125 # DEPENDENCYPART_ARC
(3,4),3.77498 # DEPENDENCYPART_ARC
(3,5),1.48267 # DEPENDENCYPART_ARC
(3,6),0.944729 # DEPENDENCYPART_ARC
(3,7),0.777737 # DEPENDENCYPART_ARC
(3,8),2.52892 # DEPENDENCYPART_ARC
(3,9),-0.276022 # DEPENDENCYPART_ARC
(3,10),1.43188 # DEPENDENCYPART_ARC
(3,11),0.0637812 # DEPENDENCYPART_ARC
(3,12),-1.46856 # DEPENDENCYPART_ARC
(3,13),-1.47132 # DEPENDENCYPART_ARC
(3,14),-1.04961 # DEPENDENCYPART_ARC
(3,15),-0.115361 # DEPENDENCYPART_ARC
(3,16),1.43211 # DEPENDENCYPART_ARC
(3,17),0.718937 # DEPENDENCYPART_ARC
(3,18),-1.93222 # DEPENDENCYPART_ARC
(3,19),-1.86342 # DEPENDENCYPART_ARC
(3,20),-1.41123 # DEPENDENCYPART_ARC
(3,21),-1.66459 # DEPENDENCYPART_ARC
(3,22),-2.01913 # DEPENDENCYPART_ARC
(3,23),-3.2845 # DEPENDENCYPART_ARC
(3,24),-2.74448 # DEPENDENCYPART_ARC
(3,25),-2.54841 # DEPENDENCYPART_ARC
(3,26),-3.9724 # DEPENDENCYPART_ARC
(3,27),3.8263 # DEPENDENCYPART_ARC
(4,1),0.4377 # DEPENDENCYPART_ARC
(4,2),0.25786 # DEPENDENCYPART_ARC
(4,3),1.05175 # DEPENDENCYPART_ARC
(4,5),4.26678 # DEPENDENCYPART_ARC
(4,6),1.49523 # DEPENDENCYPART_ARC
(4,7),0.643791 # DEPENDENCYPART_ARC
(4,8),0.835614 # DEPENDENCYPART_ARC
(4,9),0.043427 # DEPENDENCYPART_ARC
(4,10),-0.200602 # DEPENDENCYPART_ARC
(4,11),0.155215 # DEPENDENCYPART_ARC
(4,12),-1.09368 # DEPENDENCYPART_ARC
(4,13),-1.10596 # DEPENDENCYPART_ARC
(4,14),-2.13784 # DEPENDENCYPART_ARC
(4,15),0.360645 # DEPENDENCYPART_ARC
(4,16),0.303117 # DEPENDENCYPART_ARC
(4,17),-0.800469 # DEPENDENCYPART_ARC
(4,18),-3.23896 # DEPENDENCYPART_ARC
(4,19),-3.09403 # DEPENDENCYPART_ARC
(4,20),-2.74944 # DEPENDENCYPART_ARC
(4,21),0.0763159 # DEPENDENCYPART_ARC
(4,22),-2.17328 # DEPENDENCYPART_ARC
(4,23),-5.55355 # DEPENDENCYPART_ARC
(4,24),-5.33977 # DEPENDENCYPART_ARC
(4,25),-2.31715 # DEPENDENCYPART_ARC
(4,26),-6.59727 # DEPENDENCYPART_ARC
(4,27),-0.571276 # DEPENDENCYPART_ARC
(5,1),0.0391743 # DEPENDENCYPART_ARC
(5,2),0.160276 # DEPENDENCYPART_ARC
(5,3),0.107899 # DEPENDENCYPART_ARC
(5,4),1.01706 # DEPENDENCYPART_ARC
(5,6),3.3721 # DEPENDENCYPART_ARC
(5,7),1.75594 # DEPENDENCYPART_ARC
(5,8),0.679555 # DEPENDENCYPART_ARC
(5,9),0.206398 # DEPENDENCYPART_ARC
(5,10),0.741401 # DEPENDENCYPART_ARC
(5,11),0.925159 # DEPENDENCYPART_ARC
(5,12),-1.12762 # DEPENDENCYPART_ARC
(5,13),-0.530947 # DEPENDENCYPART_ARC
(5,14),-0.142271 # DEPENDENCYPART_ARC
(5,15),-1.14974 # DEPENDENCYPART_ARC
(5,16),-0.338213 # DEPENDENCYPART_ARC
(5,17),-1.36523 # DEPENDENCYPART_ARC
(5,18),-1.39844 # DEPENDENCYPART_ARC
(5,19),-1.29544 # DEPENDENCYPART_ARC
(5,20),-1.20109 # DEPENDENCYPART_ARC
(5,21),-1.84834 # DEPENDENCYPART_ARC
(5,22),-1.45442 # DEPENDENCYPART_ARC
(5,23),-3.45572 # DEPENDENCYPART_ARC
(5,24),-2.84645 # DEPENDENCYPART_ARC
(5,25),-2.77999 # DEPENDENCYPART_ARC
(5,26),-3.895 # DEPENDENCYPART_ARC
(5,27),-1.55957 # DEPENDENCYPART_ARC
(6,1),0.757383 # DEPENDENCYPART_ARC
(6,2),0.205345 # DEPENDENCYPART_ARC
(6,3),0.174688 # DEPENDENCYPART_ARC
(6,4),0.450336 # DEPENDENCYPART_ARC
(6,5),1.29825 # DEPENDENCYPART_ARC
(6,7),3.43641 # DEPENDENCYPART_ARC
(6,8),1.53291 # DEPENDENCYPART_ARC
(6,9),1.45157 # DEPENDENCYPART_ARC
(6,10),1.88805 # DEPENDENCYPART_ARC
(6,11),1.51408 # DEPENDENCYPART_ARC
(6,12),0.157254 # DEPENDENCYPART_ARC
(6,13),0.18129 # DEPENDENCYPART_ARC
(6,14),1.35451 # DEPENDENCYPART_ARC
(6,15),0.719565 # DEPENDENCYPART_ARC
(6,16),0.739256 # DEPENDENCYPART_ARC
(6,17),-0.0300478 # DEPENDENCYPART_ARC
(6,18),-0.639115 # DEPENDENCYPART_ARC
(6,19),-0.482653 # DEPENDENCYPART_ARC
(6,20),-0.171356 # DEPENDENCYPART_ARC
(6,21),-0.1327 # DEPENDENCYPART_ARC
(6,22),-0.640848 # DEPENDENCYPART_ARC
(6,23),-1.5522 # DEPENDENCYPART_ARC
(6,24),-1.23913 # DEPENDENCYPART_ARC
(6,25),-2.27937 # DEPENDENCYPART_ARC
(6,26),-2.05518 # DEPENDENCYPART_ARC
(6,27),0.163611 # DEPENDENCYPART_ARC
(7,1),0.355461 # DEPENDENCYPART_ARC
(7,2),-0.40213 # DEPENDENCYPART_ARC
(7,3),-0.339337 # DEPENDENCYPART_ARC
(7,4),0.111667 # DEPENDENCYPART_ARC
(7,5),0.255231 # DEPENDENCYPART_ARC
(7,6),1.4426 # DEPENDENCYPART_ARC
(7,8),0.264446 # DEPENDENCYPART_ARC
(7,9),-0.565389 # DEPENDENCYPART_ARC
(7,10),-0.430072 # DEPENDENCYPART_ARC
(7,11),-0.900631 # DEPENDENCYPART_ARC
(7,12),-1.78066 # DEPENDENCYPART_ARC
(7,13),-1.53572 # DEPENDENCYPART_ARC
(7,14),-1.0849 # DEPENDENCYPART_ARC
(7,15),-0.912866 # DEPENDENCYPART_ARC
(7,16),-0.972202 # DEPENDENCYPART_ARC
(7,17),-1.48455 # DEPENDENCYPART_ARC
(7,18),-1.92046 # DEPENDENCYPART_ARC
(7,19),-1.97528 # DEPENDENCYPART_ARC
(7,20),-1.9637 # DEPENDENCYPART_ARC
(7,21),-1.4227 # DEPENDENCYPART_ARC
(7,22),-2.55056 # DEPENDENCYPART_ARC
(7,23),-2.00928 # DEPENDENCYPART_ARC
(7,24),-2.04302 # DEPENDENCYPART_ARC
(7,25),-2.17135 # DEPENDENCYPART_ARC
(7,26),-2.60867 # DEPENDENCYPART_ARC
(7,27),-1.26489 # DEPENDENCYPART_ARC
(8,1),-1.20535 # DEPENDENCYPART_ARC
(8,2),-1.937 # DEPENDENCYPART_ARC
(8,3),-1.5589 # DEPENDENCYPART_ARC
(8,4),-1.27364 # DEPENDENCYPART_ARC
(8,5),-0.423304 # DEPENDENCYPART_ARC
(8,6),-0.732854 # DEPENDENCYPART_ARC
(8,7),-0.0100138 # DEPENDENCYPART_ARC
(8,9),0.106412 # DEPENDENCYPART_ARC
(8,10),-0.0323425 # DEPENDENCYPART_ARC
(8,11),-0.339549 # DEPENDENCYPART_ARC
(8,12),-1.31701 # DEPENDENCYPART_ARC
(8,13),-1.05237 # DEPENDENCYPART_ARC
(8,14),-1.07092 # DEPENDENCYPART_ARC
(8,15),-0.482319 # DEPENDENCYPART_ARC
(8,16),-0.735901 # DEPENDENCYPART_ARC
(8,17),-1.15659 # DEPENDENCYPART_ARC
(8,18),-1.81033 # DEPENDENCYPART_ARC
(8,19),-1.97852 # DEPENDENCYPART_ARC
(8,20),-2.13627 # DEPENDENCYPART_ARC
(8,21),-1.11243 # DEPENDENCYPART_ARC
(8,22),-2.16595 # DEPENDENCYPART_ARC
(8,23),-1.80771 # DEPENDENCYPART_ARC
(8,24),-1.93077 # DEPENDENCYPART_ARC
(8,25),-2.28408 # DEPENDENCYPART_ARC
(8,26),-2.11623 # DEPENDENCYPART_ARC
(8,27),-1.48105 # DEPENDENCYPART_ARC
(9,1),-1.57626 # DEPENDENCYPART_ARC
(9,2),-2.56826 # DEPENDENCYPART_ARC
(9,3),-2.06007 # DEPENDENCYPART_ARC
(9,4),-2.04501 # DEPENDENCYPART_ARC
(9,5),-1.77487 # DEPENDENCYPART_ARC
(9,6),-1.30628 # DEPENDENCYPART_ARC
(9,7),-1.02348 # DEPENDENCYPART_ARC
(9,8),-0.230101 # DEPENDENCYPART_ARC
(9,10),0.934466 # DEPENDENCYPART_ARC
(9,11),0.252637 # DEPENDENCYPART_ARC
(9,12),-0.0494496 # DEPENDENCYPART_ARC
(9,13),-0.791247 # DEPENDENCYPART_ARC
(9,14),-0.247428 # DEPENDENCYPART_ARC
(9,15),0.262908 # DEPENDENCYPART_ARC
(9,16),-0.32272 # DEPENDENCYPART_ARC
(9,17),-0.489228 # DEPENDENCYPART_ARC
(9,18),-1.04358 # DEPENDENCYPART_ARC
(9,19),-1.11377 # DEPENDENCYPART_ARC
(9,20),-1.29224 # DEPENDENCYPART_ARC
(9,21),-0.50228 # DEPENDENCYPART_ARC
(9,22),-2.03085 # DEPENDENCYPART_ARC
(9,23),-1.11776 # DEPENDENCYPART_ARC
(9,24),-1.18947 # DEPENDENCYPART_ARC
(9,25),-1.79806 # DEPENDENCYPART_ARC
(9,26),-1.32763 # DEPENDENCYPART_ARC
(9,27),-1.2465 # DEPENDENCYPART_ARC
(10,1),-0.244507 # DEPENDENCYPART_ARC
(10,2),-0.322469 # DEPENDENCYPART_ARC
(10,3),-0.181251 # DEPENDENCYPART_ARC
(10,4),0.373212 # DEPENDENCYPART_ARC
(10,5),-0.612055 # DEPENDENCYPART_ARC
(10,6),0.0561538 # DEPENDENCYPART_ARC
(10,7),0.545825 # DEPENDENCYPART_ARC
(10,8),1.16716 # DEPENDENCYPART_ARC
(10,9),4.02706 # DEPENDENCYPART_ARC
(10,11),3.94459 # DEPENDENCYPART_ARC
(10,12),0.807941 # DEPENDENCYPART_ARC
(10,13),0.852795 # DEPENDENCYPART_ARC
(10,14),1.15985 # DEPENDENCYPART_ARC
(10,15),1.54495 # DEPENDENCYPART_ARC
(10,16),0.606776 # DEPENDENCYPART_ARC
(10,17),0.50705 # DEPENDENCYPART_ARC
(10,18),-0.256024 # DEPENDENCYPART_ARC
(10,19),-0.166591 # DEPENDENCYPART_ARC
(10,20),0.144875 # DEPENDENCYPART_ARC
(10,21),-0.0351667 # DEPENDENCYPART_ARC
(10,22),-0.555405 # DEPENDENCYPART_ARC
(10,23),-0.810778 # DEPENDENCYPART_ARC
(10,24),-0.466446 # DEPENDENCYPART_ARC
(10,25),-1.34318 # DEPENDENCYPART_ARC
(10,26),-1.29925 # DEPENDENCYPART_ARC
(10,27),2.27096 # DEPENDENCYPART_ARC
(11,1),-0.0917135 # DEPENDENCYPART_ARC
(11,2),-1.01505 # DEPENDENCYPART_ARC
(11,3),-0.771298 # DEPENDENCYPART_ARC
(11,4),-0.537601 # DEPENDENCYPART_ARC
(11,5),-0.407534 # DEPENDENCYPART_ARC
(11,6),-0.0252 # DEPENDENCYPART_ARC
(11,7),0.0871222 # DEPENDENCYPART_ARC
(11,8),0.757257 # DEPENDENCYPART_ARC
(11,9),1.01311 # DEPENDENCYPART_ARC
(11,10),0.698306 # DEPENDENCYPART_ARC
(11,12),1.74666 # DEPENDENCYPART_ARC
(11,13),1.92049 # DEPENDENCYPART_ARC
(11,14),3.77793 # DEPENDENCYPART_ARC
(11,15),1.37448 # DEPENDENCYPART_ARC
(11,16),1.52162 # DEPENDENCYPART_ARC
(11,17),0.744013 # DEPENDENCYPART_ARC
(11,18),0.204475 # DEPENDENCYPART_ARC
(11,19),0.459018 # DEPENDENCYPART_ARC
(11,20),0.977631 # DEPENDENCYPART_ARC
(11,21),0.703919 # DEPENDENCYPART_ARC
(11,22),0.272197 # DEPENDENCYPART_ARC
(11,23),-0.0420487 # DEPENDENCYPART_ARC
(11,24),0.53189 # DEPENDENCYPART_ARC
(11,25),-1.13839 # DEPENDENCYPART_ARC
(11,26),-0.910643 # DEPENDENCYPART_ARC
(11,27),0.177751 # DEPENDENCYPART_ARC
(12,1),-2.07872 # DEPENDENCYPART_ARC
(12,2),-2.76237 # DEPENDENCYPART_ARC
(12,3),-2.42067 # DEPENDENCYPART_ARC
(12,4),-2.23247 # DEPENDENCYPART_ARC
(12,5),-1.78719 # DEPENDENCYPART_ARC
(12,6),-1.88364 # DEPENDENCYPART_ARC
(12,7),-1.77737 # DEPENDENCYPART_ARC
(12,8),-1.04516 # DEPENDENCYPART_ARC
(12,9),-1.02486 # DEPENDENCYPART_ARC
(12,10),-1.3795 # DEPENDENCYPART_ARC
(12,11),-0.287278 # DEPENDENCYPART_ARC
(12,13),0.232321 # DEPENDENCYPART_ARC
(12,14),-0.180738 # DEPENDENCYPART_ARC
(12,15),-0.595945 # DEPENDENCYPART_ARC
(12,16),-0.819278 # DEPENDENCYPART_ARC
(12,17),-0.584704 # DEPENDENCYPART_ARC
(12,18),-1.31495 # DEPENDENCYPART_ARC
(12,19),-1.29118 # DEPENDENCYPART_ARC
(12,20),-1.27757 # DEPENDENCYPART_ARC
(12,21),-0.34526 # DEPENDENCYPART_ARC
(12,22),-1.62815 # DEPENDENCYPART_ARC
(12,23),-1.75636 # DEPENDENCYPART_ARC
(12,24),-1.8185 # DEPENDENCYPART_ARC
(12,25),-2.1721 # DEPENDENCYPART_ARC
(12,26),-2.06325 # DEPENDENCYPART_ARC
(12,27),-2.11316 # DEPENDENCYPART_ARC
(13,1),-1.32851 # DEPENDENCYPART_ARC
(13,2),-1.95458 # DEPENDENCYPART_ARC
(13,3),-1.93728 # DEPENDENCYPART_ARC
(13,4),-1.09415 # DEPENDENCYPART_ARC
(13,5),-1.4668 # DEPENDENCYPART_ARC
(13,6),-1.40525 # DEPENDENCYPART_ARC
(13,7),-1.1859 # DEPENDENCYPART_ARC
(13,8),-0.666273 # DEPENDENCYPART_ARC
(13,9),-1.01147 # DEPENDENCYPART_ARC
(13,10),-0.992917 # DEPENDENCYPART_ARC
(13,11),-0.0787984 # DEPENDENCYPART_ARC
(13,12),1.86895 # DEPENDENCYPART_ARC
(13,14),0.702316 # DEPENDENCYPART_ARC
(13,15),-0.288835 # DEPENDENCYPART_ARC
(13,16),-0.279185 # DEPENDENCYPART_ARC
(13,17),-0.423755 # DEPENDENCYPART_ARC
(13,18),-0.840936 # DEPENDENCYPART_ARC
(13,19),-1.2084 # DEPENDENCYPART_ARC
(13,20),-1.40724 # DEPENDENCYPART_ARC
(13,21),-0.500015 # DEPENDENCYPART_ARC
(13,22),-1.34739 # DEPENDENCYPART_ARC
(13,23),-1.27331 # DEPENDENCYPART_ARC
(13,24),-1.85697 # DEPENDENCYPART_ARC
(13,25),-2.13477 # DEPENDENCYPART_ARC
(13,26),-2.15706 # DEPENDENCYPART_ARC
(13,27),-1.20836 # DEPENDENCYPART_ARC
(14,1),-1.83797 # DEPENDENCYPART_ARC
(14,2),-2.83789 # DEPENDENCYPART_ARC
(14,3),-1.17992 # DEPENDENCYPART_ARC
(14,4),-1.20927 # DEPENDENCYPART_ARC
(14,5),-0.468192 # DEPENDENCYPART_ARC
(14,6),0.0799956 # DEPENDENCYPART_ARC
(14,7),-0.394352 # DEPENDENCYPART_ARC
(14,8),-0.177816 # DEPENDENCYPART_ARC
(14,9),0.656969 # DEPENDENCYPART_ARC
(14,10),0.0294214 # DEPENDENCYPART_ARC
(14,11),0.827778 # DEPENDENCYPART_ARC
(14,12),4.98065 # DEPENDENCYPART_ARC
(14,13),4.8637 # DEPENDENCYPART_ARC
(14,15),1.73724 # DEPENDENCYPART_ARC
(14,16),1.83146 # DEPENDENCYPART_ARC
(14,17),1.04702 # DEPENDENCYPART_ARC
(14,18),0.351848 # DEPENDENCYPART_ARC
(14,19),0.495291 # DEPENDENCYPART_ARC
(14,20),0.998587 # DEPENDENCYPART_ARC
(14,21),1.07118 # DEPENDENCYPART_ARC
(14,22),0.453867 # DEPENDENCYPART_ARC
(14,23),0.389115 # DEPENDENCYPART_ARC
(14,24),-0.672641 # DEPENDENCYPART_ARC
(14,25),-0.375934 # DEPENDENCYPART_ARC
(14,26),-1.08532 # DEPENDENCYPART_ARC
(14,27),0.132777 # DEPENDENCYPART_ARC
(15,1),-2.45133 # DEPENDENCYPART_ARC
(15,2),-2.57128 # DEPENDENCYPART_ARC
(15,3),-2.41144 # DEPENDENCYPART_ARC
(15,4),-2.05586 # DEPENDENCYPART_ARC
(15,5),-2.21399 # DEPENDENCYPART_ARC
(15,6),-1.70045 # DEPENDENCYPART_ARC
(15,7),-2.0798 # DEPENDENCYPART_ARC
(15,8),-1.52007 # DEPENDENCYPART_ARC
(15,9),-1.94903 # DEPENDENCYPART_ARC
(15,10),-2.38464 # DEPENDENCYPART_ARC
(15,11),-1.29117 # DEPENDENCYPART_ARC
(15,12),-0.762308 # DEPENDENCYPART_ARC
(15,13),-1.39056 # DEPENDENCYPART_ARC
(15,14),-1.22089 # DEPENDENCYPART_ARC
(15,16),0.420273 # DEPENDENCYPART_ARC
(15,17),-0.0449957 # DEPENDENCYPART_ARC
(15,18),-0.562181 # DEPENDENCYPART_ARC
(15,19),-0.844977 # DEPENDENCYPART_ARC
(15,20),-1.04075 # DEPENDENCYPART_ARC
(15,21),0.705094 # DEPENDENCYPART_ARC
(15,22),-1.63769 # DEPENDENCYPART_ARC
(15,23),-1.94639 # DEPENDENCYPART_ARC
(15,24),-2.11012 # DEPENDENCYPART_ARC
(15,25),-1.30911 # DEPENDENCYPART_ARC
(15,26),-2.16505 # DEPENDENCYPART_ARC
(15,27),-1.32992 # DEPENDENCYPART_ARC
(16,1),-1.8441 # DEPENDENCYPART_ARC
(16,2),-2.77658 # DEPENDENCYPART_ARC
(16,3),-1.68616 # DEPENDENCYPART_ARC
(16,4),-1.92537 # DEPENDENCYPART_ARC
(16,5),-1.96782 # DEPENDENCYPART_ARC
(16,6),-1.66954 # DEPENDENCYPART_ARC
(16,7),-1.77759 # DEPENDENCYPART_ARC
(16,8),-1.27318 # DEPENDENCYPART_ARC
(16,9),-1.63837 # DEPENDENCYPART_ARC
(16,10),-1.42608 # DEPENDENCYPART_ARC
(16,11),-1.22649 # DEPENDENCYPART_ARC
(16,12),-0.288689 # DEPENDENCYPART_ARC
(16,13),-0.829088 # DEPENDENCYPART_ARC
(16,14),-1.12785 # DEPENDENCYPART_ARC
(16,15),0.598204 # DEPENDENCYPART_ARC
(16,17),-0.0854632 # DEPENDENCYPART_ARC
(16,18),-1.19239 # DEPENDENCYPART_ARC
(16,19),-1.54632 # DEPENDENCYPART_ARC
(16,20),-1.82661 # DEPENDENCYPART_ARC
(16,21),-1.51415 # DEPENDENCYPART_ARC
(16,22),-2.45625 # DEPENDENCYPART_ARC
(16,23),-2.25226 # DEPENDENCYPART_ARC
(16,24),-2.40091 # DEPENDENCYPART_ARC
(16,25),-2.22372 # DEPENDENCYPART_ARC
(16,26),-2.57 # DEPENDENCYPART_ARC
(16,27),-1.73024 # DEPENDENCYPART_ARC
(17,1),-2.28551 # DEPENDENCYPART_ARC
(17,2),-1.69754 # DEPENDENCYPART_ARC
(17,3),0.331319 # DEPENDENCYPART_ARC
(17,4),-1.08236 # DEPENDENCYPART_ARC
(17,5),0.00109058 # DEPENDENCYPART_ARC
(17,6),-0.950851 # DEPENDENCYPART_ARC
(17,7),-1.07624 # DEPENDENCYPART_ARC
(17,8),-0.524698 # DEPENDENCYPART_ARC
(17,9),-1.21632 # DEPENDENCYPART_ARC
(17,10),0.650515 # DEPENDENCYPART_ARC
(17,11),-0.0463698 # DEPENDENCYPART_ARC
(17,12),-0.380472 # DEPENDENCYPART_ARC
(17,13),-0.103279 # DEPENDENCYPART_ARC
(17,14),-0.382735 # DEPENDENCYPART_ARC
(17,15),3.61361 # DEPENDENCYPART_ARC
(17,16),3.81188 # DEPENDENCYPART_ARC
(17,18),1.67684 # DEPENDENCYPART_ARC
(17,19),2.14978 # DEPENDENCYPART_ARC
(17,20),2.79757 # DEPENDENCYPART_ARC
(17,21),1.08109 # DEPENDENCYPART_ARC
(17,22),0.503665 # DEPENDENCYPART_ARC
(17,23),0.0507098 # DEPENDENCYPART_ARC
(17,24),0.289297 # DEPENDENCYPART_ARC
(17,25),-1.29931 # DEPENDENCYPART_ARC
(17,26),-0.740372 # DEPENDENCYPART_ARC
(17,27),7.26983 # DEPENDENCYPART_ARC
(18,1),-4.72921 # DEPENDENCYPART_ARC
(18,2),-5.55167 # DEPENDENCYPART_ARC
(18,3),-4.77497 # DEPENDENCYPART_ARC
(18,4),-4.69803 # DEPENDENCYPART_ARC
(18,5),-4.08706 # DEPENDENCYPART_ARC
(18,6),-3.92053 # DEPENDENCYPART_ARC
(18,7),-3.90066 # DEPENDENCYPART_ARC
(18,8),-3.42373 # DEPENDENCYPART_ARC
(18,9),-3.33989 # DEPENDENCYPART_ARC
(18,10),-3.68742 # DEPENDENCYPART_ARC
(18,11),-2.96542 # DEPENDENCYPART_ARC
(18,12),-2.17058 # DEPENDENCYPART_ARC
(18,13),-1.52924 # DEPENDENCYPART_ARC
(18,14),-2.77623 # DEPENDENCYPART_ARC
(18,15),-2.15158 # DEPENDENCYPART_ARC
(18,16),-1.38035 # DEPENDENCYPART_ARC
(18,17),-1.09846 # DEPENDENCYPART_ARC
(18,19),0.641703 # DEPENDENCYPART_ARC
(18,20),0.671041 # DEPENDENCYPART_ARC
(18,21),0.0885453 # DEPENDENCYPART_ARC
(18,22),-1.23937 # DEPENDENCYPART_ARC
(18,23),-0.7071 # DEPENDENCYPART_ARC
(18,24),-0.566015 # DEPENDENCYPART_ARC
(18,25),-1.40103 # DEPENDENCYPART_ARC
(18,26),-2.19358 # DEPENDENCYPART_ARC
(18,27),-0.927932 # DEPENDENCYPART_ARC
(19,1),-4.06497 # DEPENDENCYPART_ARC
(19,2),-4.91184 # DEPENDENCYPART_ARC
(19,3),-4.20895 # DEPENDENCYPART_ARC
(19,4),-4.14631 # DEPENDENCYPART_ARC
(19,5),-3.52141 # DEPENDENCYPART_ARC
(19,6),-3.11299 # DEPENDENCYPART_ARC
(19,7),-3.24802 # DEPENDENCYPART_ARC
(19,8),-3.13703 # DEPENDENCYPART_ARC
(19,9),-2.5803 # DEPENDENCYPART_ARC
(19,10),-3.1096 # DEPENDENCYPART_ARC
(19,11),-2.23289 # DEPENDENCYPART_ARC
(19,12),-1.40706 # DEPENDENCYPART_ARC
(19,13),-1.22867 # DEPENDENCYPART_ARC
(19,14),-2.66473 # DEPENDENCYPART_ARC
