# _root_ `` It further reinforces the concept that Blue Arrow is a thing of the past , '' said Doug Arthur , an analyst at Kidder Peabody & Co. in New York .
#goldHeads=4,4,4,18,6,4,6,9,10,7,12,10,12,15,13,4,4,0,20,18,20,23,20,23,26,24,26,27,26,31,29,18,
#predictedHeads=18,4,4,18,6,4,6,9,10,7,12,10,12,15,13,18,18,0,20,18,20,23,20,23,26,24,26,27,26,31,29,18,
(3,9),-1.1162 # DEPENDENCYPART_ARC
(3,10),-0.841928 # DEPENDENCYPART_ARC
(3,11),-1.45974 # DEPENDENCYPART_ARC
(3,12),-1.37455 # DEPENDENCYPART_ARC
(3,13),-0.799119 # DEPENDENCYPART_ARC
(3,14),-1.75436 # DEPENDENCYPART_ARC
(3,15),-1.73146 # DEPENDENCYPART_ARC
(3,16),-1.22982 # DEPENDENCYPART_ARC
(3,17),-1.01721 # DEPENDENCYPART_ARC
(3,18),-1.14882 # DEPENDENCYPART_ARC
(3,19),-2.2151 # DEPENDENCYPART_ARC
(3,20),-2.3865 # DEPENDENCYPART_ARC
(3,21),-1.73825 # DEPENDENCYPART_ARC
(3,22),-2.6035 # DEPENDENCYPART_ARC
(3,23),-2.61773 # DEPENDENCYPART_ARC
(3,24),-2.12483 # DEPENDENCYPART_ARC
(3,25),-2.97477 # DEPENDENCYPART_ARC
(3,26),-3.1296 # DEPENDENCYPART_ARC
(3,27),-2.54397 # DEPENDENCYPART_ARC
(3,28),-3.30527 # DEPENDENCYPART_ARC
(3,29),-3.01432 # DEPENDENCYPART_ARC
(3,30),-3.63164 # DEPENDENCYPART_ARC
(3,31),-3.73846 # DEPENDENCYPART_ARC
(3,32),-1.04954 # DEPENDENCYPART_ARC
(4,1),2.69222 # DEPENDENCYPART_ARC
(4,2),2.81673 # DEPENDENCYPART_ARC
(4,3),2.41295 # DEPENDENCYPART_ARC
(4,5),1.67373 # DEPENDENCYPART_ARC
(4,6),3.18219 # DEPENDENCYPART_ARC
(4,7),1.64683 # DEPENDENCYPART_ARC
(4,8),0.987188 # DEPENDENCYPART_ARC
(4,9),1.28804 # DEPENDENCYPART_ARC
(4,10),1.79255 # DEPENDENCYPART_ARC
(4,11),0.218295 # DEPENDENCYPART_ARC
(4,12),0.630006 # DEPENDENCYPART_ARC
(4,13),0.260773 # DEPENDENCYPART_ARC
(4,14),-0.501938 # DEPENDENCYPART_ARC
(4,15),-0.368079 # DEPENDENCYPART_ARC
(4,16),1.6253 # DEPENDENCYPART_ARC
(4,17),1.35236 # DEPENDENCYPART_ARC
(4,18),0.0385146 # DEPENDENCYPART_ARC
(4,19),-1.45833 # DEPENDENCYPART_ARC
(4,20),-0.731203 # DEPENDENCYPART_ARC
(4,21),0.246969 # DEPENDENCYPART_ARC
(4,22),-0.788953 # DEPENDENCYPART_ARC
(4,23),-2.62196 # DEPENDENCYPART_ARC
(4,24),-1.33099 # DEPENDENCYPART_ARC
(4,25),-2.59856 # DEPENDENCYPART_ARC
(4,26),-2.10691 # DEPENDENCYPART_ARC
(4,27),-0.495257 # DEPENDENCYPART_ARC
(4,28),-2.9948 # DEPENDENCYPART_ARC
(4,29),-2.36403 # DEPENDENCYPART_ARC
(4,30),-3.6407 # DEPENDENCYPART_ARC
(4,31),-3.01944 # DEPENDENCYPART_ARC
(4,32),5.08861 # DEPENDENCYPART_ARC
(5,1),-2.10687 # DEPENDENCYPART_ARC
(5,2),-1.13662 # DEPENDENCYPART_ARC
(5,3),-0.690067 # DEPENDENCYPART_ARC
(5,4),-0.923115 # DEPENDENCYPART_ARC
(5,6),-0.10247 # DEPENDENCYPART_ARC
(5,7),-1.22279 # DEPENDENCYPART_ARC
(5,8),-1.37058 # DEPENDENCYPART_ARC
(5,9),-1.57593 # DEPENDENCYPART_ARC
(5,10),-0.814546 # DEPENDENCYPART_ARC
(5,11),-2.34784 # DEPENDENCYPART_ARC
(5,12),-1.809 # DEPENDENCYPART_ARC
(5,13),-2.00946 # DEPENDENCYPART_ARC
(5,14),-2.6772 # DEPENDENCYPART_ARC
(5,15),-2.06485 # DEPENDENCYPART_ARC
(5,16),-1.84287 # DEPENDENCYPART_ARC
(5,17),-1.99013 # DEPENDENCYPART_ARC
(5,18),-3.01032 # DEPENDENCYPART_ARC
(5,19),-3.15614 # DEPENDENCYPART_ARC
(5,20),-3.13767 # DEPENDENCYPART_ARC
(5,21),-2.25636 # DEPENDENCYPART_ARC
(5,22),-3.72412 # DEPENDENCYPART_ARC
(5,23),-3.03622 # DEPENDENCYPART_ARC
(5,24),-4.17605 # DEPENDENCYPART_ARC
(5,25),-3.6215 # DEPENDENCYPART_ARC
(5,26),-3.74883 # DEPENDENCYPART_ARC
(5,27),-3.66088 # DEPENDENCYPART_ARC
(5,28),-4.00895 # DEPENDENCYPART_ARC
(5,29),-5.01297 # DEPENDENCYPART_ARC
(5,30),-4.12399 # DEPENDENCYPART_ARC
(5,31),-4.2949 # DEPENDENCYPART_ARC
(5,32),-3.89251 # DEPENDENCYPART_ARC
(6,1),-0.159511 # DEPENDENCYPART_ARC
(6,2),0.0949007 # DEPENDENCYPART_ARC
(6,3),0.6478 # DEPENDENCYPART_ARC
(6,4),0.156164 # DEPENDENCYPART_ARC
(6,5),4.74382 # DEPENDENCYPART_ARC
(6,7),2.15882 # DEPENDENCYPART_ARC
(6,8),0.336574 # DEPENDENCYPART_ARC
(6,9),0.567486 # DEPENDENCYPART_ARC
(6,10),1.04161 # DEPENDENCYPART_ARC
(6,11),-0.174682 # DEPENDENCYPART_ARC
(6,12),0.0373082 # DEPENDENCYPART_ARC
(6,13),0.144989 # DEPENDENCYPART_ARC
(6,14),-0.576242 # DEPENDENCYPART_ARC
(6,15),-0.181038 # DEPENDENCYPART_ARC
(6,16),0.606239 # DEPENDENCYPART_ARC
(6,17),0.756209 # DEPENDENCYPART_ARC
(6,18),-0.605168 # DEPENDENCYPART_ARC
(6,19),-1.64867 # DEPENDENCYPART_ARC
(6,20),-0.952718 # DEPENDENCYPART_ARC
(6,21),-0.280684 # DEPENDENCYPART_ARC
(6,22),-1.33524 # DEPENDENCYPART_ARC
(6,23),-1.58197 # DEPENDENCYPART_ARC
(6,24),-1.58527 # DEPENDENCYPART_ARC
(6,25),-2.29241 # DEPENDENCYPART_ARC
(6,26),-2.07859 # DEPENDENCYPART_ARC
(6,27),-1.8302 # DEPENDENCYPART_ARC
(6,28),-2.91801 # DEPENDENCYPART_ARC
(6,29),-2.83952 # DEPENDENCYPART_ARC
(6,30),-3.28422 # DEPENDENCYPART_ARC
(6,31),-3.43912 # DEPENDENCYPART_ARC
(6,32),0.532482 # DEPENDENCYPART_ARC
(7,1),0.0834128 # DEPENDENCYPART_ARC
(7,2),-0.803901 # DEPENDENCYPART_ARC
(7,3),-0.396283 # DEPENDENCYPART_ARC
(7,4),-0.199151 # DEPENDENCYPART_ARC
(7,5),0.180337 # DEPENDENCYPART_ARC
(7,6),0.632774 # DEPENDENCYPART_ARC
(7,8),-0.0899916 # DEPENDENCYPART_ARC
(7,9),0.831985 # DEPENDENCYPART_ARC
(7,10),3.09162 # DEPENDENCYPART_ARC
(7,11),-2.51015 # DEPENDENCYPART_ARC
(7,12),-2.50964 # DEPENDENCYPART_ARC
(7,13),-0.508827 # DEPENDENCYPART_ARC
(7,14),-3.22148 # DEPENDENCYPART_ARC
(7,15),-4.86156 # DEPENDENCYPART_ARC
(7,16),1.0758 # DEPENDENCYPART_ARC
(7,17),-0.14891 # DEPENDENCYPART_ARC
(7,18),1.07152 # DEPENDENCYPART_ARC
(7,19),-7.01781 # DEPENDENCYPART_ARC
(7,20),-6.03408 # DEPENDENCYPART_ARC
(7,21),0.822783 # DEPENDENCYPART_ARC
(7,22),-4.15093 # DEPENDENCYPART_ARC
(7,23),-8.53833 # DEPENDENCYPART_ARC
(7,24),-1.77335 # DEPENDENCYPART_ARC
(7,25),-10.0804 # DEPENDENCYPART_ARC
(7,26),-9.8911 # DEPENDENCYPART_ARC
(7,27),-0.123694 # DEPENDENCYPART_ARC
(7,28),-13.6005 # DEPENDENCYPART_ARC
(7,29),-3.68782 # DEPENDENCYPART_ARC
(7,30),-12.901 # DEPENDENCYPART_ARC
(7,31),-12.9921 # DEPENDENCYPART_ARC
(7,32),-0.0362852 # DEPENDENCYPART_ARC
(8,1),-2.26473 # DEPENDENCYPART_ARC
(8,2),-2.70698 # DEPENDENCYPART_ARC
(8,3),-2.03127 # DEPENDENCYPART_ARC
(8,4),-1.9751 # DEPENDENCYPART_ARC
(8,5),0.0460333 # DEPENDENCYPART_ARC
(8,6),-1.53524 # DEPENDENCYPART_ARC
(8,7),-0.748871 # DEPENDENCYPART_ARC
(8,9),2.51919 # DEPENDENCYPART_ARC
(8,10),-0.378289 # DEPENDENCYPART_ARC
(8,11),-0.8478 # DEPENDENCYPART_ARC
(8,12),-1.02117 # DEPENDENCYPART_ARC
(8,13),-0.925378 # DEPENDENCYPART_ARC
(8,14),-0.976078 # DEPENDENCYPART_ARC
(8,15),-1.45548 # DEPENDENCYPART_ARC
(8,16),-0.218356 # DEPENDENCYPART_ARC
(8,17),-0.335912 # DEPENDENCYPART_ARC
(8,18),-1.73407 # DEPENDENCYPART_ARC
(8,19),-2.7755 # DEPENDENCYPART_ARC
(8,20),-1.92123 # DEPENDENCYPART_ARC
(8,21),-0.0139773 # DEPENDENCYPART_ARC
(8,22),-2.06666 # DEPENDENCYPART_ARC
(8,23),-2.95002 # DEPENDENCYPART_ARC
(8,24),-3.17206 # DEPENDENCYPART_ARC
(8,25),-3.95741 # DEPENDENCYPART_ARC
(8,26),-3.61463 # DEPENDENCYPART_ARC
(8,27),-1.34762 # DEPENDENCYPART_ARC
(8,28),-4.88205 # DEPENDENCYPART_ARC
(8,29),-2.99141 # DEPENDENCYPART_ARC
(8,30),-5.14914 # DEPENDENCYPART_ARC
(8,31),-3.2478 # DEPENDENCYPART_ARC
(8,32),-1.06045 # DEPENDENCYPART_ARC
(9,1),-0.918067 # DEPENDENCYPART_ARC
(9,2),-1.22776 # DEPENDENCYPART_ARC
(9,3),-1.12473 # DEPENDENCYPART_ARC
(9,4),-0.735908 # DEPENDENCYPART_ARC
(9,5),1.48112 # DEPENDENCYPART_ARC
(9,6),-0.394423 # DEPENDENCYPART_ARC
(9,7),-0.076172 # DEPENDENCYPART_ARC
(9,8),5.09413 # DEPENDENCYPART_ARC
(9,10),0.159911 # DEPENDENCYPART_ARC
(9,11),-0.816771 # DEPENDENCYPART_ARC
(9,12),-0.561918 # DEPENDENCYPART_ARC
(9,13),-0.780242 # DEPENDENCYPART_ARC
(9,14),-1.33953 # DEPENDENCYPART_ARC
(9,15),-1.36705 # DEPENDENCYPART_ARC
(9,16),-0.349115 # DEPENDENCYPART_ARC
(9,17),-0.308591 # DEPENDENCYPART_ARC
(9,18),-1.71984 # DEPENDENCYPART_ARC
(9,19),-3.11342 # DEPENDENCYPART_ARC
(9,20),-2.25262 # DEPENDENCYPART_ARC
(9,21),-0.556169 # DEPENDENCYPART_ARC
(9,22),-2.30181 # DEPENDENCYPART_ARC
(9,23),-2.63664 # DEPENDENCYPART_ARC
(9,24),-3.56551 # DEPENDENCYPART_ARC
(9,25),-4.24436 # DEPENDENCYPART_ARC
(9,26),-3.98651 # DEPENDENCYPART_ARC
(9,27),-1.70363 # DEPENDENCYPART_ARC
(9,28),-4.78122 # DEPENDENCYPART_ARC
(9,29),-3.40592 # DEPENDENCYPART_ARC
(9,30),-5.35527 # DEPENDENCYPART_ARC
(9,31),-3.62539 # DEPENDENCYPART_ARC
(9,32),-0.809232 # DEPENDENCYPART_ARC
(10,1),2.13414 # DEPENDENCYPART_ARC
(10,2),0.0575018 # DEPENDENCYPART_ARC
(10,3),0.553746 # DEPENDENCYPART_ARC
(10,4),0.393101 # DEPENDENCYPART_ARC
(10,5),-0.193871 # DEPENDENCYPART_ARC
(10,6),1.77736 # DEPENDENCYPART_ARC
(10,7),1.18359 # DEPENDENCYPART_ARC
(10,8),1.50929 # DEPENDENCYPART_ARC
(10,9),2.75112 # DEPENDENCYPART_ARC
(10,11),1.34331 # DEPENDENCYPART_ARC
(10,12),3.02462 # DEPENDENCYPART_ARC
(10,13),1.01331 # DEPENDENCYPART_ARC
(10,14),-0.384261 # DEPENDENCYPART_ARC
(10,15),1.3262 # DEPENDENCYPART_ARC
(10,16),1.4052 # DEPENDENCYPART_ARC
(10,17),0.990458 # DEPENDENCYPART_ARC
(10,18),-0.0588277 # DEPENDENCYPART_ARC
(10,19),-1.29722 # DEPENDENCYPART_ARC
(10,20),-0.507049 # DEPENDENCYPART_ARC
(10,21),0.151585 # DEPENDENCYPART_ARC
(10,22),-0.728346 # DEPENDENCYPART_ARC
(10,23),-1.29148 # DEPENDENCYPART_ARC
(10,24),-1.27023 # DEPENDENCYPART_ARC
(10,25),-2.74316 # DEPENDENCYPART_ARC
(10,26),-2.05718 # DEPENDENCYPART_ARC
(10,27),-0.355293 # DEPENDENCYPART_ARC
(10,28),-2.99349 # DEPENDENCYPART_ARC
(10,29),-1.7184 # DEPENDENCYPART_ARC
(10,30),-3.69874 # DEPENDENCYPART_ARC
(10,31),-3.04506 # DEPENDENCYPART_ARC
(10,32),4.12587 # DEPENDENCYPART_ARC
(11,1),-2.67888 # DEPENDENCYPART_ARC
(11,2),-2.14818 # DEPENDENCYPART_ARC
(11,3),-1.72875 # DEPENDENCYPART_ARC
(11,4),-2.26494 # DEPENDENCYPART_ARC
(11,5),-0.884094 # DEPENDENCYPART_ARC
(11,6),-2.09282 # DEPENDENCYPART_ARC
(11,7),-1.03291 # DEPENDENCYPART_ARC
(11,8),-1.29005 # DEPENDENCYPART_ARC
(11,9),-1.26918 # DEPENDENCYPART_ARC
(11,10),-0.650982 # DEPENDENCYPART_ARC
(11,12),0.693821 # DEPENDENCYPART_ARC
(11,13),0.229037 # DEPENDENCYPART_ARC
(11,14),-1.17799 # DEPENDENCYPART_ARC
(11,15),-0.494036 # DEPENDENCYPART_ARC
(11,16),-0.524728 # DEPENDENCYPART_ARC
(11,17),-0.642804 # DEPENDENCYPART_ARC
(11,18),-0.997404 # DEPENDENCYPART_ARC
(11,19),-1.44301 # DEPENDENCYPART_ARC
(11,20),-1.3481 # DEPENDENCYPART_ARC
(11,21),-0.233336 # DEPENDENCYPART_ARC
(11,22),-2.34607 # DEPENDENCYPART_ARC
(11,23),-1.63537 # DEPENDENCYPART_ARC
(11,24),-2.27498 # DEPENDENCYPART_ARC
(11,25),-1.94749 # DEPENDENCYPART_ARC
(11,26),-1.87922 # DEPENDENCYPART_ARC
(11,27),-2.12891 # DEPENDENCYPART_ARC
(11,28),-2.01194 # DEPENDENCYPART_ARC
(11,29),-2.80853 # DEPENDENCYPART_ARC
(11,30),-2.11382 # DEPENDENCYPART_ARC
(11,31),-2.04414 # DEPENDENCYPART_ARC
(11,32),-1.80622 # DEPENDENCYPART_ARC
(12,1),-2.02035 # DEPENDENCYPART_ARC
(12,2),-1.13 # DEPENDENCYPART_ARC
(12,3),-1.19634 # DEPENDENCYPART_ARC
(12,4),-1.51316 # DEPENDENCYPART_ARC
(12,5),0.0692537 # DEPENDENCYPART_ARC
(12,6),-2.2336 # DEPENDENCYPART_ARC
(12,7),-0.396844 # DEPENDENCYPART_ARC
(12,8),0.514138 # DEPENDENCYPART_ARC
(12,9),0.0589287 # DEPENDENCYPART_ARC
(12,10),0.199613 # DEPENDENCYPART_ARC
(12,11),4.85672 # DEPENDENCYPART_ARC
(12,13),3.78238 # DEPENDENCYPART_ARC
(12,14),0.973569 # DEPENDENCYPART_ARC
(12,15),1.63115 # DEPENDENCYPART_ARC
(12,16),1.25722 # DEPENDENCYPART_ARC
(12,17),1.33734 # DEPENDENCYPART_ARC
(12,18),0.862776 # DEPENDENCYPART_ARC
(12,19),-0.0913725 # DEPENDENCYPART_ARC
(12,20),0.608807 # DEPENDENCYPART_ARC
(12,21),-0.0181667 # DEPENDENCYPART_ARC
(12,22),0.155768 # DEPENDENCYPART_ARC
(12,23),0.0291281 # DEPENDENCYPART_ARC
(12,24),-0.224861 # DEPENDENCYPART_ARC
(12,25),-0.776956 # DEPENDENCYPART_ARC
(12,26),-0.597355 # DEPENDENCYPART_ARC
(12,27),-0.0439228 # DEPENDENCYPART_ARC
(12,28),-1.03296 # DEPENDENCYPART_ARC
(12,29),-0.950897 # DEPENDENCYPART_ARC
(12,30),-1.44148 # DEPENDENCYPART_ARC
(12,31),-1.54186 # DEPENDENCYPART_ARC
(12,32),2.00967 # DEPENDENCYPART_ARC
(13,1),-1.6169 # DEPENDENCYPART_ARC
(13,2),-2.5026 # DEPENDENCYPART_ARC
(13,3),-1.89354 # DEPENDENCYPART_ARC
(13,4),-1.82617 # DEPENDENCYPART_ARC
(13,5),-1.74806 # DEPENDENCYPART_ARC
(13,6),-1.26124 # DEPENDENCYPART_ARC
(13,7),-0.790545 # DEPENDENCYPART_ARC
(13,8),-1.09502 # DEPENDENCYPART_ARC
(13,9),-1.1719 # DEPENDENCYPART_ARC
(13,10),-0.835374 # DEPENDENCYPART_ARC
(13,11),-0.589202 # DEPENDENCYPART_ARC
(13,12),0.121914 # DEPENDENCYPART_ARC
(13,14),0.657866 # DEPENDENCYPART_ARC
(13,15),3.50727 # DEPENDENCYPART_ARC
(13,16),0.422065 # DEPENDENCYPART_ARC
(13,17),0.385067 # DEPENDENCYPART_ARC
(13,18),-0.0479938 # DEPENDENCYPART_ARC
(13,19),-1.85961 # DEPENDENCYPART_ARC
(13,20),-0.372403 # DEPENDENCYPART_ARC
(13,21),0.086551 # DEPENDENCYPART_ARC
(13,22),-1.63589 # DEPENDENCYPART_ARC
(13,23),-2.08555 # DEPENDENCYPART_ARC
(13,24),-1.55398 # DEPENDENCYPART_ARC
(13,25),-5.40898 # DEPENDENCYPART_ARC
(13,26),-3.96716 # DEPENDENCYPART_ARC
(13,27),-1.15748 # DEPENDENCYPART_ARC
(13,28),-7.51725 # DEPENDENCYPART_ARC
(13,29),-3.1758 # DEPENDENCYPART_ARC
(13,30),-7.69612 # DEPENDENCYPART_ARC
(13,31),-6.02794 # DEPENDENCYPART_ARC
(13,32),-1.51795 # DEPENDENCYPART_ARC
(14,1),-3.39302 # DEPENDENCYPART_ARC
(14,2),-2.80161 # DEPENDENCYPART_ARC
(14,3),-2.56229 # DEPENDENCYPART_ARC
(14,4),-2.90941 # DEPENDENCYPART_ARC
(14,5),-2.15686 # DEPENDENCYPART_ARC
(14,6),-3.05809 # DEPENDENCYPART_ARC
(14,7),-2.30909 # DEPENDENCYPART_ARC
(14,8),-2.42178 # DEPENDENCYPART_ARC
(14,9),-2.27967 # DEPENDENCYPART_ARC
(14,10),-2.1535 # DEPENDENCYPART_ARC
(14,11),-0.982772 # DEPENDENCYPART_ARC
(14,12),-1.91361 # DEPENDENCYPART_ARC
(14,13),-0.567105 # DEPENDENCYPART_ARC
(14,15),-0.155688 # DEPENDENCYPART_ARC
(14,16),-1.82412 # DEPENDENCYPART_ARC
(14,17),-1.67742 # DEPENDENCYPART_ARC
(14,18),-1.75814 # DEPENDENCYPART_ARC
(14,19),-2.35688 # DEPENDENCYPART_ARC
(14,20),-2.62543 # DEPENDENCYPART_ARC
(14,21),-1.8948 # DEPENDENCYPART_ARC
(14,22),-3.19116 # DEPENDENCYPART_ARC
(14,23),-2.3701 # DEPENDENCYPART_ARC
(14,24),-2.96128 # DEPENDENCYPART_ARC
(14,25),-3.36724 # DEPENDENCYPART_ARC
(14,26),-3.43726 # DEPENDENCYPART_ARC
(14,27),-3.09598 # DEPENDENCYPART_ARC
(14,28),-3.64717 # DEPENDENCYPART_ARC
(14,29),-3.75968 # DEPENDENCYPART_ARC
(14,30),-3.77523 # DEPENDENCYPART_ARC
(14,31),-3.79448 # DEPENDENCYPART_ARC
(14,32),-3.74719 # DEPENDENCYPART_ARC
(15,1),-2.70649 # DEPENDENCYPART_ARC
(15,2),-2.03157 # DEPENDENCYPART_ARC
(15,3),-2.27171 # DEPENDENCYPART_ARC
(15,4),-2.21995 # DEPENDENCYPART_ARC
(15,5),-3.48404 # DEPENDENCYPART_ARC
(15,6),-4.47521 # DEPENDENCYPART_ARC
(15,7),-1.35045 # DEPENDENCYPART_ARC
(15,8),-2.31905 # DEPENDENCYPART_ARC
(15,9),-3.18282 # DEPENDENCYPART_ARC
(15,10),-1.07637 # DEPENDENCYPART_ARC
(15,11),0.861742 # DEPENDENCYPART_ARC
(15,12),-0.946005 # DEPENDENCYPART_ARC
(15,13),0.824233 # DEPENDENCYPART_ARC
(15,14),4.80065 # DEPENDENCYPART_ARC
(15,16),0.278625 # DEPENDENCYPART_ARC
(15,17),0.888544 # DEPENDENCYPART_ARC
(15,18),-0.0166362 # DEPENDENCYPART_ARC
(15,19),-0.50127 # DEPENDENCYPART_ARC
(15,20),-0.248571 # DEPENDENCYPART_ARC
(15,21),-0.198965 # DEPENDENCYPART_ARC
(15,22),-1.13603 # DEPENDENCYPART_ARC
(15,23),-1.06744 # DEPENDENCYPART_ARC
(15,24),-1.50393 # DEPENDENCYPART_ARC
(15,25),-1.19302 # DEPENDENCYPART_ARC
(15,26),-1.3878 # DEPENDENCYPART_ARC
(15,27),-1.41767 # DEPENDENCYPART_ARC
(15,28),-1.91595 # DEPENDENCYPART_ARC
(15,29),-1.95964 # DEPENDENCYPART_ARC
(15,30),-1.90628 # DEPENDENCYPART_ARC
(15,31),-2.25531 # DEPENDENCYPART_ARC
(15,32),-0.289483 # DEPENDENCYPART_ARC
(16,1),-2.23162 # DEPENDENCYPART_ARC
(16,2),-2.66797 # DEPENDENCYPART_ARC
(16,3),-2.45654 # DEPENDENCYPART_ARC
(16,4),-2.22323 # DEPENDENCYPART_ARC
(16,5),-1.93035 # DEPENDENCYPART_ARC
(16,6),-1.93866 # DEPENDENCYPART_ARC
(16,7),-1.82513 # DEPENDENCYPART_ARC
(16,8),-2.12025 # DEPENDENCYPART_ARC
