# _root_ Also , a UAL group tried to get financing for a lower bid , possibly $ 250 a share .
#goldHeads=6,6,5,5,6,0,6,7,8,8,13,13,10,13,16,13,16,19,16,6,
#predictedHeads=6,6,5,5,6,0,6,7,8,9,13,13,10,13,13,15,16,19,16,6,
(3,6),0.84324 # DEPENDENCYPART_ARC
(3,7),-0.106056 # DEPENDENCYPART_ARC
(3,8),-0.354558 # DEPENDENCYPART_ARC
(3,9),-0.534919 # DEPENDENCYPART_ARC
(3,10),-0.47683 # DEPENDENCYPART_ARC
(3,11),-1.34695 # DEPENDENCYPART_ARC
(3,12),-1.40825 # DEPENDENCYPART_ARC
(3,13),-0.898784 # DEPENDENCYPART_ARC
(3,14),-0.406887 # DEPENDENCYPART_ARC
(3,15),-1.20079 # DEPENDENCYPART_ARC
(3,16),-2.35226 # DEPENDENCYPART_ARC
(3,17),-1.4298 # DEPENDENCYPART_ARC
(3,18),-2.25088 # DEPENDENCYPART_ARC
(3,19),-1.72083 # DEPENDENCYPART_ARC
(3,20),-1.07025 # DEPENDENCYPART_ARC
(4,1),-1.47743 # DEPENDENCYPART_ARC
(4,2),-0.461264 # DEPENDENCYPART_ARC
(4,3),1.12154 # DEPENDENCYPART_ARC
(4,5),0.703579 # DEPENDENCYPART_ARC
(4,6),-0.126493 # DEPENDENCYPART_ARC
(4,7),-0.454502 # DEPENDENCYPART_ARC
(4,8),-1.29637 # DEPENDENCYPART_ARC
(4,9),-2.04641 # DEPENDENCYPART_ARC
(4,10),-0.988755 # DEPENDENCYPART_ARC
(4,11),-1.2898 # DEPENDENCYPART_ARC
(4,12),-1.65578 # DEPENDENCYPART_ARC
(4,13),-3.04093 # DEPENDENCYPART_ARC
(4,14),-0.343497 # DEPENDENCYPART_ARC
(4,15),-2.18142 # DEPENDENCYPART_ARC
(4,16),-2.71971 # DEPENDENCYPART_ARC
(4,17),-2.30401 # DEPENDENCYPART_ARC
(4,18),-2.22604 # DEPENDENCYPART_ARC
(4,19),-4.23421 # DEPENDENCYPART_ARC
(4,20),-1.17391 # DEPENDENCYPART_ARC
(5,1),-0.850821 # DEPENDENCYPART_ARC
(5,2),0.314869 # DEPENDENCYPART_ARC
(5,3),4.28314 # DEPENDENCYPART_ARC
(5,4),4.74904 # DEPENDENCYPART_ARC
(5,6),0.977431 # DEPENDENCYPART_ARC
(5,7),0.365689 # DEPENDENCYPART_ARC
(5,8),-0.00341856 # DEPENDENCYPART_ARC
(5,9),-0.526737 # DEPENDENCYPART_ARC
(5,10),-0.843462 # DEPENDENCYPART_ARC
(5,11),-0.778922 # DEPENDENCYPART_ARC
(5,12),-0.821413 # DEPENDENCYPART_ARC
(5,13),-0.915354 # DEPENDENCYPART_ARC
(5,14),-0.352449 # DEPENDENCYPART_ARC
(5,15),-1.61276 # DEPENDENCYPART_ARC
(5,16),-1.67804 # DEPENDENCYPART_ARC
(5,17),-0.887352 # DEPENDENCYPART_ARC
(5,18),-1.48576 # DEPENDENCYPART_ARC
(5,19),-1.18108 # DEPENDENCYPART_ARC
(5,20),0.267634 # DEPENDENCYPART_ARC
(6,1),2.14529 # DEPENDENCYPART_ARC
(6,2),3.55555 # DEPENDENCYPART_ARC
(6,3),1.34195 # DEPENDENCYPART_ARC
(6,4),1.70825 # DEPENDENCYPART_ARC
(6,5),2.62793 # DEPENDENCYPART_ARC
(6,7),4.14905 # DEPENDENCYPART_ARC
(6,8),1.77833 # DEPENDENCYPART_ARC
(6,9),1.21469 # DEPENDENCYPART_ARC
(6,10),1.98341 # DEPENDENCYPART_ARC
(6,11),-0.593364 # DEPENDENCYPART_ARC
(6,12),0.334388 # DEPENDENCYPART_ARC
(6,13),0.163051 # DEPENDENCYPART_ARC
(6,14),2.19465 # DEPENDENCYPART_ARC
(6,15),0.818459 # DEPENDENCYPART_ARC
(6,16),-0.72543 # DEPENDENCYPART_ARC
(6,17),-0.977632 # DEPENDENCYPART_ARC
(6,18),-1.11906 # DEPENDENCYPART_ARC
(6,19),-1.39832 # DEPENDENCYPART_ARC
(6,20),3.59872 # DEPENDENCYPART_ARC
(7,1),-1.64856 # DEPENDENCYPART_ARC
(7,2),-0.64418 # DEPENDENCYPART_ARC
(7,3),0.151082 # DEPENDENCYPART_ARC
(7,4),0.157525 # DEPENDENCYPART_ARC
(7,5),-0.420603 # DEPENDENCYPART_ARC
(7,6),1.00466 # DEPENDENCYPART_ARC
(7,8),3.60107 # DEPENDENCYPART_ARC
(7,9),1.45395 # DEPENDENCYPART_ARC
(7,10),0.926875 # DEPENDENCYPART_ARC
(7,11),-0.419055 # DEPENDENCYPART_ARC
(7,12),0.194828 # DEPENDENCYPART_ARC
(7,13),-1.03803 # DEPENDENCYPART_ARC
(7,14),1.24309 # DEPENDENCYPART_ARC
(7,15),0.168119 # DEPENDENCYPART_ARC
(7,16),-1.62142 # DEPENDENCYPART_ARC
(7,17),-1.1988 # DEPENDENCYPART_ARC
(7,18),-1.34615 # DEPENDENCYPART_ARC
(7,19),-4.46667 # DEPENDENCYPART_ARC
(7,20),0.21393 # DEPENDENCYPART_ARC
(8,1),-1.04821 # DEPENDENCYPART_ARC
(8,2),-0.512965 # DEPENDENCYPART_ARC
(8,3),-0.0367695 # DEPENDENCYPART_ARC
(8,4),-0.267782 # DEPENDENCYPART_ARC
(8,5),0.0503905 # DEPENDENCYPART_ARC
(8,6),-0.388261 # DEPENDENCYPART_ARC
(8,7),1.3545 # DEPENDENCYPART_ARC
(8,9),3.49971 # DEPENDENCYPART_ARC
(8,10),2.7164 # DEPENDENCYPART_ARC
(8,11),-0.539861 # DEPENDENCYPART_ARC
(8,12),0.325275 # DEPENDENCYPART_ARC
(8,13),1.13384 # DEPENDENCYPART_ARC
(8,14),1.28939 # DEPENDENCYPART_ARC
(8,15),-0.0270929 # DEPENDENCYPART_ARC
(8,16),0.194466 # DEPENDENCYPART_ARC
(8,17),-0.93241 # DEPENDENCYPART_ARC
(8,18),-1.20218 # DEPENDENCYPART_ARC
(8,19),-1.32641 # DEPENDENCYPART_ARC
(8,20),-0.491603 # DEPENDENCYPART_ARC
(9,1),-3.40349 # DEPENDENCYPART_ARC
(9,2),-2.17794 # DEPENDENCYPART_ARC
(9,3),0.412235 # DEPENDENCYPART_ARC
(9,4),0.301052 # DEPENDENCYPART_ARC
(9,5),-1.00903 # DEPENDENCYPART_ARC
(9,6),-0.1784 # DEPENDENCYPART_ARC
(9,7),-0.0791356 # DEPENDENCYPART_ARC
(9,8),1.4386 # DEPENDENCYPART_ARC
(9,10),3.13571 # DEPENDENCYPART_ARC
(9,11),0.383814 # DEPENDENCYPART_ARC
(9,12),0.577703 # DEPENDENCYPART_ARC
(9,13),0.976883 # DEPENDENCYPART_ARC
(9,14),0.665151 # DEPENDENCYPART_ARC
(9,15),0.167875 # DEPENDENCYPART_ARC
(9,16),-0.402267 # DEPENDENCYPART_ARC
(9,17),0.270577 # DEPENDENCYPART_ARC
(9,18),-0.292159 # DEPENDENCYPART_ARC
(9,19),0.358606 # DEPENDENCYPART_ARC
(9,20),0.500771 # DEPENDENCYPART_ARC
(10,1),-2.02286 # DEPENDENCYPART_ARC
(10,2),-1.48391 # DEPENDENCYPART_ARC
(10,3),-0.671553 # DEPENDENCYPART_ARC
(10,4),-1.15622 # DEPENDENCYPART_ARC
(10,5),-1.36617 # DEPENDENCYPART_ARC
(10,6),-1.07244 # DEPENDENCYPART_ARC
(10,7),-0.554877 # DEPENDENCYPART_ARC
(10,8),-0.365949 # DEPENDENCYPART_ARC
(10,9),0.0159657 # DEPENDENCYPART_ARC
(10,11),1.01812 # DEPENDENCYPART_ARC
(10,12),0.802468 # DEPENDENCYPART_ARC
(10,13),2.94829 # DEPENDENCYPART_ARC
(10,14),0.856377 # DEPENDENCYPART_ARC
(10,15),-0.031853 # DEPENDENCYPART_ARC
(10,16),-0.243165 # DEPENDENCYPART_ARC
(10,17),-0.374649 # DEPENDENCYPART_ARC
(10,18),-1.76434 # DEPENDENCYPART_ARC
(10,19),-1.04131 # DEPENDENCYPART_ARC
(10,20),-1.05091 # DEPENDENCYPART_ARC
(11,1),-2.87906 # DEPENDENCYPART_ARC
(11,2),-2.40607 # DEPENDENCYPART_ARC
(11,3),-1.60688 # DEPENDENCYPART_ARC
(11,4),-2.23988 # DEPENDENCYPART_ARC
(11,5),-2.35954 # DEPENDENCYPART_ARC
(11,6),-2.00415 # DEPENDENCYPART_ARC
(11,7),-1.70464 # DEPENDENCYPART_ARC
(11,8),-1.08763 # DEPENDENCYPART_ARC
(11,9),-1.52489 # DEPENDENCYPART_ARC
(11,10),0.119801 # DEPENDENCYPART_ARC
(11,12),0.259767 # DEPENDENCYPART_ARC
(11,13),0.502995 # DEPENDENCYPART_ARC
(11,14),0.253631 # DEPENDENCYPART_ARC
(11,15),-0.409351 # DEPENDENCYPART_ARC
(11,16),-1.44329 # DEPENDENCYPART_ARC
(11,17),-0.308548 # DEPENDENCYPART_ARC
(11,18),-1.44829 # DEPENDENCYPART_ARC
(11,19),-0.756828 # DEPENDENCYPART_ARC
(11,20),-1.01324 # DEPENDENCYPART_ARC
(12,1),-2.05633 # DEPENDENCYPART_ARC
(12,2),-1.03239 # DEPENDENCYPART_ARC
(12,3),-0.330944 # DEPENDENCYPART_ARC
(12,4),-1.18867 # DEPENDENCYPART_ARC
(12,5),-0.707343 # DEPENDENCYPART_ARC
(12,6),-1.02634 # DEPENDENCYPART_ARC
(12,7),-0.92407 # DEPENDENCYPART_ARC
(12,8),0.00221297 # DEPENDENCYPART_ARC
(12,9),0.15502 # DEPENDENCYPART_ARC
(12,10),0.57373 # DEPENDENCYPART_ARC
(12,11),2.0362 # DEPENDENCYPART_ARC
(12,13),0.75593 # DEPENDENCYPART_ARC
(12,14),0.076917 # DEPENDENCYPART_ARC
(12,15),-0.0326258 # DEPENDENCYPART_ARC
(12,16),-0.643173 # DEPENDENCYPART_ARC
(12,17),-0.507593 # DEPENDENCYPART_ARC
(12,18),-1.0734 # DEPENDENCYPART_ARC
(12,19),-0.961107 # DEPENDENCYPART_ARC
(12,20),-0.125966 # DEPENDENCYPART_ARC
(13,1),-3.96557 # DEPENDENCYPART_ARC
(13,2),-2.2035 # DEPENDENCYPART_ARC
(13,3),-0.47922 # DEPENDENCYPART_ARC
(13,4),-2.02153 # DEPENDENCYPART_ARC
(13,5),-2.88444 # DEPENDENCYPART_ARC
(13,6),-0.630761 # DEPENDENCYPART_ARC
(13,7),-1.32881 # DEPENDENCYPART_ARC
(13,8),-0.204962 # DEPENDENCYPART_ARC
(13,9),-0.595844 # DEPENDENCYPART_ARC
(13,10),0.460541 # DEPENDENCYPART_ARC
(13,11),4.48837 # DEPENDENCYPART_ARC
(13,12),3.50473 # DEPENDENCYPART_ARC
(13,14),2.29993 # DEPENDENCYPART_ARC
(13,15),0.934861 # DEPENDENCYPART_ARC
(13,16),0.166401 # DEPENDENCYPART_ARC
(13,17),1.13951 # DEPENDENCYPART_ARC
(13,18),0.0822763 # DEPENDENCYPART_ARC
(13,19),1.12834 # DEPENDENCYPART_ARC
(13,20),0.644691 # DEPENDENCYPART_ARC
(14,1),-3.0095 # DEPENDENCYPART_ARC
(14,2),-0.774113 # DEPENDENCYPART_ARC
(14,3),-1.99683 # DEPENDENCYPART_ARC
(14,4),-2.35106 # DEPENDENCYPART_ARC
(14,5),-1.99292 # DEPENDENCYPART_ARC
(14,6),-1.6364 # DEPENDENCYPART_ARC
(14,7),-1.47872 # DEPENDENCYPART_ARC
(14,8),-1.64262 # DEPENDENCYPART_ARC
(14,9),-1.64738 # DEPENDENCYPART_ARC
(14,10),-1.40204 # DEPENDENCYPART_ARC
(14,11),-0.649431 # DEPENDENCYPART_ARC
(14,12),-0.905438 # DEPENDENCYPART_ARC
(14,13),-0.895273 # DEPENDENCYPART_ARC
(14,15),-0.358824 # DEPENDENCYPART_ARC
(14,16),-0.915958 # DEPENDENCYPART_ARC
(14,17),-1.23988 # DEPENDENCYPART_ARC
(14,18),-1.50511 # DEPENDENCYPART_ARC
(14,19),-1.70693 # DEPENDENCYPART_ARC
(14,20),-1.10597 # DEPENDENCYPART_ARC
(15,1),-2.47937 # DEPENDENCYPART_ARC
(15,2),-2.12118 # DEPENDENCYPART_ARC
(15,3),-1.3744 # DEPENDENCYPART_ARC
(15,4),-2.42323 # DEPENDENCYPART_ARC
(15,5),-2.41702 # DEPENDENCYPART_ARC
(15,6),-1.98058 # DEPENDENCYPART_ARC
(15,7),-1.86619 # DEPENDENCYPART_ARC
(15,8),-1.73473 # DEPENDENCYPART_ARC
(15,9),-1.83673 # DEPENDENCYPART_ARC
(15,10),-1.34561 # DEPENDENCYPART_ARC
(15,11),-0.201727 # DEPENDENCYPART_ARC
(15,12),-0.803802 # DEPENDENCYPART_ARC
(15,13),-1.04817 # DEPENDENCYPART_ARC
(15,14),0.0462068 # DEPENDENCYPART_ARC
(15,16),2.23601 # DEPENDENCYPART_ARC
(15,17),1.28701 # DEPENDENCYPART_ARC
(15,18),0.685756 # DEPENDENCYPART_ARC
(15,19),0.784046 # DEPENDENCYPART_ARC
(15,20),-0.530243 # DEPENDENCYPART_ARC
(16,1),-2.65389 # DEPENDENCYPART_ARC
(16,2),-1.82622 # DEPENDENCYPART_ARC
(16,3),-0.909781 # DEPENDENCYPART_ARC
(16,4),-2.03706 # DEPENDENCYPART_ARC
(16,5),-1.68249 # DEPENDENCYPART_ARC
(16,6),-1.31101 # DEPENDENCYPART_ARC
(16,7),-0.879695 # DEPENDENCYPART_ARC
(16,8),-1.01322 # DEPENDENCYPART_ARC
(16,9),-0.889447 # DEPENDENCYPART_ARC
(16,10),-1.1294 # DEPENDENCYPART_ARC
(16,11),0.921215 # DEPENDENCYPART_ARC
(16,12),-0.0326912 # DEPENDENCYPART_ARC
(16,13),0.166332 # DEPENDENCYPART_ARC
(16,14),0.670117 # DEPENDENCYPART_ARC
(16,15),2.57827 # DEPENDENCYPART_ARC
(16,17),3.9566 # DEPENDENCYPART_ARC
(16,18),1.15519 # DEPENDENCYPART_ARC
(16,19),2.61307 # DEPENDENCYPART_ARC
(16,20),-0.65977 # DEPENDENCYPART_ARC
(17,1),-2.50185 # DEPENDENCYPART_ARC
(17,2),-2.4364 # DEPENDENCYPART_ARC
(17,3),-1.74879 # DEPENDENCYPART_ARC
(17,4),-2.19031 # DEPENDENCYPART_ARC
(17,5),-2.56908 # DEPENDENCYPART_ARC
(17,6),-2.00999 # DEPENDENCYPART_ARC
(17,7),-1.847 # DEPENDENCYPART_ARC
(17,8),-1.17724 # DEPENDENCYPART_ARC
(17,9),-1.96041 # DEPENDENCYPART_ARC
(17,10),-1.80499 # DEPENDENCYPART_ARC
(17,11),-0.242645 # DEPENDENCYPART_ARC
(17,12),-0.605412 # DEPENDENCYPART_ARC
(17,13),-1.08489 # DEPENDENCYPART_ARC
(17,14),-0.109988 # DEPENDENCYPART_ARC
(17,15),0.576524 # DEPENDENCYPART_ARC
(17,16),0.680146 # DEPENDENCYPART_ARC
(17,18),0.413485 # DEPENDENCYPART_ARC
(17,19),0.500724 # DEPENDENCYPART_ARC
(17,20),-0.243281 # DEPENDENCYPART_ARC
(18,1),-3.23223 # DEPENDENCYPART_ARC
(18,2),-2.71689 # DEPENDENCYPART_ARC
(18,3),-2.15451 # DEPENDENCYPART_ARC
(18,4),-2.73311 # DEPENDENCYPART_ARC
(18,5),-2.83099 # DEPENDENCYPART_ARC
(18,6),-2.27264 # DEPENDENCYPART_ARC
(18,7),-2.12515 # DEPENDENCYPART_ARC
(18,8),-1.81784 # DEPENDENCYPART_ARC
(18,9),-2.29454 # DEPENDENCYPART_ARC
(18,10),-1.08878 # DEPENDENCYPART_ARC
(18,11),-1.06877 # DEPENDENCYPART_ARC
(18,12),-1.31171 # DEPENDENCYPART_ARC
(18,13),-1.63346 # DEPENDENCYPART_ARC
(18,14),-1.08038 # DEPENDENCYPART_ARC
(18,15),-1.03441 # DEPENDENCYPART_ARC
(18,16),-0.237863 # DEPENDENCYPART_ARC
(18,17),0.0765364 # DEPENDENCYPART_ARC
(18,19),0.365406 # DEPENDENCYPART_ARC
(18,20),-1.39246 # DEPENDENCYPART_ARC
(19,1),-4.9453 # DEPENDENCYPART_ARC
(19,2),-1.83767 # DEPENDENCYPART_ARC
(19,3),-1.71925 # DEPENDENCYPART_ARC
(19,4),-4.62631 # DEPENDENCYPART_ARC
(19,5),-4.86997 # DEPENDENCYPART_ARC
(19,6),-1.31111 # DEPENDENCYPART_ARC
(19,7),-2.38922 # DEPENDENCYPART_ARC
(19,8),-1.96127 # DEPENDENCYPART_ARC
(19,9),-3.17532 # DEPENDENCYPART_ARC
(19,10),-0.562417 # DEPENDENCYPART_ARC
(19,11),2.29015 # DEPENDENCYPART_ARC
(19,12),-0.422242 # DEPENDENCYPART_ARC
(19,13),-1.15009 # DEPENDENCYPART_ARC
(19,14),0.513684 # DEPENDENCYPART_ARC
(19,15),0.456256 # DEPENDENCYPART_ARC
(19,16),0.690906 # DEPENDENCYPART_ARC
(19,17),0.762433 # DEPENDENCYPART_ARC
(19,18),5.27911 # DEPENDENCYPART_ARC
(19,20),-0.962976 # DEPENDENCYPART_ARC
(20,1),-1.90589 # DEPENDENCYPART_ARC
(20,2),-0.610063 # DEPENDENCYPART_ARC
(20,3),-2.2988 # DEPENDENCYPART_ARC
(20,4),-2.11563 # DEPENDENCYPART_ARC
(20,5),-1.7769 # DEPENDENCYPART_ARC
(20,6),-1.0238 # DEPENDENCYPART_ARC
(20,7),-1.8243 # DEPENDENCYPART_ARC
(20,8),-1.79865 # DEPENDENCYPART_ARC
(20,9),-1.51924 # DEPENDENCYPART_ARC
(20,10),-2.0919 # DEPENDENCYPART_ARC
(20,11),-1.23731 # DEPENDENCYPART_ARC
(20,12),-0.399543 # DEPENDENCYPART_ARC
(20,13),-1.14532 # DEPENDENCYPART_ARC
(20,14),-0.125223 # DEPENDENCYPART_ARC
(20,15),-1.36203 # DEPENDENCYPART_ARC
(20,16),-1.12506 # DEPENDENCYPART_ARC
(20,17),-1.00875 # DEPENDENCYPART_ARC
(20,18),-0.694584 # DEPENDENCYPART_ARC
(20,19),-1.79557 # DEPENDENCYPART_ARC
