# _root_ But with so many shares now held in the U.S. , Blue Arrow reports its earnings two ways , based on both U.K. and U.S. accounting standards .
#goldHeads=14,14,4,5,2,7,5,7,10,8,14,13,14,0,16,14,18,14,14,14,20,23,21,23,27,27,24,14,
#predictedHeads=14,14,4,5,2,7,5,7,10,8,14,13,14,0,16,14,18,14,18,18,20,23,21,23,27,27,24,14,
(5,12),-0.114666 # DEPENDENCYPART_ARC
(5,13),-0.124746 # DEPENDENCYPART_ARC
(5,14),0.112645 # DEPENDENCYPART_ARC
(5,15),-0.842714 # DEPENDENCYPART_ARC
(5,16),0.0939464 # DEPENDENCYPART_ARC
(5,17),-0.197246 # DEPENDENCYPART_ARC
(5,18),-0.098362 # DEPENDENCYPART_ARC
(5,19),0.166439 # DEPENDENCYPART_ARC
(5,20),-0.177832 # DEPENDENCYPART_ARC
(5,21),0.283445 # DEPENDENCYPART_ARC
(5,22),-1.12455 # DEPENDENCYPART_ARC
(5,23),-1.2835 # DEPENDENCYPART_ARC
(5,24),-0.431447 # DEPENDENCYPART_ARC
(5,25),-1.47842 # DEPENDENCYPART_ARC
(5,26),-1.51252 # DEPENDENCYPART_ARC
(5,27),-1.53896 # DEPENDENCYPART_ARC
(5,28),-0.638576 # DEPENDENCYPART_ARC
(6,1),-1.20543 # DEPENDENCYPART_ARC
(6,2),-0.523701 # DEPENDENCYPART_ARC
(6,3),0.199495 # DEPENDENCYPART_ARC
(6,4),0.131421 # DEPENDENCYPART_ARC
(6,5),0.29434 # DEPENDENCYPART_ARC
(6,7),0.408444 # DEPENDENCYPART_ARC
(6,8),0.85453 # DEPENDENCYPART_ARC
(6,9),-0.580701 # DEPENDENCYPART_ARC
(6,10),-0.505094 # DEPENDENCYPART_ARC
(6,11),-0.243402 # DEPENDENCYPART_ARC
(6,12),-1.45609 # DEPENDENCYPART_ARC
(6,13),-1.47598 # DEPENDENCYPART_ARC
(6,14),-1.45298 # DEPENDENCYPART_ARC
(6,15),-1.83542 # DEPENDENCYPART_ARC
(6,16),-1.80378 # DEPENDENCYPART_ARC
(6,17),-2.42366 # DEPENDENCYPART_ARC
(6,18),-1.67601 # DEPENDENCYPART_ARC
(6,19),-0.206393 # DEPENDENCYPART_ARC
(6,20),-2.15789 # DEPENDENCYPART_ARC
(6,21),-0.848937 # DEPENDENCYPART_ARC
(6,22),-2.27659 # DEPENDENCYPART_ARC
(6,23),-2.49606 # DEPENDENCYPART_ARC
(6,24),-0.553327 # DEPENDENCYPART_ARC
(6,25),-2.59387 # DEPENDENCYPART_ARC
(6,26),-3.42082 # DEPENDENCYPART_ARC
(6,27),-3.35216 # DEPENDENCYPART_ARC
(6,28),-1.80334 # DEPENDENCYPART_ARC
(7,1),-0.148418 # DEPENDENCYPART_ARC
(7,2),0.153195 # DEPENDENCYPART_ARC
(7,3),1.72236 # DEPENDENCYPART_ARC
(7,4),0.947765 # DEPENDENCYPART_ARC
(7,5),0.788813 # DEPENDENCYPART_ARC
(7,6),3.86382 # DEPENDENCYPART_ARC
(7,8),3.62304 # DEPENDENCYPART_ARC
(7,9),0.301154 # DEPENDENCYPART_ARC
(7,10),0.770731 # DEPENDENCYPART_ARC
(7,11),1.03341 # DEPENDENCYPART_ARC
(7,12),-0.180338 # DEPENDENCYPART_ARC
(7,13),-0.514667 # DEPENDENCYPART_ARC
(7,14),-0.0976466 # DEPENDENCYPART_ARC
(7,15),-0.812775 # DEPENDENCYPART_ARC
(7,16),-0.760608 # DEPENDENCYPART_ARC
(7,17),-0.621454 # DEPENDENCYPART_ARC
(7,18),-0.480482 # DEPENDENCYPART_ARC
(7,19),1.15056 # DEPENDENCYPART_ARC
(7,20),1.11862 # DEPENDENCYPART_ARC
(7,21),0.285721 # DEPENDENCYPART_ARC
(7,22),-1.09718 # DEPENDENCYPART_ARC
(7,23),-2.22361 # DEPENDENCYPART_ARC
(7,24),0.451593 # DEPENDENCYPART_ARC
(7,25),-2.33925 # DEPENDENCYPART_ARC
(7,26),-1.42965 # DEPENDENCYPART_ARC
(7,27),-2.32993 # DEPENDENCYPART_ARC
(7,28),-0.351611 # DEPENDENCYPART_ARC
(8,1),-1.00621 # DEPENDENCYPART_ARC
(8,2),-0.378772 # DEPENDENCYPART_ARC
(8,3),-1.05258 # DEPENDENCYPART_ARC
(8,4),-0.830232 # DEPENDENCYPART_ARC
(8,5),-0.621957 # DEPENDENCYPART_ARC
(8,6),0.110647 # DEPENDENCYPART_ARC
(8,7),0.0709569 # DEPENDENCYPART_ARC
(8,9),0.762329 # DEPENDENCYPART_ARC
(8,10),4.05962 # DEPENDENCYPART_ARC
(8,11),1.09842 # DEPENDENCYPART_ARC
(8,12),0.246149 # DEPENDENCYPART_ARC
(8,13),1.37754 # DEPENDENCYPART_ARC
(8,14),0.0691937 # DEPENDENCYPART_ARC
(8,15),-0.585135 # DEPENDENCYPART_ARC
(8,16),-1.08228 # DEPENDENCYPART_ARC
(8,17),-2.34576 # DEPENDENCYPART_ARC
(8,18),-1.56276 # DEPENDENCYPART_ARC
(8,19),0.281542 # DEPENDENCYPART_ARC
(8,20),-1.12143 # DEPENDENCYPART_ARC
(8,21),-0.00372985 # DEPENDENCYPART_ARC
(8,22),-2.37951 # DEPENDENCYPART_ARC
(8,23),-4.43166 # DEPENDENCYPART_ARC
(8,24),-0.719641 # DEPENDENCYPART_ARC
(8,25),-6.31401 # DEPENDENCYPART_ARC
(8,26),-6.10926 # DEPENDENCYPART_ARC
(8,27),-6.82897 # DEPENDENCYPART_ARC
(8,28),-0.0400242 # DEPENDENCYPART_ARC
(9,1),-3.96041 # DEPENDENCYPART_ARC
(9,2),-2.81796 # DEPENDENCYPART_ARC
(9,3),-3.16167 # DEPENDENCYPART_ARC
(9,4),-2.80428 # DEPENDENCYPART_ARC
(9,5),-2.83616 # DEPENDENCYPART_ARC
(9,6),-2.32427 # DEPENDENCYPART_ARC
(9,7),-2.17869 # DEPENDENCYPART_ARC
(9,8),-1.27367 # DEPENDENCYPART_ARC
(9,10),-0.575352 # DEPENDENCYPART_ARC
(9,11),-1.00428 # DEPENDENCYPART_ARC
(9,12),-1.04422 # DEPENDENCYPART_ARC
(9,13),-1.32766 # DEPENDENCYPART_ARC
(9,14),-0.655937 # DEPENDENCYPART_ARC
(9,15),-2.09536 # DEPENDENCYPART_ARC
(9,16),-1.72201 # DEPENDENCYPART_ARC
(9,17),-2.00757 # DEPENDENCYPART_ARC
(9,18),-1.94968 # DEPENDENCYPART_ARC
(9,19),-0.726087 # DEPENDENCYPART_ARC
(9,20),-1.94489 # DEPENDENCYPART_ARC
(9,21),-2.72851 # DEPENDENCYPART_ARC
(9,22),-3.17629 # DEPENDENCYPART_ARC
(9,23),-3.04627 # DEPENDENCYPART_ARC
(9,24),-2.62479 # DEPENDENCYPART_ARC
(9,25),-3.0432 # DEPENDENCYPART_ARC
(9,26),-2.62456 # DEPENDENCYPART_ARC
(9,27),-3.05317 # DEPENDENCYPART_ARC
(9,28),-1.92132 # DEPENDENCYPART_ARC
(10,1),-2.78265 # DEPENDENCYPART_ARC
(10,2),-1.8395 # DEPENDENCYPART_ARC
(10,3),-1.5246 # DEPENDENCYPART_ARC
(10,4),-1.5537 # DEPENDENCYPART_ARC
(10,5),-1.69218 # DEPENDENCYPART_ARC
(10,6),-0.964804 # DEPENDENCYPART_ARC
(10,7),-0.621298 # DEPENDENCYPART_ARC
(10,8),0.267448 # DEPENDENCYPART_ARC
(10,9),3.92835 # DEPENDENCYPART_ARC
(10,11),2.0406 # DEPENDENCYPART_ARC
(10,12),1.89114 # DEPENDENCYPART_ARC
(10,13),1.28847 # DEPENDENCYPART_ARC
(10,14),0.959888 # DEPENDENCYPART_ARC
(10,15),-0.404482 # DEPENDENCYPART_ARC
(10,16),-0.267954 # DEPENDENCYPART_ARC
(10,17),-0.791264 # DEPENDENCYPART_ARC
(10,18),-0.0258422 # DEPENDENCYPART_ARC
(10,19),-0.022748 # DEPENDENCYPART_ARC
(10,20),0.375581 # DEPENDENCYPART_ARC
(10,21),-0.933023 # DEPENDENCYPART_ARC
(10,22),-0.622324 # DEPENDENCYPART_ARC
(10,23),0.0683516 # DEPENDENCYPART_ARC
(10,24),0.0957096 # DEPENDENCYPART_ARC
(10,25),-1.98669 # DEPENDENCYPART_ARC
(10,26),-1.9029 # DEPENDENCYPART_ARC
(10,27),-1.39864 # DEPENDENCYPART_ARC
(10,28),0.203075 # DEPENDENCYPART_ARC
(11,1),-2.54801 # DEPENDENCYPART_ARC
(11,2),-2.03613 # DEPENDENCYPART_ARC
(11,3),-2.63508 # DEPENDENCYPART_ARC
(11,4),-1.99342 # DEPENDENCYPART_ARC
(11,5),-1.93028 # DEPENDENCYPART_ARC
(11,6),-2.25629 # DEPENDENCYPART_ARC
(11,7),-1.13191 # DEPENDENCYPART_ARC
(11,8),-1.26494 # DEPENDENCYPART_ARC
(11,9),-0.839548 # DEPENDENCYPART_ARC
(11,10),-1.17593 # DEPENDENCYPART_ARC
(11,12),-0.350366 # DEPENDENCYPART_ARC
(11,13),-0.989628 # DEPENDENCYPART_ARC
(11,14),-0.998389 # DEPENDENCYPART_ARC
(11,15),-2.07626 # DEPENDENCYPART_ARC
(11,16),-1.90247 # DEPENDENCYPART_ARC
(11,17),-2.42007 # DEPENDENCYPART_ARC
(11,18),-2.3512 # DEPENDENCYPART_ARC
(11,19),-0.538765 # DEPENDENCYPART_ARC
(11,20),-2.31209 # DEPENDENCYPART_ARC
(11,21),-2.11123 # DEPENDENCYPART_ARC
(11,22),-2.67097 # DEPENDENCYPART_ARC
(11,23),-2.81751 # DEPENDENCYPART_ARC
(11,24),-2.43964 # DEPENDENCYPART_ARC
(11,25),-3.00599 # DEPENDENCYPART_ARC
(11,26),-3.23796 # DEPENDENCYPART_ARC
(11,27),-3.31163 # DEPENDENCYPART_ARC
(11,28),-2.35303 # DEPENDENCYPART_ARC
(12,1),-4.25312 # DEPENDENCYPART_ARC
(12,2),-3.13899 # DEPENDENCYPART_ARC
(12,3),-2.90825 # DEPENDENCYPART_ARC
(12,4),-3.02586 # DEPENDENCYPART_ARC
(12,5),-3.41583 # DEPENDENCYPART_ARC
(12,6),-3.24169 # DEPENDENCYPART_ARC
(12,7),-1.76107 # DEPENDENCYPART_ARC
(12,8),-1.76224 # DEPENDENCYPART_ARC
(12,9),0.507789 # DEPENDENCYPART_ARC
(12,10),0.718835 # DEPENDENCYPART_ARC
(12,11),0.482956 # DEPENDENCYPART_ARC
(12,13),1.97213 # DEPENDENCYPART_ARC
(12,14),-1.11429 # DEPENDENCYPART_ARC
(12,15),-1.94874 # DEPENDENCYPART_ARC
(12,16),-1.8096 # DEPENDENCYPART_ARC
(12,17),-1.57113 # DEPENDENCYPART_ARC
(12,18),-1.94392 # DEPENDENCYPART_ARC
(12,19),-1.57872 # DEPENDENCYPART_ARC
(12,20),-1.69773 # DEPENDENCYPART_ARC
(12,21),-2.94802 # DEPENDENCYPART_ARC
(12,22),-2.41765 # DEPENDENCYPART_ARC
(12,23),-2.13729 # DEPENDENCYPART_ARC
(12,24),0.127409 # DEPENDENCYPART_ARC
(12,25),-3.56925 # DEPENDENCYPART_ARC
(12,26),-4.29133 # DEPENDENCYPART_ARC
(12,27),-3.22634 # DEPENDENCYPART_ARC
(12,28),-0.848986 # DEPENDENCYPART_ARC
(13,1),-2.96486 # DEPENDENCYPART_ARC
(13,2),-2.32274 # DEPENDENCYPART_ARC
(13,3),-1.63982 # DEPENDENCYPART_ARC
(13,4),-1.84703 # DEPENDENCYPART_ARC
(13,5),-2.12262 # DEPENDENCYPART_ARC
(13,6),-2.16773 # DEPENDENCYPART_ARC
(13,7),-0.55771 # DEPENDENCYPART_ARC
(13,8),-0.687005 # DEPENDENCYPART_ARC
(13,9),2.4923 # DEPENDENCYPART_ARC
(13,10),0.623316 # DEPENDENCYPART_ARC
(13,11),1.87838 # DEPENDENCYPART_ARC
(13,12),4.39404 # DEPENDENCYPART_ARC
(13,14),1.29175 # DEPENDENCYPART_ARC
(13,15),-0.0893072 # DEPENDENCYPART_ARC
(13,16),-0.00708475 # DEPENDENCYPART_ARC
(13,17),-0.10704 # DEPENDENCYPART_ARC
(13,18),-0.125439 # DEPENDENCYPART_ARC
(13,19),0.270019 # DEPENDENCYPART_ARC
(13,20),0.29771 # DEPENDENCYPART_ARC
(13,21),-1.04613 # DEPENDENCYPART_ARC
(13,22),-1.08694 # DEPENDENCYPART_ARC
(13,23),-1.2627 # DEPENDENCYPART_ARC
(13,24),0.596909 # DEPENDENCYPART_ARC
(13,25),-2.63671 # DEPENDENCYPART_ARC
(13,26),-2.47188 # DEPENDENCYPART_ARC
(13,27),-1.50594 # DEPENDENCYPART_ARC
(13,28),0.672076 # DEPENDENCYPART_ARC
(14,1),1.17366 # DEPENDENCYPART_ARC
(14,2),1.14785 # DEPENDENCYPART_ARC
(14,3),0.80947 # DEPENDENCYPART_ARC
(14,4),0.205471 # DEPENDENCYPART_ARC
(14,5),-0.136893 # DEPENDENCYPART_ARC
(14,6),1.16072 # DEPENDENCYPART_ARC
(14,7),0.698773 # DEPENDENCYPART_ARC
(14,8),1.27739 # DEPENDENCYPART_ARC
(14,9),0.0499945 # DEPENDENCYPART_ARC
(14,10),0.906673 # DEPENDENCYPART_ARC
(14,11),4.17892 # DEPENDENCYPART_ARC
(14,12),2.23778 # DEPENDENCYPART_ARC
(14,13),3.28165 # DEPENDENCYPART_ARC
(14,15),1.28541 # DEPENDENCYPART_ARC
(14,16),2.60305 # DEPENDENCYPART_ARC
(14,17),0.825353 # DEPENDENCYPART_ARC
(14,18),2.13046 # DEPENDENCYPART_ARC
(14,19),1.13264 # DEPENDENCYPART_ARC
(14,20),0.918496 # DEPENDENCYPART_ARC
(14,21),2.22564 # DEPENDENCYPART_ARC
(14,22),-0.459535 # DEPENDENCYPART_ARC
(14,23),-1.14388 # DEPENDENCYPART_ARC
(14,24),1.17361 # DEPENDENCYPART_ARC
(14,25),-1.35567 # DEPENDENCYPART_ARC
(14,26),0.00714131 # DEPENDENCYPART_ARC
(14,27),-0.0893413 # DEPENDENCYPART_ARC
(14,28),4.56687 # DEPENDENCYPART_ARC
(15,1),-3.20782 # DEPENDENCYPART_ARC
(15,2),-2.56733 # DEPENDENCYPART_ARC
(15,3),-3.04787 # DEPENDENCYPART_ARC
(15,4),-2.50445 # DEPENDENCYPART_ARC
(15,5),-2.38846 # DEPENDENCYPART_ARC
(15,6),-2.66475 # DEPENDENCYPART_ARC
(15,7),-2.28632 # DEPENDENCYPART_ARC
(15,8),-1.91857 # DEPENDENCYPART_ARC
(15,9),-1.51872 # DEPENDENCYPART_ARC
(15,10),-1.69551 # DEPENDENCYPART_ARC
(15,11),-1.32123 # DEPENDENCYPART_ARC
(15,12),-1.11058 # DEPENDENCYPART_ARC
(15,13),-0.979999 # DEPENDENCYPART_ARC
(15,14),-0.575753 # DEPENDENCYPART_ARC
(15,16),0.750622 # DEPENDENCYPART_ARC
(15,17),-0.151077 # DEPENDENCYPART_ARC
(15,18),-0.365803 # DEPENDENCYPART_ARC
(15,19),-0.487294 # DEPENDENCYPART_ARC
(15,20),-0.974841 # DEPENDENCYPART_ARC
(15,21),-1.00556 # DEPENDENCYPART_ARC
(15,22),-1.62265 # DEPENDENCYPART_ARC
(15,23),-1.78342 # DEPENDENCYPART_ARC
(15,24),-0.813671 # DEPENDENCYPART_ARC
(15,25),-1.94344 # DEPENDENCYPART_ARC
(15,26),-1.9005 # DEPENDENCYPART_ARC
(15,27),-1.77989 # DEPENDENCYPART_ARC
(15,28),-1.35802 # DEPENDENCYPART_ARC
(16,1),-2.93927 # DEPENDENCYPART_ARC
(16,2),-1.6516 # DEPENDENCYPART_ARC
(16,3),-2.0765 # DEPENDENCYPART_ARC
(16,4),-1.91611 # DEPENDENCYPART_ARC
(16,5),-2.86012 # DEPENDENCYPART_ARC
(16,6),-2.35174 # DEPENDENCYPART_ARC
(16,7),-1.96464 # DEPENDENCYPART_ARC
(16,8),-1.07982 # DEPENDENCYPART_ARC
(16,9),0.0824416 # DEPENDENCYPART_ARC
(16,10),-1.02045 # DEPENDENCYPART_ARC
(16,11),-0.838429 # DEPENDENCYPART_ARC
(16,12),0.576703 # DEPENDENCYPART_ARC
(16,13),0.175312 # DEPENDENCYPART_ARC
(16,14),-0.240997 # DEPENDENCYPART_ARC
(16,15),4.13839 # DEPENDENCYPART_ARC
(16,17),1.66618 # DEPENDENCYPART_ARC
(16,18),1.69531 # DEPENDENCYPART_ARC
(16,19),1.59594 # DEPENDENCYPART_ARC
(16,20),0.62558 # DEPENDENCYPART_ARC
(16,21),1.18436 # DEPENDENCYPART_ARC
(16,22),-0.224055 # DEPENDENCYPART_ARC
(16,23),0.0193039 # DEPENDENCYPART_ARC
(16,24),0.0862632 # DEPENDENCYPART_ARC
(16,25),-0.173029 # DEPENDENCYPART_ARC
(16,26),-0.0668194 # DEPENDENCYPART_ARC
(16,27),-0.389263 # DEPENDENCYPART_ARC
(16,28),0.829211 # DEPENDENCYPART_ARC
(17,1),-2.79952 # DEPENDENCYPART_ARC
(17,2),-2.38437 # DEPENDENCYPART_ARC
(17,3),-1.54082 # DEPENDENCYPART_ARC
(17,4),-1.40354 # DEPENDENCYPART_ARC
(17,5),-1.6763 # DEPENDENCYPART_ARC
(17,6),-1.56082 # DEPENDENCYPART_ARC
(17,7),-1.21971 # DEPENDENCYPART_ARC
(17,8),-1.1651 # DEPENDENCYPART_ARC
(17,9),-0.175272 # DEPENDENCYPART_ARC
(17,10),-0.990921 # DEPENDENCYPART_ARC
(17,11),-1.11912 # DEPENDENCYPART_ARC
(17,12),-0.395085 # DEPENDENCYPART_ARC
(17,13),-0.211235 # DEPENDENCYPART_ARC
(17,14),-0.21713 # DEPENDENCYPART_ARC
(17,15),1.44342 # DEPENDENCYPART_ARC
(17,16),1.41608 # DEPENDENCYPART_ARC
(17,18),0.414257 # DEPENDENCYPART_ARC
(17,19),0.00353892 # DEPENDENCYPART_ARC
(17,20),-0.294814 # DEPENDENCYPART_ARC
(17,21),-0.715497 # DEPENDENCYPART_ARC
(17,22),-1.13707 # DEPENDENCYPART_ARC
(17,23),-0.863178 # DEPENDENCYPART_ARC
(17,24),-0.375797 # DEPENDENCYPART_ARC
(17,25),-1.01818 # DEPENDENCYPART_ARC
(17,26),-0.711076 # DEPENDENCYPART_ARC
(17,27),-1.26637 # DEPENDENCYPART_ARC
(17,28),-1.1744 # DEPENDENCYPART_ARC
(18,1),-2.20907 # DEPENDENCYPART_ARC
(18,2),-1.08312 # DEPENDENCYPART_ARC
(18,3),-1.43198 # DEPENDENCYPART_ARC
(18,4),-0.475867 # DEPENDENCYPART_ARC
(18,5),-2.40116 # DEPENDENCYPART_ARC
(18,6),-2.07534 # DEPENDENCYPART_ARC
(18,7),-1.94732 # DEPENDENCYPART_ARC
(18,8),-0.548769 # DEPENDENCYPART_ARC
(18,9),1.43066 # DEPENDENCYPART_ARC
(18,10),-0.608619 # DEPENDENCYPART_ARC
(18,11),-0.319393 # DEPENDENCYPART_ARC
(18,12),0.37666 # DEPENDENCYPART_ARC
(18,13),0.214881 # DEPENDENCYPART_ARC
(18,14),-0.126803 # DEPENDENCYPART_ARC
(18,15),2.46119 # DEPENDENCYPART_ARC
(18,16),1.74322 # DEPENDENCYPART_ARC
(18,17),3.81323 # DEPENDENCYPART_ARC
(18,19),2.59757 # DEPENDENCYPART_ARC
(18,20),1.99744 # DEPENDENCYPART_ARC
(18,21),1.73555 # DEPENDENCYPART_ARC
(18,22),0.667998 # DEPENDENCYPART_ARC
