# _root_ So any bearish indicator , such as Friday 's precipitous drop in the stock market , sends shivers through the oil markets as well .
#goldHeads=17,4,4,17,4,7,4,11,8,11,7,11,15,15,12,4,0,17,17,22,22,19,17,23,17,
#predictedHeads=17,4,4,1,4,7,4,11,8,11,7,11,15,15,12,11,0,17,17,22,22,19,17,23,17,
(1,21),-9.59632 # DEPENDENCYPART_ARC
(1,22),-8.69727 # DEPENDENCYPART_ARC
(1,23),-1.57036 # DEPENDENCYPART_ARC
(1,24),-3.98599 # DEPENDENCYPART_ARC
(1,25),-0.244766 # DEPENDENCYPART_ARC
(2,1),0.0756194 # DEPENDENCYPART_ARC
(2,3),0.441679 # DEPENDENCYPART_ARC
(2,4),-0.30722 # DEPENDENCYPART_ARC
(2,5),-0.752584 # DEPENDENCYPART_ARC
(2,6),-0.756277 # DEPENDENCYPART_ARC
(2,7),-0.440679 # DEPENDENCYPART_ARC
(2,8),-1.62331 # DEPENDENCYPART_ARC
(2,9),-1.89089 # DEPENDENCYPART_ARC
(2,10),-1.54576 # DEPENDENCYPART_ARC
(2,11),-1.78212 # DEPENDENCYPART_ARC
(2,12),-1.92956 # DEPENDENCYPART_ARC
(2,13),-2.68497 # DEPENDENCYPART_ARC
(2,14),-1.96679 # DEPENDENCYPART_ARC
(2,15),-2.05449 # DEPENDENCYPART_ARC
(2,16),-2.03179 # DEPENDENCYPART_ARC
(2,17),-3.19682 # DEPENDENCYPART_ARC
(2,18),-2.6652 # DEPENDENCYPART_ARC
(2,19),-3.12841 # DEPENDENCYPART_ARC
(2,20),-3.4288 # DEPENDENCYPART_ARC
(2,21),-2.54848 # DEPENDENCYPART_ARC
(2,22),-3.15223 # DEPENDENCYPART_ARC
(2,23),-1.75834 # DEPENDENCYPART_ARC
(2,24),-3.10253 # DEPENDENCYPART_ARC
(2,25),-1.65274 # DEPENDENCYPART_ARC
(3,1),0.324824 # DEPENDENCYPART_ARC
(3,2),1.52154 # DEPENDENCYPART_ARC
(3,4),0.956634 # DEPENDENCYPART_ARC
(3,5),0.216127 # DEPENDENCYPART_ARC
(3,6),-0.139698 # DEPENDENCYPART_ARC
(3,7),-0.330052 # DEPENDENCYPART_ARC
(3,8),-0.802841 # DEPENDENCYPART_ARC
(3,9),-0.615165 # DEPENDENCYPART_ARC
(3,10),-1.18451 # DEPENDENCYPART_ARC
(3,11),-0.900972 # DEPENDENCYPART_ARC
(3,12),-1.29363 # DEPENDENCYPART_ARC
(3,13),-2.07736 # DEPENDENCYPART_ARC
(3,14),-1.44119 # DEPENDENCYPART_ARC
(3,15),-1.80122 # DEPENDENCYPART_ARC
(3,16),-0.55961 # DEPENDENCYPART_ARC
(3,17),-0.855969 # DEPENDENCYPART_ARC
(3,18),-1.93266 # DEPENDENCYPART_ARC
(3,19),-2.62769 # DEPENDENCYPART_ARC
(3,20),-3.0217 # DEPENDENCYPART_ARC
(3,21),-2.54203 # DEPENDENCYPART_ARC
(3,22),-2.20627 # DEPENDENCYPART_ARC
(3,23),-2.51092 # DEPENDENCYPART_ARC
(3,24),-2.64358 # DEPENDENCYPART_ARC
(3,25),-0.779457 # DEPENDENCYPART_ARC
(4,1),0.0231367 # DEPENDENCYPART_ARC
(4,2),3.83905 # DEPENDENCYPART_ARC
(4,3),4.25057 # DEPENDENCYPART_ARC
(4,5),2.36913 # DEPENDENCYPART_ARC
(4,6),1.09418 # DEPENDENCYPART_ARC
(4,7),1.74013 # DEPENDENCYPART_ARC
(4,8),0.610681 # DEPENDENCYPART_ARC
(4,9),0.954612 # DEPENDENCYPART_ARC
(4,10),0.485905 # DEPENDENCYPART_ARC
(4,11),0.68133 # DEPENDENCYPART_ARC
(4,12),0.492593 # DEPENDENCYPART_ARC
(4,13),-0.375189 # DEPENDENCYPART_ARC
(4,14),-0.0251623 # DEPENDENCYPART_ARC
(4,15),0.951686 # DEPENDENCYPART_ARC
(4,16),2.27948 # DEPENDENCYPART_ARC
(4,17),-0.0453021 # DEPENDENCYPART_ARC
(4,18),-0.817777 # DEPENDENCYPART_ARC
(4,19),-0.382345 # DEPENDENCYPART_ARC
(4,20),-0.974022 # DEPENDENCYPART_ARC
(4,21),-1.40162 # DEPENDENCYPART_ARC
(4,22),-1.63493 # DEPENDENCYPART_ARC
(4,23),0.0720265 # DEPENDENCYPART_ARC
(4,24),0.376064 # DEPENDENCYPART_ARC
(4,25),0.702736 # DEPENDENCYPART_ARC
(5,1),-1.75174 # DEPENDENCYPART_ARC
(5,2),-0.951806 # DEPENDENCYPART_ARC
(5,3),-1.56633 # DEPENDENCYPART_ARC
(5,4),-1.2968 # DEPENDENCYPART_ARC
(5,6),-0.0766577 # DEPENDENCYPART_ARC
(5,7),-0.769682 # DEPENDENCYPART_ARC
(5,8),-0.745333 # DEPENDENCYPART_ARC
(5,9),-1.29254 # DEPENDENCYPART_ARC
(5,10),-1.48081 # DEPENDENCYPART_ARC
(5,11),-2.00726 # DEPENDENCYPART_ARC
(5,12),-1.36958 # DEPENDENCYPART_ARC
(5,13),-1.85926 # DEPENDENCYPART_ARC
(5,14),-2.30924 # DEPENDENCYPART_ARC
(5,15),-2.41662 # DEPENDENCYPART_ARC
(5,16),-0.845939 # DEPENDENCYPART_ARC
(5,17),-1.81406 # DEPENDENCYPART_ARC
(5,18),-2.66054 # DEPENDENCYPART_ARC
(5,19),-1.82681 # DEPENDENCYPART_ARC
(5,20),-2.58319 # DEPENDENCYPART_ARC
(5,21),-3.0445 # DEPENDENCYPART_ARC
(5,22),-3.06976 # DEPENDENCYPART_ARC
(5,23),-2.80952 # DEPENDENCYPART_ARC
(5,24),-2.95179 # DEPENDENCYPART_ARC
(5,25),-2.39214 # DEPENDENCYPART_ARC
(6,1),-0.815375 # DEPENDENCYPART_ARC
(6,2),0.694712 # DEPENDENCYPART_ARC
(6,3),0.407338 # DEPENDENCYPART_ARC
(6,4),-0.476845 # DEPENDENCYPART_ARC
(6,5),-0.177076 # DEPENDENCYPART_ARC
(6,7),1.63835 # DEPENDENCYPART_ARC
(6,8),0.616756 # DEPENDENCYPART_ARC
(6,9),0.671352 # DEPENDENCYPART_ARC
(6,10),0.155139 # DEPENDENCYPART_ARC
(6,11),0.00114439 # DEPENDENCYPART_ARC
(6,12),-0.0553592 # DEPENDENCYPART_ARC
(6,13),-1.06215 # DEPENDENCYPART_ARC
(6,14),-0.597905 # DEPENDENCYPART_ARC
(6,15),-0.728831 # DEPENDENCYPART_ARC
(6,16),0.20585 # DEPENDENCYPART_ARC
(6,17),-0.000164265 # DEPENDENCYPART_ARC
(6,18),-1.21439 # DEPENDENCYPART_ARC
(6,19),-1.64197 # DEPENDENCYPART_ARC
(6,20),-2.03389 # DEPENDENCYPART_ARC
(6,21),-1.595 # DEPENDENCYPART_ARC
(6,22),-1.46206 # DEPENDENCYPART_ARC
(6,23),-1.83518 # DEPENDENCYPART_ARC
(6,24),-1.90641 # DEPENDENCYPART_ARC
(6,25),-0.290759 # DEPENDENCYPART_ARC
(7,1),-0.647115 # DEPENDENCYPART_ARC
(7,2),-0.0344086 # DEPENDENCYPART_ARC
(7,3),0.395299 # DEPENDENCYPART_ARC
(7,4),-0.54523 # DEPENDENCYPART_ARC
(7,5),0.822698 # DEPENDENCYPART_ARC
(7,6),3.78181 # DEPENDENCYPART_ARC
(7,8),1.87427 # DEPENDENCYPART_ARC
(7,9),1.23058 # DEPENDENCYPART_ARC
(7,10),0.586738 # DEPENDENCYPART_ARC
(7,11),2.59433 # DEPENDENCYPART_ARC
(7,12),0.136219 # DEPENDENCYPART_ARC
(7,13),-1.48827 # DEPENDENCYPART_ARC
(7,14),-1.19258 # DEPENDENCYPART_ARC
(7,15),-0.597905 # DEPENDENCYPART_ARC
(7,16),1.13826 # DEPENDENCYPART_ARC
(7,17),1.62714 # DEPENDENCYPART_ARC
(7,18),-3.03245 # DEPENDENCYPART_ARC
(7,19),-1.33738 # DEPENDENCYPART_ARC
(7,20),-2.83589 # DEPENDENCYPART_ARC
(7,21),-6.07495 # DEPENDENCYPART_ARC
(7,22),-4.69372 # DEPENDENCYPART_ARC
(7,23),0.448251 # DEPENDENCYPART_ARC
(7,24),-2.28488 # DEPENDENCYPART_ARC
(7,25),-0.26683 # DEPENDENCYPART_ARC
(8,1),-3.12821 # DEPENDENCYPART_ARC
(8,2),-2.22871 # DEPENDENCYPART_ARC
(8,3),-1.06926 # DEPENDENCYPART_ARC
(8,4),-3.50951 # DEPENDENCYPART_ARC
(8,5),-1.65987 # DEPENDENCYPART_ARC
(8,6),-0.621794 # DEPENDENCYPART_ARC
(8,7),-0.737812 # DEPENDENCYPART_ARC
(8,9),4.24708 # DEPENDENCYPART_ARC
(8,10),1.67499 # DEPENDENCYPART_ARC
(8,11),-0.173658 # DEPENDENCYPART_ARC
(8,12),0.555103 # DEPENDENCYPART_ARC
(8,13),0.400907 # DEPENDENCYPART_ARC
(8,14),-1.17902 # DEPENDENCYPART_ARC
(8,15),-0.493071 # DEPENDENCYPART_ARC
(8,16),-0.159895 # DEPENDENCYPART_ARC
(8,17),-0.691231 # DEPENDENCYPART_ARC
(8,18),-1.40345 # DEPENDENCYPART_ARC
(8,19),-0.923764 # DEPENDENCYPART_ARC
(8,20),-0.493791 # DEPENDENCYPART_ARC
(8,21),-3.84652 # DEPENDENCYPART_ARC
(8,22),-1.87557 # DEPENDENCYPART_ARC
(8,23),-1.35276 # DEPENDENCYPART_ARC
(8,24),-1.5838 # DEPENDENCYPART_ARC
(8,25),0.0934132 # DEPENDENCYPART_ARC
(9,1),-0.469667 # DEPENDENCYPART_ARC
(9,2),0.0524198 # DEPENDENCYPART_ARC
(9,3),-0.355949 # DEPENDENCYPART_ARC
(9,4),-0.706334 # DEPENDENCYPART_ARC
(9,5),-0.031081 # DEPENDENCYPART_ARC
(9,6),0.522139 # DEPENDENCYPART_ARC
(9,7),0.538861 # DEPENDENCYPART_ARC
(9,8),1.79995 # DEPENDENCYPART_ARC
(9,10),0.11417 # DEPENDENCYPART_ARC
(9,11),-0.787127 # DEPENDENCYPART_ARC
(9,12),-0.951157 # DEPENDENCYPART_ARC
(9,13),-1.38586 # DEPENDENCYPART_ARC
(9,14),-1.37863 # DEPENDENCYPART_ARC
(9,15),-1.6085 # DEPENDENCYPART_ARC
(9,16),-0.784109 # DEPENDENCYPART_ARC
(9,17),-1.66504 # DEPENDENCYPART_ARC
(9,18),-2.73136 # DEPENDENCYPART_ARC
(9,19),-1.90304 # DEPENDENCYPART_ARC
(9,20),-1.85453 # DEPENDENCYPART_ARC
(9,21),-2.10118 # DEPENDENCYPART_ARC
(9,22),-3.33339 # DEPENDENCYPART_ARC
(9,23),-1.77761 # DEPENDENCYPART_ARC
(9,24),-2.19752 # DEPENDENCYPART_ARC
(9,25),-2.05899 # DEPENDENCYPART_ARC
(10,1),-1.22702 # DEPENDENCYPART_ARC
(10,2),-0.252688 # DEPENDENCYPART_ARC
(10,3),-0.0800764 # DEPENDENCYPART_ARC
(10,4),-1.0792 # DEPENDENCYPART_ARC
(10,5),-0.177242 # DEPENDENCYPART_ARC
(10,6),0.350505 # DEPENDENCYPART_ARC
(10,7),0.380183 # DEPENDENCYPART_ARC
(10,8),0.866685 # DEPENDENCYPART_ARC
(10,9),0.887441 # DEPENDENCYPART_ARC
(10,11),1.25864 # DEPENDENCYPART_ARC
(10,12),-0.375482 # DEPENDENCYPART_ARC
(10,13),-1.11956 # DEPENDENCYPART_ARC
(10,14),-0.489632 # DEPENDENCYPART_ARC
(10,15),-0.997811 # DEPENDENCYPART_ARC
(10,16),-0.582426 # DEPENDENCYPART_ARC
(10,17),-0.357775 # DEPENDENCYPART_ARC
(10,18),-1.26432 # DEPENDENCYPART_ARC
(10,19),-1.98839 # DEPENDENCYPART_ARC
(10,20),-2.22346 # DEPENDENCYPART_ARC
(10,21),-1.84621 # DEPENDENCYPART_ARC
(10,22),-1.54685 # DEPENDENCYPART_ARC
(10,23),-2.03983 # DEPENDENCYPART_ARC
(10,24),-2.11395 # DEPENDENCYPART_ARC
(10,25),-0.441475 # DEPENDENCYPART_ARC
(11,1),-1.32531 # DEPENDENCYPART_ARC
(11,2),1.3272 # DEPENDENCYPART_ARC
(11,3),1.18013 # DEPENDENCYPART_ARC
(11,4),-0.565803 # DEPENDENCYPART_ARC
(11,5),0.396201 # DEPENDENCYPART_ARC
(11,6),0.834843 # DEPENDENCYPART_ARC
(11,7),0.634201 # DEPENDENCYPART_ARC
(11,8),5.06597 # DEPENDENCYPART_ARC
(11,9),1.91663 # DEPENDENCYPART_ARC
(11,10),4.16391 # DEPENDENCYPART_ARC
(11,12),3.67997 # DEPENDENCYPART_ARC
(11,13),0.757664 # DEPENDENCYPART_ARC
(11,14),1.48244 # DEPENDENCYPART_ARC
(11,15),1.3923 # DEPENDENCYPART_ARC
(11,16),2.34512 # DEPENDENCYPART_ARC
(11,17),1.16699 # DEPENDENCYPART_ARC
(11,18),0.192604 # DEPENDENCYPART_ARC
(11,19),1.32064 # DEPENDENCYPART_ARC
(11,20),0.144505 # DEPENDENCYPART_ARC
(11,21),0.109774 # DEPENDENCYPART_ARC
(11,22),-0.821089 # DEPENDENCYPART_ARC
(11,23),1.22935 # DEPENDENCYPART_ARC
(11,24),1.16233 # DEPENDENCYPART_ARC
(11,25),0.900034 # DEPENDENCYPART_ARC
(12,1),-1.82471 # DEPENDENCYPART_ARC
(12,2),-1.11883 # DEPENDENCYPART_ARC
(12,3),-1.20978 # DEPENDENCYPART_ARC
(12,4),-2.04316 # DEPENDENCYPART_ARC
(12,5),-0.911114 # DEPENDENCYPART_ARC
(12,6),0.18545 # DEPENDENCYPART_ARC
(12,7),-0.321955 # DEPENDENCYPART_ARC
(12,8),-0.606715 # DEPENDENCYPART_ARC
(12,9),0.070061 # DEPENDENCYPART_ARC
(12,10),-0.332119 # DEPENDENCYPART_ARC
(12,11),-0.0540384 # DEPENDENCYPART_ARC
(12,13),0.396326 # DEPENDENCYPART_ARC
(12,14),2.07836 # DEPENDENCYPART_ARC
(12,15),4.28659 # DEPENDENCYPART_ARC
(12,16),0.485107 # DEPENDENCYPART_ARC
(12,17),-0.16079 # DEPENDENCYPART_ARC
(12,18),-1.12827 # DEPENDENCYPART_ARC
(12,19),-0.23585 # DEPENDENCYPART_ARC
(12,20),-2.1955 # DEPENDENCYPART_ARC
(12,21),-4.50429 # DEPENDENCYPART_ARC
(12,22),-2.69615 # DEPENDENCYPART_ARC
(12,23),0.376826 # DEPENDENCYPART_ARC
(12,24),-1.41849 # DEPENDENCYPART_ARC
(12,25),-0.590176 # DEPENDENCYPART_ARC
(13,1),-3.94226 # DEPENDENCYPART_ARC
(13,2),-3.55589 # DEPENDENCYPART_ARC
(13,3),-3.68179 # DEPENDENCYPART_ARC
(13,4),-4.04584 # DEPENDENCYPART_ARC
(13,5),-3.48333 # DEPENDENCYPART_ARC
(13,6),-3.38116 # DEPENDENCYPART_ARC
(13,7),-2.88249 # DEPENDENCYPART_ARC
(13,8),-3.15756 # DEPENDENCYPART_ARC
(13,9),-2.83417 # DEPENDENCYPART_ARC
(13,10),-2.40046 # DEPENDENCYPART_ARC
(13,11),-2.81035 # DEPENDENCYPART_ARC
(13,12),-1.52528 # DEPENDENCYPART_ARC
(13,14),0.184989 # DEPENDENCYPART_ARC
(13,15),-0.698637 # DEPENDENCYPART_ARC
(13,16),-1.48039 # DEPENDENCYPART_ARC
(13,17),-1.32733 # DEPENDENCYPART_ARC
(13,18),-1.88307 # DEPENDENCYPART_ARC
(13,19),-2.23235 # DEPENDENCYPART_ARC
(13,20),-2.72306 # DEPENDENCYPART_ARC
(13,21),-1.74744 # DEPENDENCYPART_ARC
(13,22),-2.54658 # DEPENDENCYPART_ARC
(13,23),-1.95568 # DEPENDENCYPART_ARC
(13,24),-2.6434 # DEPENDENCYPART_ARC
(13,25),-1.74311 # DEPENDENCYPART_ARC
(14,1),-3.68923 # DEPENDENCYPART_ARC
(14,2),-4.61896 # DEPENDENCYPART_ARC
(14,3),-3.6166 # DEPENDENCYPART_ARC
(14,4),-4.49244 # DEPENDENCYPART_ARC
(14,5),-2.37962 # DEPENDENCYPART_ARC
(14,6),-3.45336 # DEPENDENCYPART_ARC
(14,7),-2.37981 # DEPENDENCYPART_ARC
(14,8),-0.639112 # DEPENDENCYPART_ARC
(14,9),-1.70294 # DEPENDENCYPART_ARC
(14,10),-1.75144 # DEPENDENCYPART_ARC
(14,11),-2.53913 # DEPENDENCYPART_ARC
(14,12),-0.593732 # DEPENDENCYPART_ARC
(14,13),2.88546 # DEPENDENCYPART_ARC
(14,15),0.121857 # DEPENDENCYPART_ARC
(14,16),-0.240098 # DEPENDENCYPART_ARC
(14,17),-0.248969 # DEPENDENCYPART_ARC
(14,18),-1.69104 # DEPENDENCYPART_ARC
(14,19),-1.6988 # DEPENDENCYPART_ARC
(14,20),-1.58581 # DEPENDENCYPART_ARC
(14,21),-2.01313 # DEPENDENCYPART_ARC
(14,22),-2.34035 # DEPENDENCYPART_ARC
(14,23),-1.116 # DEPENDENCYPART_ARC
(14,24),-1.01694 # DEPENDENCYPART_ARC
(14,25),-0.435109 # DEPENDENCYPART_ARC
(15,1),-2.53138 # DEPENDENCYPART_ARC
(15,2),-1.03972 # DEPENDENCYPART_ARC
(15,3),-0.470258 # DEPENDENCYPART_ARC
(15,4),-2.1555 # DEPENDENCYPART_ARC
(15,5),-0.891665 # DEPENDENCYPART_ARC
(15,6),-0.810784 # DEPENDENCYPART_ARC
(15,7),-0.799953 # DEPENDENCYPART_ARC
(15,8),2.14254 # DEPENDENCYPART_ARC
(15,9),-0.223754 # DEPENDENCYPART_ARC
(15,10),1.28423 # DEPENDENCYPART_ARC
(15,11),-0.269111 # DEPENDENCYPART_ARC
(15,12),0.696956 # DEPENDENCYPART_ARC
(15,13),5.27475 # DEPENDENCYPART_ARC
(15,14),4.88047 # DEPENDENCYPART_ARC
(15,16),0.72947 # DEPENDENCYPART_ARC
(15,17),0.420241 # DEPENDENCYPART_ARC
(15,18),-0.948849 # DEPENDENCYPART_ARC
(15,19),-1.1677 # DEPENDENCYPART_ARC
(15,20),-1.71769 # DEPENDENCYPART_ARC
(15,21),-1.37552 # DEPENDENCYPART_ARC
(15,22),-1.71427 # DEPENDENCYPART_ARC
(15,23),-0.490348 # DEPENDENCYPART_ARC
(15,24),-0.903386 # DEPENDENCYPART_ARC
(15,25),0.00742302 # DEPENDENCYPART_ARC
(16,1),-2.42915 # DEPENDENCYPART_ARC
(16,2),-2.14788 # DEPENDENCYPART_ARC
(16,3),-2.29878 # DEPENDENCYPART_ARC
(16,4),-1.79878 # DEPENDENCYPART_ARC
(16,5),-0.346646 # DEPENDENCYPART_ARC
(16,6),-1.94649 # DEPENDENCYPART_ARC
(16,7),-1.72141 # DEPENDENCYPART_ARC
(16,8),-1.97918 # DEPENDENCYPART_ARC
(16,9),-1.6346 # DEPENDENCYPART_ARC
(16,10),-1.48448 # DEPENDENCYPART_ARC
(16,11),-1.43317 # DEPENDENCYPART_ARC
(16,12),-1.29607 # DEPENDENCYPART_ARC
(16,13),-0.458854 # DEPENDENCYPART_ARC
(16,14),-1.36188 # DEPENDENCYPART_ARC
(16,15),-0.733078 # DEPENDENCYPART_ARC
(16,17),-0.285167 # DEPENDENCYPART_ARC
(16,18),-1.34879 # DEPENDENCYPART_ARC
(16,19),-1.48273 # DEPENDENCYPART_ARC
(16,20),-2.11737 # DEPENDENCYPART_ARC
(16,21),-2.27897 # DEPENDENCYPART_ARC
(16,22),-2.50528 # DEPENDENCYPART_ARC
(16,23),-2.30865 # DEPENDENCYPART_ARC
(16,24),-2.48548 # DEPENDENCYPART_ARC
(16,25),-2.02078 # DEPENDENCYPART_ARC
(17,1),2.11306 # DEPENDENCYPART_ARC
(17,2),-1.07398 # DEPENDENCYPART_ARC
(17,3),-0.0840138 # DEPENDENCYPART_ARC
(17,4),0.613944 # DEPENDENCYPART_ARC
(17,5),1.27806 # DEPENDENCYPART_ARC
(17,6),0.272251 # DEPENDENCYPART_ARC
(17,7),1.35509 # DEPENDENCYPART_ARC
(17,8),1.336 # DEPENDENCYPART_ARC
(17,9),-0.212222 # DEPENDENCYPART_ARC
(17,10),0.333246 # DEPENDENCYPART_ARC
(17,11),1.05869 # DEPENDENCYPART_ARC
(17,12),1.12511 # DEPENDENCYPART_ARC
(17,13),0.387023 # DEPENDENCYPART_ARC
(17,14),1.79042 # DEPENDENCYPART_ARC
(17,15),1.51371 # DEPENDENCYPART_ARC
(17,16),1.90012 # DEPENDENCYPART_ARC
(17,18),3.41836 # DEPENDENCYPART_ARC
(17,19),2.54597 # DEPENDENCYPART_ARC
(17,20),0.331642 # DEPENDENCYPART_ARC
(17,21),1.33992 # DEPENDENCYPART_ARC
(17,22),1.09723 # DEPENDENCYPART_ARC
(17,23),1.55755 # DEPENDENCYPART_ARC
(17,24),1.38444 # DEPENDENCYPART_ARC
(17,25),6.37828 # DEPENDENCYPART_ARC
(18,1),-2.07724 # DEPENDENCYPART_ARC
(18,2),-3.33979 # DEPENDENCYPART_ARC
(18,3),-2.76887 # DEPENDENCYPART_ARC
(18,4),-3.06737 # DEPENDENCYPART_ARC
(18,5),-1.25321 # DEPENDENCYPART_ARC
(18,6),-3.28289 # DEPENDENCYPART_ARC
(18,7),-1.71281 # DEPENDENCYPART_ARC
(18,8),-0.525732 # DEPENDENCYPART_ARC
(18,9),-1.53422 # DEPENDENCYPART_ARC
(18,10),-1.1777 # DEPENDENCYPART_ARC
(18,11),-1.87478 # DEPENDENCYPART_ARC
(18,12),-1.45747 # DEPENDENCYPART_ARC
(18,13),1.35685 # DEPENDENCYPART_ARC
(18,14),0.985876 # DEPENDENCYPART_ARC
(18,15),-0.662852 # DEPENDENCYPART_ARC
(18,16),0.229033 # DEPENDENCYPART_ARC
(18,17),0.462982 # DEPENDENCYPART_ARC
(18,19),1.46023 # DEPENDENCYPART_ARC
(18,20),0.057825 # DEPENDENCYPART_ARC
(18,21),0.812638 # DEPENDENCYPART_ARC
(18,22),0.601358 # DEPENDENCYPART_ARC
(18,23),0.248609 # DEPENDENCYPART_ARC
(18,24),0.748705 # DEPENDENCYPART_ARC
(18,25),0.957594 # DEPENDENCYPART_ARC
(19,1),-2.49686 # DEPENDENCYPART_ARC
(19,2),-2.32736 # DEPENDENCYPART_ARC
(19,3),-1.8241 # DEPENDENCYPART_ARC
(19,4),-3.04472 # DEPENDENCYPART_ARC
(19,5),-1.95098 # DEPENDENCYPART_ARC
(19,6),-0.534308 # DEPENDENCYPART_ARC
(19,7),-1.14325 # DEPENDENCYPART_ARC
(19,8),-1.69346 # DEPENDENCYPART_ARC
(19,9),-0.898938 # DEPENDENCYPART_ARC
(19,10),-0.88781 # DEPENDENCYPART_ARC
(19,11),-1.33419 # DEPENDENCYPART_ARC
(19,12),-0.512279 # DEPENDENCYPART_ARC
(19,13),-0.489582 # DEPENDENCYPART_ARC
(19,14),-0.501809 # DEPENDENCYPART_ARC
(19,15),-1.23549 # DEPENDENCYPART_ARC
(19,16),-0.0178672 # DEPENDENCYPART_ARC
(19,17),-0.0364958 # DEPENDENCYPART_ARC
(19,18),0.752817 # DEPENDENCYPART_ARC
(19,20),0.545889 # DEPENDENCYPART_ARC
(19,21),2.4193 # DEPENDENCYPART_ARC
(19,22),3.2841 # DEPENDENCYPART_ARC
(19,23),0.343023 # DEPENDENCYPART_ARC
(19,24),-0.448985 # DEPENDENCYPART_ARC
(19,25),0.20587 # DEPENDENCYPART_ARC
(20,1),-4.06553 # DEPENDENCYPART_ARC
(20,2),-3.58543 # DEPENDENCYPART_ARC
(20,3),-3.816 # DEPENDENCYPART_ARC
(20,4),-4.23587 # DEPENDENCYPART_ARC
(20,5),-3.46736 # DEPENDENCYPART_ARC
(20,6),-3.55994 # DEPENDENCYPART_ARC
(20,7),-3.07672 # DEPENDENCYPART_ARC
(20,8),-3.4369 # DEPENDENCYPART_ARC
(20,9),-3.18578 # DEPENDENCYPART_ARC
(20,10),-2.96795 # DEPENDENCYPART_ARC
(20,11),-3.34301 # DEPENDENCYPART_ARC
(20,12),-2.80313 # DEPENDENCYPART_ARC
(20,13),-2.07923 # DEPENDENCYPART_ARC
(20,14),-2.9308 # DEPENDENCYPART_ARC
(20,15),-2.68968 # DEPENDENCYPART_ARC
(20,16),-2.00619 # DEPENDENCYPART_ARC
(20,17),-1.97446 # DEPENDENCYPART_ARC
(20,18),-1.83038 # DEPENDENCYPART_ARC
(20,19),-0.29326 # DEPENDENCYPART_ARC
(20,21),0.319799 # DEPENDENCYPART_ARC
(20,22),-1.18407 # DEPENDENCYPART_ARC
(20,23),-1.52244 # DEPENDENCYPART_ARC
(20,24),-1.79442 # DEPENDENCYPART_ARC
(20,25),-1.89236 # DEPENDENCYPART_ARC
(21,1),-5.2145 # DEPENDENCYPART_ARC
(21,2),-7.76041 # DEPENDENCYPART_ARC
(21,3),-6.36163 # DEPENDENCYPART_ARC
(21,4),-7.93236 # DEPENDENCYPART_ARC
(21,5),-3.8924 # DEPENDENCYPART_ARC
