# _root_ Still , the market had n't yet crossed into positive territory , and traders were glum .
#goldHeads=0,1,4,5,1,5,5,5,8,11,9,5,5,15,13,15,1,
#predictedHeads=5,5,4,5,0,5,5,5,8,11,9,5,5,15,13,15,5,
(15,3),-0.474112 # DEPENDENCYPART_ARC
(15,4),0.390647 # DEPENDENCYPART_ARC
(15,5),-0.443727 # DEPENDENCYPART_ARC
(15,6),0.558236 # DEPENDENCYPART_ARC
(15,7),0.764 # DEPENDENCYPART_ARC
(15,8),0.921061 # DEPENDENCYPART_ARC
(15,9),0.687618 # DEPENDENCYPART_ARC
(15,10),1.26504 # DEPENDENCYPART_ARC
(15,11),0.977639 # DEPENDENCYPART_ARC
(15,12),1.27575 # DEPENDENCYPART_ARC
(15,13),0.635845 # DEPENDENCYPART_ARC
(15,14),4.53849 # DEPENDENCYPART_ARC
(15,16),3.40146 # DEPENDENCYPART_ARC
(15,17),3.50712 # DEPENDENCYPART_ARC
(16,1),-3.57004 # DEPENDENCYPART_ARC
(16,2),-1.54912 # DEPENDENCYPART_ARC
(16,3),-1.2452 # DEPENDENCYPART_ARC
(16,4),-1.26343 # DEPENDENCYPART_ARC
(16,5),-2.14745 # DEPENDENCYPART_ARC
(16,6),-2.05544 # DEPENDENCYPART_ARC
(16,7),-1.67649 # DEPENDENCYPART_ARC
(16,8),-1.36088 # DEPENDENCYPART_ARC
(16,9),-0.629402 # DEPENDENCYPART_ARC
(16,10),-0.0639748 # DEPENDENCYPART_ARC
(16,11),-0.576338 # DEPENDENCYPART_ARC
(16,12),-0.225732 # DEPENDENCYPART_ARC
(16,13),-0.40316 # DEPENDENCYPART_ARC
(16,14),0.29416 # DEPENDENCYPART_ARC
(16,15),0.278079 # DEPENDENCYPART_ARC
(16,17),0.503303 # DEPENDENCYPART_ARC
(17,1),-1.88645 # DEPENDENCYPART_ARC
(17,2),-0.99979 # DEPENDENCYPART_ARC
(17,3),-1.97504 # DEPENDENCYPART_ARC
(17,4),-2.18993 # DEPENDENCYPART_ARC
(17,5),-1.37122 # DEPENDENCYPART_ARC
(17,6),-1.83522 # DEPENDENCYPART_ARC
(17,7),-1.79553 # DEPENDENCYPART_ARC
(17,8),-1.52231 # DEPENDENCYPART_ARC
(17,9),-1.62187 # DEPENDENCYPART_ARC
(17,10),-1.69573 # DEPENDENCYPART_ARC
(17,11),-1.53801 # DEPENDENCYPART_ARC
(17,12),-0.774379 # DEPENDENCYPART_ARC
(17,13),-1.36272 # DEPENDENCYPART_ARC
(17,14),-1.22467 # DEPENDENCYPART_ARC
(17,15),-1.34404 # DEPENDENCYPART_ARC
(17,16),-1.09401 # DEPENDENCYPART_ARC
