# _root_ `` The first thing that caught my eye that was encouraging was Treasury bonds were off , '' says Austin George , head of stock trading at T. Rowe Price .
#goldHeads=12,4,4,12,6,4,8,6,10,4,10,19,14,15,12,15,12,12,0,21,19,21,21,23,24,25,23,30,30,27,19,
#predictedHeads=19,4,4,12,6,4,8,6,10,4,10,15,14,15,19,15,19,19,0,21,19,21,21,23,24,25,26,30,30,27,19,
(5,4),-0.672597 # DEPENDENCYPART_ARC
(5,6),1.91621 # DEPENDENCYPART_ARC
(5,7),-0.640717 # DEPENDENCYPART_ARC
(5,8),-0.867357 # DEPENDENCYPART_ARC
(5,9),-1.11084 # DEPENDENCYPART_ARC
(5,10),0.486793 # DEPENDENCYPART_ARC
(5,11),-1.09816 # DEPENDENCYPART_ARC
(5,12),-0.119364 # DEPENDENCYPART_ARC
(5,13),-2.33019 # DEPENDENCYPART_ARC
(5,14),-2.50216 # DEPENDENCYPART_ARC
(5,15),-0.144859 # DEPENDENCYPART_ARC
(5,16),-1.87961 # DEPENDENCYPART_ARC
(5,17),0.645118 # DEPENDENCYPART_ARC
(5,18),-0.709799 # DEPENDENCYPART_ARC
(5,19),-1.60168 # DEPENDENCYPART_ARC
(5,20),-3.3491 # DEPENDENCYPART_ARC
(5,21),-3.70442 # DEPENDENCYPART_ARC
(5,22),0.356097 # DEPENDENCYPART_ARC
(5,23),-1.85013 # DEPENDENCYPART_ARC
(5,24),-0.829373 # DEPENDENCYPART_ARC
(5,25),-1.8909 # DEPENDENCYPART_ARC
(5,26),-1.73566 # DEPENDENCYPART_ARC
(5,27),-1.36512 # DEPENDENCYPART_ARC
(5,28),-4.77527 # DEPENDENCYPART_ARC
(5,29),-5.12716 # DEPENDENCYPART_ARC
(5,30),-5.48188 # DEPENDENCYPART_ARC
(5,31),-1.31994 # DEPENDENCYPART_ARC
(6,1),0.484185 # DEPENDENCYPART_ARC
(6,2),-0.696516 # DEPENDENCYPART_ARC
(6,3),-0.0271478 # DEPENDENCYPART_ARC
(6,4),-0.101819 # DEPENDENCYPART_ARC
(6,5),3.87708 # DEPENDENCYPART_ARC
(6,7),1.34893 # DEPENDENCYPART_ARC
(6,8),3.27355 # DEPENDENCYPART_ARC
(6,9),0.225469 # DEPENDENCYPART_ARC
(6,10),1.63607 # DEPENDENCYPART_ARC
(6,11),1.49596 # DEPENDENCYPART_ARC
(6,12),1.21708 # DEPENDENCYPART_ARC
(6,13),0.648661 # DEPENDENCYPART_ARC
(6,14),0.898463 # DEPENDENCYPART_ARC
(6,15),0.616129 # DEPENDENCYPART_ARC
(6,16),0.890609 # DEPENDENCYPART_ARC
(6,17),0.812563 # DEPENDENCYPART_ARC
(6,18),2.11753 # DEPENDENCYPART_ARC
(6,19),1.07824 # DEPENDENCYPART_ARC
(6,20),-1.05502 # DEPENDENCYPART_ARC
(6,21),-0.573226 # DEPENDENCYPART_ARC
(6,22),-0.605134 # DEPENDENCYPART_ARC
(6,23),-0.955593 # DEPENDENCYPART_ARC
(6,24),-1.87625 # DEPENDENCYPART_ARC
(6,25),-1.75432 # DEPENDENCYPART_ARC
(6,26),-0.411994 # DEPENDENCYPART_ARC
(6,27),-3.20819 # DEPENDENCYPART_ARC
(6,28),-3.07859 # DEPENDENCYPART_ARC
(6,29),-2.897 # DEPENDENCYPART_ARC
(6,30),-2.78232 # DEPENDENCYPART_ARC
(6,31),2.5355 # DEPENDENCYPART_ARC
(7,1),-1.65617 # DEPENDENCYPART_ARC
(7,2),-1.11366 # DEPENDENCYPART_ARC
(7,3),-1.18177 # DEPENDENCYPART_ARC
(7,4),-1.06302 # DEPENDENCYPART_ARC
(7,5),-0.283802 # DEPENDENCYPART_ARC
(7,6),-0.442501 # DEPENDENCYPART_ARC
(7,8),0.623097 # DEPENDENCYPART_ARC
(7,9),-0.472162 # DEPENDENCYPART_ARC
(7,10),-0.0984928 # DEPENDENCYPART_ARC
(7,11),-0.627638 # DEPENDENCYPART_ARC
(7,12),-0.542589 # DEPENDENCYPART_ARC
(7,13),-1.32081 # DEPENDENCYPART_ARC
(7,14),-0.977525 # DEPENDENCYPART_ARC
(7,15),-0.918028 # DEPENDENCYPART_ARC
(7,16),-1.28762 # DEPENDENCYPART_ARC
(7,17),-0.764895 # DEPENDENCYPART_ARC
(7,18),-0.797166 # DEPENDENCYPART_ARC
(7,19),-1.2772 # DEPENDENCYPART_ARC
(7,20),-2.08951 # DEPENDENCYPART_ARC
(7,21),-2.20884 # DEPENDENCYPART_ARC
(7,22),-1.26652 # DEPENDENCYPART_ARC
(7,23),-2.18341 # DEPENDENCYPART_ARC
(7,24),-1.97341 # DEPENDENCYPART_ARC
(7,25),-2.41428 # DEPENDENCYPART_ARC
(7,26),-2.10577 # DEPENDENCYPART_ARC
(7,27),-2.30013 # DEPENDENCYPART_ARC
(7,28),-2.87886 # DEPENDENCYPART_ARC
(7,29),-3.03646 # DEPENDENCYPART_ARC
(7,30),-3.13972 # DEPENDENCYPART_ARC
(7,31),-2.12129 # DEPENDENCYPART_ARC
(8,1),-0.976306 # DEPENDENCYPART_ARC
(8,2),0.736764 # DEPENDENCYPART_ARC
(8,3),1.35873 # DEPENDENCYPART_ARC
(8,4),-0.202296 # DEPENDENCYPART_ARC
(8,5),0.671173 # DEPENDENCYPART_ARC
(8,6),0.12717 # DEPENDENCYPART_ARC
(8,7),4.06867 # DEPENDENCYPART_ARC
(8,9),0.363725 # DEPENDENCYPART_ARC
(8,10),2.6326 # DEPENDENCYPART_ARC
(8,11),0.508308 # DEPENDENCYPART_ARC
(8,12),1.08465 # DEPENDENCYPART_ARC
(8,13),-0.365569 # DEPENDENCYPART_ARC
(8,14),-0.44462 # DEPENDENCYPART_ARC
(8,15),-0.0326915 # DEPENDENCYPART_ARC
(8,16),-0.68485 # DEPENDENCYPART_ARC
(8,17),-0.357388 # DEPENDENCYPART_ARC
(8,18),0.0792179 # DEPENDENCYPART_ARC
(8,19),-0.660605 # DEPENDENCYPART_ARC
(8,20),-1.78617 # DEPENDENCYPART_ARC
(8,21),-1.27629 # DEPENDENCYPART_ARC
(8,22),-0.546552 # DEPENDENCYPART_ARC
(8,23),-1.56504 # DEPENDENCYPART_ARC
(8,24),-3.7946 # DEPENDENCYPART_ARC
(8,25),-2.92527 # DEPENDENCYPART_ARC
(8,26),-1.8226 # DEPENDENCYPART_ARC
(8,27),-3.38685 # DEPENDENCYPART_ARC
(8,28),-2.68259 # DEPENDENCYPART_ARC
(8,29),-2.66158 # DEPENDENCYPART_ARC
(8,30),-3.20468 # DEPENDENCYPART_ARC
(8,31),1.32304 # DEPENDENCYPART_ARC
(9,1),-1.31904 # DEPENDENCYPART_ARC
(9,2),-0.948282 # DEPENDENCYPART_ARC
(9,3),-1.08575 # DEPENDENCYPART_ARC
(9,4),-1.52775 # DEPENDENCYPART_ARC
(9,5),-0.417316 # DEPENDENCYPART_ARC
(9,6),-0.798247 # DEPENDENCYPART_ARC
(9,7),0.296573 # DEPENDENCYPART_ARC
(9,8),-0.269907 # DEPENDENCYPART_ARC
(9,10),1.09794 # DEPENDENCYPART_ARC
(9,11),-1.3707 # DEPENDENCYPART_ARC
(9,12),-0.367298 # DEPENDENCYPART_ARC
(9,13),-2.36398 # DEPENDENCYPART_ARC
(9,14),-2.61695 # DEPENDENCYPART_ARC
(9,15),-0.560141 # DEPENDENCYPART_ARC
(9,16),-2.35088 # DEPENDENCYPART_ARC
(9,17),-0.180652 # DEPENDENCYPART_ARC
(9,18),-1.41015 # DEPENDENCYPART_ARC
(9,19),-1.88116 # DEPENDENCYPART_ARC
(9,20),-3.91492 # DEPENDENCYPART_ARC
(9,21),-4.30323 # DEPENDENCYPART_ARC
(9,22),-0.546215 # DEPENDENCYPART_ARC
(9,23),-2.40093 # DEPENDENCYPART_ARC
(9,24),-1.55413 # DEPENDENCYPART_ARC
(9,25),-2.4505 # DEPENDENCYPART_ARC
(9,26),-2.49145 # DEPENDENCYPART_ARC
(9,27),-1.99694 # DEPENDENCYPART_ARC
(9,28),-5.28549 # DEPENDENCYPART_ARC
(9,29),-5.59672 # DEPENDENCYPART_ARC
(9,30),-6.01304 # DEPENDENCYPART_ARC
(9,31),-1.86272 # DEPENDENCYPART_ARC
(10,1),0.154871 # DEPENDENCYPART_ARC
(10,2),-1.50955 # DEPENDENCYPART_ARC
(10,3),-0.966243 # DEPENDENCYPART_ARC
(10,4),0.337509 # DEPENDENCYPART_ARC
(10,5),1.82117 # DEPENDENCYPART_ARC
(10,6),-0.823146 # DEPENDENCYPART_ARC
(10,7),0.246825 # DEPENDENCYPART_ARC
(10,8),0.485905 # DEPENDENCYPART_ARC
(10,9),3.99448 # DEPENDENCYPART_ARC
(10,11),3.01016 # DEPENDENCYPART_ARC
(10,12),1.68193 # DEPENDENCYPART_ARC
(10,13),0.951561 # DEPENDENCYPART_ARC
(10,14),0.393678 # DEPENDENCYPART_ARC
(10,15),0.452116 # DEPENDENCYPART_ARC
(10,16),1.0536 # DEPENDENCYPART_ARC
(10,17),0.461041 # DEPENDENCYPART_ARC
(10,18),1.04746 # DEPENDENCYPART_ARC
(10,19),-0.0150317 # DEPENDENCYPART_ARC
(10,20),-1.34111 # DEPENDENCYPART_ARC
(10,21),-0.959771 # DEPENDENCYPART_ARC
(10,22),-1.18632 # DEPENDENCYPART_ARC
(10,23),-1.26772 # DEPENDENCYPART_ARC
(10,24),-2.24868 # DEPENDENCYPART_ARC
(10,25),-2.05436 # DEPENDENCYPART_ARC
(10,26),-0.497023 # DEPENDENCYPART_ARC
(10,27),-3.24922 # DEPENDENCYPART_ARC
(10,28),-3.64141 # DEPENDENCYPART_ARC
(10,29),-3.43481 # DEPENDENCYPART_ARC
(10,30),-3.10168 # DEPENDENCYPART_ARC
(10,31),1.31205 # DEPENDENCYPART_ARC
(11,1),-0.652672 # DEPENDENCYPART_ARC
(11,2),0.0976392 # DEPENDENCYPART_ARC
(11,3),-0.954012 # DEPENDENCYPART_ARC
(11,4),-0.790384 # DEPENDENCYPART_ARC
(11,5),0.92007 # DEPENDENCYPART_ARC
(11,6),-0.531458 # DEPENDENCYPART_ARC
(11,7),0.907375 # DEPENDENCYPART_ARC
(11,8),0.411948 # DEPENDENCYPART_ARC
(11,9),1.76193 # DEPENDENCYPART_ARC
(11,10),0.484263 # DEPENDENCYPART_ARC
(11,12),2.36582 # DEPENDENCYPART_ARC
(11,13),1.08171 # DEPENDENCYPART_ARC
(11,14),1.64296 # DEPENDENCYPART_ARC
(11,15),0.608546 # DEPENDENCYPART_ARC
(11,16),0.510269 # DEPENDENCYPART_ARC
(11,17),0.294178 # DEPENDENCYPART_ARC
(11,18),0.160056 # DEPENDENCYPART_ARC
(11,19),-0.857895 # DEPENDENCYPART_ARC
(11,20),-1.56689 # DEPENDENCYPART_ARC
(11,21),-1.11293 # DEPENDENCYPART_ARC
(11,22),-0.698817 # DEPENDENCYPART_ARC
(11,23),-1.82835 # DEPENDENCYPART_ARC
(11,24),-2.00724 # DEPENDENCYPART_ARC
(11,25),-2.40461 # DEPENDENCYPART_ARC
(11,26),-0.771198 # DEPENDENCYPART_ARC
(11,27),-1.63411 # DEPENDENCYPART_ARC
(11,28),-3.19422 # DEPENDENCYPART_ARC
(11,29),-2.95815 # DEPENDENCYPART_ARC
(11,30),-2.70693 # DEPENDENCYPART_ARC
(11,31),-0.19427 # DEPENDENCYPART_ARC
(12,1),2.14621 # DEPENDENCYPART_ARC
(12,2),-0.690793 # DEPENDENCYPART_ARC
(12,3),0.241973 # DEPENDENCYPART_ARC
(12,4),1.19297 # DEPENDENCYPART_ARC
(12,5),1.58906 # DEPENDENCYPART_ARC
(12,6),0.537541 # DEPENDENCYPART_ARC
(12,7),0.755197 # DEPENDENCYPART_ARC
(12,8),1.5588 # DEPENDENCYPART_ARC
(12,9),2.83272 # DEPENDENCYPART_ARC
(12,10),1.22058 # DEPENDENCYPART_ARC
(12,11),1.89506 # DEPENDENCYPART_ARC
(12,13),2.48748 # DEPENDENCYPART_ARC
(12,14),1.83157 # DEPENDENCYPART_ARC
(12,15),1.38763 # DEPENDENCYPART_ARC
(12,16),1.94531 # DEPENDENCYPART_ARC
(12,17),1.38648 # DEPENDENCYPART_ARC
(12,18),1.55942 # DEPENDENCYPART_ARC
(12,19),0.422471 # DEPENDENCYPART_ARC
(12,20),-0.780779 # DEPENDENCYPART_ARC
(12,21),0.204787 # DEPENDENCYPART_ARC
(12,22),-0.34797 # DEPENDENCYPART_ARC
(12,23),0.0963917 # DEPENDENCYPART_ARC
(12,24),-0.975936 # DEPENDENCYPART_ARC
(12,25),-0.844533 # DEPENDENCYPART_ARC
(12,26),0.125872 # DEPENDENCYPART_ARC
(12,27),-2.12895 # DEPENDENCYPART_ARC
(12,28),-2.97196 # DEPENDENCYPART_ARC
(12,29),-2.61732 # DEPENDENCYPART_ARC
(12,30),-2.1297 # DEPENDENCYPART_ARC
(12,31),3.12656 # DEPENDENCYPART_ARC
(13,1),-2.91374 # DEPENDENCYPART_ARC
(13,2),-2.10557 # DEPENDENCYPART_ARC
(13,3),-2.43575 # DEPENDENCYPART_ARC
(13,4),-3.42349 # DEPENDENCYPART_ARC
(13,5),-3.46997 # DEPENDENCYPART_ARC
(13,6),-3.18799 # DEPENDENCYPART_ARC
(13,7),-1.22138 # DEPENDENCYPART_ARC
(13,8),-1.98093 # DEPENDENCYPART_ARC
(13,9),-2.17979 # DEPENDENCYPART_ARC
(13,10),-1.96478 # DEPENDENCYPART_ARC
(13,11),-0.651053 # DEPENDENCYPART_ARC
(13,12),-0.772918 # DEPENDENCYPART_ARC
(13,14),0.207229 # DEPENDENCYPART_ARC
(13,15),-0.0653058 # DEPENDENCYPART_ARC
(13,16),-0.426031 # DEPENDENCYPART_ARC
(13,17),-0.6571 # DEPENDENCYPART_ARC
(13,18),-0.253037 # DEPENDENCYPART_ARC
(13,19),-0.437993 # DEPENDENCYPART_ARC
(13,20),-1.99862 # DEPENDENCYPART_ARC
(13,21),-1.60957 # DEPENDENCYPART_ARC
(13,22),-1.29693 # DEPENDENCYPART_ARC
(13,23),-1.74979 # DEPENDENCYPART_ARC
(13,24),-2.14816 # DEPENDENCYPART_ARC
(13,25),-3.4899 # DEPENDENCYPART_ARC
(13,26),-1.0731 # DEPENDENCYPART_ARC
(13,27),-2.33686 # DEPENDENCYPART_ARC
(13,28),-3.68015 # DEPENDENCYPART_ARC
(13,29),-3.32308 # DEPENDENCYPART_ARC
(13,30),-3.46587 # DEPENDENCYPART_ARC
(13,31),-0.98575 # DEPENDENCYPART_ARC
(14,1),-1.92345 # DEPENDENCYPART_ARC
(14,2),-1.18885 # DEPENDENCYPART_ARC
(14,3),-0.143674 # DEPENDENCYPART_ARC
(14,4),-1.69861 # DEPENDENCYPART_ARC
(14,5),-0.903006 # DEPENDENCYPART_ARC
(14,6),-0.78202 # DEPENDENCYPART_ARC
(14,7),1.13448 # DEPENDENCYPART_ARC
(14,8),-0.584483 # DEPENDENCYPART_ARC
(14,9),0.366252 # DEPENDENCYPART_ARC
(14,10),-0.0723711 # DEPENDENCYPART_ARC
(14,11),1.1592 # DEPENDENCYPART_ARC
(14,12),0.746796 # DEPENDENCYPART_ARC
(14,13),4.71162 # DEPENDENCYPART_ARC
(14,15),0.925749 # DEPENDENCYPART_ARC
(14,16),-0.194424 # DEPENDENCYPART_ARC
(14,17),0.0891466 # DEPENDENCYPART_ARC
(14,18),0.542961 # DEPENDENCYPART_ARC
(14,19),-0.275444 # DEPENDENCYPART_ARC
(14,20),-0.345217 # DEPENDENCYPART_ARC
(14,21),-0.136477 # DEPENDENCYPART_ARC
(14,22),-0.365605 # DEPENDENCYPART_ARC
(14,23),-0.604895 # DEPENDENCYPART_ARC
(14,24),-0.916858 # DEPENDENCYPART_ARC
(14,25),-1.193 # DEPENDENCYPART_ARC
(14,26),-1.29421 # DEPENDENCYPART_ARC
(14,27),-1.49889 # DEPENDENCYPART_ARC
(14,28),-1.36227 # DEPENDENCYPART_ARC
(14,29),-1.17976 # DEPENDENCYPART_ARC
(14,30),-1.48595 # DEPENDENCYPART_ARC
(14,31),-0.93783 # DEPENDENCYPART_ARC
(15,1),1.45175 # DEPENDENCYPART_ARC
(15,2),-0.662641 # DEPENDENCYPART_ARC
(15,3),0.647017 # DEPENDENCYPART_ARC
(15,4),-0.49127 # DEPENDENCYPART_ARC
(15,5),1.10404 # DEPENDENCYPART_ARC
(15,6),0.235653 # DEPENDENCYPART_ARC
(15,7),0.554102 # DEPENDENCYPART_ARC
(15,8),0.336387 # DEPENDENCYPART_ARC
(15,9),1.92992 # DEPENDENCYPART_ARC
(15,10),0.72816 # DEPENDENCYPART_ARC
(15,11),0.949602 # DEPENDENCYPART_ARC
(15,12),1.67628 # DEPENDENCYPART_ARC
(15,13),0.883395 # DEPENDENCYPART_ARC
(15,14),3.15391 # DEPENDENCYPART_ARC
(15,16),3.11501 # DEPENDENCYPART_ARC
(15,17),2.38823 # DEPENDENCYPART_ARC
(15,18),1.46721 # DEPENDENCYPART_ARC
(15,19),1.14439 # DEPENDENCYPART_ARC
(15,20),0.00460076 # DEPENDENCYPART_ARC
(15,21),0.0339516 # DEPENDENCYPART_ARC
(15,22),0.428938 # DEPENDENCYPART_ARC
(15,23),-0.0515263 # DEPENDENCYPART_ARC
(15,24),0.127235 # DEPENDENCYPART_ARC
(15,25),-0.710701 # DEPENDENCYPART_ARC
(15,26),0.352284 # DEPENDENCYPART_ARC
(15,27),-0.83865 # DEPENDENCYPART_ARC
(15,28),-2.74625 # DEPENDENCYPART_ARC
(15,29),-2.54071 # DEPENDENCYPART_ARC
(15,30),-2.42188 # DEPENDENCYPART_ARC
(15,31),2.73588 # DEPENDENCYPART_ARC
(16,1),-1.99113 # DEPENDENCYPART_ARC
(16,2),-1.30971 # DEPENDENCYPART_ARC
(16,3),-1.35374 # DEPENDENCYPART_ARC
(16,4),-2.0913 # DEPENDENCYPART_ARC
(16,5),-1.38306 # DEPENDENCYPART_ARC
(16,6),-1.56385 # DEPENDENCYPART_ARC
(16,7),-1.04881 # DEPENDENCYPART_ARC
(16,8),-1.45758 # DEPENDENCYPART_ARC
(16,9),-0.882405 # DEPENDENCYPART_ARC
(16,10),-1.10483 # DEPENDENCYPART_ARC
(16,11),-1.31236 # DEPENDENCYPART_ARC
(16,12),-1.04511 # DEPENDENCYPART_ARC
(16,13),-0.668532 # DEPENDENCYPART_ARC
(16,14),-0.293088 # DEPENDENCYPART_ARC
(16,15),0.220893 # DEPENDENCYPART_ARC
(16,17),1.04581 # DEPENDENCYPART_ARC
(16,18),0.714806 # DEPENDENCYPART_ARC
(16,19),0.590633 # DEPENDENCYPART_ARC
(16,20),-0.262727 # DEPENDENCYPART_ARC
(16,21),-0.275678 # DEPENDENCYPART_ARC
(16,22),0.5468 # DEPENDENCYPART_ARC
(16,23),-1.06746 # DEPENDENCYPART_ARC
(16,24),-0.858391 # DEPENDENCYPART_ARC
(16,25),-1.26765 # DEPENDENCYPART_ARC
(16,26),-1.18065 # DEPENDENCYPART_ARC
(16,27),-1.4161 # DEPENDENCYPART_ARC
(16,28),-1.53445 # DEPENDENCYPART_ARC
