# _root_ Emanuel Goldman , a PaineWebber Inc. analyst , predicts Kentucky Fried Chicken will post an 11 % drop in 1989 net income .
#goldHeads=2,9,2,7,7,7,2,2,0,12,12,13,9,13,18,17,18,14,18,22,22,19,9,
#predictedHeads=2,9,2,7,7,7,2,2,0,12,12,13,9,13,18,17,18,14,18,22,22,19,9,
(1,13),-2.08005 # DEPENDENCYPART_ARC
(1,14),-2.01877 # DEPENDENCYPART_ARC
(1,15),-0.931525 # DEPENDENCYPART_ARC
(1,16),-2.05405 # DEPENDENCYPART_ARC
(1,17),-2.26938 # DEPENDENCYPART_ARC
(1,18),-1.69137 # DEPENDENCYPART_ARC
(1,19),-3.15021 # DEPENDENCYPART_ARC
(1,20),-2.83622 # DEPENDENCYPART_ARC
(1,21),-1.95353 # DEPENDENCYPART_ARC
(1,22),-3.64121 # DEPENDENCYPART_ARC
(1,23),0.593718 # DEPENDENCYPART_ARC
(2,1),4.44808 # DEPENDENCYPART_ARC
(2,3),4.27299 # DEPENDENCYPART_ARC
(2,4),1.13642 # DEPENDENCYPART_ARC
(2,5),1.3954 # DEPENDENCYPART_ARC
(2,6),2.37458 # DEPENDENCYPART_ARC
(2,7),3.56892 # DEPENDENCYPART_ARC
(2,8),4.20624 # DEPENDENCYPART_ARC
(2,9),0.995649 # DEPENDENCYPART_ARC
(2,10),-0.511022 # DEPENDENCYPART_ARC
(2,11),-0.0651669 # DEPENDENCYPART_ARC
(2,12),0.136315 # DEPENDENCYPART_ARC
(2,13),-0.125038 # DEPENDENCYPART_ARC
(2,14),-0.546043 # DEPENDENCYPART_ARC
(2,15),0.393041 # DEPENDENCYPART_ARC
(2,16),-0.8827 # DEPENDENCYPART_ARC
(2,17),-0.977014 # DEPENDENCYPART_ARC
(2,18),0.297462 # DEPENDENCYPART_ARC
(2,19),-1.28879 # DEPENDENCYPART_ARC
(2,20),-1.56057 # DEPENDENCYPART_ARC
(2,21),-0.558929 # DEPENDENCYPART_ARC
(2,22),-1.84629 # DEPENDENCYPART_ARC
(2,23),2.09757 # DEPENDENCYPART_ARC
(3,1),-1.66454 # DEPENDENCYPART_ARC
(3,2),-1.10382 # DEPENDENCYPART_ARC
(3,4),-0.369093 # DEPENDENCYPART_ARC
(3,5),-0.653209 # DEPENDENCYPART_ARC
(3,6),-0.915541 # DEPENDENCYPART_ARC
(3,7),-1.64484 # DEPENDENCYPART_ARC
(3,8),-0.102834 # DEPENDENCYPART_ARC
(3,9),-1.26683 # DEPENDENCYPART_ARC
(3,10),-1.90413 # DEPENDENCYPART_ARC
(3,11),-2.06019 # DEPENDENCYPART_ARC
(3,12),-2.14614 # DEPENDENCYPART_ARC
(3,13),-1.84628 # DEPENDENCYPART_ARC
(3,14),-1.84611 # DEPENDENCYPART_ARC
(3,15),-2.4548 # DEPENDENCYPART_ARC
(3,16),-2.82676 # DEPENDENCYPART_ARC
(3,17),-2.97284 # DEPENDENCYPART_ARC
(3,18),-3.16146 # DEPENDENCYPART_ARC
(3,19),-2.28368 # DEPENDENCYPART_ARC
(3,20),-3.25303 # DEPENDENCYPART_ARC
(3,21),-3.16824 # DEPENDENCYPART_ARC
(3,22),-3.63833 # DEPENDENCYPART_ARC
(3,23),-2.53401 # DEPENDENCYPART_ARC
(4,1),-1.11151 # DEPENDENCYPART_ARC
(4,2),-1.06515 # DEPENDENCYPART_ARC
(4,3),-0.161406 # DEPENDENCYPART_ARC
(4,5),0.721056 # DEPENDENCYPART_ARC
(4,6),0.409981 # DEPENDENCYPART_ARC
(4,7),0.229238 # DEPENDENCYPART_ARC
(4,8),0.444507 # DEPENDENCYPART_ARC
(4,9),0.424879 # DEPENDENCYPART_ARC
(4,10),-0.407772 # DEPENDENCYPART_ARC
(4,11),-0.380028 # DEPENDENCYPART_ARC
(4,12),-0.402829 # DEPENDENCYPART_ARC
(4,13),-1.82035 # DEPENDENCYPART_ARC
(4,14),-1.22871 # DEPENDENCYPART_ARC
(4,15),-1.85995 # DEPENDENCYPART_ARC
(4,16),-1.31422 # DEPENDENCYPART_ARC
(4,17),-1.35465 # DEPENDENCYPART_ARC
(4,18),-1.39429 # DEPENDENCYPART_ARC
(4,19),-2.11861 # DEPENDENCYPART_ARC
(4,20),-1.63336 # DEPENDENCYPART_ARC
(4,21),-1.97769 # DEPENDENCYPART_ARC
(4,22),-1.95134 # DEPENDENCYPART_ARC
(4,23),-1.3272 # DEPENDENCYPART_ARC
(5,1),-0.458177 # DEPENDENCYPART_ARC
(5,2),-0.569807 # DEPENDENCYPART_ARC
(5,3),0.184145 # DEPENDENCYPART_ARC
(5,4),1.58365 # DEPENDENCYPART_ARC
(5,6),3.14548 # DEPENDENCYPART_ARC
(5,7),1.62987 # DEPENDENCYPART_ARC
(5,8),1.30601 # DEPENDENCYPART_ARC
(5,9),0.222949 # DEPENDENCYPART_ARC
(5,10),-0.292515 # DEPENDENCYPART_ARC
(5,11),-0.275679 # DEPENDENCYPART_ARC
(5,12),-0.167029 # DEPENDENCYPART_ARC
(5,13),-1.15238 # DEPENDENCYPART_ARC
(5,14),-1.44526 # DEPENDENCYPART_ARC
(5,15),-0.411858 # DEPENDENCYPART_ARC
(5,16),-1.42555 # DEPENDENCYPART_ARC
(5,17),-2.40653 # DEPENDENCYPART_ARC
(5,18),-1.98502 # DEPENDENCYPART_ARC
(5,19),-2.06541 # DEPENDENCYPART_ARC
(5,20),-2.19603 # DEPENDENCYPART_ARC
(5,21),-1.32644 # DEPENDENCYPART_ARC
(5,22),-3.70618 # DEPENDENCYPART_ARC
(5,23),0.753281 # DEPENDENCYPART_ARC
(6,1),-1.64448 # DEPENDENCYPART_ARC
(6,2),-2.56745 # DEPENDENCYPART_ARC
(6,3),-0.903297 # DEPENDENCYPART_ARC
(6,4),0.200989 # DEPENDENCYPART_ARC
(6,5),0.201738 # DEPENDENCYPART_ARC
(6,7),0.0603153 # DEPENDENCYPART_ARC
(6,8),-0.844276 # DEPENDENCYPART_ARC
(6,9),-1.49228 # DEPENDENCYPART_ARC
(6,10),-2.79 # DEPENDENCYPART_ARC
(6,11),-2.50914 # DEPENDENCYPART_ARC
(6,12),-2.70985 # DEPENDENCYPART_ARC
(6,13),-2.65007 # DEPENDENCYPART_ARC
(6,14),-3.19057 # DEPENDENCYPART_ARC
(6,15),-2.43281 # DEPENDENCYPART_ARC
(6,16),-3.14603 # DEPENDENCYPART_ARC
(6,17),-4.35455 # DEPENDENCYPART_ARC
(6,18),-3.88983 # DEPENDENCYPART_ARC
(6,19),-3.76928 # DEPENDENCYPART_ARC
(6,20),-3.94751 # DEPENDENCYPART_ARC
(6,21),-3.175 # DEPENDENCYPART_ARC
(6,22),-5.66297 # DEPENDENCYPART_ARC
(6,23),-1.17854 # DEPENDENCYPART_ARC
(7,1),1.26599 # DEPENDENCYPART_ARC
(7,2),0.491773 # DEPENDENCYPART_ARC
(7,3),1.01224 # DEPENDENCYPART_ARC
(7,4),4.29124 # DEPENDENCYPART_ARC
(7,5),4.59206 # DEPENDENCYPART_ARC
(7,6),4.66337 # DEPENDENCYPART_ARC
(7,8),1.36813 # DEPENDENCYPART_ARC
(7,9),0.411131 # DEPENDENCYPART_ARC
(7,10),0.143359 # DEPENDENCYPART_ARC
(7,11),0.36245 # DEPENDENCYPART_ARC
(7,12),-0.16715 # DEPENDENCYPART_ARC
(7,13),-0.726937 # DEPENDENCYPART_ARC
(7,14),-0.536834 # DEPENDENCYPART_ARC
(7,15),-1.46482 # DEPENDENCYPART_ARC
(7,16),-1.23744 # DEPENDENCYPART_ARC
(7,17),-1.91428 # DEPENDENCYPART_ARC
(7,18),-0.873376 # DEPENDENCYPART_ARC
(7,19),-3.14939 # DEPENDENCYPART_ARC
(7,20),-2.01589 # DEPENDENCYPART_ARC
(7,21),-1.27763 # DEPENDENCYPART_ARC
(7,22),-1.69033 # DEPENDENCYPART_ARC
(7,23),-0.222157 # DEPENDENCYPART_ARC
(8,1),-1.70617 # DEPENDENCYPART_ARC
(8,2),-1.63632 # DEPENDENCYPART_ARC
(8,3),-0.0721331 # DEPENDENCYPART_ARC
(8,4),-0.661874 # DEPENDENCYPART_ARC
(8,5),-1.08344 # DEPENDENCYPART_ARC
(8,6),-1.20347 # DEPENDENCYPART_ARC
(8,7),-0.634149 # DEPENDENCYPART_ARC
(8,9),-0.247851 # DEPENDENCYPART_ARC
(8,10),-1.13555 # DEPENDENCYPART_ARC
(8,11),-1.39817 # DEPENDENCYPART_ARC
(8,12),-1.67519 # DEPENDENCYPART_ARC
(8,13),-1.87038 # DEPENDENCYPART_ARC
(8,14),-1.90432 # DEPENDENCYPART_ARC
(8,15),-2.33862 # DEPENDENCYPART_ARC
(8,16),-2.88278 # DEPENDENCYPART_ARC
(8,17),-2.84722 # DEPENDENCYPART_ARC
(8,18),-3.01508 # DEPENDENCYPART_ARC
(8,19),-2.42449 # DEPENDENCYPART_ARC
(8,20),-3.30331 # DEPENDENCYPART_ARC
(8,21),-3.15077 # DEPENDENCYPART_ARC
(8,22),-3.4292 # DEPENDENCYPART_ARC
(8,23),-2.45515 # DEPENDENCYPART_ARC
(9,1),1.96193 # DEPENDENCYPART_ARC
(9,2),2.20497 # DEPENDENCYPART_ARC
(9,3),2.13536 # DEPENDENCYPART_ARC
(9,4),0.562497 # DEPENDENCYPART_ARC
(9,5),1.56612 # DEPENDENCYPART_ARC
(9,6),1.26794 # DEPENDENCYPART_ARC
(9,7),1.29372 # DEPENDENCYPART_ARC
(9,8),2.8777 # DEPENDENCYPART_ARC
(9,10),2.00966 # DEPENDENCYPART_ARC
(9,11),2.1834 # DEPENDENCYPART_ARC
(9,12),1.91579 # DEPENDENCYPART_ARC
(9,13),2.24454 # DEPENDENCYPART_ARC
(9,14),1.54152 # DEPENDENCYPART_ARC
(9,15),-0.136736 # DEPENDENCYPART_ARC
(9,16),-0.479163 # DEPENDENCYPART_ARC
(9,17),-0.236195 # DEPENDENCYPART_ARC
(9,18),0.331944 # DEPENDENCYPART_ARC
(9,19),-0.000928733 # DEPENDENCYPART_ARC
(9,20),-0.683644 # DEPENDENCYPART_ARC
(9,21),-0.295178 # DEPENDENCYPART_ARC
(9,22),-0.317214 # DEPENDENCYPART_ARC
(9,23),7.20209 # DEPENDENCYPART_ARC
(10,1),-4.05401 # DEPENDENCYPART_ARC
(10,2),-4.46601 # DEPENDENCYPART_ARC
(10,3),-3.24818 # DEPENDENCYPART_ARC
(10,4),-2.33948 # DEPENDENCYPART_ARC
(10,5),-1.48873 # DEPENDENCYPART_ARC
(10,6),-1.54452 # DEPENDENCYPART_ARC
(10,7),-2.09773 # DEPENDENCYPART_ARC
(10,8),-1.45091 # DEPENDENCYPART_ARC
(10,9),-1.10299 # DEPENDENCYPART_ARC
(10,11),0.830423 # DEPENDENCYPART_ARC
(10,12),0.834005 # DEPENDENCYPART_ARC
(10,13),-1.18955 # DEPENDENCYPART_ARC
(10,14),-1.64611 # DEPENDENCYPART_ARC
(10,15),-1.38438 # DEPENDENCYPART_ARC
(10,16),-1.54699 # DEPENDENCYPART_ARC
(10,17),-1.36091 # DEPENDENCYPART_ARC
(10,18),-1.22445 # DEPENDENCYPART_ARC
(10,19),-2.19277 # DEPENDENCYPART_ARC
(10,20),-2.37386 # DEPENDENCYPART_ARC
(10,21),-1.92781 # DEPENDENCYPART_ARC
(10,22),-3.43853 # DEPENDENCYPART_ARC
(10,23),-0.198081 # DEPENDENCYPART_ARC
(11,1),-3.0101 # DEPENDENCYPART_ARC
(11,2),-3.82416 # DEPENDENCYPART_ARC
(11,3),-2.69571 # DEPENDENCYPART_ARC
(11,4),-1.80709 # DEPENDENCYPART_ARC
(11,5),-1.43093 # DEPENDENCYPART_ARC
(11,6),-0.616482 # DEPENDENCYPART_ARC
(11,7),-2.07529 # DEPENDENCYPART_ARC
(11,8),-1.7454 # DEPENDENCYPART_ARC
(11,9),-1.35238 # DEPENDENCYPART_ARC
(11,10),2.47376 # DEPENDENCYPART_ARC
(11,12),2.12217 # DEPENDENCYPART_ARC
(11,13),-0.470548 # DEPENDENCYPART_ARC
(11,14),-1.08253 # DEPENDENCYPART_ARC
(11,15),-1.13862 # DEPENDENCYPART_ARC
(11,16),-0.856438 # DEPENDENCYPART_ARC
(11,17),-1.09932 # DEPENDENCYPART_ARC
(11,18),-0.468884 # DEPENDENCYPART_ARC
(11,19),-2.05069 # DEPENDENCYPART_ARC
(11,20),-2.04872 # DEPENDENCYPART_ARC
(11,21),-1.48965 # DEPENDENCYPART_ARC
(11,22),-2.71852 # DEPENDENCYPART_ARC
(11,23),0.147283 # DEPENDENCYPART_ARC
(12,1),-1.27757 # DEPENDENCYPART_ARC
(12,2),-2.05256 # DEPENDENCYPART_ARC
(12,3),-0.949892 # DEPENDENCYPART_ARC
(12,4),0.608855 # DEPENDENCYPART_ARC
(12,5),0.918624 # DEPENDENCYPART_ARC
(12,6),0.864697 # DEPENDENCYPART_ARC
(12,7),-0.198943 # DEPENDENCYPART_ARC
(12,8),-0.129323 # DEPENDENCYPART_ARC
(12,9),-0.11533 # DEPENDENCYPART_ARC
(12,10),4.18499 # DEPENDENCYPART_ARC
(12,11),4.01542 # DEPENDENCYPART_ARC
(12,13),0.557161 # DEPENDENCYPART_ARC
(12,14),-0.110908 # DEPENDENCYPART_ARC
(12,15),-0.506645 # DEPENDENCYPART_ARC
(12,16),-0.210384 # DEPENDENCYPART_ARC
(12,17),-0.464737 # DEPENDENCYPART_ARC
(12,18),-0.0451714 # DEPENDENCYPART_ARC
(12,19),-1.09708 # DEPENDENCYPART_ARC
(12,20),-1.42736 # DEPENDENCYPART_ARC
(12,21),-0.836247 # DEPENDENCYPART_ARC
(12,22),-1.71839 # DEPENDENCYPART_ARC
(12,23),0.654201 # DEPENDENCYPART_ARC
(13,1),1.36736 # DEPENDENCYPART_ARC
(13,2),0.692914 # DEPENDENCYPART_ARC
(13,3),2.03468 # DEPENDENCYPART_ARC
(13,4),-0.298998 # DEPENDENCYPART_ARC
(13,5),1.34153 # DEPENDENCYPART_ARC
(13,6),1.1384 # DEPENDENCYPART_ARC
(13,7),0.00963506 # DEPENDENCYPART_ARC
(13,8),1.88162 # DEPENDENCYPART_ARC
(13,9),0.880623 # DEPENDENCYPART_ARC
(13,10),2.3553 # DEPENDENCYPART_ARC
(13,11),2.0177 # DEPENDENCYPART_ARC
(13,12),2.88403 # DEPENDENCYPART_ARC
(13,14),4.10897 # DEPENDENCYPART_ARC
(13,15),0.533053 # DEPENDENCYPART_ARC
(13,16),-0.0829571 # DEPENDENCYPART_ARC
(13,17),0.359118 # DEPENDENCYPART_ARC
(13,18),0.193684 # DEPENDENCYPART_ARC
(13,19),0.0971806 # DEPENDENCYPART_ARC
(13,20),-1.02406 # DEPENDENCYPART_ARC
(13,21),-0.831383 # DEPENDENCYPART_ARC
(13,22),-0.109082 # DEPENDENCYPART_ARC
(13,23),3.99837 # DEPENDENCYPART_ARC
(14,1),-0.516046 # DEPENDENCYPART_ARC
(14,2),-0.863378 # DEPENDENCYPART_ARC
(14,3),0.169901 # DEPENDENCYPART_ARC
(14,4),0.41388 # DEPENDENCYPART_ARC
(14,5),-0.166822 # DEPENDENCYPART_ARC
(14,6),-0.33251 # DEPENDENCYPART_ARC
(14,7),-0.416228 # DEPENDENCYPART_ARC
(14,8),0.138511 # DEPENDENCYPART_ARC
(14,9),-0.177085 # DEPENDENCYPART_ARC
(14,10),0.42094 # DEPENDENCYPART_ARC
(14,11),0.533064 # DEPENDENCYPART_ARC
(14,12),0.325077 # DEPENDENCYPART_ARC
(14,13),1.16025 # DEPENDENCYPART_ARC
(14,15),1.34945 # DEPENDENCYPART_ARC
(14,16),1.43253 # DEPENDENCYPART_ARC
(14,17),1.50217 # DEPENDENCYPART_ARC
(14,18),2.52319 # DEPENDENCYPART_ARC
(14,19),2.74269 # DEPENDENCYPART_ARC
(14,20),-0.186942 # DEPENDENCYPART_ARC
(14,21),0.241336 # DEPENDENCYPART_ARC
(14,22),0.618835 # DEPENDENCYPART_ARC
(14,23),0.751249 # DEPENDENCYPART_ARC
(15,1),-2.88705 # DEPENDENCYPART_ARC
(15,2),-2.71617 # DEPENDENCYPART_ARC
(15,3),-2.35908 # DEPENDENCYPART_ARC
(15,4),-1.96857 # DEPENDENCYPART_ARC
(15,5),-2.26759 # DEPENDENCYPART_ARC
(15,6),-2.1883 # DEPENDENCYPART_ARC
(15,7),-2.43007 # DEPENDENCYPART_ARC
(15,8),-1.82285 # DEPENDENCYPART_ARC
(15,9),-1.82387 # DEPENDENCYPART_ARC
(15,10),-1.65039 # DEPENDENCYPART_ARC
(15,11),-1.42625 # DEPENDENCYPART_ARC
(15,12),-1.08234 # DEPENDENCYPART_ARC
(15,13),-0.913827 # DEPENDENCYPART_ARC
(15,14),0.288238 # DEPENDENCYPART_ARC
(15,16),2.29288 # DEPENDENCYPART_ARC
(15,17),0.578295 # DEPENDENCYPART_ARC
(15,18),0.307471 # DEPENDENCYPART_ARC
(15,19),0.0972925 # DEPENDENCYPART_ARC
(15,20),0.765055 # DEPENDENCYPART_ARC
(15,21),-0.452893 # DEPENDENCYPART_ARC
(15,22),-0.64326 # DEPENDENCYPART_ARC
(15,23),-0.271277 # DEPENDENCYPART_ARC
(16,1),-2.75324 # DEPENDENCYPART_ARC
(16,2),-2.73437 # DEPENDENCYPART_ARC
(16,3),-2.72793 # DEPENDENCYPART_ARC
(16,4),-1.9539 # DEPENDENCYPART_ARC
(16,5),-2.15215 # DEPENDENCYPART_ARC
(16,6),-1.92894 # DEPENDENCYPART_ARC
(16,7),-2.42772 # DEPENDENCYPART_ARC
(16,8),-2.01067 # DEPENDENCYPART_ARC
(16,9),-1.85244 # DEPENDENCYPART_ARC
(16,10),-1.31462 # DEPENDENCYPART_ARC
(16,11),-1.06221 # DEPENDENCYPART_ARC
(16,12),-0.81138 # DEPENDENCYPART_ARC
(16,13),-0.835759 # DEPENDENCYPART_ARC
(16,14),0.107909 # DEPENDENCYPART_ARC
(16,15),1.41242 # DEPENDENCYPART_ARC
(16,17),1.70538 # DEPENDENCYPART_ARC
(16,18),0.348716 # DEPENDENCYPART_ARC
(16,19),0.411301 # DEPENDENCYPART_ARC
(16,20),-0.255905 # DEPENDENCYPART_ARC
(16,21),-0.244681 # DEPENDENCYPART_ARC
(16,22),-0.559485 # DEPENDENCYPART_ARC
(16,23),-0.036006 # DEPENDENCYPART_ARC
(17,1),-6.4766 # DEPENDENCYPART_ARC
(17,2),-7.69573 # DEPENDENCYPART_ARC
(17,3),-3.21347 # DEPENDENCYPART_ARC
(17,4),-3.14847 # DEPENDENCYPART_ARC
(17,5),-4.35569 # DEPENDENCYPART_ARC
(17,6),-4.36116 # DEPENDENCYPART_ARC
(17,7),-4.71056 # DEPENDENCYPART_ARC
(17,8),-2.36639 # DEPENDENCYPART_ARC
(17,9),-2.25083 # DEPENDENCYPART_ARC
(17,10),-2.81371 # DEPENDENCYPART_ARC
(17,11),-3.20196 # DEPENDENCYPART_ARC
(17,12),-3.11695 # DEPENDENCYPART_ARC
(17,13),-1.46764 # DEPENDENCYPART_ARC
(17,14),-0.79758 # DEPENDENCYPART_ARC
(17,15),2.0502 # DEPENDENCYPART_ARC
(17,16),4.56606 # DEPENDENCYPART_ARC
(17,18),1.098 # DEPENDENCYPART_ARC
(17,19),-0.38044 # DEPENDENCYPART_ARC
(17,20),-0.402584 # DEPENDENCYPART_ARC
(17,21),-0.327781 # DEPENDENCYPART_ARC
(17,22),-0.598809 # DEPENDENCYPART_ARC
(17,23),0.174207 # DEPENDENCYPART_ARC
(18,1),-2.86646 # DEPENDENCYPART_ARC
(18,2),-4.33038 # DEPENDENCYPART_ARC
(18,3),-2.146 # DEPENDENCYPART_ARC
(18,4),1.05387 # DEPENDENCYPART_ARC
(18,5),-0.833445 # DEPENDENCYPART_ARC
(18,6),-0.451328 # DEPENDENCYPART_ARC
(18,7),-2.88893 # DEPENDENCYPART_ARC
(18,8),-1.0069 # DEPENDENCYPART_ARC
(18,9),-0.7728 # DEPENDENCYPART_ARC
(18,10),0.452758 # DEPENDENCYPART_ARC
(18,11),0.123193 # DEPENDENCYPART_ARC
(18,12),-0.271459 # DEPENDENCYPART_ARC
(18,13),-0.0798412 # DEPENDENCYPART_ARC
(18,14),0.378605 # DEPENDENCYPART_ARC
(18,15),4.5526 # DEPENDENCYPART_ARC
(18,16),2.80814 # DEPENDENCYPART_ARC
(18,17),3.77093 # DEPENDENCYPART_ARC
(18,19),3.02753 # DEPENDENCYPART_ARC
(18,20),1.52661 # DEPENDENCYPART_ARC
(18,21),1.27487 # DEPENDENCYPART_ARC
(18,22),0.948304 # DEPENDENCYPART_ARC
(18,23),1.05912 # DEPENDENCYPART_ARC
(19,1),-3.07056 # DEPENDENCYPART_ARC
(19,2),-3.21814 # DEPENDENCYPART_ARC
(19,3),-2.58204 # DEPENDENCYPART_ARC
(19,4),-2.03916 # DEPENDENCYPART_ARC
(19,5),-2.6581 # DEPENDENCYPART_ARC
(19,6),-2.73606 # DEPENDENCYPART_ARC
(19,7),-3.00114 # DEPENDENCYPART_ARC
(19,8),-1.99453 # DEPENDENCYPART_ARC
(19,9),-1.84136 # DEPENDENCYPART_ARC
(19,10),-1.90041 # DEPENDENCYPART_ARC
(19,11),-1.94769 # DEPENDENCYPART_ARC
(19,12),-1.86908 # DEPENDENCYPART_ARC
(19,13),-2.015 # DEPENDENCYPART_ARC
(19,14),-1.45669 # DEPENDENCYPART_ARC
(19,15),-0.845582 # DEPENDENCYPART_ARC
(19,16),-0.458537 # DEPENDENCYPART_ARC
(19,17),-1.11975 # DEPENDENCYPART_ARC
(19,18),-0.624259 # DEPENDENCYPART_ARC
(19,20),2.1998 # DEPENDENCYPART_ARC
(19,21),0.804604 # DEPENDENCYPART_ARC
(19,22),2.48729 # DEPENDENCYPART_ARC
(19,23),-1.39947 # DEPENDENCYPART_ARC
(20,1),-3.95525 # DEPENDENCYPART_ARC
(20,2),-3.88091 # DEPENDENCYPART_ARC
(20,3),-3.82597 # DEPENDENCYPART_ARC
(20,4),-3.37311 # DEPENDENCYPART_ARC
(20,5),-3.40108 # DEPENDENCYPART_ARC
(20,6),-3.35553 # DEPENDENCYPART_ARC
(20,7),-3.64356 # DEPENDENCYPART_ARC
(20,8),-3.09971 # DEPENDENCYPART_ARC
(20,9),-2.92862 # DEPENDENCYPART_ARC
(20,10),-2.5593 # DEPENDENCYPART_ARC
(20,11),-2.52053 # DEPENDENCYPART_ARC
(20,12),-2.41183 # DEPENDENCYPART_ARC
(20,13),-2.38554 # DEPENDENCYPART_ARC
(20,14),-1.80581 # DEPENDENCYPART_ARC
(20,15),-1.10692 # DEPENDENCYPART_ARC
(20,16),-0.681538 # DEPENDENCYPART_ARC
(20,17),-1.51149 # DEPENDENCYPART_ARC
(20,18),-1.13699 # DEPENDENCYPART_ARC
(20,19),-0.179548 # DEPENDENCYPART_ARC
(20,21),1.02508 # DEPENDENCYPART_ARC
(20,22),0.886382 # DEPENDENCYPART_ARC
(20,23),-0.596791 # DEPENDENCYPART_ARC
(21,1),-2.35349 # DEPENDENCYPART_ARC
(21,2),-2.82322 # DEPENDENCYPART_ARC
(21,3),-2.03519 # DEPENDENCYPART_ARC
(21,4),-0.609851 # DEPENDENCYPART_ARC
(21,5),-1.26175 # DEPENDENCYPART_ARC
(21,6),-2.49267 # DEPENDENCYPART_ARC
(21,7),-2.29189 # DEPENDENCYPART_ARC
(21,8),-1.79115 # DEPENDENCYPART_ARC
(21,9),-2.26535 # DEPENDENCYPART_ARC
(21,10),-1.41737 # DEPENDENCYPART_ARC
(21,11),-1.46035 # DEPENDENCYPART_ARC
(21,12),-1.84981 # DEPENDENCYPART_ARC
(21,13),-1.96492 # DEPENDENCYPART_ARC
(21,14),-1.30056 # DEPENDENCYPART_ARC
(21,15),-0.26828 # DEPENDENCYPART_ARC
(21,16),0.147505 # DEPENDENCYPART_ARC
(21,17),0.193196 # DEPENDENCYPART_ARC
(21,18),-0.0893797 # DEPENDENCYPART_ARC
(21,19),-0.0662919 # DEPENDENCYPART_ARC
(21,20),1.00473 # DEPENDENCYPART_ARC
(21,22),1.29909 # DEPENDENCYPART_ARC
(21,23),-0.03497 # DEPENDENCYPART_ARC
(22,1),-4.38167 # DEPENDENCYPART_ARC
(22,2),-5.3532 # DEPENDENCYPART_ARC
(22,3),-2.52713 # DEPENDENCYPART_ARC
(22,4),-0.186756 # DEPENDENCYPART_ARC
(22,5),-1.97682 # DEPENDENCYPART_ARC
(22,6),-1.50575 # DEPENDENCYPART_ARC
(22,7),-2.63535 # DEPENDENCYPART_ARC
(22,8),-1.87668 # DEPENDENCYPART_ARC
(22,9),-0.639539 # DEPENDENCYPART_ARC
(22,10),-0.941826 # DEPENDENCYPART_ARC
(22,11),-1.20758 # DEPENDENCYPART_ARC
(22,12),-1.17637 # DEPENDENCYPART_ARC
(22,13),-0.393607 # DEPENDENCYPART_ARC
(22,14),-0.307444 # DEPENDENCYPART_ARC
(22,15),2.33939 # DEPENDENCYPART_ARC
(22,16),1.29355 # DEPENDENCYPART_ARC
(22,17),1.85355 # DEPENDENCYPART_ARC
(22,18),0.342418 # DEPENDENCYPART_ARC
(22,19),1.0971 # DEPENDENCYPART_ARC
(22,20),3.56785 # DEPENDENCYPART_ARC
(22,21),4.30977 # DEPENDENCYPART_ARC
(22,23),0.716696 # DEPENDENCYPART_ARC
(23,1),-2.47201 # DEPENDENCYPART_ARC
(23,2),-2.80028 # DEPENDENCYPART_ARC
(23,3),-1.99275 # DEPENDENCYPART_ARC
