# _root_ Now in its 13th day , the strike has idled about 55,000 machinists and has started to delay delivery of some jetliners .
#goldHeads=2,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
(4,17),-2.2976 # DEPENDENCYPART_ARC
(4,18),-2.69526 # DEPENDENCYPART_ARC
(4,19),-2.5193 # DEPENDENCYPART_ARC
(4,20),-2.82721 # DEPENDENCYPART_ARC
(4,21),-3.51188 # DEPENDENCYPART_ARC
(4,22),-2.63883 # DEPENDENCYPART_ARC
(4,23),-0.8502 # DEPENDENCYPART_ARC
(5,1),-0.0333878 # DEPENDENCYPART_ARC
(5,2),0.60144 # DEPENDENCYPART_ARC
(5,3),4.27654 # DEPENDENCYPART_ARC
(5,4),4.37212 # DEPENDENCYPART_ARC
(5,6),1.29616 # DEPENDENCYPART_ARC
(5,7),0.0407734 # DEPENDENCYPART_ARC
(5,8),0.710115 # DEPENDENCYPART_ARC
(5,9),0.459701 # DEPENDENCYPART_ARC
(5,10),0.155886 # DEPENDENCYPART_ARC
(5,11),-0.0755508 # DEPENDENCYPART_ARC
(5,12),-0.0486359 # DEPENDENCYPART_ARC
(5,13),0.242366 # DEPENDENCYPART_ARC
(5,14),-0.498529 # DEPENDENCYPART_ARC
(5,15),-0.87909 # DEPENDENCYPART_ARC
(5,16),-0.680941 # DEPENDENCYPART_ARC
(5,17),-1.49623 # DEPENDENCYPART_ARC
(5,18),-0.715705 # DEPENDENCYPART_ARC
(5,19),-1.50474 # DEPENDENCYPART_ARC
(5,20),-1.46294 # DEPENDENCYPART_ARC
(5,21),-1.38508 # DEPENDENCYPART_ARC
(5,22),-1.87413 # DEPENDENCYPART_ARC
(5,23),0.540307 # DEPENDENCYPART_ARC
(6,1),-2.40967 # DEPENDENCYPART_ARC
(6,2),-1.76616 # DEPENDENCYPART_ARC
(6,3),-0.800198 # DEPENDENCYPART_ARC
(6,4),-1.54349 # DEPENDENCYPART_ARC
(6,5),-1.33451 # DEPENDENCYPART_ARC
(6,7),-0.320457 # DEPENDENCYPART_ARC
(6,8),-0.997099 # DEPENDENCYPART_ARC
(6,9),-0.764348 # DEPENDENCYPART_ARC
(6,10),-1.37463 # DEPENDENCYPART_ARC
(6,11),-1.66416 # DEPENDENCYPART_ARC
(6,12),-2.17015 # DEPENDENCYPART_ARC
(6,13),-2.14873 # DEPENDENCYPART_ARC
(6,14),-1.67828 # DEPENDENCYPART_ARC
(6,15),-1.67936 # DEPENDENCYPART_ARC
(6,16),-2.05185 # DEPENDENCYPART_ARC
(6,17),-2.15315 # DEPENDENCYPART_ARC
(6,18),-2.06216 # DEPENDENCYPART_ARC
(6,19),-2.92193 # DEPENDENCYPART_ARC
(6,20),-2.19259 # DEPENDENCYPART_ARC
(6,21),-2.75647 # DEPENDENCYPART_ARC
(6,22),-3.13432 # DEPENDENCYPART_ARC
(6,23),-2.21488 # DEPENDENCYPART_ARC
(7,1),-2.62098 # DEPENDENCYPART_ARC
(7,2),-2.14193 # DEPENDENCYPART_ARC
(7,3),-1.35768 # DEPENDENCYPART_ARC
(7,4),-1.56126 # DEPENDENCYPART_ARC
(7,5),-1.94794 # DEPENDENCYPART_ARC
(7,6),-0.764389 # DEPENDENCYPART_ARC
(7,8),-0.255089 # DEPENDENCYPART_ARC
(7,9),0.0688197 # DEPENDENCYPART_ARC
(7,10),-1.21551 # DEPENDENCYPART_ARC
(7,11),-1.84631 # DEPENDENCYPART_ARC
(7,12),-1.41371 # DEPENDENCYPART_ARC
(7,13),-2.01153 # DEPENDENCYPART_ARC
(7,14),-1.11654 # DEPENDENCYPART_ARC
(7,15),-1.56403 # DEPENDENCYPART_ARC
(7,16),-2.08647 # DEPENDENCYPART_ARC
(7,17),-2.08931 # DEPENDENCYPART_ARC
(7,18),-2.84281 # DEPENDENCYPART_ARC
(7,19),-2.79658 # DEPENDENCYPART_ARC
(7,20),-2.49767 # DEPENDENCYPART_ARC
(7,21),-3.63307 # DEPENDENCYPART_ARC
(7,22),-3.10753 # DEPENDENCYPART_ARC
(7,23),-1.10017 # DEPENDENCYPART_ARC
(8,1),-2.39945 # DEPENDENCYPART_ARC
(8,2),-1.00703 # DEPENDENCYPART_ARC
(8,3),1.21141 # DEPENDENCYPART_ARC
(8,4),0.486636 # DEPENDENCYPART_ARC
(8,5),-1.00079 # DEPENDENCYPART_ARC
(8,6),0.641504 # DEPENDENCYPART_ARC
(8,7),3.81642 # DEPENDENCYPART_ARC
(8,9),1.30595 # DEPENDENCYPART_ARC
(8,10),1.30505 # DEPENDENCYPART_ARC
(8,11),0.534093 # DEPENDENCYPART_ARC
(8,12),0.675406 # DEPENDENCYPART_ARC
(8,13),0.0566536 # DEPENDENCYPART_ARC
(8,14),0.11184 # DEPENDENCYPART_ARC
(8,15),-0.262318 # DEPENDENCYPART_ARC
(8,16),0.138738 # DEPENDENCYPART_ARC
(8,17),0.623846 # DEPENDENCYPART_ARC
(8,18),-0.053652 # DEPENDENCYPART_ARC
(8,19),-1.04918 # DEPENDENCYPART_ARC
(8,20),-0.00818206 # DEPENDENCYPART_ARC
(8,21),-1.01284 # DEPENDENCYPART_ARC
(8,22),-1.56939 # DEPENDENCYPART_ARC
(8,23),1.04163 # DEPENDENCYPART_ARC
(9,1),2.22541 # DEPENDENCYPART_ARC
(9,2),1.83721 # DEPENDENCYPART_ARC
(9,3),0.326721 # DEPENDENCYPART_ARC
(9,4),0.463914 # DEPENDENCYPART_ARC
(9,5),0.544312 # DEPENDENCYPART_ARC
(9,6),3.39585 # DEPENDENCYPART_ARC
(9,7),0.53978 # DEPENDENCYPART_ARC
(9,8),3.41791 # DEPENDENCYPART_ARC
(9,10),4.27365 # DEPENDENCYPART_ARC
(9,11),-0.634327 # DEPENDENCYPART_ARC
(9,12),0.181345 # DEPENDENCYPART_ARC
(9,13),0.381697 # DEPENDENCYPART_ARC
(9,14),3.63728 # DEPENDENCYPART_ARC
(9,15),0.310316 # DEPENDENCYPART_ARC
(9,16),0.940524 # DEPENDENCYPART_ARC
(9,17),-0.718733 # DEPENDENCYPART_ARC
(9,18),-1.38081 # DEPENDENCYPART_ARC
(9,19),-1.96964 # DEPENDENCYPART_ARC
(9,20),-1.59866 # DEPENDENCYPART_ARC
(9,21),-2.35153 # DEPENDENCYPART_ARC
(9,22),-1.92815 # DEPENDENCYPART_ARC
(9,23),4.96887 # DEPENDENCYPART_ARC
(10,1),-0.476751 # DEPENDENCYPART_ARC
(10,2),0.58574 # DEPENDENCYPART_ARC
(10,3),0.604933 # DEPENDENCYPART_ARC
(10,4),0.410352 # DEPENDENCYPART_ARC
(10,5),-0.15344 # DEPENDENCYPART_ARC
(10,6),0.958828 # DEPENDENCYPART_ARC
(10,7),1.35466 # DEPENDENCYPART_ARC
(10,8),0.829198 # DEPENDENCYPART_ARC
(10,9),1.17259 # DEPENDENCYPART_ARC
(10,11),2.19001 # DEPENDENCYPART_ARC
(10,12),1.46749 # DEPENDENCYPART_ARC
(10,13),2.02909 # DEPENDENCYPART_ARC
(10,14),1.72084 # DEPENDENCYPART_ARC
(10,15),0.752416 # DEPENDENCYPART_ARC
(10,16),1.08187 # DEPENDENCYPART_ARC
(10,17),1.79358 # DEPENDENCYPART_ARC
(10,18),0.495145 # DEPENDENCYPART_ARC
(10,19),0.44919 # DEPENDENCYPART_ARC
(10,20),0.562486 # DEPENDENCYPART_ARC
(10,21),-0.417813 # DEPENDENCYPART_ARC
(10,22),-0.333668 # DEPENDENCYPART_ARC
(10,23),2.22545 # DEPENDENCYPART_ARC
(11,1),-0.566469 # DEPENDENCYPART_ARC
(11,2),-0.974267 # DEPENDENCYPART_ARC
(11,3),-0.655978 # DEPENDENCYPART_ARC
(11,4),-0.216714 # DEPENDENCYPART_ARC
(11,5),-1.03357 # DEPENDENCYPART_ARC
(11,6),-0.381384 # DEPENDENCYPART_ARC
(11,7),0.452579 # DEPENDENCYPART_ARC
(11,8),-0.161018 # DEPENDENCYPART_ARC
(11,9),-0.211057 # DEPENDENCYPART_ARC
(11,10),1.02897 # DEPENDENCYPART_ARC
(11,12),4.93545 # DEPENDENCYPART_ARC
(11,13),1.25056 # DEPENDENCYPART_ARC
(11,14),1.49087 # DEPENDENCYPART_ARC
(11,15),1.12791 # DEPENDENCYPART_ARC
(11,16),0.809656 # DEPENDENCYPART_ARC
(11,17),1.64664 # DEPENDENCYPART_ARC
(11,18),0.251406 # DEPENDENCYPART_ARC
(11,19),-0.239584 # DEPENDENCYPART_ARC
(11,20),1.32417 # DEPENDENCYPART_ARC
(11,21),-0.268793 # DEPENDENCYPART_ARC
(11,22),-1.26758 # DEPENDENCYPART_ARC
(11,23),1.43377 # DEPENDENCYPART_ARC
(12,1),-2.04155 # DEPENDENCYPART_ARC
(12,2),-1.93731 # DEPENDENCYPART_ARC
(12,3),-0.783309 # DEPENDENCYPART_ARC
(12,4),-0.818386 # DEPENDENCYPART_ARC
(12,5),-1.78573 # DEPENDENCYPART_ARC
(12,6),-0.981398 # DEPENDENCYPART_ARC
(12,7),0.525337 # DEPENDENCYPART_ARC
(12,8),-0.788668 # DEPENDENCYPART_ARC
(12,9),-0.505408 # DEPENDENCYPART_ARC
(12,10),0.478782 # DEPENDENCYPART_ARC
(12,11),1.82151 # DEPENDENCYPART_ARC
(12,13),0.791521 # DEPENDENCYPART_ARC
(12,14),-0.00925739 # DEPENDENCYPART_ARC
(12,15),0.175738 # DEPENDENCYPART_ARC
(12,16),-0.376455 # DEPENDENCYPART_ARC
(12,17),-0.885155 # DEPENDENCYPART_ARC
(12,18),-0.995527 # DEPENDENCYPART_ARC
(12,19),-1.25174 # DEPENDENCYPART_ARC
(12,20),-0.373803 # DEPENDENCYPART_ARC
(12,21),-1.54184 # DEPENDENCYPART_ARC
(12,22),-1.28744 # DEPENDENCYPART_ARC
(12,23),-0.706929 # DEPENDENCYPART_ARC
(13,1),-2.591 # DEPENDENCYPART_ARC
(13,2),-1.66218 # DEPENDENCYPART_ARC
(13,3),1.38379 # DEPENDENCYPART_ARC
(13,4),0.477805 # DEPENDENCYPART_ARC
(13,5),-1.92482 # DEPENDENCYPART_ARC
(13,6),-0.726444 # DEPENDENCYPART_ARC
(13,7),1.34367 # DEPENDENCYPART_ARC
(13,8),0.461634 # DEPENDENCYPART_ARC
(13,9),-0.463033 # DEPENDENCYPART_ARC
(13,10),1.07662 # DEPENDENCYPART_ARC
(13,11),3.51636 # DEPENDENCYPART_ARC
(13,12),3.39735 # DEPENDENCYPART_ARC
(13,14),1.36078 # DEPENDENCYPART_ARC
(13,15),1.46119 # DEPENDENCYPART_ARC
(13,16),1.29624 # DEPENDENCYPART_ARC
(13,17),0.493296 # DEPENDENCYPART_ARC
(13,18),0.191723 # DEPENDENCYPART_ARC
(13,19),-0.0294014 # DEPENDENCYPART_ARC
(13,20),1.26724 # DEPENDENCYPART_ARC
(13,21),-0.341909 # DEPENDENCYPART_ARC
(13,22),-0.141918 # DEPENDENCYPART_ARC
(13,23),0.819365 # DEPENDENCYPART_ARC
(14,1),-2.37737 # DEPENDENCYPART_ARC
(14,2),-1.55284 # DEPENDENCYPART_ARC
(14,3),-1.21593 # DEPENDENCYPART_ARC
(14,4),-1.57231 # DEPENDENCYPART_ARC
(14,5),-1.05166 # DEPENDENCYPART_ARC
(14,6),-1.63195 # DEPENDENCYPART_ARC
(14,7),-0.922417 # DEPENDENCYPART_ARC
(14,8),-0.867819 # DEPENDENCYPART_ARC
(14,9),-0.788596 # DEPENDENCYPART_ARC
(14,10),-0.967197 # DEPENDENCYPART_ARC
(14,11),-0.783374 # DEPENDENCYPART_ARC
(14,12),-0.589738 # DEPENDENCYPART_ARC
(14,13),0.166366 # DEPENDENCYPART_ARC
(14,15),4.09871 # DEPENDENCYPART_ARC
(14,16),1.01389 # DEPENDENCYPART_ARC
(14,17),0.304639 # DEPENDENCYPART_ARC
(14,18),-0.128568 # DEPENDENCYPART_ARC
(14,19),-0.596895 # DEPENDENCYPART_ARC
(14,20),-0.64093 # DEPENDENCYPART_ARC
(14,21),-1.79654 # DEPENDENCYPART_ARC
(14,22),-2.43258 # DEPENDENCYPART_ARC
(14,23),-0.137265 # DEPENDENCYPART_ARC
(15,1),0.0390554 # DEPENDENCYPART_ARC
(15,2),-0.762494 # DEPENDENCYPART_ARC
(15,3),-1.70033 # DEPENDENCYPART_ARC
(15,4),-1.32891 # DEPENDENCYPART_ARC
(15,5),-1.42891 # DEPENDENCYPART_ARC
(15,6),-0.0756058 # DEPENDENCYPART_ARC
(15,7),-1.92901 # DEPENDENCYPART_ARC
(15,8),0.0244067 # DEPENDENCYPART_ARC
(15,9),-1.65977 # DEPENDENCYPART_ARC
(15,10),-1.32883 # DEPENDENCYPART_ARC
(15,11),-0.882518 # DEPENDENCYPART_ARC
(15,12),-0.782923 # DEPENDENCYPART_ARC
(15,13),-0.644556 # DEPENDENCYPART_ARC
(15,14),0.31414 # DEPENDENCYPART_ARC
(15,16),3.97594 # DEPENDENCYPART_ARC
(15,17),0.706173 # DEPENDENCYPART_ARC
(15,18),0.315228 # DEPENDENCYPART_ARC
(15,19),-0.380299 # DEPENDENCYPART_ARC
(15,20),-0.42134 # DEPENDENCYPART_ARC
(15,21),-1.60142 # DEPENDENCYPART_ARC
(15,22),-0.977694 # DEPENDENCYPART_ARC
(15,23),2.48994 # DEPENDENCYPART_ARC
(16,1),-1.60123 # DEPENDENCYPART_ARC
(16,2),-0.759897 # DEPENDENCYPART_ARC
(16,3),-0.581219 # DEPENDENCYPART_ARC
(16,4),-0.654318 # DEPENDENCYPART_ARC
(16,5),-1.2589 # DEPENDENCYPART_ARC
(16,6),-0.838802 # DEPENDENCYPART_ARC
(16,7),-0.0133075 # DEPENDENCYPART_ARC
(16,8),-0.266596 # DEPENDENCYPART_ARC
(16,9),-0.667034 # DEPENDENCYPART_ARC
(16,10),-0.475084 # DEPENDENCYPART_ARC
(16,11),-0.19281 # DEPENDENCYPART_ARC
(16,12),-0.15749 # DEPENDENCYPART_ARC
(16,13),0.584007 # DEPENDENCYPART_ARC
(16,14),-0.113409 # DEPENDENCYPART_ARC
(16,15),0.746099 # DEPENDENCYPART_ARC
(16,17),4.20059 # DEPENDENCYPART_ARC
(16,18),1.61214 # DEPENDENCYPART_ARC
(16,19),1.44258 # DEPENDENCYPART_ARC
(16,20),1.3146 # DEPENDENCYPART_ARC
(16,21),-0.0968254 # DEPENDENCYPART_ARC
(16,22),-0.189049 # DEPENDENCYPART_ARC
(16,23),1.27216 # DEPENDENCYPART_ARC
(17,1),-3.18993 # DEPENDENCYPART_ARC
(17,2),-1.78152 # DEPENDENCYPART_ARC
(17,3),-1.40126 # DEPENDENCYPART_ARC
(17,4),-1.79286 # DEPENDENCYPART_ARC
(17,5),-1.94093 # DEPENDENCYPART_ARC
(17,6),-1.46121 # DEPENDENCYPART_ARC
(17,7),-0.840847 # DEPENDENCYPART_ARC
(17,8),-0.624808 # DEPENDENCYPART_ARC
(17,9),-0.988857 # DEPENDENCYPART_ARC
(17,10),-1.3181 # DEPENDENCYPART_ARC
(17,11),-1.65329 # DEPENDENCYPART_ARC
(17,12),-0.216636 # DEPENDENCYPART_ARC
(17,13),0.0529188 # DEPENDENCYPART_ARC
(17,14),-0.018395 # DEPENDENCYPART_ARC
(17,15),-0.00938353 # DEPENDENCYPART_ARC
(17,16),0.186232 # DEPENDENCYPART_ARC
(17,18),3.51345 # DEPENDENCYPART_ARC
(17,19),1.3826 # DEPENDENCYPART_ARC
(17,20),0.746048 # DEPENDENCYPART_ARC
(17,21),-0.21879 # DEPENDENCYPART_ARC
(17,22),-0.307132 # DEPENDENCYPART_ARC
(17,23),0.472982 # DEPENDENCYPART_ARC
(18,1),-1.83724 # DEPENDENCYPART_ARC
(18,2),-2.07876 # DEPENDENCYPART_ARC
(18,3),-1.24042 # DEPENDENCYPART_ARC
(18,4),-1.29587 # DEPENDENCYPART_ARC
(18,5),-1.83781 # DEPENDENCYPART_ARC
(18,6),-0.731307 # DEPENDENCYPART_ARC
(18,7),-1.05934 # DEPENDENCYPART_ARC
(18,8),-1.36892 # DEPENDENCYPART_ARC
(18,9),-0.616522 # DEPENDENCYPART_ARC
(18,10),-1.0338 # DEPENDENCYPART_ARC
(18,11),-0.635462 # DEPENDENCYPART_ARC
(18,12),-0.623051 # DEPENDENCYPART_ARC
(18,13),-0.349963 # DEPENDENCYPART_ARC
(18,14),-0.753831 # DEPENDENCYPART_ARC
(18,15),0.190238 # DEPENDENCYPART_ARC
(18,16),0.0582387 # DEPENDENCYPART_ARC
(18,17),1.11065 # DEPENDENCYPART_ARC
(18,19),3.67307 # DEPENDENCYPART_ARC
(18,20),2.00085 # DEPENDENCYPART_ARC
(18,21),0.228859 # DEPENDENCYPART_ARC
(18,22),1.2946 # DEPENDENCYPART_ARC
(18,23),0.0678918 # DEPENDENCYPART_ARC
(19,1),-4.65519 # DEPENDENCYPART_ARC
(19,2),-2.66632 # DEPENDENCYPART_ARC
(19,3),-0.873035 # DEPENDENCYPART_ARC
(19,4),-2.28196 # DEPENDENCYPART_ARC
(19,5),-4.6969 # DEPENDENCYPART_ARC
(19,6),-2.64591 # DEPENDENCYPART_ARC
(19,7),-2.35207 # DEPENDENCYPART_ARC
(19,8),-2.68639 # DEPENDENCYPART_ARC
(19,9),-1.95151 # DEPENDENCYPART_ARC
(19,10),-1.08948 # DEPENDENCYPART_ARC
(19,11),-0.71947 # DEPENDENCYPART_ARC
(19,12),-0.918543 # DEPENDENCYPART_ARC
(19,13),-1.15055 # DEPENDENCYPART_ARC
(19,14),-1.40741 # DEPENDENCYPART_ARC
(19,15),-0.886072 # DEPENDENCYPART_ARC
(19,16),0.283829 # DEPENDENCYPART_ARC
(19,17),-0.100899 # DEPENDENCYPART_ARC
(19,18),1.39834 # DEPENDENCYPART_ARC
(19,20),4.22486 # DEPENDENCYPART_ARC
(19,21),0.910501 # DEPENDENCYPART_ARC
(19,22),1.16079 # DEPENDENCYPART_ARC
(19,23),1.25821 # DEPENDENCYPART_ARC
(20,1),-2.72055 # DEPENDENCYPART_ARC
(20,2),-2.69351 # DEPENDENCYPART_ARC
(20,3),-2.01169 # DEPENDENCYPART_ARC
(20,4),-2.52528 # DEPENDENCYPART_ARC
(20,5),-2.9927 # DEPENDENCYPART_ARC
(20,6),-2.56234 # DEPENDENCYPART_ARC
(20,7),-2.39482 # DEPENDENCYPART_ARC
(20,8),-1.84479 # DEPENDENCYPART_ARC
(20,9),-1.92643 # DEPENDENCYPART_ARC
(20,10),-1.50401 # DEPENDENCYPART_ARC
(20,11),-1.1463 # DEPENDENCYPART_ARC
(20,12),-1.30289 # DEPENDENCYPART_ARC
(20,13),-1.17475 # DEPENDENCYPART_ARC
(20,14),-1.32718 # DEPENDENCYPART_ARC
(20,15),-1.01991 # DEPENDENCYPART_ARC
(20,16),-0.891884 # DEPENDENCYPART_ARC
(20,17),-0.619181 # DEPENDENCYPART_ARC
(20,18),-0.291968 # DEPENDENCYPART_ARC
(20,19),0.495171 # DEPENDENCYPART_ARC
(20,21),1.64393 # DEPENDENCYPART_ARC
(20,22),4.17713 # DEPENDENCYPART_ARC
(20,23),-0.00463939 # DEPENDENCYPART_ARC
(21,1),-3.73685 # DEPENDENCYPART_ARC
(21,2),-3.33137 # DEPENDENCYPART_ARC
(21,3),-2.80888 # DEPENDENCYPART_ARC
(21,4),-3.26746 # DEPENDENCYPART_ARC
(21,5),-3.64508 # DEPENDENCYPART_ARC
(21,6),-2.97465 # DEPENDENCYPART_ARC
(21,7),-2.5712 # DEPENDENCYPART_ARC
(21,8),-3.29079 # DEPENDENCYPART_ARC
(21,9),-2.80386 # DEPENDENCYPART_ARC
(21,10),-2.60542 # DEPENDENCYPART_ARC
(21,11),-2.35695 # DEPENDENCYPART_ARC
(21,12),-2.1216 # DEPENDENCYPART_ARC
(21,13),-2.45254 # DEPENDENCYPART_ARC
(21,14),-2.51664 # DEPENDENCYPART_ARC
(21,15),-2.07596 # DEPENDENCYPART_ARC
(21,16),-1.96638 # DEPENDENCYPART_ARC
(21,17),-1.70399 # DEPENDENCYPART_ARC
(21,18),-1.07076 # DEPENDENCYPART_ARC
(21,19),-1.53866 # DEPENDENCYPART_ARC
(21,20),-0.222779 # DEPENDENCYPART_ARC
(21,22),0.577721 # DEPENDENCYPART_ARC
(21,23),-0.279939 # DEPENDENCYPART_ARC
(22,1),-4.89029 # DEPENDENCYPART_ARC
(22,2),-2.52666 # DEPENDENCYPART_ARC
(22,3),-1.50934 # DEPENDENCYPART_ARC
(22,4),-3.79636 # DEPENDENCYPART_ARC
(22,5),-5.04407 # DEPENDENCYPART_ARC
(22,6),-2.34896 # DEPENDENCYPART_ARC
(22,7),-4.4067 # DEPENDENCYPART_ARC
(22,8),-3.53804 # DEPENDENCYPART_ARC
(22,9),-2.08193 # DEPENDENCYPART_ARC
(22,10),-1.42701 # DEPENDENCYPART_ARC
(22,11),-1.04222 # DEPENDENCYPART_ARC
(22,12),-1.55812 # DEPENDENCYPART_ARC
(22,13),-2.02555 # DEPENDENCYPART_ARC
(22,14),-1.40544 # DEPENDENCYPART_ARC
(22,15),-1.1014 # DEPENDENCYPART_ARC
(22,16),-0.86441 # DEPENDENCYPART_ARC
(22,17),-0.795613 # DEPENDENCYPART_ARC
(22,18),0.0183527 # DEPENDENCYPART_ARC
(22,19),-0.0425449 # DEPENDENCYPART_ARC
(22,20),1.04561 # DEPENDENCYPART_ARC
(22,21),4.5187 # DEPENDENCYPART_ARC
(22,23),0.381694 # DEPENDENCYPART_ARC
(23,1),-1.98971 # DEPENDENCYPART_ARC
(23,2),-3.30524 # DEPENDENCYPART_ARC
(23,3),-2.21755 # DEPENDENCYPART_ARC
(23,4),-2.8389 # DEPENDENCYPART_ARC
