# _root_ Laidlaw is 47%-controlled by Canadian Pacific Ltd. , a Montreal transportation , resources and industrial holding concern .
#goldHeads=2,0,4,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
#predictedHeads=2,0,2,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
(3,17),-0.6427 # DEPENDENCYPART_ARC
(3,18),-0.198759 # DEPENDENCYPART_ARC
(4,1),-0.392428 # DEPENDENCYPART_ARC
(4,2),-0.237366 # DEPENDENCYPART_ARC
(4,3),0.750293 # DEPENDENCYPART_ARC
(4,5),2.58512 # DEPENDENCYPART_ARC
(4,6),2.79518 # DEPENDENCYPART_ARC
(4,7),1.85791 # DEPENDENCYPART_ARC
(4,8),0.339496 # DEPENDENCYPART_ARC
(4,9),-1.63395 # DEPENDENCYPART_ARC
(4,10),-0.31712 # DEPENDENCYPART_ARC
(4,11),-0.325093 # DEPENDENCYPART_ARC
(4,12),0.163093 # DEPENDENCYPART_ARC
(4,13),-2.58612 # DEPENDENCYPART_ARC
(4,14),-0.829538 # DEPENDENCYPART_ARC
(4,15),-1.99225 # DEPENDENCYPART_ARC
(4,16),-2.24475 # DEPENDENCYPART_ARC
(4,17),-2.8036 # DEPENDENCYPART_ARC
(4,18),-1.59206 # DEPENDENCYPART_ARC
(5,1),-2.63329 # DEPENDENCYPART_ARC
(5,2),-2.8086 # DEPENDENCYPART_ARC
(5,3),-1.37189 # DEPENDENCYPART_ARC
(5,4),-1.53719 # DEPENDENCYPART_ARC
(5,6),0.8489 # DEPENDENCYPART_ARC
(5,7),1.51179 # DEPENDENCYPART_ARC
(5,8),0.92692 # DEPENDENCYPART_ARC
(5,9),-1.74454 # DEPENDENCYPART_ARC
(5,10),-1.93544 # DEPENDENCYPART_ARC
(5,11),0.0386066 # DEPENDENCYPART_ARC
(5,12),-0.249678 # DEPENDENCYPART_ARC
(5,13),-1.82227 # DEPENDENCYPART_ARC
(5,14),-2.24525 # DEPENDENCYPART_ARC
(5,15),-2.16069 # DEPENDENCYPART_ARC
(5,16),-2.78738 # DEPENDENCYPART_ARC
(5,17),-1.89426 # DEPENDENCYPART_ARC
(5,18),-2.07237 # DEPENDENCYPART_ARC
(6,1),0.28383 # DEPENDENCYPART_ARC
(6,2),-0.504447 # DEPENDENCYPART_ARC
(6,3),0.803272 # DEPENDENCYPART_ARC
(6,4),0.250647 # DEPENDENCYPART_ARC
(6,5),4.94336 # DEPENDENCYPART_ARC
(6,7),4.26625 # DEPENDENCYPART_ARC
(6,8),2.93248 # DEPENDENCYPART_ARC
(6,9),0.633207 # DEPENDENCYPART_ARC
(6,10),0.402995 # DEPENDENCYPART_ARC
(6,11),2.68955 # DEPENDENCYPART_ARC
(6,12),1.64698 # DEPENDENCYPART_ARC
(6,13),0.689144 # DEPENDENCYPART_ARC
(6,14),0.930113 # DEPENDENCYPART_ARC
(6,15),0.139457 # DEPENDENCYPART_ARC
(6,16),-0.267578 # DEPENDENCYPART_ARC
(6,17),0.726282 # DEPENDENCYPART_ARC
(6,18),0.902754 # DEPENDENCYPART_ARC
(7,1),-1.86859 # DEPENDENCYPART_ARC
(7,2),-1.37632 # DEPENDENCYPART_ARC
(7,3),-0.0450015 # DEPENDENCYPART_ARC
(7,4),-0.776695 # DEPENDENCYPART_ARC
(7,5),2.67022 # DEPENDENCYPART_ARC
(7,6),2.0838 # DEPENDENCYPART_ARC
(7,8),1.64658 # DEPENDENCYPART_ARC
(7,9),-0.372805 # DEPENDENCYPART_ARC
(7,10),-0.228446 # DEPENDENCYPART_ARC
(7,11),1.39837 # DEPENDENCYPART_ARC
(7,12),0.511266 # DEPENDENCYPART_ARC
(7,13),-0.34017 # DEPENDENCYPART_ARC
(7,14),-0.951364 # DEPENDENCYPART_ARC
(7,15),-0.898613 # DEPENDENCYPART_ARC
(7,16),-1.20705 # DEPENDENCYPART_ARC
(7,17),-0.362862 # DEPENDENCYPART_ARC
(7,18),-0.227653 # DEPENDENCYPART_ARC
(8,1),-1.93027 # DEPENDENCYPART_ARC
(8,2),-1.47626 # DEPENDENCYPART_ARC
(8,3),-1.49849 # DEPENDENCYPART_ARC
(8,4),-1.23891 # DEPENDENCYPART_ARC
(8,5),-1.29856 # DEPENDENCYPART_ARC
(8,6),-1.44273 # DEPENDENCYPART_ARC
(8,7),-0.8517 # DEPENDENCYPART_ARC
(8,9),-0.530801 # DEPENDENCYPART_ARC
(8,10),-0.814631 # DEPENDENCYPART_ARC
(8,11),-1.53994 # DEPENDENCYPART_ARC
(8,12),-0.0744827 # DEPENDENCYPART_ARC
(8,13),-1.82376 # DEPENDENCYPART_ARC
(8,14),-1.54013 # DEPENDENCYPART_ARC
(8,15),-2.09423 # DEPENDENCYPART_ARC
(8,16),-1.82174 # DEPENDENCYPART_ARC
(8,17),-2.66727 # DEPENDENCYPART_ARC
(8,18),-1.78941 # DEPENDENCYPART_ARC
(9,1),-1.96592 # DEPENDENCYPART_ARC
(9,2),-2.09294 # DEPENDENCYPART_ARC
(9,3),-1.63089 # DEPENDENCYPART_ARC
(9,4),-0.98034 # DEPENDENCYPART_ARC
(9,5),-1.37367 # DEPENDENCYPART_ARC
(9,6),-1.13733 # DEPENDENCYPART_ARC
(9,7),-1.10339 # DEPENDENCYPART_ARC
(9,8),-0.199645 # DEPENDENCYPART_ARC
(9,10),0.635348 # DEPENDENCYPART_ARC
(9,11),0.497824 # DEPENDENCYPART_ARC
(9,12),0.583786 # DEPENDENCYPART_ARC
(9,13),-0.19307 # DEPENDENCYPART_ARC
(9,14),-0.183741 # DEPENDENCYPART_ARC
(9,15),-0.60142 # DEPENDENCYPART_ARC
(9,16),-0.422153 # DEPENDENCYPART_ARC
(9,17),-0.746427 # DEPENDENCYPART_ARC
(9,18),-0.709644 # DEPENDENCYPART_ARC
(10,1),-3.27612 # DEPENDENCYPART_ARC
(10,2),-2.81083 # DEPENDENCYPART_ARC
(10,3),-2.12042 # DEPENDENCYPART_ARC
(10,4),-2.52133 # DEPENDENCYPART_ARC
(10,5),-0.35322 # DEPENDENCYPART_ARC
(10,6),-0.78507 # DEPENDENCYPART_ARC
(10,7),-0.616598 # DEPENDENCYPART_ARC
(10,8),0.558311 # DEPENDENCYPART_ARC
(10,9),1.67927 # DEPENDENCYPART_ARC
(10,11),0.905216 # DEPENDENCYPART_ARC
(10,12),-0.113055 # DEPENDENCYPART_ARC
(10,13),-0.540378 # DEPENDENCYPART_ARC
(10,14),-0.545678 # DEPENDENCYPART_ARC
(10,15),-0.661675 # DEPENDENCYPART_ARC
(10,16),-1.15954 # DEPENDENCYPART_ARC
(10,17),-1.31489 # DEPENDENCYPART_ARC
(10,18),-0.849583 # DEPENDENCYPART_ARC
(11,1),-1.44983 # DEPENDENCYPART_ARC
(11,2),-0.904683 # DEPENDENCYPART_ARC
(11,3),-0.633184 # DEPENDENCYPART_ARC
(11,4),-0.32966 # DEPENDENCYPART_ARC
(11,5),1.16269 # DEPENDENCYPART_ARC
(11,6),0.979809 # DEPENDENCYPART_ARC
(11,7),0.0814588 # DEPENDENCYPART_ARC
(11,8),1.02236 # DEPENDENCYPART_ARC
(11,9),4.25342 # DEPENDENCYPART_ARC
(11,10),4.40199 # DEPENDENCYPART_ARC
(11,12),2.28035 # DEPENDENCYPART_ARC
(11,13),2.06612 # DEPENDENCYPART_ARC
(11,14),1.06382 # DEPENDENCYPART_ARC
(11,15),0.508409 # DEPENDENCYPART_ARC
(11,16),0.528019 # DEPENDENCYPART_ARC
(11,17),-0.175198 # DEPENDENCYPART_ARC
(11,18),0.436408 # DEPENDENCYPART_ARC
(12,1),-2.71239 # DEPENDENCYPART_ARC
(12,2),-2.24826 # DEPENDENCYPART_ARC
(12,3),-2.22518 # DEPENDENCYPART_ARC
(12,4),-1.93395 # DEPENDENCYPART_ARC
(12,5),-2.17656 # DEPENDENCYPART_ARC
(12,6),-2.05415 # DEPENDENCYPART_ARC
(12,7),-2.20284 # DEPENDENCYPART_ARC
(12,8),-0.332137 # DEPENDENCYPART_ARC
(12,9),-0.792069 # DEPENDENCYPART_ARC
(12,10),-1.66397 # DEPENDENCYPART_ARC
(12,11),-1.11868 # DEPENDENCYPART_ARC
(12,13),-0.662255 # DEPENDENCYPART_ARC
(12,14),-1.31498 # DEPENDENCYPART_ARC
(12,15),-1.58125 # DEPENDENCYPART_ARC
(12,16),-1.70727 # DEPENDENCYPART_ARC
(12,17),-2.16524 # DEPENDENCYPART_ARC
(12,18),-1.55344 # DEPENDENCYPART_ARC
(13,1),-2.63752 # DEPENDENCYPART_ARC
(13,2),-1.72524 # DEPENDENCYPART_ARC
(13,3),-1.02534 # DEPENDENCYPART_ARC
(13,4),-0.288298 # DEPENDENCYPART_ARC
(13,5),0.129542 # DEPENDENCYPART_ARC
(13,6),-0.444797 # DEPENDENCYPART_ARC
(13,7),-0.810876 # DEPENDENCYPART_ARC
(13,8),0.325059 # DEPENDENCYPART_ARC
(13,9),2.03853 # DEPENDENCYPART_ARC
(13,10),1.82877 # DEPENDENCYPART_ARC
(13,11),0.994328 # DEPENDENCYPART_ARC
(13,12),0.869515 # DEPENDENCYPART_ARC
(13,14),3.79753 # DEPENDENCYPART_ARC
(13,15),0.924056 # DEPENDENCYPART_ARC
(13,16),1.51339 # DEPENDENCYPART_ARC
(13,17),0.45316 # DEPENDENCYPART_ARC
(13,18),0.77696 # DEPENDENCYPART_ARC
(14,1),-1.08204 # DEPENDENCYPART_ARC
(14,2),-1.49177 # DEPENDENCYPART_ARC
(14,3),-1.9358 # DEPENDENCYPART_ARC
(14,4),-1.36807 # DEPENDENCYPART_ARC
(14,5),-0.693707 # DEPENDENCYPART_ARC
(14,6),-0.664366 # DEPENDENCYPART_ARC
(14,7),-0.489299 # DEPENDENCYPART_ARC
(14,8),-1.35534 # DEPENDENCYPART_ARC
(14,9),-0.698858 # DEPENDENCYPART_ARC
(14,10),-0.247148 # DEPENDENCYPART_ARC
(14,11),0.14212 # DEPENDENCYPART_ARC
(14,12),-0.781467 # DEPENDENCYPART_ARC
(14,13),0.506273 # DEPENDENCYPART_ARC
(14,15),1.86505 # DEPENDENCYPART_ARC
(14,16),1.44192 # DEPENDENCYPART_ARC
(14,17),2.3376 # DEPENDENCYPART_ARC
(14,18),-0.0623847 # DEPENDENCYPART_ARC
(15,1),-2.9236 # DEPENDENCYPART_ARC
(15,2),-3.20695 # DEPENDENCYPART_ARC
(15,3),-2.66797 # DEPENDENCYPART_ARC
(15,4),-2.76754 # DEPENDENCYPART_ARC
(15,5),-1.77664 # DEPENDENCYPART_ARC
(15,6),-2.18158 # DEPENDENCYPART_ARC
(15,7),-2.5594 # DEPENDENCYPART_ARC
(15,8),-2.08331 # DEPENDENCYPART_ARC
(15,9),-0.883189 # DEPENDENCYPART_ARC
(15,10),-1.30572 # DEPENDENCYPART_ARC
(15,11),-1.64817 # DEPENDENCYPART_ARC
(15,12),-1.15302 # DEPENDENCYPART_ARC
(15,13),-0.933844 # DEPENDENCYPART_ARC
(15,14),-0.0993526 # DEPENDENCYPART_ARC
(15,16),1.84617 # DEPENDENCYPART_ARC
(15,17),1.14594 # DEPENDENCYPART_ARC
(15,18),0.766498 # DEPENDENCYPART_ARC
(16,1),0.12501 # DEPENDENCYPART_ARC
(16,2),-1.03362 # DEPENDENCYPART_ARC
(16,3),-0.505276 # DEPENDENCYPART_ARC
(16,4),-0.69609 # DEPENDENCYPART_ARC
(16,5),0.810419 # DEPENDENCYPART_ARC
(16,6),0.434692 # DEPENDENCYPART_ARC
(16,7),0.31439 # DEPENDENCYPART_ARC
(16,8),0.0197788 # DEPENDENCYPART_ARC
(16,9),0.425437 # DEPENDENCYPART_ARC
(16,10),0.793588 # DEPENDENCYPART_ARC
(16,11),0.484158 # DEPENDENCYPART_ARC
(16,12),0.620814 # DEPENDENCYPART_ARC
(16,13),1.48032 # DEPENDENCYPART_ARC
(16,14),0.894972 # DEPENDENCYPART_ARC
(16,15),1.45277 # DEPENDENCYPART_ARC
(16,17),0.848447 # DEPENDENCYPART_ARC
(16,18),-0.731011 # DEPENDENCYPART_ARC
(17,1),-3.19712 # DEPENDENCYPART_ARC
(17,2),-0.876959 # DEPENDENCYPART_ARC
(17,3),-1.04858 # DEPENDENCYPART_ARC
(17,4),-0.871646 # DEPENDENCYPART_ARC
(17,5),-0.536858 # DEPENDENCYPART_ARC
(17,6),-0.992824 # DEPENDENCYPART_ARC
(17,7),-1.15528 # DEPENDENCYPART_ARC
(17,8),-0.160902 # DEPENDENCYPART_ARC
(17,9),3.20263 # DEPENDENCYPART_ARC
(17,10),2.07576 # DEPENDENCYPART_ARC
(17,11),1.20052 # DEPENDENCYPART_ARC
(17,12),0.76561 # DEPENDENCYPART_ARC
(17,13),1.41116 # DEPENDENCYPART_ARC
(17,14),0.848162 # DEPENDENCYPART_ARC
(17,15),3.64779 # DEPENDENCYPART_ARC
(17,16),4.3216 # DEPENDENCYPART_ARC
(17,18),0.340754 # DEPENDENCYPART_ARC
(18,1),-2.24174 # DEPENDENCYPART_ARC
(18,2),-2.16797 # DEPENDENCYPART_ARC
(18,3),-2.5702 # DEPENDENCYPART_ARC
(18,4),-2.20218 # DEPENDENCYPART_ARC
(18,5),-1.89872 # DEPENDENCYPART_ARC
(18,6),-1.90552 # DEPENDENCYPART_ARC
(18,7),-2.01302 # DEPENDENCYPART_ARC
(18,8),-0.492859 # DEPENDENCYPART_ARC
(18,9),-1.4144 # DEPENDENCYPART_ARC
(18,10),-1.54584 # DEPENDENCYPART_ARC
(18,11),-1.51108 # DEPENDENCYPART_ARC
(18,12),-0.257616 # DEPENDENCYPART_ARC
(18,13),-1.8457 # DEPENDENCYPART_ARC
(18,14),-1.40566 # DEPENDENCYPART_ARC
(18,15),-1.08571 # DEPENDENCYPART_ARC
(18,16),-1.04577 # DEPENDENCYPART_ARC
(18,17),-1.59203 # DEPENDENCYPART_ARC
