# _root_ But prices of junk bonds , which were battered Friday in near standstill trading , rebounded to post small gains after a volatile trading session .
#goldHeads=16,16,2,5,3,5,8,5,8,9,9,13,14,11,5,0,16,17,20,18,18,25,25,25,21,16,
#predictedHeads=16,16,2,5,3,5,8,5,8,9,9,14,14,11,5,0,16,17,20,18,16,25,25,25,21,16,
(2,15),1.81464 # DEPENDENCYPART_ARC
(2,16),-0.199543 # DEPENDENCYPART_ARC
(2,17),-0.721082 # DEPENDENCYPART_ARC
(2,18),-0.497234 # DEPENDENCYPART_ARC
(2,19),-0.92322 # DEPENDENCYPART_ARC
(2,20),-0.972081 # DEPENDENCYPART_ARC
(2,21),-2.07088 # DEPENDENCYPART_ARC
(2,22),-1.51655 # DEPENDENCYPART_ARC
(2,23),-1.6087 # DEPENDENCYPART_ARC
(2,24),-1.9165 # DEPENDENCYPART_ARC
(2,25),-1.93143 # DEPENDENCYPART_ARC
(2,26),-0.321959 # DEPENDENCYPART_ARC
(3,1),-0.344233 # DEPENDENCYPART_ARC
(3,2),0.345848 # DEPENDENCYPART_ARC
(3,4),2.64096 # DEPENDENCYPART_ARC
(3,5),4.8393 # DEPENDENCYPART_ARC
(3,6),0.811548 # DEPENDENCYPART_ARC
(3,7),0.35675 # DEPENDENCYPART_ARC
(3,8),-0.575687 # DEPENDENCYPART_ARC
(3,9),-0.0590896 # DEPENDENCYPART_ARC
(3,10),-2.40082 # DEPENDENCYPART_ARC
(3,11),-0.405961 # DEPENDENCYPART_ARC
(3,12),-1.61662 # DEPENDENCYPART_ARC
(3,13),-1.50766 # DEPENDENCYPART_ARC
(3,14),-1.55381 # DEPENDENCYPART_ARC
(3,15),0.0993127 # DEPENDENCYPART_ARC
(3,16),-2.21992 # DEPENDENCYPART_ARC
(3,17),-3.72112 # DEPENDENCYPART_ARC
(3,18),-1.52237 # DEPENDENCYPART_ARC
(3,19),-3.3061 # DEPENDENCYPART_ARC
(3,20),-7.11689 # DEPENDENCYPART_ARC
(3,21),-1.60281 # DEPENDENCYPART_ARC
(3,22),-4.2682 # DEPENDENCYPART_ARC
(3,23),-3.58289 # DEPENDENCYPART_ARC
(3,24),-9.58325 # DEPENDENCYPART_ARC
(3,25),-7.9402 # DEPENDENCYPART_ARC
(3,26),-0.709615 # DEPENDENCYPART_ARC
(4,1),-2.88365 # DEPENDENCYPART_ARC
(4,2),-1.64124 # DEPENDENCYPART_ARC
(4,3),0.0472921 # DEPENDENCYPART_ARC
(4,5),1.37576 # DEPENDENCYPART_ARC
(4,6),-0.0798591 # DEPENDENCYPART_ARC
(4,7),-1.73937 # DEPENDENCYPART_ARC
(4,8),0.255826 # DEPENDENCYPART_ARC
(4,9),-1.07061 # DEPENDENCYPART_ARC
(4,10),-2.08735 # DEPENDENCYPART_ARC
(4,11),-2.22471 # DEPENDENCYPART_ARC
(4,12),-1.64965 # DEPENDENCYPART_ARC
(4,13),-1.82993 # DEPENDENCYPART_ARC
(4,14),-2.25574 # DEPENDENCYPART_ARC
(4,15),-0.210858 # DEPENDENCYPART_ARC
(4,16),-1.65899 # DEPENDENCYPART_ARC
(4,17),-2.43237 # DEPENDENCYPART_ARC
(4,18),-1.97168 # DEPENDENCYPART_ARC
(4,19),-2.8605 # DEPENDENCYPART_ARC
(4,20),-2.39844 # DEPENDENCYPART_ARC
(4,21),-4.08857 # DEPENDENCYPART_ARC
(4,22),-3.08137 # DEPENDENCYPART_ARC
(4,23),-3.58681 # DEPENDENCYPART_ARC
(4,24),-3.86512 # DEPENDENCYPART_ARC
(4,25),-4.09173 # DEPENDENCYPART_ARC
(4,26),-1.70769 # DEPENDENCYPART_ARC
(5,1),-1.44679 # DEPENDENCYPART_ARC
(5,2),0.422721 # DEPENDENCYPART_ARC
(5,3),0.37375 # DEPENDENCYPART_ARC
(5,4),5.17974 # DEPENDENCYPART_ARC
(5,6),3.09441 # DEPENDENCYPART_ARC
(5,7),-0.221223 # DEPENDENCYPART_ARC
(5,8),2.91113 # DEPENDENCYPART_ARC
(5,9),0.884828 # DEPENDENCYPART_ARC
(5,10),0.805836 # DEPENDENCYPART_ARC
(5,11),-0.334679 # DEPENDENCYPART_ARC
(5,12),0.443948 # DEPENDENCYPART_ARC
(5,13),0.224154 # DEPENDENCYPART_ARC
(5,14),0.508497 # DEPENDENCYPART_ARC
(5,15),3.16156 # DEPENDENCYPART_ARC
(5,16),-0.158143 # DEPENDENCYPART_ARC
(5,17),-0.855902 # DEPENDENCYPART_ARC
(5,18),-0.240188 # DEPENDENCYPART_ARC
(5,19),-0.619211 # DEPENDENCYPART_ARC
(5,20),-0.880542 # DEPENDENCYPART_ARC
(5,21),-1.61156 # DEPENDENCYPART_ARC
(5,22),-0.731576 # DEPENDENCYPART_ARC
(5,23),-1.03809 # DEPENDENCYPART_ARC
(5,24),-0.998934 # DEPENDENCYPART_ARC
(5,25),-0.907725 # DEPENDENCYPART_ARC
(5,26),-0.263299 # DEPENDENCYPART_ARC
(6,1),-2.01368 # DEPENDENCYPART_ARC
(6,2),-1.70781 # DEPENDENCYPART_ARC
(6,3),-1.06026 # DEPENDENCYPART_ARC
(6,4),-1.43728 # DEPENDENCYPART_ARC
(6,5),-1.15906 # DEPENDENCYPART_ARC
(6,7),-0.9762 # DEPENDENCYPART_ARC
(6,8),-0.665237 # DEPENDENCYPART_ARC
(6,9),-1.40734 # DEPENDENCYPART_ARC
(6,10),-1.52929 # DEPENDENCYPART_ARC
(6,11),-1.78459 # DEPENDENCYPART_ARC
(6,12),-2.17956 # DEPENDENCYPART_ARC
(6,13),-2.2938 # DEPENDENCYPART_ARC
(6,14),-2.69635 # DEPENDENCYPART_ARC
(6,15),-0.649608 # DEPENDENCYPART_ARC
(6,16),-2.04654 # DEPENDENCYPART_ARC
(6,17),-2.46974 # DEPENDENCYPART_ARC
(6,18),-2.33691 # DEPENDENCYPART_ARC
(6,19),-2.99734 # DEPENDENCYPART_ARC
(6,20),-3.26506 # DEPENDENCYPART_ARC
(6,21),-2.50475 # DEPENDENCYPART_ARC
(6,22),-3.19621 # DEPENDENCYPART_ARC
(6,23),-3.40183 # DEPENDENCYPART_ARC
(6,24),-3.85241 # DEPENDENCYPART_ARC
(6,25),-3.95069 # DEPENDENCYPART_ARC
(6,26),-2.78254 # DEPENDENCYPART_ARC
(7,1),-1.74977 # DEPENDENCYPART_ARC
(7,2),-1.47774 # DEPENDENCYPART_ARC
(7,3),-0.802613 # DEPENDENCYPART_ARC
(7,4),-0.806594 # DEPENDENCYPART_ARC
(7,5),-0.825631 # DEPENDENCYPART_ARC
(7,6),0.215659 # DEPENDENCYPART_ARC
(7,8),0.750279 # DEPENDENCYPART_ARC
(7,9),-0.350985 # DEPENDENCYPART_ARC
(7,10),-0.776322 # DEPENDENCYPART_ARC
(7,11),-1.17851 # DEPENDENCYPART_ARC
(7,12),-1.35733 # DEPENDENCYPART_ARC
(7,13),-1.67608 # DEPENDENCYPART_ARC
(7,14),-1.37522 # DEPENDENCYPART_ARC
(7,15),-1.12466 # DEPENDENCYPART_ARC
(7,16),-1.80054 # DEPENDENCYPART_ARC
(7,17),-1.72575 # DEPENDENCYPART_ARC
(7,18),-2.2887 # DEPENDENCYPART_ARC
(7,19),-2.48474 # DEPENDENCYPART_ARC
(7,20),-2.53305 # DEPENDENCYPART_ARC
(7,21),-2.25955 # DEPENDENCYPART_ARC
(7,22),-2.85975 # DEPENDENCYPART_ARC
(7,23),-2.84964 # DEPENDENCYPART_ARC
(7,24),-2.42755 # DEPENDENCYPART_ARC
(7,25),-2.55297 # DEPENDENCYPART_ARC
(7,26),-2.26821 # DEPENDENCYPART_ARC
(8,1),-0.428439 # DEPENDENCYPART_ARC
(8,2),0.693781 # DEPENDENCYPART_ARC
(8,3),-1.55475 # DEPENDENCYPART_ARC
(8,4),-0.58011 # DEPENDENCYPART_ARC
(8,5),0.168265 # DEPENDENCYPART_ARC
(8,6),0.212584 # DEPENDENCYPART_ARC
(8,7),3.40558 # DEPENDENCYPART_ARC
(8,9),3.34662 # DEPENDENCYPART_ARC
(8,10),1.75303 # DEPENDENCYPART_ARC
(8,11),1.33826 # DEPENDENCYPART_ARC
(8,12),-0.172218 # DEPENDENCYPART_ARC
(8,13),-0.4764 # DEPENDENCYPART_ARC
(8,14),0.0356294 # DEPENDENCYPART_ARC
(8,15),0.62384 # DEPENDENCYPART_ARC
(8,16),-0.229288 # DEPENDENCYPART_ARC
(8,17),-0.677615 # DEPENDENCYPART_ARC
(8,18),-0.991523 # DEPENDENCYPART_ARC
(8,19),-1.85137 # DEPENDENCYPART_ARC
(8,20),-0.750105 # DEPENDENCYPART_ARC
(8,21),-0.589723 # DEPENDENCYPART_ARC
(8,22),-2.46727 # DEPENDENCYPART_ARC
(8,23),-2.71514 # DEPENDENCYPART_ARC
(8,24),-3.0158 # DEPENDENCYPART_ARC
(8,25),-2.14032 # DEPENDENCYPART_ARC
(8,26),1.31928 # DEPENDENCYPART_ARC
(9,1),-0.810368 # DEPENDENCYPART_ARC
(9,2),-0.238332 # DEPENDENCYPART_ARC
(9,3),0.242928 # DEPENDENCYPART_ARC
(9,4),-0.200517 # DEPENDENCYPART_ARC
(9,5),-0.273123 # DEPENDENCYPART_ARC
(9,6),0.53972 # DEPENDENCYPART_ARC
(9,7),1.46005 # DEPENDENCYPART_ARC
(9,8),0.462829 # DEPENDENCYPART_ARC
(9,10),3.50371 # DEPENDENCYPART_ARC
(9,11),3.31421 # DEPENDENCYPART_ARC
(9,12),0.986049 # DEPENDENCYPART_ARC
(9,13),0.7854 # DEPENDENCYPART_ARC
(9,14),1.78413 # DEPENDENCYPART_ARC
(9,15),1.97369 # DEPENDENCYPART_ARC
(9,16),0.995289 # DEPENDENCYPART_ARC
(9,17),1.60236 # DEPENDENCYPART_ARC
(9,18),0.237133 # DEPENDENCYPART_ARC
(9,19),-0.0547629 # DEPENDENCYPART_ARC
(9,20),0.19075 # DEPENDENCYPART_ARC
(9,21),1.20045 # DEPENDENCYPART_ARC
(9,22),-0.543234 # DEPENDENCYPART_ARC
(9,23),-0.872336 # DEPENDENCYPART_ARC
(9,24),-1.06399 # DEPENDENCYPART_ARC
(9,25),-1.03801 # DEPENDENCYPART_ARC
(9,26),1.32313 # DEPENDENCYPART_ARC
(10,1),-3.27864 # DEPENDENCYPART_ARC
(10,2),-2.55596 # DEPENDENCYPART_ARC
(10,3),-1.70989 # DEPENDENCYPART_ARC
(10,4),-1.87669 # DEPENDENCYPART_ARC
(10,5),-1.91255 # DEPENDENCYPART_ARC
(10,6),-1.27003 # DEPENDENCYPART_ARC
(10,7),-0.831789 # DEPENDENCYPART_ARC
(10,8),-0.782071 # DEPENDENCYPART_ARC
(10,9),0.686189 # DEPENDENCYPART_ARC
(10,11),0.971755 # DEPENDENCYPART_ARC
(10,12),1.44109 # DEPENDENCYPART_ARC
(10,13),1.06035 # DEPENDENCYPART_ARC
(10,14),1.03783 # DEPENDENCYPART_ARC
(10,15),0.123294 # DEPENDENCYPART_ARC
(10,16),-0.218933 # DEPENDENCYPART_ARC
(10,17),-0.20224 # DEPENDENCYPART_ARC
(10,18),-1.00082 # DEPENDENCYPART_ARC
(10,19),-0.269411 # DEPENDENCYPART_ARC
(10,20),-0.752821 # DEPENDENCYPART_ARC
(10,21),-1.06794 # DEPENDENCYPART_ARC
(10,22),-0.799192 # DEPENDENCYPART_ARC
(10,23),-0.588983 # DEPENDENCYPART_ARC
(10,24),-2.64509 # DEPENDENCYPART_ARC
(10,25),-3.16508 # DEPENDENCYPART_ARC
(10,26),0.564039 # DEPENDENCYPART_ARC
(11,1),-1.79298 # DEPENDENCYPART_ARC
(11,2),-0.877696 # DEPENDENCYPART_ARC
(11,3),-0.789809 # DEPENDENCYPART_ARC
(11,4),-1.37689 # DEPENDENCYPART_ARC
(11,5),-1.06095 # DEPENDENCYPART_ARC
(11,6),-0.489695 # DEPENDENCYPART_ARC
(11,7),0.522261 # DEPENDENCYPART_ARC
(11,8),-0.056303 # DEPENDENCYPART_ARC
(11,9),-0.0897647 # DEPENDENCYPART_ARC
(11,10),0.322722 # DEPENDENCYPART_ARC
(11,12),2.17896 # DEPENDENCYPART_ARC
(11,13),1.49856 # DEPENDENCYPART_ARC
(11,14),4.5152 # DEPENDENCYPART_ARC
(11,15),1.17146 # DEPENDENCYPART_ARC
(11,16),0.104521 # DEPENDENCYPART_ARC
(11,17),-0.151683 # DEPENDENCYPART_ARC
(11,18),-0.16417 # DEPENDENCYPART_ARC
(11,19),-0.59239 # DEPENDENCYPART_ARC
(11,20),-1.06101 # DEPENDENCYPART_ARC
(11,21),0.107427 # DEPENDENCYPART_ARC
(11,22),-2.36908 # DEPENDENCYPART_ARC
(11,23),-1.10087 # DEPENDENCYPART_ARC
(11,24),-3.95277 # DEPENDENCYPART_ARC
(11,25),-2.70792 # DEPENDENCYPART_ARC
(11,26),0.642634 # DEPENDENCYPART_ARC
(12,1),-3.49253 # DEPENDENCYPART_ARC
(12,2),-2.69704 # DEPENDENCYPART_ARC
(12,3),-2.08423 # DEPENDENCYPART_ARC
(12,4),-2.52686 # DEPENDENCYPART_ARC
(12,5),-2.48817 # DEPENDENCYPART_ARC
(12,6),-1.82571 # DEPENDENCYPART_ARC
(12,7),-0.877599 # DEPENDENCYPART_ARC
(12,8),-2.2259 # DEPENDENCYPART_ARC
(12,9),-1.52898 # DEPENDENCYPART_ARC
(12,10),-0.530334 # DEPENDENCYPART_ARC
(12,11),-0.325735 # DEPENDENCYPART_ARC
(12,13),0.870824 # DEPENDENCYPART_ARC
(12,14),1.20178 # DEPENDENCYPART_ARC
(12,15),0.205442 # DEPENDENCYPART_ARC
(12,16),-0.217178 # DEPENDENCYPART_ARC
(12,17),-0.274301 # DEPENDENCYPART_ARC
(12,18),-0.891214 # DEPENDENCYPART_ARC
(12,19),-0.738078 # DEPENDENCYPART_ARC
(12,20),-0.40254 # DEPENDENCYPART_ARC
(12,21),-1.11886 # DEPENDENCYPART_ARC
(12,22),-1.71119 # DEPENDENCYPART_ARC
(12,23),-1.51137 # DEPENDENCYPART_ARC
(12,24),-0.522118 # DEPENDENCYPART_ARC
(12,25),-0.84415 # DEPENDENCYPART_ARC
(12,26),-0.350393 # DEPENDENCYPART_ARC
(13,1),-2.76796 # DEPENDENCYPART_ARC
(13,2),-1.98948 # DEPENDENCYPART_ARC
(13,3),-1.40076 # DEPENDENCYPART_ARC
(13,4),-1.64333 # DEPENDENCYPART_ARC
(13,5),-1.68229 # DEPENDENCYPART_ARC
(13,6),-1.01237 # DEPENDENCYPART_ARC
(13,7),-0.311529 # DEPENDENCYPART_ARC
(13,8),-1.52007 # DEPENDENCYPART_ARC
(13,9),-0.932991 # DEPENDENCYPART_ARC
(13,10),-0.0344301 # DEPENDENCYPART_ARC
(13,11),-0.114844 # DEPENDENCYPART_ARC
(13,12),2.12105 # DEPENDENCYPART_ARC
(13,14),0.722657 # DEPENDENCYPART_ARC
(13,15),-0.404911 # DEPENDENCYPART_ARC
(13,16),-0.552343 # DEPENDENCYPART_ARC
(13,17),-0.92562 # DEPENDENCYPART_ARC
(13,18),-1.40423 # DEPENDENCYPART_ARC
(13,19),-1.24895 # DEPENDENCYPART_ARC
(13,20),-1.34664 # DEPENDENCYPART_ARC
(13,21),-1.99483 # DEPENDENCYPART_ARC
(13,22),-2.31538 # DEPENDENCYPART_ARC
(13,23),-1.90009 # DEPENDENCYPART_ARC
(13,24),-1.39936 # DEPENDENCYPART_ARC
(13,25),-2.14324 # DEPENDENCYPART_ARC
(13,26),-0.674612 # DEPENDENCYPART_ARC
(14,1),-2.30766 # DEPENDENCYPART_ARC
(14,2),-1.53315 # DEPENDENCYPART_ARC
(14,3),-0.884785 # DEPENDENCYPART_ARC
(14,4),0.327695 # DEPENDENCYPART_ARC
(14,5),-0.942687 # DEPENDENCYPART_ARC
(14,6),-0.976867 # DEPENDENCYPART_ARC
(14,7),-0.0348164 # DEPENDENCYPART_ARC
(14,8),-0.207648 # DEPENDENCYPART_ARC
(14,9),0.77821 # DEPENDENCYPART_ARC
(14,10),2.05785 # DEPENDENCYPART_ARC
(14,11),0.741114 # DEPENDENCYPART_ARC
(14,12),4.25724 # DEPENDENCYPART_ARC
(14,13),4.36009 # DEPENDENCYPART_ARC
(14,15),1.20112 # DEPENDENCYPART_ARC
(14,16),0.511688 # DEPENDENCYPART_ARC
(14,17),-0.0594375 # DEPENDENCYPART_ARC
(14,18),-0.236528 # DEPENDENCYPART_ARC
(14,19),-0.654104 # DEPENDENCYPART_ARC
(14,20),-0.293784 # DEPENDENCYPART_ARC
(14,21),-1.1647 # DEPENDENCYPART_ARC
(14,22),-0.963104 # DEPENDENCYPART_ARC
(14,23),-1.44812 # DEPENDENCYPART_ARC
(14,24),-0.440014 # DEPENDENCYPART_ARC
(14,25),-0.881955 # DEPENDENCYPART_ARC
(14,26),-0.265205 # DEPENDENCYPART_ARC
(15,1),-2.39237 # DEPENDENCYPART_ARC
(15,2),-1.82421 # DEPENDENCYPART_ARC
(15,3),-1.87934 # DEPENDENCYPART_ARC
(15,4),-1.62968 # DEPENDENCYPART_ARC
(15,5),-1.77101 # DEPENDENCYPART_ARC
(15,6),-0.485634 # DEPENDENCYPART_ARC
(15,7),-1.08415 # DEPENDENCYPART_ARC
(15,8),-1.3408 # DEPENDENCYPART_ARC
(15,9),-0.849895 # DEPENDENCYPART_ARC
(15,10),-1.64163 # DEPENDENCYPART_ARC
(15,11),-1.17177 # DEPENDENCYPART_ARC
(15,12),-0.774369 # DEPENDENCYPART_ARC
(15,13),-0.9263 # DEPENDENCYPART_ARC
(15,14),-0.642858 # DEPENDENCYPART_ARC
(15,16),-0.176004 # DEPENDENCYPART_ARC
(15,17),-1.30036 # DEPENDENCYPART_ARC
(15,18),-1.20691 # DEPENDENCYPART_ARC
(15,19),-1.87487 # DEPENDENCYPART_ARC
(15,20),-2.11484 # DEPENDENCYPART_ARC
(15,21),-1.85414 # DEPENDENCYPART_ARC
(15,22),-2.29606 # DEPENDENCYPART_ARC
(15,23),-2.53394 # DEPENDENCYPART_ARC
(15,24),-2.92854 # DEPENDENCYPART_ARC
(15,25),-3.01897 # DEPENDENCYPART_ARC
(15,26),-1.9631 # DEPENDENCYPART_ARC
(16,1),1.16248 # DEPENDENCYPART_ARC
(16,2),1.0295 # DEPENDENCYPART_ARC
(16,3),0.181383 # DEPENDENCYPART_ARC
(16,4),0.194012 # DEPENDENCYPART_ARC
(16,5),0.685361 # DEPENDENCYPART_ARC
(16,6),0.108464 # DEPENDENCYPART_ARC
(16,7),1.19519 # DEPENDENCYPART_ARC
(16,8),-0.102252 # DEPENDENCYPART_ARC
(16,9),0.515484 # DEPENDENCYPART_ARC
(16,10),1.45509 # DEPENDENCYPART_ARC
(16,11),0.92114 # DEPENDENCYPART_ARC
(16,12),0.855945 # DEPENDENCYPART_ARC
(16,13),0.853884 # DEPENDENCYPART_ARC
(16,14),1.57362 # DEPENDENCYPART_ARC
(16,15),2.01674 # DEPENDENCYPART_ARC
(16,17),4.30784 # DEPENDENCYPART_ARC
(16,18),1.80439 # DEPENDENCYPART_ARC
(16,19),0.459283 # DEPENDENCYPART_ARC
(16,20),1.27382 # DEPENDENCYPART_ARC
(16,21),2.47197 # DEPENDENCYPART_ARC
(16,22),-0.583958 # DEPENDENCYPART_ARC
(16,23),-0.754519 # DEPENDENCYPART_ARC
(16,24),-0.220483 # DEPENDENCYPART_ARC
(16,25),0.140703 # DEPENDENCYPART_ARC
(16,26),4.03738 # DEPENDENCYPART_ARC
(17,1),-2.09587 # DEPENDENCYPART_ARC
(17,2),-1.62469 # DEPENDENCYPART_ARC
(17,3),-1.34261 # DEPENDENCYPART_ARC
(17,4),-1.36785 # DEPENDENCYPART_ARC
(17,5),-1.99176 # DEPENDENCYPART_ARC
(17,6),-0.827832 # DEPENDENCYPART_ARC
(17,7),-0.558948 # DEPENDENCYPART_ARC
(17,8),-0.650207 # DEPENDENCYPART_ARC
(17,9),-1.07798 # DEPENDENCYPART_ARC
(17,10),-0.203035 # DEPENDENCYPART_ARC
(17,11),0.371088 # DEPENDENCYPART_ARC
(17,12),-0.218855 # DEPENDENCYPART_ARC
(17,13),0.0207532 # DEPENDENCYPART_ARC
(17,14),0.095665 # DEPENDENCYPART_ARC
(17,15),0.358211 # DEPENDENCYPART_ARC
(17,16),1.36332 # DEPENDENCYPART_ARC
(17,18),3.64453 # DEPENDENCYPART_ARC
(17,19),0.947288 # DEPENDENCYPART_ARC
(17,20),1.31794 # DEPENDENCYPART_ARC
(17,21),1.6232 # DEPENDENCYPART_ARC
(17,22),-0.634193 # DEPENDENCYPART_ARC
(17,23),-0.759191 # DEPENDENCYPART_ARC
(17,24),-2.04683 # DEPENDENCYPART_ARC
(17,25),-1.67195 # DEPENDENCYPART_ARC
(17,26),0.132559 # DEPENDENCYPART_ARC
(18,1),-1.89943 # DEPENDENCYPART_ARC
(18,2),-1.21791 # DEPENDENCYPART_ARC
(18,3),-1.38281 # DEPENDENCYPART_ARC
(18,4),-1.44363 # DEPENDENCYPART_ARC
(18,5),-1.71191 # DEPENDENCYPART_ARC
(18,6),-1.27262 # DEPENDENCYPART_ARC
(18,7),0.120846 # DEPENDENCYPART_ARC
(18,8),-1.20169 # DEPENDENCYPART_ARC
(18,9),-1.19713 # DEPENDENCYPART_ARC
(18,10),-0.965286 # DEPENDENCYPART_ARC
(18,11),-0.354617 # DEPENDENCYPART_ARC
(18,12),-0.327747 # DEPENDENCYPART_ARC
(18,13),-0.182904 # DEPENDENCYPART_ARC
(18,14),-0.360077 # DEPENDENCYPART_ARC
(18,15),-0.103294 # DEPENDENCYPART_ARC
(18,16),-0.300383 # DEPENDENCYPART_ARC
(18,17),0.856405 # DEPENDENCYPART_ARC
(18,19),1.69826 # DEPENDENCYPART_ARC
(18,20),3.64193 # DEPENDENCYPART_ARC
(18,21),2.03769 # DEPENDENCYPART_ARC
(18,22),-0.856637 # DEPENDENCYPART_ARC
(18,23),-0.493555 # DEPENDENCYPART_ARC
(18,24),-0.542204 # DEPENDENCYPART_ARC
(18,25),0.519919 # DEPENDENCYPART_ARC
(18,26),0.215057 # DEPENDENCYPART_ARC
(19,1),-3.42348 # DEPENDENCYPART_ARC
(19,2),-2.84579 # DEPENDENCYPART_ARC
(19,3),-2.44811 # DEPENDENCYPART_ARC
(19,4),-2.51897 # DEPENDENCYPART_ARC
(19,5),-2.67866 # DEPENDENCYPART_ARC
(19,6),-1.83949 # DEPENDENCYPART_ARC
(19,7),-1.36539 # DEPENDENCYPART_ARC
(19,8),-2.44274 # DEPENDENCYPART_ARC
(19,9),-1.99372 # DEPENDENCYPART_ARC
(19,10),-1.75855 # DEPENDENCYPART_ARC
(19,11),-1.67618 # DEPENDENCYPART_ARC
(19,12),-0.190068 # DEPENDENCYPART_ARC
(19,13),-0.446385 # DEPENDENCYPART_ARC
(19,14),-1.06186 # DEPENDENCYPART_ARC
(19,15),-0.586953 # DEPENDENCYPART_ARC
(19,16),-1.07388 # DEPENDENCYPART_ARC
(19,17),0.0692713 # DEPENDENCYPART_ARC
(19,18),0.795612 # DEPENDENCYPART_ARC
(19,20),1.03127 # DEPENDENCYPART_ARC
(19,21),-0.229534 # DEPENDENCYPART_ARC
(19,22),-0.758501 # DEPENDENCYPART_ARC
(19,23),-0.552908 # DEPENDENCYPART_ARC
(19,24),-0.268657 # DEPENDENCYPART_ARC
(19,25),-0.99117 # DEPENDENCYPART_ARC
(19,26),-0.228605 # DEPENDENCYPART_ARC
(20,1),-3.02443 # DEPENDENCYPART_ARC
(20,2),-3.0892 # DEPENDENCYPART_ARC
(20,3),-1.21842 # DEPENDENCYPART_ARC
(20,4),-1.74825 # DEPENDENCYPART_ARC
(20,5),-3.33175 # DEPENDENCYPART_ARC
(20,6),-1.84313 # DEPENDENCYPART_ARC
(20,7),-1.74892 # DEPENDENCYPART_ARC
(20,8),-1.2794 # DEPENDENCYPART_ARC
(20,9),-1.19696 # DEPENDENCYPART_ARC
