# _root_ The carnage on the Chicago Board Options Exchange , the nation 's major options market , was heavy after the trading in S&P 100 stock-index options was halted Friday .
#goldHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
#predictedHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,22,26,26,22,19,27,28,17,
(3,15),1.21252 # DEPENDENCYPART_ARC
(3,16),-0.026477 # DEPENDENCYPART_ARC
(3,17),-2.24525 # DEPENDENCYPART_ARC
(3,18),-1.78037 # DEPENDENCYPART_ARC
(3,19),-0.49 # DEPENDENCYPART_ARC
(3,20),-3.72866 # DEPENDENCYPART_ARC
(3,21),-4.81743 # DEPENDENCYPART_ARC
(3,22),-1.76439 # DEPENDENCYPART_ARC
(3,23),-6.44834 # DEPENDENCYPART_ARC
(3,24),-3.537 # DEPENDENCYPART_ARC
(3,25),-3.16026 # DEPENDENCYPART_ARC
(3,26),-6.82934 # DEPENDENCYPART_ARC
(3,27),-5.69917 # DEPENDENCYPART_ARC
(3,28),-2.07976 # DEPENDENCYPART_ARC
(3,29),-10.8875 # DEPENDENCYPART_ARC
(3,30),-0.658717 # DEPENDENCYPART_ARC
(4,1),-1.43264 # DEPENDENCYPART_ARC
(4,2),-2.40096 # DEPENDENCYPART_ARC
(4,3),-1.17363 # DEPENDENCYPART_ARC
(4,5),-0.614181 # DEPENDENCYPART_ARC
(4,6),-0.981289 # DEPENDENCYPART_ARC
(4,7),-1.13042 # DEPENDENCYPART_ARC
(4,8),-1.28024 # DEPENDENCYPART_ARC
(4,9),-1.25312 # DEPENDENCYPART_ARC
(4,10),-2.19736 # DEPENDENCYPART_ARC
(4,11),-1.37312 # DEPENDENCYPART_ARC
(4,12),-2.36278 # DEPENDENCYPART_ARC
(4,13),-1.83973 # DEPENDENCYPART_ARC
(4,14),-2.08059 # DEPENDENCYPART_ARC
(4,15),-1.9686 # DEPENDENCYPART_ARC
(4,16),-1.46902 # DEPENDENCYPART_ARC
(4,17),-3.02293 # DEPENDENCYPART_ARC
(4,18),-2.50947 # DEPENDENCYPART_ARC
(4,19),-3.15095 # DEPENDENCYPART_ARC
(4,20),-3.46292 # DEPENDENCYPART_ARC
(4,21),-2.55806 # DEPENDENCYPART_ARC
(4,22),-3.68676 # DEPENDENCYPART_ARC
(4,23),-3.37325 # DEPENDENCYPART_ARC
(4,24),-3.45035 # DEPENDENCYPART_ARC
(4,25),-3.33502 # DEPENDENCYPART_ARC
(4,26),-3.46946 # DEPENDENCYPART_ARC
(4,27),-5.07037 # DEPENDENCYPART_ARC
(4,28),-3.47072 # DEPENDENCYPART_ARC
(4,29),-3.97216 # DEPENDENCYPART_ARC
(4,30),-2.99975 # DEPENDENCYPART_ARC
(5,1),-1.47735 # DEPENDENCYPART_ARC
(5,2),-2.7092 # DEPENDENCYPART_ARC
(5,3),-1.70773 # DEPENDENCYPART_ARC
(5,4),1.62544 # DEPENDENCYPART_ARC
(5,6),-0.0296796 # DEPENDENCYPART_ARC
(5,7),0.0392731 # DEPENDENCYPART_ARC
(5,8),-0.261929 # DEPENDENCYPART_ARC
(5,9),-0.311888 # DEPENDENCYPART_ARC
(5,10),-1.56438 # DEPENDENCYPART_ARC
(5,11),-1.49295 # DEPENDENCYPART_ARC
(5,12),-1.68462 # DEPENDENCYPART_ARC
(5,13),-2.18537 # DEPENDENCYPART_ARC
(5,14),-1.72872 # DEPENDENCYPART_ARC
(5,15),-0.882901 # DEPENDENCYPART_ARC
(5,16),-1.15966 # DEPENDENCYPART_ARC
(5,17),-2.6174 # DEPENDENCYPART_ARC
(5,18),-2.85803 # DEPENDENCYPART_ARC
(5,19),-3.38637 # DEPENDENCYPART_ARC
(5,20),-2.75834 # DEPENDENCYPART_ARC
(5,21),-4.01688 # DEPENDENCYPART_ARC
(5,22),-3.61306 # DEPENDENCYPART_ARC
(5,23),-4.79214 # DEPENDENCYPART_ARC
(5,24),-4.40945 # DEPENDENCYPART_ARC
(5,25),-3.54462 # DEPENDENCYPART_ARC
(5,26),-3.18175 # DEPENDENCYPART_ARC
(5,27),-3.94682 # DEPENDENCYPART_ARC
(5,28),-3.97679 # DEPENDENCYPART_ARC
(5,29),-5.59449 # DEPENDENCYPART_ARC
(5,30),-0.930137 # DEPENDENCYPART_ARC
(6,1),-0.633752 # DEPENDENCYPART_ARC
(6,2),-2.72465 # DEPENDENCYPART_ARC
(6,3),-1.94612 # DEPENDENCYPART_ARC
(6,4),2.13525 # DEPENDENCYPART_ARC
(6,5),1.81157 # DEPENDENCYPART_ARC
(6,7),0.480417 # DEPENDENCYPART_ARC
(6,8),1.04973 # DEPENDENCYPART_ARC
(6,9),1.12143 # DEPENDENCYPART_ARC
(6,10),-1.52293 # DEPENDENCYPART_ARC
(6,11),-0.621093 # DEPENDENCYPART_ARC
(6,12),-1.26683 # DEPENDENCYPART_ARC
(6,13),-1.81195 # DEPENDENCYPART_ARC
(6,14),-1.43705 # DEPENDENCYPART_ARC
(6,15),0.421752 # DEPENDENCYPART_ARC
(6,16),1.07765 # DEPENDENCYPART_ARC
(6,17),-2.45584 # DEPENDENCYPART_ARC
(6,18),-2.76633 # DEPENDENCYPART_ARC
(6,19),-3.66028 # DEPENDENCYPART_ARC
(6,20),-2.74788 # DEPENDENCYPART_ARC
(6,21),-2.83258 # DEPENDENCYPART_ARC
(6,22),-4.25472 # DEPENDENCYPART_ARC
(6,23),-4.48143 # DEPENDENCYPART_ARC
(6,24),-4.10235 # DEPENDENCYPART_ARC
(6,25),-3.33802 # DEPENDENCYPART_ARC
(6,26),-2.84551 # DEPENDENCYPART_ARC
(6,27),-3.29976 # DEPENDENCYPART_ARC
(6,28),-3.5394 # DEPENDENCYPART_ARC
(6,29),-5.20652 # DEPENDENCYPART_ARC
(6,30),-0.907118 # DEPENDENCYPART_ARC
(7,1),-0.606807 # DEPENDENCYPART_ARC
(7,2),-1.89108 # DEPENDENCYPART_ARC
(7,3),-1.47782 # DEPENDENCYPART_ARC
(7,4),2.35466 # DEPENDENCYPART_ARC
(7,5),2.36517 # DEPENDENCYPART_ARC
(7,6),2.5618 # DEPENDENCYPART_ARC
(7,8),1.92531 # DEPENDENCYPART_ARC
(7,9),2.22361 # DEPENDENCYPART_ARC
(7,10),-0.346033 # DEPENDENCYPART_ARC
(7,11),0.324348 # DEPENDENCYPART_ARC
(7,12),0.0318832 # DEPENDENCYPART_ARC
(7,13),-0.728156 # DEPENDENCYPART_ARC
(7,14),-0.449032 # DEPENDENCYPART_ARC
(7,15),1.00745 # DEPENDENCYPART_ARC
(7,16),1.82 # DEPENDENCYPART_ARC
(7,17),-1.2169 # DEPENDENCYPART_ARC
(7,18),-1.73935 # DEPENDENCYPART_ARC
(7,19),-2.1175 # DEPENDENCYPART_ARC
(7,20),-1.71827 # DEPENDENCYPART_ARC
(7,21),-2.27085 # DEPENDENCYPART_ARC
(7,22),-1.8662 # DEPENDENCYPART_ARC
(7,23),-3.29849 # DEPENDENCYPART_ARC
(7,24),-2.90965 # DEPENDENCYPART_ARC
(7,25),-2.42878 # DEPENDENCYPART_ARC
(7,26),-1.95866 # DEPENDENCYPART_ARC
(7,27),-1.71346 # DEPENDENCYPART_ARC
(7,28),-2.28196 # DEPENDENCYPART_ARC
(7,29),-4.03028 # DEPENDENCYPART_ARC
(7,30),0.182601 # DEPENDENCYPART_ARC
(8,1),1.15094 # DEPENDENCYPART_ARC
(8,2),-1.19545 # DEPENDENCYPART_ARC
(8,3),-0.239767 # DEPENDENCYPART_ARC
(8,4),4.14076 # DEPENDENCYPART_ARC
(8,5),4.47409 # DEPENDENCYPART_ARC
(8,6),4.4647 # DEPENDENCYPART_ARC
(8,7),4.67771 # DEPENDENCYPART_ARC
(8,9),2.69332 # DEPENDENCYPART_ARC
(8,10),0.717408 # DEPENDENCYPART_ARC
(8,11),1.4932 # DEPENDENCYPART_ARC
(8,12),1.4854 # DEPENDENCYPART_ARC
(8,13),0.551477 # DEPENDENCYPART_ARC
(8,14),0.400896 # DEPENDENCYPART_ARC
(8,15),2.31323 # DEPENDENCYPART_ARC
(8,16),3.27666 # DEPENDENCYPART_ARC
(8,17),-0.330739 # DEPENDENCYPART_ARC
(8,18),-0.404546 # DEPENDENCYPART_ARC
(8,19),-0.679722 # DEPENDENCYPART_ARC
(8,20),-0.829804 # DEPENDENCYPART_ARC
(8,21),-0.238426 # DEPENDENCYPART_ARC
(8,22),-2.05357 # DEPENDENCYPART_ARC
(8,23),-2.06113 # DEPENDENCYPART_ARC
(8,24),-2.17354 # DEPENDENCYPART_ARC
(8,25),-1.18741 # DEPENDENCYPART_ARC
(8,26),-1.13528 # DEPENDENCYPART_ARC
(8,27),-1.17996 # DEPENDENCYPART_ARC
(8,28),-0.971722 # DEPENDENCYPART_ARC
(8,29),-2.72644 # DEPENDENCYPART_ARC
(8,30),-0.0496865 # DEPENDENCYPART_ARC
(9,1),-1.66925 # DEPENDENCYPART_ARC
(9,2),-1.93861 # DEPENDENCYPART_ARC
(9,3),-1.65654 # DEPENDENCYPART_ARC
(9,4),-1.39186 # DEPENDENCYPART_ARC
(9,5),-1.97851 # DEPENDENCYPART_ARC
(9,6),-1.6618 # DEPENDENCYPART_ARC
(9,7),-1.76823 # DEPENDENCYPART_ARC
(9,8),-1.1772 # DEPENDENCYPART_ARC
(9,10),-0.650137 # DEPENDENCYPART_ARC
(9,11),-1.30934 # DEPENDENCYPART_ARC
(9,12),-1.43502 # DEPENDENCYPART_ARC
(9,13),-1.70092 # DEPENDENCYPART_ARC
(9,14),-1.96519 # DEPENDENCYPART_ARC
(9,15),-2.4245 # DEPENDENCYPART_ARC
(9,16),-0.544358 # DEPENDENCYPART_ARC
(9,17),-1.80406 # DEPENDENCYPART_ARC
(9,18),-2.43955 # DEPENDENCYPART_ARC
(9,19),-1.91484 # DEPENDENCYPART_ARC
(9,20),-2.62185 # DEPENDENCYPART_ARC
(9,21),-3.33428 # DEPENDENCYPART_ARC
(9,22),-2.2318 # DEPENDENCYPART_ARC
(9,23),-2.91404 # DEPENDENCYPART_ARC
(9,24),-3.3006 # DEPENDENCYPART_ARC
(9,25),-3.21743 # DEPENDENCYPART_ARC
(9,26),-3.52618 # DEPENDENCYPART_ARC
(9,27),-2.79005 # DEPENDENCYPART_ARC
(9,28),-3.20786 # DEPENDENCYPART_ARC
(9,29),-3.55287 # DEPENDENCYPART_ARC
(9,30),-2.67238 # DEPENDENCYPART_ARC
(10,1),-2.16448 # DEPENDENCYPART_ARC
(10,2),-2.97594 # DEPENDENCYPART_ARC
(10,3),-2.1806 # DEPENDENCYPART_ARC
(10,4),-1.65027 # DEPENDENCYPART_ARC
(10,5),-2.21023 # DEPENDENCYPART_ARC
(10,6),-1.99179 # DEPENDENCYPART_ARC
(10,7),-1.64789 # DEPENDENCYPART_ARC
(10,8),-1.51375 # DEPENDENCYPART_ARC
(10,9),-0.628782 # DEPENDENCYPART_ARC
(10,11),-0.065826 # DEPENDENCYPART_ARC
(10,12),-0.907647 # DEPENDENCYPART_ARC
(10,13),-1.26146 # DEPENDENCYPART_ARC
(10,14),-1.47106 # DEPENDENCYPART_ARC
(10,15),-1.45835 # DEPENDENCYPART_ARC
(10,16),-1.0072 # DEPENDENCYPART_ARC
(10,17),-1.67597 # DEPENDENCYPART_ARC
(10,18),-2.06188 # DEPENDENCYPART_ARC
(10,19),-2.25713 # DEPENDENCYPART_ARC
(10,20),-2.79327 # DEPENDENCYPART_ARC
(10,21),-2.42074 # DEPENDENCYPART_ARC
(10,22),-3.203 # DEPENDENCYPART_ARC
(10,23),-3.01661 # DEPENDENCYPART_ARC
(10,24),-2.94865 # DEPENDENCYPART_ARC
(10,25),-3.088 # DEPENDENCYPART_ARC
(10,26),-3.03138 # DEPENDENCYPART_ARC
(10,27),-3.94115 # DEPENDENCYPART_ARC
(10,28),-2.85517 # DEPENDENCYPART_ARC
(10,29),-3.58498 # DEPENDENCYPART_ARC
(10,30),-2.22774 # DEPENDENCYPART_ARC
(11,1),-1.03689 # DEPENDENCYPART_ARC
(11,2),-3.83734 # DEPENDENCYPART_ARC
(11,3),-1.40682 # DEPENDENCYPART_ARC
(11,4),1.00162 # DEPENDENCYPART_ARC
(11,5),0.445745 # DEPENDENCYPART_ARC
(11,6),0.559315 # DEPENDENCYPART_ARC
(11,7),0.293741 # DEPENDENCYPART_ARC
(11,8),-0.255272 # DEPENDENCYPART_ARC
(11,9),0.384207 # DEPENDENCYPART_ARC
(11,10),4.56872 # DEPENDENCYPART_ARC
(11,12),4.78603 # DEPENDENCYPART_ARC
(11,13),1.62784 # DEPENDENCYPART_ARC
(11,14),0.609077 # DEPENDENCYPART_ARC
(11,15),0.742046 # DEPENDENCYPART_ARC
(11,16),0.812661 # DEPENDENCYPART_ARC
(11,17),0.191191 # DEPENDENCYPART_ARC
(11,18),0.314135 # DEPENDENCYPART_ARC
(11,19),-0.297894 # DEPENDENCYPART_ARC
(11,20),-0.373418 # DEPENDENCYPART_ARC
(11,21),-0.709262 # DEPENDENCYPART_ARC
(11,22),-1.26015 # DEPENDENCYPART_ARC
(11,23),-0.708714 # DEPENDENCYPART_ARC
(11,24),-1.00726 # DEPENDENCYPART_ARC
(11,25),-0.808022 # DEPENDENCYPART_ARC
(11,26),-1.30957 # DEPENDENCYPART_ARC
(11,27),-1.33637 # DEPENDENCYPART_ARC
(11,28),-0.905952 # DEPENDENCYPART_ARC
(11,29),-1.44361 # DEPENDENCYPART_ARC
(11,30),0.475588 # DEPENDENCYPART_ARC
(12,1),-1.08354 # DEPENDENCYPART_ARC
(12,2),-2.23443 # DEPENDENCYPART_ARC
(12,3),-1.86804 # DEPENDENCYPART_ARC
(12,4),-0.300019 # DEPENDENCYPART_ARC
(12,5),-0.366038 # DEPENDENCYPART_ARC
(12,6),-0.258595 # DEPENDENCYPART_ARC
(12,7),-0.159219 # DEPENDENCYPART_ARC
(12,8),-0.0802088 # DEPENDENCYPART_ARC
(12,9),0.36623 # DEPENDENCYPART_ARC
(12,10),1.38363 # DEPENDENCYPART_ARC
(12,11),0.368834 # DEPENDENCYPART_ARC
(12,13),0.126334 # DEPENDENCYPART_ARC
(12,14),-0.780009 # DEPENDENCYPART_ARC
(12,15),-1.15809 # DEPENDENCYPART_ARC
(12,16),-0.647282 # DEPENDENCYPART_ARC
(12,17),-1.02205 # DEPENDENCYPART_ARC
(12,18),-1.80782 # DEPENDENCYPART_ARC
(12,19),-1.35802 # DEPENDENCYPART_ARC
(12,20),-1.82397 # DEPENDENCYPART_ARC
(12,21),-2.24905 # DEPENDENCYPART_ARC
(12,22),-1.33953 # DEPENDENCYPART_ARC
(12,23),-2.60552 # DEPENDENCYPART_ARC
(12,24),-2.64716 # DEPENDENCYPART_ARC
(12,25),-2.93929 # DEPENDENCYPART_ARC
(12,26),-3.49351 # DEPENDENCYPART_ARC
(12,27),-1.92275 # DEPENDENCYPART_ARC
(12,28),-2.16138 # DEPENDENCYPART_ARC
(12,29),-3.27823 # DEPENDENCYPART_ARC
(12,30),-2.29119 # DEPENDENCYPART_ARC
(13,1),-2.60146 # DEPENDENCYPART_ARC
(13,2),-2.0242 # DEPENDENCYPART_ARC
(13,3),-1.08724 # DEPENDENCYPART_ARC
(13,4),-1.77974 # DEPENDENCYPART_ARC
(13,5),-0.388179 # DEPENDENCYPART_ARC
(13,6),-0.982733 # DEPENDENCYPART_ARC
(13,7),-1.01858 # DEPENDENCYPART_ARC
(13,8),-1.25023 # DEPENDENCYPART_ARC
(13,9),-0.741305 # DEPENDENCYPART_ARC
(13,10),0.462333 # DEPENDENCYPART_ARC
(13,11),0.0148294 # DEPENDENCYPART_ARC
(13,12),0.431458 # DEPENDENCYPART_ARC
(13,14),0.847851 # DEPENDENCYPART_ARC
(13,15),0.318253 # DEPENDENCYPART_ARC
(13,16),0.0508006 # DEPENDENCYPART_ARC
(13,17),-0.424352 # DEPENDENCYPART_ARC
(13,18),-0.728125 # DEPENDENCYPART_ARC
(13,19),-1.24924 # DEPENDENCYPART_ARC
(13,20),-1.79929 # DEPENDENCYPART_ARC
(13,21),-1.33202 # DEPENDENCYPART_ARC
(13,22),-1.99864 # DEPENDENCYPART_ARC
(13,23),-1.65496 # DEPENDENCYPART_ARC
(13,24),-2.52977 # DEPENDENCYPART_ARC
(13,25),-1.56221 # DEPENDENCYPART_ARC
(13,26),-1.73342 # DEPENDENCYPART_ARC
(13,27),-1.17786 # DEPENDENCYPART_ARC
(13,28),-1.47504 # DEPENDENCYPART_ARC
(13,29),-2.4379 # DEPENDENCYPART_ARC
(13,30),-0.176198 # DEPENDENCYPART_ARC
(14,1),-2.88881 # DEPENDENCYPART_ARC
(14,2),-3.07026 # DEPENDENCYPART_ARC
(14,3),-2.33476 # DEPENDENCYPART_ARC
(14,4),-0.153064 # DEPENDENCYPART_ARC
(14,5),-0.235007 # DEPENDENCYPART_ARC
(14,6),-0.410503 # DEPENDENCYPART_ARC
(14,7),-0.312131 # DEPENDENCYPART_ARC
(14,8),-1.17312 # DEPENDENCYPART_ARC
(14,9),-0.967087 # DEPENDENCYPART_ARC
(14,10),0.872806 # DEPENDENCYPART_ARC
(14,11),2.47049 # DEPENDENCYPART_ARC
(14,12),-0.126083 # DEPENDENCYPART_ARC
(14,13),2.22649 # DEPENDENCYPART_ARC
(14,15),1.36134 # DEPENDENCYPART_ARC
(14,16),0.720486 # DEPENDENCYPART_ARC
(14,17),0.244546 # DEPENDENCYPART_ARC
(14,18),-0.182405 # DEPENDENCYPART_ARC
(14,19),0.259038 # DEPENDENCYPART_ARC
(14,20),-0.606916 # DEPENDENCYPART_ARC
(14,21),-1.4218 # DEPENDENCYPART_ARC
(14,22),-0.400322 # DEPENDENCYPART_ARC
(14,23),-0.870105 # DEPENDENCYPART_ARC
(14,24),-0.878024 # DEPENDENCYPART_ARC
(14,25),-1.23872 # DEPENDENCYPART_ARC
(14,26),-1.3499 # DEPENDENCYPART_ARC
(14,27),-0.918481 # DEPENDENCYPART_ARC
(14,28),-1.32286 # DEPENDENCYPART_ARC
(14,29),-1.36211 # DEPENDENCYPART_ARC
(14,30),-0.0607636 # DEPENDENCYPART_ARC
(15,1),-2.09202 # DEPENDENCYPART_ARC
(15,2),-2.34454 # DEPENDENCYPART_ARC
(15,3),-1.41062 # DEPENDENCYPART_ARC
(15,4),0.861518 # DEPENDENCYPART_ARC
(15,5),1.95812 # DEPENDENCYPART_ARC
(15,6),1.05012 # DEPENDENCYPART_ARC
(15,7),0.658689 # DEPENDENCYPART_ARC
(15,8),-0.0161748 # DEPENDENCYPART_ARC
(15,9),0.0442497 # DEPENDENCYPART_ARC
(15,10),2.66318 # DEPENDENCYPART_ARC
(15,11),4.74919 # DEPENDENCYPART_ARC
(15,12),1.40501 # DEPENDENCYPART_ARC
(15,13),3.64371 # DEPENDENCYPART_ARC
(15,14),4.19239 # DEPENDENCYPART_ARC
(15,16),0.992712 # DEPENDENCYPART_ARC
(15,17),-0.0669711 # DEPENDENCYPART_ARC
(15,18),-0.213315 # DEPENDENCYPART_ARC
(15,19),-1.10037 # DEPENDENCYPART_ARC
(15,20),-1.54269 # DEPENDENCYPART_ARC
(15,21),-1.67136 # DEPENDENCYPART_ARC
(15,22),-1.54544 # DEPENDENCYPART_ARC
(15,23),-1.75775 # DEPENDENCYPART_ARC
(15,24),-1.66763 # DEPENDENCYPART_ARC
(15,25),-1.34499 # DEPENDENCYPART_ARC
(15,26),-2.1046 # DEPENDENCYPART_ARC
(15,27),-1.64093 # DEPENDENCYPART_ARC
(15,28),-2.00634 # DEPENDENCYPART_ARC
(15,29),-2.35701 # DEPENDENCYPART_ARC
(15,30),-0.340508 # DEPENDENCYPART_ARC
(16,1),-2.13489 # DEPENDENCYPART_ARC
(16,2),-2.12472 # DEPENDENCYPART_ARC
(16,3),-2.05471 # DEPENDENCYPART_ARC
(16,4),-1.83215 # DEPENDENCYPART_ARC
(16,5),-2.28542 # DEPENDENCYPART_ARC
(16,6),-2.08764 # DEPENDENCYPART_ARC
(16,7),-2.00099 # DEPENDENCYPART_ARC
(16,8),-1.96788 # DEPENDENCYPART_ARC
(16,9),-0.0382889 # DEPENDENCYPART_ARC
(16,10),-0.939243 # DEPENDENCYPART_ARC
(16,11),-1.44585 # DEPENDENCYPART_ARC
(16,12),-1.2213 # DEPENDENCYPART_ARC
(16,13),-0.831914 # DEPENDENCYPART_ARC
(16,14),-1.23132 # DEPENDENCYPART_ARC
(16,15),-0.448889 # DEPENDENCYPART_ARC
(16,17),-0.62282 # DEPENDENCYPART_ARC
(16,18),-1.65687 # DEPENDENCYPART_ARC
(16,19),-1.83839 # DEPENDENCYPART_ARC
(16,20),-2.47372 # DEPENDENCYPART_ARC
(16,21),-2.75951 # DEPENDENCYPART_ARC
(16,22),-2.26588 # DEPENDENCYPART_ARC
(16,23),-2.68266 # DEPENDENCYPART_ARC
(16,24),-3.27644 # DEPENDENCYPART_ARC
(16,25),-3.05601 # DEPENDENCYPART_ARC
(16,26),-3.34526 # DEPENDENCYPART_ARC
(16,27),-2.67658 # DEPENDENCYPART_ARC
(16,28),-3.11977 # DEPENDENCYPART_ARC
(16,29),-3.43198 # DEPENDENCYPART_ARC
(16,30),-2.67941 # DEPENDENCYPART_ARC
(17,1),-2.9982 # DEPENDENCYPART_ARC
(17,2),0.706046 # DEPENDENCYPART_ARC
(17,3),0.718719 # DEPENDENCYPART_ARC
(17,4),-2.70619 # DEPENDENCYPART_ARC
(17,5),1.22155 # DEPENDENCYPART_ARC
(17,6),1.58326 # DEPENDENCYPART_ARC
(17,7),0.932463 # DEPENDENCYPART_ARC
(17,8),1.55146 # DEPENDENCYPART_ARC
(17,9),1.50587 # DEPENDENCYPART_ARC
(17,10),-0.601013 # DEPENDENCYPART_ARC
(17,11),1.55581 # DEPENDENCYPART_ARC
(17,12),-0.172006 # DEPENDENCYPART_ARC
(17,13),0.766376 # DEPENDENCYPART_ARC
