# _root_ Many also use recruiting bonuses , tuition reimbursement , loan repayment or child-care help .
#goldHeads=3,3,0,5,3,5,8,5,8,11,8,11,14,12,3,
#predictedHeads=3,3,0,3,4,5,8,5,8,11,8,11,14,12,3,
(13,11),-0.184705 # DEPENDENCYPART_ARC
(13,12),0.584451 # DEPENDENCYPART_ARC
(13,14),1.25151 # DEPENDENCYPART_ARC
(13,15),-0.161183 # DEPENDENCYPART_ARC
(14,1),-2.78106 # DEPENDENCYPART_ARC
(14,2),-3.48952 # DEPENDENCYPART_ARC
(14,3),-1.38263 # DEPENDENCYPART_ARC
(14,4),0.867212 # DEPENDENCYPART_ARC
(14,5),-0.136026 # DEPENDENCYPART_ARC
(14,6),-0.198303 # DEPENDENCYPART_ARC
(14,7),1.17769 # DEPENDENCYPART_ARC
(14,8),0.148105 # DEPENDENCYPART_ARC
(14,9),0.288444 # DEPENDENCYPART_ARC
(14,10),2.20126 # DEPENDENCYPART_ARC
(14,11),1.18376 # DEPENDENCYPART_ARC
(14,12),1.47958 # DEPENDENCYPART_ARC
(14,13),3.74762 # DEPENDENCYPART_ARC
(14,15),0.482799 # DEPENDENCYPART_ARC
(15,1),-2.1285 # DEPENDENCYPART_ARC
(15,2),-2.0945 # DEPENDENCYPART_ARC
(15,3),-1.97602 # DEPENDENCYPART_ARC
(15,4),-1.00145 # DEPENDENCYPART_ARC
(15,5),-2.16936 # DEPENDENCYPART_ARC
(15,6),-0.794835 # DEPENDENCYPART_ARC
(15,7),-1.54538 # DEPENDENCYPART_ARC
(15,8),-1.47424 # DEPENDENCYPART_ARC
(15,9),-0.405505 # DEPENDENCYPART_ARC
(15,10),-1.60474 # DEPENDENCYPART_ARC
(15,11),-1.60328 # DEPENDENCYPART_ARC
(15,12),-0.984674 # DEPENDENCYPART_ARC
(15,13),-1.55464 # DEPENDENCYPART_ARC
(15,14),-1.69359 # DEPENDENCYPART_ARC
