# _root_ In New York Stock Exchange composite trading yesterday , Bear Stearns shares closed at $ 13.625 , down 25 cents .
#goldHeads=13,7,7,7,7,7,1,13,13,12,12,13,0,13,14,15,13,13,20,18,13,
#predictedHeads=13,7,7,7,7,7,1,13,13,12,12,13,0,13,14,15,13,13,20,18,13,
(3,5),-0.423479 # DEPENDENCYPART_ARC
(3,6),-1.4087 # DEPENDENCYPART_ARC
(3,7),-1.59965 # DEPENDENCYPART_ARC
(3,8),-1.41698 # DEPENDENCYPART_ARC
(3,9),-0.450959 # DEPENDENCYPART_ARC
(3,10),-1.94532 # DEPENDENCYPART_ARC
(3,11),-2.70107 # DEPENDENCYPART_ARC
(3,12),-2.12409 # DEPENDENCYPART_ARC
(3,13),-1.97891 # DEPENDENCYPART_ARC
(3,14),-3.80469 # DEPENDENCYPART_ARC
(3,15),-2.95234 # DEPENDENCYPART_ARC
(3,16),-3.03351 # DEPENDENCYPART_ARC
(3,17),-1.6015 # DEPENDENCYPART_ARC
(3,18),-2.33647 # DEPENDENCYPART_ARC
(3,19),-4.32826 # DEPENDENCYPART_ARC
(3,20),-3.55107 # DEPENDENCYPART_ARC
(3,21),-1.0663 # DEPENDENCYPART_ARC
(4,1),-2.87974 # DEPENDENCYPART_ARC
(4,2),1.92816 # DEPENDENCYPART_ARC
(4,3),1.23912 # DEPENDENCYPART_ARC
(4,5),-0.409351 # DEPENDENCYPART_ARC
(4,6),-0.939848 # DEPENDENCYPART_ARC
(4,7),-1.33834 # DEPENDENCYPART_ARC
(4,8),-1.33342 # DEPENDENCYPART_ARC
(4,9),0.166565 # DEPENDENCYPART_ARC
(4,10),-1.70134 # DEPENDENCYPART_ARC
(4,11),-2.3853 # DEPENDENCYPART_ARC
(4,12),-2.36838 # DEPENDENCYPART_ARC
(4,13),-2.04488 # DEPENDENCYPART_ARC
(4,14),-3.99285 # DEPENDENCYPART_ARC
(4,15),-3.14615 # DEPENDENCYPART_ARC
(4,16),-3.1125 # DEPENDENCYPART_ARC
(4,17),-1.13494 # DEPENDENCYPART_ARC
(4,18),-3.07444 # DEPENDENCYPART_ARC
(4,19),-4.37559 # DEPENDENCYPART_ARC
(4,20),-3.70847 # DEPENDENCYPART_ARC
(4,21),-1.15918 # DEPENDENCYPART_ARC
(5,1),-1.53174 # DEPENDENCYPART_ARC
(5,2),3.21848 # DEPENDENCYPART_ARC
(5,3),2.52793 # DEPENDENCYPART_ARC
(5,4),2.34458 # DEPENDENCYPART_ARC
(5,6),0.282793 # DEPENDENCYPART_ARC
(5,7),-0.00438626 # DEPENDENCYPART_ARC
(5,8),-0.740225 # DEPENDENCYPART_ARC
(5,9),0.220565 # DEPENDENCYPART_ARC
(5,10),-1.54814 # DEPENDENCYPART_ARC
(5,11),-2.16974 # DEPENDENCYPART_ARC
(5,12),-1.81053 # DEPENDENCYPART_ARC
(5,13),-1.43419 # DEPENDENCYPART_ARC
(5,14),-3.1148 # DEPENDENCYPART_ARC
(5,15),-2.55171 # DEPENDENCYPART_ARC
(5,16),-2.31673 # DEPENDENCYPART_ARC
(5,17),-1.04112 # DEPENDENCYPART_ARC
(5,18),-2.11338 # DEPENDENCYPART_ARC
(5,19),-3.66284 # DEPENDENCYPART_ARC
(5,20),-3.13847 # DEPENDENCYPART_ARC
(5,21),-0.936713 # DEPENDENCYPART_ARC
(6,1),-1.2708 # DEPENDENCYPART_ARC
(6,2),3.04327 # DEPENDENCYPART_ARC
(6,3),2.5187 # DEPENDENCYPART_ARC
(6,4),2.45069 # DEPENDENCYPART_ARC
(6,5),2.27469 # DEPENDENCYPART_ARC
(6,7),1.04108 # DEPENDENCYPART_ARC
(6,8),0.248645 # DEPENDENCYPART_ARC
(6,9),0.467814 # DEPENDENCYPART_ARC
(6,10),-0.484161 # DEPENDENCYPART_ARC
(6,11),-0.444354 # DEPENDENCYPART_ARC
(6,12),-1.5137 # DEPENDENCYPART_ARC
(6,13),-0.440642 # DEPENDENCYPART_ARC
(6,14),-1.98256 # DEPENDENCYPART_ARC
(6,15),-2.32372 # DEPENDENCYPART_ARC
(6,16),-1.21348 # DEPENDENCYPART_ARC
(6,17),-0.814456 # DEPENDENCYPART_ARC
(6,18),-1.52161 # DEPENDENCYPART_ARC
(6,19),-1.85543 # DEPENDENCYPART_ARC
(6,20),-2.31257 # DEPENDENCYPART_ARC
(6,21),-0.286963 # DEPENDENCYPART_ARC
(7,1),-0.7493 # DEPENDENCYPART_ARC
(7,2),4.89022 # DEPENDENCYPART_ARC
(7,3),4.21883 # DEPENDENCYPART_ARC
(7,4),3.90345 # DEPENDENCYPART_ARC
(7,5),3.62241 # DEPENDENCYPART_ARC
(7,6),3.67911 # DEPENDENCYPART_ARC
(7,8),0.684911 # DEPENDENCYPART_ARC
(7,9),-0.180407 # DEPENDENCYPART_ARC
(7,10),-0.430341 # DEPENDENCYPART_ARC
(7,11),-0.588596 # DEPENDENCYPART_ARC
(7,12),-1.4213 # DEPENDENCYPART_ARC
(7,13),-0.555916 # DEPENDENCYPART_ARC
(7,14),-1.60223 # DEPENDENCYPART_ARC
(7,15),-2.59684 # DEPENDENCYPART_ARC
(7,16),-1.1823 # DEPENDENCYPART_ARC
(7,17),-1.20591 # DEPENDENCYPART_ARC
(7,18),-0.956457 # DEPENDENCYPART_ARC
(7,19),-1.881 # DEPENDENCYPART_ARC
(7,20),-2.49098 # DEPENDENCYPART_ARC
(7,21),-0.517141 # DEPENDENCYPART_ARC
(8,1),-1.2298 # DEPENDENCYPART_ARC
(8,2),0.42015 # DEPENDENCYPART_ARC
(8,3),0.469494 # DEPENDENCYPART_ARC
(8,4),0.616987 # DEPENDENCYPART_ARC
(8,5),0.817169 # DEPENDENCYPART_ARC
(8,6),0.749499 # DEPENDENCYPART_ARC
(8,7),0.775731 # DEPENDENCYPART_ARC
(8,9),1.17741 # DEPENDENCYPART_ARC
(8,10),0.664991 # DEPENDENCYPART_ARC
(8,11),0.146469 # DEPENDENCYPART_ARC
(8,12),-0.250452 # DEPENDENCYPART_ARC
(8,13),0.404223 # DEPENDENCYPART_ARC
(8,14),-1.7499 # DEPENDENCYPART_ARC
(8,15),-1.53435 # DEPENDENCYPART_ARC
(8,16),-0.318756 # DEPENDENCYPART_ARC
(8,17),0.268131 # DEPENDENCYPART_ARC
(8,18),-0.718179 # DEPENDENCYPART_ARC
(8,19),-0.87683 # DEPENDENCYPART_ARC
(8,20),-1.3355 # DEPENDENCYPART_ARC
(8,21),0.843357 # DEPENDENCYPART_ARC
(9,1),-2.22926 # DEPENDENCYPART_ARC
(9,2),-2.33076 # DEPENDENCYPART_ARC
(9,3),-2.21273 # DEPENDENCYPART_ARC
(9,4),-2.30515 # DEPENDENCYPART_ARC
(9,5),-2.07364 # DEPENDENCYPART_ARC
(9,6),-1.40053 # DEPENDENCYPART_ARC
(9,7),-1.73511 # DEPENDENCYPART_ARC
(9,8),-0.702896 # DEPENDENCYPART_ARC
(9,10),-0.0249159 # DEPENDENCYPART_ARC
(9,11),-0.73446 # DEPENDENCYPART_ARC
(9,12),-1.25024 # DEPENDENCYPART_ARC
(9,13),-1.07567 # DEPENDENCYPART_ARC
(9,14),-1.46654 # DEPENDENCYPART_ARC
(9,15),-2.19067 # DEPENDENCYPART_ARC
(9,16),-2.32301 # DEPENDENCYPART_ARC
(9,17),-0.476273 # DEPENDENCYPART_ARC
(9,18),-2.10421 # DEPENDENCYPART_ARC
(9,19),-2.63557 # DEPENDENCYPART_ARC
(9,20),-2.55874 # DEPENDENCYPART_ARC
(9,21),-1.59338 # DEPENDENCYPART_ARC
(10,1),-4.83968 # DEPENDENCYPART_ARC
(10,2),-0.93995 # DEPENDENCYPART_ARC
(10,3),-1.63151 # DEPENDENCYPART_ARC
(10,4),-1.81338 # DEPENDENCYPART_ARC
(10,5),-1.27086 # DEPENDENCYPART_ARC
(10,6),-0.730638 # DEPENDENCYPART_ARC
(10,7),-1.2324 # DEPENDENCYPART_ARC
(10,8),-2.53897 # DEPENDENCYPART_ARC
(10,9),-1.18466 # DEPENDENCYPART_ARC
(10,11),0.974042 # DEPENDENCYPART_ARC
(10,12),-0.728895 # DEPENDENCYPART_ARC
(10,13),-0.92977 # DEPENDENCYPART_ARC
(10,14),-1.62107 # DEPENDENCYPART_ARC
(10,15),-2.0259 # DEPENDENCYPART_ARC
(10,16),-1.33007 # DEPENDENCYPART_ARC
(10,17),-1.39135 # DEPENDENCYPART_ARC
(10,18),-1.86893 # DEPENDENCYPART_ARC
(10,19),-2.52897 # DEPENDENCYPART_ARC
(10,20),-2.66528 # DEPENDENCYPART_ARC
(10,21),-0.224873 # DEPENDENCYPART_ARC
(11,1),-3.71172 # DEPENDENCYPART_ARC
(11,2),0.240538 # DEPENDENCYPART_ARC
(11,3),-0.479677 # DEPENDENCYPART_ARC
(11,4),-0.686483 # DEPENDENCYPART_ARC
(11,5),-0.640588 # DEPENDENCYPART_ARC
(11,6),0.725029 # DEPENDENCYPART_ARC
(11,7),-0.0414538 # DEPENDENCYPART_ARC
(11,8),-1.72064 # DEPENDENCYPART_ARC
(11,9),0.300078 # DEPENDENCYPART_ARC
(11,10),3.2005 # DEPENDENCYPART_ARC
(11,12),0.0236173 # DEPENDENCYPART_ARC
(11,13),-0.106265 # DEPENDENCYPART_ARC
(11,14),-1.10543 # DEPENDENCYPART_ARC
(11,15),-1.38386 # DEPENDENCYPART_ARC
(11,16),-0.462398 # DEPENDENCYPART_ARC
(11,17),-0.745668 # DEPENDENCYPART_ARC
(11,18),-0.974533 # DEPENDENCYPART_ARC
(11,19),-2.17789 # DEPENDENCYPART_ARC
(11,20),-2.28855 # DEPENDENCYPART_ARC
(11,21),-0.0212879 # DEPENDENCYPART_ARC
(12,1),-1.50869 # DEPENDENCYPART_ARC
(12,2),2.84893 # DEPENDENCYPART_ARC
(12,3),2.34498 # DEPENDENCYPART_ARC
(12,4),1.88847 # DEPENDENCYPART_ARC
(12,5),1.5113 # DEPENDENCYPART_ARC
(12,6),1.01169 # DEPENDENCYPART_ARC
(12,7),0.524956 # DEPENDENCYPART_ARC
(12,8),-0.395267 # DEPENDENCYPART_ARC
(12,9),0.958739 # DEPENDENCYPART_ARC
(12,10),4.06193 # DEPENDENCYPART_ARC
(12,11),4.3736 # DEPENDENCYPART_ARC
(12,13),1.04837 # DEPENDENCYPART_ARC
(12,14),0.0642213 # DEPENDENCYPART_ARC
(12,15),-0.451153 # DEPENDENCYPART_ARC
(12,16),-0.105982 # DEPENDENCYPART_ARC
(12,17),0.285691 # DEPENDENCYPART_ARC
(12,18),0.0175639 # DEPENDENCYPART_ARC
(12,19),-0.706219 # DEPENDENCYPART_ARC
(12,20),-0.852038 # DEPENDENCYPART_ARC
(12,21),0.397119 # DEPENDENCYPART_ARC
(13,1),3.25655 # DEPENDENCYPART_ARC
(13,2),0.543942 # DEPENDENCYPART_ARC
(13,3),0.619866 # DEPENDENCYPART_ARC
(13,4),1.37822 # DEPENDENCYPART_ARC
(13,5),0.812312 # DEPENDENCYPART_ARC
(13,6),1.45208 # DEPENDENCYPART_ARC
(13,7),0.788067 # DEPENDENCYPART_ARC
(13,8),2.61942 # DEPENDENCYPART_ARC
(13,9),4.35915 # DEPENDENCYPART_ARC
(13,10),1.4831 # DEPENDENCYPART_ARC
(13,11),1.55336 # DEPENDENCYPART_ARC
(13,12),2.70581 # DEPENDENCYPART_ARC
(13,14),4.30292 # DEPENDENCYPART_ARC
(13,15),1.08616 # DEPENDENCYPART_ARC
(13,16),0.634009 # DEPENDENCYPART_ARC
(13,17),3.20745 # DEPENDENCYPART_ARC
(13,18),2.7358 # DEPENDENCYPART_ARC
(13,19),-0.756167 # DEPENDENCYPART_ARC
(13,20),-0.904202 # DEPENDENCYPART_ARC
(13,21),4.46619 # DEPENDENCYPART_ARC
(14,1),-1.91145 # DEPENDENCYPART_ARC
(14,2),-2.10194 # DEPENDENCYPART_ARC
(14,3),-2.20157 # DEPENDENCYPART_ARC
(14,4),-1.88401 # DEPENDENCYPART_ARC
(14,5),-1.82388 # DEPENDENCYPART_ARC
(14,6),-2.02672 # DEPENDENCYPART_ARC
(14,7),-2.09046 # DEPENDENCYPART_ARC
(14,8),-2.15948 # DEPENDENCYPART_ARC
(14,9),-0.85712 # DEPENDENCYPART_ARC
(14,10),-1.03134 # DEPENDENCYPART_ARC
(14,11),-0.854125 # DEPENDENCYPART_ARC
(14,12),-1.07419 # DEPENDENCYPART_ARC
(14,13),-0.144072 # DEPENDENCYPART_ARC
(14,15),3.50391 # DEPENDENCYPART_ARC
(14,16),2.03075 # DEPENDENCYPART_ARC
(14,17),1.23417 # DEPENDENCYPART_ARC
(14,18),0.226891 # DEPENDENCYPART_ARC
(14,19),-0.0574867 # DEPENDENCYPART_ARC
(14,20),-0.0563648 # DEPENDENCYPART_ARC
(14,21),-0.218459 # DEPENDENCYPART_ARC
(15,1),-4.07785 # DEPENDENCYPART_ARC
(15,2),-2.79079 # DEPENDENCYPART_ARC
(15,3),-2.70132 # DEPENDENCYPART_ARC
(15,4),-2.58429 # DEPENDENCYPART_ARC
(15,5),-2.23259 # DEPENDENCYPART_ARC
(15,6),-1.76118 # DEPENDENCYPART_ARC
(15,7),-1.79533 # DEPENDENCYPART_ARC
(15,8),-1.76288 # DEPENDENCYPART_ARC
(15,9),-1.63075 # DEPENDENCYPART_ARC
(15,10),-1.31494 # DEPENDENCYPART_ARC
(15,11),-1.07934 # DEPENDENCYPART_ARC
(15,12),-0.48736 # DEPENDENCYPART_ARC
(15,13),-0.181514 # DEPENDENCYPART_ARC
(15,14),2.02588 # DEPENDENCYPART_ARC
(15,16),4.0742 # DEPENDENCYPART_ARC
(15,17),1.43652 # DEPENDENCYPART_ARC
(15,18),1.17684 # DEPENDENCYPART_ARC
(15,19),0.533925 # DEPENDENCYPART_ARC
(15,20),-0.684535 # DEPENDENCYPART_ARC
(15,21),-0.233212 # DEPENDENCYPART_ARC
(16,1),-3.25715 # DEPENDENCYPART_ARC
(16,2),-2.08716 # DEPENDENCYPART_ARC
(16,3),-2.16094 # DEPENDENCYPART_ARC
(16,4),-2.0708 # DEPENDENCYPART_ARC
(16,5),-1.94801 # DEPENDENCYPART_ARC
(16,6),-2.10179 # DEPENDENCYPART_ARC
(16,7),-1.97988 # DEPENDENCYPART_ARC
(16,8),-1.94605 # DEPENDENCYPART_ARC
(16,9),-1.61789 # DEPENDENCYPART_ARC
(16,10),-1.0218 # DEPENDENCYPART_ARC
(16,11),-0.779436 # DEPENDENCYPART_ARC
(16,12),-0.706027 # DEPENDENCYPART_ARC
(16,13),-0.489041 # DEPENDENCYPART_ARC
(16,14),0.80685 # DEPENDENCYPART_ARC
(16,15),0.781567 # DEPENDENCYPART_ARC
(16,17),0.434009 # DEPENDENCYPART_ARC
(16,18),0.166297 # DEPENDENCYPART_ARC
(16,19),0.28877 # DEPENDENCYPART_ARC
(16,20),-0.77979 # DEPENDENCYPART_ARC
(16,21),-0.627151 # DEPENDENCYPART_ARC
(17,1),-2.71511 # DEPENDENCYPART_ARC
(17,2),-2.92592 # DEPENDENCYPART_ARC
(17,3),-2.86247 # DEPENDENCYPART_ARC
(17,4),-2.704 # DEPENDENCYPART_ARC
(17,5),-2.63318 # DEPENDENCYPART_ARC
(17,6),-2.06083 # DEPENDENCYPART_ARC
(17,7),-1.9048 # DEPENDENCYPART_ARC
(17,8),-1.34899 # DEPENDENCYPART_ARC
(17,9),-0.535087 # DEPENDENCYPART_ARC
(17,10),-1.97872 # DEPENDENCYPART_ARC
(17,11),-1.85631 # DEPENDENCYPART_ARC
(17,12),-1.92584 # DEPENDENCYPART_ARC
(17,13),-1.37395 # DEPENDENCYPART_ARC
(17,14),-0.972824 # DEPENDENCYPART_ARC
(17,15),-0.795135 # DEPENDENCYPART_ARC
(17,16),-0.495141 # DEPENDENCYPART_ARC
(17,18),-0.139169 # DEPENDENCYPART_ARC
(17,19),-0.518607 # DEPENDENCYPART_ARC
(17,20),-0.897704 # DEPENDENCYPART_ARC
(17,21),-0.837609 # DEPENDENCYPART_ARC
(18,1),-2.33474 # DEPENDENCYPART_ARC
(18,2),-2.1763 # DEPENDENCYPART_ARC
(18,3),-2.1337 # DEPENDENCYPART_ARC
(18,4),-2.05693 # DEPENDENCYPART_ARC
(18,5),-1.8757 # DEPENDENCYPART_ARC
(18,6),-1.53325 # DEPENDENCYPART_ARC
(18,7),-1.62285 # DEPENDENCYPART_ARC
(18,8),-1.35736 # DEPENDENCYPART_ARC
(18,9),-1.19761 # DEPENDENCYPART_ARC
(18,10),-1.2025 # DEPENDENCYPART_ARC
(18,11),-1.11252 # DEPENDENCYPART_ARC
(18,12),-1.21171 # DEPENDENCYPART_ARC
(18,13),-0.972182 # DEPENDENCYPART_ARC
(18,14),0.337704 # DEPENDENCYPART_ARC
(18,15),0.340654 # DEPENDENCYPART_ARC
(18,16),0.169992 # DEPENDENCYPART_ARC
(18,17),0.581385 # DEPENDENCYPART_ARC
(18,19),2.41389 # DEPENDENCYPART_ARC
(18,20),3.20604 # DEPENDENCYPART_ARC
(18,21),-0.0398993 # DEPENDENCYPART_ARC
(19,1),-4.08722 # DEPENDENCYPART_ARC
(19,2),-2.92473 # DEPENDENCYPART_ARC
(19,3),-3.08816 # DEPENDENCYPART_ARC
(19,4),-2.96892 # DEPENDENCYPART_ARC
(19,5),-2.86729 # DEPENDENCYPART_ARC
(19,6),-3.29569 # DEPENDENCYPART_ARC
(19,7),-3.22993 # DEPENDENCYPART_ARC
(19,8),-3.18889 # DEPENDENCYPART_ARC
(19,9),-2.43407 # DEPENDENCYPART_ARC
(19,10),-1.98493 # DEPENDENCYPART_ARC
(19,11),-1.94813 # DEPENDENCYPART_ARC
(19,12),-1.99713 # DEPENDENCYPART_ARC
(19,13),-1.77955 # DEPENDENCYPART_ARC
(19,14),-0.746216 # DEPENDENCYPART_ARC
(19,15),-1.2662 # DEPENDENCYPART_ARC
(19,16),-0.176937 # DEPENDENCYPART_ARC
(19,17),-0.298286 # DEPENDENCYPART_ARC
(19,18),0.0239981 # DEPENDENCYPART_ARC
(19,20),0.252592 # DEPENDENCYPART_ARC
(19,21),-0.958022 # DEPENDENCYPART_ARC
(20,1),-2.14821 # DEPENDENCYPART_ARC
(20,2),-1.35219 # DEPENDENCYPART_ARC
(20,3),-2.37589 # DEPENDENCYPART_ARC
(20,4),-2.80635 # DEPENDENCYPART_ARC
(20,5),-2.85054 # DEPENDENCYPART_ARC
(20,6),-1.91797 # DEPENDENCYPART_ARC
(20,7),-2.78059 # DEPENDENCYPART_ARC
(20,8),-3.85969 # DEPENDENCYPART_ARC
(20,9),-1.13345 # DEPENDENCYPART_ARC
(20,10),-1.86023 # DEPENDENCYPART_ARC
(20,11),-2.22735 # DEPENDENCYPART_ARC
(20,12),-1.33661 # DEPENDENCYPART_ARC
(20,13),-0.705658 # DEPENDENCYPART_ARC
(20,14),0.0282958 # DEPENDENCYPART_ARC
(20,15),0.804618 # DEPENDENCYPART_ARC
(20,16),1.18888 # DEPENDENCYPART_ARC
(20,17),0.510969 # DEPENDENCYPART_ARC
(20,18),0.730247 # DEPENDENCYPART_ARC
(20,19),4.07341 # DEPENDENCYPART_ARC
(20,21),0.634133 # DEPENDENCYPART_ARC
(21,1),-3.42963 # DEPENDENCYPART_ARC
(21,2),-2.71703 # DEPENDENCYPART_ARC
(21,3),-2.65214 # DEPENDENCYPART_ARC
(21,4),-2.64674 # DEPENDENCYPART_ARC
(21,5),-2.60346 # DEPENDENCYPART_ARC
(21,6),-2.7963 # DEPENDENCYPART_ARC
(21,7),-2.88081 # DEPENDENCYPART_ARC
(21,8),-2.74842 # DEPENDENCYPART_ARC
(21,9),-1.59031 # DEPENDENCYPART_ARC
(21,10),-2.4446 # DEPENDENCYPART_ARC
(21,11),-2.33794 # DEPENDENCYPART_ARC
(21,12),-1.92579 # DEPENDENCYPART_ARC
(21,13),-1.70337 # DEPENDENCYPART_ARC
(21,14),-1.78595 # DEPENDENCYPART_ARC
(21,15),-1.99833 # DEPENDENCYPART_ARC
(21,16),-2.1882 # DEPENDENCYPART_ARC
(21,17),-0.840332 # DEPENDENCYPART_ARC
(21,18),-1.37401 # DEPENDENCYPART_ARC
(21,19),-2.00734 # DEPENDENCYPART_ARC
(21,20),-2.0066 # DEPENDENCYPART_ARC
