# _root_ `` That secrecy leads to a proposal like the one from Ways and Means , which seems to me sort of draconian , '' he said .
#goldHeads=26,3,4,26,4,7,5,7,10,8,10,11,12,13,10,17,10,17,18,21,17,21,26,26,26,0,26,
#predictedHeads=26,3,4,26,4,7,5,7,10,8,10,11,12,13,12,17,7,17,18,18,20,21,26,26,26,0,26,
(3,13),0.162138 # DEPENDENCYPART_ARC
(3,14),-1.33837 # DEPENDENCYPART_ARC
(3,15),0.685067 # DEPENDENCYPART_ARC
(3,16),-1.34769 # DEPENDENCYPART_ARC
(3,17),0.499457 # DEPENDENCYPART_ARC
(3,18),-1.45639 # DEPENDENCYPART_ARC
(3,19),-1.28904 # DEPENDENCYPART_ARC
(3,20),-1.9983 # DEPENDENCYPART_ARC
(3,21),-3.93781 # DEPENDENCYPART_ARC
(3,22),-2.15859 # DEPENDENCYPART_ARC
(3,23),-0.296091 # DEPENDENCYPART_ARC
(3,24),-0.090025 # DEPENDENCYPART_ARC
(3,25),-2.18421 # DEPENDENCYPART_ARC
(3,26),-1.04911 # DEPENDENCYPART_ARC
(3,27),0.612814 # DEPENDENCYPART_ARC
(4,1),2.19574 # DEPENDENCYPART_ARC
(4,2),1.44988 # DEPENDENCYPART_ARC
(4,3),3.21179 # DEPENDENCYPART_ARC
(4,5),3.58914 # DEPENDENCYPART_ARC
(4,6),0.521797 # DEPENDENCYPART_ARC
(4,7),1.08305 # DEPENDENCYPART_ARC
(4,8),2.08456 # DEPENDENCYPART_ARC
(4,9),-0.827968 # DEPENDENCYPART_ARC
(4,10),-0.457358 # DEPENDENCYPART_ARC
(4,11),0.825109 # DEPENDENCYPART_ARC
(4,12),-1.31208 # DEPENDENCYPART_ARC
(4,13),1.41576 # DEPENDENCYPART_ARC
(4,14),-0.966131 # DEPENDENCYPART_ARC
(4,15),0.938853 # DEPENDENCYPART_ARC
(4,16),-1.72678 # DEPENDENCYPART_ARC
(4,17),0.23547 # DEPENDENCYPART_ARC
(4,18),0.0521856 # DEPENDENCYPART_ARC
(4,19),-1.10094 # DEPENDENCYPART_ARC
(4,20),-2.37985 # DEPENDENCYPART_ARC
(4,21),-1.30567 # DEPENDENCYPART_ARC
(4,22),-1.88312 # DEPENDENCYPART_ARC
(4,23),0.686354 # DEPENDENCYPART_ARC
(4,24),1.04449 # DEPENDENCYPART_ARC
(4,25),-1.9678 # DEPENDENCYPART_ARC
(4,26),-1.27636 # DEPENDENCYPART_ARC
(4,27),4.74841 # DEPENDENCYPART_ARC
(5,1),-0.611858 # DEPENDENCYPART_ARC
(5,2),-0.0842345 # DEPENDENCYPART_ARC
(5,3),-0.487809 # DEPENDENCYPART_ARC
(5,4),0.49159 # DEPENDENCYPART_ARC
(5,6),1.32292 # DEPENDENCYPART_ARC
(5,7),3.68608 # DEPENDENCYPART_ARC
(5,8),0.558192 # DEPENDENCYPART_ARC
(5,9),-0.652169 # DEPENDENCYPART_ARC
(5,10),0.517925 # DEPENDENCYPART_ARC
(5,11),0.176787 # DEPENDENCYPART_ARC
(5,12),-1.02669 # DEPENDENCYPART_ARC
(5,13),0.730508 # DEPENDENCYPART_ARC
(5,14),-0.809702 # DEPENDENCYPART_ARC
(5,15),0.387497 # DEPENDENCYPART_ARC
(5,16),-0.486217 # DEPENDENCYPART_ARC
(5,17),-0.399419 # DEPENDENCYPART_ARC
(5,18),-0.861239 # DEPENDENCYPART_ARC
(5,19),-0.373567 # DEPENDENCYPART_ARC
(5,20),-2.07361 # DEPENDENCYPART_ARC
(5,21),-2.08192 # DEPENDENCYPART_ARC
(5,22),-1.29791 # DEPENDENCYPART_ARC
(5,23),-0.394185 # DEPENDENCYPART_ARC
(5,24),-0.0258703 # DEPENDENCYPART_ARC
(5,25),-1.73443 # DEPENDENCYPART_ARC
(5,26),-2.00638 # DEPENDENCYPART_ARC
(5,27),-0.0331975 # DEPENDENCYPART_ARC
(6,1),-1.89506 # DEPENDENCYPART_ARC
(6,2),-0.923237 # DEPENDENCYPART_ARC
(6,3),-1.35009 # DEPENDENCYPART_ARC
(6,4),-1.17429 # DEPENDENCYPART_ARC
(6,5),-0.208261 # DEPENDENCYPART_ARC
(6,7),0.557683 # DEPENDENCYPART_ARC
(6,8),-0.540612 # DEPENDENCYPART_ARC
(6,9),-1.35933 # DEPENDENCYPART_ARC
(6,10),-1.13429 # DEPENDENCYPART_ARC
(6,11),-0.868797 # DEPENDENCYPART_ARC
(6,12),-1.47141 # DEPENDENCYPART_ARC
(6,13),-0.9375 # DEPENDENCYPART_ARC
(6,14),-1.49159 # DEPENDENCYPART_ARC
(6,15),-0.0844398 # DEPENDENCYPART_ARC
(6,16),-2.31018 # DEPENDENCYPART_ARC
(6,17),-2.0389 # DEPENDENCYPART_ARC
(6,18),-1.54789 # DEPENDENCYPART_ARC
(6,19),-2.0125 # DEPENDENCYPART_ARC
(6,20),-2.14586 # DEPENDENCYPART_ARC
(6,21),-1.81418 # DEPENDENCYPART_ARC
(6,22),-2.57346 # DEPENDENCYPART_ARC
(6,23),-1.10736 # DEPENDENCYPART_ARC
(6,24),-1.78757 # DEPENDENCYPART_ARC
(6,25),-2.57651 # DEPENDENCYPART_ARC
(6,26),-3.92938 # DEPENDENCYPART_ARC
(6,27),-1.51246 # DEPENDENCYPART_ARC
(7,1),-1.09401 # DEPENDENCYPART_ARC
(7,2),-1.09545 # DEPENDENCYPART_ARC
(7,3),-0.69437 # DEPENDENCYPART_ARC
(7,4),-0.462837 # DEPENDENCYPART_ARC
(7,5),0.1967 # DEPENDENCYPART_ARC
(7,6),4.72253 # DEPENDENCYPART_ARC
(7,8),3.1251 # DEPENDENCYPART_ARC
(7,9),0.510445 # DEPENDENCYPART_ARC
(7,10),0.615479 # DEPENDENCYPART_ARC
(7,11),1.78206 # DEPENDENCYPART_ARC
(7,12),-0.00100012 # DEPENDENCYPART_ARC
(7,13),1.21232 # DEPENDENCYPART_ARC
(7,14),-0.14258 # DEPENDENCYPART_ARC
(7,15),2.25787 # DEPENDENCYPART_ARC
(7,16),-0.481508 # DEPENDENCYPART_ARC
(7,17),2.22736 # DEPENDENCYPART_ARC
(7,18),0.894526 # DEPENDENCYPART_ARC
(7,19),-0.481568 # DEPENDENCYPART_ARC
(7,20),-0.896096 # DEPENDENCYPART_ARC
(7,21),-1.64183 # DEPENDENCYPART_ARC
(7,22),-1.59127 # DEPENDENCYPART_ARC
(7,23),1.21961 # DEPENDENCYPART_ARC
(7,24),0.353593 # DEPENDENCYPART_ARC
(7,25),-1.18308 # DEPENDENCYPART_ARC
(7,26),0.816553 # DEPENDENCYPART_ARC
(7,27),1.16641 # DEPENDENCYPART_ARC
(8,1),-0.0204086 # DEPENDENCYPART_ARC
(8,2),-0.337731 # DEPENDENCYPART_ARC
(8,3),-0.253823 # DEPENDENCYPART_ARC
(8,4),-0.21838 # DEPENDENCYPART_ARC
(8,5),-0.0105113 # DEPENDENCYPART_ARC
(8,6),0.547295 # DEPENDENCYPART_ARC
(8,7),0.972779 # DEPENDENCYPART_ARC
(8,9),1.17888 # DEPENDENCYPART_ARC
(8,10),2.41417 # DEPENDENCYPART_ARC
(8,11),1.43867 # DEPENDENCYPART_ARC
(8,12),1.63861 # DEPENDENCYPART_ARC
(8,13),1.2301 # DEPENDENCYPART_ARC
(8,14),0.111089 # DEPENDENCYPART_ARC
(8,15),1.22588 # DEPENDENCYPART_ARC
(8,16),-0.425599 # DEPENDENCYPART_ARC
(8,17),-0.291271 # DEPENDENCYPART_ARC
(8,18),-1.68348 # DEPENDENCYPART_ARC
(8,19),0.0661599 # DEPENDENCYPART_ARC
(8,20),-0.440152 # DEPENDENCYPART_ARC
(8,21),-1.35525 # DEPENDENCYPART_ARC
(8,22),-1.32036 # DEPENDENCYPART_ARC
(8,23),-0.0250296 # DEPENDENCYPART_ARC
(8,24),0.457078 # DEPENDENCYPART_ARC
(8,25),-1.76507 # DEPENDENCYPART_ARC
(8,26),-2.5992 # DEPENDENCYPART_ARC
(8,27),1.15009 # DEPENDENCYPART_ARC
(9,1),-2.48679 # DEPENDENCYPART_ARC
(9,2),-1.57823 # DEPENDENCYPART_ARC
(9,3),-2.25829 # DEPENDENCYPART_ARC
(9,4),-1.89538 # DEPENDENCYPART_ARC
(9,5),-1.579 # DEPENDENCYPART_ARC
(9,6),-0.497039 # DEPENDENCYPART_ARC
(9,7),-1.43088 # DEPENDENCYPART_ARC
(9,8),-0.151925 # DEPENDENCYPART_ARC
(9,10),-0.301935 # DEPENDENCYPART_ARC
(9,11),-0.472806 # DEPENDENCYPART_ARC
(9,12),-1.08523 # DEPENDENCYPART_ARC
(9,13),-0.907373 # DEPENDENCYPART_ARC
(9,14),-1.4104 # DEPENDENCYPART_ARC
(9,15),-0.439499 # DEPENDENCYPART_ARC
(9,16),-2.25933 # DEPENDENCYPART_ARC
(9,17),-1.40521 # DEPENDENCYPART_ARC
(9,18),-1.22622 # DEPENDENCYPART_ARC
(9,19),-1.87144 # DEPENDENCYPART_ARC
(9,20),-2.0742 # DEPENDENCYPART_ARC
(9,21),-1.66152 # DEPENDENCYPART_ARC
(9,22),-2.38714 # DEPENDENCYPART_ARC
(9,23),-1.57291 # DEPENDENCYPART_ARC
(9,24),-1.64708 # DEPENDENCYPART_ARC
(9,25),-2.5173 # DEPENDENCYPART_ARC
(9,26),-3.54104 # DEPENDENCYPART_ARC
(9,27),-1.96353 # DEPENDENCYPART_ARC
(10,1),-1.8663 # DEPENDENCYPART_ARC
(10,2),-0.965288 # DEPENDENCYPART_ARC
(10,3),-1.9534 # DEPENDENCYPART_ARC
(10,4),-1.69316 # DEPENDENCYPART_ARC
(10,5),-1.44425 # DEPENDENCYPART_ARC
(10,6),1.02659 # DEPENDENCYPART_ARC
(10,7),-0.811018 # DEPENDENCYPART_ARC
(10,8),-0.213779 # DEPENDENCYPART_ARC
(10,9),3.54318 # DEPENDENCYPART_ARC
(10,11),2.36182 # DEPENDENCYPART_ARC
(10,12),1.53469 # DEPENDENCYPART_ARC
(10,13),1.83181 # DEPENDENCYPART_ARC
(10,14),0.970172 # DEPENDENCYPART_ARC
(10,15),2.0387 # DEPENDENCYPART_ARC
(10,16),-0.105766 # DEPENDENCYPART_ARC
(10,17),1.22952 # DEPENDENCYPART_ARC
(10,18),0.32544 # DEPENDENCYPART_ARC
(10,19),0.0313002 # DEPENDENCYPART_ARC
(10,20),-0.283644 # DEPENDENCYPART_ARC
(10,21),0.445948 # DEPENDENCYPART_ARC
(10,22),-0.749892 # DEPENDENCYPART_ARC
(10,23),0.396789 # DEPENDENCYPART_ARC
(10,24),0.159659 # DEPENDENCYPART_ARC
(10,25),-0.570145 # DEPENDENCYPART_ARC
(10,26),0.129449 # DEPENDENCYPART_ARC
(10,27),0.838206 # DEPENDENCYPART_ARC
(11,1),-0.293347 # DEPENDENCYPART_ARC
(11,2),-1.30364 # DEPENDENCYPART_ARC
(11,3),-1.37492 # DEPENDENCYPART_ARC
(11,4),-1.06277 # DEPENDENCYPART_ARC
(11,5),-0.877438 # DEPENDENCYPART_ARC
(11,6),-0.721114 # DEPENDENCYPART_ARC
(11,7),-0.561206 # DEPENDENCYPART_ARC
(11,8),-0.208246 # DEPENDENCYPART_ARC
(11,9),0.0654269 # DEPENDENCYPART_ARC
(11,10),0.149417 # DEPENDENCYPART_ARC
(11,12),2.66943 # DEPENDENCYPART_ARC
(11,13),0.463474 # DEPENDENCYPART_ARC
(11,14),1.24001 # DEPENDENCYPART_ARC
(11,15),0.348197 # DEPENDENCYPART_ARC
(11,16),0.109284 # DEPENDENCYPART_ARC
(11,17),-0.403285 # DEPENDENCYPART_ARC
(11,18),-0.260165 # DEPENDENCYPART_ARC
(11,19),-0.462391 # DEPENDENCYPART_ARC
(11,20),-1.48409 # DEPENDENCYPART_ARC
(11,21),-1.3774 # DEPENDENCYPART_ARC
(11,22),-1.52957 # DEPENDENCYPART_ARC
(11,23),-0.831579 # DEPENDENCYPART_ARC
(11,24),-0.210522 # DEPENDENCYPART_ARC
(11,25),-2.17537 # DEPENDENCYPART_ARC
(11,26),-3.85651 # DEPENDENCYPART_ARC
(11,27),0.0178832 # DEPENDENCYPART_ARC
(12,1),-2.54677 # DEPENDENCYPART_ARC
(12,2),-3.69731 # DEPENDENCYPART_ARC
(12,3),-3.45075 # DEPENDENCYPART_ARC
(12,4),-2.44981 # DEPENDENCYPART_ARC
(12,5),-2.5288 # DEPENDENCYPART_ARC
(12,6),-0.896151 # DEPENDENCYPART_ARC
(12,7),-2.30925 # DEPENDENCYPART_ARC
(12,8),-1.00537 # DEPENDENCYPART_ARC
(12,9),1.39376 # DEPENDENCYPART_ARC
(12,10),0.686627 # DEPENDENCYPART_ARC
(12,11),0.344505 # DEPENDENCYPART_ARC
(12,13),3.97852 # DEPENDENCYPART_ARC
(12,14),1.14848 # DEPENDENCYPART_ARC
(12,15),2.47627 # DEPENDENCYPART_ARC
(12,16),-0.851691 # DEPENDENCYPART_ARC
(12,17),1.96629 # DEPENDENCYPART_ARC
(12,18),0.65624 # DEPENDENCYPART_ARC
(12,19),0.0525631 # DEPENDENCYPART_ARC
(12,20),-0.626989 # DEPENDENCYPART_ARC
(12,21),0.814102 # DEPENDENCYPART_ARC
(12,22),0.131796 # DEPENDENCYPART_ARC
(12,23),1.15314 # DEPENDENCYPART_ARC
(12,24),0.886223 # DEPENDENCYPART_ARC
(12,25),-0.871293 # DEPENDENCYPART_ARC
(12,26),0.672908 # DEPENDENCYPART_ARC
(12,27),-0.022463 # DEPENDENCYPART_ARC
(13,1),-1.97189 # DEPENDENCYPART_ARC
(13,2),-1.68183 # DEPENDENCYPART_ARC
(13,3),-1.57138 # DEPENDENCYPART_ARC
(13,4),-1.25204 # DEPENDENCYPART_ARC
(13,5),-1.33972 # DEPENDENCYPART_ARC
(13,6),-0.953868 # DEPENDENCYPART_ARC
(13,7),-1.0928 # DEPENDENCYPART_ARC
(13,8),-0.962999 # DEPENDENCYPART_ARC
(13,9),-0.46472 # DEPENDENCYPART_ARC
(13,10),-0.540957 # DEPENDENCYPART_ARC
(13,11),-0.457561 # DEPENDENCYPART_ARC
(13,12),0.890809 # DEPENDENCYPART_ARC
(13,14),3.2544 # DEPENDENCYPART_ARC
(13,15),0.786951 # DEPENDENCYPART_ARC
(13,16),-1.25141 # DEPENDENCYPART_ARC
(13,17),0.837101 # DEPENDENCYPART_ARC
(13,18),-0.173076 # DEPENDENCYPART_ARC
(13,19),-0.59558 # DEPENDENCYPART_ARC
(13,20),-0.72905 # DEPENDENCYPART_ARC
(13,21),-0.638137 # DEPENDENCYPART_ARC
(13,22),-1.21047 # DEPENDENCYPART_ARC
(13,23),-0.0725282 # DEPENDENCYPART_ARC
(13,24),-0.800033 # DEPENDENCYPART_ARC
(13,25),-1.39069 # DEPENDENCYPART_ARC
(13,26),-1.9396 # DEPENDENCYPART_ARC
(13,27),0.531887 # DEPENDENCYPART_ARC
(14,1),-2.31836 # DEPENDENCYPART_ARC
(14,2),-5.04622 # DEPENDENCYPART_ARC
(14,3),-4.31624 # DEPENDENCYPART_ARC
(14,4),-3.27909 # DEPENDENCYPART_ARC
(14,5),-3.20741 # DEPENDENCYPART_ARC
(14,6),-1.50531 # DEPENDENCYPART_ARC
(14,7),-3.50106 # DEPENDENCYPART_ARC
(14,8),-2.01102 # DEPENDENCYPART_ARC
(14,9),0.311594 # DEPENDENCYPART_ARC
(14,10),-0.58119 # DEPENDENCYPART_ARC
(14,11),-1.10651 # DEPENDENCYPART_ARC
(14,12),0.15736 # DEPENDENCYPART_ARC
(14,13),-0.0637413 # DEPENDENCYPART_ARC
(14,15),2.11065 # DEPENDENCYPART_ARC
(14,16),-0.372657 # DEPENDENCYPART_ARC
(14,17),1.91678 # DEPENDENCYPART_ARC
(14,18),-0.18849 # DEPENDENCYPART_ARC
(14,19),-0.0150107 # DEPENDENCYPART_ARC
(14,20),-0.535928 # DEPENDENCYPART_ARC
(14,21),-0.531109 # DEPENDENCYPART_ARC
(14,22),-0.210465 # DEPENDENCYPART_ARC
(14,23),1.12579 # DEPENDENCYPART_ARC
(14,24),1.20579 # DEPENDENCYPART_ARC
(14,25),-0.893384 # DEPENDENCYPART_ARC
(14,26),0.0396704 # DEPENDENCYPART_ARC
(14,27),0.532567 # DEPENDENCYPART_ARC
(15,1),-2.32849 # DEPENDENCYPART_ARC
(15,2),-2.28929 # DEPENDENCYPART_ARC
(15,3),-2.21955 # DEPENDENCYPART_ARC
(15,4),-2.29894 # DEPENDENCYPART_ARC
(15,5),-1.57222 # DEPENDENCYPART_ARC
(15,6),-1.6907 # DEPENDENCYPART_ARC
(15,7),-1.85327 # DEPENDENCYPART_ARC
(15,8),-1.70906 # DEPENDENCYPART_ARC
(15,9),-1.3242 # DEPENDENCYPART_ARC
(15,10),-1.76998 # DEPENDENCYPART_ARC
(15,11),-1.49289 # DEPENDENCYPART_ARC
(15,12),-1.55613 # DEPENDENCYPART_ARC
(15,13),-1.28329 # DEPENDENCYPART_ARC
(15,14),-1.06029 # DEPENDENCYPART_ARC
(15,16),-1.00564 # DEPENDENCYPART_ARC
(15,17),-0.744473 # DEPENDENCYPART_ARC
(15,18),-1.43972 # DEPENDENCYPART_ARC
(15,19),-1.85448 # DEPENDENCYPART_ARC
(15,20),-2.16225 # DEPENDENCYPART_ARC
(15,21),-1.69013 # DEPENDENCYPART_ARC
(15,22),-2.3296 # DEPENDENCYPART_ARC
(15,23),-0.380471 # DEPENDENCYPART_ARC
(15,24),-1.65851 # DEPENDENCYPART_ARC
(15,25),-2.4801 # DEPENDENCYPART_ARC
(15,26),-2.15733 # DEPENDENCYPART_ARC
(15,27),-1.90979 # DEPENDENCYPART_ARC
(16,1),-2.21775 # DEPENDENCYPART_ARC
(16,2),-1.86839 # DEPENDENCYPART_ARC
(16,3),-2.51093 # DEPENDENCYPART_ARC
(16,4),-2.16201 # DEPENDENCYPART_ARC
(16,5),-1.96324 # DEPENDENCYPART_ARC
(16,6),-1.03206 # DEPENDENCYPART_ARC
(16,7),-1.9727 # DEPENDENCYPART_ARC
(16,8),-1.34043 # DEPENDENCYPART_ARC
(16,9),-0.809002 # DEPENDENCYPART_ARC
(16,10),-1.36708 # DEPENDENCYPART_ARC
(16,11),-1.01402 # DEPENDENCYPART_ARC
(16,12),-1.06224 # DEPENDENCYPART_ARC
(16,13),-1.03417 # DEPENDENCYPART_ARC
(16,14),-0.58757 # DEPENDENCYPART_ARC
(16,15),0.23247 # DEPENDENCYPART_ARC
(16,17),0.61117 # DEPENDENCYPART_ARC
(16,18),-0.50332 # DEPENDENCYPART_ARC
(16,19),-1.26306 # DEPENDENCYPART_ARC
(16,20),-0.712739 # DEPENDENCYPART_ARC
(16,21),-1.05299 # DEPENDENCYPART_ARC
(16,22),-1.72535 # DEPENDENCYPART_ARC
(16,23),-1.03406 # DEPENDENCYPART_ARC
(16,24),-1.28764 # DEPENDENCYPART_ARC
(16,25),-2.14396 # DEPENDENCYPART_ARC
(16,26),-1.94538 # DEPENDENCYPART_ARC
(16,27),-1.45315 # DEPENDENCYPART_ARC
(17,1),1.62648 # DEPENDENCYPART_ARC
(17,2),-1.79397 # DEPENDENCYPART_ARC
(17,3),-0.874022 # DEPENDENCYPART_ARC
(17,4),-1.65932 # DEPENDENCYPART_ARC
(17,5),-2.25582 # DEPENDENCYPART_ARC
(17,6),-1.21827 # DEPENDENCYPART_ARC
(17,7),0.0336798 # DEPENDENCYPART_ARC
(17,8),-0.129245 # DEPENDENCYPART_ARC
(17,9),-1.22097 # DEPENDENCYPART_ARC
(17,10),-0.942945 # DEPENDENCYPART_ARC
(17,11),-0.629061 # DEPENDENCYPART_ARC
(17,12),-0.220166 # DEPENDENCYPART_ARC
(17,13),-0.745752 # DEPENDENCYPART_ARC
(17,14),-0.0963964 # DEPENDENCYPART_ARC
(17,15),1.07478 # DEPENDENCYPART_ARC
(17,16),3.72188 # DEPENDENCYPART_ARC
(17,18),3.36167 # DEPENDENCYPART_ARC
(17,19),1.0617 # DEPENDENCYPART_ARC
(17,20),1.34357 # DEPENDENCYPART_ARC
(17,21),1.07832 # DEPENDENCYPART_ARC
(17,22),0.223589 # DEPENDENCYPART_ARC
(17,23),1.25598 # DEPENDENCYPART_ARC
(17,24),0.675482 # DEPENDENCYPART_ARC
(17,25),-0.581477 # DEPENDENCYPART_ARC
(17,26),0.0151108 # DEPENDENCYPART_ARC
(17,27),0.129759 # DEPENDENCYPART_ARC
(18,1),-2.28963 # DEPENDENCYPART_ARC
(18,2),-1.64375 # DEPENDENCYPART_ARC
(18,3),-2.15325 # DEPENDENCYPART_ARC
(18,4),-1.9322 # DEPENDENCYPART_ARC
(18,5),-1.66321 # DEPENDENCYPART_ARC
(18,6),-1.50825 # DEPENDENCYPART_ARC
(18,7),-1.75031 # DEPENDENCYPART_ARC
(18,8),-1.25248 # DEPENDENCYPART_ARC
(18,9),-0.885869 # DEPENDENCYPART_ARC
(18,10),-1.32431 # DEPENDENCYPART_ARC
(18,11),-0.943382 # DEPENDENCYPART_ARC
(18,12),-0.706859 # DEPENDENCYPART_ARC
(18,13),-0.925239 # DEPENDENCYPART_ARC
(18,14),-0.633716 # DEPENDENCYPART_ARC
(18,15),-0.0472134 # DEPENDENCYPART_ARC
(18,16),0.368426 # DEPENDENCYPART_ARC
(18,17),0.588929 # DEPENDENCYPART_ARC
(18,19),3.19486 # DEPENDENCYPART_ARC
(18,20),2.96635 # DEPENDENCYPART_ARC
(18,21),0.393857 # DEPENDENCYPART_ARC
(18,22),0.388683 # DEPENDENCYPART_ARC
(18,23),0.735494 # DEPENDENCYPART_ARC
(18,24),0.451014 # DEPENDENCYPART_ARC
(18,25),0.303917 # DEPENDENCYPART_ARC
(18,26),-0.0287224 # DEPENDENCYPART_ARC
(18,27),-0.181795 # DEPENDENCYPART_ARC
(19,1),-3.32007 # DEPENDENCYPART_ARC
(19,2),-2.68668 # DEPENDENCYPART_ARC
(19,3),-3.6893 # DEPENDENCYPART_ARC
(19,4),-3.08695 # DEPENDENCYPART_ARC
(19,5),-2.99003 # DEPENDENCYPART_ARC
(19,6),-2.13514 # DEPENDENCYPART_ARC
(19,7),-3.27777 # DEPENDENCYPART_ARC
(19,8),-2.32826 # DEPENDENCYPART_ARC
(19,9),-1.58213 # DEPENDENCYPART_ARC
(19,10),-2.374 # DEPENDENCYPART_ARC
(19,11),-1.98069 # DEPENDENCYPART_ARC
(19,12),-2.20678 # DEPENDENCYPART_ARC
(19,13),-2.17993 # DEPENDENCYPART_ARC
(19,14),-1.93694 # DEPENDENCYPART_ARC
(19,15),-0.887955 # DEPENDENCYPART_ARC
