# _root_ In 1989 , Regatta will have sales `` in excess of $ 10 million '' and will show a profit , Mr. Parker said .
#goldHeads=5,1,5,5,24,5,6,9,6,9,10,11,12,12,9,5,16,17,20,18,24,23,24,0,24,
#predictedHeads=5,1,5,5,24,5,6,6,6,9,10,11,12,12,6,5,16,17,20,18,24,23,24,0,24,
(1,14),-2.2543 # DEPENDENCYPART_ARC
(1,15),0.181278 # DEPENDENCYPART_ARC
(1,16),-2.01045 # DEPENDENCYPART_ARC
(1,17),-2.49854 # DEPENDENCYPART_ARC
(1,18),-1.75215 # DEPENDENCYPART_ARC
(1,19),-3.7184 # DEPENDENCYPART_ARC
(1,20),-6.03574 # DEPENDENCYPART_ARC
(1,21),-1.53892 # DEPENDENCYPART_ARC
(1,22),-9.22699 # DEPENDENCYPART_ARC
(1,23),-9.52755 # DEPENDENCYPART_ARC
(1,24),-3.53172 # DEPENDENCYPART_ARC
(1,25),2.09327 # DEPENDENCYPART_ARC
(2,1),-0.481082 # DEPENDENCYPART_ARC
(2,3),0.748115 # DEPENDENCYPART_ARC
(2,4),0.112964 # DEPENDENCYPART_ARC
(2,5),-0.107863 # DEPENDENCYPART_ARC
(2,6),-0.61216 # DEPENDENCYPART_ARC
(2,7),-0.875397 # DEPENDENCYPART_ARC
(2,8),-0.702935 # DEPENDENCYPART_ARC
(2,9),-0.485798 # DEPENDENCYPART_ARC
(2,10),-0.841663 # DEPENDENCYPART_ARC
(2,11),-1.07101 # DEPENDENCYPART_ARC
(2,12),-1.12226 # DEPENDENCYPART_ARC
(2,13),-1.33956 # DEPENDENCYPART_ARC
(2,14),-1.40039 # DEPENDENCYPART_ARC
(2,15),-0.747274 # DEPENDENCYPART_ARC
(2,16),-1.52796 # DEPENDENCYPART_ARC
(2,17),-0.927087 # DEPENDENCYPART_ARC
(2,18),-1.81644 # DEPENDENCYPART_ARC
(2,19),-2.15215 # DEPENDENCYPART_ARC
(2,20),-2.25922 # DEPENDENCYPART_ARC
(2,21),-0.538174 # DEPENDENCYPART_ARC
(2,22),-2.02183 # DEPENDENCYPART_ARC
(2,23),-1.99461 # DEPENDENCYPART_ARC
(2,24),-2.0573 # DEPENDENCYPART_ARC
(2,25),-1.41049 # DEPENDENCYPART_ARC
(3,1),-1.27197 # DEPENDENCYPART_ARC
(3,2),-0.652569 # DEPENDENCYPART_ARC
(3,4),-0.111774 # DEPENDENCYPART_ARC
(3,5),-0.603138 # DEPENDENCYPART_ARC
(3,6),-0.837911 # DEPENDENCYPART_ARC
(3,7),-1.50757 # DEPENDENCYPART_ARC
(3,8),-1.01519 # DEPENDENCYPART_ARC
(3,9),-1.54405 # DEPENDENCYPART_ARC
(3,10),-2.21934 # DEPENDENCYPART_ARC
(3,11),-1.59643 # DEPENDENCYPART_ARC
(3,12),-2.50666 # DEPENDENCYPART_ARC
(3,13),-2.62896 # DEPENDENCYPART_ARC
(3,14),-2.7145 # DEPENDENCYPART_ARC
(3,15),-1.5578 # DEPENDENCYPART_ARC
(3,16),-2.20694 # DEPENDENCYPART_ARC
(3,17),-2.31192 # DEPENDENCYPART_ARC
(3,18),-2.33795 # DEPENDENCYPART_ARC
(3,19),-2.92879 # DEPENDENCYPART_ARC
(3,20),-3.23337 # DEPENDENCYPART_ARC
(3,21),-1.45429 # DEPENDENCYPART_ARC
(3,22),-3.2752 # DEPENDENCYPART_ARC
(3,23),-3.36316 # DEPENDENCYPART_ARC
(3,24),-2.76811 # DEPENDENCYPART_ARC
(3,25),-2.53384 # DEPENDENCYPART_ARC
(4,1),-0.539922 # DEPENDENCYPART_ARC
(4,2),0.581963 # DEPENDENCYPART_ARC
(4,3),0.536499 # DEPENDENCYPART_ARC
(4,5),0.205621 # DEPENDENCYPART_ARC
(4,6),-0.49099 # DEPENDENCYPART_ARC
(4,7),-0.594339 # DEPENDENCYPART_ARC
(4,8),-0.498677 # DEPENDENCYPART_ARC
(4,9),-1.11807 # DEPENDENCYPART_ARC
(4,10),-1.76565 # DEPENDENCYPART_ARC
(4,11),-1.08663 # DEPENDENCYPART_ARC
(4,12),-2.16896 # DEPENDENCYPART_ARC
(4,13),-1.62567 # DEPENDENCYPART_ARC
(4,14),-2.10003 # DEPENDENCYPART_ARC
(4,15),-0.113203 # DEPENDENCYPART_ARC
(4,16),-1.01483 # DEPENDENCYPART_ARC
(4,17),-1.66886 # DEPENDENCYPART_ARC
(4,18),-2.42673 # DEPENDENCYPART_ARC
(4,19),-2.31318 # DEPENDENCYPART_ARC
(4,20),-4.50955 # DEPENDENCYPART_ARC
(4,21),-1.33847 # DEPENDENCYPART_ARC
(4,22),-2.14077 # DEPENDENCYPART_ARC
(4,23),-2.39375 # DEPENDENCYPART_ARC
(4,24),-2.51767 # DEPENDENCYPART_ARC
(4,25),0.0148433 # DEPENDENCYPART_ARC
(5,1),1.97196 # DEPENDENCYPART_ARC
(5,2),1.076 # DEPENDENCYPART_ARC
(5,3),3.68186 # DEPENDENCYPART_ARC
(5,4),3.53056 # DEPENDENCYPART_ARC
(5,6),4.19054 # DEPENDENCYPART_ARC
(5,7),1.92137 # DEPENDENCYPART_ARC
(5,8),1.07929 # DEPENDENCYPART_ARC
(5,9),0.55842 # DEPENDENCYPART_ARC
(5,10),0.249167 # DEPENDENCYPART_ARC
(5,11),0.263406 # DEPENDENCYPART_ARC
(5,12),-0.707817 # DEPENDENCYPART_ARC
(5,13),-0.868447 # DEPENDENCYPART_ARC
(5,14),-0.954093 # DEPENDENCYPART_ARC
(5,15),0.549688 # DEPENDENCYPART_ARC
(5,16),3.01883 # DEPENDENCYPART_ARC
(5,17),0.295933 # DEPENDENCYPART_ARC
(5,18),0.910093 # DEPENDENCYPART_ARC
(5,19),-1.08644 # DEPENDENCYPART_ARC
(5,20),-0.731851 # DEPENDENCYPART_ARC
(5,21),0.756356 # DEPENDENCYPART_ARC
(5,22),-0.949279 # DEPENDENCYPART_ARC
(5,23),-0.831267 # DEPENDENCYPART_ARC
(5,24),-0.0481135 # DEPENDENCYPART_ARC
(5,25),4.07417 # DEPENDENCYPART_ARC
(6,1),-0.222155 # DEPENDENCYPART_ARC
(6,2),-0.309586 # DEPENDENCYPART_ARC
(6,3),-0.0133644 # DEPENDENCYPART_ARC
(6,4),-0.170906 # DEPENDENCYPART_ARC
(6,5),0.510131 # DEPENDENCYPART_ARC
(6,7),3.45349 # DEPENDENCYPART_ARC
(6,8),1.81389 # DEPENDENCYPART_ARC
(6,9),2.44669 # DEPENDENCYPART_ARC
(6,10),0.973705 # DEPENDENCYPART_ARC
(6,11),0.47496 # DEPENDENCYPART_ARC
(6,12),0.395244 # DEPENDENCYPART_ARC
(6,13),-0.685455 # DEPENDENCYPART_ARC
(6,14),-0.456559 # DEPENDENCYPART_ARC
(6,15),1.28104 # DEPENDENCYPART_ARC
(6,16),0.889199 # DEPENDENCYPART_ARC
(6,17),-0.375531 # DEPENDENCYPART_ARC
(6,18),-0.367372 # DEPENDENCYPART_ARC
(6,19),-1.76585 # DEPENDENCYPART_ARC
(6,20),0.285433 # DEPENDENCYPART_ARC
(6,21),0.526193 # DEPENDENCYPART_ARC
(6,22),-1.96857 # DEPENDENCYPART_ARC
(6,23),-1.60235 # DEPENDENCYPART_ARC
(6,24),-1.25718 # DEPENDENCYPART_ARC
(6,25),1.50184 # DEPENDENCYPART_ARC
(7,1),-1.35294 # DEPENDENCYPART_ARC
(7,2),0.154376 # DEPENDENCYPART_ARC
(7,3),-0.0470082 # DEPENDENCYPART_ARC
(7,4),0.644881 # DEPENDENCYPART_ARC
(7,5),0.20367 # DEPENDENCYPART_ARC
(7,6),1.58943 # DEPENDENCYPART_ARC
(7,8),1.61747 # DEPENDENCYPART_ARC
(7,9),1.61603 # DEPENDENCYPART_ARC
(7,10),0.66924 # DEPENDENCYPART_ARC
(7,11),1.53572 # DEPENDENCYPART_ARC
(7,12),-0.122962 # DEPENDENCYPART_ARC
(7,13),0.0644717 # DEPENDENCYPART_ARC
(7,14),-0.0607411 # DEPENDENCYPART_ARC
(7,15),0.583599 # DEPENDENCYPART_ARC
(7,16),0.51124 # DEPENDENCYPART_ARC
(7,17),0.657273 # DEPENDENCYPART_ARC
(7,18),0.100479 # DEPENDENCYPART_ARC
(7,19),-0.627423 # DEPENDENCYPART_ARC
(7,20),-0.525393 # DEPENDENCYPART_ARC
(7,21),0.158696 # DEPENDENCYPART_ARC
(7,22),-0.792406 # DEPENDENCYPART_ARC
(7,23),-0.742414 # DEPENDENCYPART_ARC
(7,24),-0.352057 # DEPENDENCYPART_ARC
(7,25),0.890081 # DEPENDENCYPART_ARC
(8,1),-1.40142 # DEPENDENCYPART_ARC
(8,2),-1.30754 # DEPENDENCYPART_ARC
(8,3),-1.14699 # DEPENDENCYPART_ARC
(8,4),-1.13071 # DEPENDENCYPART_ARC
(8,5),-1.13291 # DEPENDENCYPART_ARC
(8,6),-0.609138 # DEPENDENCYPART_ARC
(8,7),0.332029 # DEPENDENCYPART_ARC
(8,9),-0.300986 # DEPENDENCYPART_ARC
(8,10),-0.576952 # DEPENDENCYPART_ARC
(8,11),-0.93603 # DEPENDENCYPART_ARC
(8,12),-0.800791 # DEPENDENCYPART_ARC
(8,13),-1.47723 # DEPENDENCYPART_ARC
(8,14),-1.81423 # DEPENDENCYPART_ARC
(8,15),-0.147981 # DEPENDENCYPART_ARC
(8,16),-1.7639 # DEPENDENCYPART_ARC
(8,17),-1.69224 # DEPENDENCYPART_ARC
(8,18),-1.9525 # DEPENDENCYPART_ARC
(8,19),-2.37252 # DEPENDENCYPART_ARC
(8,20),-2.00264 # DEPENDENCYPART_ARC
(8,21),-1.447 # DEPENDENCYPART_ARC
(8,22),-2.44195 # DEPENDENCYPART_ARC
(8,23),-2.50886 # DEPENDENCYPART_ARC
(8,24),-2.17957 # DEPENDENCYPART_ARC
(8,25),-1.64587 # DEPENDENCYPART_ARC
(9,1),-1.25282 # DEPENDENCYPART_ARC
(9,2),-0.537538 # DEPENDENCYPART_ARC
(9,3),-0.390559 # DEPENDENCYPART_ARC
(9,4),-0.802259 # DEPENDENCYPART_ARC
(9,5),-1.06001 # DEPENDENCYPART_ARC
(9,6),-0.14367 # DEPENDENCYPART_ARC
(9,7),-0.0685148 # DEPENDENCYPART_ARC
(9,8),1.13827 # DEPENDENCYPART_ARC
(9,10),3.26281 # DEPENDENCYPART_ARC
(9,11),0.759098 # DEPENDENCYPART_ARC
(9,12),-0.230667 # DEPENDENCYPART_ARC
(9,13),-0.511179 # DEPENDENCYPART_ARC
(9,14),-0.130605 # DEPENDENCYPART_ARC
(9,15),0.269896 # DEPENDENCYPART_ARC
(9,16),-0.420112 # DEPENDENCYPART_ARC
(9,17),-0.376463 # DEPENDENCYPART_ARC
(9,18),-0.543192 # DEPENDENCYPART_ARC
(9,19),-2.261 # DEPENDENCYPART_ARC
(9,20),-1.80552 # DEPENDENCYPART_ARC
(9,21),-0.193238 # DEPENDENCYPART_ARC
(9,22),-5.06572 # DEPENDENCYPART_ARC
(9,23),-4.52934 # DEPENDENCYPART_ARC
(9,24),-1.68757 # DEPENDENCYPART_ARC
(9,25),1.58289 # DEPENDENCYPART_ARC
(10,1),-2.19668 # DEPENDENCYPART_ARC
(10,2),-2.47157 # DEPENDENCYPART_ARC
(10,3),-2.06186 # DEPENDENCYPART_ARC
(10,4),-1.69974 # DEPENDENCYPART_ARC
(10,5),-1.65758 # DEPENDENCYPART_ARC
(10,6),-1.15466 # DEPENDENCYPART_ARC
(10,7),0.308667 # DEPENDENCYPART_ARC
(10,8),0.0655349 # DEPENDENCYPART_ARC
(10,9),1.14734 # DEPENDENCYPART_ARC
(10,11),3.4695 # DEPENDENCYPART_ARC
(10,12),0.424398 # DEPENDENCYPART_ARC
(10,13),1.57596 # DEPENDENCYPART_ARC
(10,14),0.973047 # DEPENDENCYPART_ARC
(10,15),1.08576 # DEPENDENCYPART_ARC
(10,16),1.00681 # DEPENDENCYPART_ARC
(10,17),0.444688 # DEPENDENCYPART_ARC
(10,18),-0.441324 # DEPENDENCYPART_ARC
(10,19),-0.202694 # DEPENDENCYPART_ARC
(10,20),0.0184411 # DEPENDENCYPART_ARC
(10,21),0.0311058 # DEPENDENCYPART_ARC
(10,22),-1.34212 # DEPENDENCYPART_ARC
(10,23),-1.12537 # DEPENDENCYPART_ARC
(10,24),-0.98006 # DEPENDENCYPART_ARC
(10,25),0.777699 # DEPENDENCYPART_ARC
(11,1),-1.95032 # DEPENDENCYPART_ARC
(11,2),-1.62149 # DEPENDENCYPART_ARC
(11,3),-1.68029 # DEPENDENCYPART_ARC
(11,4),-1.28688 # DEPENDENCYPART_ARC
(11,5),-1.8434 # DEPENDENCYPART_ARC
(11,6),-1.18488 # DEPENDENCYPART_ARC
(11,7),-1.28903 # DEPENDENCYPART_ARC
(11,8),-0.206241 # DEPENDENCYPART_ARC
(11,9),0.13171 # DEPENDENCYPART_ARC
(11,10),0.230549 # DEPENDENCYPART_ARC
(11,12),3.21197 # DEPENDENCYPART_ARC
(11,13),0.794296 # DEPENDENCYPART_ARC
(11,14),0.754181 # DEPENDENCYPART_ARC
(11,15),0.536666 # DEPENDENCYPART_ARC
(11,16),-0.875424 # DEPENDENCYPART_ARC
(11,17),-0.420424 # DEPENDENCYPART_ARC
(11,18),-0.702344 # DEPENDENCYPART_ARC
(11,19),-1.89852 # DEPENDENCYPART_ARC
(11,20),-0.980004 # DEPENDENCYPART_ARC
(11,21),0.0305814 # DEPENDENCYPART_ARC
(11,22),-3.74434 # DEPENDENCYPART_ARC
(11,23),-2.77591 # DEPENDENCYPART_ARC
(11,24),-2.04774 # DEPENDENCYPART_ARC
(11,25),0.694199 # DEPENDENCYPART_ARC
(12,1),-2.19071 # DEPENDENCYPART_ARC
(12,2),-1.44658 # DEPENDENCYPART_ARC
(12,3),-1.61866 # DEPENDENCYPART_ARC
(12,4),-1.59939 # DEPENDENCYPART_ARC
(12,5),-1.50325 # DEPENDENCYPART_ARC
(12,6),-0.920676 # DEPENDENCYPART_ARC
(12,7),-0.881632 # DEPENDENCYPART_ARC
(12,8),0.866171 # DEPENDENCYPART_ARC
(12,9),0.310245 # DEPENDENCYPART_ARC
(12,10),0.903393 # DEPENDENCYPART_ARC
(12,11),1.45231 # DEPENDENCYPART_ARC
(12,13),4.53737 # DEPENDENCYPART_ARC
(12,14),4.14832 # DEPENDENCYPART_ARC
(12,15),0.985584 # DEPENDENCYPART_ARC
(12,16),1.16755 # DEPENDENCYPART_ARC
(12,17),0.92246 # DEPENDENCYPART_ARC
(12,18),0.307435 # DEPENDENCYPART_ARC
(12,19),0.416614 # DEPENDENCYPART_ARC
(12,20),0.920278 # DEPENDENCYPART_ARC
(12,21),1.45776 # DEPENDENCYPART_ARC
(12,22),-0.615142 # DEPENDENCYPART_ARC
(12,23),-0.686861 # DEPENDENCYPART_ARC
(12,24),-0.902596 # DEPENDENCYPART_ARC
(12,25),-0.304313 # DEPENDENCYPART_ARC
(13,1),-3.39393 # DEPENDENCYPART_ARC
(13,2),-2.63471 # DEPENDENCYPART_ARC
(13,3),-3.09451 # DEPENDENCYPART_ARC
(13,4),-2.73366 # DEPENDENCYPART_ARC
(13,5),-2.81013 # DEPENDENCYPART_ARC
(13,6),-2.25391 # DEPENDENCYPART_ARC
(13,7),-2.34559 # DEPENDENCYPART_ARC
(13,8),-1.82652 # DEPENDENCYPART_ARC
(13,9),-1.78775 # DEPENDENCYPART_ARC
(13,10),-1.72513 # DEPENDENCYPART_ARC
(13,11),-0.731317 # DEPENDENCYPART_ARC
(13,12),-0.485165 # DEPENDENCYPART_ARC
(13,14),1.5286 # DEPENDENCYPART_ARC
(13,15),0.246072 # DEPENDENCYPART_ARC
(13,16),-0.139277 # DEPENDENCYPART_ARC
(13,17),-0.49163 # DEPENDENCYPART_ARC
(13,18),-0.985874 # DEPENDENCYPART_ARC
(13,19),-1.1664 # DEPENDENCYPART_ARC
(13,20),-1.2919 # DEPENDENCYPART_ARC
(13,21),-0.0910073 # DEPENDENCYPART_ARC
(13,22),-1.37408 # DEPENDENCYPART_ARC
(13,23),-1.42727 # DEPENDENCYPART_ARC
(13,24),-1.24995 # DEPENDENCYPART_ARC
(13,25),-0.973949 # DEPENDENCYPART_ARC
(14,1),-1.45272 # DEPENDENCYPART_ARC
(14,2),-0.929693 # DEPENDENCYPART_ARC
(14,3),-1.13152 # DEPENDENCYPART_ARC
(14,4),-0.759871 # DEPENDENCYPART_ARC
(14,5),-0.965768 # DEPENDENCYPART_ARC
(14,6),-0.356888 # DEPENDENCYPART_ARC
(14,7),-0.576364 # DEPENDENCYPART_ARC
(14,8),-0.160223 # DEPENDENCYPART_ARC
(14,9),-0.00570966 # DEPENDENCYPART_ARC
(14,10),-0.108792 # DEPENDENCYPART_ARC
(14,11),0.747945 # DEPENDENCYPART_ARC
(14,12),1.06508 # DEPENDENCYPART_ARC
(14,13),2.58452 # DEPENDENCYPART_ARC
(14,15),0.460563 # DEPENDENCYPART_ARC
(14,16),-0.117415 # DEPENDENCYPART_ARC
(14,17),-0.523471 # DEPENDENCYPART_ARC
(14,18),-1.16843 # DEPENDENCYPART_ARC
(14,19),-1.72972 # DEPENDENCYPART_ARC
(14,20),-1.05203 # DEPENDENCYPART_ARC
(14,21),-0.0056509 # DEPENDENCYPART_ARC
(14,22),-1.58806 # DEPENDENCYPART_ARC
(14,23),-1.63183 # DEPENDENCYPART_ARC
(14,24),-1.55494 # DEPENDENCYPART_ARC
(14,25),-1.2699 # DEPENDENCYPART_ARC
(15,1),-1.54708 # DEPENDENCYPART_ARC
(15,2),-1.62002 # DEPENDENCYPART_ARC
(15,3),-1.08513 # DEPENDENCYPART_ARC
(15,4),-1.61228 # DEPENDENCYPART_ARC
(15,5),-0.896879 # DEPENDENCYPART_ARC
(15,6),-1.16745 # DEPENDENCYPART_ARC
(15,7),-0.891332 # DEPENDENCYPART_ARC
(15,8),0.523222 # DEPENDENCYPART_ARC
(15,9),-0.561448 # DEPENDENCYPART_ARC
(15,10),-0.981581 # DEPENDENCYPART_ARC
(15,11),-0.271379 # DEPENDENCYPART_ARC
(15,12),0.233551 # DEPENDENCYPART_ARC
(15,13),-0.0272545 # DEPENDENCYPART_ARC
(15,14),0.676097 # DEPENDENCYPART_ARC
(15,16),0.55852 # DEPENDENCYPART_ARC
(15,17),0.0588472 # DEPENDENCYPART_ARC
(15,18),-0.446133 # DEPENDENCYPART_ARC
(15,19),-1.20824 # DEPENDENCYPART_ARC
(15,20),-0.895024 # DEPENDENCYPART_ARC
(15,21),-0.42998 # DEPENDENCYPART_ARC
(15,22),-1.53324 # DEPENDENCYPART_ARC
(15,23),-1.66043 # DEPENDENCYPART_ARC
(15,24),-1.11733 # DEPENDENCYPART_ARC
(15,25),-0.883114 # DEPENDENCYPART_ARC
(16,1),-1.41698 # DEPENDENCYPART_ARC
(16,2),-1.72569 # DEPENDENCYPART_ARC
(16,3),-1.54019 # DEPENDENCYPART_ARC
(16,4),-0.451432 # DEPENDENCYPART_ARC
(16,5),-1.28763 # DEPENDENCYPART_ARC
(16,6),-1.03926 # DEPENDENCYPART_ARC
(16,7),-0.510036 # DEPENDENCYPART_ARC
(16,8),-0.985794 # DEPENDENCYPART_ARC
(16,9),-0.35242 # DEPENDENCYPART_ARC
(16,10),-0.418926 # DEPENDENCYPART_ARC
(16,11),-0.288016 # DEPENDENCYPART_ARC
(16,12),-0.158092 # DEPENDENCYPART_ARC
(16,13),0.0133824 # DEPENDENCYPART_ARC
(16,14),-0.0784689 # DEPENDENCYPART_ARC
(16,15),0.441862 # DEPENDENCYPART_ARC
(16,17),4.13348 # DEPENDENCYPART_ARC
(16,18),1.67252 # DEPENDENCYPART_ARC
(16,19),0.0989409 # DEPENDENCYPART_ARC
(16,20),0.138355 # DEPENDENCYPART_ARC
(16,21),0.36709 # DEPENDENCYPART_ARC
(16,22),-1.6856 # DEPENDENCYPART_ARC
(16,23),-0.608799 # DEPENDENCYPART_ARC
(16,24),0.76618 # DEPENDENCYPART_ARC
(16,25),0.149728 # DEPENDENCYPART_ARC
(17,1),-1.93855 # DEPENDENCYPART_ARC
(17,2),-1.75998 # DEPENDENCYPART_ARC
(17,3),-0.772302 # DEPENDENCYPART_ARC
(17,4),-1.36916 # DEPENDENCYPART_ARC
(17,5),-1.94239 # DEPENDENCYPART_ARC
(17,6),-1.28967 # DEPENDENCYPART_ARC
(17,7),0.190541 # DEPENDENCYPART_ARC
(17,8),0.101931 # DEPENDENCYPART_ARC
(17,9),-0.518142 # DEPENDENCYPART_ARC
(17,10),0.218658 # DEPENDENCYPART_ARC
(17,11),-1.73865 # DEPENDENCYPART_ARC
(17,12),-0.374993 # DEPENDENCYPART_ARC
(17,13),-0.44307 # DEPENDENCYPART_ARC
(17,14),0.0451693 # DEPENDENCYPART_ARC
(17,15),0.235765 # DEPENDENCYPART_ARC
(17,16),0.53276 # DEPENDENCYPART_ARC
(17,18),3.80993 # DEPENDENCYPART_ARC
(17,19),0.184994 # DEPENDENCYPART_ARC
(17,20),0.293987 # DEPENDENCYPART_ARC
(17,21),0.453053 # DEPENDENCYPART_ARC
(17,22),-0.0726424 # DEPENDENCYPART_ARC
(17,23),-0.262358 # DEPENDENCYPART_ARC
(17,24),-0.0163776 # DEPENDENCYPART_ARC
(17,25),2.09258 # DEPENDENCYPART_ARC
(18,1),-1.95595 # DEPENDENCYPART_ARC
(18,2),-1.75133 # DEPENDENCYPART_ARC
(18,3),-1.80981 # DEPENDENCYPART_ARC
(18,4),-1.79767 # DEPENDENCYPART_ARC
(18,5),-1.49891 # DEPENDENCYPART_ARC
(18,6),-1.16943 # DEPENDENCYPART_ARC
(18,7),-0.556906 # DEPENDENCYPART_ARC
(18,8),-0.405154 # DEPENDENCYPART_ARC
(18,9),-0.922023 # DEPENDENCYPART_ARC
(18,10),-0.767235 # DEPENDENCYPART_ARC
(18,11),-0.68462 # DEPENDENCYPART_ARC
(18,12),-0.51742 # DEPENDENCYPART_ARC
(18,13),-0.301235 # DEPENDENCYPART_ARC
(18,14),-0.0626198 # DEPENDENCYPART_ARC
(18,15),0.466236 # DEPENDENCYPART_ARC
(18,16),0.144208 # DEPENDENCYPART_ARC
(18,17),0.824119 # DEPENDENCYPART_ARC
(18,19),1.35977 # DEPENDENCYPART_ARC
(18,20),3.42552 # DEPENDENCYPART_ARC
(18,21),1.25993 # DEPENDENCYPART_ARC
(18,22),0.956909 # DEPENDENCYPART_ARC
(18,23),1.44592 # DEPENDENCYPART_ARC
(18,24),0.697608 # DEPENDENCYPART_ARC
(18,25),0.740409 # DEPENDENCYPART_ARC
(19,1),-2.3609 # DEPENDENCYPART_ARC
(19,2),-2.63554 # DEPENDENCYPART_ARC
(19,3),-2.66148 # DEPENDENCYPART_ARC
(19,4),-2.8008 # DEPENDENCYPART_ARC
(19,5),-2.75784 # DEPENDENCYPART_ARC
(19,6),-2.17593 # DEPENDENCYPART_ARC
(19,7),-2.52522 # DEPENDENCYPART_ARC
(19,8),-2.34591 # DEPENDENCYPART_ARC
(19,9),-1.24326 # DEPENDENCYPART_ARC
(19,10),-2.30806 # DEPENDENCYPART_ARC
(19,11),-1.01135 # DEPENDENCYPART_ARC
(19,12),-1.53199 # DEPENDENCYPART_ARC
(19,13),-1.51786 # DEPENDENCYPART_ARC
(19,14),-1.24069 # DEPENDENCYPART_ARC
(19,15),-1.37539 # DEPENDENCYPART_ARC
(19,16),-1.36392 # DEPENDENCYPART_ARC
(19,17),-0.77913 # DEPENDENCYPART_ARC
(19,18),0.422078 # DEPENDENCYPART_ARC
(19,20),0.015746 # DEPENDENCYPART_ARC
(19,21),-0.868694 # DEPENDENCYPART_ARC
(19,22),-1.01473 # DEPENDENCYPART_ARC
(19,23),-1.18325 # DEPENDENCYPART_ARC
(19,24),-1.15202 # DEPENDENCYPART_ARC
(19,25),-1.74118 # DEPENDENCYPART_ARC
(20,1),-3.16884 # DEPENDENCYPART_ARC
(20,2),-3.11095 # DEPENDENCYPART_ARC
(20,3),-2.76627 # DEPENDENCYPART_ARC
(20,4),-4.4252 # DEPENDENCYPART_ARC
(20,5),-2.5652 # DEPENDENCYPART_ARC
(20,6),-2.22684 # DEPENDENCYPART_ARC
(20,7),-1.70871 # DEPENDENCYPART_ARC
(20,8),-1.15629 # DEPENDENCYPART_ARC
(20,9),-1.18107 # DEPENDENCYPART_ARC
(20,10),-1.43175 # DEPENDENCYPART_ARC
(20,11),-0.52712 # DEPENDENCYPART_ARC
(20,12),-0.932932 # DEPENDENCYPART_ARC
(20,13),-1.1953 # DEPENDENCYPART_ARC
(20,14),-1.33265 # DEPENDENCYPART_ARC
(20,15),0.0663889 # DEPENDENCYPART_ARC
(20,16),-0.104955 # DEPENDENCYPART_ARC
(20,17),-0.126562 # DEPENDENCYPART_ARC
(20,18),0.713321 # DEPENDENCYPART_ARC
(20,19),4.76492 # DEPENDENCYPART_ARC
(20,21),1.48268 # DEPENDENCYPART_ARC
(20,22),1.17767 # DEPENDENCYPART_ARC
(20,23),0.978266 # DEPENDENCYPART_ARC
(20,24),0.706798 # DEPENDENCYPART_ARC
(20,25),0.518802 # DEPENDENCYPART_ARC
(21,1),-3.26196 # DEPENDENCYPART_ARC
(21,2),-3.2214 # DEPENDENCYPART_ARC
(21,3),-1.26442 # DEPENDENCYPART_ARC
(21,4),-3.24204 # DEPENDENCYPART_ARC
(21,5),-2.99455 # DEPENDENCYPART_ARC
