# _root_ Hughes Aircraft Co. , a unit of General Motors Corp. , said it agreed to purchase the Electro-Optics Technology division of Perkin-Elmer Corp .
#goldHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
#predictedHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
(6,10),1.26787 # DEPENDENCYPART_ARC
(6,11),1.25881 # DEPENDENCYPART_ARC
(6,12),0.797199 # DEPENDENCYPART_ARC
(6,13),0.405598 # DEPENDENCYPART_ARC
(6,14),0.252515 # DEPENDENCYPART_ARC
(6,15),-0.210049 # DEPENDENCYPART_ARC
(6,16),0.256488 # DEPENDENCYPART_ARC
(6,17),-0.77745 # DEPENDENCYPART_ARC
(6,18),-1.05723 # DEPENDENCYPART_ARC
(6,19),-0.674219 # DEPENDENCYPART_ARC
(6,20),-0.756496 # DEPENDENCYPART_ARC
(6,21),-3.2627 # DEPENDENCYPART_ARC
(6,22),-1.32652 # DEPENDENCYPART_ARC
(6,23),-2.34475 # DEPENDENCYPART_ARC
(6,24),1.66277 # DEPENDENCYPART_ARC
(7,1),-1.18658 # DEPENDENCYPART_ARC
(7,2),-1.33396 # DEPENDENCYPART_ARC
(7,3),-1.23333 # DEPENDENCYPART_ARC
(7,4),-0.816415 # DEPENDENCYPART_ARC
(7,5),-0.476739 # DEPENDENCYPART_ARC
(7,6),0.480225 # DEPENDENCYPART_ARC
(7,8),3.00585 # DEPENDENCYPART_ARC
(7,9),2.93475 # DEPENDENCYPART_ARC
(7,10),2.37656 # DEPENDENCYPART_ARC
(7,11),0.719313 # DEPENDENCYPART_ARC
(7,12),0.635732 # DEPENDENCYPART_ARC
(7,13),0.450238 # DEPENDENCYPART_ARC
(7,14),-0.752647 # DEPENDENCYPART_ARC
(7,15),-1.90919 # DEPENDENCYPART_ARC
(7,16),-0.838238 # DEPENDENCYPART_ARC
(7,17),-1.99312 # DEPENDENCYPART_ARC
(7,18),-3.01776 # DEPENDENCYPART_ARC
(7,19),-2.78099 # DEPENDENCYPART_ARC
(7,20),-2.33225 # DEPENDENCYPART_ARC
(7,21),-2.02859 # DEPENDENCYPART_ARC
(7,22),-4.04073 # DEPENDENCYPART_ARC
(7,23),-8.56436 # DEPENDENCYPART_ARC
(7,24),-0.394334 # DEPENDENCYPART_ARC
(8,1),-3.65469 # DEPENDENCYPART_ARC
(8,2),-3.59836 # DEPENDENCYPART_ARC
(8,3),-3.1227 # DEPENDENCYPART_ARC
(8,4),-2.78101 # DEPENDENCYPART_ARC
(8,5),-1.5657 # DEPENDENCYPART_ARC
(8,6),-2.47706 # DEPENDENCYPART_ARC
(8,7),-1.17424 # DEPENDENCYPART_ARC
(8,9),1.05581 # DEPENDENCYPART_ARC
(8,10),2.14864 # DEPENDENCYPART_ARC
(8,11),0.363795 # DEPENDENCYPART_ARC
(8,12),-1.17304 # DEPENDENCYPART_ARC
(8,13),-1.86002 # DEPENDENCYPART_ARC
(8,14),-1.55082 # DEPENDENCYPART_ARC
(8,15),-2.0122 # DEPENDENCYPART_ARC
(8,16),-2.4704 # DEPENDENCYPART_ARC
(8,17),-1.73092 # DEPENDENCYPART_ARC
(8,18),-2.59167 # DEPENDENCYPART_ARC
(8,19),-2.4276 # DEPENDENCYPART_ARC
(8,20),-3.27646 # DEPENDENCYPART_ARC
(8,21),-1.83002 # DEPENDENCYPART_ARC
(8,22),-3.20672 # DEPENDENCYPART_ARC
(8,23),-2.52447 # DEPENDENCYPART_ARC
(8,24),-1.34765 # DEPENDENCYPART_ARC
(9,1),-0.968232 # DEPENDENCYPART_ARC
(9,2),-1.07836 # DEPENDENCYPART_ARC
(9,3),-1.14752 # DEPENDENCYPART_ARC
(9,4),-0.17077 # DEPENDENCYPART_ARC
(9,5),0.511062 # DEPENDENCYPART_ARC
(9,6),-0.47175 # DEPENDENCYPART_ARC
(9,7),0.373292 # DEPENDENCYPART_ARC
(9,8),4.93563 # DEPENDENCYPART_ARC
(9,10),5.00364 # DEPENDENCYPART_ARC
(9,11),2.98723 # DEPENDENCYPART_ARC
(9,12),1.12192 # DEPENDENCYPART_ARC
(9,13),0.909772 # DEPENDENCYPART_ARC
(9,14),0.792632 # DEPENDENCYPART_ARC
(9,15),0.474504 # DEPENDENCYPART_ARC
(9,16),0.0411889 # DEPENDENCYPART_ARC
(9,17),0.512583 # DEPENDENCYPART_ARC
(9,18),-0.201344 # DEPENDENCYPART_ARC
(9,19),-0.274749 # DEPENDENCYPART_ARC
(9,20),-0.69483 # DEPENDENCYPART_ARC
(9,21),-0.144138 # DEPENDENCYPART_ARC
(9,22),-0.930067 # DEPENDENCYPART_ARC
(9,23),-0.0376897 # DEPENDENCYPART_ARC
(9,24),1.7322 # DEPENDENCYPART_ARC
(10,1),-0.750232 # DEPENDENCYPART_ARC
(10,2),-1.0922 # DEPENDENCYPART_ARC
(10,3),-1.73511 # DEPENDENCYPART_ARC
(10,4),-1.38167 # DEPENDENCYPART_ARC
(10,5),0.035835 # DEPENDENCYPART_ARC
(10,6),-1.19382 # DEPENDENCYPART_ARC
(10,7),-0.565265 # DEPENDENCYPART_ARC
(10,8),3.31651 # DEPENDENCYPART_ARC
(10,9),2.2363 # DEPENDENCYPART_ARC
(10,11),-0.211127 # DEPENDENCYPART_ARC
(10,12),-1.50279 # DEPENDENCYPART_ARC
(10,13),-1.3025 # DEPENDENCYPART_ARC
(10,14),-1.5946 # DEPENDENCYPART_ARC
(10,15),-2.04444 # DEPENDENCYPART_ARC
(10,16),-2.49416 # DEPENDENCYPART_ARC
(10,17),-2.09051 # DEPENDENCYPART_ARC
(10,18),-3.36161 # DEPENDENCYPART_ARC
(10,19),-3.30986 # DEPENDENCYPART_ARC
(10,20),-2.8307 # DEPENDENCYPART_ARC
(10,21),-2.8518 # DEPENDENCYPART_ARC
(10,22),-4.39149 # DEPENDENCYPART_ARC
(10,23),-3.29223 # DEPENDENCYPART_ARC
(10,24),-1.33412 # DEPENDENCYPART_ARC
(11,1),-1.89968 # DEPENDENCYPART_ARC
(11,2),-1.84334 # DEPENDENCYPART_ARC
(11,3),-1.86651 # DEPENDENCYPART_ARC
(11,4),-0.0305394 # DEPENDENCYPART_ARC
(11,5),-0.706448 # DEPENDENCYPART_ARC
(11,6),-1.3793 # DEPENDENCYPART_ARC
(11,7),-0.881412 # DEPENDENCYPART_ARC
(11,8),-0.947238 # DEPENDENCYPART_ARC
(11,9),-1.0914 # DEPENDENCYPART_ARC
(11,10),-0.500374 # DEPENDENCYPART_ARC
(11,12),-0.297919 # DEPENDENCYPART_ARC
(11,13),-1.48384 # DEPENDENCYPART_ARC
(11,14),-1.30787 # DEPENDENCYPART_ARC
(11,15),-1.91338 # DEPENDENCYPART_ARC
(11,16),-1.76461 # DEPENDENCYPART_ARC
(11,17),-2.34699 # DEPENDENCYPART_ARC
(11,18),-2.4544 # DEPENDENCYPART_ARC
(11,19),-2.61017 # DEPENDENCYPART_ARC
(11,20),-3.03045 # DEPENDENCYPART_ARC
(11,21),-2.34441 # DEPENDENCYPART_ARC
(11,22),-2.92123 # DEPENDENCYPART_ARC
(11,23),-3.09515 # DEPENDENCYPART_ARC
(11,24),-2.21464 # DEPENDENCYPART_ARC
(12,1),1.45511 # DEPENDENCYPART_ARC
(12,2),1.38717 # DEPENDENCYPART_ARC
(12,3),-0.245075 # DEPENDENCYPART_ARC
(12,4),1.15951 # DEPENDENCYPART_ARC
(12,5),-0.672604 # DEPENDENCYPART_ARC
(12,6),-0.0351266 # DEPENDENCYPART_ARC
(12,7),-1.00351 # DEPENDENCYPART_ARC
(12,8),0.349742 # DEPENDENCYPART_ARC
(12,9),1.1063 # DEPENDENCYPART_ARC
(12,10),0.225572 # DEPENDENCYPART_ARC
(12,11),1.53877 # DEPENDENCYPART_ARC
(12,13),0.983192 # DEPENDENCYPART_ARC
(12,14),3.78496 # DEPENDENCYPART_ARC
(12,15),0.157091 # DEPENDENCYPART_ARC
(12,16),0.574846 # DEPENDENCYPART_ARC
(12,17),-1.34407 # DEPENDENCYPART_ARC
(12,18),-1.53672 # DEPENDENCYPART_ARC
(12,19),-1.19368 # DEPENDENCYPART_ARC
(12,20),-1.99767 # DEPENDENCYPART_ARC
(12,21),-1.03946 # DEPENDENCYPART_ARC
(12,22),-2.11073 # DEPENDENCYPART_ARC
(12,23),-1.68479 # DEPENDENCYPART_ARC
(12,24),6.44387 # DEPENDENCYPART_ARC
(13,1),-2.90395 # DEPENDENCYPART_ARC
(13,2),-2.84215 # DEPENDENCYPART_ARC
(13,3),-2.59178 # DEPENDENCYPART_ARC
(13,4),-1.40142 # DEPENDENCYPART_ARC
(13,5),-1.39665 # DEPENDENCYPART_ARC
(13,6),-2.54638 # DEPENDENCYPART_ARC
(13,7),-1.56378 # DEPENDENCYPART_ARC
(13,8),-1.9004 # DEPENDENCYPART_ARC
(13,9),-1.73176 # DEPENDENCYPART_ARC
(13,10),-1.40633 # DEPENDENCYPART_ARC
(13,11),-0.055871 # DEPENDENCYPART_ARC
(13,12),-0.37464 # DEPENDENCYPART_ARC
(13,14),0.72705 # DEPENDENCYPART_ARC
(13,15),0.590231 # DEPENDENCYPART_ARC
(13,16),-1.11705 # DEPENDENCYPART_ARC
(13,17),-0.759841 # DEPENDENCYPART_ARC
(13,18),-0.707962 # DEPENDENCYPART_ARC
(13,19),-1.07153 # DEPENDENCYPART_ARC
(13,20),-1.3008 # DEPENDENCYPART_ARC
(13,21),-1.18318 # DEPENDENCYPART_ARC
(13,22),-1.401 # DEPENDENCYPART_ARC
(13,23),-1.48152 # DEPENDENCYPART_ARC
(13,24),-0.930214 # DEPENDENCYPART_ARC
(14,1),-1.00608 # DEPENDENCYPART_ARC
(14,2),-0.745621 # DEPENDENCYPART_ARC
(14,3),-2.30938 # DEPENDENCYPART_ARC
(14,4),0.743639 # DEPENDENCYPART_ARC
(14,5),-0.708815 # DEPENDENCYPART_ARC
(14,6),-1.31038 # DEPENDENCYPART_ARC
(14,7),-0.554873 # DEPENDENCYPART_ARC
(14,8),-0.852401 # DEPENDENCYPART_ARC
(14,9),-0.982614 # DEPENDENCYPART_ARC
(14,10),-1.93926 # DEPENDENCYPART_ARC
(14,11),0.81428 # DEPENDENCYPART_ARC
(14,12),0.198087 # DEPENDENCYPART_ARC
(14,13),3.72244 # DEPENDENCYPART_ARC
(14,15),4.47183 # DEPENDENCYPART_ARC
(14,16),1.51547 # DEPENDENCYPART_ARC
(14,17),-0.496726 # DEPENDENCYPART_ARC
(14,18),0.109318 # DEPENDENCYPART_ARC
(14,19),0.165679 # DEPENDENCYPART_ARC
(14,20),0.671238 # DEPENDENCYPART_ARC
(14,21),0.336558 # DEPENDENCYPART_ARC
(14,22),-1.01637 # DEPENDENCYPART_ARC
(14,23),-0.72378 # DEPENDENCYPART_ARC
(14,24),3.21953 # DEPENDENCYPART_ARC
(15,1),-1.44829 # DEPENDENCYPART_ARC
(15,2),-1.35791 # DEPENDENCYPART_ARC
(15,3),-1.46641 # DEPENDENCYPART_ARC
(15,4),-1.49473 # DEPENDENCYPART_ARC
(15,5),-0.693689 # DEPENDENCYPART_ARC
(15,6),-1.39985 # DEPENDENCYPART_ARC
(15,7),-0.841911 # DEPENDENCYPART_ARC
(15,8),-0.5028 # DEPENDENCYPART_ARC
(15,9),-0.753383 # DEPENDENCYPART_ARC
(15,10),-0.803661 # DEPENDENCYPART_ARC
(15,11),-0.303905 # DEPENDENCYPART_ARC
(15,12),-0.0108523 # DEPENDENCYPART_ARC
(15,13),0.268499 # DEPENDENCYPART_ARC
(15,14),0.926673 # DEPENDENCYPART_ARC
(15,16),3.90403 # DEPENDENCYPART_ARC
(15,17),-0.243177 # DEPENDENCYPART_ARC
(15,18),0.233515 # DEPENDENCYPART_ARC
(15,19),0.301611 # DEPENDENCYPART_ARC
(15,20),-0.019083 # DEPENDENCYPART_ARC
(15,21),0.049612 # DEPENDENCYPART_ARC
(15,22),-1.36951 # DEPENDENCYPART_ARC
(15,23),-1.82481 # DEPENDENCYPART_ARC
(15,24),0.520217 # DEPENDENCYPART_ARC
(16,1),-1.45709 # DEPENDENCYPART_ARC
(16,2),-1.56595 # DEPENDENCYPART_ARC
(16,3),-1.57771 # DEPENDENCYPART_ARC
(16,4),-0.399774 # DEPENDENCYPART_ARC
(16,5),-0.464246 # DEPENDENCYPART_ARC
(16,6),-0.839361 # DEPENDENCYPART_ARC
(16,7),-0.56302 # DEPENDENCYPART_ARC
(16,8),-0.56956 # DEPENDENCYPART_ARC
(16,9),-0.638001 # DEPENDENCYPART_ARC
(16,10),-0.64033 # DEPENDENCYPART_ARC
(16,11),-0.170557 # DEPENDENCYPART_ARC
(16,12),-0.253884 # DEPENDENCYPART_ARC
(16,13),0.333757 # DEPENDENCYPART_ARC
(16,14),0.0907259 # DEPENDENCYPART_ARC
(16,15),1.26436 # DEPENDENCYPART_ARC
(16,17),1.66718 # DEPENDENCYPART_ARC
(16,18),2.04601 # DEPENDENCYPART_ARC
(16,19),2.541 # DEPENDENCYPART_ARC
(16,20),2.78435 # DEPENDENCYPART_ARC
(16,21),0.88418 # DEPENDENCYPART_ARC
(16,22),0.436024 # DEPENDENCYPART_ARC
(16,23),1.04781 # DEPENDENCYPART_ARC
(16,24),0.307517 # DEPENDENCYPART_ARC
(17,1),-3.48507 # DEPENDENCYPART_ARC
(17,2),-3.37273 # DEPENDENCYPART_ARC
(17,3),-3.29042 # DEPENDENCYPART_ARC
(17,4),-2.86399 # DEPENDENCYPART_ARC
(17,5),-2.60138 # DEPENDENCYPART_ARC
(17,6),-3.28165 # DEPENDENCYPART_ARC
(17,7),-2.41363 # DEPENDENCYPART_ARC
(17,8),-2.59671 # DEPENDENCYPART_ARC
(17,9),-2.5147 # DEPENDENCYPART_ARC
(17,10),-2.38141 # DEPENDENCYPART_ARC
(17,11),-2.10649 # DEPENDENCYPART_ARC
(17,12),-2.15541 # DEPENDENCYPART_ARC
(17,13),-1.40792 # DEPENDENCYPART_ARC
(17,14),-1.57999 # DEPENDENCYPART_ARC
(17,15),-1.24137 # DEPENDENCYPART_ARC
(17,16),-0.120396 # DEPENDENCYPART_ARC
(17,18),0.104801 # DEPENDENCYPART_ARC
(17,19),-0.304581 # DEPENDENCYPART_ARC
(17,20),-0.258106 # DEPENDENCYPART_ARC
(17,21),-0.198713 # DEPENDENCYPART_ARC
(17,22),-0.914556 # DEPENDENCYPART_ARC
(17,23),-1.265 # DEPENDENCYPART_ARC
(17,24),-1.28738 # DEPENDENCYPART_ARC
(18,1),-8.28638 # DEPENDENCYPART_ARC
(18,2),-8.28338 # DEPENDENCYPART_ARC
(18,3),-7.97654 # DEPENDENCYPART_ARC
(18,4),-4.95743 # DEPENDENCYPART_ARC
(18,5),-4.75315 # DEPENDENCYPART_ARC
(18,6),-6.61431 # DEPENDENCYPART_ARC
(18,7),-4.48271 # DEPENDENCYPART_ARC
(18,8),-4.58702 # DEPENDENCYPART_ARC
(18,9),-5.40155 # DEPENDENCYPART_ARC
(18,10),-5.49734 # DEPENDENCYPART_ARC
(18,11),-3.17332 # DEPENDENCYPART_ARC
(18,12),-3.45395 # DEPENDENCYPART_ARC
(18,13),-2.54846 # DEPENDENCYPART_ARC
(18,14),-2.66012 # DEPENDENCYPART_ARC
(18,15),-2.54941 # DEPENDENCYPART_ARC
(18,16),-1.26202 # DEPENDENCYPART_ARC
(18,17),1.39091 # DEPENDENCYPART_ARC
(18,19),0.104426 # DEPENDENCYPART_ARC
(18,20),-0.0190138 # DEPENDENCYPART_ARC
(18,21),0.270035 # DEPENDENCYPART_ARC
(18,22),-1.36622 # DEPENDENCYPART_ARC
(18,23),-0.758827 # DEPENDENCYPART_ARC
(18,24),-0.473756 # DEPENDENCYPART_ARC
(19,1),-7.3234 # DEPENDENCYPART_ARC
(19,2),-7.67191 # DEPENDENCYPART_ARC
(19,3),-7.03028 # DEPENDENCYPART_ARC
(19,4),-3.41411 # DEPENDENCYPART_ARC
(19,5),-3.42977 # DEPENDENCYPART_ARC
(19,6),-5.13355 # DEPENDENCYPART_ARC
(19,7),-3.30855 # DEPENDENCYPART_ARC
(19,8),-4.19206 # DEPENDENCYPART_ARC
(19,9),-4.64607 # DEPENDENCYPART_ARC
(19,10),-4.29525 # DEPENDENCYPART_ARC
(19,11),-1.61721 # DEPENDENCYPART_ARC
(19,12),-2.49204 # DEPENDENCYPART_ARC
(19,13),-2.13492 # DEPENDENCYPART_ARC
(19,14),-1.74183 # DEPENDENCYPART_ARC
(19,15),-1.89684 # DEPENDENCYPART_ARC
(19,16),-0.783442 # DEPENDENCYPART_ARC
(19,17),2.43323 # DEPENDENCYPART_ARC
(19,18),2.16814 # DEPENDENCYPART_ARC
(19,20),0.802564 # DEPENDENCYPART_ARC
(19,21),0.568676 # DEPENDENCYPART_ARC
(19,22),-0.966464 # DEPENDENCYPART_ARC
(19,23),-0.0239147 # DEPENDENCYPART_ARC
(19,24),-0.314703 # DEPENDENCYPART_ARC
(20,1),-5.14561 # DEPENDENCYPART_ARC
(20,2),-5.01926 # DEPENDENCYPART_ARC
(20,3),-5.84839 # DEPENDENCYPART_ARC
(20,4),-2.21815 # DEPENDENCYPART_ARC
(20,5),-0.484752 # DEPENDENCYPART_ARC
(20,6),-3.66145 # DEPENDENCYPART_ARC
(20,7),0.119719 # DEPENDENCYPART_ARC
(20,8),-2.21332 # DEPENDENCYPART_ARC
(20,9),-2.66706 # DEPENDENCYPART_ARC
(20,10),-2.9913 # DEPENDENCYPART_ARC
(20,11),-0.904098 # DEPENDENCYPART_ARC
(20,12),0.46845 # DEPENDENCYPART_ARC
(20,13),0.564012 # DEPENDENCYPART_ARC
(20,14),0.884666 # DEPENDENCYPART_ARC
(20,15),0.376641 # DEPENDENCYPART_ARC
(20,16),1.3105 # DEPENDENCYPART_ARC
(20,17),4.66629 # DEPENDENCYPART_ARC
(20,18),4.61054 # DEPENDENCYPART_ARC
(20,19),4.55103 # DEPENDENCYPART_ARC
(20,21),3.35426 # DEPENDENCYPART_ARC
(20,22),0.756579 # DEPENDENCYPART_ARC
(20,23),0.719907 # DEPENDENCYPART_ARC
(20,24),0.742128 # DEPENDENCYPART_ARC
(21,1),-2.56103 # DEPENDENCYPART_ARC
(21,2),-2.5849 # DEPENDENCYPART_ARC
(21,3),-2.57327 # DEPENDENCYPART_ARC
(21,4),-2.55948 # DEPENDENCYPART_ARC
(21,5),-2.60876 # DEPENDENCYPART_ARC
(21,6),-2.32156 # DEPENDENCYPART_ARC
(21,7),-2.23333 # DEPENDENCYPART_ARC
(21,8),-1.75939 # DEPENDENCYPART_ARC
(21,9),-1.9139 # DEPENDENCYPART_ARC
(21,10),-1.94131 # DEPENDENCYPART_ARC
(21,11),-1.60953 # DEPENDENCYPART_ARC
(21,12),-1.70639 # DEPENDENCYPART_ARC
(21,13),-1.5703 # DEPENDENCYPART_ARC
(21,14),-1.35503 # DEPENDENCYPART_ARC
(21,15),-1.12727 # DEPENDENCYPART_ARC
(21,16),-1.00591 # DEPENDENCYPART_ARC
(21,17),-0.670309 # DEPENDENCYPART_ARC
(21,18),-0.168007 # DEPENDENCYPART_ARC
(21,19),-0.461445 # DEPENDENCYPART_ARC
(21,20),0.316469 # DEPENDENCYPART_ARC
(21,22),2.95523 # DEPENDENCYPART_ARC
(21,23),1.53972 # DEPENDENCYPART_ARC
(21,24),-0.461745 # DEPENDENCYPART_ARC
(22,1),-8.11025 # DEPENDENCYPART_ARC
(22,2),-8.02263 # DEPENDENCYPART_ARC
