# _root_ L' any_1998 , Manzanares va concedir més de 1.600 permisos , 600 dels quals van ser en el darrer trimestre .
#goldHeads=2,6,2,6,6,0,8,10,8,6,16,16,12,13,16,10,16,20,20,17,6,
#predictedHeads=2,6,2,6,6,0,8,10,8,6,6,16,12,13,16,6,16,20,20,17,6,
(12,21),0.94487 # DEPENDENCYPART_ARC
(13,1),-3.50899 # DEPENDENCYPART_ARC
(13,2),-2.96232 # DEPENDENCYPART_ARC
(13,3),-3.10851 # DEPENDENCYPART_ARC
(13,4),-3.59949 # DEPENDENCYPART_ARC
(13,5),-2.53329 # DEPENDENCYPART_ARC
(13,6),-2.55595 # DEPENDENCYPART_ARC
(13,7),-2.12495 # DEPENDENCYPART_ARC
(13,8),-1.73232 # DEPENDENCYPART_ARC
(13,9),-2.14327 # DEPENDENCYPART_ARC
(13,10),-2.77132 # DEPENDENCYPART_ARC
(13,11),-0.848561 # DEPENDENCYPART_ARC
(13,12),-0.852281 # DEPENDENCYPART_ARC
(13,14),4.69255 # DEPENDENCYPART_ARC
(13,15),2.59845 # DEPENDENCYPART_ARC
(13,16),0.864991 # DEPENDENCYPART_ARC
(13,17),-1.52769 # DEPENDENCYPART_ARC
(13,18),-3.66994 # DEPENDENCYPART_ARC
(13,19),-3.18859 # DEPENDENCYPART_ARC
(13,20),-1.72463 # DEPENDENCYPART_ARC
(13,21),-1.46501 # DEPENDENCYPART_ARC
(14,1),-1.7701 # DEPENDENCYPART_ARC
(14,6),-1.97896 # DEPENDENCYPART_ARC
(14,8),-0.117391 # DEPENDENCYPART_ARC
(14,10),-1.27888 # DEPENDENCYPART_ARC
(14,13),1.98347 # DEPENDENCYPART_ARC
(14,16),-0.831079 # DEPENDENCYPART_ARC
(14,17),-1.07932 # DEPENDENCYPART_ARC
(14,18),-3.11332 # DEPENDENCYPART_ARC
(14,20),-2.22464 # DEPENDENCYPART_ARC
(15,1),-5.89915 # DEPENDENCYPART_ARC
(15,2),-2.81757 # DEPENDENCYPART_ARC
(15,3),-4.0851 # DEPENDENCYPART_ARC
(15,4),-2.33252 # DEPENDENCYPART_ARC
(15,5),-0.817209 # DEPENDENCYPART_ARC
(15,6),-3.21941 # DEPENDENCYPART_ARC
(15,7),-3.6346 # DEPENDENCYPART_ARC
(15,8),-3.28175 # DEPENDENCYPART_ARC
(15,9),-2.74829 # DEPENDENCYPART_ARC
(15,10),-2.14779 # DEPENDENCYPART_ARC
(15,11),-1.14255 # DEPENDENCYPART_ARC
(15,12),-1.2875 # DEPENDENCYPART_ARC
(15,13),-1.58239 # DEPENDENCYPART_ARC
(15,14),-0.400743 # DEPENDENCYPART_ARC
(15,16),1.0231 # DEPENDENCYPART_ARC
(15,17),0.122605 # DEPENDENCYPART_ARC
(15,18),-5.34327 # DEPENDENCYPART_ARC
(15,20),-1.67182 # DEPENDENCYPART_ARC
(15,21),0.447379 # DEPENDENCYPART_ARC
(16,1),-1.64021 # DEPENDENCYPART_ARC
(16,2),-0.603338 # DEPENDENCYPART_ARC
(16,3),-1.53602 # DEPENDENCYPART_ARC
(16,4),1.08627 # DEPENDENCYPART_ARC
(16,5),1.86583 # DEPENDENCYPART_ARC
(16,6),-0.792897 # DEPENDENCYPART_ARC
(16,7),-1.59198 # DEPENDENCYPART_ARC
(16,8),-1.58216 # DEPENDENCYPART_ARC
(16,9),-0.430403 # DEPENDENCYPART_ARC
(16,10),0.554863 # DEPENDENCYPART_ARC
(16,11),0.882562 # DEPENDENCYPART_ARC
(16,12),1.01281 # DEPENDENCYPART_ARC
(16,13),0.683599 # DEPENDENCYPART_ARC
(16,14),1.50515 # DEPENDENCYPART_ARC
(16,15),5.85015 # DEPENDENCYPART_ARC
(16,17),3.30484 # DEPENDENCYPART_ARC
(16,18),-1.40831 # DEPENDENCYPART_ARC
(16,19),0.167565 # DEPENDENCYPART_ARC
(16,20),1.5302 # DEPENDENCYPART_ARC
(16,21),2.90366 # DEPENDENCYPART_ARC
(17,1),-2.94774 # DEPENDENCYPART_ARC
(17,2),-2.42904 # DEPENDENCYPART_ARC
(17,3),-2.70495 # DEPENDENCYPART_ARC
(17,4),-3.40367 # DEPENDENCYPART_ARC
(17,5),-2.28662 # DEPENDENCYPART_ARC
(17,6),-2.37183 # DEPENDENCYPART_ARC
(17,7),-2.17401 # DEPENDENCYPART_ARC
(17,8),-2.2304 # DEPENDENCYPART_ARC
(17,9),-2.08971 # DEPENDENCYPART_ARC
(17,10),-2.82702 # DEPENDENCYPART_ARC
(17,11),-1.48192 # DEPENDENCYPART_ARC
(17,12),-1.99624 # DEPENDENCYPART_ARC
(17,13),-1.268 # DEPENDENCYPART_ARC
(17,14),-1.80676 # DEPENDENCYPART_ARC
(17,15),-0.600352 # DEPENDENCYPART_ARC
(17,16),-0.112903 # DEPENDENCYPART_ARC
(17,18),-0.256038 # DEPENDENCYPART_ARC
(17,19),1.49625 # DEPENDENCYPART_ARC
(17,20),3.88333 # DEPENDENCYPART_ARC
(17,21),0.144379 # DEPENDENCYPART_ARC
(18,1),-6.14964 # DEPENDENCYPART_ARC
(18,2),-4.35903 # DEPENDENCYPART_ARC
(18,4),-4.47768 # DEPENDENCYPART_ARC
(18,7),-2.70701 # DEPENDENCYPART_ARC
(18,8),-3.61815 # DEPENDENCYPART_ARC
(18,9),-3.67149 # DEPENDENCYPART_ARC
(18,10),-4.69732 # DEPENDENCYPART_ARC
(18,12),-3.43354 # DEPENDENCYPART_ARC
(18,13),-3.41987 # DEPENDENCYPART_ARC
(18,14),-4.48992 # DEPENDENCYPART_ARC
(18,17),-1.46636 # DEPENDENCYPART_ARC
(18,19),0.445166 # DEPENDENCYPART_ARC
(18,20),-0.550636 # DEPENDENCYPART_ARC
(19,1),-3.13784 # DEPENDENCYPART_ARC
(19,2),-2.67937 # DEPENDENCYPART_ARC
(19,3),-3.22763 # DEPENDENCYPART_ARC
(19,4),-3.34094 # DEPENDENCYPART_ARC
(19,6),-3.35964 # DEPENDENCYPART_ARC
(19,7),-2.52099 # DEPENDENCYPART_ARC
(19,8),-2.46381 # DEPENDENCYPART_ARC
(19,9),-1.97663 # DEPENDENCYPART_ARC
(19,10),-3.70055 # DEPENDENCYPART_ARC
(19,11),-1.76264 # DEPENDENCYPART_ARC
(19,12),-1.85488 # DEPENDENCYPART_ARC
(19,13),-1.83966 # DEPENDENCYPART_ARC
(19,16),-1.76803 # DEPENDENCYPART_ARC
(19,17),0.484853 # DEPENDENCYPART_ARC
(19,18),1.61949 # DEPENDENCYPART_ARC
(19,20),1.60408 # DEPENDENCYPART_ARC
(19,21),-1.01413 # DEPENDENCYPART_ARC
(20,1),-4.61952 # DEPENDENCYPART_ARC
(20,2),-1.91743 # DEPENDENCYPART_ARC
(20,3),-0.643963 # DEPENDENCYPART_ARC
(20,4),-1.97622 # DEPENDENCYPART_ARC
(20,5),-2.53049 # DEPENDENCYPART_ARC
(20,6),-2.66912 # DEPENDENCYPART_ARC
(20,7),-1.00366 # DEPENDENCYPART_ARC
(20,8),-0.233197 # DEPENDENCYPART_ARC
(20,9),-0.68302 # DEPENDENCYPART_ARC
(20,10),-1.84935 # DEPENDENCYPART_ARC
(20,11),-0.235113 # DEPENDENCYPART_ARC
(20,12),-0.747932 # DEPENDENCYPART_ARC
(20,13),0.418127 # DEPENDENCYPART_ARC
(20,14),-1.58448 # DEPENDENCYPART_ARC
(20,15),-2.17582 # DEPENDENCYPART_ARC
(20,16),-0.848658 # DEPENDENCYPART_ARC
(20,17),1.03817 # DEPENDENCYPART_ARC
(20,18),3.99883 # DEPENDENCYPART_ARC
(20,19),5.16797 # DEPENDENCYPART_ARC
(20,21),-0.021046 # DEPENDENCYPART_ARC
(21,2),-3.48409 # DEPENDENCYPART_ARC
