# _root_ Una altra de les novetats d' aquest any ha estat l' excés d' oferta per a Roma , Londres i París , destins per als quals ha estat possible trobar bitllet fins a última hora .
#goldHeads=3,1,10,5,3,3,8,6,10,0,12,10,12,13,12,15,16,17,17,17,17,23,17,28,24,25,28,23,28,28,30,30,32,35,33,10,
#predictedHeads=2,10,2,5,3,5,8,6,10,0,12,10,12,13,10,15,16,17,17,17,17,23,17,23,24,25,28,23,28,28,30,30,32,35,33,10,
(2,21),-0.0982981 # DEPENDENCYPART_ARC
(2,22),0.352933 # DEPENDENCYPART_ARC
(2,23),-0.21256 # DEPENDENCYPART_ARC
(2,24),-2.35076 # DEPENDENCYPART_ARC
(2,25),-1.82142 # DEPENDENCYPART_ARC
(2,26),-0.826107 # DEPENDENCYPART_ARC
(2,27),-1.66957 # DEPENDENCYPART_ARC
(2,28),-2.639 # DEPENDENCYPART_ARC
(2,29),-1.30867 # DEPENDENCYPART_ARC
(2,30),-3.04441 # DEPENDENCYPART_ARC
(2,31),-1.08647 # DEPENDENCYPART_ARC
(2,32),-3.14441 # DEPENDENCYPART_ARC
(2,33),-2.81052 # DEPENDENCYPART_ARC
(2,34),-1.77796 # DEPENDENCYPART_ARC
(2,35),-0.87095 # DEPENDENCYPART_ARC
(2,36),2.57495 # DEPENDENCYPART_ARC
(3,1),1.10388 # DEPENDENCYPART_ARC
(3,2),0.310406 # DEPENDENCYPART_ARC
(3,4),0.957491 # DEPENDENCYPART_ARC
(3,5),5.14346 # DEPENDENCYPART_ARC
(3,6),0.589671 # DEPENDENCYPART_ARC
(3,7),-1.19429 # DEPENDENCYPART_ARC
(3,8),1.72801 # DEPENDENCYPART_ARC
(3,9),-0.959227 # DEPENDENCYPART_ARC
(3,10),-0.449058 # DEPENDENCYPART_ARC
(3,11),-1.18629 # DEPENDENCYPART_ARC
(3,12),-2.93016 # DEPENDENCYPART_ARC
(3,13),-0.720534 # DEPENDENCYPART_ARC
(3,14),-4.03987 # DEPENDENCYPART_ARC
(3,15),-2.35671 # DEPENDENCYPART_ARC
(3,16),-1.32474 # DEPENDENCYPART_ARC
(3,17),-4.75339 # DEPENDENCYPART_ARC
(3,18),-0.937179 # DEPENDENCYPART_ARC
(3,19),-6.96364 # DEPENDENCYPART_ARC
(3,20),-0.371113 # DEPENDENCYPART_ARC
(3,21),-8.94588 # DEPENDENCYPART_ARC
(3,22),-1.32463 # DEPENDENCYPART_ARC
(3,23),-10.3153 # DEPENDENCYPART_ARC
(3,24),-3.88351 # DEPENDENCYPART_ARC
(3,25),-2.91808 # DEPENDENCYPART_ARC
(3,26),-4.11153 # DEPENDENCYPART_ARC
(3,27),-3.33866 # DEPENDENCYPART_ARC
(3,28),-3.01635 # DEPENDENCYPART_ARC
(3,29),-4.22026 # DEPENDENCYPART_ARC
(3,30),-3.74111 # DEPENDENCYPART_ARC
(3,31),-13.6271 # DEPENDENCYPART_ARC
(3,32),-2.70184 # DEPENDENCYPART_ARC
(3,33),-3.69844 # DEPENDENCYPART_ARC
(3,34),-5.22997 # DEPENDENCYPART_ARC
(3,35),-12.5712 # DEPENDENCYPART_ARC
(3,36),0.322193 # DEPENDENCYPART_ARC
(4,1),0.639687 # DEPENDENCYPART_ARC
(4,2),-0.276815 # DEPENDENCYPART_ARC
(4,3),0.574052 # DEPENDENCYPART_ARC
(4,5),3.10864 # DEPENDENCYPART_ARC
(4,6),0.083355 # DEPENDENCYPART_ARC
(4,7),-0.255768 # DEPENDENCYPART_ARC
(4,8),-1.62141 # DEPENDENCYPART_ARC
(4,9),-1.56226 # DEPENDENCYPART_ARC
(4,10),-2.25452 # DEPENDENCYPART_ARC
(4,11),-1.91504 # DEPENDENCYPART_ARC
(4,12),-2.49878 # DEPENDENCYPART_ARC
(4,13),-2.46388 # DEPENDENCYPART_ARC
(4,14),-2.62838 # DEPENDENCYPART_ARC
(4,15),-4.06716 # DEPENDENCYPART_ARC
(4,16),-4.05227 # DEPENDENCYPART_ARC
(4,17),-3.54285 # DEPENDENCYPART_ARC
(4,18),-2.94395 # DEPENDENCYPART_ARC
(4,19),-3.54587 # DEPENDENCYPART_ARC
(4,20),-2.61216 # DEPENDENCYPART_ARC
(4,21),-3.71417 # DEPENDENCYPART_ARC
(4,22),-3.25343 # DEPENDENCYPART_ARC
(4,23),-3.5699 # DEPENDENCYPART_ARC
(4,24),-5.95692 # DEPENDENCYPART_ARC
(4,25),-5.95841 # DEPENDENCYPART_ARC
(4,26),-2.63859 # DEPENDENCYPART_ARC
(4,27),-3.6984 # DEPENDENCYPART_ARC
(4,28),-3.58242 # DEPENDENCYPART_ARC
(4,29),-4.08217 # DEPENDENCYPART_ARC
(4,30),-3.03923 # DEPENDENCYPART_ARC
(4,31),-4.48298 # DEPENDENCYPART_ARC
(4,32),-6.51947 # DEPENDENCYPART_ARC
(4,33),-7.78264 # DEPENDENCYPART_ARC
(4,34),-4.00644 # DEPENDENCYPART_ARC
(4,35),-5.24149 # DEPENDENCYPART_ARC
(4,36),-4.34497 # DEPENDENCYPART_ARC
(5,1),0.705096 # DEPENDENCYPART_ARC
(5,2),-1.68441 # DEPENDENCYPART_ARC
(5,3),0.320952 # DEPENDENCYPART_ARC
(5,4),5.06603 # DEPENDENCYPART_ARC
(5,6),2.26349 # DEPENDENCYPART_ARC
(5,7),-1.61993 # DEPENDENCYPART_ARC
(5,8),0.497927 # DEPENDENCYPART_ARC
(5,9),-0.0625851 # DEPENDENCYPART_ARC
(5,10),0.205369 # DEPENDENCYPART_ARC
(5,11),-2.32499 # DEPENDENCYPART_ARC
(5,12),-0.655317 # DEPENDENCYPART_ARC
(5,13),-0.51824 # DEPENDENCYPART_ARC
(5,14),-1.34083 # DEPENDENCYPART_ARC
(5,15),-0.205164 # DEPENDENCYPART_ARC
(5,16),-1.09015 # DEPENDENCYPART_ARC
(5,17),-1.38386 # DEPENDENCYPART_ARC
(5,18),-0.871689 # DEPENDENCYPART_ARC
(5,19),-0.902652 # DEPENDENCYPART_ARC
(5,20),-0.0618552 # DEPENDENCYPART_ARC
(5,21),-0.570117 # DEPENDENCYPART_ARC
(5,22),-0.923856 # DEPENDENCYPART_ARC
(5,23),0.364705 # DEPENDENCYPART_ARC
(5,24),-1.71591 # DEPENDENCYPART_ARC
(5,25),-3.1651 # DEPENDENCYPART_ARC
(5,26),-1.58489 # DEPENDENCYPART_ARC
(5,27),-3.84368 # DEPENDENCYPART_ARC
(5,28),-3.59184 # DEPENDENCYPART_ARC
(5,29),-2.74942 # DEPENDENCYPART_ARC
(5,30),-4.03284 # DEPENDENCYPART_ARC
(5,31),-2.21619 # DEPENDENCYPART_ARC
(5,32),-3.17962 # DEPENDENCYPART_ARC
(5,33),-4.25565 # DEPENDENCYPART_ARC
(5,34),-4.03675 # DEPENDENCYPART_ARC
(5,35),-2.92984 # DEPENDENCYPART_ARC
(5,36),-0.134545 # DEPENDENCYPART_ARC
(6,1),-0.230243 # DEPENDENCYPART_ARC
(6,2),-1.22079 # DEPENDENCYPART_ARC
(6,3),-0.690065 # DEPENDENCYPART_ARC
(6,4),1.16563 # DEPENDENCYPART_ARC
(6,5),-0.0882125 # DEPENDENCYPART_ARC
(6,7),0.17496 # DEPENDENCYPART_ARC
(6,8),5.12951 # DEPENDENCYPART_ARC
(6,9),-0.709102 # DEPENDENCYPART_ARC
(6,10),0.0233314 # DEPENDENCYPART_ARC
(6,11),-1.2342 # DEPENDENCYPART_ARC
(6,12),-0.948213 # DEPENDENCYPART_ARC
(6,13),-1.0715 # DEPENDENCYPART_ARC
(6,14),-2.11676 # DEPENDENCYPART_ARC
(6,15),-2.04728 # DEPENDENCYPART_ARC
(6,16),-0.687779 # DEPENDENCYPART_ARC
(6,17),-2.20829 # DEPENDENCYPART_ARC
(6,18),-1.35424 # DEPENDENCYPART_ARC
(6,19),-4.55743 # DEPENDENCYPART_ARC
(6,20),-0.568903 # DEPENDENCYPART_ARC
(6,21),-6.38634 # DEPENDENCYPART_ARC
(6,22),-2.13031 # DEPENDENCYPART_ARC
(6,23),-7.64617 # DEPENDENCYPART_ARC
(6,24),-2.63491 # DEPENDENCYPART_ARC
(6,25),-2.1907 # DEPENDENCYPART_ARC
(6,26),-3.08012 # DEPENDENCYPART_ARC
(6,27),-4.38731 # DEPENDENCYPART_ARC
(6,28),-3.57916 # DEPENDENCYPART_ARC
(6,29),-4.01177 # DEPENDENCYPART_ARC
(6,30),-4.22914 # DEPENDENCYPART_ARC
(6,31),-10.4173 # DEPENDENCYPART_ARC
(6,32),-2.36089 # DEPENDENCYPART_ARC
(6,33),-2.33265 # DEPENDENCYPART_ARC
(6,34),-5.01993 # DEPENDENCYPART_ARC
(6,35),-9.11009 # DEPENDENCYPART_ARC
(6,36),-0.716034 # DEPENDENCYPART_ARC
(7,1),-1.39105 # DEPENDENCYPART_ARC
(7,2),-1.46728 # DEPENDENCYPART_ARC
(7,3),-0.580034 # DEPENDENCYPART_ARC
(7,4),-0.750086 # DEPENDENCYPART_ARC
(7,5),-1.10625 # DEPENDENCYPART_ARC
(7,6),0.873541 # DEPENDENCYPART_ARC
(7,8),1.09323 # DEPENDENCYPART_ARC
(7,9),-1.42205 # DEPENDENCYPART_ARC
(7,10),-2.28342 # DEPENDENCYPART_ARC
(7,11),-1.29017 # DEPENDENCYPART_ARC
(7,12),-1.3544 # DEPENDENCYPART_ARC
(7,13),-2.5532 # DEPENDENCYPART_ARC
(7,14),-2.64962 # DEPENDENCYPART_ARC
(7,15),-3.96242 # DEPENDENCYPART_ARC
(7,16),-3.93091 # DEPENDENCYPART_ARC
(7,17),-4.04804 # DEPENDENCYPART_ARC
(7,18),-3.76475 # DEPENDENCYPART_ARC
(7,19),-4.12386 # DEPENDENCYPART_ARC
(7,20),-3.40435 # DEPENDENCYPART_ARC
(7,21),-4.30205 # DEPENDENCYPART_ARC
(7,22),-4.1281 # DEPENDENCYPART_ARC
(7,23),-3.92736 # DEPENDENCYPART_ARC
(7,24),-5.71543 # DEPENDENCYPART_ARC
(7,25),-5.87884 # DEPENDENCYPART_ARC
(7,26),-3.77768 # DEPENDENCYPART_ARC
(7,27),-4.42269 # DEPENDENCYPART_ARC
(7,28),-4.21653 # DEPENDENCYPART_ARC
(7,29),-3.81639 # DEPENDENCYPART_ARC
(7,30),-3.83689 # DEPENDENCYPART_ARC
(7,31),-3.97425 # DEPENDENCYPART_ARC
(7,32),-6.42971 # DEPENDENCYPART_ARC
(7,33),-7.46472 # DEPENDENCYPART_ARC
(7,34),-4.78285 # DEPENDENCYPART_ARC
(7,35),-5.20989 # DEPENDENCYPART_ARC
(7,36),-5.65797 # DEPENDENCYPART_ARC
(8,1),-1.3404 # DEPENDENCYPART_ARC
(8,2),-2.24971 # DEPENDENCYPART_ARC
(8,3),-0.535968 # DEPENDENCYPART_ARC
(8,4),0.417654 # DEPENDENCYPART_ARC
(8,5),-1.19531 # DEPENDENCYPART_ARC
(8,6),0.961244 # DEPENDENCYPART_ARC
(8,7),4.44563 # DEPENDENCYPART_ARC
(8,9),-1.0446 # DEPENDENCYPART_ARC
(8,10),-1.56277 # DEPENDENCYPART_ARC
(8,11),-3.21005 # DEPENDENCYPART_ARC
(8,12),-2.98345 # DEPENDENCYPART_ARC
(8,13),-1.89149 # DEPENDENCYPART_ARC
(8,14),-3.53545 # DEPENDENCYPART_ARC
(8,15),-2.21929 # DEPENDENCYPART_ARC
(8,16),-2.93944 # DEPENDENCYPART_ARC
(8,17),-3.34349 # DEPENDENCYPART_ARC
(8,18),-3.09723 # DEPENDENCYPART_ARC
(8,19),-3.33492 # DEPENDENCYPART_ARC
(8,20),-1.8244 # DEPENDENCYPART_ARC
(8,21),-2.68321 # DEPENDENCYPART_ARC
(8,22),-3.57261 # DEPENDENCYPART_ARC
(8,23),-2.9685 # DEPENDENCYPART_ARC
(8,24),-3.24331 # DEPENDENCYPART_ARC
(8,25),-4.18596 # DEPENDENCYPART_ARC
(8,26),-3.42275 # DEPENDENCYPART_ARC
(8,27),-6.1733 # DEPENDENCYPART_ARC
(8,28),-6.53795 # DEPENDENCYPART_ARC
(8,29),-3.31738 # DEPENDENCYPART_ARC
(8,30),-6.9315 # DEPENDENCYPART_ARC
(8,31),-4.54927 # DEPENDENCYPART_ARC
(8,32),-4.60598 # DEPENDENCYPART_ARC
(8,33),-5.38189 # DEPENDENCYPART_ARC
(8,34),-5.70693 # DEPENDENCYPART_ARC
(8,35),-5.35528 # DEPENDENCYPART_ARC
(8,36),-0.764786 # DEPENDENCYPART_ARC
(9,1),-1.65718 # DEPENDENCYPART_ARC
(9,2),-0.94135 # DEPENDENCYPART_ARC
(9,3),-0.444877 # DEPENDENCYPART_ARC
(9,4),-2.0669 # DEPENDENCYPART_ARC
(9,5),-0.976754 # DEPENDENCYPART_ARC
(9,6),-0.807982 # DEPENDENCYPART_ARC
(9,7),-1.29883 # DEPENDENCYPART_ARC
(9,8),0.302425 # DEPENDENCYPART_ARC
(9,10),-0.174278 # DEPENDENCYPART_ARC
(9,11),-3.18286 # DEPENDENCYPART_ARC
(9,12),-0.754669 # DEPENDENCYPART_ARC
(9,13),-2.45129 # DEPENDENCYPART_ARC
(9,14),-1.73511 # DEPENDENCYPART_ARC
(9,15),-1.73426 # DEPENDENCYPART_ARC
(9,16),-1.85848 # DEPENDENCYPART_ARC
(9,17),-2.65727 # DEPENDENCYPART_ARC
(9,18),-1.78663 # DEPENDENCYPART_ARC
(9,19),-2.95227 # DEPENDENCYPART_ARC
(9,20),-1.28169 # DEPENDENCYPART_ARC
(9,21),-3.8257 # DEPENDENCYPART_ARC
(9,22),-1.95023 # DEPENDENCYPART_ARC
(9,23),-4.16924 # DEPENDENCYPART_ARC
(9,24),-3.61886 # DEPENDENCYPART_ARC
(9,25),-4.29493 # DEPENDENCYPART_ARC
(9,26),-3.22541 # DEPENDENCYPART_ARC
(9,27),-0.875711 # DEPENDENCYPART_ARC
(9,28),-2.00718 # DEPENDENCYPART_ARC
(9,29),-3.12017 # DEPENDENCYPART_ARC
(9,30),-2.15994 # DEPENDENCYPART_ARC
(9,31),-4.79365 # DEPENDENCYPART_ARC
(9,32),-2.70384 # DEPENDENCYPART_ARC
(9,33),-4.69251 # DEPENDENCYPART_ARC
(9,34),-4.95618 # DEPENDENCYPART_ARC
(9,35),-4.74257 # DEPENDENCYPART_ARC
(9,36),1.56957 # DEPENDENCYPART_ARC
(10,1),1.31456 # DEPENDENCYPART_ARC
(10,2),1.65169 # DEPENDENCYPART_ARC
(10,3),1.32478 # DEPENDENCYPART_ARC
(10,4),-0.0633624 # DEPENDENCYPART_ARC
(10,5),1.93706 # DEPENDENCYPART_ARC
(10,6),0.769188 # DEPENDENCYPART_ARC
(10,7),0.751381 # DEPENDENCYPART_ARC
(10,8),2.57281 # DEPENDENCYPART_ARC
(10,9),6.06023 # DEPENDENCYPART_ARC
(10,11),-0.487966 # DEPENDENCYPART_ARC
(10,12),3.35711 # DEPENDENCYPART_ARC
(10,13),1.177 # DEPENDENCYPART_ARC
(10,14),1.43805 # DEPENDENCYPART_ARC
(10,15),1.89762 # DEPENDENCYPART_ARC
(10,16),0.646616 # DEPENDENCYPART_ARC
(10,17),0.639143 # DEPENDENCYPART_ARC
(10,18),0.433364 # DEPENDENCYPART_ARC
(10,19),-0.0826788 # DEPENDENCYPART_ARC
(10,20),0.623496 # DEPENDENCYPART_ARC
(10,21),-0.261943 # DEPENDENCYPART_ARC
(10,22),-0.222828 # DEPENDENCYPART_ARC
(10,23),-0.474845 # DEPENDENCYPART_ARC
(10,24),0.983383 # DEPENDENCYPART_ARC
(10,25),-1.19495 # DEPENDENCYPART_ARC
(10,26),-0.57188 # DEPENDENCYPART_ARC
(10,27),0.147099 # DEPENDENCYPART_ARC
(10,28),0.355743 # DEPENDENCYPART_ARC
(10,29),-1.57032 # DEPENDENCYPART_ARC
(10,30),-0.365792 # DEPENDENCYPART_ARC
(10,31),-1.17108 # DEPENDENCYPART_ARC
(10,32),-0.140237 # DEPENDENCYPART_ARC
(10,33),-3.21275 # DEPENDENCYPART_ARC
(10,34),-3.10559 # DEPENDENCYPART_ARC
(10,35),-0.823624 # DEPENDENCYPART_ARC
(10,36),3.89091 # DEPENDENCYPART_ARC
(11,1),-1.74543 # DEPENDENCYPART_ARC
(11,2),-2.31288 # DEPENDENCYPART_ARC
(11,3),-2.26119 # DEPENDENCYPART_ARC
(11,4),-2.62553 # DEPENDENCYPART_ARC
(11,5),-3.05543 # DEPENDENCYPART_ARC
(11,6),-1.37381 # DEPENDENCYPART_ARC
(11,7),-0.171032 # DEPENDENCYPART_ARC
(11,8),-1.77876 # DEPENDENCYPART_ARC
(11,9),-0.403346 # DEPENDENCYPART_ARC
(11,10),-0.630299 # DEPENDENCYPART_ARC
(11,12),2.07143 # DEPENDENCYPART_ARC
(11,13),0.471269 # DEPENDENCYPART_ARC
(11,14),-0.237847 # DEPENDENCYPART_ARC
(11,15),-1.80846 # DEPENDENCYPART_ARC
(11,16),-1.77101 # DEPENDENCYPART_ARC
(11,17),-2.654 # DEPENDENCYPART_ARC
(11,18),-2.13085 # DEPENDENCYPART_ARC
(11,19),-2.76275 # DEPENDENCYPART_ARC
(11,20),-1.889 # DEPENDENCYPART_ARC
(11,21),-2.93902 # DEPENDENCYPART_ARC
(11,22),-2.51226 # DEPENDENCYPART_ARC
(11,23),-2.91077 # DEPENDENCYPART_ARC
(11,24),-4.3244 # DEPENDENCYPART_ARC
(11,25),-4.5588 # DEPENDENCYPART_ARC
(11,26),-1.8743 # DEPENDENCYPART_ARC
(11,27),-2.82704 # DEPENDENCYPART_ARC
(11,28),-2.91225 # DEPENDENCYPART_ARC
(11,29),-2.82552 # DEPENDENCYPART_ARC
(11,30),-2.9076 # DEPENDENCYPART_ARC
(11,31),-3.37855 # DEPENDENCYPART_ARC
(11,32),-5.49113 # DEPENDENCYPART_ARC
(11,33),-6.43143 # DEPENDENCYPART_ARC
(11,34),-3.16921 # DEPENDENCYPART_ARC
(11,35),-4.06027 # DEPENDENCYPART_ARC
(11,36),-4.09011 # DEPENDENCYPART_ARC
(12,1),-3.26338 # DEPENDENCYPART_ARC
(12,2),-2.40994 # DEPENDENCYPART_ARC
(12,3),-0.768652 # DEPENDENCYPART_ARC
(12,4),-2.55145 # DEPENDENCYPART_ARC
(12,5),-2.30604 # DEPENDENCYPART_ARC
(12,6),-0.23536 # DEPENDENCYPART_ARC
(12,7),0.226287 # DEPENDENCYPART_ARC
(12,8),-1.38988 # DEPENDENCYPART_ARC
(12,9),-1.07404 # DEPENDENCYPART_ARC
(12,10),-0.54317 # DEPENDENCYPART_ARC
(12,11),4.49734 # DEPENDENCYPART_ARC
(12,13),3.47271 # DEPENDENCYPART_ARC
(12,14),1.03859 # DEPENDENCYPART_ARC
(12,15),1.7155 # DEPENDENCYPART_ARC
(12,16),1.11335 # DEPENDENCYPART_ARC
(12,17),0.418626 # DEPENDENCYPART_ARC
(12,18),0.637419 # DEPENDENCYPART_ARC
(12,19),0.800757 # DEPENDENCYPART_ARC
(12,20),1.37423 # DEPENDENCYPART_ARC
(12,21),1.12203 # DEPENDENCYPART_ARC
(12,22),0.469529 # DEPENDENCYPART_ARC
(12,23),1.28567 # DEPENDENCYPART_ARC
(12,24),0.246037 # DEPENDENCYPART_ARC
(12,25),-1.10199 # DEPENDENCYPART_ARC
(12,26),-0.0758811 # DEPENDENCYPART_ARC
(12,27),0.133029 # DEPENDENCYPART_ARC
(12,28),0.228785 # DEPENDENCYPART_ARC
(12,29),-0.286529 # DEPENDENCYPART_ARC
(12,30),-1.18515 # DEPENDENCYPART_ARC
(12,31),-1.06038 # DEPENDENCYPART_ARC
(12,32),-1.03477 # DEPENDENCYPART_ARC
(12,33),-2.16288 # DEPENDENCYPART_ARC
(12,34),-2.99655 # DEPENDENCYPART_ARC
(12,35),-2.13035 # DEPENDENCYPART_ARC
(12,36),0.731138 # DEPENDENCYPART_ARC
(13,1),-1.65865 # DEPENDENCYPART_ARC
(13,2),-2.20354 # DEPENDENCYPART_ARC
(13,3),-2.85577 # DEPENDENCYPART_ARC
(13,4),-1.11411 # DEPENDENCYPART_ARC
(13,5),-2.02031 # DEPENDENCYPART_ARC
(13,6),-2.02018 # DEPENDENCYPART_ARC
(13,7),-1.36871 # DEPENDENCYPART_ARC
(13,8),-1.84382 # DEPENDENCYPART_ARC
(13,9),-0.541466 # DEPENDENCYPART_ARC
(13,10),-1.02094 # DEPENDENCYPART_ARC
(13,11),0.49183 # DEPENDENCYPART_ARC
(13,12),0.424046 # DEPENDENCYPART_ARC
(13,14),4.24937 # DEPENDENCYPART_ARC
(13,15),-0.617903 # DEPENDENCYPART_ARC
(13,16),0.803287 # DEPENDENCYPART_ARC
(13,17),1.97643 # DEPENDENCYPART_ARC
(13,18),0.239645 # DEPENDENCYPART_ARC
(13,19),-0.848916 # DEPENDENCYPART_ARC
(13,20),0.184249 # DEPENDENCYPART_ARC
(13,21),-2.82553 # DEPENDENCYPART_ARC
(13,22),-0.63421 # DEPENDENCYPART_ARC
(13,23),-4.24515 # DEPENDENCYPART_ARC
(13,24),-2.02329 # DEPENDENCYPART_ARC
(13,25),-1.00599 # DEPENDENCYPART_ARC
(13,26),-2.37387 # DEPENDENCYPART_ARC
(13,27),-2.81449 # DEPENDENCYPART_ARC
(13,28),-2.09124 # DEPENDENCYPART_ARC
(13,29),-3.72221 # DEPENDENCYPART_ARC
(13,30),-3.35263 # DEPENDENCYPART_ARC
(13,31),-7.9852 # DEPENDENCYPART_ARC
(13,32),-2.13042 # DEPENDENCYPART_ARC
(13,33),-1.55076 # DEPENDENCYPART_ARC
(13,34),-4.70656 # DEPENDENCYPART_ARC
(13,35),-6.73769 # DEPENDENCYPART_ARC
(13,36),-0.627834 # DEPENDENCYPART_ARC
(14,1),-2.48499 # DEPENDENCYPART_ARC
(14,2),-1.99292 # DEPENDENCYPART_ARC
(14,3),-0.86155 # DEPENDENCYPART_ARC
(14,4),-2.22584 # DEPENDENCYPART_ARC
(14,5),-0.993201 # DEPENDENCYPART_ARC
(14,6),-0.149958 # DEPENDENCYPART_ARC
(14,7),-1.1901 # DEPENDENCYPART_ARC
(14,8),-1.11828 # DEPENDENCYPART_ARC
(14,9),-1.20482 # DEPENDENCYPART_ARC
(14,10),-0.793881 # DEPENDENCYPART_ARC
(14,11),2.57641 # DEPENDENCYPART_ARC
(14,12),0.614779 # DEPENDENCYPART_ARC
(14,13),1.9319 # DEPENDENCYPART_ARC
