# _root_ Una altra de les marques de tabac negre , Gitanes , fixarà el_seu preu en 310 pessetes tant en la varietat amb filtre com sense filtre .
#goldHeads=2,12,2,5,3,5,6,7,10,2,10,0,14,12,12,17,15,19,12,21,19,21,22,19,19,25,12,
#predictedHeads=2,12,2,5,3,5,6,7,10,5,10,0,14,12,12,17,15,19,12,21,19,21,22,19,19,25,12,
(3,15),-2.85138 # DEPENDENCYPART_ARC
(3,16),-2.7388 # DEPENDENCYPART_ARC
(3,17),-2.3609 # DEPENDENCYPART_ARC
(3,18),-1.26805 # DEPENDENCYPART_ARC
(3,19),-2.31037 # DEPENDENCYPART_ARC
(3,20),-2.18685 # DEPENDENCYPART_ARC
(3,21),-6.13585 # DEPENDENCYPART_ARC
(3,22),-2.75766 # DEPENDENCYPART_ARC
(3,23),-7.77579 # DEPENDENCYPART_ARC
(3,24),0.478957 # DEPENDENCYPART_ARC
(3,25),-1.86562 # DEPENDENCYPART_ARC
(3,26),-8.93944 # DEPENDENCYPART_ARC
(3,27),-0.856231 # DEPENDENCYPART_ARC
(4,1),0.586147 # DEPENDENCYPART_ARC
(4,2),-0.330355 # DEPENDENCYPART_ARC
(4,3),0.520512 # DEPENDENCYPART_ARC
(4,5),3.01976 # DEPENDENCYPART_ARC
(4,6),0.667859 # DEPENDENCYPART_ARC
(4,7),-1.77721 # DEPENDENCYPART_ARC
(4,8),-3.14128 # DEPENDENCYPART_ARC
(4,9),-1.16481 # DEPENDENCYPART_ARC
(4,10),-2.32463 # DEPENDENCYPART_ARC
(4,11),-1.8834 # DEPENDENCYPART_ARC
(4,12),-2.49412 # DEPENDENCYPART_ARC
(4,13),-3.72776 # DEPENDENCYPART_ARC
(4,14),-2.65705 # DEPENDENCYPART_ARC
(4,15),-3.69529 # DEPENDENCYPART_ARC
(4,16),-1.49755 # DEPENDENCYPART_ARC
(4,17),-2.87065 # DEPENDENCYPART_ARC
(4,18),-2.06947 # DEPENDENCYPART_ARC
(4,19),-4.39007 # DEPENDENCYPART_ARC
(4,20),-4.12063 # DEPENDENCYPART_ARC
(4,21),-2.8132 # DEPENDENCYPART_ARC
(4,22),-4.38394 # DEPENDENCYPART_ARC
(4,23),-4.6312 # DEPENDENCYPART_ARC
(4,24),-2.82993 # DEPENDENCYPART_ARC
(4,25),-5.07212 # DEPENDENCYPART_ARC
(4,26),-5.029 # DEPENDENCYPART_ARC
(4,27),-3.45761 # DEPENDENCYPART_ARC
(5,1),0.679456 # DEPENDENCYPART_ARC
(5,2),-1.69965 # DEPENDENCYPART_ARC
(5,3),0.307544 # DEPENDENCYPART_ARC
(5,4),5.04094 # DEPENDENCYPART_ARC
(5,6),4.02785 # DEPENDENCYPART_ARC
(5,7),0.917894 # DEPENDENCYPART_ARC
(5,8),-0.718148 # DEPENDENCYPART_ARC
(5,9),0.909339 # DEPENDENCYPART_ARC
(5,10),1.69952 # DEPENDENCYPART_ARC
(5,11),0.935936 # DEPENDENCYPART_ARC
(5,12),0.542582 # DEPENDENCYPART_ARC
(5,13),-0.788775 # DEPENDENCYPART_ARC
(5,14),-0.232893 # DEPENDENCYPART_ARC
(5,15),0.0679006 # DEPENDENCYPART_ARC
(5,16),-0.833105 # DEPENDENCYPART_ARC
(5,17),0.0897782 # DEPENDENCYPART_ARC
(5,18),-0.976487 # DEPENDENCYPART_ARC
(5,19),-1.10812 # DEPENDENCYPART_ARC
(5,20),-2.78588 # DEPENDENCYPART_ARC
(5,21),-0.463026 # DEPENDENCYPART_ARC
(5,22),0.646076 # DEPENDENCYPART_ARC
(5,23),-1.31451 # DEPENDENCYPART_ARC
(5,24),-1.88694 # DEPENDENCYPART_ARC
(5,25),-1.45709 # DEPENDENCYPART_ARC
(5,26),-2.34351 # DEPENDENCYPART_ARC
(5,27),0.634332 # DEPENDENCYPART_ARC
(6,1),-0.374034 # DEPENDENCYPART_ARC
(6,2),-1.15731 # DEPENDENCYPART_ARC
(6,3),-0.351231 # DEPENDENCYPART_ARC
(6,4),1.31923 # DEPENDENCYPART_ARC
(6,5),0.578842 # DEPENDENCYPART_ARC
(6,7),4.34165 # DEPENDENCYPART_ARC
(6,8),0.587412 # DEPENDENCYPART_ARC
(6,9),0.535098 # DEPENDENCYPART_ARC
(6,10),0.157846 # DEPENDENCYPART_ARC
(6,11),-0.293352 # DEPENDENCYPART_ARC
(6,12),-2.03761 # DEPENDENCYPART_ARC
(6,13),-2.74441 # DEPENDENCYPART_ARC
(6,14),-4.53712 # DEPENDENCYPART_ARC
(6,15),-3.36227 # DEPENDENCYPART_ARC
(6,16),-3.44936 # DEPENDENCYPART_ARC
(6,17),-2.69768 # DEPENDENCYPART_ARC
(6,18),-1.97878 # DEPENDENCYPART_ARC
(6,19),-2.55602 # DEPENDENCYPART_ARC
(6,20),-3.19012 # DEPENDENCYPART_ARC
(6,21),-6.05794 # DEPENDENCYPART_ARC
(6,22),-2.91231 # DEPENDENCYPART_ARC
(6,23),-7.2856 # DEPENDENCYPART_ARC
(6,24),0.405714 # DEPENDENCYPART_ARC
(6,25),-1.45183 # DEPENDENCYPART_ARC
(6,26),-8.67338 # DEPENDENCYPART_ARC
(6,27),-1.45205 # DEPENDENCYPART_ARC
(7,1),-0.51406 # DEPENDENCYPART_ARC
(7,2),-2.03373 # DEPENDENCYPART_ARC
(7,3),0.107976 # DEPENDENCYPART_ARC
(7,4),0.775342 # DEPENDENCYPART_ARC
(7,5),-0.580838 # DEPENDENCYPART_ARC
(7,6),1.76123 # DEPENDENCYPART_ARC
(7,8),3.4545 # DEPENDENCYPART_ARC
(7,9),1.07402 # DEPENDENCYPART_ARC
(7,10),0.962731 # DEPENDENCYPART_ARC
(7,11),-0.304786 # DEPENDENCYPART_ARC
(7,12),0.158938 # DEPENDENCYPART_ARC
(7,13),-0.160938 # DEPENDENCYPART_ARC
(7,14),-1.49999 # DEPENDENCYPART_ARC
(7,15),-2.10858 # DEPENDENCYPART_ARC
(7,16),-1.4551 # DEPENDENCYPART_ARC
(7,17),-0.985801 # DEPENDENCYPART_ARC
(7,18),-1.70403 # DEPENDENCYPART_ARC
(7,19),-2.73605 # DEPENDENCYPART_ARC
(7,20),-3.1401 # DEPENDENCYPART_ARC
(7,21),-2.19936 # DEPENDENCYPART_ARC
(7,22),-1.15336 # DEPENDENCYPART_ARC
(7,23),-1.35598 # DEPENDENCYPART_ARC
(7,24),-2.60063 # DEPENDENCYPART_ARC
(7,25),-3.6193 # DEPENDENCYPART_ARC
(7,26),-2.38628 # DEPENDENCYPART_ARC
(7,27),-0.437256 # DEPENDENCYPART_ARC
(8,1),-1.4669 # DEPENDENCYPART_ARC
(8,2),-1.90995 # DEPENDENCYPART_ARC
(8,3),-0.558634 # DEPENDENCYPART_ARC
(8,4),-1.20852 # DEPENDENCYPART_ARC
(8,5),-2.00797 # DEPENDENCYPART_ARC
(8,6),0.33727 # DEPENDENCYPART_ARC
(8,7),0.129235 # DEPENDENCYPART_ARC
(8,9),0.36932 # DEPENDENCYPART_ARC
(8,10),0.530138 # DEPENDENCYPART_ARC
(8,11),-0.519567 # DEPENDENCYPART_ARC
(8,12),-0.134981 # DEPENDENCYPART_ARC
(8,13),-1.85015 # DEPENDENCYPART_ARC
(8,14),-1.68611 # DEPENDENCYPART_ARC
(8,15),-2.02191 # DEPENDENCYPART_ARC
(8,16),-1.6273 # DEPENDENCYPART_ARC
(8,17),-1.5861 # DEPENDENCYPART_ARC
(8,18),-1.26804 # DEPENDENCYPART_ARC
(8,19),-2.95591 # DEPENDENCYPART_ARC
(8,20),-3.09096 # DEPENDENCYPART_ARC
(8,21),-2.12636 # DEPENDENCYPART_ARC
(8,22),-2.1145 # DEPENDENCYPART_ARC
(8,23),-2.00683 # DEPENDENCYPART_ARC
(8,24),-1.05356 # DEPENDENCYPART_ARC
(8,25),-2.51011 # DEPENDENCYPART_ARC
(8,26),-1.91128 # DEPENDENCYPART_ARC
(8,27),-2.40304 # DEPENDENCYPART_ARC
(9,1),-2.70193 # DEPENDENCYPART_ARC
(9,2),-2.31487 # DEPENDENCYPART_ARC
(9,3),-1.88488 # DEPENDENCYPART_ARC
(9,4),-2.03117 # DEPENDENCYPART_ARC
(9,5),-2.29383 # DEPENDENCYPART_ARC
(9,6),-1.23209 # DEPENDENCYPART_ARC
(9,7),-1.50826 # DEPENDENCYPART_ARC
(9,8),-0.178012 # DEPENDENCYPART_ARC
(9,10),-0.895397 # DEPENDENCYPART_ARC
(9,11),-1.69762 # DEPENDENCYPART_ARC
(9,12),-1.50514 # DEPENDENCYPART_ARC
(9,13),-2.8591 # DEPENDENCYPART_ARC
(9,14),-2.36626 # DEPENDENCYPART_ARC
(9,15),-2.35484 # DEPENDENCYPART_ARC
(9,16),-2.03873 # DEPENDENCYPART_ARC
(9,17),-2.08497 # DEPENDENCYPART_ARC
(9,18),-2.65772 # DEPENDENCYPART_ARC
(9,19),-2.43704 # DEPENDENCYPART_ARC
(9,20),-3.13559 # DEPENDENCYPART_ARC
(9,21),-2.5705 # DEPENDENCYPART_ARC
(9,22),-2.66019 # DEPENDENCYPART_ARC
(9,23),-2.74191 # DEPENDENCYPART_ARC
(9,24),-1.57888 # DEPENDENCYPART_ARC
(9,25),-2.6372 # DEPENDENCYPART_ARC
(9,26),-2.82652 # DEPENDENCYPART_ARC
(9,27),-2.12461 # DEPENDENCYPART_ARC
(10,1),-0.664049 # DEPENDENCYPART_ARC
(10,2),-0.942333 # DEPENDENCYPART_ARC
(10,3),0.0360968 # DEPENDENCYPART_ARC
(10,4),0.122886 # DEPENDENCYPART_ARC
(10,5),-0.497477 # DEPENDENCYPART_ARC
(10,6),0.398883 # DEPENDENCYPART_ARC
(10,7),1.20461 # DEPENDENCYPART_ARC
(10,8),1.11356 # DEPENDENCYPART_ARC
(10,9),3.596 # DEPENDENCYPART_ARC
(10,11),3.21707 # DEPENDENCYPART_ARC
(10,12),0.738986 # DEPENDENCYPART_ARC
(10,13),-1.17911 # DEPENDENCYPART_ARC
(10,14),-0.610075 # DEPENDENCYPART_ARC
(10,15),-1.46033 # DEPENDENCYPART_ARC
(10,16),-0.785316 # DEPENDENCYPART_ARC
(10,17),-0.340654 # DEPENDENCYPART_ARC
(10,18),-0.996574 # DEPENDENCYPART_ARC
(10,19),-2.17338 # DEPENDENCYPART_ARC
(10,20),-2.19922 # DEPENDENCYPART_ARC
(10,21),-1.35459 # DEPENDENCYPART_ARC
(10,22),-1.22436 # DEPENDENCYPART_ARC
(10,23),-1.4059 # DEPENDENCYPART_ARC
(10,24),-1.46248 # DEPENDENCYPART_ARC
(10,25),-2.8177 # DEPENDENCYPART_ARC
(10,26),-2.27448 # DEPENDENCYPART_ARC
(10,27),0.809515 # DEPENDENCYPART_ARC
(11,1),-3.42815 # DEPENDENCYPART_ARC
(11,2),-3.13394 # DEPENDENCYPART_ARC
(11,3),-2.73121 # DEPENDENCYPART_ARC
(11,4),-3.2762 # DEPENDENCYPART_ARC
(11,5),-3.34984 # DEPENDENCYPART_ARC
(11,6),-2.39233 # DEPENDENCYPART_ARC
(11,7),-2.92606 # DEPENDENCYPART_ARC
(11,8),-2.11824 # DEPENDENCYPART_ARC
(11,9),-1.39368 # DEPENDENCYPART_ARC
(11,10),-1.61295 # DEPENDENCYPART_ARC
(11,12),-0.883879 # DEPENDENCYPART_ARC
(11,13),-2.38251 # DEPENDENCYPART_ARC
(11,14),-2.14147 # DEPENDENCYPART_ARC
(11,15),-2.35675 # DEPENDENCYPART_ARC
(11,16),-1.99873 # DEPENDENCYPART_ARC
(11,17),-2.00537 # DEPENDENCYPART_ARC
(11,18),-2.60792 # DEPENDENCYPART_ARC
(11,19),-2.41399 # DEPENDENCYPART_ARC
(11,20),-3.15019 # DEPENDENCYPART_ARC
(11,21),-2.5974 # DEPENDENCYPART_ARC
(11,22),-2.54446 # DEPENDENCYPART_ARC
(11,23),-2.72332 # DEPENDENCYPART_ARC
(11,24),-1.52324 # DEPENDENCYPART_ARC
(11,25),-2.54948 # DEPENDENCYPART_ARC
(11,26),-2.86187 # DEPENDENCYPART_ARC
(11,27),-1.93358 # DEPENDENCYPART_ARC
(12,1),-0.385956 # DEPENDENCYPART_ARC
(12,2),0.377319 # DEPENDENCYPART_ARC
(12,3),-0.430836 # DEPENDENCYPART_ARC
(12,4),-1.24761 # DEPENDENCYPART_ARC
(12,5),0.671749 # DEPENDENCYPART_ARC
(12,6),-1.30266 # DEPENDENCYPART_ARC
(12,7),1.12638 # DEPENDENCYPART_ARC
(12,8),-0.148316 # DEPENDENCYPART_ARC
(12,9),0.565457 # DEPENDENCYPART_ARC
(12,10),1.41181 # DEPENDENCYPART_ARC
(12,11),1.50648 # DEPENDENCYPART_ARC
(12,13),-0.426166 # DEPENDENCYPART_ARC
(12,14),3.3782 # DEPENDENCYPART_ARC
(12,15),2.49465 # DEPENDENCYPART_ARC
(12,16),0.285653 # DEPENDENCYPART_ARC
(12,17),0.500527 # DEPENDENCYPART_ARC
(12,18),0.149065 # DEPENDENCYPART_ARC
(12,19),1.14651 # DEPENDENCYPART_ARC
(12,20),-3.02649 # DEPENDENCYPART_ARC
(12,21),1.12994 # DEPENDENCYPART_ARC
(12,22),1.82473 # DEPENDENCYPART_ARC
(12,23),0.66596 # DEPENDENCYPART_ARC
(12,24),0.188314 # DEPENDENCYPART_ARC
(12,25),0.229674 # DEPENDENCYPART_ARC
(12,26),-0.688676 # DEPENDENCYPART_ARC
(12,27),5.43625 # DEPENDENCYPART_ARC
(13,1),-3.03188 # DEPENDENCYPART_ARC
(13,2),-2.97261 # DEPENDENCYPART_ARC
(13,3),-3.02613 # DEPENDENCYPART_ARC
(13,4),-2.95171 # DEPENDENCYPART_ARC
(13,5),-3.42017 # DEPENDENCYPART_ARC
(13,6),-2.86128 # DEPENDENCYPART_ARC
(13,7),-2.93613 # DEPENDENCYPART_ARC
(13,8),-2.62124 # DEPENDENCYPART_ARC
(13,9),-2.03633 # DEPENDENCYPART_ARC
(13,10),-2.23088 # DEPENDENCYPART_ARC
(13,11),-1.36483 # DEPENDENCYPART_ARC
(13,12),-1.30264 # DEPENDENCYPART_ARC
(13,14),1.92857 # DEPENDENCYPART_ARC
(13,15),-0.128922 # DEPENDENCYPART_ARC
(13,16),1.00043 # DEPENDENCYPART_ARC
(13,17),-0.319942 # DEPENDENCYPART_ARC
(13,18),-0.644496 # DEPENDENCYPART_ARC
(13,19),-2.54024 # DEPENDENCYPART_ARC
(13,20),-0.136493 # DEPENDENCYPART_ARC
(13,21),-1.29394 # DEPENDENCYPART_ARC
(13,22),-2.46034 # DEPENDENCYPART_ARC
(13,23),-2.93532 # DEPENDENCYPART_ARC
(13,24),-1.69117 # DEPENDENCYPART_ARC
(13,25),-3.11372 # DEPENDENCYPART_ARC
(13,26),-3.44468 # DEPENDENCYPART_ARC
(13,27),-2.18601 # DEPENDENCYPART_ARC
(14,1),-3.61346 # DEPENDENCYPART_ARC
(14,2),-3.08283 # DEPENDENCYPART_ARC
(14,3),-1.63438 # DEPENDENCYPART_ARC
(14,4),-3.26216 # DEPENDENCYPART_ARC
(14,5),-2.60058 # DEPENDENCYPART_ARC
(14,6),-1.66833 # DEPENDENCYPART_ARC
(14,7),-1.46343 # DEPENDENCYPART_ARC
(14,8),-1.61474 # DEPENDENCYPART_ARC
(14,9),-1.03568 # DEPENDENCYPART_ARC
(14,10),-1.63088 # DEPENDENCYPART_ARC
(14,11),-0.0635701 # DEPENDENCYPART_ARC
(14,12),0.514559 # DEPENDENCYPART_ARC
(14,13),4.47159 # DEPENDENCYPART_ARC
(14,15),1.82436 # DEPENDENCYPART_ARC
(14,16),0.35695 # DEPENDENCYPART_ARC
(14,17),0.843432 # DEPENDENCYPART_ARC
(14,18),0.0295546 # DEPENDENCYPART_ARC
(14,19),0.013099 # DEPENDENCYPART_ARC
(14,20),-2.06386 # DEPENDENCYPART_ARC
(14,21),0.485326 # DEPENDENCYPART_ARC
(14,22),1.21789 # DEPENDENCYPART_ARC
(14,23),0.0102213 # DEPENDENCYPART_ARC
(14,24),-0.840393 # DEPENDENCYPART_ARC
(14,25),-0.742856 # DEPENDENCYPART_ARC
(14,26),-0.916202 # DEPENDENCYPART_ARC
(14,27),2.44063 # DEPENDENCYPART_ARC
(15,1),-2.42834 # DEPENDENCYPART_ARC
(15,2),-2.46599 # DEPENDENCYPART_ARC
(15,3),-2.92146 # DEPENDENCYPART_ARC
(15,4),-2.02729 # DEPENDENCYPART_ARC
(15,5),-2.56546 # DEPENDENCYPART_ARC
(15,6),-2.47136 # DEPENDENCYPART_ARC
(15,7),-2.34771 # DEPENDENCYPART_ARC
(15,8),-1.8276 # DEPENDENCYPART_ARC
(15,9),-1.11221 # DEPENDENCYPART_ARC
(15,10),-2.38589 # DEPENDENCYPART_ARC
(15,11),-0.656716 # DEPENDENCYPART_ARC
(15,12),-0.494977 # DEPENDENCYPART_ARC
(15,13),-0.411095 # DEPENDENCYPART_ARC
(15,14),0.162055 # DEPENDENCYPART_ARC
(15,16),1.46893 # DEPENDENCYPART_ARC
(15,17),2.79934 # DEPENDENCYPART_ARC
(15,18),-0.237216 # DEPENDENCYPART_ARC
(15,19),0.392406 # DEPENDENCYPART_ARC
(15,20),-2.11391 # DEPENDENCYPART_ARC
(15,21),1.02607 # DEPENDENCYPART_ARC
(15,22),-0.358561 # DEPENDENCYPART_ARC
(15,23),-1.05088 # DEPENDENCYPART_ARC
(15,24),1.22487 # DEPENDENCYPART_ARC
(15,25),0.116709 # DEPENDENCYPART_ARC
(15,26),-2.79574 # DEPENDENCYPART_ARC
(15,27),-0.236878 # DEPENDENCYPART_ARC
(16,1),-3.67218 # DEPENDENCYPART_ARC
(16,2),-3.26386 # DEPENDENCYPART_ARC
(16,3),-2.89125 # DEPENDENCYPART_ARC
(16,4),-3.46622 # DEPENDENCYPART_ARC
(16,5),-4.24025 # DEPENDENCYPART_ARC
(16,6),-2.56221 # DEPENDENCYPART_ARC
(16,7),-3.91424 # DEPENDENCYPART_ARC
(16,8),-2.88861 # DEPENDENCYPART_ARC
(16,9),-3.22858 # DEPENDENCYPART_ARC
(16,10),-3.61657 # DEPENDENCYPART_ARC
(16,11),-3.03464 # DEPENDENCYPART_ARC
(16,12),-2.99682 # DEPENDENCYPART_ARC
(16,13),-1.04918 # DEPENDENCYPART_ARC
(16,14),-1.9956 # DEPENDENCYPART_ARC
(16,15),-0.10233 # DEPENDENCYPART_ARC
(16,17),0.44175 # DEPENDENCYPART_ARC
(16,18),-0.440547 # DEPENDENCYPART_ARC
(16,19),-0.522982 # DEPENDENCYPART_ARC
(16,20),-1.53385 # DEPENDENCYPART_ARC
(16,21),-0.350726 # DEPENDENCYPART_ARC
(16,22),-0.95892 # DEPENDENCYPART_ARC
(16,23),-0.8613 # DEPENDENCYPART_ARC
(16,24),-0.923689 # DEPENDENCYPART_ARC
(16,25),-1.49285 # DEPENDENCYPART_ARC
(16,26),-1.25792 # DEPENDENCYPART_ARC
(16,27),-0.787525 # DEPENDENCYPART_ARC
(17,1),-0.703034 # DEPENDENCYPART_ARC
(17,2),-0.29396 # DEPENDENCYPART_ARC
(17,3),-0.661363 # DEPENDENCYPART_ARC
(17,4),-0.285538 # DEPENDENCYPART_ARC
(17,5),-1.61756 # DEPENDENCYPART_ARC
(17,6),-0.395807 # DEPENDENCYPART_ARC
(17,7),-1.2379 # DEPENDENCYPART_ARC
(17,8),-0.219419 # DEPENDENCYPART_ARC
(17,9),-0.126983 # DEPENDENCYPART_ARC
(17,10),-1.00394 # DEPENDENCYPART_ARC
(17,11),0.250656 # DEPENDENCYPART_ARC
(17,12),-0.467725 # DEPENDENCYPART_ARC
(17,13),1.90836 # DEPENDENCYPART_ARC
(17,14),0.0627886 # DEPENDENCYPART_ARC
(17,15),1.72089 # DEPENDENCYPART_ARC
(17,16),3.45316 # DEPENDENCYPART_ARC
(17,18),1.49724 # DEPENDENCYPART_ARC
(17,19),0.674659 # DEPENDENCYPART_ARC
(17,20),-0.13371 # DEPENDENCYPART_ARC
(17,21),1.31743 # DEPENDENCYPART_ARC
(17,22),0.332988 # DEPENDENCYPART_ARC
(17,23),0.646518 # DEPENDENCYPART_ARC
(17,24),0.493814 # DEPENDENCYPART_ARC
(17,25),-0.32186 # DEPENDENCYPART_ARC
(17,26),0.385858 # DEPENDENCYPART_ARC
(17,27),1.37605 # DEPENDENCYPART_ARC
(18,1),-2.6346 # DEPENDENCYPART_ARC
(18,2),-2.25225 # DEPENDENCYPART_ARC
(18,3),-2.13422 # DEPENDENCYPART_ARC
(18,4),-2.54101 # DEPENDENCYPART_ARC
(18,5),-3.23041 # DEPENDENCYPART_ARC
(18,6),-2.09815 # DEPENDENCYPART_ARC
(18,7),-3.00874 # DEPENDENCYPART_ARC
(18,8),-1.56537 # DEPENDENCYPART_ARC
(18,9),-1.43174 # DEPENDENCYPART_ARC
(18,10),-2.47704 # DEPENDENCYPART_ARC
(18,11),-1.13689 # DEPENDENCYPART_ARC
(18,12),-1.76907 # DEPENDENCYPART_ARC
(18,13),-1.23073 # DEPENDENCYPART_ARC
(18,14),-1.43966 # DEPENDENCYPART_ARC
(18,15),-0.103389 # DEPENDENCYPART_ARC
(18,16),-0.58831 # DEPENDENCYPART_ARC
(18,17),0.205755 # DEPENDENCYPART_ARC
(18,19),0.768266 # DEPENDENCYPART_ARC
(18,20),0.0578687 # DEPENDENCYPART_ARC
(18,21),-0.318177 # DEPENDENCYPART_ARC
(18,22),-0.728209 # DEPENDENCYPART_ARC
(18,23),-0.54369 # DEPENDENCYPART_ARC
(18,24),0.291051 # DEPENDENCYPART_ARC
(18,25),-0.393576 # DEPENDENCYPART_ARC
(18,26),-0.697975 # DEPENDENCYPART_ARC
(18,27),-0.350422 # DEPENDENCYPART_ARC
(19,1),-1.90194 # DEPENDENCYPART_ARC
(19,2),-1.85093 # DEPENDENCYPART_ARC
(19,3),-2.6337 # DEPENDENCYPART_ARC
(19,4),-1.49735 # DEPENDENCYPART_ARC
(19,5),-2.53404 # DEPENDENCYPART_ARC
(19,6),-2.30146 # DEPENDENCYPART_ARC
(19,7),-2.2455 # DEPENDENCYPART_ARC
(19,8),-1.41019 # DEPENDENCYPART_ARC
(19,9),-0.437124 # DEPENDENCYPART_ARC
(19,10),-2.30985 # DEPENDENCYPART_ARC
(19,11),-0.14635 # DEPENDENCYPART_ARC
(19,12),-0.305797 # DEPENDENCYPART_ARC
(19,13),-1.64534 # DEPENDENCYPART_ARC
