# _root_ En aquests moments hi ha una discriminació de la balança fiscal envers Catalunya i l' Estat , per moltes voltes que hi vulgui donar , no ens deixarà a tots contents .
#goldHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,5,20,18,23,23,20,23,5,28,28,5,28,29,28,5,
#predictedHeads=5,3,1,5,0,7,5,7,10,8,10,10,12,7,16,13,18,23,20,18,23,23,28,23,18,28,28,16,28,29,30,5,
(2,14),-2.06167 # DEPENDENCYPART_ARC
(2,19),-3.56559 # DEPENDENCYPART_ARC
(2,31),-2.25374 # DEPENDENCYPART_ARC
(3,1),0.0587465 # DEPENDENCYPART_ARC
(3,2),3.719 # DEPENDENCYPART_ARC
(3,4),-1.57783 # DEPENDENCYPART_ARC
(3,5),0.428663 # DEPENDENCYPART_ARC
(3,6),-4.18024 # DEPENDENCYPART_ARC
(3,7),-2.48647 # DEPENDENCYPART_ARC
(3,8),-1.26221 # DEPENDENCYPART_ARC
(3,9),-4.98864 # DEPENDENCYPART_ARC
(3,10),-2.9157 # DEPENDENCYPART_ARC
(3,11),-2.75169 # DEPENDENCYPART_ARC
(3,12),-1.85576 # DEPENDENCYPART_ARC
(3,13),-3.4293 # DEPENDENCYPART_ARC
(3,14),-1.1428 # DEPENDENCYPART_ARC
(3,15),-4.4734 # DEPENDENCYPART_ARC
(3,16),-2.93359 # DEPENDENCYPART_ARC
(3,17),-2.76284 # DEPENDENCYPART_ARC
(3,18),-3.02369 # DEPENDENCYPART_ARC
(3,19),-4.98925 # DEPENDENCYPART_ARC
(3,20),-2.54128 # DEPENDENCYPART_ARC
(3,21),-5.28033 # DEPENDENCYPART_ARC
(3,22),-4.72301 # DEPENDENCYPART_ARC
(3,23),-1.14864 # DEPENDENCYPART_ARC
(3,24),-0.829762 # DEPENDENCYPART_ARC
(3,25),-3.33096 # DEPENDENCYPART_ARC
(3,26),-4.58925 # DEPENDENCYPART_ARC
(3,27),-4.18193 # DEPENDENCYPART_ARC
(3,28),-1.22793 # DEPENDENCYPART_ARC
(3,29),-5.35685 # DEPENDENCYPART_ARC
(3,30),-4.27416 # DEPENDENCYPART_ARC
(3,31),-3.6326 # DEPENDENCYPART_ARC
(3,32),1.15874 # DEPENDENCYPART_ARC
(4,1),-0.632894 # DEPENDENCYPART_ARC
(4,3),-0.864091 # DEPENDENCYPART_ARC
(4,6),-0.945323 # DEPENDENCYPART_ARC
(4,7),-1.56862 # DEPENDENCYPART_ARC
(4,8),-2.13371 # DEPENDENCYPART_ARC
(4,10),-2.18924 # DEPENDENCYPART_ARC
(4,11),-2.24589 # DEPENDENCYPART_ARC
(4,12),-2.95716 # DEPENDENCYPART_ARC
(4,13),-1.87634 # DEPENDENCYPART_ARC
(4,14),-1.35974 # DEPENDENCYPART_ARC
(4,16),-2.08667 # DEPENDENCYPART_ARC
(4,17),-2.42703 # DEPENDENCYPART_ARC
(4,18),-4.80428 # DEPENDENCYPART_ARC
(4,19),-2.58199 # DEPENDENCYPART_ARC
(4,20),-1.92197 # DEPENDENCYPART_ARC
(4,23),-2.88183 # DEPENDENCYPART_ARC
(4,24),-3.05263 # DEPENDENCYPART_ARC
(4,25),-3.77905 # DEPENDENCYPART_ARC
(4,26),-3.77587 # DEPENDENCYPART_ARC
(4,28),-5.06218 # DEPENDENCYPART_ARC
(4,29),-5.93749 # DEPENDENCYPART_ARC
(4,30),-3.17387 # DEPENDENCYPART_ARC
(4,31),-3.95634 # DEPENDENCYPART_ARC
(4,32),-1.18522 # DEPENDENCYPART_ARC
(5,1),2.86291 # DEPENDENCYPART_ARC
(5,3),0.24865 # DEPENDENCYPART_ARC
(5,4),3.68869 # DEPENDENCYPART_ARC
(5,6),-1.38407 # DEPENDENCYPART_ARC
(5,7),3.39929 # DEPENDENCYPART_ARC
(5,8),0.17206 # DEPENDENCYPART_ARC
(5,9),-3.05811 # DEPENDENCYPART_ARC
(5,10),1.36834 # DEPENDENCYPART_ARC
(5,11),0.32245 # DEPENDENCYPART_ARC
(5,12),1.22643 # DEPENDENCYPART_ARC
(5,13),-0.252133 # DEPENDENCYPART_ARC
(5,14),0.843518 # DEPENDENCYPART_ARC
(5,15),-2.06408 # DEPENDENCYPART_ARC
(5,16),-0.250737 # DEPENDENCYPART_ARC
(5,17),0.233211 # DEPENDENCYPART_ARC
(5,18),-0.999568 # DEPENDENCYPART_ARC
(5,19),-3.69881 # DEPENDENCYPART_ARC
(5,20),-0.694974 # DEPENDENCYPART_ARC
(5,21),-2.31843 # DEPENDENCYPART_ARC
(5,22),-2.27515 # DEPENDENCYPART_ARC
(5,23),1.90139 # DEPENDENCYPART_ARC
(5,24),0.614181 # DEPENDENCYPART_ARC
(5,25),0.216131 # DEPENDENCYPART_ARC
(5,26),-2.56833 # DEPENDENCYPART_ARC
(5,27),-3.04478 # DEPENDENCYPART_ARC
(5,28),0.362959 # DEPENDENCYPART_ARC
(5,29),-2.49591 # DEPENDENCYPART_ARC
(5,30),-1.86404 # DEPENDENCYPART_ARC
(5,31),-2.44357 # DEPENDENCYPART_ARC
(5,32),6.0643 # DEPENDENCYPART_ARC
(6,1),-2.10365 # DEPENDENCYPART_ARC
(6,3),-2.38783 # DEPENDENCYPART_ARC
(6,7),3.17704 # DEPENDENCYPART_ARC
(6,8),0.933981 # DEPENDENCYPART_ARC
(6,10),-0.447023 # DEPENDENCYPART_ARC
(6,11),-1.19568 # DEPENDENCYPART_ARC
(6,12),-1.80579 # DEPENDENCYPART_ARC
(6,14),-0.743536 # DEPENDENCYPART_ARC
(6,18),-4.76075 # DEPENDENCYPART_ARC
(6,19),-2.15048 # DEPENDENCYPART_ARC
(6,20),-3.1095 # DEPENDENCYPART_ARC
(6,29),-7.03538 # DEPENDENCYPART_ARC
(6,30),-3.56433 # DEPENDENCYPART_ARC
(6,31),-4.08668 # DEPENDENCYPART_ARC
(7,1),-0.592592 # DEPENDENCYPART_ARC
(7,2),-0.881342 # DEPENDENCYPART_ARC
(7,3),-1.04906 # DEPENDENCYPART_ARC
(7,4),1.37942 # DEPENDENCYPART_ARC
(7,5),0.223059 # DEPENDENCYPART_ARC
(7,6),4.6434 # DEPENDENCYPART_ARC
(7,8),3.19611 # DEPENDENCYPART_ARC
(7,9),-0.293462 # DEPENDENCYPART_ARC
(7,10),1.57064 # DEPENDENCYPART_ARC
(7,11),2.20268 # DEPENDENCYPART_ARC
(7,12),1.66089 # DEPENDENCYPART_ARC
(7,13),0.192185 # DEPENDENCYPART_ARC
(7,14),2.08186 # DEPENDENCYPART_ARC
(7,15),-1.41999 # DEPENDENCYPART_ARC
(7,16),0.994928 # DEPENDENCYPART_ARC
(7,17),-0.262482 # DEPENDENCYPART_ARC
(7,18),0.19615 # DEPENDENCYPART_ARC
(7,19),-2.35349 # DEPENDENCYPART_ARC
(7,20),1.08358 # DEPENDENCYPART_ARC
(7,21),-2.64533 # DEPENDENCYPART_ARC
(7,22),-2.35309 # DEPENDENCYPART_ARC
(7,23),1.50461 # DEPENDENCYPART_ARC
(7,24),0.503576 # DEPENDENCYPART_ARC
(7,25),-1.53221 # DEPENDENCYPART_ARC
(7,26),-1.60033 # DEPENDENCYPART_ARC
(7,27),-1.75653 # DEPENDENCYPART_ARC
(7,28),0.272642 # DEPENDENCYPART_ARC
(7,29),-2.62115 # DEPENDENCYPART_ARC
(7,30),-2.87109 # DEPENDENCYPART_ARC
(7,31),-4.53714 # DEPENDENCYPART_ARC
(7,32),2.08791 # DEPENDENCYPART_ARC
(8,1),-1.70662 # DEPENDENCYPART_ARC
(8,3),-2.2515 # DEPENDENCYPART_ARC
(8,4),-1.71146 # DEPENDENCYPART_ARC
(8,5),-0.405299 # DEPENDENCYPART_ARC
(8,6),0.119824 # DEPENDENCYPART_ARC
(8,7),-0.176369 # DEPENDENCYPART_ARC
(8,9),-0.346419 # DEPENDENCYPART_ARC
(8,10),4.46009 # DEPENDENCYPART_ARC
(8,11),0.392731 # DEPENDENCYPART_ARC
(8,12),-0.909031 # DEPENDENCYPART_ARC
(8,13),0.197989 # DEPENDENCYPART_ARC
(8,14),0.421382 # DEPENDENCYPART_ARC
(8,15),-1.57527 # DEPENDENCYPART_ARC
(8,16),-1.52538 # DEPENDENCYPART_ARC
(8,17),0.0622647 # DEPENDENCYPART_ARC
(8,18),-1.26606 # DEPENDENCYPART_ARC
(8,19),-2.362 # DEPENDENCYPART_ARC
(8,20),-3.03411 # DEPENDENCYPART_ARC
(8,21),-5.14951 # DEPENDENCYPART_ARC
(8,22),-4.0641 # DEPENDENCYPART_ARC
(8,23),-0.277774 # DEPENDENCYPART_ARC
(8,24),-1.0903 # DEPENDENCYPART_ARC
(8,25),-1.17963 # DEPENDENCYPART_ARC
(8,26),-2.41301 # DEPENDENCYPART_ARC
(8,27),-4.69338 # DEPENDENCYPART_ARC
(8,28),-2.58005 # DEPENDENCYPART_ARC
(8,29),-3.84539 # DEPENDENCYPART_ARC
(8,30),-5.10341 # DEPENDENCYPART_ARC
(8,31),-3.23445 # DEPENDENCYPART_ARC
(8,32),-0.279984 # DEPENDENCYPART_ARC
(9,1),-2.2063 # DEPENDENCYPART_ARC
(9,2),-3.0437 # DEPENDENCYPART_ARC
(9,3),-2.56368 # DEPENDENCYPART_ARC
(9,6),-0.122416 # DEPENDENCYPART_ARC
(9,7),-0.497175 # DEPENDENCYPART_ARC
(9,8),0.322227 # DEPENDENCYPART_ARC
(9,10),0.852258 # DEPENDENCYPART_ARC
(9,11),-1.60424 # DEPENDENCYPART_ARC
(9,12),-1.84572 # DEPENDENCYPART_ARC
(9,13),-2.40822 # DEPENDENCYPART_ARC
(9,14),-2.14782 # DEPENDENCYPART_ARC
(9,15),-1.32242 # DEPENDENCYPART_ARC
(9,16),-3.597 # DEPENDENCYPART_ARC
(9,18),-4.10119 # DEPENDENCYPART_ARC
(9,19),-1.80735 # DEPENDENCYPART_ARC
(9,20),-4.23014 # DEPENDENCYPART_ARC
(9,21),-4.21666 # DEPENDENCYPART_ARC
(9,29),-6.55911 # DEPENDENCYPART_ARC
(9,30),-4.4371 # DEPENDENCYPART_ARC
(9,31),-5.87129 # DEPENDENCYPART_ARC
(10,1),-1.59718 # DEPENDENCYPART_ARC
(10,2),-3.40441 # DEPENDENCYPART_ARC
(10,3),-2.35096 # DEPENDENCYPART_ARC
(10,4),-0.15725 # DEPENDENCYPART_ARC
(10,5),-2.00346 # DEPENDENCYPART_ARC
(10,6),1.25443 # DEPENDENCYPART_ARC
(10,7),-0.814531 # DEPENDENCYPART_ARC
(10,8),0.479978 # DEPENDENCYPART_ARC
(10,9),4.32398 # DEPENDENCYPART_ARC
(10,11),3.3739 # DEPENDENCYPART_ARC
(10,12),1.69683 # DEPENDENCYPART_ARC
(10,13),0.484925 # DEPENDENCYPART_ARC
(10,14),1.60075 # DEPENDENCYPART_ARC
(10,15),-1.27483 # DEPENDENCYPART_ARC
(10,16),0.979488 # DEPENDENCYPART_ARC
(10,17),-0.272674 # DEPENDENCYPART_ARC
(10,18),-0.257962 # DEPENDENCYPART_ARC
(10,19),-2.24418 # DEPENDENCYPART_ARC
(10,20),0.683902 # DEPENDENCYPART_ARC
(10,21),-2.86088 # DEPENDENCYPART_ARC
(10,22),-2.83633 # DEPENDENCYPART_ARC
(10,23),1.10081 # DEPENDENCYPART_ARC
(10,24),0.0711897 # DEPENDENCYPART_ARC
(10,25),-1.26422 # DEPENDENCYPART_ARC
(10,26),-1.98476 # DEPENDENCYPART_ARC
(10,27),-2.31357 # DEPENDENCYPART_ARC
(10,28),-0.0849818 # DEPENDENCYPART_ARC
(10,29),-2.67189 # DEPENDENCYPART_ARC
(10,30),-2.97992 # DEPENDENCYPART_ARC
(10,31),-4.65391 # DEPENDENCYPART_ARC
(10,32),1.94133 # DEPENDENCYPART_ARC
(11,1),-1.01599 # DEPENDENCYPART_ARC
(11,2),-2.7855 # DEPENDENCYPART_ARC
(11,3),-3.29308 # DEPENDENCYPART_ARC
(11,4),-1.09026 # DEPENDENCYPART_ARC
(11,5),-2.30378 # DEPENDENCYPART_ARC
(11,6),-0.529397 # DEPENDENCYPART_ARC
(11,7),-1.4186 # DEPENDENCYPART_ARC
(11,8),0.352165 # DEPENDENCYPART_ARC
(11,9),1.21663 # DEPENDENCYPART_ARC
(11,10),0.546345 # DEPENDENCYPART_ARC
(11,12),1.18631 # DEPENDENCYPART_ARC
(11,13),0.714005 # DEPENDENCYPART_ARC
(11,14),0.460173 # DEPENDENCYPART_ARC
(11,15),-2.31161 # DEPENDENCYPART_ARC
(11,16),-0.379759 # DEPENDENCYPART_ARC
(11,17),-0.467669 # DEPENDENCYPART_ARC
(11,18),-1.51846 # DEPENDENCYPART_ARC
(11,19),-2.64847 # DEPENDENCYPART_ARC
(11,20),-1.44738 # DEPENDENCYPART_ARC
(11,21),-2.77142 # DEPENDENCYPART_ARC
(11,22),-2.0215 # DEPENDENCYPART_ARC
(11,23),-0.481512 # DEPENDENCYPART_ARC
(11,24),-1.59799 # DEPENDENCYPART_ARC
(11,25),-1.20968 # DEPENDENCYPART_ARC
(11,26),-2.30152 # DEPENDENCYPART_ARC
(11,27),-2.0418 # DEPENDENCYPART_ARC
(11,28),-1.65792 # DEPENDENCYPART_ARC
(11,29),-3.88157 # DEPENDENCYPART_ARC
(11,30),-2.13141 # DEPENDENCYPART_ARC
(11,31),-2.75226 # DEPENDENCYPART_ARC
(11,32),-0.963021 # DEPENDENCYPART_ARC
(12,1),-2.6598 # DEPENDENCYPART_ARC
(12,3),-2.61692 # DEPENDENCYPART_ARC
(12,4),-2.56739 # DEPENDENCYPART_ARC
(12,5),-1.29616 # DEPENDENCYPART_ARC
(12,6),-1.79408 # DEPENDENCYPART_ARC
(12,7),-1.74705 # DEPENDENCYPART_ARC
(12,8),-1.19979 # DEPENDENCYPART_ARC
(12,9),-0.316375 # DEPENDENCYPART_ARC
(12,10),-0.738063 # DEPENDENCYPART_ARC
(12,11),-0.143297 # DEPENDENCYPART_ARC
(12,13),3.77113 # DEPENDENCYPART_ARC
(12,14),0.573535 # DEPENDENCYPART_ARC
(12,15),-1.7603 # DEPENDENCYPART_ARC
(12,16),-0.655729 # DEPENDENCYPART_ARC
(12,17),0.310678 # DEPENDENCYPART_ARC
(12,18),-0.502791 # DEPENDENCYPART_ARC
(12,19),-2.92883 # DEPENDENCYPART_ARC
(12,20),-3.04079 # DEPENDENCYPART_ARC
(12,21),-4.30694 # DEPENDENCYPART_ARC
(12,22),-4.09194 # DEPENDENCYPART_ARC
(12,23),-1.02087 # DEPENDENCYPART_ARC
(12,24),-1.4133 # DEPENDENCYPART_ARC
(12,25),-1.39006 # DEPENDENCYPART_ARC
(12,26),-2.14616 # DEPENDENCYPART_ARC
(12,27),-4.68464 # DEPENDENCYPART_ARC
(12,28),-3.57598 # DEPENDENCYPART_ARC
(12,29),-2.21044 # DEPENDENCYPART_ARC
(12,30),-4.84517 # DEPENDENCYPART_ARC
(12,31),-3.60105 # DEPENDENCYPART_ARC
(12,32),-0.569741 # DEPENDENCYPART_ARC
(13,1),-3.09692 # DEPENDENCYPART_ARC
(13,2),-4.81315 # DEPENDENCYPART_ARC
(13,3),-3.66799 # DEPENDENCYPART_ARC
(13,4),-3.6062 # DEPENDENCYPART_ARC
(13,5),-3.63349 # DEPENDENCYPART_ARC
(13,6),-1.93282 # DEPENDENCYPART_ARC
(13,7),-3.07912 # DEPENDENCYPART_ARC
(13,8),-1.67354 # DEPENDENCYPART_ARC
(13,9),-0.426256 # DEPENDENCYPART_ARC
(13,10),-2.32576 # DEPENDENCYPART_ARC
(13,11),-1.77562 # DEPENDENCYPART_ARC
(13,12),-0.00787862 # DEPENDENCYPART_ARC
(13,14),1.92292 # DEPENDENCYPART_ARC
(13,15),-0.374518 # DEPENDENCYPART_ARC
(13,16),1.68901 # DEPENDENCYPART_ARC
(13,17),-0.377795 # DEPENDENCYPART_ARC
(13,18),-0.667976 # DEPENDENCYPART_ARC
(13,19),-1.44888 # DEPENDENCYPART_ARC
(13,20),0.920471 # DEPENDENCYPART_ARC
(13,21),-1.31353 # DEPENDENCYPART_ARC
(13,22),-0.36701 # DEPENDENCYPART_ARC
(13,23),0.967874 # DEPENDENCYPART_ARC
(13,24),0.337304 # DEPENDENCYPART_ARC
(13,25),-1.42113 # DEPENDENCYPART_ARC
(13,26),-1.55815 # DEPENDENCYPART_ARC
(13,27),-1.47096 # DEPENDENCYPART_ARC
(13,28),-0.301043 # DEPENDENCYPART_ARC
(13,29),-3.20231 # DEPENDENCYPART_ARC
(13,30),-2.39257 # DEPENDENCYPART_ARC
(13,31),-1.60129 # DEPENDENCYPART_ARC
(13,32),2.34333 # DEPENDENCYPART_ARC
(14,13),-1.29153 # DEPENDENCYPART_ARC
(14,16),-0.516955 # DEPENDENCYPART_ARC
(14,17),-1.11565 # DEPENDENCYPART_ARC
(14,25),-2.64102 # DEPENDENCYPART_ARC
(15,1),-3.14797 # DEPENDENCYPART_ARC
(15,2),-4.10627 # DEPENDENCYPART_ARC
(15,3),-3.95977 # DEPENDENCYPART_ARC
(15,6),-2.30481 # DEPENDENCYPART_ARC
(15,7),-2.78172 # DEPENDENCYPART_ARC
(15,8),-2.26479 # DEPENDENCYPART_ARC
(15,9),-1.73279 # DEPENDENCYPART_ARC
(15,10),-2.52351 # DEPENDENCYPART_ARC
(15,11),-2.58632 # DEPENDENCYPART_ARC
(15,12),-1.2113 # DEPENDENCYPART_ARC
(15,13),-1.35907 # DEPENDENCYPART_ARC
(15,14),-0.335134 # DEPENDENCYPART_ARC
(15,16),-1.21309 # DEPENDENCYPART_ARC
(15,18),-3.04696 # DEPENDENCYPART_ARC
(15,19),-1.60951 # DEPENDENCYPART_ARC
(15,20),-3.88986 # DEPENDENCYPART_ARC
(15,21),-3.99441 # DEPENDENCYPART_ARC
(15,29),-5.75271 # DEPENDENCYPART_ARC
(15,30),-4.01756 # DEPENDENCYPART_ARC
(15,31),-5.40602 # DEPENDENCYPART_ARC
(16,1),-1.46332 # DEPENDENCYPART_ARC
(16,2),-2.4901 # DEPENDENCYPART_ARC
(16,3),-2.35811 # DEPENDENCYPART_ARC
(16,4),-0.739434 # DEPENDENCYPART_ARC
(16,5),-2.47132 # DEPENDENCYPART_ARC
(16,6),0.105144 # DEPENDENCYPART_ARC
(16,7),-1.75821 # DEPENDENCYPART_ARC
(16,8),-0.310992 # DEPENDENCYPART_ARC
(16,9),0.927943 # DEPENDENCYPART_ARC
(16,10),-1.41574 # DEPENDENCYPART_ARC
(16,11),-1.30243 # DEPENDENCYPART_ARC
(16,12),-0.346939 # DEPENDENCYPART_ARC
(16,13),0.00862536 # DEPENDENCYPART_ARC
(16,14),0.661245 # DEPENDENCYPART_ARC
(16,15),3.5135 # DEPENDENCYPART_ARC
(16,17),0.304754 # DEPENDENCYPART_ARC
(16,18),-0.312158 # DEPENDENCYPART_ARC
(16,19),-1.51718 # DEPENDENCYPART_ARC
(16,20),0.0931999 # DEPENDENCYPART_ARC
(16,21),-1.37826 # DEPENDENCYPART_ARC
(16,22),-0.893373 # DEPENDENCYPART_ARC
(16,23),1.86902 # DEPENDENCYPART_ARC
(16,24),1.09953 # DEPENDENCYPART_ARC
(16,25),-0.445476 # DEPENDENCYPART_ARC
(16,26),-1.86943 # DEPENDENCYPART_ARC
(16,27),-2.07987 # DEPENDENCYPART_ARC
(16,28),0.574129 # DEPENDENCYPART_ARC
(16,29),-3.301 # DEPENDENCYPART_ARC
(16,30),-2.82144 # DEPENDENCYPART_ARC
(16,31),-1.63493 # DEPENDENCYPART_ARC
(16,32),2.61582 # DEPENDENCYPART_ARC
(17,3),-3.42655 # DEPENDENCYPART_ARC
(17,7),-2.97503 # DEPENDENCYPART_ARC
(17,10),-2.74953 # DEPENDENCYPART_ARC
(17,11),-1.88634 # DEPENDENCYPART_ARC
(17,20),-1.29285 # DEPENDENCYPART_ARC
(17,25),-1.45624 # DEPENDENCYPART_ARC
(17,31),-2.2721 # DEPENDENCYPART_ARC
(18,1),-1.95078 # DEPENDENCYPART_ARC
(18,3),-2.63843 # DEPENDENCYPART_ARC
(18,4),-2.20297 # DEPENDENCYPART_ARC
(18,5),-1.38748 # DEPENDENCYPART_ARC
(18,6),-1.99326 # DEPENDENCYPART_ARC
(18,7),-2.15779 # DEPENDENCYPART_ARC
(18,8),-1.54484 # DEPENDENCYPART_ARC
(18,9),-1.33947 # DEPENDENCYPART_ARC
(18,10),-1.77991 # DEPENDENCYPART_ARC
(18,11),-1.21445 # DEPENDENCYPART_ARC
(18,12),-1.07371 # DEPENDENCYPART_ARC
(18,13),-1.59017 # DEPENDENCYPART_ARC
(18,14),-0.587876 # DEPENDENCYPART_ARC
(18,15),-0.591621 # DEPENDENCYPART_ARC
(18,16),-1.23813 # DEPENDENCYPART_ARC
(18,17),1.93766 # DEPENDENCYPART_ARC
(18,19),0.0671347 # DEPENDENCYPART_ARC
(18,20),4.7085 # DEPENDENCYPART_ARC
(18,21),-0.709426 # DEPENDENCYPART_ARC
(18,22),-0.742065 # DEPENDENCYPART_ARC
(18,23),0.592487 # DEPENDENCYPART_ARC
(18,24),-0.308609 # DEPENDENCYPART_ARC
(18,25),1.31646 # DEPENDENCYPART_ARC
(18,26),-1.95686 # DEPENDENCYPART_ARC
(18,27),-1.83983 # DEPENDENCYPART_ARC
(18,28),-2.69551 # DEPENDENCYPART_ARC
(18,29),-2.22538 # DEPENDENCYPART_ARC
(18,30),-2.31265 # DEPENDENCYPART_ARC
(18,31),-2.128 # DEPENDENCYPART_ARC
(18,32),1.25066 # DEPENDENCYPART_ARC
(19,1),-4.94017 # DEPENDENCYPART_ARC
(19,3),-4.2183 # DEPENDENCYPART_ARC
(19,6),-4.02679 # DEPENDENCYPART_ARC
(19,7),-4.14085 # DEPENDENCYPART_ARC
(19,8),-4.22653 # DEPENDENCYPART_ARC
(19,10),-4.04036 # DEPENDENCYPART_ARC
(19,11),-4.87586 # DEPENDENCYPART_ARC
(19,12),-3.53547 # DEPENDENCYPART_ARC
(19,14),-3.30701 # DEPENDENCYPART_ARC
(19,18),-1.44098 # DEPENDENCYPART_ARC
(19,20),0.907735 # DEPENDENCYPART_ARC
(19,29),-4.17988 # DEPENDENCYPART_ARC
(19,30),-3.18177 # DEPENDENCYPART_ARC
(19,31),-3.66514 # DEPENDENCYPART_ARC
(20,1),-2.27728 # DEPENDENCYPART_ARC
(20,2),-3.58382 # DEPENDENCYPART_ARC
(20,3),-1.99989 # DEPENDENCYPART_ARC
(20,4),-1.20218 # DEPENDENCYPART_ARC
(20,5),-0.351258 # DEPENDENCYPART_ARC
(20,6),-1.31629 # DEPENDENCYPART_ARC
(20,7),-2.12878 # DEPENDENCYPART_ARC
(20,8),-1.28948 # DEPENDENCYPART_ARC
(20,9),-0.72367 # DEPENDENCYPART_ARC
(20,10),-1.78913 # DEPENDENCYPART_ARC
(20,11),-2.39105 # DEPENDENCYPART_ARC
(20,12),-1.22272 # DEPENDENCYPART_ARC
(20,13),-1.19788 # DEPENDENCYPART_ARC
(20,14),-0.696198 # DEPENDENCYPART_ARC
(20,15),0.0851709 # DEPENDENCYPART_ARC
(20,16),-1.38733 # DEPENDENCYPART_ARC
(20,17),0.200643 # DEPENDENCYPART_ARC
(20,18),0.910409 # DEPENDENCYPART_ARC
(20,19),4.92709 # DEPENDENCYPART_ARC
(20,21),0.0990291 # DEPENDENCYPART_ARC
(20,22),-0.887307 # DEPENDENCYPART_ARC
(20,23),2.83805 # DEPENDENCYPART_ARC
(20,24),2.35416 # DEPENDENCYPART_ARC
(20,25),-0.477481 # DEPENDENCYPART_ARC
(20,26),-1.17324 # DEPENDENCYPART_ARC
(20,27),-1.87109 # DEPENDENCYPART_ARC
(20,28),1.24688 # DEPENDENCYPART_ARC
(20,29),-1.63027 # DEPENDENCYPART_ARC
(20,30),-1.98755 # DEPENDENCYPART_ARC
(20,31),-1.69642 # DEPENDENCYPART_ARC
(20,32),2.4606 # DEPENDENCYPART_ARC
(21,1),-3.32979 # DEPENDENCYPART_ARC
(21,3),-4.23625 # DEPENDENCYPART_ARC
(21,6),-5.48138 # DEPENDENCYPART_ARC
(21,7),-3.92859 # DEPENDENCYPART_ARC
(21,8),-2.08293 # DEPENDENCYPART_ARC
(21,9),-4.91792 # DEPENDENCYPART_ARC
(21,10),-3.76929 # DEPENDENCYPART_ARC
(21,11),-3.29703 # DEPENDENCYPART_ARC
