# _root_ La inflació acumulada a la demarcació de Barcelona és de l' 1,7% i la interanual se situa en el 3,5% .
#goldHeads=2,9,2,3,6,4,6,7,0,9,12,10,9,15,17,17,9,17,20,18,9,
#predictedHeads=2,9,2,3,6,4,6,7,0,9,12,10,9,15,17,17,9,17,20,18,9,
(3,6),0.503645 # DEPENDENCYPART_ARC
(3,7),1.0009 # DEPENDENCYPART_ARC
(3,8),0.66498 # DEPENDENCYPART_ARC
(3,9),0.720921 # DEPENDENCYPART_ARC
(3,10),-0.890686 # DEPENDENCYPART_ARC
(3,11),-2.87515 # DEPENDENCYPART_ARC
(3,12),-0.892676 # DEPENDENCYPART_ARC
(3,13),-0.0159849 # DEPENDENCYPART_ARC
(3,14),-2.80463 # DEPENDENCYPART_ARC
(3,15),-1.54545 # DEPENDENCYPART_ARC
(3,17),0.0851522 # DEPENDENCYPART_ARC
(3,18),-0.627169 # DEPENDENCYPART_ARC
(3,19),-3.47034 # DEPENDENCYPART_ARC
(3,20),-1.19287 # DEPENDENCYPART_ARC
(3,21),0.200441 # DEPENDENCYPART_ARC
(4,1),-0.125541 # DEPENDENCYPART_ARC
(4,2),-0.530811 # DEPENDENCYPART_ARC
(4,3),0.562397 # DEPENDENCYPART_ARC
(4,5),-0.203476 # DEPENDENCYPART_ARC
(4,6),4.58161 # DEPENDENCYPART_ARC
(4,7),-0.609422 # DEPENDENCYPART_ARC
(4,8),1.88411 # DEPENDENCYPART_ARC
(4,9),-0.167536 # DEPENDENCYPART_ARC
(4,10),-1.63308 # DEPENDENCYPART_ARC
(4,11),-2.85198 # DEPENDENCYPART_ARC
(4,12),-1.09779 # DEPENDENCYPART_ARC
(4,13),-0.237474 # DEPENDENCYPART_ARC
(4,14),-2.95928 # DEPENDENCYPART_ARC
(4,15),-1.34884 # DEPENDENCYPART_ARC
(4,16),-2.78216 # DEPENDENCYPART_ARC
(4,17),-0.463795 # DEPENDENCYPART_ARC
(4,18),-1.88066 # DEPENDENCYPART_ARC
(4,19),-3.4055 # DEPENDENCYPART_ARC
(4,20),-1.69415 # DEPENDENCYPART_ARC
(4,21),-0.928108 # DEPENDENCYPART_ARC
(5,1),-1.03698 # DEPENDENCYPART_ARC
(5,2),-1.46115 # DEPENDENCYPART_ARC
(5,3),-0.931095 # DEPENDENCYPART_ARC
(5,4),-0.124952 # DEPENDENCYPART_ARC
(5,6),2.9979 # DEPENDENCYPART_ARC
(5,7),0.757648 # DEPENDENCYPART_ARC
(5,8),-1.22682 # DEPENDENCYPART_ARC
(5,10),-1.75125 # DEPENDENCYPART_ARC
(5,11),-1.72377 # DEPENDENCYPART_ARC
(5,12),-2.23179 # DEPENDENCYPART_ARC
(5,13),-2.12323 # DEPENDENCYPART_ARC
(5,14),-2.33363 # DEPENDENCYPART_ARC
(5,15),-3.24993 # DEPENDENCYPART_ARC
(5,18),-4.53567 # DEPENDENCYPART_ARC
(5,19),-4.43835 # DEPENDENCYPART_ARC
(5,20),-3.06593 # DEPENDENCYPART_ARC
(6,1),1.16551 # DEPENDENCYPART_ARC
(6,2),-1.12904 # DEPENDENCYPART_ARC
(6,3),-0.90667 # DEPENDENCYPART_ARC
(6,4),0.188449 # DEPENDENCYPART_ARC
(6,5),4.23329 # DEPENDENCYPART_ARC
(6,7),3.17637 # DEPENDENCYPART_ARC
(6,8),0.645971 # DEPENDENCYPART_ARC
(6,9),0.918159 # DEPENDENCYPART_ARC
(6,10),-0.242889 # DEPENDENCYPART_ARC
(6,11),-2.23855 # DEPENDENCYPART_ARC
(6,12),-0.929798 # DEPENDENCYPART_ARC
(6,13),-0.270452 # DEPENDENCYPART_ARC
(6,14),-2.24206 # DEPENDENCYPART_ARC
(6,15),-0.72193 # DEPENDENCYPART_ARC
(6,17),-1.86653 # DEPENDENCYPART_ARC
(6,18),-1.22514 # DEPENDENCYPART_ARC
(6,19),-3.37076 # DEPENDENCYPART_ARC
(6,20),-1.60305 # DEPENDENCYPART_ARC
(6,21),1.17917 # DEPENDENCYPART_ARC
(7,1),-1.42408 # DEPENDENCYPART_ARC
(7,2),-1.60187 # DEPENDENCYPART_ARC
(7,3),-1.42937 # DEPENDENCYPART_ARC
(7,4),-0.743007 # DEPENDENCYPART_ARC
(7,5),0.783877 # DEPENDENCYPART_ARC
(7,6),0.461006 # DEPENDENCYPART_ARC
(7,8),4.22476 # DEPENDENCYPART_ARC
(7,9),-0.371827 # DEPENDENCYPART_ARC
(7,10),-0.931257 # DEPENDENCYPART_ARC
(7,11),-2.87065 # DEPENDENCYPART_ARC
(7,12),-1.40534 # DEPENDENCYPART_ARC
(7,13),-0.8406 # DEPENDENCYPART_ARC
(7,14),-3.58867 # DEPENDENCYPART_ARC
(7,15),-2.12929 # DEPENDENCYPART_ARC
(7,16),-3.50758 # DEPENDENCYPART_ARC
(7,17),-1.51143 # DEPENDENCYPART_ARC
(7,18),-2.57362 # DEPENDENCYPART_ARC
(7,19),-3.96028 # DEPENDENCYPART_ARC
(7,20),-2.15323 # DEPENDENCYPART_ARC
(7,21),-1.80734 # DEPENDENCYPART_ARC
(8,1),-0.563803 # DEPENDENCYPART_ARC
(8,2),-1.80448 # DEPENDENCYPART_ARC
(8,3),-2.37836 # DEPENDENCYPART_ARC
(8,4),-0.859685 # DEPENDENCYPART_ARC
(8,5),1.61813 # DEPENDENCYPART_ARC
(8,6),-0.27713 # DEPENDENCYPART_ARC
(8,7),1.29774 # DEPENDENCYPART_ARC
(8,9),-0.876172 # DEPENDENCYPART_ARC
(8,10),-2.62637 # DEPENDENCYPART_ARC
(8,11),-3.42991 # DEPENDENCYPART_ARC
(8,12),-2.6257 # DEPENDENCYPART_ARC
(8,13),-2.25462 # DEPENDENCYPART_ARC
(8,14),-3.79461 # DEPENDENCYPART_ARC
(8,15),-3.12488 # DEPENDENCYPART_ARC
(8,17),-3.73257 # DEPENDENCYPART_ARC
(8,18),-3.99356 # DEPENDENCYPART_ARC
(8,19),-4.32511 # DEPENDENCYPART_ARC
(8,20),-3.55552 # DEPENDENCYPART_ARC
(8,21),-1.54444 # DEPENDENCYPART_ARC
(9,1),-0.602061 # DEPENDENCYPART_ARC
(9,2),2.61752 # DEPENDENCYPART_ARC
(9,3),0.675454 # DEPENDENCYPART_ARC
(9,4),0.626594 # DEPENDENCYPART_ARC
(9,5),0.528881 # DEPENDENCYPART_ARC
(9,6),2.8618 # DEPENDENCYPART_ARC
(9,7),0.108601 # DEPENDENCYPART_ARC
(9,8),2.04428 # DEPENDENCYPART_ARC
(9,10),2.34446 # DEPENDENCYPART_ARC
(9,11),-0.146008 # DEPENDENCYPART_ARC
(9,12),0.643577 # DEPENDENCYPART_ARC
(9,13),2.26054 # DEPENDENCYPART_ARC
(9,14),-2.32829 # DEPENDENCYPART_ARC
(9,15),0.45957 # DEPENDENCYPART_ARC
(9,16),-0.222779 # DEPENDENCYPART_ARC
(9,17),2.95978 # DEPENDENCYPART_ARC
(9,18),0.39037 # DEPENDENCYPART_ARC
(9,19),-3.07458 # DEPENDENCYPART_ARC
(9,20),-0.411471 # DEPENDENCYPART_ARC
(9,21),6.25334 # DEPENDENCYPART_ARC
(10,1),-2.58579 # DEPENDENCYPART_ARC
(10,2),-3.05107 # DEPENDENCYPART_ARC
(10,3),-2.83318 # DEPENDENCYPART_ARC
(10,4),-2.64756 # DEPENDENCYPART_ARC
(10,5),-1.64902 # DEPENDENCYPART_ARC
(10,6),-2.59414 # DEPENDENCYPART_ARC
(10,7),-1.71534 # DEPENDENCYPART_ARC
(10,8),-1.87541 # DEPENDENCYPART_ARC
(10,9),0.0661327 # DEPENDENCYPART_ARC
(10,11),0.364751 # DEPENDENCYPART_ARC
(10,12),2.34566 # DEPENDENCYPART_ARC
(10,13),0.675956 # DEPENDENCYPART_ARC
(10,14),-1.72699 # DEPENDENCYPART_ARC
(10,15),1.0527 # DEPENDENCYPART_ARC
(10,16),-1.11755 # DEPENDENCYPART_ARC
(10,17),0.574522 # DEPENDENCYPART_ARC
(10,18),-1.34935 # DEPENDENCYPART_ARC
(10,19),-2.88488 # DEPENDENCYPART_ARC
(10,20),-0.270708 # DEPENDENCYPART_ARC
(10,21),-0.666402 # DEPENDENCYPART_ARC
(11,1),-2.42515 # DEPENDENCYPART_ARC
(11,2),-2.30929 # DEPENDENCYPART_ARC
(11,3),-2.08029 # DEPENDENCYPART_ARC
(11,4),-1.86612 # DEPENDENCYPART_ARC
(11,5),-1.65683 # DEPENDENCYPART_ARC
(11,6),-1.77133 # DEPENDENCYPART_ARC
(11,7),-1.33319 # DEPENDENCYPART_ARC
(11,8),-1.22077 # DEPENDENCYPART_ARC
(11,10),0.812795 # DEPENDENCYPART_ARC
(11,12),0.980311 # DEPENDENCYPART_ARC
(11,13),0.35248 # DEPENDENCYPART_ARC
(11,14),-0.125579 # DEPENDENCYPART_ARC
(11,15),-1.88469 # DEPENDENCYPART_ARC
(11,18),-3.32608 # DEPENDENCYPART_ARC
(11,19),-3.00939 # DEPENDENCYPART_ARC
(11,20),-2.77008 # DEPENDENCYPART_ARC
(12,1),-1.57364 # DEPENDENCYPART_ARC
(12,2),-1.96679 # DEPENDENCYPART_ARC
(12,3),-1.09813 # DEPENDENCYPART_ARC
(12,4),-0.887894 # DEPENDENCYPART_ARC
(12,5),-1.01571 # DEPENDENCYPART_ARC
(12,6),-1.62866 # DEPENDENCYPART_ARC
(12,7),-0.092178 # DEPENDENCYPART_ARC
(12,9),-0.749791 # DEPENDENCYPART_ARC
(12,10),1.09517 # DEPENDENCYPART_ARC
(12,11),3.28972 # DEPENDENCYPART_ARC
(12,13),1.87312 # DEPENDENCYPART_ARC
(12,14),0.190164 # DEPENDENCYPART_ARC
(12,15),0.593467 # DEPENDENCYPART_ARC
(12,17),1.02666 # DEPENDENCYPART_ARC
(12,18),-0.213825 # DEPENDENCYPART_ARC
(12,19),-1.38001 # DEPENDENCYPART_ARC
(12,20),0.187305 # DEPENDENCYPART_ARC
(12,21),0.526652 # DEPENDENCYPART_ARC
(13,8),-3.17563 # DEPENDENCYPART_ARC
(14,1),-3.37757 # DEPENDENCYPART_ARC
(14,2),-2.98084 # DEPENDENCYPART_ARC
(14,3),-3.04608 # DEPENDENCYPART_ARC
(14,4),-2.7245 # DEPENDENCYPART_ARC
(14,5),-2.42933 # DEPENDENCYPART_ARC
(14,6),-2.62396 # DEPENDENCYPART_ARC
(14,7),-2.4192 # DEPENDENCYPART_ARC
(14,8),-2.37242 # DEPENDENCYPART_ARC
(14,10),-1.39715 # DEPENDENCYPART_ARC
(14,11),-1.36199 # DEPENDENCYPART_ARC
(14,12),-0.739965 # DEPENDENCYPART_ARC
(14,13),-0.0879524 # DEPENDENCYPART_ARC
(14,15),-0.513929 # DEPENDENCYPART_ARC
(14,18),-2.20621 # DEPENDENCYPART_ARC
(14,19),-2.33679 # DEPENDENCYPART_ARC
(14,20),-1.82834 # DEPENDENCYPART_ARC
(15,1),-1.60689 # DEPENDENCYPART_ARC
(15,2),-2.66044 # DEPENDENCYPART_ARC
(15,3),-0.807578 # DEPENDENCYPART_ARC
(15,4),-2.0915 # DEPENDENCYPART_ARC
(15,5),-1.27027 # DEPENDENCYPART_ARC
(15,6),-2.21689 # DEPENDENCYPART_ARC
(15,7),-0.907806 # DEPENDENCYPART_ARC
(15,8),-1.97424 # DEPENDENCYPART_ARC
(15,9),-1.99572 # DEPENDENCYPART_ARC
(15,10),0.151478 # DEPENDENCYPART_ARC
(15,11),-0.203641 # DEPENDENCYPART_ARC
(15,12),-0.0459432 # DEPENDENCYPART_ARC
(15,13),0.41423 # DEPENDENCYPART_ARC
(15,14),2.67661 # DEPENDENCYPART_ARC
(15,17),0.809174 # DEPENDENCYPART_ARC
(15,18),-1.87547 # DEPENDENCYPART_ARC
(15,19),-3.51795 # DEPENDENCYPART_ARC
(15,20),-1.59356 # DEPENDENCYPART_ARC
(15,21),-0.817557 # DEPENDENCYPART_ARC
(17,1),-2.31853 # DEPENDENCYPART_ARC
(17,2),0.73483 # DEPENDENCYPART_ARC
(17,3),-0.35057 # DEPENDENCYPART_ARC
(17,4),-0.365699 # DEPENDENCYPART_ARC
(17,5),-1.55877 # DEPENDENCYPART_ARC
(17,6),0.396808 # DEPENDENCYPART_ARC
(17,7),-1.20214 # DEPENDENCYPART_ARC
(17,8),-0.352915 # DEPENDENCYPART_ARC
(17,9),-0.166417 # DEPENDENCYPART_ARC
(17,10),-0.209033 # DEPENDENCYPART_ARC
(17,11),-0.317921 # DEPENDENCYPART_ARC
(17,12),0.650925 # DEPENDENCYPART_ARC
(17,13),0.589311 # DEPENDENCYPART_ARC
(17,14),0.700582 # DEPENDENCYPART_ARC
(17,15),1.19203 # DEPENDENCYPART_ARC
(17,16),4.39452 # DEPENDENCYPART_ARC
(17,18),3.81887 # DEPENDENCYPART_ARC
(17,19),-0.139572 # DEPENDENCYPART_ARC
(17,20),0.633449 # DEPENDENCYPART_ARC
(17,21),2.93993 # DEPENDENCYPART_ARC
(18,1),-2.96715 # DEPENDENCYPART_ARC
(18,2),-3.25423 # DEPENDENCYPART_ARC
(18,3),-2.78072 # DEPENDENCYPART_ARC
(18,4),-3.50964 # DEPENDENCYPART_ARC
(18,5),-2.74429 # DEPENDENCYPART_ARC
(18,6),-3.1134 # DEPENDENCYPART_ARC
(18,7),-3.04476 # DEPENDENCYPART_ARC
(18,8),-3.01343 # DEPENDENCYPART_ARC
(18,9),-2.40777 # DEPENDENCYPART_ARC
(18,10),-2.2867 # DEPENDENCYPART_ARC
(18,11),-2.54331 # DEPENDENCYPART_ARC
(18,12),-2.37566 # DEPENDENCYPART_ARC
(18,13),-1.87027 # DEPENDENCYPART_ARC
(18,14),-1.21057 # DEPENDENCYPART_ARC
(18,15),-1.91229 # DEPENDENCYPART_ARC
(18,16),-1.24501 # DEPENDENCYPART_ARC
(18,17),-0.796446 # DEPENDENCYPART_ARC
(18,19),-0.25825 # DEPENDENCYPART_ARC
(18,20),2.66414 # DEPENDENCYPART_ARC
(18,21),0.000611354 # DEPENDENCYPART_ARC
(19,1),-5.05407 # DEPENDENCYPART_ARC
(19,2),-4.20424 # DEPENDENCYPART_ARC
(19,3),-4.58905 # DEPENDENCYPART_ARC
(19,4),-3.65968 # DEPENDENCYPART_ARC
(19,5),-4.40246 # DEPENDENCYPART_ARC
(19,6),-4.00374 # DEPENDENCYPART_ARC
(19,7),-3.49547 # DEPENDENCYPART_ARC
(19,8),-3.53618 # DEPENDENCYPART_ARC
(19,10),-2.81128 # DEPENDENCYPART_ARC
(19,11),-4.14512 # DEPENDENCYPART_ARC
(19,12),-2.93954 # DEPENDENCYPART_ARC
(19,13),-2.89377 # DEPENDENCYPART_ARC
(19,14),-2.5951 # DEPENDENCYPART_ARC
(19,15),-3.64638 # DEPENDENCYPART_ARC
(19,18),-0.514684 # DEPENDENCYPART_ARC
(19,20),0.297367 # DEPENDENCYPART_ARC
(20,1),-2.42464 # DEPENDENCYPART_ARC
(20,2),-2.67559 # DEPENDENCYPART_ARC
(20,3),-1.57229 # DEPENDENCYPART_ARC
(20,4),-1.70584 # DEPENDENCYPART_ARC
(20,5),-1.97648 # DEPENDENCYPART_ARC
(20,6),-2.43929 # DEPENDENCYPART_ARC
(20,7),-0.229101 # DEPENDENCYPART_ARC
(20,9),-2.11402 # DEPENDENCYPART_ARC
(20,10),-0.091056 # DEPENDENCYPART_ARC
(20,11),-0.861081 # DEPENDENCYPART_ARC
(20,12),-1.39875 # DEPENDENCYPART_ARC
(20,13),-1.51165 # DEPENDENCYPART_ARC
(20,14),-0.766487 # DEPENDENCYPART_ARC
(20,15),-0.827442 # DEPENDENCYPART_ARC
(20,17),-1.01086 # DEPENDENCYPART_ARC
(20,18),0.576589 # DEPENDENCYPART_ARC
(20,19),3.09671 # DEPENDENCYPART_ARC
(20,21),0.623136 # DEPENDENCYPART_ARC
(21,13),-1.91687 # DEPENDENCYPART_ARC
