# _root_ El port de Tarragona rebrà , durant tot el mes_de_juny , fins_a cinc creuers de luxe i vora mil passatgers .
#goldHeads=2,5,2,3,0,7,5,9,10,7,7,13,14,5,14,15,14,19,20,14,5,
#predictedHeads=2,5,2,3,0,7,5,9,10,7,7,13,14,5,14,15,14,19,20,14,5,
(3,7),-1.06822 # DEPENDENCYPART_ARC
(3,8),-3.01384 # DEPENDENCYPART_ARC
(3,9),-2.94475 # DEPENDENCYPART_ARC
(3,10),-2.38093 # DEPENDENCYPART_ARC
(3,11),-1.48324 # DEPENDENCYPART_ARC
(3,12),-2.33722 # DEPENDENCYPART_ARC
(3,13),-2.10328 # DEPENDENCYPART_ARC
(3,14),-4.18594 # DEPENDENCYPART_ARC
(3,15),-2.1551 # DEPENDENCYPART_ARC
(3,16),-5.54706 # DEPENDENCYPART_ARC
(3,17),-0.808885 # DEPENDENCYPART_ARC
(3,18),-2.37167 # DEPENDENCYPART_ARC
(3,19),-3.49417 # DEPENDENCYPART_ARC
(3,20),-7.2389 # DEPENDENCYPART_ARC
(3,21),-1.88631 # DEPENDENCYPART_ARC
(4,1),1.16586 # DEPENDENCYPART_ARC
(4,2),-0.0458866 # DEPENDENCYPART_ARC
(4,3),1.69591 # DEPENDENCYPART_ARC
(4,5),0.174682 # DEPENDENCYPART_ARC
(4,6),-1.90698 # DEPENDENCYPART_ARC
(4,7),-2.76082 # DEPENDENCYPART_ARC
(4,8),-2.66373 # DEPENDENCYPART_ARC
(4,9),-2.83097 # DEPENDENCYPART_ARC
(4,10),-2.28786 # DEPENDENCYPART_ARC
(4,11),-1.98751 # DEPENDENCYPART_ARC
(4,12),-1.85912 # DEPENDENCYPART_ARC
(4,13),-3.1227 # DEPENDENCYPART_ARC
(4,14),-3.1438 # DEPENDENCYPART_ARC
(4,15),-3.45358 # DEPENDENCYPART_ARC
(4,16),-2.55672 # DEPENDENCYPART_ARC
(4,17),-1.89285 # DEPENDENCYPART_ARC
(4,18),-2.80536 # DEPENDENCYPART_ARC
(4,19),-2.83802 # DEPENDENCYPART_ARC
(4,20),-2.33533 # DEPENDENCYPART_ARC
(4,21),-0.790609 # DEPENDENCYPART_ARC
(5,1),-0.346181 # DEPENDENCYPART_ARC
(5,2),2.64886 # DEPENDENCYPART_ARC
(5,3),0.781634 # DEPENDENCYPART_ARC
(5,4),1.92681 # DEPENDENCYPART_ARC
(5,6),0.824502 # DEPENDENCYPART_ARC
(5,7),2.78972 # DEPENDENCYPART_ARC
(5,8),-2.2498 # DEPENDENCYPART_ARC
(5,9),-2.37583 # DEPENDENCYPART_ARC
(5,10),1.26742 # DEPENDENCYPART_ARC
(5,11),0.271278 # DEPENDENCYPART_ARC
(5,12),0.183887 # DEPENDENCYPART_ARC
(5,13),-1.87837 # DEPENDENCYPART_ARC
(5,14),1.30635 # DEPENDENCYPART_ARC
(5,15),-0.423078 # DEPENDENCYPART_ARC
(5,16),0.25263 # DEPENDENCYPART_ARC
(5,17),0.470122 # DEPENDENCYPART_ARC
(5,18),-0.861349 # DEPENDENCYPART_ARC
(5,19),-0.098369 # DEPENDENCYPART_ARC
(5,20),0.323434 # DEPENDENCYPART_ARC
(5,21),5.31856 # DEPENDENCYPART_ARC
(6,1),-3.05152 # DEPENDENCYPART_ARC
(6,2),-3.38 # DEPENDENCYPART_ARC
(6,3),-2.27577 # DEPENDENCYPART_ARC
(6,4),-2.66057 # DEPENDENCYPART_ARC
(6,5),-1.51103 # DEPENDENCYPART_ARC
(6,7),-1.09703 # DEPENDENCYPART_ARC
(6,8),-1.76257 # DEPENDENCYPART_ARC
(6,9),-2.1244 # DEPENDENCYPART_ARC
(6,10),-1.43523 # DEPENDENCYPART_ARC
(6,11),-1.22551 # DEPENDENCYPART_ARC
(6,12),-2.00002 # DEPENDENCYPART_ARC
(6,13),-2.45965 # DEPENDENCYPART_ARC
(6,14),-1.93165 # DEPENDENCYPART_ARC
(6,15),-2.04426 # DEPENDENCYPART_ARC
(6,16),-2.05704 # DEPENDENCYPART_ARC
(6,17),-0.60418 # DEPENDENCYPART_ARC
(6,18),-2.00424 # DEPENDENCYPART_ARC
(6,19),-1.17212 # DEPENDENCYPART_ARC
(6,20),-1.92869 # DEPENDENCYPART_ARC
(6,21),-1.13944 # DEPENDENCYPART_ARC
(7,1),-1.77038 # DEPENDENCYPART_ARC
(7,2),-2.69709 # DEPENDENCYPART_ARC
(7,3),-1.53202 # DEPENDENCYPART_ARC
(7,4),-1.97768 # DEPENDENCYPART_ARC
(7,5),0.0366058 # DEPENDENCYPART_ARC
(7,6),2.44484 # DEPENDENCYPART_ARC
(7,8),1.16477 # DEPENDENCYPART_ARC
(7,9),1.2186 # DEPENDENCYPART_ARC
(7,10),2.76913 # DEPENDENCYPART_ARC
(7,11),3.12986 # DEPENDENCYPART_ARC
(7,12),0.540963 # DEPENDENCYPART_ARC
(7,13),0.582538 # DEPENDENCYPART_ARC
(7,14),0.748323 # DEPENDENCYPART_ARC
(7,15),-0.365464 # DEPENDENCYPART_ARC
(7,16),-0.827957 # DEPENDENCYPART_ARC
(7,17),1.10063 # DEPENDENCYPART_ARC
(7,18),0.401155 # DEPENDENCYPART_ARC
(7,19),-0.326964 # DEPENDENCYPART_ARC
(7,20),-1.60295 # DEPENDENCYPART_ARC
(7,21),2.01747 # DEPENDENCYPART_ARC
(8,1),-3.52274 # DEPENDENCYPART_ARC
(8,2),-3.2847 # DEPENDENCYPART_ARC
(8,3),-2.58549 # DEPENDENCYPART_ARC
(8,4),-2.48017 # DEPENDENCYPART_ARC
(8,5),-3.09676 # DEPENDENCYPART_ARC
(8,6),-1.4178 # DEPENDENCYPART_ARC
(8,7),-0.513197 # DEPENDENCYPART_ARC
(8,9),1.93773 # DEPENDENCYPART_ARC
(8,10),0.37256 # DEPENDENCYPART_ARC
(8,11),-1.02746 # DEPENDENCYPART_ARC
(8,12),-1.26009 # DEPENDENCYPART_ARC
(8,13),0.649862 # DEPENDENCYPART_ARC
(8,14),-2.65088 # DEPENDENCYPART_ARC
(8,15),-1.72218 # DEPENDENCYPART_ARC
(8,16),-2.85377 # DEPENDENCYPART_ARC
(8,17),-1.90156 # DEPENDENCYPART_ARC
(8,18),-1.93406 # DEPENDENCYPART_ARC
(8,19),-1.10291 # DEPENDENCYPART_ARC
(8,20),-3.74004 # DEPENDENCYPART_ARC
(8,21),-1.93229 # DEPENDENCYPART_ARC
(9,1),-1.20807 # DEPENDENCYPART_ARC
(9,2),-1.58872 # DEPENDENCYPART_ARC
(9,3),-0.910857 # DEPENDENCYPART_ARC
(9,4),-0.863046 # DEPENDENCYPART_ARC
(9,5),-1.52562 # DEPENDENCYPART_ARC
(9,6),0.124607 # DEPENDENCYPART_ARC
(9,7),0.505456 # DEPENDENCYPART_ARC
(9,8),4.51518 # DEPENDENCYPART_ARC
(9,10),0.528089 # DEPENDENCYPART_ARC
(9,11),-1.13084 # DEPENDENCYPART_ARC
(9,12),-1.27997 # DEPENDENCYPART_ARC
(9,13),-0.395399 # DEPENDENCYPART_ARC
(9,14),-2.87838 # DEPENDENCYPART_ARC
(9,15),-1.84207 # DEPENDENCYPART_ARC
(9,16),-3.28832 # DEPENDENCYPART_ARC
(9,17),-2.35943 # DEPENDENCYPART_ARC
(9,18),-2.09771 # DEPENDENCYPART_ARC
(9,19),-2.09589 # DEPENDENCYPART_ARC
(9,20),-4.13938 # DEPENDENCYPART_ARC
(9,21),-2.6368 # DEPENDENCYPART_ARC
(10,1),-0.642668 # DEPENDENCYPART_ARC
(10,2),-1.76778 # DEPENDENCYPART_ARC
(10,3),-0.83583 # DEPENDENCYPART_ARC
(10,4),-1.42869 # DEPENDENCYPART_ARC
(10,5),-1.01066 # DEPENDENCYPART_ARC
(10,6),1.2154 # DEPENDENCYPART_ARC
(10,7),0.587584 # DEPENDENCYPART_ARC
(10,8),2.59098 # DEPENDENCYPART_ARC
(10,9),4.11021 # DEPENDENCYPART_ARC
(10,11),1.22413 # DEPENDENCYPART_ARC
(10,12),0.101212 # DEPENDENCYPART_ARC
(10,13),-0.342149 # DEPENDENCYPART_ARC
(10,14),0.140726 # DEPENDENCYPART_ARC
(10,15),-0.42098 # DEPENDENCYPART_ARC
(10,16),-0.482498 # DEPENDENCYPART_ARC
(10,17),0.29734 # DEPENDENCYPART_ARC
(10,18),-0.773053 # DEPENDENCYPART_ARC
(10,19),-0.676118 # DEPENDENCYPART_ARC
(10,20),-0.759737 # DEPENDENCYPART_ARC
(10,21),0.341752 # DEPENDENCYPART_ARC
(11,1),-2.56924 # DEPENDENCYPART_ARC
(11,2),-2.69592 # DEPENDENCYPART_ARC
(11,3),-1.90145 # DEPENDENCYPART_ARC
(11,4),-2.43254 # DEPENDENCYPART_ARC
(11,5),-2.21348 # DEPENDENCYPART_ARC
(11,6),-1.33356 # DEPENDENCYPART_ARC
(11,7),-1.08006 # DEPENDENCYPART_ARC
(11,8),-1.1839 # DEPENDENCYPART_ARC
(11,9),-0.425327 # DEPENDENCYPART_ARC
(11,10),-0.112969 # DEPENDENCYPART_ARC
(11,12),-0.686321 # DEPENDENCYPART_ARC
(11,13),-1.36718 # DEPENDENCYPART_ARC
(11,14),-1.15442 # DEPENDENCYPART_ARC
(11,15),-1.45338 # DEPENDENCYPART_ARC
(11,16),-1.54051 # DEPENDENCYPART_ARC
(11,17),-0.335337 # DEPENDENCYPART_ARC
(11,18),-1.48676 # DEPENDENCYPART_ARC
(11,19),-0.921574 # DEPENDENCYPART_ARC
(11,20),-1.49898 # DEPENDENCYPART_ARC
(11,21),-0.741316 # DEPENDENCYPART_ARC
(12,1),-2.24497 # DEPENDENCYPART_ARC
(12,2),-2.5908 # DEPENDENCYPART_ARC
(12,3),-1.95619 # DEPENDENCYPART_ARC
(12,4),-2.2653 # DEPENDENCYPART_ARC
(12,5),-1.57708 # DEPENDENCYPART_ARC
(12,6),-0.327841 # DEPENDENCYPART_ARC
(12,7),-0.802527 # DEPENDENCYPART_ARC
(12,8),-0.732313 # DEPENDENCYPART_ARC
(12,9),-0.544056 # DEPENDENCYPART_ARC
(12,10),-0.473945 # DEPENDENCYPART_ARC
(12,11),1.0329 # DEPENDENCYPART_ARC
(12,13),0.721647 # DEPENDENCYPART_ARC
(12,14),0.287041 # DEPENDENCYPART_ARC
(12,15),-0.582266 # DEPENDENCYPART_ARC
(12,16),-0.469719 # DEPENDENCYPART_ARC
(12,17),0.076317 # DEPENDENCYPART_ARC
(12,18),-0.0217764 # DEPENDENCYPART_ARC
(12,19),-0.676126 # DEPENDENCYPART_ARC
(12,20),-0.575512 # DEPENDENCYPART_ARC
(12,21),0.143294 # DEPENDENCYPART_ARC
(13,1),-1.28318 # DEPENDENCYPART_ARC
(13,2),-1.87672 # DEPENDENCYPART_ARC
(13,3),-1.20256 # DEPENDENCYPART_ARC
(13,4),-1.7821 # DEPENDENCYPART_ARC
(13,5),-0.137946 # DEPENDENCYPART_ARC
(13,6),-0.995594 # DEPENDENCYPART_ARC
(13,7),-0.203688 # DEPENDENCYPART_ARC
(13,8),1.83251 # DEPENDENCYPART_ARC
(13,9),1.16918 # DEPENDENCYPART_ARC
(13,10),-0.613423 # DEPENDENCYPART_ARC
(13,11),0.208556 # DEPENDENCYPART_ARC
(13,12),1.23925 # DEPENDENCYPART_ARC
(13,14),1.58025 # DEPENDENCYPART_ARC
(13,15),1.01174 # DEPENDENCYPART_ARC
(13,16),-1.54702 # DEPENDENCYPART_ARC
(13,17),-0.402431 # DEPENDENCYPART_ARC
(13,18),-0.694558 # DEPENDENCYPART_ARC
(13,19),0.0157144 # DEPENDENCYPART_ARC
(13,20),-2.34516 # DEPENDENCYPART_ARC
(13,21),-1.70407 # DEPENDENCYPART_ARC
(14,1),-4.02515 # DEPENDENCYPART_ARC
(14,2),-2.78986 # DEPENDENCYPART_ARC
(14,3),-2.07421 # DEPENDENCYPART_ARC
(14,4),-1.686 # DEPENDENCYPART_ARC
(14,5),-0.648915 # DEPENDENCYPART_ARC
(14,6),-0.0748662 # DEPENDENCYPART_ARC
(14,7),-0.340564 # DEPENDENCYPART_ARC
(14,8),-0.0399837 # DEPENDENCYPART_ARC
(14,9),0.483685 # DEPENDENCYPART_ARC
(14,10),-1.12588 # DEPENDENCYPART_ARC
(14,11),0.75208 # DEPENDENCYPART_ARC
(14,12),0.916138 # DEPENDENCYPART_ARC
(14,13),3.41393 # DEPENDENCYPART_ARC
(14,15),4.04681 # DEPENDENCYPART_ARC
(14,16),1.45101 # DEPENDENCYPART_ARC
(14,17),1.45332 # DEPENDENCYPART_ARC
(14,18),0.175581 # DEPENDENCYPART_ARC
(14,19),0.591222 # DEPENDENCYPART_ARC
(14,20),2.47898 # DEPENDENCYPART_ARC
(14,21),2.10784 # DEPENDENCYPART_ARC
(15,1),-2.47634 # DEPENDENCYPART_ARC
(15,2),-2.61837 # DEPENDENCYPART_ARC
(15,3),-2.30047 # DEPENDENCYPART_ARC
(15,4),-2.39435 # DEPENDENCYPART_ARC
(15,5),-1.23903 # DEPENDENCYPART_ARC
(15,6),-0.0412322 # DEPENDENCYPART_ARC
(15,7),-1.36471 # DEPENDENCYPART_ARC
(15,8),-1.30298 # DEPENDENCYPART_ARC
(15,9),-1.28171 # DEPENDENCYPART_ARC
(15,10),-1.24296 # DEPENDENCYPART_ARC
(15,11),0.258406 # DEPENDENCYPART_ARC
(15,12),0.0561169 # DEPENDENCYPART_ARC
(15,13),0.779414 # DEPENDENCYPART_ARC
(15,14),0.310893 # DEPENDENCYPART_ARC
(15,16),4.25948 # DEPENDENCYPART_ARC
(15,17),1.04866 # DEPENDENCYPART_ARC
(15,18),-0.441115 # DEPENDENCYPART_ARC
(15,19),-0.617027 # DEPENDENCYPART_ARC
(15,20),0.280879 # DEPENDENCYPART_ARC
(15,21),-0.222572 # DEPENDENCYPART_ARC
(16,1),-5.86172 # DEPENDENCYPART_ARC
(16,2),-2.66192 # DEPENDENCYPART_ARC
(16,3),-1.84253 # DEPENDENCYPART_ARC
(16,4),-1.85162 # DEPENDENCYPART_ARC
(16,5),-2.00324 # DEPENDENCYPART_ARC
(16,6),-0.785169 # DEPENDENCYPART_ARC
(16,7),-0.78891 # DEPENDENCYPART_ARC
(16,8),-1.94188 # DEPENDENCYPART_ARC
(16,9),-1.97934 # DEPENDENCYPART_ARC
(16,10),-1.16284 # DEPENDENCYPART_ARC
(16,11),-0.551515 # DEPENDENCYPART_ARC
(16,12),-0.250882 # DEPENDENCYPART_ARC
(16,13),0.354767 # DEPENDENCYPART_ARC
(16,14),-0.471811 # DEPENDENCYPART_ARC
(16,15),2.05972 # DEPENDENCYPART_ARC
(16,17),0.773336 # DEPENDENCYPART_ARC
(16,18),-0.227329 # DEPENDENCYPART_ARC
(16,19),-0.22901 # DEPENDENCYPART_ARC
(16,20),0.847386 # DEPENDENCYPART_ARC
(16,21),0.307815 # DEPENDENCYPART_ARC
(17,1),-3.9328 # DEPENDENCYPART_ARC
(17,2),-4.10393 # DEPENDENCYPART_ARC
(17,3),-3.16634 # DEPENDENCYPART_ARC
(17,4),-4.05326 # DEPENDENCYPART_ARC
(17,5),-3.58425 # DEPENDENCYPART_ARC
(17,6),-3.1954 # DEPENDENCYPART_ARC
(17,7),-2.54672 # DEPENDENCYPART_ARC
(17,8),-3.43043 # DEPENDENCYPART_ARC
(17,9),-3.30338 # DEPENDENCYPART_ARC
(17,10),-2.82819 # DEPENDENCYPART_ARC
(17,11),-2.78496 # DEPENDENCYPART_ARC
(17,12),-2.62037 # DEPENDENCYPART_ARC
(17,13),-2.44056 # DEPENDENCYPART_ARC
(17,14),-2.71562 # DEPENDENCYPART_ARC
(17,15),-1.3818 # DEPENDENCYPART_ARC
(17,16),-1.38054 # DEPENDENCYPART_ARC
(17,18),-1.37116 # DEPENDENCYPART_ARC
(17,19),-1.19746 # DEPENDENCYPART_ARC
(17,20),-1.54209 # DEPENDENCYPART_ARC
(17,21),-1.12555 # DEPENDENCYPART_ARC
(18,1),-2.10449 # DEPENDENCYPART_ARC
(18,2),-2.73347 # DEPENDENCYPART_ARC
(18,3),-1.35579 # DEPENDENCYPART_ARC
(18,4),-2.49344 # DEPENDENCYPART_ARC
(18,5),-1.68604 # DEPENDENCYPART_ARC
(18,6),-0.569454 # DEPENDENCYPART_ARC
(18,7),-0.34213 # DEPENDENCYPART_ARC
(18,8),-1.3538 # DEPENDENCYPART_ARC
(18,9),-1.45658 # DEPENDENCYPART_ARC
(18,10),-1.10959 # DEPENDENCYPART_ARC
(18,11),-0.375766 # DEPENDENCYPART_ARC
(18,12),-0.550699 # DEPENDENCYPART_ARC
(18,13),-0.717434 # DEPENDENCYPART_ARC
(18,14),-0.918773 # DEPENDENCYPART_ARC
(18,15),0.718767 # DEPENDENCYPART_ARC
(18,16),0.00659729 # DEPENDENCYPART_ARC
(18,17),0.88677 # DEPENDENCYPART_ARC
(18,19),1.42976 # DEPENDENCYPART_ARC
(18,20),0.933427 # DEPENDENCYPART_ARC
(18,21),-0.104724 # DEPENDENCYPART_ARC
(19,1),-2.27858 # DEPENDENCYPART_ARC
(19,2),-2.39979 # DEPENDENCYPART_ARC
(19,3),-0.827943 # DEPENDENCYPART_ARC
(19,4),-2.15421 # DEPENDENCYPART_ARC
(19,5),-1.90331 # DEPENDENCYPART_ARC
(19,6),-1.4831 # DEPENDENCYPART_ARC
(19,7),-0.686247 # DEPENDENCYPART_ARC
(19,8),-1.2059 # DEPENDENCYPART_ARC
(19,9),-0.839464 # DEPENDENCYPART_ARC
(19,10),-0.96631 # DEPENDENCYPART_ARC
(19,11),-1.01369 # DEPENDENCYPART_ARC
(19,12),0.192271 # DEPENDENCYPART_ARC
(19,13),-0.452363 # DEPENDENCYPART_ARC
(19,14),-1.06808 # DEPENDENCYPART_ARC
(19,15),0.560688 # DEPENDENCYPART_ARC
(19,16),-0.448665 # DEPENDENCYPART_ARC
(19,17),0.16852 # DEPENDENCYPART_ARC
(19,18),2.48472 # DEPENDENCYPART_ARC
(19,20),1.16849 # DEPENDENCYPART_ARC
(19,21),-0.177059 # DEPENDENCYPART_ARC
(20,1),-5.03887 # DEPENDENCYPART_ARC
(20,2),-2.5027 # DEPENDENCYPART_ARC
(20,3),-1.44558 # DEPENDENCYPART_ARC
(20,4),-1.10784 # DEPENDENCYPART_ARC
(20,5),0.264717 # DEPENDENCYPART_ARC
(20,6),0.0379966 # DEPENDENCYPART_ARC
(20,7),-0.637478 # DEPENDENCYPART_ARC
(20,8),-0.831848 # DEPENDENCYPART_ARC
(20,9),-1.52672 # DEPENDENCYPART_ARC
(20,10),-0.583219 # DEPENDENCYPART_ARC
(20,11),0.602449 # DEPENDENCYPART_ARC
(20,12),0.0454179 # DEPENDENCYPART_ARC
(20,13),0.0283496 # DEPENDENCYPART_ARC
(20,14),-0.530109 # DEPENDENCYPART_ARC
(20,15),0.607077 # DEPENDENCYPART_ARC
(20,16),0.253343 # DEPENDENCYPART_ARC
(20,17),0.566368 # DEPENDENCYPART_ARC
(20,18),2.07655 # DEPENDENCYPART_ARC
(20,19),3.15394 # DEPENDENCYPART_ARC
(20,21),1.11443 # DEPENDENCYPART_ARC
(21,1),-4.37485 # DEPENDENCYPART_ARC
(21,2),-4.53519 # DEPENDENCYPART_ARC
(21,3),-3.73574 # DEPENDENCYPART_ARC
(21,4),-4.37356 # DEPENDENCYPART_ARC
(21,5),-4.12081 # DEPENDENCYPART_ARC
(21,6),-3.30002 # DEPENDENCYPART_ARC
(21,7),-3.26355 # DEPENDENCYPART_ARC
(21,8),-4.03236 # DEPENDENCYPART_ARC
(21,9),-3.9779 # DEPENDENCYPART_ARC
(21,10),-3.53725 # DEPENDENCYPART_ARC
(21,11),-2.99602 # DEPENDENCYPART_ARC
(21,12),-3.61872 # DEPENDENCYPART_ARC
(21,13),-3.71709 # DEPENDENCYPART_ARC
(21,14),-3.79168 # DEPENDENCYPART_ARC
(21,15),-2.78163 # DEPENDENCYPART_ARC
(21,16),-3.53925 # DEPENDENCYPART_ARC
(21,17),-2.71486 # DEPENDENCYPART_ARC
(21,18),-2.8792 # DEPENDENCYPART_ARC
(21,19),-2.42399 # DEPENDENCYPART_ARC
(21,20),-2.13434 # DEPENDENCYPART_ARC
