# _root_ Sonaven molt bé , sens dubte , però el volum sonor no està de més en aquesta mena d' exhibicions de la música barroca .
#goldHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
#predictedHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
(3,4),1.79307 # DEPENDENCYPART_ARC
(3,5),-0.10615 # DEPENDENCYPART_ARC
(3,6),-0.471868 # DEPENDENCYPART_ARC
(3,7),-0.398566 # DEPENDENCYPART_ARC
(3,8),-0.00836646 # DEPENDENCYPART_ARC
(3,9),-1.63926 # DEPENDENCYPART_ARC
(3,10),-1.3128 # DEPENDENCYPART_ARC
(3,11),-1.19818 # DEPENDENCYPART_ARC
(3,12),-1.24506 # DEPENDENCYPART_ARC
(3,13),-0.576906 # DEPENDENCYPART_ARC
(3,14),-1.8434 # DEPENDENCYPART_ARC
(3,15),-1.20176 # DEPENDENCYPART_ARC
(3,16),-2.21757 # DEPENDENCYPART_ARC
(3,18),-2.41701 # DEPENDENCYPART_ARC
(3,19),-2.18299 # DEPENDENCYPART_ARC
(3,20),-2.45787 # DEPENDENCYPART_ARC
(3,21),-3.08846 # DEPENDENCYPART_ARC
(3,22),-2.5041 # DEPENDENCYPART_ARC
(3,23),-2.42287 # DEPENDENCYPART_ARC
(3,24),-2.21558 # DEPENDENCYPART_ARC
(3,25),-1.17926 # DEPENDENCYPART_ARC
(4,6),-0.822013 # DEPENDENCYPART_ARC
(4,7),-0.542531 # DEPENDENCYPART_ARC
(4,10),-1.46371 # DEPENDENCYPART_ARC
(4,11),-1.34215 # DEPENDENCYPART_ARC
(4,18),-2.0131 # DEPENDENCYPART_ARC
(4,20),-2.0382 # DEPENDENCYPART_ARC
(4,23),-2.20316 # DEPENDENCYPART_ARC
(4,24),-2.12271 # DEPENDENCYPART_ARC
(5,1),0.338992 # DEPENDENCYPART_ARC
(5,2),-0.0330242 # DEPENDENCYPART_ARC
(5,3),0.369711 # DEPENDENCYPART_ARC
(5,4),2.23551 # DEPENDENCYPART_ARC
(5,6),4.11342 # DEPENDENCYPART_ARC
(5,7),2.46785 # DEPENDENCYPART_ARC
(5,8),0.48259 # DEPENDENCYPART_ARC
(5,9),-2.08583 # DEPENDENCYPART_ARC
(5,10),-1.61365 # DEPENDENCYPART_ARC
(5,11),-2.0127 # DEPENDENCYPART_ARC
(5,12),-1.35882 # DEPENDENCYPART_ARC
(5,13),-1.78907 # DEPENDENCYPART_ARC
(5,14),-1.22772 # DEPENDENCYPART_ARC
(5,15),-2.06926 # DEPENDENCYPART_ARC
(5,16),-0.717859 # DEPENDENCYPART_ARC
(5,18),-4.40091 # DEPENDENCYPART_ARC
(5,19),-1.50602 # DEPENDENCYPART_ARC
(5,20),-4.9688 # DEPENDENCYPART_ARC
(5,21),-1.64463 # DEPENDENCYPART_ARC
(5,22),-3.27101 # DEPENDENCYPART_ARC
(5,23),-6.90947 # DEPENDENCYPART_ARC
(5,24),-3.57764 # DEPENDENCYPART_ARC
(5,25),0.958825 # DEPENDENCYPART_ARC
(6,1),-3.39356 # DEPENDENCYPART_ARC
(6,2),-0.770928 # DEPENDENCYPART_ARC
(6,3),-1.15184 # DEPENDENCYPART_ARC
(6,4),-0.444398 # DEPENDENCYPART_ARC
(6,5),0.568211 # DEPENDENCYPART_ARC
(6,7),0.633856 # DEPENDENCYPART_ARC
(6,8),0.877884 # DEPENDENCYPART_ARC
(6,9),-0.99669 # DEPENDENCYPART_ARC
(6,10),0.990022 # DEPENDENCYPART_ARC
(6,11),1.61026 # DEPENDENCYPART_ARC
(6,12),-0.933307 # DEPENDENCYPART_ARC
(6,13),0.155972 # DEPENDENCYPART_ARC
(6,14),-1.84153 # DEPENDENCYPART_ARC
(6,15),-0.801117 # DEPENDENCYPART_ARC
(6,16),-1.76548 # DEPENDENCYPART_ARC
(6,17),-2.95818 # DEPENDENCYPART_ARC
(6,18),-1.20368 # DEPENDENCYPART_ARC
(6,19),-1.76631 # DEPENDENCYPART_ARC
(6,20),-1.19605 # DEPENDENCYPART_ARC
(6,21),-3.14292 # DEPENDENCYPART_ARC
(6,22),-3.46551 # DEPENDENCYPART_ARC
(6,23),-1.94294 # DEPENDENCYPART_ARC
(6,24),-1.61318 # DEPENDENCYPART_ARC
(6,25),0.554661 # DEPENDENCYPART_ARC
(7,4),-0.732257 # DEPENDENCYPART_ARC
(7,6),-1.06838 # DEPENDENCYPART_ARC
(7,10),-0.941429 # DEPENDENCYPART_ARC
(7,11),-1.01568 # DEPENDENCYPART_ARC
(7,18),-1.75957 # DEPENDENCYPART_ARC
(7,20),-1.83928 # DEPENDENCYPART_ARC
(7,23),-1.92541 # DEPENDENCYPART_ARC
(7,24),-1.92657 # DEPENDENCYPART_ARC
(8,4),-1.51205 # DEPENDENCYPART_ARC
(8,7),0.565137 # DEPENDENCYPART_ARC
(9,2),-1.82629 # DEPENDENCYPART_ARC
(9,3),-2.0648 # DEPENDENCYPART_ARC
(9,5),-1.16261 # DEPENDENCYPART_ARC
(9,6),-1.76038 # DEPENDENCYPART_ARC
(9,8),0.0230249 # DEPENDENCYPART_ARC
(9,10),-0.612625 # DEPENDENCYPART_ARC
(9,11),-0.8409 # DEPENDENCYPART_ARC
(9,14),-2.16882 # DEPENDENCYPART_ARC
(9,15),-2.15994 # DEPENDENCYPART_ARC
(9,16),-3.5696 # DEPENDENCYPART_ARC
(9,17),-3.62775 # DEPENDENCYPART_ARC
(9,18),-3.86844 # DEPENDENCYPART_ARC
(9,19),-2.82692 # DEPENDENCYPART_ARC
(9,20),-4.79245 # DEPENDENCYPART_ARC
(9,21),-3.82846 # DEPENDENCYPART_ARC
(9,22),-5.52965 # DEPENDENCYPART_ARC
(9,23),-5.04751 # DEPENDENCYPART_ARC
(9,24),-4.71444 # DEPENDENCYPART_ARC
(10,1),-2.06722 # DEPENDENCYPART_ARC
(10,2),-0.560206 # DEPENDENCYPART_ARC
(10,3),-1.1734 # DEPENDENCYPART_ARC
(10,4),-0.536905 # DEPENDENCYPART_ARC
(10,5),-0.289049 # DEPENDENCYPART_ARC
(10,6),-1.0036 # DEPENDENCYPART_ARC
(10,7),-0.147449 # DEPENDENCYPART_ARC
(10,8),0.186647 # DEPENDENCYPART_ARC
(10,9),3.95842 # DEPENDENCYPART_ARC
(10,11),4.01018 # DEPENDENCYPART_ARC
(10,12),0.614801 # DEPENDENCYPART_ARC
(10,13),1.85418 # DEPENDENCYPART_ARC
(10,14),0.114068 # DEPENDENCYPART_ARC
(10,15),0.496418 # DEPENDENCYPART_ARC
(10,16),-0.677051 # DEPENDENCYPART_ARC
(10,17),-1.97075 # DEPENDENCYPART_ARC
(10,18),-0.418208 # DEPENDENCYPART_ARC
(10,19),-0.0379455 # DEPENDENCYPART_ARC
(10,20),-1.00076 # DEPENDENCYPART_ARC
(10,21),-0.990856 # DEPENDENCYPART_ARC
(10,22),-2.64557 # DEPENDENCYPART_ARC
(10,23),-1.28811 # DEPENDENCYPART_ARC
(10,24),-1.276 # DEPENDENCYPART_ARC
(10,25),0.371697 # DEPENDENCYPART_ARC
(11,1),-2.27391 # DEPENDENCYPART_ARC
(11,2),-0.789697 # DEPENDENCYPART_ARC
(11,3),-1.13802 # DEPENDENCYPART_ARC
(11,4),-1.00475 # DEPENDENCYPART_ARC
(11,5),-0.678713 # DEPENDENCYPART_ARC
(11,6),-1.69372 # DEPENDENCYPART_ARC
(11,7),-0.312071 # DEPENDENCYPART_ARC
(11,8),-0.37712 # DEPENDENCYPART_ARC
(11,9),0.781984 # DEPENDENCYPART_ARC
(11,10),0.271591 # DEPENDENCYPART_ARC
(11,12),1.09659 # DEPENDENCYPART_ARC
(11,13),-0.071426 # DEPENDENCYPART_ARC
(11,14),-1.62229 # DEPENDENCYPART_ARC
(11,15),-0.833126 # DEPENDENCYPART_ARC
(11,16),-1.33752 # DEPENDENCYPART_ARC
(11,17),-2.93347 # DEPENDENCYPART_ARC
(11,18),-1.55154 # DEPENDENCYPART_ARC
(11,19),-2.30952 # DEPENDENCYPART_ARC
(11,20),-1.7332 # DEPENDENCYPART_ARC
(11,21),-3.3401 # DEPENDENCYPART_ARC
(11,22),-3.32357 # DEPENDENCYPART_ARC
(11,23),-1.7495 # DEPENDENCYPART_ARC
(11,24),-3.02232 # DEPENDENCYPART_ARC
(11,25),-1.02699 # DEPENDENCYPART_ARC
(12,4),-1.55935 # DEPENDENCYPART_ARC
(12,5),-0.984296 # DEPENDENCYPART_ARC
(12,7),-1.46422 # DEPENDENCYPART_ARC
(12,11),0.232287 # DEPENDENCYPART_ARC
(12,14),-1.49396 # DEPENDENCYPART_ARC
(12,16),-2.37045 # DEPENDENCYPART_ARC
(12,19),-2.40991 # DEPENDENCYPART_ARC
(12,21),-2.95088 # DEPENDENCYPART_ARC
(12,24),-2.40752 # DEPENDENCYPART_ARC
(12,25),-2.64584 # DEPENDENCYPART_ARC
(13,1),-0.35741 # DEPENDENCYPART_ARC
(13,2),-0.445127 # DEPENDENCYPART_ARC
(13,3),-0.503482 # DEPENDENCYPART_ARC
(13,4),-1.73581 # DEPENDENCYPART_ARC
(13,5),0.700033 # DEPENDENCYPART_ARC
(13,6),0.237361 # DEPENDENCYPART_ARC
(13,7),0.000930835 # DEPENDENCYPART_ARC
(13,8),0.998872 # DEPENDENCYPART_ARC
(13,9),-0.371656 # DEPENDENCYPART_ARC
(13,10),2.19223 # DEPENDENCYPART_ARC
(13,11),0.694057 # DEPENDENCYPART_ARC
(13,12),3.35472 # DEPENDENCYPART_ARC
(13,14),1.88236 # DEPENDENCYPART_ARC
(13,15),0.177045 # DEPENDENCYPART_ARC
(13,16),1.62823 # DEPENDENCYPART_ARC
(13,17),-2.38081 # DEPENDENCYPART_ARC
(13,18),2.09542 # DEPENDENCYPART_ARC
(13,19),0.0742479 # DEPENDENCYPART_ARC
(13,20),0.161272 # DEPENDENCYPART_ARC
(13,21),-0.207422 # DEPENDENCYPART_ARC
(13,22),-3.06122 # DEPENDENCYPART_ARC
(13,23),0.875165 # DEPENDENCYPART_ARC
(13,24),0.467014 # DEPENDENCYPART_ARC
(13,25),3.47622 # DEPENDENCYPART_ARC
(14,1),-0.774419 # DEPENDENCYPART_ARC
(14,2),-1.30928 # DEPENDENCYPART_ARC
(14,3),-1.5452 # DEPENDENCYPART_ARC
(14,4),-1.57324 # DEPENDENCYPART_ARC
(14,5),-1.46673 # DEPENDENCYPART_ARC
(14,6),-1.58293 # DEPENDENCYPART_ARC
(14,7),-1.52759 # DEPENDENCYPART_ARC
(14,8),-0.348562 # DEPENDENCYPART_ARC
(14,9),-0.656341 # DEPENDENCYPART_ARC
(14,10),-1.23853 # DEPENDENCYPART_ARC
(14,11),-0.971769 # DEPENDENCYPART_ARC
(14,12),1.17565 # DEPENDENCYPART_ARC
(14,13),1.43548 # DEPENDENCYPART_ARC
(14,15),1.54283 # DEPENDENCYPART_ARC
(14,16),0.253891 # DEPENDENCYPART_ARC
(14,18),2.80856 # DEPENDENCYPART_ARC
(14,19),0.0401154 # DEPENDENCYPART_ARC
(14,20),1.79642 # DEPENDENCYPART_ARC
(14,21),-0.041541 # DEPENDENCYPART_ARC
(14,22),-2.48058 # DEPENDENCYPART_ARC
(14,23),-0.363382 # DEPENDENCYPART_ARC
(14,24),-0.526338 # DEPENDENCYPART_ARC
(14,25),-0.089781 # DEPENDENCYPART_ARC
(15,1),-2.21373 # DEPENDENCYPART_ARC
(15,2),-1.277 # DEPENDENCYPART_ARC
(15,3),-1.60938 # DEPENDENCYPART_ARC
(15,4),-1.0137 # DEPENDENCYPART_ARC
(15,5),-0.955473 # DEPENDENCYPART_ARC
(15,6),-2.32855 # DEPENDENCYPART_ARC
(15,7),-0.975211 # DEPENDENCYPART_ARC
(15,8),-1.22061 # DEPENDENCYPART_ARC
(15,9),-1.7884 # DEPENDENCYPART_ARC
(15,10),-1.70805 # DEPENDENCYPART_ARC
(15,11),-1.20709 # DEPENDENCYPART_ARC
(15,12),-0.643559 # DEPENDENCYPART_ARC
(15,13),-0.346952 # DEPENDENCYPART_ARC
(15,14),0.88683 # DEPENDENCYPART_ARC
(15,16),0.632273 # DEPENDENCYPART_ARC
(15,18),-0.43601 # DEPENDENCYPART_ARC
(15,19),-1.45736 # DEPENDENCYPART_ARC
(15,20),-0.689391 # DEPENDENCYPART_ARC
(15,21),-1.36793 # DEPENDENCYPART_ARC
(15,22),-1.86735 # DEPENDENCYPART_ARC
(15,23),-0.827657 # DEPENDENCYPART_ARC
(15,24),-1.2159 # DEPENDENCYPART_ARC
(15,25),-1.60142 # DEPENDENCYPART_ARC
(16,1),-0.636704 # DEPENDENCYPART_ARC
(16,2),-0.912325 # DEPENDENCYPART_ARC
(16,3),-1.38064 # DEPENDENCYPART_ARC
(16,4),-1.20023 # DEPENDENCYPART_ARC
(16,5),-2.32884 # DEPENDENCYPART_ARC
(16,6),-2.26726 # DEPENDENCYPART_ARC
(16,7),-1.2636 # DEPENDENCYPART_ARC
(16,8),-0.613275 # DEPENDENCYPART_ARC
(16,9),-2.02881 # DEPENDENCYPART_ARC
(16,10),-2.11339 # DEPENDENCYPART_ARC
(16,11),-1.53082 # DEPENDENCYPART_ARC
(16,12),-0.0967917 # DEPENDENCYPART_ARC
(16,13),-0.211326 # DEPENDENCYPART_ARC
(16,14),0.000878945 # DEPENDENCYPART_ARC
(16,15),0.556608 # DEPENDENCYPART_ARC
(16,18),4.44693 # DEPENDENCYPART_ARC
(16,19),0.20457 # DEPENDENCYPART_ARC
(16,20),1.49392 # DEPENDENCYPART_ARC
(16,21),-0.575508 # DEPENDENCYPART_ARC
(16,22),-2.05391 # DEPENDENCYPART_ARC
(16,23),-1.14564 # DEPENDENCYPART_ARC
(16,24),-1.21691 # DEPENDENCYPART_ARC
(16,25),0.148593 # DEPENDENCYPART_ARC
(17,2),-2.73438 # DEPENDENCYPART_ARC
(17,3),-3.10707 # DEPENDENCYPART_ARC
(17,8),-2.93593 # DEPENDENCYPART_ARC
(17,11),-3.20061 # DEPENDENCYPART_ARC
(17,15),0.669087 # DEPENDENCYPART_ARC
(17,24),-1.74978 # DEPENDENCYPART_ARC
(18,1),-2.78884 # DEPENDENCYPART_ARC
(18,2),-1.34589 # DEPENDENCYPART_ARC
(18,3),-2.12032 # DEPENDENCYPART_ARC
(18,4),-1.644 # DEPENDENCYPART_ARC
(18,5),-2.67034 # DEPENDENCYPART_ARC
(18,6),-2.71362 # DEPENDENCYPART_ARC
(18,7),-1.79557 # DEPENDENCYPART_ARC
(18,8),-1.98905 # DEPENDENCYPART_ARC
(18,9),-3.06589 # DEPENDENCYPART_ARC
(18,10),-2.49347 # DEPENDENCYPART_ARC
(18,11),-2.73204 # DEPENDENCYPART_ARC
(18,12),-0.411779 # DEPENDENCYPART_ARC
(18,13),-1.73464 # DEPENDENCYPART_ARC
(18,14),-0.892221 # DEPENDENCYPART_ARC
(18,15),0.248782 # DEPENDENCYPART_ARC
(18,16),0.317991 # DEPENDENCYPART_ARC
(18,17),3.81739 # DEPENDENCYPART_ARC
(18,19),2.43688 # DEPENDENCYPART_ARC
(18,20),0.197834 # DEPENDENCYPART_ARC
(18,21),1.12729 # DEPENDENCYPART_ARC
(18,22),-2.24164 # DEPENDENCYPART_ARC
(18,23),-0.123434 # DEPENDENCYPART_ARC
(18,24),0.855469 # DEPENDENCYPART_ARC
(18,25),0.148604 # DEPENDENCYPART_ARC
(19,1),-1.12626 # DEPENDENCYPART_ARC
(19,2),-2.09464 # DEPENDENCYPART_ARC
(19,3),-2.38695 # DEPENDENCYPART_ARC
(19,4),-2.63719 # DEPENDENCYPART_ARC
(19,5),-3.02623 # DEPENDENCYPART_ARC
(19,6),-2.42202 # DEPENDENCYPART_ARC
(19,7),-2.63954 # DEPENDENCYPART_ARC
(19,8),-1.26557 # DEPENDENCYPART_ARC
(19,9),-2.26312 # DEPENDENCYPART_ARC
(19,10),-2.39399 # DEPENDENCYPART_ARC
(19,11),-2.1753 # DEPENDENCYPART_ARC
(19,12),-1.48417 # DEPENDENCYPART_ARC
(19,13),-0.896168 # DEPENDENCYPART_ARC
(19,14),-1.46406 # DEPENDENCYPART_ARC
(19,15),-1.29701 # DEPENDENCYPART_ARC
(19,16),-0.584222 # DEPENDENCYPART_ARC
(19,18),0.493739 # DEPENDENCYPART_ARC
(19,20),4.41301 # DEPENDENCYPART_ARC
(19,21),0.283442 # DEPENDENCYPART_ARC
(19,22),-2.74432 # DEPENDENCYPART_ARC
(19,23),0.776677 # DEPENDENCYPART_ARC
(19,24),-1.3531 # DEPENDENCYPART_ARC
(19,25),-0.743266 # DEPENDENCYPART_ARC
(20,1),-1.2011 # DEPENDENCYPART_ARC
(20,2),-1.5361 # DEPENDENCYPART_ARC
(20,3),-2.05354 # DEPENDENCYPART_ARC
(20,4),-1.76601 # DEPENDENCYPART_ARC
(20,5),-2.46321 # DEPENDENCYPART_ARC
(20,6),-2.60834 # DEPENDENCYPART_ARC
(20,7),-1.87388 # DEPENDENCYPART_ARC
(20,8),-1.77217 # DEPENDENCYPART_ARC
(20,9),-2.89522 # DEPENDENCYPART_ARC
(20,10),-2.45482 # DEPENDENCYPART_ARC
(20,11),-3.64078 # DEPENDENCYPART_ARC
(20,12),-0.700474 # DEPENDENCYPART_ARC
(20,13),-0.549536 # DEPENDENCYPART_ARC
(20,14),-1.07927 # DEPENDENCYPART_ARC
(20,15),-0.216337 # DEPENDENCYPART_ARC
(20,16),-0.23138 # DEPENDENCYPART_ARC
(20,17),1.76928 # DEPENDENCYPART_ARC
(20,18),-0.137323 # DEPENDENCYPART_ARC
(20,19),1.04223 # DEPENDENCYPART_ARC
(20,21),2.86513 # DEPENDENCYPART_ARC
(20,22),-0.99777 # DEPENDENCYPART_ARC
(20,23),0.903943 # DEPENDENCYPART_ARC
(20,24),1.04859 # DEPENDENCYPART_ARC
(20,25),0.437534 # DEPENDENCYPART_ARC
(21,1),-1.40944 # DEPENDENCYPART_ARC
(21,2),-1.82621 # DEPENDENCYPART_ARC
(21,3),-2.19872 # DEPENDENCYPART_ARC
(21,4),-2.27838 # DEPENDENCYPART_ARC
(21,5),-2.79576 # DEPENDENCYPART_ARC
(21,6),-2.57674 # DEPENDENCYPART_ARC
(21,7),-2.22177 # DEPENDENCYPART_ARC
(21,8),-1.50076 # DEPENDENCYPART_ARC
(21,9),-2.78883 # DEPENDENCYPART_ARC
(21,10),-2.66328 # DEPENDENCYPART_ARC
(21,11),-2.27796 # DEPENDENCYPART_ARC
(21,12),-1.10101 # DEPENDENCYPART_ARC
(21,13),-1.24337 # DEPENDENCYPART_ARC
(21,14),-1.404 # DEPENDENCYPART_ARC
(21,15),-0.896996 # DEPENDENCYPART_ARC
(21,16),-0.782819 # DEPENDENCYPART_ARC
(21,18),-1.34786 # DEPENDENCYPART_ARC
(21,19),-0.094592 # DEPENDENCYPART_ARC
(21,20),0.288276 # DEPENDENCYPART_ARC
(21,22),-0.378682 # DEPENDENCYPART_ARC
(21,23),4.43362 # DEPENDENCYPART_ARC
(21,24),0.596686 # DEPENDENCYPART_ARC
(21,25),-0.480088 # DEPENDENCYPART_ARC
(22,2),-2.48555 # DEPENDENCYPART_ARC
(22,3),-2.814 # DEPENDENCYPART_ARC
(22,5),-2.79708 # DEPENDENCYPART_ARC
(22,6),-2.8152 # DEPENDENCYPART_ARC
(22,8),-2.43913 # DEPENDENCYPART_ARC
(22,9),-3.8889 # DEPENDENCYPART_ARC
(22,10),-2.75957 # DEPENDENCYPART_ARC
(22,11),-2.79333 # DEPENDENCYPART_ARC
(22,14),-2.2555 # DEPENDENCYPART_ARC
(22,15),0.538932 # DEPENDENCYPART_ARC
(22,16),-1.15432 # DEPENDENCYPART_ARC
(22,17),-0.866687 # DEPENDENCYPART_ARC
(22,18),-1.4191 # DEPENDENCYPART_ARC
(22,19),-1.00122 # DEPENDENCYPART_ARC
(22,20),-0.956862 # DEPENDENCYPART_ARC
(22,21),0.163447 # DEPENDENCYPART_ARC
(22,23),0.757231 # DEPENDENCYPART_ARC
(22,24),-1.25619 # DEPENDENCYPART_ARC
(23,1),-3.1772 # DEPENDENCYPART_ARC
(23,2),-2.15809 # DEPENDENCYPART_ARC
(23,3),-2.56616 # DEPENDENCYPART_ARC
(23,4),-2.57429 # DEPENDENCYPART_ARC
(23,5),-3.22777 # DEPENDENCYPART_ARC
(23,6),-3.02128 # DEPENDENCYPART_ARC
(23,7),-2.53326 # DEPENDENCYPART_ARC
(23,8),-2.00161 # DEPENDENCYPART_ARC
(23,9),-5.63611 # DEPENDENCYPART_ARC
(23,10),-3.10852 # DEPENDENCYPART_ARC
(23,11),-3.30001 # DEPENDENCYPART_ARC
(23,12),-1.11816 # DEPENDENCYPART_ARC
(23,13),-2.32058 # DEPENDENCYPART_ARC
(23,14),-1.61144 # DEPENDENCYPART_ARC
(23,15),-1.5266 # DEPENDENCYPART_ARC
(23,16),-1.45025 # DEPENDENCYPART_ARC
(23,17),-0.672549 # DEPENDENCYPART_ARC
(23,18),-1.37474 # DEPENDENCYPART_ARC
(23,19),-0.850722 # DEPENDENCYPART_ARC
(23,20),-0.264911 # DEPENDENCYPART_ARC
(23,21),0.416102 # DEPENDENCYPART_ARC
(23,22),4.27613 # DEPENDENCYPART_ARC
(23,24),4.19802 # DEPENDENCYPART_ARC
(23,25),0.466759 # DEPENDENCYPART_ARC
(24,1),-3.35259 # DEPENDENCYPART_ARC
(24,2),-3.10006 # DEPENDENCYPART_ARC
(24,3),-3.61149 # DEPENDENCYPART_ARC
(24,4),-3.0102 # DEPENDENCYPART_ARC
(24,5),-3.45511 # DEPENDENCYPART_ARC
(24,6),-3.62535 # DEPENDENCYPART_ARC
(24,7),-2.86703 # DEPENDENCYPART_ARC
(24,8),-2.25517 # DEPENDENCYPART_ARC
(24,9),-2.39173 # DEPENDENCYPART_ARC
(24,10),-3.4438 # DEPENDENCYPART_ARC
(24,11),-4.01981 # DEPENDENCYPART_ARC
(24,12),-2.93565 # DEPENDENCYPART_ARC
(24,13),-3.15316 # DEPENDENCYPART_ARC
(24,14),-2.22418 # DEPENDENCYPART_ARC
(24,15),-2.41278 # DEPENDENCYPART_ARC
(24,16),-1.43298 # DEPENDENCYPART_ARC
(24,17),-1.62393 # DEPENDENCYPART_ARC
(24,18),-2.11307 # DEPENDENCYPART_ARC
(24,19),-1.09136 # DEPENDENCYPART_ARC
(24,20),-2.3032 # DEPENDENCYPART_ARC
(24,21),-0.234078 # DEPENDENCYPART_ARC
(24,22),0.821918 # DEPENDENCYPART_ARC
(24,23),0.189615 # DEPENDENCYPART_ARC
(24,25),-0.746669 # DEPENDENCYPART_ARC
(25,8),-2.03387 # DEPENDENCYPART_ARC
