# _root_ Quan ens movem al_voltant_del 3% , ¿ qui es recorda de l' època dels Pactes_de_la_Moncloa , amb un IPC que gairebé arribava al 30% ?
#goldHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,13,19,17,22,22,19,22,23,10,
#predictedHeads=3,3,0,3,4,3,10,10,10,3,10,13,11,13,14,17,10,19,17,22,22,19,22,23,10,
(19,15),-0.503344 # DEPENDENCYPART_ARC
(19,16),0.572982 # DEPENDENCYPART_ARC
(19,17),1.20141 # DEPENDENCYPART_ARC
(19,18),4.48015 # DEPENDENCYPART_ARC
(19,20),1.2524 # DEPENDENCYPART_ARC
(19,21),0.419802 # DEPENDENCYPART_ARC
(19,22),3.04506 # DEPENDENCYPART_ARC
(19,23),-1.26297 # DEPENDENCYPART_ARC
(19,24),-0.00525387 # DEPENDENCYPART_ARC
(20,1),-2.68527 # DEPENDENCYPART_ARC
(20,3),-2.79244 # DEPENDENCYPART_ARC
(20,4),-3.2855 # DEPENDENCYPART_ARC
(20,10),-2.1477 # DEPENDENCYPART_ARC
(20,11),-1.57511 # DEPENDENCYPART_ARC
(20,12),-3.65442 # DEPENDENCYPART_ARC
(20,13),-3.26847 # DEPENDENCYPART_ARC
(20,14),-1.7365 # DEPENDENCYPART_ARC
(20,17),-0.759819 # DEPENDENCYPART_ARC
(20,18),-1.74088 # DEPENDENCYPART_ARC
(20,22),0.816419 # DEPENDENCYPART_ARC
(20,23),-0.756549 # DEPENDENCYPART_ARC
(21,1),-3.04514 # DEPENDENCYPART_ARC
(21,3),-3.78653 # DEPENDENCYPART_ARC
(21,4),-3.36512 # DEPENDENCYPART_ARC
(21,5),-3.35423 # DEPENDENCYPART_ARC
(21,6),-3.17356 # DEPENDENCYPART_ARC
(21,7),-3.28869 # DEPENDENCYPART_ARC
(21,10),-3.20257 # DEPENDENCYPART_ARC
(21,11),-2.64689 # DEPENDENCYPART_ARC
(21,12),-3.17078 # DEPENDENCYPART_ARC
(21,13),-3.12882 # DEPENDENCYPART_ARC
(21,14),-2.18781 # DEPENDENCYPART_ARC
(21,15),-2.89072 # DEPENDENCYPART_ARC
(21,16),-1.71992 # DEPENDENCYPART_ARC
(21,17),-1.67679 # DEPENDENCYPART_ARC
(21,18),-1.82647 # DEPENDENCYPART_ARC
(21,19),-1.47066 # DEPENDENCYPART_ARC
(21,22),0.331854 # DEPENDENCYPART_ARC
(21,23),-1.38074 # DEPENDENCYPART_ARC
(21,24),-1.59854 # DEPENDENCYPART_ARC
(21,25),-1.87125 # DEPENDENCYPART_ARC
(22,1),1.95383 # DEPENDENCYPART_ARC
(22,2),-1.0595 # DEPENDENCYPART_ARC
(22,3),-0.156436 # DEPENDENCYPART_ARC
(22,4),-0.463593 # DEPENDENCYPART_ARC
(22,5),-0.987169 # DEPENDENCYPART_ARC
(22,6),0.0631409 # DEPENDENCYPART_ARC
(22,7),2.15277 # DEPENDENCYPART_ARC
(22,8),0.661051 # DEPENDENCYPART_ARC
(22,9),0.732193 # DEPENDENCYPART_ARC
(22,10),0.497432 # DEPENDENCYPART_ARC
(22,11),-0.764747 # DEPENDENCYPART_ARC
(22,12),-1.1661 # DEPENDENCYPART_ARC
(22,13),1.11868 # DEPENDENCYPART_ARC
(22,14),-0.644445 # DEPENDENCYPART_ARC
(22,15),0.25583 # DEPENDENCYPART_ARC
(22,16),1.31251 # DEPENDENCYPART_ARC
(22,17),1.79023 # DEPENDENCYPART_ARC
(22,19),1.97234 # DEPENDENCYPART_ARC
(22,20),4.71356 # DEPENDENCYPART_ARC
(22,21),3.69717 # DEPENDENCYPART_ARC
(22,23),3.85376 # DEPENDENCYPART_ARC
(22,24),0.776323 # DEPENDENCYPART_ARC
(22,25),1.63206 # DEPENDENCYPART_ARC
(23,1),-2.96608 # DEPENDENCYPART_ARC
(23,2),-4.77892 # DEPENDENCYPART_ARC
(23,3),-4.99036 # DEPENDENCYPART_ARC
(23,4),-4.64368 # DEPENDENCYPART_ARC
(23,5),-3.20815 # DEPENDENCYPART_ARC
(23,6),-3.62692 # DEPENDENCYPART_ARC
(23,7),-2.42906 # DEPENDENCYPART_ARC
(23,8),-4.16827 # DEPENDENCYPART_ARC
(23,9),-3.36631 # DEPENDENCYPART_ARC
(23,10),-3.79388 # DEPENDENCYPART_ARC
(23,11),-3.58287 # DEPENDENCYPART_ARC
(23,12),-3.43928 # DEPENDENCYPART_ARC
(23,13),-3.055 # DEPENDENCYPART_ARC
(23,14),-3.8993 # DEPENDENCYPART_ARC
(23,15),-3.35771 # DEPENDENCYPART_ARC
(23,16),-2.28958 # DEPENDENCYPART_ARC
(23,17),-2.49629 # DEPENDENCYPART_ARC
(23,18),-2.26 # DEPENDENCYPART_ARC
(23,19),-2.75279 # DEPENDENCYPART_ARC
(23,20),-2.37021 # DEPENDENCYPART_ARC
(23,21),-0.816202 # DEPENDENCYPART_ARC
(23,22),-0.72889 # DEPENDENCYPART_ARC
(23,24),2.48814 # DEPENDENCYPART_ARC
(23,25),0.0244863 # DEPENDENCYPART_ARC
(24,1),-2.79123 # DEPENDENCYPART_ARC
(24,3),-3.55492 # DEPENDENCYPART_ARC
(24,4),-1.77428 # DEPENDENCYPART_ARC
(24,5),-2.96958 # DEPENDENCYPART_ARC
(24,6),-2.92194 # DEPENDENCYPART_ARC
(24,10),-3.15765 # DEPENDENCYPART_ARC
(24,11),-1.74998 # DEPENDENCYPART_ARC
(24,12),-2.30585 # DEPENDENCYPART_ARC
(24,13),-3.08737 # DEPENDENCYPART_ARC
(24,14),-0.893891 # DEPENDENCYPART_ARC
(24,16),-2.01816 # DEPENDENCYPART_ARC
(24,17),-1.67988 # DEPENDENCYPART_ARC
(24,18),-1.19304 # DEPENDENCYPART_ARC
(24,21),-0.293398 # DEPENDENCYPART_ARC
(24,22),-0.873531 # DEPENDENCYPART_ARC
(24,23),0.768375 # DEPENDENCYPART_ARC
