# _root_ Mas i Duran van anar ahir , per_separat , al festival de Justo_Molinero al recinte de Can_Zam de Santa_Coloma_de_Gramenet .
#goldHeads=5,1,1,5,0,5,8,5,8,5,10,11,12,5,14,15,16,15,18,5,
#predictedHeads=5,1,1,5,0,5,8,5,8,5,10,11,12,11,14,15,16,17,18,5,
(8,13),-0.939292 # DEPENDENCYPART_ARC
(8,14),-1.34607 # DEPENDENCYPART_ARC
(8,15),-1.29879 # DEPENDENCYPART_ARC
(8,16),-1.6127 # DEPENDENCYPART_ARC
(8,17),-1.39479 # DEPENDENCYPART_ARC
(8,18),-1.88224 # DEPENDENCYPART_ARC
(8,19),-1.09116 # DEPENDENCYPART_ARC
(8,20),-1.99876 # DEPENDENCYPART_ARC
(9,7),-0.15369 # DEPENDENCYPART_ARC
(9,11),-0.752725 # DEPENDENCYPART_ARC
(9,15),-1.63161 # DEPENDENCYPART_ARC
(10,1),-2.67195 # DEPENDENCYPART_ARC
(10,2),-1.18155 # DEPENDENCYPART_ARC
(10,3),-2.7187 # DEPENDENCYPART_ARC
(10,4),-2.52076 # DEPENDENCYPART_ARC
(10,5),-1.56927 # DEPENDENCYPART_ARC
(10,6),-1.33448 # DEPENDENCYPART_ARC
(10,7),0.572524 # DEPENDENCYPART_ARC
(10,8),0.826935 # DEPENDENCYPART_ARC
(10,9),1.70285 # DEPENDENCYPART_ARC
(10,11),3.81669 # DEPENDENCYPART_ARC
(10,12),-0.113843 # DEPENDENCYPART_ARC
(10,13),0.528698 # DEPENDENCYPART_ARC
(10,14),0.434153 # DEPENDENCYPART_ARC
(10,15),-0.283111 # DEPENDENCYPART_ARC
(10,16),-1.1269 # DEPENDENCYPART_ARC
(10,17),-2.22833 # DEPENDENCYPART_ARC
(10,18),-1.33441 # DEPENDENCYPART_ARC
(10,19),-2.88914 # DEPENDENCYPART_ARC
(10,20),0.883355 # DEPENDENCYPART_ARC
(11,1),-3.4763 # DEPENDENCYPART_ARC
(11,2),-2.58097 # DEPENDENCYPART_ARC
(11,3),-3.33086 # DEPENDENCYPART_ARC
(11,4),-4.93469 # DEPENDENCYPART_ARC
(11,5),-3.86742 # DEPENDENCYPART_ARC
(11,6),-2.16298 # DEPENDENCYPART_ARC
(11,7),-1.41711 # DEPENDENCYPART_ARC
(11,8),-1.46667 # DEPENDENCYPART_ARC
(11,9),-0.937791 # DEPENDENCYPART_ARC
(11,10),-0.290674 # DEPENDENCYPART_ARC
(11,12),3.41193 # DEPENDENCYPART_ARC
(11,13),1.33676 # DEPENDENCYPART_ARC
(11,14),1.55712 # DEPENDENCYPART_ARC
(11,15),0.800202 # DEPENDENCYPART_ARC
(11,16),1.63466 # DEPENDENCYPART_ARC
(11,17),0.462394 # DEPENDENCYPART_ARC
(11,18),1.06651 # DEPENDENCYPART_ARC
(11,19),0.410844 # DEPENDENCYPART_ARC
(11,20),0.272787 # DEPENDENCYPART_ARC
(12,1),-2.51768 # DEPENDENCYPART_ARC
(12,2),-1.46838 # DEPENDENCYPART_ARC
(12,3),-2.67426 # DEPENDENCYPART_ARC
(12,4),-1.21125 # DEPENDENCYPART_ARC
(12,5),-1.27364 # DEPENDENCYPART_ARC
(12,6),-1.52371 # DEPENDENCYPART_ARC
(12,7),0.052627 # DEPENDENCYPART_ARC
(12,8),-0.193835 # DEPENDENCYPART_ARC
(12,9),0.207696 # DEPENDENCYPART_ARC
(12,10),-0.0189162 # DEPENDENCYPART_ARC
(12,11),0.689084 # DEPENDENCYPART_ARC
(12,13),3.68847 # DEPENDENCYPART_ARC
(12,14),-0.330835 # DEPENDENCYPART_ARC
(12,15),0.985739 # DEPENDENCYPART_ARC
(12,16),-0.0553397 # DEPENDENCYPART_ARC
(12,17),-0.548607 # DEPENDENCYPART_ARC
(12,18),-0.138672 # DEPENDENCYPART_ARC
(12,19),-1.85004 # DEPENDENCYPART_ARC
(12,20),-0.659964 # DEPENDENCYPART_ARC
(13,1),-2.08087 # DEPENDENCYPART_ARC
(13,2),-1.01137 # DEPENDENCYPART_ARC
(13,3),-1.77238 # DEPENDENCYPART_ARC
(13,4),-2.81702 # DEPENDENCYPART_ARC
(13,5),-2.26476 # DEPENDENCYPART_ARC
(13,6),-1.13697 # DEPENDENCYPART_ARC
(13,7),-0.107762 # DEPENDENCYPART_ARC
(13,8),-0.451904 # DEPENDENCYPART_ARC
(13,9),-0.267931 # DEPENDENCYPART_ARC
(13,10),0.0342783 # DEPENDENCYPART_ARC
(13,11),0.484734 # DEPENDENCYPART_ARC
(13,12),1.31489 # DEPENDENCYPART_ARC
(13,14),0.762756 # DEPENDENCYPART_ARC
(13,15),0.584111 # DEPENDENCYPART_ARC
(13,16),1.11212 # DEPENDENCYPART_ARC
(13,17),0.0430573 # DEPENDENCYPART_ARC
(13,18),0.347933 # DEPENDENCYPART_ARC
(13,19),-0.044374 # DEPENDENCYPART_ARC
(13,20),-0.463115 # DEPENDENCYPART_ARC
(14,1),-2.90914 # DEPENDENCYPART_ARC
(14,2),-1.52492 # DEPENDENCYPART_ARC
(14,3),-3.07504 # DEPENDENCYPART_ARC
(14,4),-2.77047 # DEPENDENCYPART_ARC
(14,5),-1.88682 # DEPENDENCYPART_ARC
(14,6),-1.90929 # DEPENDENCYPART_ARC
(14,7),-0.0811276 # DEPENDENCYPART_ARC
(14,8),-0.725014 # DEPENDENCYPART_ARC
(14,9),-0.246679 # DEPENDENCYPART_ARC
(14,10),-1.92422 # DEPENDENCYPART_ARC
(14,11),-1.7959 # DEPENDENCYPART_ARC
(14,12),-0.128396 # DEPENDENCYPART_ARC
(14,13),0.245397 # DEPENDENCYPART_ARC
(14,15),4.03291 # DEPENDENCYPART_ARC
(14,16),-0.298563 # DEPENDENCYPART_ARC
(14,17),0.615608 # DEPENDENCYPART_ARC
(14,18),-1.08743 # DEPENDENCYPART_ARC
(14,19),-0.495283 # DEPENDENCYPART_ARC
(14,20),-0.854879 # DEPENDENCYPART_ARC
(15,1),-3.55811 # DEPENDENCYPART_ARC
(15,2),-2.50443 # DEPENDENCYPART_ARC
(15,3),-3.41533 # DEPENDENCYPART_ARC
(15,4),-5.09039 # DEPENDENCYPART_ARC
(15,5),-3.85133 # DEPENDENCYPART_ARC
(15,6),-2.88591 # DEPENDENCYPART_ARC
(15,7),-1.75155 # DEPENDENCYPART_ARC
(15,8),-2.45202 # DEPENDENCYPART_ARC
(15,9),-1.99696 # DEPENDENCYPART_ARC
(15,10),-2.24199 # DEPENDENCYPART_ARC
(15,11),-2.07907 # DEPENDENCYPART_ARC
(15,12),-1.53908 # DEPENDENCYPART_ARC
(15,13),-0.836162 # DEPENDENCYPART_ARC
(15,14),-0.15542 # DEPENDENCYPART_ARC
(15,16),2.94125 # DEPENDENCYPART_ARC
(15,17),0.794955 # DEPENDENCYPART_ARC
(15,18),1.92133 # DEPENDENCYPART_ARC
(15,19),0.342596 # DEPENDENCYPART_ARC
(15,20),-0.414074 # DEPENDENCYPART_ARC
(16,1),-2.88381 # DEPENDENCYPART_ARC
(16,2),-2.10172 # DEPENDENCYPART_ARC
(16,3),-3.14515 # DEPENDENCYPART_ARC
(16,4),-1.7892 # DEPENDENCYPART_ARC
(16,5),-1.88305 # DEPENDENCYPART_ARC
(16,6),-1.90087 # DEPENDENCYPART_ARC
(16,7),-0.712807 # DEPENDENCYPART_ARC
(16,8),-0.920504 # DEPENDENCYPART_ARC
(16,9),-0.844666 # DEPENDENCYPART_ARC
(16,10),-1.31186 # DEPENDENCYPART_ARC
(16,11),-1.57752 # DEPENDENCYPART_ARC
(16,12),-0.811962 # DEPENDENCYPART_ARC
(16,13),-1.14706 # DEPENDENCYPART_ARC
(16,14),-0.00725348 # DEPENDENCYPART_ARC
(16,15),0.607546 # DEPENDENCYPART_ARC
(16,17),3.6507 # DEPENDENCYPART_ARC
(16,18),0.554898 # DEPENDENCYPART_ARC
(16,19),0.877193 # DEPENDENCYPART_ARC
(16,20),-0.676768 # DEPENDENCYPART_ARC
(17,1),-2.3946 # DEPENDENCYPART_ARC
(17,2),-1.28498 # DEPENDENCYPART_ARC
(17,3),-2.30336 # DEPENDENCYPART_ARC
(17,4),-3.33412 # DEPENDENCYPART_ARC
(17,5),-2.78749 # DEPENDENCYPART_ARC
(17,6),-1.99583 # DEPENDENCYPART_ARC
(17,7),-0.738362 # DEPENDENCYPART_ARC
(17,8),-1.59948 # DEPENDENCYPART_ARC
(17,9),-1.05153 # DEPENDENCYPART_ARC
(17,10),-1.12944 # DEPENDENCYPART_ARC
(17,11),-1.13869 # DEPENDENCYPART_ARC
(17,12),-1.02463 # DEPENDENCYPART_ARC
(17,13),-0.621611 # DEPENDENCYPART_ARC
(17,14),-0.321724 # DEPENDENCYPART_ARC
(17,15),0.405916 # DEPENDENCYPART_ARC
(17,16),1.20983 # DEPENDENCYPART_ARC
(17,18),2.40541 # DEPENDENCYPART_ARC
(17,19),1.00397 # DEPENDENCYPART_ARC
(17,20),-0.104717 # DEPENDENCYPART_ARC
(18,1),-2.95882 # DEPENDENCYPART_ARC
(18,2),-2.21085 # DEPENDENCYPART_ARC
(18,3),-3.1058 # DEPENDENCYPART_ARC
(18,4),-1.90534 # DEPENDENCYPART_ARC
(18,5),-2.00676 # DEPENDENCYPART_ARC
(18,6),-1.91272 # DEPENDENCYPART_ARC
(18,7),-0.791802 # DEPENDENCYPART_ARC
(18,8),-0.906082 # DEPENDENCYPART_ARC
(18,9),-1.0912 # DEPENDENCYPART_ARC
(18,10),-1.47323 # DEPENDENCYPART_ARC
(18,11),-1.71439 # DEPENDENCYPART_ARC
(18,12),-1.22823 # DEPENDENCYPART_ARC
(18,13),-1.58899 # DEPENDENCYPART_ARC
(18,14),-0.580554 # DEPENDENCYPART_ARC
(18,15),-0.878884 # DEPENDENCYPART_ARC
(18,16),0.0529036 # DEPENDENCYPART_ARC
(18,17),0.596069 # DEPENDENCYPART_ARC
(18,19),3.85794 # DEPENDENCYPART_ARC
(18,20),-0.552494 # DEPENDENCYPART_ARC
(19,1),-2.43917 # DEPENDENCYPART_ARC
(19,2),-1.47611 # DEPENDENCYPART_ARC
(19,3),-2.0449 # DEPENDENCYPART_ARC
(19,4),-3.12192 # DEPENDENCYPART_ARC
(19,5),-2.73418 # DEPENDENCYPART_ARC
(19,6),-2.09931 # DEPENDENCYPART_ARC
(19,7),-0.91221 # DEPENDENCYPART_ARC
(19,8),-1.81581 # DEPENDENCYPART_ARC
(19,9),-1.15033 # DEPENDENCYPART_ARC
(19,10),-1.27574 # DEPENDENCYPART_ARC
(19,11),-0.932972 # DEPENDENCYPART_ARC
(19,12),-0.951479 # DEPENDENCYPART_ARC
(19,13),-0.548757 # DEPENDENCYPART_ARC
(19,14),-0.606229 # DEPENDENCYPART_ARC
(19,15),-0.16289 # DEPENDENCYPART_ARC
(19,16),0.00411811 # DEPENDENCYPART_ARC
(19,17),0.864637 # DEPENDENCYPART_ARC
(19,18),1.58937 # DEPENDENCYPART_ARC
(19,20),-0.797784 # DEPENDENCYPART_ARC
(20,2),-2.69644 # DEPENDENCYPART_ARC
