# _root_ No els en deixa passar ni una i , si hi ha dubtes sobre la sonoritat d' una nota , fa que la repeteixin tots .
#goldHeads=5,5,5,5,0,7,5,5,12,12,12,21,12,13,16,14,16,19,17,12,5,24,24,21,24,5,
#predictedHeads=5,5,5,5,0,7,5,7,12,12,12,7,12,13,16,14,16,19,17,12,19,24,24,21,24,5,
(1,18),-2.87518 # DEPENDENCYPART_ARC
(1,19),-3.18274 # DEPENDENCYPART_ARC
(1,20),-1.40352 # DEPENDENCYPART_ARC
(1,21),-2.83676 # DEPENDENCYPART_ARC
(1,22),-2.91604 # DEPENDENCYPART_ARC
(1,23),-2.23426 # DEPENDENCYPART_ARC
(1,24),-3.07308 # DEPENDENCYPART_ARC
(1,25),-2.23368 # DEPENDENCYPART_ARC
(1,26),1.25287 # DEPENDENCYPART_ARC
(2,1),0.944241 # DEPENDENCYPART_ARC
(2,3),-0.0415292 # DEPENDENCYPART_ARC
(2,4),1.47327 # DEPENDENCYPART_ARC
(2,5),1.6815 # DEPENDENCYPART_ARC
(2,6),-0.599616 # DEPENDENCYPART_ARC
(2,7),-0.21274 # DEPENDENCYPART_ARC
(2,8),-0.104332 # DEPENDENCYPART_ARC
(2,9),0.28823 # DEPENDENCYPART_ARC
(2,10),0.0446491 # DEPENDENCYPART_ARC
(2,11),-2.07705 # DEPENDENCYPART_ARC
(2,12),-1.1969 # DEPENDENCYPART_ARC
(2,13),-0.7945 # DEPENDENCYPART_ARC
(2,14),-2.21256 # DEPENDENCYPART_ARC
(2,15),-2.00839 # DEPENDENCYPART_ARC
(2,16),-1.58236 # DEPENDENCYPART_ARC
(2,17),-2.45044 # DEPENDENCYPART_ARC
(2,18),-2.54518 # DEPENDENCYPART_ARC
(2,19),-1.57737 # DEPENDENCYPART_ARC
(2,20),-0.902382 # DEPENDENCYPART_ARC
(2,21),-2.69157 # DEPENDENCYPART_ARC
(2,22),-0.970277 # DEPENDENCYPART_ARC
(2,23),-2.34012 # DEPENDENCYPART_ARC
(2,24),-0.905729 # DEPENDENCYPART_ARC
(2,25),-0.875693 # DEPENDENCYPART_ARC
(2,26),1.54725 # DEPENDENCYPART_ARC
(3,1),0.0641134 # DEPENDENCYPART_ARC
(3,2),-0.386422 # DEPENDENCYPART_ARC
(3,4),0.424114 # DEPENDENCYPART_ARC
(3,5),-0.229119 # DEPENDENCYPART_ARC
(3,6),-0.782654 # DEPENDENCYPART_ARC
(3,7),-0.207421 # DEPENDENCYPART_ARC
(3,8),-0.714558 # DEPENDENCYPART_ARC
(3,9),-0.0446389 # DEPENDENCYPART_ARC
(3,10),-0.455988 # DEPENDENCYPART_ARC
(3,11),-2.43982 # DEPENDENCYPART_ARC
(3,12),-3.38321 # DEPENDENCYPART_ARC
(3,13),-2.38325 # DEPENDENCYPART_ARC
(3,14),-2.9446 # DEPENDENCYPART_ARC
(3,15),-1.54438 # DEPENDENCYPART_ARC
(3,16),-3.71321 # DEPENDENCYPART_ARC
(3,17),-3.27573 # DEPENDENCYPART_ARC
(3,18),-1.91557 # DEPENDENCYPART_ARC
(3,19),-4.24612 # DEPENDENCYPART_ARC
(3,20),-1.4062 # DEPENDENCYPART_ARC
(3,21),-4.93726 # DEPENDENCYPART_ARC
(3,22),-1.72792 # DEPENDENCYPART_ARC
(3,23),-2.39693 # DEPENDENCYPART_ARC
(3,24),-4.19314 # DEPENDENCYPART_ARC
(3,25),-1.7385 # DEPENDENCYPART_ARC
(3,26),0.197817 # DEPENDENCYPART_ARC
(4,1),1.54796 # DEPENDENCYPART_ARC
(4,2),0.87276 # DEPENDENCYPART_ARC
(4,3),2.81867 # DEPENDENCYPART_ARC
(4,5),2.11982 # DEPENDENCYPART_ARC
(4,6),-0.438888 # DEPENDENCYPART_ARC
(4,7),-0.396246 # DEPENDENCYPART_ARC
(4,8),0.059322 # DEPENDENCYPART_ARC
(4,9),0.104338 # DEPENDENCYPART_ARC
(4,10),-0.237167 # DEPENDENCYPART_ARC
(4,11),-3.22291 # DEPENDENCYPART_ARC
(4,12),0.810385 # DEPENDENCYPART_ARC
(4,13),-3.22292 # DEPENDENCYPART_ARC
(4,14),-1.48637 # DEPENDENCYPART_ARC
(4,15),-4.0109 # DEPENDENCYPART_ARC
(4,16),-3.04775 # DEPENDENCYPART_ARC
(4,17),-2.78517 # DEPENDENCYPART_ARC
(4,18),-4.07129 # DEPENDENCYPART_ARC
(4,19),-3.00307 # DEPENDENCYPART_ARC
(4,20),0.779905 # DEPENDENCYPART_ARC
(4,21),-0.554369 # DEPENDENCYPART_ARC
(4,22),-2.43214 # DEPENDENCYPART_ARC
(4,23),-3.12789 # DEPENDENCYPART_ARC
(4,24),-0.775219 # DEPENDENCYPART_ARC
(4,25),-2.34149 # DEPENDENCYPART_ARC
(4,26),6.92691 # DEPENDENCYPART_ARC
(5,1),3.35275 # DEPENDENCYPART_ARC
(5,2),3.21211 # DEPENDENCYPART_ARC
(5,3),3.92215 # DEPENDENCYPART_ARC
(5,4),4.71376 # DEPENDENCYPART_ARC
(5,6),1.35338 # DEPENDENCYPART_ARC
(5,7),1.17037 # DEPENDENCYPART_ARC
(5,8),0.657496 # DEPENDENCYPART_ARC
(5,9),0.203563 # DEPENDENCYPART_ARC
(5,10),0.38607 # DEPENDENCYPART_ARC
(5,11),-0.435289 # DEPENDENCYPART_ARC
(5,12),0.965592 # DEPENDENCYPART_ARC
(5,13),-1.52087 # DEPENDENCYPART_ARC
(5,14),-0.443393 # DEPENDENCYPART_ARC
(5,15),-2.84909 # DEPENDENCYPART_ARC
(5,16),-1.89655 # DEPENDENCYPART_ARC
(5,17),-1.52566 # DEPENDENCYPART_ARC
(5,18),-2.85078 # DEPENDENCYPART_ARC
(5,19),-1.85918 # DEPENDENCYPART_ARC
(5,20),0.508419 # DEPENDENCYPART_ARC
(5,21),0.198921 # DEPENDENCYPART_ARC
(5,22),-1.36091 # DEPENDENCYPART_ARC
(5,23),-1.20801 # DEPENDENCYPART_ARC
(5,24),-0.0739948 # DEPENDENCYPART_ARC
(5,25),-1.47781 # DEPENDENCYPART_ARC
(5,26),8.08315 # DEPENDENCYPART_ARC
(6,1),-1.85513 # DEPENDENCYPART_ARC
(6,2),-1.94311 # DEPENDENCYPART_ARC
(6,3),-1.66078 # DEPENDENCYPART_ARC
(6,4),-1.29807 # DEPENDENCYPART_ARC
(6,5),-0.328377 # DEPENDENCYPART_ARC
(6,7),0.577736 # DEPENDENCYPART_ARC
(6,8),0.100393 # DEPENDENCYPART_ARC
(6,9),0.332405 # DEPENDENCYPART_ARC
(6,10),-0.345683 # DEPENDENCYPART_ARC
(6,11),-0.704457 # DEPENDENCYPART_ARC
(6,12),-0.470787 # DEPENDENCYPART_ARC
(6,13),-1.81346 # DEPENDENCYPART_ARC
(6,14),-1.38875 # DEPENDENCYPART_ARC
(6,15),-1.94135 # DEPENDENCYPART_ARC
(6,16),-1.93402 # DEPENDENCYPART_ARC
(6,17),-1.6589 # DEPENDENCYPART_ARC
(6,18),-2.022 # DEPENDENCYPART_ARC
(6,19),-1.66727 # DEPENDENCYPART_ARC
(6,20),-1.53163 # DEPENDENCYPART_ARC
(6,21),-1.64134 # DEPENDENCYPART_ARC
(6,22),-1.83577 # DEPENDENCYPART_ARC
(6,23),-1.35315 # DEPENDENCYPART_ARC
(6,24),-2.00094 # DEPENDENCYPART_ARC
(6,25),-1.42529 # DEPENDENCYPART_ARC
(6,26),0.144257 # DEPENDENCYPART_ARC
(7,1),0.0456767 # DEPENDENCYPART_ARC
(7,2),-1.1409 # DEPENDENCYPART_ARC
(7,3),-0.255229 # DEPENDENCYPART_ARC
(7,4),0.0175512 # DEPENDENCYPART_ARC
(7,5),0.585323 # DEPENDENCYPART_ARC
(7,6),2.18635 # DEPENDENCYPART_ARC
(7,8),2.57605 # DEPENDENCYPART_ARC
(7,9),1.57333 # DEPENDENCYPART_ARC
(7,10),2.30133 # DEPENDENCYPART_ARC
(7,11),-0.139679 # DEPENDENCYPART_ARC
(7,12),2.2889 # DEPENDENCYPART_ARC
(7,13),0.592478 # DEPENDENCYPART_ARC
(7,14),0.761951 # DEPENDENCYPART_ARC
(7,15),-0.31452 # DEPENDENCYPART_ARC
(7,16),0.649367 # DEPENDENCYPART_ARC
(7,17),0.207356 # DEPENDENCYPART_ARC
(7,18),-1.1485 # DEPENDENCYPART_ARC
(7,19),0.405445 # DEPENDENCYPART_ARC
(7,20),0.716091 # DEPENDENCYPART_ARC
(7,21),0.335233 # DEPENDENCYPART_ARC
(7,22),0.650693 # DEPENDENCYPART_ARC
(7,23),-0.886645 # DEPENDENCYPART_ARC
(7,24),0.152997 # DEPENDENCYPART_ARC
(7,25),-0.511775 # DEPENDENCYPART_ARC
(7,26),2.28749 # DEPENDENCYPART_ARC
(8,1),-2.74556 # DEPENDENCYPART_ARC
(8,2),-2.84225 # DEPENDENCYPART_ARC
(8,3),-2.61005 # DEPENDENCYPART_ARC
(8,4),-2.79467 # DEPENDENCYPART_ARC
(8,5),-2.37688 # DEPENDENCYPART_ARC
(8,6),-1.32503 # DEPENDENCYPART_ARC
(8,7),-0.548759 # DEPENDENCYPART_ARC
(8,9),0.264655 # DEPENDENCYPART_ARC
(8,10),-0.836564 # DEPENDENCYPART_ARC
(8,11),-1.44281 # DEPENDENCYPART_ARC
(8,12),-0.72722 # DEPENDENCYPART_ARC
(8,13),-2.36709 # DEPENDENCYPART_ARC
(8,14),-2.44036 # DEPENDENCYPART_ARC
(8,15),-3.48867 # DEPENDENCYPART_ARC
(8,16),-3.24831 # DEPENDENCYPART_ARC
(8,17),-2.64845 # DEPENDENCYPART_ARC
(8,18),-3.51559 # DEPENDENCYPART_ARC
(8,19),-3.63965 # DEPENDENCYPART_ARC
(8,20),-1.87907 # DEPENDENCYPART_ARC
(8,21),-2.60529 # DEPENDENCYPART_ARC
(8,22),-1.65817 # DEPENDENCYPART_ARC
(8,23),-2.86176 # DEPENDENCYPART_ARC
(8,24),-2.70236 # DEPENDENCYPART_ARC
(8,25),-3.02669 # DEPENDENCYPART_ARC
(8,26),-1.55204 # DEPENDENCYPART_ARC
(9,1),-3.06992 # DEPENDENCYPART_ARC
(9,2),-2.83774 # DEPENDENCYPART_ARC
(9,3),-2.74046 # DEPENDENCYPART_ARC
(9,4),-2.91625 # DEPENDENCYPART_ARC
(9,5),-2.5369 # DEPENDENCYPART_ARC
(9,6),-1.96744 # DEPENDENCYPART_ARC
(9,7),-1.37867 # DEPENDENCYPART_ARC
(9,8),-0.489078 # DEPENDENCYPART_ARC
(9,10),-1.00643 # DEPENDENCYPART_ARC
(9,11),-1.69289 # DEPENDENCYPART_ARC
(9,12),-1.5828 # DEPENDENCYPART_ARC
(9,13),-2.42475 # DEPENDENCYPART_ARC
(9,14),-2.62169 # DEPENDENCYPART_ARC
(9,15),-3.07933 # DEPENDENCYPART_ARC
(9,16),-2.64392 # DEPENDENCYPART_ARC
(9,17),-2.64599 # DEPENDENCYPART_ARC
(9,18),-3.19438 # DEPENDENCYPART_ARC
(9,19),-2.78407 # DEPENDENCYPART_ARC
(9,20),-2.49697 # DEPENDENCYPART_ARC
(9,21),-2.49407 # DEPENDENCYPART_ARC
(9,22),-1.99883 # DEPENDENCYPART_ARC
(9,23),-3.05989 # DEPENDENCYPART_ARC
(9,24),-2.66052 # DEPENDENCYPART_ARC
(9,25),-3.14728 # DEPENDENCYPART_ARC
(9,26),-2.55741 # DEPENDENCYPART_ARC
(10,1),-2.40604 # DEPENDENCYPART_ARC
(10,2),-2.46456 # DEPENDENCYPART_ARC
(10,3),-2.37576 # DEPENDENCYPART_ARC
(10,4),-2.61099 # DEPENDENCYPART_ARC
(10,5),-2.3047 # DEPENDENCYPART_ARC
(10,6),-1.59989 # DEPENDENCYPART_ARC
(10,7),-1.40957 # DEPENDENCYPART_ARC
(10,8),-0.750799 # DEPENDENCYPART_ARC
(10,9),0.326601 # DEPENDENCYPART_ARC
(10,11),0.132921 # DEPENDENCYPART_ARC
(10,12),-0.233287 # DEPENDENCYPART_ARC
(10,13),-1.71076 # DEPENDENCYPART_ARC
(10,14),-1.64889 # DEPENDENCYPART_ARC
(10,15),-3.02509 # DEPENDENCYPART_ARC
(10,16),-2.89511 # DEPENDENCYPART_ARC
(10,17),-2.02392 # DEPENDENCYPART_ARC
(10,18),-3.36789 # DEPENDENCYPART_ARC
(10,19),-3.29855 # DEPENDENCYPART_ARC
(10,20),-1.12502 # DEPENDENCYPART_ARC
(10,21),-2.36811 # DEPENDENCYPART_ARC
(10,22),-1.52767 # DEPENDENCYPART_ARC
(10,23),-2.66032 # DEPENDENCYPART_ARC
(10,24),-2.46236 # DEPENDENCYPART_ARC
(10,25),-2.88414 # DEPENDENCYPART_ARC
(10,26),-1.01598 # DEPENDENCYPART_ARC
(11,1),-2.05887 # DEPENDENCYPART_ARC
(11,2),-3.1741 # DEPENDENCYPART_ARC
(11,3),-2.51655 # DEPENDENCYPART_ARC
(11,4),-2.70139 # DEPENDENCYPART_ARC
(11,5),-2.33768 # DEPENDENCYPART_ARC
(11,6),-1.55866 # DEPENDENCYPART_ARC
(11,7),-2.05747 # DEPENDENCYPART_ARC
(11,8),-0.926083 # DEPENDENCYPART_ARC
(11,9),-0.527268 # DEPENDENCYPART_ARC
(11,10),0.169888 # DEPENDENCYPART_ARC
(11,12),-0.843015 # DEPENDENCYPART_ARC
(11,13),-0.911245 # DEPENDENCYPART_ARC
(11,14),-1.70034 # DEPENDENCYPART_ARC
(11,15),-1.43798 # DEPENDENCYPART_ARC
(11,16),-2.01311 # DEPENDENCYPART_ARC
(11,17),-2.33286 # DEPENDENCYPART_ARC
(11,18),-2.16168 # DEPENDENCYPART_ARC
(11,19),-2.29515 # DEPENDENCYPART_ARC
(11,20),-1.69401 # DEPENDENCYPART_ARC
(11,21),-3.16848 # DEPENDENCYPART_ARC
(11,22),-2.02507 # DEPENDENCYPART_ARC
(11,23),-3.12764 # DEPENDENCYPART_ARC
(11,24),-2.68043 # DEPENDENCYPART_ARC
(11,25),-2.26305 # DEPENDENCYPART_ARC
(11,26),-0.833982 # DEPENDENCYPART_ARC
(12,1),0.864918 # DEPENDENCYPART_ARC
(12,2),-1.24663 # DEPENDENCYPART_ARC
(12,3),-0.745861 # DEPENDENCYPART_ARC
(12,4),-0.165092 # DEPENDENCYPART_ARC
(12,5),-1.37349 # DEPENDENCYPART_ARC
(12,6),-0.954705 # DEPENDENCYPART_ARC
(12,7),-0.355754 # DEPENDENCYPART_ARC
(12,8),-0.0487544 # DEPENDENCYPART_ARC
(12,9),2.38492 # DEPENDENCYPART_ARC
(12,10),3.66824 # DEPENDENCYPART_ARC
(12,11),3.98839 # DEPENDENCYPART_ARC
(12,13),4.22977 # DEPENDENCYPART_ARC
(12,14),1.76949 # DEPENDENCYPART_ARC
(12,15),-2.45328 # DEPENDENCYPART_ARC
(12,16),1.20513 # DEPENDENCYPART_ARC
(12,17),0.0255759 # DEPENDENCYPART_ARC
(12,18),-2.91206 # DEPENDENCYPART_ARC
(12,19),0.531747 # DEPENDENCYPART_ARC
(12,20),1.64273 # DEPENDENCYPART_ARC
(12,21),1.29569 # DEPENDENCYPART_ARC
(12,22),-0.247402 # DEPENDENCYPART_ARC
(12,23),-1.46357 # DEPENDENCYPART_ARC
(12,24),0.422142 # DEPENDENCYPART_ARC
(12,25),-0.845703 # DEPENDENCYPART_ARC
(12,26),4.96058 # DEPENDENCYPART_ARC
(13,1),-1.9373 # DEPENDENCYPART_ARC
(13,2),-2.31599 # DEPENDENCYPART_ARC
(13,3),-0.940057 # DEPENDENCYPART_ARC
(13,4),-0.533953 # DEPENDENCYPART_ARC
(13,5),-1.97148 # DEPENDENCYPART_ARC
(13,6),-0.705325 # DEPENDENCYPART_ARC
(13,7),-2.17308 # DEPENDENCYPART_ARC
(13,8),-1.14795 # DEPENDENCYPART_ARC
(13,9),-1.06404 # DEPENDENCYPART_ARC
(13,10),-0.699938 # DEPENDENCYPART_ARC
(13,11),0.569264 # DEPENDENCYPART_ARC
(13,12),1.67251 # DEPENDENCYPART_ARC
(13,14),2.54939 # DEPENDENCYPART_ARC
(13,15),-1.18715 # DEPENDENCYPART_ARC
(13,16),1.18871 # DEPENDENCYPART_ARC
(13,17),1.2958 # DEPENDENCYPART_ARC
(13,18),-2.09099 # DEPENDENCYPART_ARC
(13,19),0.394911 # DEPENDENCYPART_ARC
(13,20),0.694019 # DEPENDENCYPART_ARC
(13,21),0.365704 # DEPENDENCYPART_ARC
(13,22),-2.02384 # DEPENDENCYPART_ARC
(13,23),-1.28062 # DEPENDENCYPART_ARC
(13,24),0.0627676 # DEPENDENCYPART_ARC
(13,25),-0.548834 # DEPENDENCYPART_ARC
(13,26),1.54604 # DEPENDENCYPART_ARC
(14,1),-1.37156 # DEPENDENCYPART_ARC
(14,2),-2.27418 # DEPENDENCYPART_ARC
(14,3),-2.06896 # DEPENDENCYPART_ARC
(14,4),-0.503005 # DEPENDENCYPART_ARC
(14,5),-0.704259 # DEPENDENCYPART_ARC
(14,6),-1.02117 # DEPENDENCYPART_ARC
(14,7),-1.63762 # DEPENDENCYPART_ARC
(14,8),-0.712267 # DEPENDENCYPART_ARC
(14,9),-1.16879 # DEPENDENCYPART_ARC
(14,10),-0.288936 # DEPENDENCYPART_ARC
(14,11),-0.986685 # DEPENDENCYPART_ARC
(14,12),0.738216 # DEPENDENCYPART_ARC
(14,13),0.056948 # DEPENDENCYPART_ARC
(14,15),0.4122 # DEPENDENCYPART_ARC
(14,16),4.91356 # DEPENDENCYPART_ARC
(14,17),0.405109 # DEPENDENCYPART_ARC
(14,18),-1.3248 # DEPENDENCYPART_ARC
(14,19),2.09716 # DEPENDENCYPART_ARC
(14,20),-0.0697065 # DEPENDENCYPART_ARC
(14,21),-0.608616 # DEPENDENCYPART_ARC
(14,22),-1.24633 # DEPENDENCYPART_ARC
(14,23),-1.91056 # DEPENDENCYPART_ARC
(14,24),0.885823 # DEPENDENCYPART_ARC
(14,25),-2.20297 # DEPENDENCYPART_ARC
(14,26),-0.0338337 # DEPENDENCYPART_ARC
(15,1),-3.32635 # DEPENDENCYPART_ARC
(15,2),-3.29578 # DEPENDENCYPART_ARC
(15,3),-2.78107 # DEPENDENCYPART_ARC
(15,4),-3.47321 # DEPENDENCYPART_ARC
(15,5),-2.90209 # DEPENDENCYPART_ARC
(15,6),-2.65277 # DEPENDENCYPART_ARC
(15,7),-2.85261 # DEPENDENCYPART_ARC
(15,8),-2.36108 # DEPENDENCYPART_ARC
(15,9),-2.26716 # DEPENDENCYPART_ARC
(15,10),-2.24074 # DEPENDENCYPART_ARC
(15,11),-1.88487 # DEPENDENCYPART_ARC
(15,12),-2.27972 # DEPENDENCYPART_ARC
(15,13),-1.79649 # DEPENDENCYPART_ARC
(15,14),-0.309153 # DEPENDENCYPART_ARC
(15,16),3.49848 # DEPENDENCYPART_ARC
(15,17),0.430072 # DEPENDENCYPART_ARC
(15,18),2.08978 # DEPENDENCYPART_ARC
(15,19),-0.916426 # DEPENDENCYPART_ARC
(15,20),-1.60622 # DEPENDENCYPART_ARC
(15,21),-2.1607 # DEPENDENCYPART_ARC
(15,22),-1.81887 # DEPENDENCYPART_ARC
(15,23),-2.43647 # DEPENDENCYPART_ARC
(15,24),-2.83806 # DEPENDENCYPART_ARC
(15,25),-2.70692 # DEPENDENCYPART_ARC
(15,26),-2.1311 # DEPENDENCYPART_ARC
(16,1),-2.02208 # DEPENDENCYPART_ARC
(16,2),-1.82805 # DEPENDENCYPART_ARC
(16,3),-0.0235911 # DEPENDENCYPART_ARC
(16,4),-1.71155 # DEPENDENCYPART_ARC
(16,5),-1.67481 # DEPENDENCYPART_ARC
(16,6),-0.805923 # DEPENDENCYPART_ARC
(16,7),-1.77521 # DEPENDENCYPART_ARC
(16,8),-1.12103 # DEPENDENCYPART_ARC
(16,9),-1.3602 # DEPENDENCYPART_ARC
(16,10),-1.02033 # DEPENDENCYPART_ARC
(16,11),0.527054 # DEPENDENCYPART_ARC
(16,12),-1.11543 # DEPENDENCYPART_ARC
(16,13),-0.83575 # DEPENDENCYPART_ARC
(16,14),0.55478 # DEPENDENCYPART_ARC
(16,15),4.87854 # DEPENDENCYPART_ARC
(16,17),2.78875 # DEPENDENCYPART_ARC
(16,18),-0.0968175 # DEPENDENCYPART_ARC
(16,19),1.37982 # DEPENDENCYPART_ARC
(16,20),0.636333 # DEPENDENCYPART_ARC
(16,21),0.650878 # DEPENDENCYPART_ARC
(16,22),-1.91675 # DEPENDENCYPART_ARC
(16,23),-1.92412 # DEPENDENCYPART_ARC
(16,24),-0.0965252 # DEPENDENCYPART_ARC
(16,25),-1.70987 # DEPENDENCYPART_ARC
(16,26),1.30486 # DEPENDENCYPART_ARC
(17,1),-1.97441 # DEPENDENCYPART_ARC
(17,2),-2.44457 # DEPENDENCYPART_ARC
(17,3),-2.32715 # DEPENDENCYPART_ARC
(17,4),-1.13821 # DEPENDENCYPART_ARC
(17,5),-1.23108 # DEPENDENCYPART_ARC
(17,6),-1.657 # DEPENDENCYPART_ARC
(17,7),-1.94002 # DEPENDENCYPART_ARC
(17,8),-1.25441 # DEPENDENCYPART_ARC
(17,9),-1.90626 # DEPENDENCYPART_ARC
(17,10),-0.806331 # DEPENDENCYPART_ARC
(17,11),-1.75503 # DEPENDENCYPART_ARC
(17,12),-0.619119 # DEPENDENCYPART_ARC
(17,13),-1.6268 # DEPENDENCYPART_ARC
(17,14),-0.506026 # DEPENDENCYPART_ARC
(17,15),1.19103 # DEPENDENCYPART_ARC
(17,16),0.0884122 # DEPENDENCYPART_ARC
(17,18),0.609574 # DEPENDENCYPART_ARC
(17,19),5.24385 # DEPENDENCYPART_ARC
(17,20),0.598944 # DEPENDENCYPART_ARC
(17,21),-0.825492 # DEPENDENCYPART_ARC
(17,22),-1.53834 # DEPENDENCYPART_ARC
(17,23),-1.04251 # DEPENDENCYPART_ARC
(17,24),0.0883419 # DEPENDENCYPART_ARC
(17,25),-1.50793 # DEPENDENCYPART_ARC
(17,26),-0.329497 # DEPENDENCYPART_ARC
(18,1),-2.16421 # DEPENDENCYPART_ARC
(18,2),-2.75983 # DEPENDENCYPART_ARC
(18,3),-2.24398 # DEPENDENCYPART_ARC
(18,4),-3.05638 # DEPENDENCYPART_ARC
(18,5),-2.5959 # DEPENDENCYPART_ARC
(18,6),-1.59456 # DEPENDENCYPART_ARC
(18,7),-2.46362 # DEPENDENCYPART_ARC
(18,8),-1.89313 # DEPENDENCYPART_ARC
(18,9),-1.67579 # DEPENDENCYPART_ARC
(18,10),-1.88276 # DEPENDENCYPART_ARC
(18,11),-1.83516 # DEPENDENCYPART_ARC
(18,12),-2.43452 # DEPENDENCYPART_ARC
(18,13),-2.22099 # DEPENDENCYPART_ARC
(18,14),-1.09934 # DEPENDENCYPART_ARC
(18,15),-0.835117 # DEPENDENCYPART_ARC
(18,16),-1.03171 # DEPENDENCYPART_ARC
(18,17),0.746529 # DEPENDENCYPART_ARC
(18,19),1.18812 # DEPENDENCYPART_ARC
(18,20),-1.16126 # DEPENDENCYPART_ARC
(18,21),-1.56585 # DEPENDENCYPART_ARC
(18,22),-1.35675 # DEPENDENCYPART_ARC
(18,23),-2.4124 # DEPENDENCYPART_ARC
(18,24),-2.82956 # DEPENDENCYPART_ARC
(18,25),-3.07905 # DEPENDENCYPART_ARC
(18,26),-2.2316 # DEPENDENCYPART_ARC
(19,1),-1.60351 # DEPENDENCYPART_ARC
(19,2),-1.40228 # DEPENDENCYPART_ARC
(19,3),0.662384 # DEPENDENCYPART_ARC
(19,4),-1.57322 # DEPENDENCYPART_ARC
(19,5),-1.50472 # DEPENDENCYPART_ARC
(19,6),-0.628879 # DEPENDENCYPART_ARC
(19,7),-1.08258 # DEPENDENCYPART_ARC
(19,8),-0.599463 # DEPENDENCYPART_ARC
(19,9),-1.02567 # DEPENDENCYPART_ARC
(19,10),-0.625359 # DEPENDENCYPART_ARC
(19,11),0.828901 # DEPENDENCYPART_ARC
(19,12),-1.32653 # DEPENDENCYPART_ARC
(19,13),-0.941446 # DEPENDENCYPART_ARC
(19,14),-0.0762387 # DEPENDENCYPART_ARC
(19,15),2.91878 # DEPENDENCYPART_ARC
(19,16),-0.101805 # DEPENDENCYPART_ARC
(19,17),1.08764 # DEPENDENCYPART_ARC
(19,18),5.41084 # DEPENDENCYPART_ARC
(19,20),0.887864 # DEPENDENCYPART_ARC
(19,21),1.3185 # DEPENDENCYPART_ARC
(19,22),-1.6102 # DEPENDENCYPART_ARC
(19,23),-1.86453 # DEPENDENCYPART_ARC
(19,24),0.107877 # DEPENDENCYPART_ARC
(19,25),-1.66404 # DEPENDENCYPART_ARC
(19,26),1.76208 # DEPENDENCYPART_ARC
(20,1),-3.36423 # DEPENDENCYPART_ARC
(20,2),-3.15642 # DEPENDENCYPART_ARC
(20,3),-3.06404 # DEPENDENCYPART_ARC
(20,4),-3.33045 # DEPENDENCYPART_ARC
(20,5),-3.22796 # DEPENDENCYPART_ARC
(20,6),-2.98139 # DEPENDENCYPART_ARC
(20,7),-2.80283 # DEPENDENCYPART_ARC
(20,8),-2.5029 # DEPENDENCYPART_ARC
