# _root_ ' La societat la formem tots ' , ha insistit , i cal la responsabilitat de tots .
#goldHeads=5,3,5,5,10,5,5,5,10,0,10,10,10,15,13,15,16,10,
#predictedHeads=5,3,5,5,10,5,5,5,10,0,10,10,5,15,13,15,16,10,
(10,15),1.21429 # DEPENDENCYPART_ARC
(10,16),-0.586279 # DEPENDENCYPART_ARC
(10,17),-0.0959017 # DEPENDENCYPART_ARC
(10,18),4.48602 # DEPENDENCYPART_ARC
(11,1),-3.3694 # DEPENDENCYPART_ARC
(11,2),-3.98975 # DEPENDENCYPART_ARC
(11,3),-3.94796 # DEPENDENCYPART_ARC
(11,4),-3.51609 # DEPENDENCYPART_ARC
(11,5),-3.68537 # DEPENDENCYPART_ARC
(11,6),-3.15996 # DEPENDENCYPART_ARC
(11,7),-2.69362 # DEPENDENCYPART_ARC
(11,8),-2.29951 # DEPENDENCYPART_ARC
(11,9),-2.47764 # DEPENDENCYPART_ARC
(11,10),-1.59776 # DEPENDENCYPART_ARC
(11,12),-0.134541 # DEPENDENCYPART_ARC
(11,13),-0.637844 # DEPENDENCYPART_ARC
(11,14),-1.85858 # DEPENDENCYPART_ARC
(11,15),-1.43016 # DEPENDENCYPART_ARC
(11,16),-1.69756 # DEPENDENCYPART_ARC
(11,17),-1.87041 # DEPENDENCYPART_ARC
(11,18),-0.945009 # DEPENDENCYPART_ARC
(12,1),-4.16901 # DEPENDENCYPART_ARC
(12,2),-4.20268 # DEPENDENCYPART_ARC
(12,3),-4.39619 # DEPENDENCYPART_ARC
(12,4),-3.79129 # DEPENDENCYPART_ARC
(12,5),-3.96856 # DEPENDENCYPART_ARC
(12,6),-3.50409 # DEPENDENCYPART_ARC
(12,7),-3.5009 # DEPENDENCYPART_ARC
(12,8),-3.24552 # DEPENDENCYPART_ARC
(12,9),-3.22072 # DEPENDENCYPART_ARC
(12,10),-2.38583 # DEPENDENCYPART_ARC
(12,11),-1.46895 # DEPENDENCYPART_ARC
(12,13),-0.603836 # DEPENDENCYPART_ARC
(12,14),-2.89275 # DEPENDENCYPART_ARC
(12,15),-2.71254 # DEPENDENCYPART_ARC
(12,16),-2.5718 # DEPENDENCYPART_ARC
(12,17),-2.95386 # DEPENDENCYPART_ARC
(12,18),-1.70307 # DEPENDENCYPART_ARC
(13,1),-2.12461 # DEPENDENCYPART_ARC
(13,2),-2.21171 # DEPENDENCYPART_ARC
(13,3),-0.837395 # DEPENDENCYPART_ARC
(13,4),-2.43388 # DEPENDENCYPART_ARC
(13,5),-0.692335 # DEPENDENCYPART_ARC
(13,6),-1.3893 # DEPENDENCYPART_ARC
(13,7),-1.9113 # DEPENDENCYPART_ARC
(13,8),-2.75029 # DEPENDENCYPART_ARC
(13,9),2.17827 # DEPENDENCYPART_ARC
(13,10),-0.889864 # DEPENDENCYPART_ARC
(13,11),0.485761 # DEPENDENCYPART_ARC
(13,12),1.55551 # DEPENDENCYPART_ARC
(13,14),-0.789284 # DEPENDENCYPART_ARC
(13,15),3.27002 # DEPENDENCYPART_ARC
(13,16),0.419677 # DEPENDENCYPART_ARC
(13,17),0.497246 # DEPENDENCYPART_ARC
(13,18),2.92327 # DEPENDENCYPART_ARC
(14,1),-3.86145 # DEPENDENCYPART_ARC
(14,2),-3.68182 # DEPENDENCYPART_ARC
(14,3),-4.80548 # DEPENDENCYPART_ARC
(14,4),-4.94637 # DEPENDENCYPART_ARC
(14,5),-4.94814 # DEPENDENCYPART_ARC
(14,6),-4.02501 # DEPENDENCYPART_ARC
(14,7),-3.35446 # DEPENDENCYPART_ARC
(14,8),-3.42246 # DEPENDENCYPART_ARC
(14,9),-4.13474 # DEPENDENCYPART_ARC
(14,10),-4.31409 # DEPENDENCYPART_ARC
(14,11),-2.73636 # DEPENDENCYPART_ARC
(14,12),-2.3437 # DEPENDENCYPART_ARC
(14,13),-2.18334 # DEPENDENCYPART_ARC
(14,15),2.69565 # DEPENDENCYPART_ARC
(14,16),0.678641 # DEPENDENCYPART_ARC
(14,17),-1.44171 # DEPENDENCYPART_ARC
(14,18),-1.06428 # DEPENDENCYPART_ARC
(15,1),-2.26758 # DEPENDENCYPART_ARC
(15,2),-3.72081 # DEPENDENCYPART_ARC
(15,3),-1.96554 # DEPENDENCYPART_ARC
(15,4),-2.62227 # DEPENDENCYPART_ARC
(15,5),-2.37034 # DEPENDENCYPART_ARC
(15,6),-2.24824 # DEPENDENCYPART_ARC
(15,7),-0.970595 # DEPENDENCYPART_ARC
(15,8),-0.776614 # DEPENDENCYPART_ARC
(15,9),-0.826425 # DEPENDENCYPART_ARC
(15,10),-1.25558 # DEPENDENCYPART_ARC
(15,11),-0.834501 # DEPENDENCYPART_ARC
(15,12),-0.031982 # DEPENDENCYPART_ARC
(15,13),0.594019 # DEPENDENCYPART_ARC
(15,14),4.83288 # DEPENDENCYPART_ARC
(15,16),2.6828 # DEPENDENCYPART_ARC
(15,17),1.05412 # DEPENDENCYPART_ARC
(15,18),1.88863 # DEPENDENCYPART_ARC
(16,1),-2.23329 # DEPENDENCYPART_ARC
(16,2),-1.3086 # DEPENDENCYPART_ARC
(16,3),-2.39196 # DEPENDENCYPART_ARC
(16,4),-2.36659 # DEPENDENCYPART_ARC
(16,5),-1.6881 # DEPENDENCYPART_ARC
(16,6),-2.11081 # DEPENDENCYPART_ARC
(16,7),-1.77089 # DEPENDENCYPART_ARC
(16,8),-2.08603 # DEPENDENCYPART_ARC
(16,9),-0.880615 # DEPENDENCYPART_ARC
(16,10),-1.72985 # DEPENDENCYPART_ARC
(16,11),-1.19755 # DEPENDENCYPART_ARC
(16,12),-0.625345 # DEPENDENCYPART_ARC
(16,13),0.286768 # DEPENDENCYPART_ARC
(16,14),1.19666 # DEPENDENCYPART_ARC
(16,15),0.502293 # DEPENDENCYPART_ARC
(16,17),3.57126 # DEPENDENCYPART_ARC
(16,18),-0.0949454 # DEPENDENCYPART_ARC
(17,1),-0.253811 # DEPENDENCYPART_ARC
(17,2),-1.58907 # DEPENDENCYPART_ARC
(17,3),-2.22199 # DEPENDENCYPART_ARC
(17,4),-2.18834 # DEPENDENCYPART_ARC
(17,5),-1.33106 # DEPENDENCYPART_ARC
(17,6),-1.13676 # DEPENDENCYPART_ARC
(17,7),-0.246364 # DEPENDENCYPART_ARC
(17,8),-0.679537 # DEPENDENCYPART_ARC
(17,9),-1.07563 # DEPENDENCYPART_ARC
(17,10),-1.79502 # DEPENDENCYPART_ARC
(17,11),-0.167812 # DEPENDENCYPART_ARC
(17,12),-0.281598 # DEPENDENCYPART_ARC
(17,13),-0.391697 # DEPENDENCYPART_ARC
(17,14),1.16703 # DEPENDENCYPART_ARC
(17,15),-0.60491 # DEPENDENCYPART_ARC
(17,16),1.94373 # DEPENDENCYPART_ARC
(17,18),0.171043 # DEPENDENCYPART_ARC
(18,1),-3.72479 # DEPENDENCYPART_ARC
(18,2),-4.30885 # DEPENDENCYPART_ARC
(18,3),-4.25157 # DEPENDENCYPART_ARC
(18,4),-3.83197 # DEPENDENCYPART_ARC
(18,5),-4.26846 # DEPENDENCYPART_ARC
(18,6),-3.81169 # DEPENDENCYPART_ARC
(18,7),-3.54493 # DEPENDENCYPART_ARC
(18,8),-3.36049 # DEPENDENCYPART_ARC
(18,9),-3.97651 # DEPENDENCYPART_ARC
(18,10),-3.88291 # DEPENDENCYPART_ARC
(18,11),-2.97265 # DEPENDENCYPART_ARC
(18,12),-3.0086 # DEPENDENCYPART_ARC
(18,13),-3.49982 # DEPENDENCYPART_ARC
(18,14),-2.84907 # DEPENDENCYPART_ARC
(18,15),-3.05085 # DEPENDENCYPART_ARC
(18,16),-1.96328 # DEPENDENCYPART_ARC
(18,17),-1.2962 # DEPENDENCYPART_ARC
