# _root_ En aquesta ocasió es va dir que , a_causa_dels temporals , no hi havia pressupost per tirar_endavant aquest projecte .
#goldHeads=6,3,1,6,6,0,14,9,14,9,9,14,14,6,14,15,16,19,17,6,
#predictedHeads=6,3,1,6,6,0,14,9,14,9,9,14,14,6,14,14,16,19,17,6,
(4,12),-2.07447 # DEPENDENCYPART_ARC
(4,13),-2.21407 # DEPENDENCYPART_ARC
(4,14),-2.83082 # DEPENDENCYPART_ARC
(4,15),-2.07361 # DEPENDENCYPART_ARC
(4,16),-3.0598 # DEPENDENCYPART_ARC
(4,17),-3.23738 # DEPENDENCYPART_ARC
(4,18),-3.02478 # DEPENDENCYPART_ARC
(4,19),-2.00056 # DEPENDENCYPART_ARC
(4,20),-0.541129 # DEPENDENCYPART_ARC
(5,1),0.506458 # DEPENDENCYPART_ARC
(5,2),-1.42069 # DEPENDENCYPART_ARC
(5,3),-0.325388 # DEPENDENCYPART_ARC
(5,4),2.1539 # DEPENDENCYPART_ARC
(5,6),1.35769 # DEPENDENCYPART_ARC
(5,7),-1.65888 # DEPENDENCYPART_ARC
(5,8),-1.10681 # DEPENDENCYPART_ARC
(5,9),-0.813938 # DEPENDENCYPART_ARC
(5,10),-2.84662 # DEPENDENCYPART_ARC
(5,11),-0.590608 # DEPENDENCYPART_ARC
(5,12),-2.56122 # DEPENDENCYPART_ARC
(5,13),-3.661 # DEPENDENCYPART_ARC
(5,14),-1.65284 # DEPENDENCYPART_ARC
(5,15),-3.63162 # DEPENDENCYPART_ARC
(5,16),-0.682338 # DEPENDENCYPART_ARC
(5,17),-2.07836 # DEPENDENCYPART_ARC
(5,18),-4.89167 # DEPENDENCYPART_ARC
(5,19),-3.01393 # DEPENDENCYPART_ARC
(5,20),1.33182 # DEPENDENCYPART_ARC
(6,1),3.52526 # DEPENDENCYPART_ARC
(6,2),0.571715 # DEPENDENCYPART_ARC
(6,3),2.34513 # DEPENDENCYPART_ARC
(6,4),4.5318 # DEPENDENCYPART_ARC
(6,5),6.50909 # DEPENDENCYPART_ARC
(6,7),0.648883 # DEPENDENCYPART_ARC
(6,8),0.235167 # DEPENDENCYPART_ARC
(6,9),0.959799 # DEPENDENCYPART_ARC
(6,10),-0.368475 # DEPENDENCYPART_ARC
(6,11),0.395296 # DEPENDENCYPART_ARC
(6,12),-0.279066 # DEPENDENCYPART_ARC
(6,13),0.0841448 # DEPENDENCYPART_ARC
(6,14),2.40626 # DEPENDENCYPART_ARC
(6,15),-1.28748 # DEPENDENCYPART_ARC
(6,16),-0.339652 # DEPENDENCYPART_ARC
(6,17),1.59096 # DEPENDENCYPART_ARC
(6,18),-2.47018 # DEPENDENCYPART_ARC
(6,19),-1.47132 # DEPENDENCYPART_ARC
(6,20),5.34805 # DEPENDENCYPART_ARC
(7,1),-2.55702 # DEPENDENCYPART_ARC
(7,2),-3.02366 # DEPENDENCYPART_ARC
(7,3),-3.15038 # DEPENDENCYPART_ARC
(7,4),-2.43565 # DEPENDENCYPART_ARC
(7,5),-2.24336 # DEPENDENCYPART_ARC
(7,6),-1.35175 # DEPENDENCYPART_ARC
(7,8),0.468826 # DEPENDENCYPART_ARC
(7,9),-0.229666 # DEPENDENCYPART_ARC
(7,10),-0.98608 # DEPENDENCYPART_ARC
(7,11),-0.433993 # DEPENDENCYPART_ARC
(7,12),-1.87841 # DEPENDENCYPART_ARC
(7,13),-1.45703 # DEPENDENCYPART_ARC
(7,14),-0.312891 # DEPENDENCYPART_ARC
(7,15),-2.79607 # DEPENDENCYPART_ARC
(7,16),-1.53732 # DEPENDENCYPART_ARC
(7,17),-1.27172 # DEPENDENCYPART_ARC
(7,18),-2.86616 # DEPENDENCYPART_ARC
(7,19),-3.35543 # DEPENDENCYPART_ARC
(7,20),-1.02374 # DEPENDENCYPART_ARC
(8,1),-2.24319 # DEPENDENCYPART_ARC
(8,2),-2.84888 # DEPENDENCYPART_ARC
(8,3),-2.8511 # DEPENDENCYPART_ARC
(8,4),-2.14752 # DEPENDENCYPART_ARC
(8,5),-2.26332 # DEPENDENCYPART_ARC
(8,6),-1.54455 # DEPENDENCYPART_ARC
(8,7),-0.122282 # DEPENDENCYPART_ARC
(8,9),-0.939517 # DEPENDENCYPART_ARC
(8,10),-1.14711 # DEPENDENCYPART_ARC
(8,11),-1.01454 # DEPENDENCYPART_ARC
(8,12),-1.85957 # DEPENDENCYPART_ARC
(8,13),-2.05575 # DEPENDENCYPART_ARC
(8,14),-1.42465 # DEPENDENCYPART_ARC
(8,15),-2.22396 # DEPENDENCYPART_ARC
(8,16),-2.30114 # DEPENDENCYPART_ARC
(8,17),-1.9978 # DEPENDENCYPART_ARC
(8,18),-2.86987 # DEPENDENCYPART_ARC
(8,19),-2.42079 # DEPENDENCYPART_ARC
(8,20),-1.89429 # DEPENDENCYPART_ARC
(9,1),-1.10419 # DEPENDENCYPART_ARC
(9,2),-0.10151 # DEPENDENCYPART_ARC
(9,3),-1.43385 # DEPENDENCYPART_ARC
(9,4),-0.931114 # DEPENDENCYPART_ARC
(9,5),-1.07643 # DEPENDENCYPART_ARC
(9,6),-0.644728 # DEPENDENCYPART_ARC
(9,7),1.01037 # DEPENDENCYPART_ARC
(9,8),3.39227 # DEPENDENCYPART_ARC
(9,10),5.57661 # DEPENDENCYPART_ARC
(9,11),2.88284 # DEPENDENCYPART_ARC
(9,12),-0.279221 # DEPENDENCYPART_ARC
(9,13),-4.07464 # DEPENDENCYPART_ARC
(9,14),0.00448554 # DEPENDENCYPART_ARC
(9,15),-2.64026 # DEPENDENCYPART_ARC
(9,16),-1.02759 # DEPENDENCYPART_ARC
(9,17),-0.247056 # DEPENDENCYPART_ARC
(9,18),-2.8824 # DEPENDENCYPART_ARC
(9,19),-3.90664 # DEPENDENCYPART_ARC
(9,20),1.1207 # DEPENDENCYPART_ARC
(10,1),-2.06868 # DEPENDENCYPART_ARC
(10,2),-2.67399 # DEPENDENCYPART_ARC
(10,3),-3.51235 # DEPENDENCYPART_ARC
(10,4),-1.78892 # DEPENDENCYPART_ARC
(10,5),-1.48593 # DEPENDENCYPART_ARC
(10,6),-2.4707 # DEPENDENCYPART_ARC
(10,7),-0.559454 # DEPENDENCYPART_ARC
(10,8),-0.168775 # DEPENDENCYPART_ARC
(10,9),0.319103 # DEPENDENCYPART_ARC
(10,11),0.287971 # DEPENDENCYPART_ARC
(10,12),-0.119376 # DEPENDENCYPART_ARC
(10,13),-1.01924 # DEPENDENCYPART_ARC
(10,14),1.21605 # DEPENDENCYPART_ARC
(10,15),-0.637412 # DEPENDENCYPART_ARC
(10,16),-0.527574 # DEPENDENCYPART_ARC
(10,17),0.705255 # DEPENDENCYPART_ARC
(10,18),-2.38947 # DEPENDENCYPART_ARC
(10,19),-0.592822 # DEPENDENCYPART_ARC
(10,20),0.334469 # DEPENDENCYPART_ARC
(11,1),-2.49179 # DEPENDENCYPART_ARC
(11,2),-3.1929 # DEPENDENCYPART_ARC
(11,3),-3.22812 # DEPENDENCYPART_ARC
(11,4),-2.70723 # DEPENDENCYPART_ARC
(11,5),-2.9234 # DEPENDENCYPART_ARC
(11,6),-2.64418 # DEPENDENCYPART_ARC
(11,7),-1.71469 # DEPENDENCYPART_ARC
(11,8),-1.24614 # DEPENDENCYPART_ARC
(11,9),-1.13429 # DEPENDENCYPART_ARC
(11,10),-1.08362 # DEPENDENCYPART_ARC
(11,12),-1.0958 # DEPENDENCYPART_ARC
(11,13),-1.37795 # DEPENDENCYPART_ARC
(11,14),-1.26199 # DEPENDENCYPART_ARC
(11,15),-2.09352 # DEPENDENCYPART_ARC
(11,16),-2.32778 # DEPENDENCYPART_ARC
(11,17),-1.93299 # DEPENDENCYPART_ARC
(11,18),-2.86049 # DEPENDENCYPART_ARC
(11,19),-2.50121 # DEPENDENCYPART_ARC
(11,20),-1.79563 # DEPENDENCYPART_ARC
(12,1),-2.84372 # DEPENDENCYPART_ARC
(12,2),-3.16931 # DEPENDENCYPART_ARC
(12,3),-3.67216 # DEPENDENCYPART_ARC
(12,4),-2.91739 # DEPENDENCYPART_ARC
(12,5),-3.03783 # DEPENDENCYPART_ARC
(12,6),-2.78614 # DEPENDENCYPART_ARC
(12,7),-1.2808 # DEPENDENCYPART_ARC
(12,8),-1.24213 # DEPENDENCYPART_ARC
(12,9),-1.46481 # DEPENDENCYPART_ARC
(12,10),-1.94749 # DEPENDENCYPART_ARC
(12,11),-0.148493 # DEPENDENCYPART_ARC
(12,13),-0.413634 # DEPENDENCYPART_ARC
(12,14),-0.530462 # DEPENDENCYPART_ARC
(12,15),-2.01934 # DEPENDENCYPART_ARC
(12,16),-3.06992 # DEPENDENCYPART_ARC
(12,17),-1.945 # DEPENDENCYPART_ARC
(12,18),-2.79943 # DEPENDENCYPART_ARC
(12,19),-2.38591 # DEPENDENCYPART_ARC
(12,20),-1.2906 # DEPENDENCYPART_ARC
(13,1),-2.20319 # DEPENDENCYPART_ARC
(13,2),-3.90955 # DEPENDENCYPART_ARC
(13,3),-3.46837 # DEPENDENCYPART_ARC
(13,4),-2.27881 # DEPENDENCYPART_ARC
(13,5),-2.64051 # DEPENDENCYPART_ARC
(13,6),-2.3197 # DEPENDENCYPART_ARC
(13,7),-0.452476 # DEPENDENCYPART_ARC
(13,8),-0.996246 # DEPENDENCYPART_ARC
(13,9),-1.61218 # DEPENDENCYPART_ARC
(13,10),-2.19586 # DEPENDENCYPART_ARC
(13,11),-0.0997941 # DEPENDENCYPART_ARC
(13,12),0.642713 # DEPENDENCYPART_ARC
(13,14),-0.259527 # DEPENDENCYPART_ARC
(13,15),-1.28895 # DEPENDENCYPART_ARC
(13,16),-1.08947 # DEPENDENCYPART_ARC
(13,17),-0.552202 # DEPENDENCYPART_ARC
(13,18),-0.6936 # DEPENDENCYPART_ARC
(13,19),-1.94684 # DEPENDENCYPART_ARC
(13,20),0.0269882 # DEPENDENCYPART_ARC
(14,1),1.32211 # DEPENDENCYPART_ARC
(14,2),-2.01976 # DEPENDENCYPART_ARC
(14,3),-1.1394 # DEPENDENCYPART_ARC
(14,4),0.820913 # DEPENDENCYPART_ARC
(14,5),0.969861 # DEPENDENCYPART_ARC
(14,6),-0.302961 # DEPENDENCYPART_ARC
(14,7),3.5459 # DEPENDENCYPART_ARC
(14,8),1.79406 # DEPENDENCYPART_ARC
(14,9),1.0492 # DEPENDENCYPART_ARC
(14,10),-0.984417 # DEPENDENCYPART_ARC
(14,11),1.33265 # DEPENDENCYPART_ARC
(14,12),3.4167 # DEPENDENCYPART_ARC
(14,13),4.35805 # DEPENDENCYPART_ARC
(14,15),3.99704 # DEPENDENCYPART_ARC
(14,16),2.72216 # DEPENDENCYPART_ARC
(14,17),1.18096 # DEPENDENCYPART_ARC
(14,18),-3.07265 # DEPENDENCYPART_ARC
(14,19),1.14247 # DEPENDENCYPART_ARC
(14,20),2.04187 # DEPENDENCYPART_ARC
(15,1),-1.37515 # DEPENDENCYPART_ARC
(15,2),-3.89668 # DEPENDENCYPART_ARC
(15,3),-2.56794 # DEPENDENCYPART_ARC
(15,4),-1.88408 # DEPENDENCYPART_ARC
(15,5),-2.32882 # DEPENDENCYPART_ARC
(15,6),-2.59594 # DEPENDENCYPART_ARC
(15,7),-0.456387 # DEPENDENCYPART_ARC
(15,8),-0.831278 # DEPENDENCYPART_ARC
(15,9),-0.699733 # DEPENDENCYPART_ARC
(15,10),-1.693 # DEPENDENCYPART_ARC
(15,11),-0.0460698 # DEPENDENCYPART_ARC
(15,12),0.450191 # DEPENDENCYPART_ARC
(15,13),1.16212 # DEPENDENCYPART_ARC
(15,14),0.819668 # DEPENDENCYPART_ARC
(15,16),2.25067 # DEPENDENCYPART_ARC
(15,17),1.77077 # DEPENDENCYPART_ARC
(15,18),-0.641436 # DEPENDENCYPART_ARC
(15,19),-0.303663 # DEPENDENCYPART_ARC
(15,20),0.130503 # DEPENDENCYPART_ARC
(16,1),-2.43593 # DEPENDENCYPART_ARC
(16,2),-2.31278 # DEPENDENCYPART_ARC
(16,3),-3.07429 # DEPENDENCYPART_ARC
(16,4),-2.16847 # DEPENDENCYPART_ARC
(16,5),-1.95018 # DEPENDENCYPART_ARC
(16,6),-2.06832 # DEPENDENCYPART_ARC
(16,7),-0.510609 # DEPENDENCYPART_ARC
(16,8),-0.699529 # DEPENDENCYPART_ARC
(16,9),-1.87115 # DEPENDENCYPART_ARC
(16,10),-2.31527 # DEPENDENCYPART_ARC
(16,11),-0.713943 # DEPENDENCYPART_ARC
(16,12),-0.300371 # DEPENDENCYPART_ARC
(16,13),-1.38454 # DEPENDENCYPART_ARC
(16,14),0.301516 # DEPENDENCYPART_ARC
(16,15),-0.11311 # DEPENDENCYPART_ARC
(16,17),5.28273 # DEPENDENCYPART_ARC
(16,18),-0.27777 # DEPENDENCYPART_ARC
(16,19),1.70283 # DEPENDENCYPART_ARC
(16,20),0.730503 # DEPENDENCYPART_ARC
(17,1),-2.07633 # DEPENDENCYPART_ARC
(17,2),-4.31651 # DEPENDENCYPART_ARC
(17,3),-3.57892 # DEPENDENCYPART_ARC
(17,4),-1.87528 # DEPENDENCYPART_ARC
(17,5),-0.632722 # DEPENDENCYPART_ARC
(17,6),-2.79777 # DEPENDENCYPART_ARC
(17,7),0.668458 # DEPENDENCYPART_ARC
(17,8),-2.25489 # DEPENDENCYPART_ARC
(17,9),-2.27691 # DEPENDENCYPART_ARC
(17,10),-2.15772 # DEPENDENCYPART_ARC
(17,11),-2.56068 # DEPENDENCYPART_ARC
(17,12),-0.239348 # DEPENDENCYPART_ARC
(17,13),0.409995 # DEPENDENCYPART_ARC
(17,14),-0.366704 # DEPENDENCYPART_ARC
(17,15),-1.52222 # DEPENDENCYPART_ARC
(17,16),-0.0133273 # DEPENDENCYPART_ARC
(17,18),-0.912274 # DEPENDENCYPART_ARC
(17,19),3.71814 # DEPENDENCYPART_ARC
(17,20),1.91871 # DEPENDENCYPART_ARC
(18,1),-3.09953 # DEPENDENCYPART_ARC
(18,2),-3.31064 # DEPENDENCYPART_ARC
(18,3),-4.0192 # DEPENDENCYPART_ARC
(18,4),-2.87405 # DEPENDENCYPART_ARC
(18,5),-4.18525 # DEPENDENCYPART_ARC
(18,6),-3.90905 # DEPENDENCYPART_ARC
(18,7),-2.557 # DEPENDENCYPART_ARC
(18,8),-2.39224 # DEPENDENCYPART_ARC
(18,9),-2.59029 # DEPENDENCYPART_ARC
(18,10),-3.5356 # DEPENDENCYPART_ARC
(18,11),-2.33635 # DEPENDENCYPART_ARC
(18,12),-2.4307 # DEPENDENCYPART_ARC
(18,13),-2.36096 # DEPENDENCYPART_ARC
(18,14),-3.12713 # DEPENDENCYPART_ARC
(18,15),-2.25487 # DEPENDENCYPART_ARC
(18,16),-1.22723 # DEPENDENCYPART_ARC
(18,17),-1.03055 # DEPENDENCYPART_ARC
(18,19),0.218349 # DEPENDENCYPART_ARC
(18,20),-1.44809 # DEPENDENCYPART_ARC
(19,1),-1.89202 # DEPENDENCYPART_ARC
(19,2),-4.14196 # DEPENDENCYPART_ARC
(19,3),-2.67964 # DEPENDENCYPART_ARC
(19,4),-1.11705 # DEPENDENCYPART_ARC
(19,5),-2.15751 # DEPENDENCYPART_ARC
(19,6),-2.29947 # DEPENDENCYPART_ARC
(19,7),-0.275801 # DEPENDENCYPART_ARC
(19,8),-0.96764 # DEPENDENCYPART_ARC
(19,9),-0.929411 # DEPENDENCYPART_ARC
(19,10),-1.60513 # DEPENDENCYPART_ARC
(19,11),-0.502843 # DEPENDENCYPART_ARC
(19,12),-0.433331 # DEPENDENCYPART_ARC
(19,13),0.402234 # DEPENDENCYPART_ARC
(19,14),-0.957482 # DEPENDENCYPART_ARC
(19,15),-0.95207 # DEPENDENCYPART_ARC
(19,16),0.0501191 # DEPENDENCYPART_ARC
(19,17),1.18598 # DEPENDENCYPART_ARC
(19,18),4.46228 # DEPENDENCYPART_ARC
(19,20),0.124608 # DEPENDENCYPART_ARC
(20,1),-3.7726 # DEPENDENCYPART_ARC
(20,2),-4.55093 # DEPENDENCYPART_ARC
(20,3),-4.59679 # DEPENDENCYPART_ARC
(20,4),-3.96291 # DEPENDENCYPART_ARC
(20,5),-4.38339 # DEPENDENCYPART_ARC
(20,6),-4.32584 # DEPENDENCYPART_ARC
(20,7),-3.38109 # DEPENDENCYPART_ARC
(20,8),-3.4496 # DEPENDENCYPART_ARC
(20,9),-3.38272 # DEPENDENCYPART_ARC
(20,10),-4.19162 # DEPENDENCYPART_ARC
(20,11),-3.33288 # DEPENDENCYPART_ARC
(20,12),-3.78036 # DEPENDENCYPART_ARC
(20,13),-3.49805 # DEPENDENCYPART_ARC
(20,14),-3.77346 # DEPENDENCYPART_ARC
(20,15),-3.71352 # DEPENDENCYPART_ARC
(20,16),-2.59912 # DEPENDENCYPART_ARC
(20,17),-2.99558 # DEPENDENCYPART_ARC
(20,18),-1.82166 # DEPENDENCYPART_ARC
(20,19),-2.04876 # DEPENDENCYPART_ARC
