# _root_ En_funció_d' aquesta Diagnosi s' elaborarà el Pla_d'_Acció_Local_per_a_la_Sostenibilitat , configurat per un conjunt d' accions a emprendre , consensuades amb la ciutadania i els agents socials i econòmics locals .
#goldHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,18,15,18,14,18,21,19,21,24,21,24,25,25,24,5,
#predictedHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,12,15,18,16,18,21,19,21,24,21,24,25,25,24,5,
(2,25),-3.97949 # DEPENDENCYPART_ARC
(2,26),-3.43788 # DEPENDENCYPART_ARC
(2,27),-4.70532 # DEPENDENCYPART_ARC
(2,28),-4.07054 # DEPENDENCYPART_ARC
(3,1),0.091415 # DEPENDENCYPART_ARC
(3,2),3.08649 # DEPENDENCYPART_ARC
(3,5),0.165616 # DEPENDENCYPART_ARC
(3,6),-3.8967 # DEPENDENCYPART_ARC
(3,7),-2.37547 # DEPENDENCYPART_ARC
(3,8),-2.6858 # DEPENDENCYPART_ARC
(3,9),-2.21803 # DEPENDENCYPART_ARC
(3,10),-3.24585 # DEPENDENCYPART_ARC
(3,11),-4.40249 # DEPENDENCYPART_ARC
(3,12),-3.17869 # DEPENDENCYPART_ARC
(3,13),-4.14299 # DEPENDENCYPART_ARC
(3,14),-3.38785 # DEPENDENCYPART_ARC
(3,15),-3.86102 # DEPENDENCYPART_ARC
(3,16),-2.08611 # DEPENDENCYPART_ARC
(3,17),-3.34385 # DEPENDENCYPART_ARC
(3,18),-3.25296 # DEPENDENCYPART_ARC
(3,19),-3.74689 # DEPENDENCYPART_ARC
(3,20),-5.54417 # DEPENDENCYPART_ARC
(3,21),-3.91763 # DEPENDENCYPART_ARC
(3,22),-2.65112 # DEPENDENCYPART_ARC
(3,23),-5.33703 # DEPENDENCYPART_ARC
(3,24),-3.87643 # DEPENDENCYPART_ARC
(3,25),-5.01828 # DEPENDENCYPART_ARC
(3,26),-4.18485 # DEPENDENCYPART_ARC
(3,27),-6.0524 # DEPENDENCYPART_ARC
(3,28),-4.92962 # DEPENDENCYPART_ARC
(3,29),-1.07581 # DEPENDENCYPART_ARC
(5,1),2.51161 # DEPENDENCYPART_ARC
(5,2),0.0352644 # DEPENDENCYPART_ARC
(5,3),1.58578 # DEPENDENCYPART_ARC
(5,4),4.90731 # DEPENDENCYPART_ARC
(5,6),-1.02179 # DEPENDENCYPART_ARC
(5,7),3.60734 # DEPENDENCYPART_ARC
(5,8),0.81105 # DEPENDENCYPART_ARC
(5,9),1.06415 # DEPENDENCYPART_ARC
(5,10),1.57727 # DEPENDENCYPART_ARC
(5,12),0.882421 # DEPENDENCYPART_ARC
(5,13),-0.167879 # DEPENDENCYPART_ARC
(5,14),0.376921 # DEPENDENCYPART_ARC
(5,15),1.43126 # DEPENDENCYPART_ARC
(5,16),0.700417 # DEPENDENCYPART_ARC
(5,17),-0.272535 # DEPENDENCYPART_ARC
(5,18),-0.724519 # DEPENDENCYPART_ARC
(5,19),0.545033 # DEPENDENCYPART_ARC
(5,20),-3.67202 # DEPENDENCYPART_ARC
(5,21),-0.270916 # DEPENDENCYPART_ARC
(5,22),0.375968 # DEPENDENCYPART_ARC
(5,23),-3.76624 # DEPENDENCYPART_ARC
(5,24),-0.95187 # DEPENDENCYPART_ARC
(5,25),-1.59237 # DEPENDENCYPART_ARC
(5,26),-0.42 # DEPENDENCYPART_ARC
(5,27),-1.76923 # DEPENDENCYPART_ARC
(5,28),-1.7054 # DEPENDENCYPART_ARC
(5,29),4.73851 # DEPENDENCYPART_ARC
(6,1),-2.61454 # DEPENDENCYPART_ARC
(6,2),-1.8772 # DEPENDENCYPART_ARC
(6,3),-2.46079 # DEPENDENCYPART_ARC
(6,7),-0.482563 # DEPENDENCYPART_ARC
(6,9),-2.79236 # DEPENDENCYPART_ARC
(6,10),-2.53394 # DEPENDENCYPART_ARC
(6,11),-1.63879 # DEPENDENCYPART_ARC
(6,12),-2.70311 # DEPENDENCYPART_ARC
(6,13),-2.58671 # DEPENDENCYPART_ARC
(6,14),-4.06658 # DEPENDENCYPART_ARC
(6,15),-4.35231 # DEPENDENCYPART_ARC
(6,18),-5.91725 # DEPENDENCYPART_ARC
(6,19),-5.09893 # DEPENDENCYPART_ARC
(6,20),-6.14591 # DEPENDENCYPART_ARC
(6,21),-4.89885 # DEPENDENCYPART_ARC
(6,22),-3.86936 # DEPENDENCYPART_ARC
(6,23),-6.64177 # DEPENDENCYPART_ARC
(6,24),-5.94793 # DEPENDENCYPART_ARC
(6,25),-4.64224 # DEPENDENCYPART_ARC
(6,26),-4.09995 # DEPENDENCYPART_ARC
(6,27),-4.25312 # DEPENDENCYPART_ARC
(6,28),-4.70451 # DEPENDENCYPART_ARC
(7,1),-0.709982 # DEPENDENCYPART_ARC
(7,2),-0.565881 # DEPENDENCYPART_ARC
(7,3),-1.65901 # DEPENDENCYPART_ARC
(7,5),-0.170282 # DEPENDENCYPART_ARC
(7,6),3.39162 # DEPENDENCYPART_ARC
(7,8),0.840917 # DEPENDENCYPART_ARC
(7,9),2.0749 # DEPENDENCYPART_ARC
(7,10),0.362147 # DEPENDENCYPART_ARC
(7,11),-1.05519 # DEPENDENCYPART_ARC
(7,12),0.655413 # DEPENDENCYPART_ARC
(7,13),0.165006 # DEPENDENCYPART_ARC
(7,14),0.294596 # DEPENDENCYPART_ARC
(7,15),-0.118407 # DEPENDENCYPART_ARC
(7,16),0.971986 # DEPENDENCYPART_ARC
(7,17),-0.789239 # DEPENDENCYPART_ARC
(7,18),-0.703502 # DEPENDENCYPART_ARC
(7,19),-1.17696 # DEPENDENCYPART_ARC
(7,20),-2.84296 # DEPENDENCYPART_ARC
(7,21),-0.587879 # DEPENDENCYPART_ARC
(7,22),0.441335 # DEPENDENCYPART_ARC
(7,23),-2.61188 # DEPENDENCYPART_ARC
(7,24),-0.740403 # DEPENDENCYPART_ARC
(7,25),-1.78047 # DEPENDENCYPART_ARC
(7,26),-1.36752 # DEPENDENCYPART_ARC
(7,27),-2.55794 # DEPENDENCYPART_ARC
(7,28),-1.70325 # DEPENDENCYPART_ARC
(7,29),0.94793 # DEPENDENCYPART_ARC
(8,9),-0.165578 # DEPENDENCYPART_ARC
(8,12),-1.56976 # DEPENDENCYPART_ARC
(8,14),-1.75469 # DEPENDENCYPART_ARC
(8,17),-1.24912 # DEPENDENCYPART_ARC
(8,18),-2.20127 # DEPENDENCYPART_ARC
(8,21),-2.31902 # DEPENDENCYPART_ARC
(8,24),-2.19289 # DEPENDENCYPART_ARC
(8,25),-2.19777 # DEPENDENCYPART_ARC
(8,27),-2.15589 # DEPENDENCYPART_ARC
(8,28),-2.15006 # DEPENDENCYPART_ARC
(9,1),-0.553008 # DEPENDENCYPART_ARC
(9,2),-1.64454 # DEPENDENCYPART_ARC
(9,3),-1.6113 # DEPENDENCYPART_ARC
(9,5),-0.663612 # DEPENDENCYPART_ARC
(9,6),0.742592 # DEPENDENCYPART_ARC
(9,7),-0.0913351 # DEPENDENCYPART_ARC
(9,8),3.11295 # DEPENDENCYPART_ARC
(9,10),4.47049 # DEPENDENCYPART_ARC
(9,11),-0.811554 # DEPENDENCYPART_ARC
(9,12),1.44868 # DEPENDENCYPART_ARC
(9,13),1.14961 # DEPENDENCYPART_ARC
(9,14),0.746434 # DEPENDENCYPART_ARC
(9,15),1.48001 # DEPENDENCYPART_ARC
(9,16),0.768634 # DEPENDENCYPART_ARC
(9,17),1.0106 # DEPENDENCYPART_ARC
(9,18),-1.55348 # DEPENDENCYPART_ARC
(9,19),0.826077 # DEPENDENCYPART_ARC
(9,20),-2.86618 # DEPENDENCYPART_ARC
(9,21),-0.413268 # DEPENDENCYPART_ARC
(9,22),0.216823 # DEPENDENCYPART_ARC
(9,23),-2.76931 # DEPENDENCYPART_ARC
(9,24),-0.682425 # DEPENDENCYPART_ARC
(9,25),-2.01943 # DEPENDENCYPART_ARC
(9,26),0.610861 # DEPENDENCYPART_ARC
(9,27),-1.67816 # DEPENDENCYPART_ARC
(9,28),-2.1214 # DEPENDENCYPART_ARC
(9,29),0.746512 # DEPENDENCYPART_ARC
(10,1),-1.70562 # DEPENDENCYPART_ARC
(10,3),-2.33413 # DEPENDENCYPART_ARC
(10,4),-1.5849 # DEPENDENCYPART_ARC
(10,5),-1.07396 # DEPENDENCYPART_ARC
(10,6),-0.899097 # DEPENDENCYPART_ARC
(10,7),-1.61444 # DEPENDENCYPART_ARC
(10,8),0.585525 # DEPENDENCYPART_ARC
(10,9),0.444513 # DEPENDENCYPART_ARC
(10,11),-0.174494 # DEPENDENCYPART_ARC
(10,12),4.35278 # DEPENDENCYPART_ARC
(10,13),-0.0105076 # DEPENDENCYPART_ARC
(10,14),1.75277 # DEPENDENCYPART_ARC
(10,15),-0.493498 # DEPENDENCYPART_ARC
(10,16),0.711795 # DEPENDENCYPART_ARC
(10,17),-0.294161 # DEPENDENCYPART_ARC
(10,18),-0.833137 # DEPENDENCYPART_ARC
(10,19),-1.57405 # DEPENDENCYPART_ARC
(10,20),-3.19034 # DEPENDENCYPART_ARC
(10,21),-1.97665 # DEPENDENCYPART_ARC
(10,22),-0.241168 # DEPENDENCYPART_ARC
(10,23),-2.61633 # DEPENDENCYPART_ARC
(10,24),-4.4058 # DEPENDENCYPART_ARC
(10,25),-2.74325 # DEPENDENCYPART_ARC
(10,26),-0.666002 # DEPENDENCYPART_ARC
(10,27),-3.07974 # DEPENDENCYPART_ARC
(10,28),-2.40107 # DEPENDENCYPART_ARC
(10,29),1.00323 # DEPENDENCYPART_ARC
(11,1),-3.32921 # DEPENDENCYPART_ARC
(11,9),-2.2911 # DEPENDENCYPART_ARC
(11,10),-0.773791 # DEPENDENCYPART_ARC
(11,12),3.47773 # DEPENDENCYPART_ARC
(11,13),1.15128 # DEPENDENCYPART_ARC
(11,14),-0.491294 # DEPENDENCYPART_ARC
(11,15),-1.53978 # DEPENDENCYPART_ARC
(11,18),-4.57465 # DEPENDENCYPART_ARC
(11,19),-3.21313 # DEPENDENCYPART_ARC
(11,21),-2.31506 # DEPENDENCYPART_ARC
(11,22),-2.38368 # DEPENDENCYPART_ARC
(11,24),-3.67621 # DEPENDENCYPART_ARC
(11,25),-3.42868 # DEPENDENCYPART_ARC
(11,26),-2.62125 # DEPENDENCYPART_ARC
(11,27),-3.02151 # DEPENDENCYPART_ARC
(11,28),-3.48977 # DEPENDENCYPART_ARC
(12,1),-1.02614 # DEPENDENCYPART_ARC
(12,2),-2.0109 # DEPENDENCYPART_ARC
(12,3),-1.81186 # DEPENDENCYPART_ARC
(12,5),-1.05812 # DEPENDENCYPART_ARC
(12,6),-0.77281 # DEPENDENCYPART_ARC
(12,7),-1.33523 # DEPENDENCYPART_ARC
(12,8),0.88797 # DEPENDENCYPART_ARC
(12,9),-0.074078 # DEPENDENCYPART_ARC
(12,10),1.38327 # DEPENDENCYPART_ARC
(12,11),4.42535 # DEPENDENCYPART_ARC
(12,13),3.31414 # DEPENDENCYPART_ARC
(12,14),0.758394 # DEPENDENCYPART_ARC
(12,15),1.53971 # DEPENDENCYPART_ARC
(12,16),1.14596 # DEPENDENCYPART_ARC
(12,17),-0.633821 # DEPENDENCYPART_ARC
(12,18),-2.09847 # DEPENDENCYPART_ARC
(12,19),0.377481 # DEPENDENCYPART_ARC
(12,20),-3.0042 # DEPENDENCYPART_ARC
(12,21),-0.688133 # DEPENDENCYPART_ARC
(12,22),0.239825 # DEPENDENCYPART_ARC
(12,23),-2.83271 # DEPENDENCYPART_ARC
(12,24),-0.67872 # DEPENDENCYPART_ARC
(12,25),-2.10409 # DEPENDENCYPART_ARC
(12,26),-1.30103 # DEPENDENCYPART_ARC
(12,27),-3.02209 # DEPENDENCYPART_ARC
(12,28),-2.10758 # DEPENDENCYPART_ARC
(12,29),1.26166 # DEPENDENCYPART_ARC
(13,1),-2.75916 # DEPENDENCYPART_ARC
(13,3),-2.46479 # DEPENDENCYPART_ARC
(13,4),-2.10339 # DEPENDENCYPART_ARC
(13,5),-1.3067 # DEPENDENCYPART_ARC
(13,6),-1.71232 # DEPENDENCYPART_ARC
(13,7),-2.0856 # DEPENDENCYPART_ARC
(13,8),-0.817841 # DEPENDENCYPART_ARC
(13,9),-1.43116 # DEPENDENCYPART_ARC
(13,10),-0.43664 # DEPENDENCYPART_ARC
(13,11),0.48476 # DEPENDENCYPART_ARC
(13,12),0.422824 # DEPENDENCYPART_ARC
(13,14),4.20796 # DEPENDENCYPART_ARC
(13,15),-0.600073 # DEPENDENCYPART_ARC
(13,16),0.264369 # DEPENDENCYPART_ARC
(13,17),-0.885542 # DEPENDENCYPART_ARC
(13,18),-1.16203 # DEPENDENCYPART_ARC
(13,19),-2.28749 # DEPENDENCYPART_ARC
(13,20),-4.00705 # DEPENDENCYPART_ARC
(13,21),-1.5317 # DEPENDENCYPART_ARC
(13,22),-1.06023 # DEPENDENCYPART_ARC
(13,23),-3.58241 # DEPENDENCYPART_ARC
(13,24),-3.83691 # DEPENDENCYPART_ARC
(13,25),-3.62062 # DEPENDENCYPART_ARC
(13,26),-1.55896 # DEPENDENCYPART_ARC
(13,27),-3.64148 # DEPENDENCYPART_ARC
(13,28),-3.17541 # DEPENDENCYPART_ARC
(13,29),-0.489869 # DEPENDENCYPART_ARC
(14,1),-2.34765 # DEPENDENCYPART_ARC
(14,2),-3.12716 # DEPENDENCYPART_ARC
(14,3),-2.64407 # DEPENDENCYPART_ARC
(14,5),-1.32839 # DEPENDENCYPART_ARC
(14,6),-1.73227 # DEPENDENCYPART_ARC
(14,7),-2.14224 # DEPENDENCYPART_ARC
(14,8),-0.467132 # DEPENDENCYPART_ARC
(14,9),-2.92728 # DEPENDENCYPART_ARC
(14,10),-0.580792 # DEPENDENCYPART_ARC
(14,11),1.88592 # DEPENDENCYPART_ARC
(14,12),-0.63056 # DEPENDENCYPART_ARC
(14,13),0.854636 # DEPENDENCYPART_ARC
(14,15),0.935867 # DEPENDENCYPART_ARC
(14,16),1.18169 # DEPENDENCYPART_ARC
(14,17),-0.894921 # DEPENDENCYPART_ARC
(14,18),1.69117 # DEPENDENCYPART_ARC
(14,19),0.145773 # DEPENDENCYPART_ARC
(14,20),-2.88709 # DEPENDENCYPART_ARC
(14,21),-1.34128 # DEPENDENCYPART_ARC
(14,22),-0.425335 # DEPENDENCYPART_ARC
(14,23),-2.75519 # DEPENDENCYPART_ARC
(14,24),-0.836659 # DEPENDENCYPART_ARC
(14,25),-0.0107401 # DEPENDENCYPART_ARC
(14,26),-1.78804 # DEPENDENCYPART_ARC
(14,27),-2.72215 # DEPENDENCYPART_ARC
(14,28),-0.139453 # DEPENDENCYPART_ARC
(14,29),-0.0276678 # DEPENDENCYPART_ARC
(15,1),-3.24944 # DEPENDENCYPART_ARC
(15,3),-3.10374 # DEPENDENCYPART_ARC
(15,4),-2.1126 # DEPENDENCYPART_ARC
(15,5),-1.17475 # DEPENDENCYPART_ARC
(15,6),-2.57507 # DEPENDENCYPART_ARC
(15,7),-2.6974 # DEPENDENCYPART_ARC
(15,8),-0.824491 # DEPENDENCYPART_ARC
(15,9),-1.88085 # DEPENDENCYPART_ARC
(15,10),-0.88907 # DEPENDENCYPART_ARC
(15,11),-1.23888 # DEPENDENCYPART_ARC
(15,12),-1.51888 # DEPENDENCYPART_ARC
(15,13),-0.399418 # DEPENDENCYPART_ARC
(15,14),0.312725 # DEPENDENCYPART_ARC
(15,16),4.53089 # DEPENDENCYPART_ARC
(15,17),0.444203 # DEPENDENCYPART_ARC
(15,18),0.478365 # DEPENDENCYPART_ARC
(15,19),-1.03369 # DEPENDENCYPART_ARC
(15,20),-2.72938 # DEPENDENCYPART_ARC
(15,21),0.0654406 # DEPENDENCYPART_ARC
(15,22),0.502621 # DEPENDENCYPART_ARC
(15,23),-2.67196 # DEPENDENCYPART_ARC
(15,24),-2.84319 # DEPENDENCYPART_ARC
(15,25),-1.94137 # DEPENDENCYPART_ARC
(15,26),-0.422881 # DEPENDENCYPART_ARC
(15,27),-2.17096 # DEPENDENCYPART_ARC
(15,28),-1.60605 # DEPENDENCYPART_ARC
(15,29),0.520535 # DEPENDENCYPART_ARC
(16,1),-0.911025 # DEPENDENCYPART_ARC
(16,2),-2.71117 # DEPENDENCYPART_ARC
(16,3),-0.676851 # DEPENDENCYPART_ARC
(16,4),0.575795 # DEPENDENCYPART_ARC
(16,5),-0.601099 # DEPENDENCYPART_ARC
(16,6),-1.99068 # DEPENDENCYPART_ARC
(16,7),-0.85229 # DEPENDENCYPART_ARC
(16,8),-1.06858 # DEPENDENCYPART_ARC
(16,9),-1.09575 # DEPENDENCYPART_ARC
(16,10),-1.38774 # DEPENDENCYPART_ARC
(16,12),-0.304752 # DEPENDENCYPART_ARC
(16,13),-0.585255 # DEPENDENCYPART_ARC
(16,14),0.198144 # DEPENDENCYPART_ARC
(16,15),1.44858 # DEPENDENCYPART_ARC
(16,17),1.28847 # DEPENDENCYPART_ARC
(16,18),2.97641 # DEPENDENCYPART_ARC
(16,19),2.91151 # DEPENDENCYPART_ARC
(16,20),-1.74909 # DEPENDENCYPART_ARC
(16,21),2.27713 # DEPENDENCYPART_ARC
(16,22),1.08071 # DEPENDENCYPART_ARC
(16,23),-1.99161 # DEPENDENCYPART_ARC
(16,24),1.25018 # DEPENDENCYPART_ARC
(16,25),0.691915 # DEPENDENCYPART_ARC
(16,26),0.493404 # DEPENDENCYPART_ARC
(16,27),0.393739 # DEPENDENCYPART_ARC
(16,28),0.390774 # DEPENDENCYPART_ARC
(16,29),4.38344 # DEPENDENCYPART_ARC
(17,8),-2.15411 # DEPENDENCYPART_ARC
(17,9),-2.93129 # DEPENDENCYPART_ARC
(17,12),-3.33993 # DEPENDENCYPART_ARC
(17,14),-2.76558 # DEPENDENCYPART_ARC
(17,18),-0.0873996 # DEPENDENCYPART_ARC
(17,21),-1.53775 # DEPENDENCYPART_ARC
(17,24),-1.59619 # DEPENDENCYPART_ARC
(17,25),-1.59168 # DEPENDENCYPART_ARC
(17,27),-1.47619 # DEPENDENCYPART_ARC
(17,28),-1.49234 # DEPENDENCYPART_ARC
(18,1),-2.31864 # DEPENDENCYPART_ARC
(18,2),-2.01479 # DEPENDENCYPART_ARC
(18,3),-2.9427 # DEPENDENCYPART_ARC
(18,5),-2.28933 # DEPENDENCYPART_ARC
(18,6),-1.28707 # DEPENDENCYPART_ARC
(18,7),-2.83307 # DEPENDENCYPART_ARC
(18,8),-0.732544 # DEPENDENCYPART_ARC
(18,9),-3.17672 # DEPENDENCYPART_ARC
(18,10),-1.18496 # DEPENDENCYPART_ARC
(18,11),-1.38455 # DEPENDENCYPART_ARC
(18,12),-1.78625 # DEPENDENCYPART_ARC
(18,13),0.212586 # DEPENDENCYPART_ARC
(18,14),-0.508839 # DEPENDENCYPART_ARC
(18,15),0.664795 # DEPENDENCYPART_ARC
(18,16),-0.594864 # DEPENDENCYPART_ARC
(18,17),2.35029 # DEPENDENCYPART_ARC
(18,19),4.40031 # DEPENDENCYPART_ARC
(18,20),-1.39559 # DEPENDENCYPART_ARC
(18,21),0.97474 # DEPENDENCYPART_ARC
(18,22),1.35573 # DEPENDENCYPART_ARC
(18,23),-1.75188 # DEPENDENCYPART_ARC
(18,24),0.328951 # DEPENDENCYPART_ARC
(18,25),0.619424 # DEPENDENCYPART_ARC
(18,26),1.55724 # DEPENDENCYPART_ARC
(18,27),0.302111 # DEPENDENCYPART_ARC
(18,28),0.567069 # DEPENDENCYPART_ARC
(18,29),1.66296 # DEPENDENCYPART_ARC
(19,1),-2.6274 # DEPENDENCYPART_ARC
(19,3),-3.10607 # DEPENDENCYPART_ARC
(19,4),-2.0515 # DEPENDENCYPART_ARC
(19,5),-1.87674 # DEPENDENCYPART_ARC
(19,6),-2.66176 # DEPENDENCYPART_ARC
(19,7),-3.05364 # DEPENDENCYPART_ARC
(19,8),-1.32319 # DEPENDENCYPART_ARC
(19,9),-2.22061 # DEPENDENCYPART_ARC
(19,10),-1.44565 # DEPENDENCYPART_ARC
(19,11),-1.90316 # DEPENDENCYPART_ARC
(19,12),-2.33731 # DEPENDENCYPART_ARC
(19,13),-1.22464 # DEPENDENCYPART_ARC
(19,14),-1.87782 # DEPENDENCYPART_ARC
(19,15),-0.69368 # DEPENDENCYPART_ARC
(19,16),-0.404456 # DEPENDENCYPART_ARC
(19,17),1.15057 # DEPENDENCYPART_ARC
(19,18),0.64082 # DEPENDENCYPART_ARC
(19,20),-0.347684 # DEPENDENCYPART_ARC
(19,21),4.83032 # DEPENDENCYPART_ARC
(19,22),0.959416 # DEPENDENCYPART_ARC
(19,23),-1.77503 # DEPENDENCYPART_ARC
(19,24),0.47382 # DEPENDENCYPART_ARC
(19,25),-0.76431 # DEPENDENCYPART_ARC
(19,26),0.515981 # DEPENDENCYPART_ARC
(19,27),-1.22613 # DEPENDENCYPART_ARC
(19,28),-0.491002 # DEPENDENCYPART_ARC
(19,29),0.734039 # DEPENDENCYPART_ARC
(20,1),-4.20503 # DEPENDENCYPART_ARC
(20,2),-4.39205 # DEPENDENCYPART_ARC
(20,3),-3.76253 # DEPENDENCYPART_ARC
(20,6),-5.00399 # DEPENDENCYPART_ARC
(20,7),-3.63392 # DEPENDENCYPART_ARC
(20,9),-4.0037 # DEPENDENCYPART_ARC
(20,10),-3.39894 # DEPENDENCYPART_ARC
(20,11),-4.23466 # DEPENDENCYPART_ARC
(20,12),-3.27079 # DEPENDENCYPART_ARC
(20,13),-3.07608 # DEPENDENCYPART_ARC
(20,14),-3.30657 # DEPENDENCYPART_ARC
(20,15),-2.92285 # DEPENDENCYPART_ARC
(20,18),-1.77635 # DEPENDENCYPART_ARC
(20,19),-0.760941 # DEPENDENCYPART_ARC
(20,21),1.31038 # DEPENDENCYPART_ARC
(20,22),-0.630131 # DEPENDENCYPART_ARC
(20,23),-0.470457 # DEPENDENCYPART_ARC
(20,24),-2.41688 # DEPENDENCYPART_ARC
(20,25),-2.87749 # DEPENDENCYPART_ARC
(20,26),-1.99285 # DEPENDENCYPART_ARC
(20,27),-4.11244 # DEPENDENCYPART_ARC
(20,28),-3.54672 # DEPENDENCYPART_ARC
(21,1),-2.8922 # DEPENDENCYPART_ARC
(21,2),-5.09735 # DEPENDENCYPART_ARC
(21,3),-3.35736 # DEPENDENCYPART_ARC
(21,5),-2.99655 # DEPENDENCYPART_ARC
(21,6),-6.6138 # DEPENDENCYPART_ARC
(21,7),-3.3101 # DEPENDENCYPART_ARC
(21,8),-2.34835 # DEPENDENCYPART_ARC
(21,9),-3.41824 # DEPENDENCYPART_ARC
(21,10),-2.26617 # DEPENDENCYPART_ARC
(21,11),-2.5475 # DEPENDENCYPART_ARC
(21,12),-2.60307 # DEPENDENCYPART_ARC
(21,13),-1.69571 # DEPENDENCYPART_ARC
(21,14),-1.26104 # DEPENDENCYPART_ARC
(21,15),-1.62648 # DEPENDENCYPART_ARC
(21,16),-1.14495 # DEPENDENCYPART_ARC
(21,17),-0.419209 # DEPENDENCYPART_ARC
(21,18),-0.579755 # DEPENDENCYPART_ARC
(21,19),0.107182 # DEPENDENCYPART_ARC
(21,20),4.09873 # DEPENDENCYPART_ARC
(21,22),2.63362 # DEPENDENCYPART_ARC
(21,23),-1.28424 # DEPENDENCYPART_ARC
(21,24),1.77354 # DEPENDENCYPART_ARC
(21,25),0.502792 # DEPENDENCYPART_ARC
(21,26),0.762134 # DEPENDENCYPART_ARC
(21,27),-2.76915 # DEPENDENCYPART_ARC
(21,28),-0.250921 # DEPENDENCYPART_ARC
(21,29),1.71933 # DEPENDENCYPART_ARC
(22,3),-4.3458 # DEPENDENCYPART_ARC
(22,7),-4.15146 # DEPENDENCYPART_ARC
(22,8),-3.64473 # DEPENDENCYPART_ARC
(22,17),-2.70324 # DEPENDENCYPART_ARC
(23,1),-3.46841 # DEPENDENCYPART_ARC
(23,2),-4.09311 # DEPENDENCYPART_ARC
(23,3),-3.42773 # DEPENDENCYPART_ARC
(23,6),-3.73704 # DEPENDENCYPART_ARC
(23,7),-3.27215 # DEPENDENCYPART_ARC
(23,9),-3.49129 # DEPENDENCYPART_ARC
(23,10),-2.65474 # DEPENDENCYPART_ARC
(23,11),-2.92541 # DEPENDENCYPART_ARC
(23,12),-2.99199 # DEPENDENCYPART_ARC
(23,13),-2.29563 # DEPENDENCYPART_ARC
(23,14),-2.50506 # DEPENDENCYPART_ARC
(23,15),-2.29096 # DEPENDENCYPART_ARC
(23,18),-1.9988 # DEPENDENCYPART_ARC
(23,19),-1.01127 # DEPENDENCYPART_ARC
(23,20),-0.146447 # DEPENDENCYPART_ARC
(23,21),-1.3209 # DEPENDENCYPART_ARC
(23,22),0.0968682 # DEPENDENCYPART_ARC
