# _root_ El Congrés s' havia plantejat de consens a l' entorn_de Preses , que ha iniciat el tercer mandat al_capdavant_de Comissions , si_bé una hora abans d' acabar -se el termini Àngel_González ha presentat la_seva candidatura .
#goldHeads=2,5,5,5,0,5,6,7,10,8,10,15,15,15,11,18,18,15,15,19,15,33,24,25,33,25,26,27,30,27,33,33,5,35,33,5,
#predictedHeads=2,5,5,5,0,5,6,5,10,8,10,15,15,15,11,18,18,15,15,19,33,33,24,25,15,25,26,27,30,33,30,33,15,35,33,15,
(2,19),-3.90651 # DEPENDENCYPART_ARC
(2,20),-3.83875 # DEPENDENCYPART_ARC
(2,21),-3.37455 # DEPENDENCYPART_ARC
(2,22),-3.20458 # DEPENDENCYPART_ARC
(2,23),-5.56518 # DEPENDENCYPART_ARC
(2,24),-5.82825 # DEPENDENCYPART_ARC
(2,25),-3.29727 # DEPENDENCYPART_ARC
(2,26),-8.21596 # DEPENDENCYPART_ARC
(2,27),-4.78587 # DEPENDENCYPART_ARC
(2,29),-5.78923 # DEPENDENCYPART_ARC
(2,30),-6.00646 # DEPENDENCYPART_ARC
(2,31),-5.62527 # DEPENDENCYPART_ARC
(2,32),-5.73222 # DEPENDENCYPART_ARC
(2,33),-3.9933 # DEPENDENCYPART_ARC
(2,34),-6.27115 # DEPENDENCYPART_ARC
(2,35),-5.9063 # DEPENDENCYPART_ARC
(2,36),-1.01412 # DEPENDENCYPART_ARC
(4,1),-1.82981 # DEPENDENCYPART_ARC
(4,2),-0.904831 # DEPENDENCYPART_ARC
(4,3),1.96783 # DEPENDENCYPART_ARC
(4,5),1.61772 # DEPENDENCYPART_ARC
(4,6),-1.60939 # DEPENDENCYPART_ARC
(4,7),-1.00585 # DEPENDENCYPART_ARC
(4,8),-0.341479 # DEPENDENCYPART_ARC
(4,9),-3.49063 # DEPENDENCYPART_ARC
(4,10),-0.946166 # DEPENDENCYPART_ARC
(4,11),-1.85021 # DEPENDENCYPART_ARC
(4,12),-0.79341 # DEPENDENCYPART_ARC
(4,13),-3.8497 # DEPENDENCYPART_ARC
(4,14),-2.30129 # DEPENDENCYPART_ARC
(4,15),-1.6227 # DEPENDENCYPART_ARC
(4,16),-5.51108 # DEPENDENCYPART_ARC
(4,18),-2.43314 # DEPENDENCYPART_ARC
(4,19),-1.4758 # DEPENDENCYPART_ARC
(4,20),-2.8718 # DEPENDENCYPART_ARC
(4,21),-0.970401 # DEPENDENCYPART_ARC
(4,22),-3.26489 # DEPENDENCYPART_ARC
(4,23),-5.49965 # DEPENDENCYPART_ARC
(4,24),-4.56005 # DEPENDENCYPART_ARC
(4,25),-2.78357 # DEPENDENCYPART_ARC
(4,26),-4.60927 # DEPENDENCYPART_ARC
(4,27),-2.83455 # DEPENDENCYPART_ARC
(4,28),-2.99562 # DEPENDENCYPART_ARC
(4,29),-5.97043 # DEPENDENCYPART_ARC
(4,30),-3.91444 # DEPENDENCYPART_ARC
(4,31),-4.42274 # DEPENDENCYPART_ARC
(4,32),-3.61195 # DEPENDENCYPART_ARC
(4,33),-2.65408 # DEPENDENCYPART_ARC
(4,35),-3.96582 # DEPENDENCYPART_ARC
(4,36),2.74303 # DEPENDENCYPART_ARC
(5,1),0.574421 # DEPENDENCYPART_ARC
(5,2),2.35007 # DEPENDENCYPART_ARC
(5,3),4.14733 # DEPENDENCYPART_ARC
(5,4),5.74756 # DEPENDENCYPART_ARC
(5,6),2.30786 # DEPENDENCYPART_ARC
(5,7),2.51651 # DEPENDENCYPART_ARC
(5,8),2.54958 # DEPENDENCYPART_ARC
(5,9),-1.2046 # DEPENDENCYPART_ARC
(5,10),1.73269 # DEPENDENCYPART_ARC
(5,11),0.18227 # DEPENDENCYPART_ARC
(5,12),0.748304 # DEPENDENCYPART_ARC
(5,13),-1.51076 # DEPENDENCYPART_ARC
(5,14),0.960223 # DEPENDENCYPART_ARC
(5,15),0.788978 # DEPENDENCYPART_ARC
(5,16),-2.98579 # DEPENDENCYPART_ARC
(5,17),-0.753065 # DEPENDENCYPART_ARC
(5,18),0.165196 # DEPENDENCYPART_ARC
(5,19),0.694105 # DEPENDENCYPART_ARC
(5,20),-0.973895 # DEPENDENCYPART_ARC
(5,21),1.45077 # DEPENDENCYPART_ARC
(5,22),-0.899921 # DEPENDENCYPART_ARC
(5,24),-1.66394 # DEPENDENCYPART_ARC
(5,25),0.201374 # DEPENDENCYPART_ARC
(5,26),-2.5439 # DEPENDENCYPART_ARC
(5,27),-1.42146 # DEPENDENCYPART_ARC
(5,28),-0.990031 # DEPENDENCYPART_ARC
(5,29),-3.60361 # DEPENDENCYPART_ARC
(5,30),-1.73927 # DEPENDENCYPART_ARC
(5,31),-1.95947 # DEPENDENCYPART_ARC
(5,32),-0.991218 # DEPENDENCYPART_ARC
(5,33),0.544469 # DEPENDENCYPART_ARC
(5,35),-1.42573 # DEPENDENCYPART_ARC
(5,36),5.64691 # DEPENDENCYPART_ARC
(6,1),-1.74312 # DEPENDENCYPART_ARC
(6,2),-2.44095 # DEPENDENCYPART_ARC
(6,3),-1.79783 # DEPENDENCYPART_ARC
(6,4),-0.742836 # DEPENDENCYPART_ARC
(6,5),-0.832552 # DEPENDENCYPART_ARC
(6,7),4.78273 # DEPENDENCYPART_ARC
(6,8),-0.236957 # DEPENDENCYPART_ARC
(6,9),-1.86311 # DEPENDENCYPART_ARC
(6,10),0.0267821 # DEPENDENCYPART_ARC
(6,11),1.28177 # DEPENDENCYPART_ARC
(6,12),-0.371902 # DEPENDENCYPART_ARC
(6,13),-3.73644 # DEPENDENCYPART_ARC
(6,14),-1.05793 # DEPENDENCYPART_ARC
(6,15),-0.687805 # DEPENDENCYPART_ARC
(6,16),-3.59565 # DEPENDENCYPART_ARC
(6,17),-2.81408 # DEPENDENCYPART_ARC
(6,18),-4.72612 # DEPENDENCYPART_ARC
(6,19),-2.11136 # DEPENDENCYPART_ARC
(6,20),-5.52568 # DEPENDENCYPART_ARC
(6,21),-1.02435 # DEPENDENCYPART_ARC
(6,22),-1.31154 # DEPENDENCYPART_ARC
(6,23),-3.43227 # DEPENDENCYPART_ARC
(6,24),-8.92185 # DEPENDENCYPART_ARC
(6,25),-2.09578 # DEPENDENCYPART_ARC
(6,26),-1.92931 # DEPENDENCYPART_ARC
(6,27),-3.1797 # DEPENDENCYPART_ARC
(6,28),-7.51148 # DEPENDENCYPART_ARC
(6,29),-3.68016 # DEPENDENCYPART_ARC
(6,30),-11.8666 # DEPENDENCYPART_ARC
(6,31),-13.9838 # DEPENDENCYPART_ARC
(6,32),-6.1679 # DEPENDENCYPART_ARC
(6,33),-4.61063 # DEPENDENCYPART_ARC
(6,35),-15.9426 # DEPENDENCYPART_ARC
(6,36),-1.15612 # DEPENDENCYPART_ARC
(7,1),-1.89832 # DEPENDENCYPART_ARC
(7,2),-1.6912 # DEPENDENCYPART_ARC
(7,4),-1.31833 # DEPENDENCYPART_ARC
(7,5),-1.347 # DEPENDENCYPART_ARC
(7,6),1.07769 # DEPENDENCYPART_ARC
(7,8),1.18068 # DEPENDENCYPART_ARC
(7,9),-0.918466 # DEPENDENCYPART_ARC
(7,10),0.315385 # DEPENDENCYPART_ARC
(7,11),0.0851804 # DEPENDENCYPART_ARC
(7,12),-1.00836 # DEPENDENCYPART_ARC
(7,13),-3.15257 # DEPENDENCYPART_ARC
(7,14),0.164812 # DEPENDENCYPART_ARC
(7,15),0.378815 # DEPENDENCYPART_ARC
(7,16),-2.62618 # DEPENDENCYPART_ARC
(7,17),-1.38071 # DEPENDENCYPART_ARC
(7,18),-1.81585 # DEPENDENCYPART_ARC
(7,19),-0.465031 # DEPENDENCYPART_ARC
(7,20),-1.68833 # DEPENDENCYPART_ARC
(7,21),-1.54574 # DEPENDENCYPART_ARC
(7,22),-1.43474 # DEPENDENCYPART_ARC
(7,23),-3.98504 # DEPENDENCYPART_ARC
(7,24),-3.25663 # DEPENDENCYPART_ARC
(7,25),-1.525 # DEPENDENCYPART_ARC
(7,26),-4.53968 # DEPENDENCYPART_ARC
(7,27),-3.60316 # DEPENDENCYPART_ARC
(7,29),-3.90957 # DEPENDENCYPART_ARC
(7,30),-3.08288 # DEPENDENCYPART_ARC
(7,31),-2.50144 # DEPENDENCYPART_ARC
(7,32),-5.02914 # DEPENDENCYPART_ARC
(7,33),-2.94006 # DEPENDENCYPART_ARC
(7,34),-2.91728 # DEPENDENCYPART_ARC
(7,35),-3.40377 # DEPENDENCYPART_ARC
(7,36),-0.181269 # DEPENDENCYPART_ARC
(8,1),-2.30789 # DEPENDENCYPART_ARC
(8,2),-2.45375 # DEPENDENCYPART_ARC
(8,3),-1.58239 # DEPENDENCYPART_ARC
(8,4),-0.440666 # DEPENDENCYPART_ARC
(8,5),-1.34351 # DEPENDENCYPART_ARC
(8,6),-0.284534 # DEPENDENCYPART_ARC
(8,7),0.0503836 # DEPENDENCYPART_ARC
(8,9),0.50642 # DEPENDENCYPART_ARC
(8,10),1.84276 # DEPENDENCYPART_ARC
(8,11),3.6691 # DEPENDENCYPART_ARC
(8,12),0.553052 # DEPENDENCYPART_ARC
(8,13),-0.270261 # DEPENDENCYPART_ARC
(8,14),0.256273 # DEPENDENCYPART_ARC
(8,15),0.139747 # DEPENDENCYPART_ARC
(8,16),-2.76683 # DEPENDENCYPART_ARC
(8,17),-1.59493 # DEPENDENCYPART_ARC
(8,18),-1.8779 # DEPENDENCYPART_ARC
(8,19),-1.20239 # DEPENDENCYPART_ARC
(8,20),-3.85651 # DEPENDENCYPART_ARC
(8,21),-1.018 # DEPENDENCYPART_ARC
(8,22),-0.650989 # DEPENDENCYPART_ARC
(8,23),-2.533 # DEPENDENCYPART_ARC
(8,24),-6.65901 # DEPENDENCYPART_ARC
(8,25),-1.01456 # DEPENDENCYPART_ARC
(8,26),-2.77854 # DEPENDENCYPART_ARC
(8,27),-2.36301 # DEPENDENCYPART_ARC
(8,28),-5.06068 # DEPENDENCYPART_ARC
(8,29),-2.8544 # DEPENDENCYPART_ARC
(8,30),-9.35822 # DEPENDENCYPART_ARC
(8,31),-11.6628 # DEPENDENCYPART_ARC
(8,32),-5.77834 # DEPENDENCYPART_ARC
(8,33),-4.50212 # DEPENDENCYPART_ARC
(8,35),-13.6684 # DEPENDENCYPART_ARC
(8,36),-1.75059 # DEPENDENCYPART_ARC
(9,1),-2.56505 # DEPENDENCYPART_ARC
(9,2),-2.59976 # DEPENDENCYPART_ARC
(9,6),-1.39197 # DEPENDENCYPART_ARC
(9,7),-0.881095 # DEPENDENCYPART_ARC
(9,8),-0.207455 # DEPENDENCYPART_ARC
(9,10),-0.227432 # DEPENDENCYPART_ARC
(9,11),-0.70746 # DEPENDENCYPART_ARC
(9,13),-2.36591 # DEPENDENCYPART_ARC
(9,16),-4.08008 # DEPENDENCYPART_ARC
(9,17),-3.63924 # DEPENDENCYPART_ARC
(9,18),-3.392 # DEPENDENCYPART_ARC
(9,19),-4.02329 # DEPENDENCYPART_ARC
(9,20),-4.13811 # DEPENDENCYPART_ARC
(9,23),-4.5717 # DEPENDENCYPART_ARC
(9,24),-3.852 # DEPENDENCYPART_ARC
(9,25),-3.37921 # DEPENDENCYPART_ARC
(9,26),-4.71641 # DEPENDENCYPART_ARC
(9,29),-6.77128 # DEPENDENCYPART_ARC
(9,30),-4.88502 # DEPENDENCYPART_ARC
(9,31),-5.03422 # DEPENDENCYPART_ARC
(9,34),-7.45401 # DEPENDENCYPART_ARC
(9,35),-5.16284 # DEPENDENCYPART_ARC
(10,1),-0.982971 # DEPENDENCYPART_ARC
(10,2),-1.30776 # DEPENDENCYPART_ARC
(10,3),-0.942234 # DEPENDENCYPART_ARC
(10,4),-0.0320824 # DEPENDENCYPART_ARC
(10,5),-1.00938 # DEPENDENCYPART_ARC
(10,6),-0.0866067 # DEPENDENCYPART_ARC
(10,7),-0.0937965 # DEPENDENCYPART_ARC
(10,8),0.739049 # DEPENDENCYPART_ARC
(10,9),3.32514 # DEPENDENCYPART_ARC
(10,11),4.99534 # DEPENDENCYPART_ARC
(10,12),0.891611 # DEPENDENCYPART_ARC
(10,13),-0.767145 # DEPENDENCYPART_ARC
(10,14),0.285898 # DEPENDENCYPART_ARC
(10,15),0.749574 # DEPENDENCYPART_ARC
(10,16),-3.04112 # DEPENDENCYPART_ARC
(10,17),-2.05653 # DEPENDENCYPART_ARC
(10,18),-3.30875 # DEPENDENCYPART_ARC
(10,19),-0.787308 # DEPENDENCYPART_ARC
(10,20),-3.94938 # DEPENDENCYPART_ARC
(10,21),-0.610831 # DEPENDENCYPART_ARC
(10,22),0.0751123 # DEPENDENCYPART_ARC
(10,23),-3.00152 # DEPENDENCYPART_ARC
(10,24),-7.4218 # DEPENDENCYPART_ARC
(10,25),-1.21088 # DEPENDENCYPART_ARC
(10,26),-1.72837 # DEPENDENCYPART_ARC
(10,27),-2.32132 # DEPENDENCYPART_ARC
(10,28),-5.39979 # DEPENDENCYPART_ARC
(10,29),-3.31901 # DEPENDENCYPART_ARC
(10,30),-10.0467 # DEPENDENCYPART_ARC
(10,31),-12.035 # DEPENDENCYPART_ARC
(10,32),-5.09283 # DEPENDENCYPART_ARC
(10,33),-3.28762 # DEPENDENCYPART_ARC
(10,35),-13.532 # DEPENDENCYPART_ARC
(10,36),-1.13712 # DEPENDENCYPART_ARC
(11,1),-5.00984 # DEPENDENCYPART_ARC
(11,2),-3.37882 # DEPENDENCYPART_ARC
(11,4),-3.43966 # DEPENDENCYPART_ARC
(11,5),-2.79179 # DEPENDENCYPART_ARC
(11,6),-2.07973 # DEPENDENCYPART_ARC
(11,7),-1.52965 # DEPENDENCYPART_ARC
(11,8),-1.1056 # DEPENDENCYPART_ARC
(11,9),0.693295 # DEPENDENCYPART_ARC
(11,10),-0.00395236 # DEPENDENCYPART_ARC
(11,12),0.141397 # DEPENDENCYPART_ARC
(11,13),-0.170339 # DEPENDENCYPART_ARC
(11,14),1.54235 # DEPENDENCYPART_ARC
(11,15),1.57491 # DEPENDENCYPART_ARC
(11,16),-1.44551 # DEPENDENCYPART_ARC
(11,17),-0.59576 # DEPENDENCYPART_ARC
(11,18),-0.489134 # DEPENDENCYPART_ARC
(11,19),-0.26973 # DEPENDENCYPART_ARC
(11,20),-0.125928 # DEPENDENCYPART_ARC
(11,21),-0.323873 # DEPENDENCYPART_ARC
(11,22),-0.281578 # DEPENDENCYPART_ARC
(11,23),-2.23599 # DEPENDENCYPART_ARC
(11,24),-1.99947 # DEPENDENCYPART_ARC
(11,25),-0.786982 # DEPENDENCYPART_ARC
(11,26),-2.97591 # DEPENDENCYPART_ARC
(11,27),-1.63376 # DEPENDENCYPART_ARC
(11,29),-2.68369 # DEPENDENCYPART_ARC
(11,30),-2.01583 # DEPENDENCYPART_ARC
(11,31),-1.68664 # DEPENDENCYPART_ARC
(11,32),-3.01337 # DEPENDENCYPART_ARC
(11,33),-1.50592 # DEPENDENCYPART_ARC
(11,34),-3.06195 # DEPENDENCYPART_ARC
(11,35),-1.948 # DEPENDENCYPART_ARC
(11,36),1.85953 # DEPENDENCYPART_ARC
(12,7),-2.49915 # DEPENDENCYPART_ARC
(12,18),-0.976628 # DEPENDENCYPART_ARC
(12,21),-0.533206 # DEPENDENCYPART_ARC
(12,24),-1.24062 # DEPENDENCYPART_ARC
(12,30),-1.39427 # DEPENDENCYPART_ARC
(12,35),-1.50317 # DEPENDENCYPART_ARC
(13,1),-5.27595 # DEPENDENCYPART_ARC
(13,5),-2.98369 # DEPENDENCYPART_ARC
(13,6),-1.48085 # DEPENDENCYPART_ARC
(13,7),-3.22956 # DEPENDENCYPART_ARC
(13,8),-0.895281 # DEPENDENCYPART_ARC
(13,9),-2.0368 # DEPENDENCYPART_ARC
(13,10),-0.722759 # DEPENDENCYPART_ARC
(13,15),-1.26428 # DEPENDENCYPART_ARC
(13,16),-2.59266 # DEPENDENCYPART_ARC
(13,18),-3.0521 # DEPENDENCYPART_ARC
(13,19),-2.16729 # DEPENDENCYPART_ARC
(13,22),-1.13776 # DEPENDENCYPART_ARC
(13,23),-3.65165 # DEPENDENCYPART_ARC
(13,24),-3.65883 # DEPENDENCYPART_ARC
(13,26),-2.92379 # DEPENDENCYPART_ARC
(13,27),-3.72324 # DEPENDENCYPART_ARC
(13,29),-3.90011 # DEPENDENCYPART_ARC
(13,30),-4.47203 # DEPENDENCYPART_ARC
(13,33),-4.1496 # DEPENDENCYPART_ARC
(13,35),-4.39031 # DEPENDENCYPART_ARC
(14,1),-4.70522 # DEPENDENCYPART_ARC
(14,2),-2.87395 # DEPENDENCYPART_ARC
(14,3),-1.29159 # DEPENDENCYPART_ARC
(14,4),-1.58185 # DEPENDENCYPART_ARC
(14,5),-2.98989 # DEPENDENCYPART_ARC
(14,6),-2.55852 # DEPENDENCYPART_ARC
(14,7),-2.53769 # DEPENDENCYPART_ARC
(14,8),-1.32746 # DEPENDENCYPART_ARC
(14,9),-2.67681 # DEPENDENCYPART_ARC
(14,10),-0.675462 # DEPENDENCYPART_ARC
(14,11),-2.27616 # DEPENDENCYPART_ARC
(14,12),-0.473001 # DEPENDENCYPART_ARC
(14,13),1.45222 # DEPENDENCYPART_ARC
(14,15),1.30484 # DEPENDENCYPART_ARC
(14,16),-3.45347 # DEPENDENCYPART_ARC
(14,18),-0.536787 # DEPENDENCYPART_ARC
(14,19),-0.427186 # DEPENDENCYPART_ARC
(14,20),-1.54312 # DEPENDENCYPART_ARC
(14,21),-0.201215 # DEPENDENCYPART_ARC
(14,22),-1.19271 # DEPENDENCYPART_ARC
(14,23),-4.79883 # DEPENDENCYPART_ARC
(14,24),-3.47703 # DEPENDENCYPART_ARC
(14,25),-0.802749 # DEPENDENCYPART_ARC
(14,26),-3.47518 # DEPENDENCYPART_ARC
(14,27),-1.33429 # DEPENDENCYPART_ARC
(14,28),-2.18523 # DEPENDENCYPART_ARC
(14,29),-5.29122 # DEPENDENCYPART_ARC
(14,30),-3.54711 # DEPENDENCYPART_ARC
(14,31),-3.93067 # DEPENDENCYPART_ARC
(14,32),-0.91081 # DEPENDENCYPART_ARC
(14,33),-1.49509 # DEPENDENCYPART_ARC
(14,35),-3.42216 # DEPENDENCYPART_ARC
(14,36),2.77479 # DEPENDENCYPART_ARC
(15,1),-2.10088 # DEPENDENCYPART_ARC
(15,2),0.485058 # DEPENDENCYPART_ARC
(15,3),1.10573 # DEPENDENCYPART_ARC
(15,4),1.28369 # DEPENDENCYPART_ARC
(15,5),-0.582346 # DEPENDENCYPART_ARC
(15,6),-1.07296 # DEPENDENCYPART_ARC
(15,7),-0.521703 # DEPENDENCYPART_ARC
(15,8),0.207855 # DEPENDENCYPART_ARC
(15,9),-0.839038 # DEPENDENCYPART_ARC
(15,10),0.61376 # DEPENDENCYPART_ARC
(15,11),0.153843 # DEPENDENCYPART_ARC
(15,12),1.76762 # DEPENDENCYPART_ARC
(15,13),4.12035 # DEPENDENCYPART_ARC
(15,14),6.167 # DEPENDENCYPART_ARC
(15,16),-0.69167 # DEPENDENCYPART_ARC
(15,17),1.41543 # DEPENDENCYPART_ARC
(15,18),2.05364 # DEPENDENCYPART_ARC
(15,19),2.25701 # DEPENDENCYPART_ARC
(15,20),1.1299 # DEPENDENCYPART_ARC
(15,21),1.37531 # DEPENDENCYPART_ARC
(15,22),1.02812 # DEPENDENCYPART_ARC
(15,24),-1.08444 # DEPENDENCYPART_ARC
(15,25),1.30572 # DEPENDENCYPART_ARC
(15,26),-1.05415 # DEPENDENCYPART_ARC
(15,27),1.25086 # DEPENDENCYPART_ARC
(15,28),-0.569072 # DEPENDENCYPART_ARC
(15,29),-3.15495 # DEPENDENCYPART_ARC
(15,30),-1.40008 # DEPENDENCYPART_ARC
(15,31),-1.30376 # DEPENDENCYPART_ARC
(15,32),1.10029 # DEPENDENCYPART_ARC
(15,33),1.31596 # DEPENDENCYPART_ARC
(15,35),-1.56939 # DEPENDENCYPART_ARC
(15,36),5.85128 # DEPENDENCYPART_ARC
(16,1),-4.73574 # DEPENDENCYPART_ARC
(16,2),-4.01133 # DEPENDENCYPART_ARC
(16,6),-3.76411 # DEPENDENCYPART_ARC
(16,7),-3.77367 # DEPENDENCYPART_ARC
(16,8),-3.59007 # DEPENDENCYPART_ARC
(16,9),-4.13681 # DEPENDENCYPART_ARC
(16,10),-3.0591 # DEPENDENCYPART_ARC
(16,11),-3.13297 # DEPENDENCYPART_ARC
(16,13),-3.25786 # DEPENDENCYPART_ARC
(16,17),0.496525 # DEPENDENCYPART_ARC
(16,18),-0.241835 # DEPENDENCYPART_ARC
(16,19),-1.06962 # DEPENDENCYPART_ARC
(16,20),-2.26472 # DEPENDENCYPART_ARC
(16,23),-2.27958 # DEPENDENCYPART_ARC
(16,24),-3.14339 # DEPENDENCYPART_ARC
(16,25),-2.00935 # DEPENDENCYPART_ARC
(16,26),-2.57352 # DEPENDENCYPART_ARC
(16,29),-4.43891 # DEPENDENCYPART_ARC
(16,30),-4.05061 # DEPENDENCYPART_ARC
(16,31),-4.34719 # DEPENDENCYPART_ARC
(16,34),-5.6966 # DEPENDENCYPART_ARC
(16,35),-4.9058 # DEPENDENCYPART_ARC
(17,1),-2.85209 # DEPENDENCYPART_ARC
(17,2),-3.56789 # DEPENDENCYPART_ARC
(17,5),-3.75722 # DEPENDENCYPART_ARC
(17,6),-2.79151 # DEPENDENCYPART_ARC
(17,7),-3.00617 # DEPENDENCYPART_ARC
(17,8),-2.22191 # DEPENDENCYPART_ARC
(17,9),-2.32044 # DEPENDENCYPART_ARC
(17,10),-1.77152 # DEPENDENCYPART_ARC
(17,11),-2.66433 # DEPENDENCYPART_ARC
(17,12),-2.13025 # DEPENDENCYPART_ARC
(17,15),-1.6605 # DEPENDENCYPART_ARC
(17,16),1.21666 # DEPENDENCYPART_ARC
(17,18),1.30952 # DEPENDENCYPART_ARC
(17,19),-0.128342 # DEPENDENCYPART_ARC
(17,20),0.337207 # DEPENDENCYPART_ARC
(17,21),-0.773434 # DEPENDENCYPART_ARC
(17,22),-0.558813 # DEPENDENCYPART_ARC
(17,23),-2.5416 # DEPENDENCYPART_ARC
(17,24),-1.14293 # DEPENDENCYPART_ARC
(17,25),-0.221272 # DEPENDENCYPART_ARC
(17,26),-2.98935 # DEPENDENCYPART_ARC
(17,27),-0.388566 # DEPENDENCYPART_ARC
(17,29),-3.21932 # DEPENDENCYPART_ARC
(17,30),-1.85789 # DEPENDENCYPART_ARC
(17,31),-1.6652 # DEPENDENCYPART_ARC
(17,33),-1.03574 # DEPENDENCYPART_ARC
(17,35),-2.15535 # DEPENDENCYPART_ARC
(17,36),-1.78766 # DEPENDENCYPART_ARC
(18,1),-6.15925 # DEPENDENCYPART_ARC
(18,2),-2.21696 # DEPENDENCYPART_ARC
(18,4),-2.21513 # DEPENDENCYPART_ARC
(18,5),-3.0282 # DEPENDENCYPART_ARC
(18,6),-0.876055 # DEPENDENCYPART_ARC
(18,7),-1.44095 # DEPENDENCYPART_ARC
(18,8),-0.46813 # DEPENDENCYPART_ARC
(18,9),-2.15068 # DEPENDENCYPART_ARC
(18,10),-0.595763 # DEPENDENCYPART_ARC
(18,11),-0.95569 # DEPENDENCYPART_ARC
(18,12),-0.122129 # DEPENDENCYPART_ARC
(18,13),0.289242 # DEPENDENCYPART_ARC
(18,14),-1.14908 # DEPENDENCYPART_ARC
(18,15),-1.44515 # DEPENDENCYPART_ARC
(18,16),4.22371 # DEPENDENCYPART_ARC
(18,17),4.9246 # DEPENDENCYPART_ARC
(18,19),1.90922 # DEPENDENCYPART_ARC
(18,20),0.887088 # DEPENDENCYPART_ARC
(18,21),0.230056 # DEPENDENCYPART_ARC
(18,22),0.888844 # DEPENDENCYPART_ARC
(18,23),-2.07288 # DEPENDENCYPART_ARC
(18,24),-0.640497 # DEPENDENCYPART_ARC
(18,25),-0.102977 # DEPENDENCYPART_ARC
(18,26),-1.03027 # DEPENDENCYPART_ARC
(18,27),-0.309513 # DEPENDENCYPART_ARC
(18,29),-2.55028 # DEPENDENCYPART_ARC
