# _root_ El conductor del turisme , Antonio_R._S de 51 anys i veí de L'_Escala , ha resultat mort .
#goldHeads=2,16,2,3,6,2,11,9,7,11,6,11,12,6,16,0,16,16,
#predictedHeads=2,16,2,3,6,4,6,9,7,4,4,11,12,2,16,0,16,16,
(3,17),-3.20027 # DEPENDENCYPART_ARC
(3,18),0.118776 # DEPENDENCYPART_ARC
(4,1),0.574045 # DEPENDENCYPART_ARC
(4,2),-1.19803 # DEPENDENCYPART_ARC
(4,3),0.358395 # DEPENDENCYPART_ARC
(4,5),2.25531 # DEPENDENCYPART_ARC
(4,6),2.23729 # DEPENDENCYPART_ARC
(4,7),1.9408 # DEPENDENCYPART_ARC
(4,8),0.06102 # DEPENDENCYPART_ARC
(4,9),1.03464 # DEPENDENCYPART_ARC
(4,10),3.36853 # DEPENDENCYPART_ARC
(4,11),2.68599 # DEPENDENCYPART_ARC
(4,12),1.34282 # DEPENDENCYPART_ARC
(4,13),1.53261 # DEPENDENCYPART_ARC
(4,14),-0.0503384 # DEPENDENCYPART_ARC
(4,15),-1.09697 # DEPENDENCYPART_ARC
(4,16),-0.780136 # DEPENDENCYPART_ARC
(4,17),0.248283 # DEPENDENCYPART_ARC
(4,18),0.23407 # DEPENDENCYPART_ARC
(5,1),-2.2076 # DEPENDENCYPART_ARC
(5,2),-2.59454 # DEPENDENCYPART_ARC
(5,3),-1.39123 # DEPENDENCYPART_ARC
(5,4),-1.35589 # DEPENDENCYPART_ARC
(5,6),-1.09445 # DEPENDENCYPART_ARC
(5,7),-2.00913 # DEPENDENCYPART_ARC
(5,8),-1.49325 # DEPENDENCYPART_ARC
(5,9),-2.28317 # DEPENDENCYPART_ARC
(5,10),-1.35431 # DEPENDENCYPART_ARC
(5,11),-2.27901 # DEPENDENCYPART_ARC
(5,12),-1.96872 # DEPENDENCYPART_ARC
(5,13),-2.52772 # DEPENDENCYPART_ARC
(5,14),-1.92809 # DEPENDENCYPART_ARC
(5,15),-1.97704 # DEPENDENCYPART_ARC
(5,16),-2.34065 # DEPENDENCYPART_ARC
(5,17),-2.79394 # DEPENDENCYPART_ARC
(5,18),-2.30361 # DEPENDENCYPART_ARC
(6,1),-0.65437 # DEPENDENCYPART_ARC
(6,2),-0.82973 # DEPENDENCYPART_ARC
(6,3),-0.26061 # DEPENDENCYPART_ARC
(6,4),0.761166 # DEPENDENCYPART_ARC
(6,5),2.91519 # DEPENDENCYPART_ARC
(6,7),3.00272 # DEPENDENCYPART_ARC
(6,8),0.676074 # DEPENDENCYPART_ARC
(6,9),0.685719 # DEPENDENCYPART_ARC
(6,10),2.04982 # DEPENDENCYPART_ARC
(6,11),1.51602 # DEPENDENCYPART_ARC
(6,12),0.938072 # DEPENDENCYPART_ARC
(6,13),0.412981 # DEPENDENCYPART_ARC
(6,14),1.90424 # DEPENDENCYPART_ARC
(6,15),-1.43369 # DEPENDENCYPART_ARC
(6,16),-0.973016 # DEPENDENCYPART_ARC
(6,17),-1.04064 # DEPENDENCYPART_ARC
(6,18),0.785617 # DEPENDENCYPART_ARC
(7,1),-1.26119 # DEPENDENCYPART_ARC
(7,2),-1.38571 # DEPENDENCYPART_ARC
(7,3),-0.235205 # DEPENDENCYPART_ARC
(7,4),-0.733698 # DEPENDENCYPART_ARC
(7,5),0.609013 # DEPENDENCYPART_ARC
(7,6),0.627361 # DEPENDENCYPART_ARC
(7,8),1.41605 # DEPENDENCYPART_ARC
(7,9),3.93081 # DEPENDENCYPART_ARC
(7,10),0.712839 # DEPENDENCYPART_ARC
(7,11),-0.547227 # DEPENDENCYPART_ARC
(7,12),0.451563 # DEPENDENCYPART_ARC
(7,13),-2.08855 # DEPENDENCYPART_ARC
(7,14),-0.00908452 # DEPENDENCYPART_ARC
(7,15),-1.93876 # DEPENDENCYPART_ARC
(7,16),-1.22502 # DEPENDENCYPART_ARC
(7,17),-2.18627 # DEPENDENCYPART_ARC
(7,18),-0.464333 # DEPENDENCYPART_ARC
(8,1),-0.833985 # DEPENDENCYPART_ARC
(8,2),-1.63812 # DEPENDENCYPART_ARC
(8,3),0.0156059 # DEPENDENCYPART_ARC
(8,4),-1.20362 # DEPENDENCYPART_ARC
(8,5),-0.555825 # DEPENDENCYPART_ARC
(8,6),-0.162935 # DEPENDENCYPART_ARC
(8,7),1.33722 # DEPENDENCYPART_ARC
(8,9),0.645455 # DEPENDENCYPART_ARC
(8,10),-0.562927 # DEPENDENCYPART_ARC
(8,11),-0.652286 # DEPENDENCYPART_ARC
(8,12),-0.351941 # DEPENDENCYPART_ARC
(8,13),-1.0874 # DEPENDENCYPART_ARC
(8,14),-1.30743 # DEPENDENCYPART_ARC
(8,15),-1.53362 # DEPENDENCYPART_ARC
(8,16),-2.16314 # DEPENDENCYPART_ARC
(8,17),-1.97664 # DEPENDENCYPART_ARC
(8,18),-1.22649 # DEPENDENCYPART_ARC
(9,1),-1.05086 # DEPENDENCYPART_ARC
(9,2),-1.30438 # DEPENDENCYPART_ARC
(9,3),-0.714569 # DEPENDENCYPART_ARC
(9,4),-0.680363 # DEPENDENCYPART_ARC
(9,5),-0.164815 # DEPENDENCYPART_ARC
(9,6),-0.0620004 # DEPENDENCYPART_ARC
(9,7),1.72505 # DEPENDENCYPART_ARC
(9,8),3.18059 # DEPENDENCYPART_ARC
(9,10),2.72395 # DEPENDENCYPART_ARC
(9,11),1.40418 # DEPENDENCYPART_ARC
(9,12),2.61814 # DEPENDENCYPART_ARC
(9,13),0.906486 # DEPENDENCYPART_ARC
(9,14),0.00307763 # DEPENDENCYPART_ARC
(9,15),-0.971648 # DEPENDENCYPART_ARC
(9,16),-0.769243 # DEPENDENCYPART_ARC
(9,17),-1.4757 # DEPENDENCYPART_ARC
(9,18),0.454956 # DEPENDENCYPART_ARC
(10,1),-3.35938 # DEPENDENCYPART_ARC
(10,2),-3.4137 # DEPENDENCYPART_ARC
(10,3),-2.41604 # DEPENDENCYPART_ARC
(10,4),-3.22507 # DEPENDENCYPART_ARC
(10,5),-2.3502 # DEPENDENCYPART_ARC
(10,6),-2.87238 # DEPENDENCYPART_ARC
(10,7),-1.5837 # DEPENDENCYPART_ARC
(10,8),-1.67129 # DEPENDENCYPART_ARC
(10,9),-1.33464 # DEPENDENCYPART_ARC
(10,11),-0.431209 # DEPENDENCYPART_ARC
(10,12),-2.25002 # DEPENDENCYPART_ARC
(10,13),-2.19275 # DEPENDENCYPART_ARC
(10,14),-1.55274 # DEPENDENCYPART_ARC
(10,15),-2.13162 # DEPENDENCYPART_ARC
(10,16),-3.04786 # DEPENDENCYPART_ARC
(10,17),-3.4942 # DEPENDENCYPART_ARC
(10,18),-2.42311 # DEPENDENCYPART_ARC
(11,1),-2.21794 # DEPENDENCYPART_ARC
(11,2),-0.848753 # DEPENDENCYPART_ARC
(11,3),-0.639533 # DEPENDENCYPART_ARC
(11,4),-0.260617 # DEPENDENCYPART_ARC
(11,5),1.65998 # DEPENDENCYPART_ARC
(11,6),-0.19807 # DEPENDENCYPART_ARC
(11,7),1.69797 # DEPENDENCYPART_ARC
(11,8),1.57698 # DEPENDENCYPART_ARC
(11,9),0.655333 # DEPENDENCYPART_ARC
(11,10),2.79053 # DEPENDENCYPART_ARC
(11,12),3.13049 # DEPENDENCYPART_ARC
(11,13),0.856884 # DEPENDENCYPART_ARC
(11,14),0.822226 # DEPENDENCYPART_ARC
(11,15),-0.256805 # DEPENDENCYPART_ARC
(11,16),-0.30326 # DEPENDENCYPART_ARC
(11,17),-0.480615 # DEPENDENCYPART_ARC
(11,18),-0.0533593 # DEPENDENCYPART_ARC
(12,1),-2.04352 # DEPENDENCYPART_ARC
(12,2),-1.78425 # DEPENDENCYPART_ARC
(12,3),-1.25369 # DEPENDENCYPART_ARC
(12,4),-1.54735 # DEPENDENCYPART_ARC
(12,5),-1.28301 # DEPENDENCYPART_ARC
(12,6),-1.42829 # DEPENDENCYPART_ARC
(12,7),-0.514402 # DEPENDENCYPART_ARC
(12,8),-0.325448 # DEPENDENCYPART_ARC
(12,9),-0.675229 # DEPENDENCYPART_ARC
(12,10),0.0549359 # DEPENDENCYPART_ARC
(12,11),0.552184 # DEPENDENCYPART_ARC
(12,13),3.94737 # DEPENDENCYPART_ARC
(12,14),-0.0258166 # DEPENDENCYPART_ARC
(12,15),-0.974515 # DEPENDENCYPART_ARC
(12,16),-0.50949 # DEPENDENCYPART_ARC
(12,17),-1.46184 # DEPENDENCYPART_ARC
(12,18),-1.06321 # DEPENDENCYPART_ARC
(13,1),-3.43783 # DEPENDENCYPART_ARC
(13,2),-1.50484 # DEPENDENCYPART_ARC
(13,3),-1.10104 # DEPENDENCYPART_ARC
(13,4),-0.335965 # DEPENDENCYPART_ARC
(13,5),-0.261321 # DEPENDENCYPART_ARC
(13,6),-0.786494 # DEPENDENCYPART_ARC
(13,7),0.34928 # DEPENDENCYPART_ARC
(13,8),0.5855 # DEPENDENCYPART_ARC
(13,9),-0.26001 # DEPENDENCYPART_ARC
(13,10),0.30668 # DEPENDENCYPART_ARC
(13,11),0.807619 # DEPENDENCYPART_ARC
(13,12),2.05248 # DEPENDENCYPART_ARC
(13,14),-0.322983 # DEPENDENCYPART_ARC
(13,15),-0.338263 # DEPENDENCYPART_ARC
(13,16),-0.26079 # DEPENDENCYPART_ARC
(13,17),-0.808122 # DEPENDENCYPART_ARC
(13,18),-1.02448 # DEPENDENCYPART_ARC
(14,1),-3.34749 # DEPENDENCYPART_ARC
(14,2),-3.59323 # DEPENDENCYPART_ARC
(14,3),-2.61147 # DEPENDENCYPART_ARC
(14,4),-3.40778 # DEPENDENCYPART_ARC
(14,5),-2.18301 # DEPENDENCYPART_ARC
(14,6),-3.20729 # DEPENDENCYPART_ARC
(14,7),-2.34111 # DEPENDENCYPART_ARC
(14,8),-2.56725 # DEPENDENCYPART_ARC
(14,9),-2.95087 # DEPENDENCYPART_ARC
(14,10),-2.08278 # DEPENDENCYPART_ARC
(14,11),-2.64184 # DEPENDENCYPART_ARC
(14,12),-1.53705 # DEPENDENCYPART_ARC
(14,13),-1.48425 # DEPENDENCYPART_ARC
(14,15),-1.35926 # DEPENDENCYPART_ARC
(14,16),-2.41376 # DEPENDENCYPART_ARC
(14,17),-2.77988 # DEPENDENCYPART_ARC
(14,18),-2.51732 # DEPENDENCYPART_ARC
(15,1),-4.00383 # DEPENDENCYPART_ARC
(15,2),-1.6306 # DEPENDENCYPART_ARC
(15,3),-4.09094 # DEPENDENCYPART_ARC
(15,4),-1.92535 # DEPENDENCYPART_ARC
(15,5),-4.51242 # DEPENDENCYPART_ARC
(15,6),-2.31031 # DEPENDENCYPART_ARC
(15,7),-3.80652 # DEPENDENCYPART_ARC
(15,8),-2.47275 # DEPENDENCYPART_ARC
(15,9),-2.32055 # DEPENDENCYPART_ARC
(15,10),-2.20523 # DEPENDENCYPART_ARC
(15,11),-1.35428 # DEPENDENCYPART_ARC
(15,12),-1.61849 # DEPENDENCYPART_ARC
(15,13),-0.917004 # DEPENDENCYPART_ARC
(15,14),-1.29822 # DEPENDENCYPART_ARC
(15,16),0.715192 # DEPENDENCYPART_ARC
(15,17),0.210304 # DEPENDENCYPART_ARC
(15,18),1.61222 # DEPENDENCYPART_ARC
(16,1),-0.911588 # DEPENDENCYPART_ARC
(16,2),1.92564 # DEPENDENCYPART_ARC
(16,3),-1.53493 # DEPENDENCYPART_ARC
(16,4),0.489023 # DEPENDENCYPART_ARC
(16,5),-2.33895 # DEPENDENCYPART_ARC
(16,6),1.5085 # DEPENDENCYPART_ARC
(16,7),-1.31419 # DEPENDENCYPART_ARC
(16,8),0.043012 # DEPENDENCYPART_ARC
(16,9),0.831143 # DEPENDENCYPART_ARC
(16,10),0.185473 # DEPENDENCYPART_ARC
(16,11),1.034 # DEPENDENCYPART_ARC
(16,12),0.651331 # DEPENDENCYPART_ARC
(16,13),1.54104 # DEPENDENCYPART_ARC
(16,14),0.769064 # DEPENDENCYPART_ARC
(16,15),7.07323 # DEPENDENCYPART_ARC
(16,17),3.83094 # DEPENDENCYPART_ARC
(16,18),3.95957 # DEPENDENCYPART_ARC
(17,1),-2.21691 # DEPENDENCYPART_ARC
(17,2),-3.27525 # DEPENDENCYPART_ARC
(17,3),-3.06092 # DEPENDENCYPART_ARC
(17,4),-3.2154 # DEPENDENCYPART_ARC
(17,5),-2.89092 # DEPENDENCYPART_ARC
(17,6),-3.19441 # DEPENDENCYPART_ARC
(17,7),-1.06373 # DEPENDENCYPART_ARC
(17,8),-1.8908 # DEPENDENCYPART_ARC
(17,9),-3.45332 # DEPENDENCYPART_ARC
(17,10),-1.86763 # DEPENDENCYPART_ARC
(17,11),-2.52053 # DEPENDENCYPART_ARC
(17,12),-0.862743 # DEPENDENCYPART_ARC
(17,13),-2.10672 # DEPENDENCYPART_ARC
(17,14),-1.00938 # DEPENDENCYPART_ARC
(17,15),-1.19129 # DEPENDENCYPART_ARC
(17,16),-1.04543 # DEPENDENCYPART_ARC
(17,18),-0.0819606 # DEPENDENCYPART_ARC
(18,1),-3.98253 # DEPENDENCYPART_ARC
(18,2),-3.99089 # DEPENDENCYPART_ARC
(18,3),-3.13127 # DEPENDENCYPART_ARC
(18,4),-3.95563 # DEPENDENCYPART_ARC
(18,5),-2.98249 # DEPENDENCYPART_ARC
(18,6),-3.78639 # DEPENDENCYPART_ARC
(18,7),-3.10176 # DEPENDENCYPART_ARC
(18,8),-3.32829 # DEPENDENCYPART_ARC
(18,9),-3.63047 # DEPENDENCYPART_ARC
(18,10),-2.99604 # DEPENDENCYPART_ARC
(18,11),-3.61497 # DEPENDENCYPART_ARC
(18,12),-2.82261 # DEPENDENCYPART_ARC
(18,13),-3.51179 # DEPENDENCYPART_ARC
(18,14),-2.47891 # DEPENDENCYPART_ARC
(18,15),-2.99294 # DEPENDENCYPART_ARC
(18,16),-2.28002 # DEPENDENCYPART_ARC
(18,17),-1.20829 # DEPENDENCYPART_ARC
