# _root_ Una de les víctimes , xofer , va morir dins d' una limusina .
#goldHeads=9,1,4,2,6,1,6,9,0,9,10,13,11,9,
#predictedHeads=9,1,4,2,6,1,6,9,0,9,10,13,11,9,
(6,4),-0.320965 # DEPENDENCYPART_ARC
(6,5),3.10772 # DEPENDENCYPART_ARC
(6,7),2.83515 # DEPENDENCYPART_ARC
(6,8),0.346929 # DEPENDENCYPART_ARC
(6,9),0.0276214 # DEPENDENCYPART_ARC
(6,10),-0.842934 # DEPENDENCYPART_ARC
(6,11),-1.00026 # DEPENDENCYPART_ARC
(6,12),-2.80626 # DEPENDENCYPART_ARC
(6,13),-1.64884 # DEPENDENCYPART_ARC
(6,14),-0.201716 # DEPENDENCYPART_ARC
(7,4),-2.72707 # DEPENDENCYPART_ARC
(7,5),-0.681319 # DEPENDENCYPART_ARC
(7,6),-1.31995 # DEPENDENCYPART_ARC
(7,13),-2.49021 # DEPENDENCYPART_ARC
(8,1),-2.71012 # DEPENDENCYPART_ARC
(8,2),-3.093 # DEPENDENCYPART_ARC
(8,3),-3.01217 # DEPENDENCYPART_ARC
(8,4),-1.29122 # DEPENDENCYPART_ARC
(8,5),-2.17865 # DEPENDENCYPART_ARC
(8,6),-1.12547 # DEPENDENCYPART_ARC
(8,7),-1.25257 # DEPENDENCYPART_ARC
(8,9),0.265573 # DEPENDENCYPART_ARC
(8,10),-0.301427 # DEPENDENCYPART_ARC
(8,11),-1.58975 # DEPENDENCYPART_ARC
(8,12),-4.496 # DEPENDENCYPART_ARC
(8,13),-0.510896 # DEPENDENCYPART_ARC
(8,14),1.49447 # DEPENDENCYPART_ARC
(9,1),-0.187332 # DEPENDENCYPART_ARC
(9,2),-0.340452 # DEPENDENCYPART_ARC
(9,3),-0.538785 # DEPENDENCYPART_ARC
(9,4),1.56944 # DEPENDENCYPART_ARC
(9,5),-0.821053 # DEPENDENCYPART_ARC
(9,6),0.472027 # DEPENDENCYPART_ARC
(9,7),-0.192621 # DEPENDENCYPART_ARC
(9,8),5.48836 # DEPENDENCYPART_ARC
(9,10),3.00213 # DEPENDENCYPART_ARC
(9,11),1.58058 # DEPENDENCYPART_ARC
(9,13),2.53405 # DEPENDENCYPART_ARC
(9,14),3.63219 # DEPENDENCYPART_ARC
(10,1),-2.75407 # DEPENDENCYPART_ARC
(10,2),-1.98259 # DEPENDENCYPART_ARC
(10,3),-2.59705 # DEPENDENCYPART_ARC
(10,4),-2.74167 # DEPENDENCYPART_ARC
(10,5),-1.01427 # DEPENDENCYPART_ARC
(10,6),-2.23903 # DEPENDENCYPART_ARC
(10,7),-0.502969 # DEPENDENCYPART_ARC
(10,8),-1.17304 # DEPENDENCYPART_ARC
(10,9),-0.291049 # DEPENDENCYPART_ARC
(10,11),2.03663 # DEPENDENCYPART_ARC
(10,12),0.225115 # DEPENDENCYPART_ARC
(10,13),0.667516 # DEPENDENCYPART_ARC
(10,14),-0.282775 # DEPENDENCYPART_ARC
(11,1),-2.74896 # DEPENDENCYPART_ARC
(11,2),-2.59482 # DEPENDENCYPART_ARC
(11,3),-1.45879 # DEPENDENCYPART_ARC
(11,4),-2.54747 # DEPENDENCYPART_ARC
(11,5),-1.77472 # DEPENDENCYPART_ARC
(11,6),-2.32372 # DEPENDENCYPART_ARC
(11,7),-1.25175 # DEPENDENCYPART_ARC
(11,8),-0.236247 # DEPENDENCYPART_ARC
(11,9),0.329388 # DEPENDENCYPART_ARC
(11,10),0.415427 # DEPENDENCYPART_ARC
(11,12),0.852932 # DEPENDENCYPART_ARC
(11,13),4.63458 # DEPENDENCYPART_ARC
(11,14),0.779849 # DEPENDENCYPART_ARC
(12,1),-1.97282 # DEPENDENCYPART_ARC
(12,2),-1.85869 # DEPENDENCYPART_ARC
(12,4),-2.20168 # DEPENDENCYPART_ARC
(12,6),-1.73188 # DEPENDENCYPART_ARC
(12,10),1.10389 # DEPENDENCYPART_ARC
(12,11),2.34344 # DEPENDENCYPART_ARC
(12,13),1.65652 # DEPENDENCYPART_ARC
(13,1),-2.11814 # DEPENDENCYPART_ARC
(13,2),-1.9372 # DEPENDENCYPART_ARC
(13,3),-2.49779 # DEPENDENCYPART_ARC
(13,4),-1.75453 # DEPENDENCYPART_ARC
(13,5),-0.696562 # DEPENDENCYPART_ARC
(13,6),-1.88352 # DEPENDENCYPART_ARC
(13,7),-0.381413 # DEPENDENCYPART_ARC
(13,8),-1.32418 # DEPENDENCYPART_ARC
(13,9),-1.07432 # DEPENDENCYPART_ARC
(13,10),0.283513 # DEPENDENCYPART_ARC
(13,11),0.568636 # DEPENDENCYPART_ARC
(13,12),4.9439 # DEPENDENCYPART_ARC
(13,14),0.495265 # DEPENDENCYPART_ARC
