# _root_ En la fase final del premi , que es desenvoluparà entre el 7_de_juny i el 2_de_juliol , els equips disposaran de tres milions de pessetes reals cadascun que podran invertir .
#goldHeads=20,3,1,3,3,5,10,10,10,3,13,13,10,13,16,13,10,19,20,0,20,23,21,23,24,23,20,30,30,23,20,
#predictedHeads=20,3,1,3,3,5,1,10,10,6,13,13,10,13,16,13,16,19,20,0,20,23,21,23,24,23,30,30,30,23,10,
(1,13),-1.58354 # DEPENDENCYPART_ARC
(1,14),-0.775348 # DEPENDENCYPART_ARC
(1,15),-2.40134 # DEPENDENCYPART_ARC
(1,16),-2.05507 # DEPENDENCYPART_ARC
(1,17),1.4108 # DEPENDENCYPART_ARC
(1,18),-2.30815 # DEPENDENCYPART_ARC
(1,19),-9.21511 # DEPENDENCYPART_ARC
(1,20),-2.8328 # DEPENDENCYPART_ARC
(1,21),-3.99624 # DEPENDENCYPART_ARC
(1,22),-1.91637 # DEPENDENCYPART_ARC
(1,23),-12.6022 # DEPENDENCYPART_ARC
(1,24),-4.89267 # DEPENDENCYPART_ARC
(1,25),-3.86423 # DEPENDENCYPART_ARC
(1,26),-3.40194 # DEPENDENCYPART_ARC
(1,27),-4.32987 # DEPENDENCYPART_ARC
(1,28),-5.41143 # DEPENDENCYPART_ARC
(1,29),-3.75309 # DEPENDENCYPART_ARC
(1,30),-4.11028 # DEPENDENCYPART_ARC
(1,31),-0.300786 # DEPENDENCYPART_ARC
(2,1),-1.30152 # DEPENDENCYPART_ARC
(2,3),1.15586 # DEPENDENCYPART_ARC
(2,4),-1.30064 # DEPENDENCYPART_ARC
(2,5),-1.32583 # DEPENDENCYPART_ARC
(2,6),-2.44939 # DEPENDENCYPART_ARC
(2,8),-3.60003 # DEPENDENCYPART_ARC
(2,11),-4.23996 # DEPENDENCYPART_ARC
(2,12),-4.55362 # DEPENDENCYPART_ARC
(2,13),-2.7468 # DEPENDENCYPART_ARC
(2,14),-3.0879 # DEPENDENCYPART_ARC
(2,15),-5.14338 # DEPENDENCYPART_ARC
(2,16),-2.77167 # DEPENDENCYPART_ARC
(2,18),-5.1225 # DEPENDENCYPART_ARC
(2,19),-4.91637 # DEPENDENCYPART_ARC
(2,21),-4.7787 # DEPENDENCYPART_ARC
(2,22),-4.57694 # DEPENDENCYPART_ARC
(2,23),-4.83328 # DEPENDENCYPART_ARC
(2,24),-4.73811 # DEPENDENCYPART_ARC
(2,26),-4.70601 # DEPENDENCYPART_ARC
(2,27),-3.85248 # DEPENDENCYPART_ARC
(2,28),-4.93707 # DEPENDENCYPART_ARC
(3,1),0.292249 # DEPENDENCYPART_ARC
(3,2),4.22856 # DEPENDENCYPART_ARC
(3,4),3.80677 # DEPENDENCYPART_ARC
(3,5),2.81348 # DEPENDENCYPART_ARC
(3,6),1.06183 # DEPENDENCYPART_ARC
(3,7),0.313703 # DEPENDENCYPART_ARC
(3,8),-1.77159 # DEPENDENCYPART_ARC
(3,10),3.34827 # DEPENDENCYPART_ARC
(3,11),-0.643196 # DEPENDENCYPART_ARC
(3,12),-2.39392 # DEPENDENCYPART_ARC
(3,13),-0.457892 # DEPENDENCYPART_ARC
(3,14),0.224427 # DEPENDENCYPART_ARC
(3,15),-2.4397 # DEPENDENCYPART_ARC
(3,16),-0.963869 # DEPENDENCYPART_ARC
(3,17),0.00184366 # DEPENDENCYPART_ARC
(3,18),-3.15409 # DEPENDENCYPART_ARC
(3,19),-1.20735 # DEPENDENCYPART_ARC
(3,20),-0.0371463 # DEPENDENCYPART_ARC
(3,21),-2.22567 # DEPENDENCYPART_ARC
(3,22),-2.88212 # DEPENDENCYPART_ARC
(3,23),-1.68488 # DEPENDENCYPART_ARC
(3,24),-2.56218 # DEPENDENCYPART_ARC
(3,25),-2.60002 # DEPENDENCYPART_ARC
(3,26),-2.33228 # DEPENDENCYPART_ARC
(3,27),-2.28304 # DEPENDENCYPART_ARC
(3,28),-5.12319 # DEPENDENCYPART_ARC
(3,29),-0.0948791 # DEPENDENCYPART_ARC
(3,30),0.664993 # DEPENDENCYPART_ARC
(3,31),2.07986 # DEPENDENCYPART_ARC
(4,1),0.298859 # DEPENDENCYPART_ARC
(4,2),0.94202 # DEPENDENCYPART_ARC
(4,3),0.28702 # DEPENDENCYPART_ARC
(4,5),0.649099 # DEPENDENCYPART_ARC
(4,6),0.28942 # DEPENDENCYPART_ARC
(4,7),-0.292482 # DEPENDENCYPART_ARC
(4,8),-2.57324 # DEPENDENCYPART_ARC
(4,10),0.0677734 # DEPENDENCYPART_ARC
(4,11),-2.20811 # DEPENDENCYPART_ARC
(4,12),-3.52132 # DEPENDENCYPART_ARC
(4,13),-0.939798 # DEPENDENCYPART_ARC
(4,14),-1.01268 # DEPENDENCYPART_ARC
(4,15),-3.57945 # DEPENDENCYPART_ARC
(4,16),-1.20724 # DEPENDENCYPART_ARC
(4,17),-1.10622 # DEPENDENCYPART_ARC
(4,18),-3.62568 # DEPENDENCYPART_ARC
(4,19),-2.63865 # DEPENDENCYPART_ARC
(4,20),-2.43969 # DEPENDENCYPART_ARC
(4,21),-3.23114 # DEPENDENCYPART_ARC
(4,22),-3.75094 # DEPENDENCYPART_ARC
(4,23),-3.04103 # DEPENDENCYPART_ARC
(4,24),-3.52509 # DEPENDENCYPART_ARC
(4,26),-2.68191 # DEPENDENCYPART_ARC
(4,27),-2.44994 # DEPENDENCYPART_ARC
(4,28),-4.24924 # DEPENDENCYPART_ARC
(4,29),-2.43654 # DEPENDENCYPART_ARC
(4,30),-3.22605 # DEPENDENCYPART_ARC
(4,31),-1.51092 # DEPENDENCYPART_ARC
(5,1),-0.626621 # DEPENDENCYPART_ARC
(5,2),0.22655 # DEPENDENCYPART_ARC
(5,3),-0.297832 # DEPENDENCYPART_ARC
(5,4),0.00120406 # DEPENDENCYPART_ARC
(5,6),4.52172 # DEPENDENCYPART_ARC
(5,7),-0.431488 # DEPENDENCYPART_ARC
(5,8),-5.31963 # DEPENDENCYPART_ARC
(5,9),-3.08815 # DEPENDENCYPART_ARC
(5,10),0.276771 # DEPENDENCYPART_ARC
(5,11),-2.18178 # DEPENDENCYPART_ARC
(5,12),-3.51456 # DEPENDENCYPART_ARC
(5,13),-2.52649 # DEPENDENCYPART_ARC
(5,14),-0.795642 # DEPENDENCYPART_ARC
(5,15),-3.14802 # DEPENDENCYPART_ARC
(5,16),-3.01791 # DEPENDENCYPART_ARC
(5,17),-1.91106 # DEPENDENCYPART_ARC
(5,18),-3.89883 # DEPENDENCYPART_ARC
(5,19),-7.78592 # DEPENDENCYPART_ARC
(5,20),-3.20826 # DEPENDENCYPART_ARC
(5,21),-2.37851 # DEPENDENCYPART_ARC
(5,22),-3.37895 # DEPENDENCYPART_ARC
(5,23),-10.8724 # DEPENDENCYPART_ARC
(5,24),-3.08614 # DEPENDENCYPART_ARC
(5,25),-4.39462 # DEPENDENCYPART_ARC
(5,26),-4.61259 # DEPENDENCYPART_ARC
(5,27),-5.80772 # DEPENDENCYPART_ARC
(5,28),-10.5198 # DEPENDENCYPART_ARC
(5,29),-3.59885 # DEPENDENCYPART_ARC
(5,30),-3.60238 # DEPENDENCYPART_ARC
(5,31),-0.903957 # DEPENDENCYPART_ARC
(6,1),-0.92517 # DEPENDENCYPART_ARC
(6,2),1.154 # DEPENDENCYPART_ARC
(6,3),-1.43431 # DEPENDENCYPART_ARC
(6,4),0.293821 # DEPENDENCYPART_ARC
(6,5),0.36472 # DEPENDENCYPART_ARC
(6,7),0.315481 # DEPENDENCYPART_ARC
(6,8),-1.13218 # DEPENDENCYPART_ARC
(6,10),3.37094 # DEPENDENCYPART_ARC
(6,11),-0.152701 # DEPENDENCYPART_ARC
(6,12),-1.25535 # DEPENDENCYPART_ARC
(6,13),-0.824327 # DEPENDENCYPART_ARC
(6,14),0.48905 # DEPENDENCYPART_ARC
(6,15),-1.29625 # DEPENDENCYPART_ARC
(6,16),-1.01625 # DEPENDENCYPART_ARC
(6,17),0.168487 # DEPENDENCYPART_ARC
(6,18),-2.21655 # DEPENDENCYPART_ARC
(6,19),-0.84437 # DEPENDENCYPART_ARC
(6,20),0.082355 # DEPENDENCYPART_ARC
(6,21),-0.72864 # DEPENDENCYPART_ARC
(6,22),-2.41573 # DEPENDENCYPART_ARC
(6,23),-0.472374 # DEPENDENCYPART_ARC
(6,24),-0.633313 # DEPENDENCYPART_ARC
(6,25),-1.97646 # DEPENDENCYPART_ARC
(6,26),-2.59478 # DEPENDENCYPART_ARC
(6,27),-1.65359 # DEPENDENCYPART_ARC
(6,28),-4.66375 # DEPENDENCYPART_ARC
(6,29),-0.242635 # DEPENDENCYPART_ARC
(6,30),0.472186 # DEPENDENCYPART_ARC
(6,31),1.95325 # DEPENDENCYPART_ARC
(7,3),-2.3087 # DEPENDENCYPART_ARC
(7,4),-1.27969 # DEPENDENCYPART_ARC
(7,6),-0.862236 # DEPENDENCYPART_ARC
(7,17),-0.112758 # DEPENDENCYPART_ARC
(7,19),-1.11984 # DEPENDENCYPART_ARC
(7,23),-1.26603 # DEPENDENCYPART_ARC
(7,26),-1.48617 # DEPENDENCYPART_ARC
(8,1),-1.61646 # DEPENDENCYPART_ARC
(8,2),-3.39424 # DEPENDENCYPART_ARC
(8,3),-3.14016 # DEPENDENCYPART_ARC
(8,4),-2.55628 # DEPENDENCYPART_ARC
(8,5),-1.98147 # DEPENDENCYPART_ARC
(8,6),-2.40206 # DEPENDENCYPART_ARC
(8,10),-0.534935 # DEPENDENCYPART_ARC
(8,11),-2.38537 # DEPENDENCYPART_ARC
(8,12),-3.45612 # DEPENDENCYPART_ARC
(8,15),-3.78711 # DEPENDENCYPART_ARC
(8,18),-3.53596 # DEPENDENCYPART_ARC
(8,19),-3.91656 # DEPENDENCYPART_ARC
(8,20),-2.95042 # DEPENDENCYPART_ARC
(8,21),-4.05756 # DEPENDENCYPART_ARC
(8,23),-4.21232 # DEPENDENCYPART_ARC
(8,24),-4.3362 # DEPENDENCYPART_ARC
(8,26),-2.86742 # DEPENDENCYPART_ARC
(8,29),-3.52065 # DEPENDENCYPART_ARC
(8,30),-3.50627 # DEPENDENCYPART_ARC
(10,1),1.4838 # DEPENDENCYPART_ARC
(10,2),-1.46988 # DEPENDENCYPART_ARC
(10,3),0.588503 # DEPENDENCYPART_ARC
(10,4),-0.213523 # DEPENDENCYPART_ARC
(10,5),-1.48846 # DEPENDENCYPART_ARC
(10,6),-0.222685 # DEPENDENCYPART_ARC
(10,7),2.39645 # DEPENDENCYPART_ARC
(10,8),3.99123 # DEPENDENCYPART_ARC
(10,9),4.94599 # DEPENDENCYPART_ARC
(10,11),2.35758 # DEPENDENCYPART_ARC
(10,12),-1.59285 # DEPENDENCYPART_ARC
(10,13),1.86561 # DEPENDENCYPART_ARC
(10,14),1.3487 # DEPENDENCYPART_ARC
(10,15),-2.52571 # DEPENDENCYPART_ARC
(10,16),0.755285 # DEPENDENCYPART_ARC
(10,17),1.12814 # DEPENDENCYPART_ARC
(10,18),-3.13822 # DEPENDENCYPART_ARC
(10,19),0.76286 # DEPENDENCYPART_ARC
(10,20),2.79059 # DEPENDENCYPART_ARC
(10,21),-0.0397367 # DEPENDENCYPART_ARC
(10,23),0.332893 # DEPENDENCYPART_ARC
(10,24),0.000681965 # DEPENDENCYPART_ARC
(10,25),-1.21805 # DEPENDENCYPART_ARC
(10,26),-1.21955 # DEPENDENCYPART_ARC
(10,27),-0.96953 # DEPENDENCYPART_ARC
(10,28),-2.54019 # DEPENDENCYPART_ARC
(10,29),1.21609 # DEPENDENCYPART_ARC
(10,30),0.837106 # DEPENDENCYPART_ARC
(10,31),6.06666 # DEPENDENCYPART_ARC
(11,1),-2.83973 # DEPENDENCYPART_ARC
(11,2),-2.62919 # DEPENDENCYPART_ARC
(11,3),-3.21608 # DEPENDENCYPART_ARC
(11,4),-2.98127 # DEPENDENCYPART_ARC
(11,5),-2.68472 # DEPENDENCYPART_ARC
(11,6),-3.08651 # DEPENDENCYPART_ARC
(11,7),-1.86511 # DEPENDENCYPART_ARC
(11,8),-2.02456 # DEPENDENCYPART_ARC
(11,9),-1.45374 # DEPENDENCYPART_ARC
(11,10),-0.603008 # DEPENDENCYPART_ARC
(11,12),-0.577069 # DEPENDENCYPART_ARC
(11,13),2.13443 # DEPENDENCYPART_ARC
(11,14),0.393132 # DEPENDENCYPART_ARC
(11,15),-1.95708 # DEPENDENCYPART_ARC
(11,16),-0.0195626 # DEPENDENCYPART_ARC
(11,17),0.908262 # DEPENDENCYPART_ARC
(11,18),-2.21356 # DEPENDENCYPART_ARC
(11,19),-0.927617 # DEPENDENCYPART_ARC
(11,20),-1.73918 # DEPENDENCYPART_ARC
(11,21),-2.34657 # DEPENDENCYPART_ARC
(11,22),-2.30636 # DEPENDENCYPART_ARC
(11,23),-3.37822 # DEPENDENCYPART_ARC
(11,24),-3.18922 # DEPENDENCYPART_ARC
(11,25),-2.37903 # DEPENDENCYPART_ARC
(11,26),-1.05569 # DEPENDENCYPART_ARC
(11,27),-3.44445 # DEPENDENCYPART_ARC
(11,28),-4.29003 # DEPENDENCYPART_ARC
(11,29),-1.11212 # DEPENDENCYPART_ARC
(11,30),-1.84661 # DEPENDENCYPART_ARC
(11,31),-0.563622 # DEPENDENCYPART_ARC
(12,1),-2.64639 # DEPENDENCYPART_ARC
(12,2),-2.87799 # DEPENDENCYPART_ARC
(12,3),-2.81665 # DEPENDENCYPART_ARC
(12,4),-3.01456 # DEPENDENCYPART_ARC
(12,5),-2.04339 # DEPENDENCYPART_ARC
(12,6),-2.38072 # DEPENDENCYPART_ARC
(12,8),-2.39841 # DEPENDENCYPART_ARC
(12,11),0.396242 # DEPENDENCYPART_ARC
(12,13),1.50329 # DEPENDENCYPART_ARC
(12,14),0.0963897 # DEPENDENCYPART_ARC
(12,15),0.420089 # DEPENDENCYPART_ARC
(12,16),-0.473217 # DEPENDENCYPART_ARC
(12,18),-0.555847 # DEPENDENCYPART_ARC
(12,19),-2.90553 # DEPENDENCYPART_ARC
(12,21),-2.40957 # DEPENDENCYPART_ARC
(12,22),-2.43244 # DEPENDENCYPART_ARC
(12,23),-3.44073 # DEPENDENCYPART_ARC
(12,24),-2.69977 # DEPENDENCYPART_ARC
(12,26),-3.36026 # DEPENDENCYPART_ARC
(12,27),-2.03222 # DEPENDENCYPART_ARC
(12,28),-3.86061 # DEPENDENCYPART_ARC
(13,1),-0.764704 # DEPENDENCYPART_ARC
(13,2),-1.13409 # DEPENDENCYPART_ARC
(13,3),-1.77358 # DEPENDENCYPART_ARC
(13,4),-1.30748 # DEPENDENCYPART_ARC
(13,5),0.00356282 # DEPENDENCYPART_ARC
(13,6),-1.51135 # DEPENDENCYPART_ARC
(13,7),-0.134292 # DEPENDENCYPART_ARC
(13,8),0.077779 # DEPENDENCYPART_ARC
(13,10),-0.470295 # DEPENDENCYPART_ARC
(13,11),3.03561 # DEPENDENCYPART_ARC
(13,12),3.91423 # DEPENDENCYPART_ARC
(13,14),2.47248 # DEPENDENCYPART_ARC
(13,15),0.424555 # DEPENDENCYPART_ARC
(13,16),2.32399 # DEPENDENCYPART_ARC
(13,17),0.946782 # DEPENDENCYPART_ARC
(13,18),-0.418681 # DEPENDENCYPART_ARC
(13,19),-0.512741 # DEPENDENCYPART_ARC
(13,20),-0.0431259 # DEPENDENCYPART_ARC
(13,21),-0.28019 # DEPENDENCYPART_ARC
(13,23),-0.70092 # DEPENDENCYPART_ARC
(13,24),-0.805212 # DEPENDENCYPART_ARC
(13,26),-0.408272 # DEPENDENCYPART_ARC
(13,28),-1.13658 # DEPENDENCYPART_ARC
(13,29),-0.0272533 # DEPENDENCYPART_ARC
(13,30),-0.175149 # DEPENDENCYPART_ARC
(13,31),-0.556112 # DEPENDENCYPART_ARC
(14,7),-2.85233 # DEPENDENCYPART_ARC
(14,17),-0.936219 # DEPENDENCYPART_ARC
(15,1),-2.66605 # DEPENDENCYPART_ARC
(15,2),-2.991 # DEPENDENCYPART_ARC
(15,3),-3.17157 # DEPENDENCYPART_ARC
(15,4),-3.37093 # DEPENDENCYPART_ARC
(15,5),-2.13124 # DEPENDENCYPART_ARC
(15,6),-2.82174 # DEPENDENCYPART_ARC
(15,8),-3.06821 # DEPENDENCYPART_ARC
(15,11),-0.723076 # DEPENDENCYPART_ARC
(15,12),-0.085757 # DEPENDENCYPART_ARC
(15,13),-0.858915 # DEPENDENCYPART_ARC
(15,14),0.20904 # DEPENDENCYPART_ARC
(15,16),0.315891 # DEPENDENCYPART_ARC
(15,18),-0.477253 # DEPENDENCYPART_ARC
(15,19),-3.36927 # DEPENDENCYPART_ARC
(15,21),-2.953 # DEPENDENCYPART_ARC
(15,22),-3.36111 # DEPENDENCYPART_ARC
(15,23),-4.82285 # DEPENDENCYPART_ARC
(15,24),-3.02074 # DEPENDENCYPART_ARC
(15,26),-4.40879 # DEPENDENCYPART_ARC
(15,27),-2.95301 # DEPENDENCYPART_ARC
(15,28),-4.77783 # DEPENDENCYPART_ARC
(16,1),-1.34629 # DEPENDENCYPART_ARC
(16,2),-1.58177 # DEPENDENCYPART_ARC
(16,3),-2.2392 # DEPENDENCYPART_ARC
(16,4),-1.68266 # DEPENDENCYPART_ARC
(16,5),-0.686288 # DEPENDENCYPART_ARC
(16,6),-1.83292 # DEPENDENCYPART_ARC
(16,7),-0.546577 # DEPENDENCYPART_ARC
(16,8),-0.381103 # DEPENDENCYPART_ARC
(16,10),-1.28842 # DEPENDENCYPART_ARC
(16,11),1.48499 # DEPENDENCYPART_ARC
(16,12),1.28061 # DEPENDENCYPART_ARC
(16,13),-0.106352 # DEPENDENCYPART_ARC
(16,14),0.966817 # DEPENDENCYPART_ARC
(16,15),3.89392 # DEPENDENCYPART_ARC
(16,17),1.49695 # DEPENDENCYPART_ARC
(16,18),0.0693431 # DEPENDENCYPART_ARC
(16,19),0.0482227 # DEPENDENCYPART_ARC
(16,20),0.423129 # DEPENDENCYPART_ARC
(16,21),-0.538647 # DEPENDENCYPART_ARC
(16,23),-0.62493 # DEPENDENCYPART_ARC
(16,24),-1.22761 # DEPENDENCYPART_ARC
(16,26),-0.502616 # DEPENDENCYPART_ARC
(16,28),-1.41506 # DEPENDENCYPART_ARC
(16,29),0.0912635 # DEPENDENCYPART_ARC
(16,30),-0.00223513 # DEPENDENCYPART_ARC
(16,31),-0.744851 # DEPENDENCYPART_ARC
(17,3),-3.22974 # DEPENDENCYPART_ARC
(17,4),-2.63035 # DEPENDENCYPART_ARC
(17,6),-3.16566 # DEPENDENCYPART_ARC
(17,7),-1.91335 # DEPENDENCYPART_ARC
(17,19),-0.887347 # DEPENDENCYPART_ARC
(17,23),-2.01134 # DEPENDENCYPART_ARC
(17,26),-2.05036 # DEPENDENCYPART_ARC
(18,1),-3.04341 # DEPENDENCYPART_ARC
(18,2),-3.36138 # DEPENDENCYPART_ARC
(18,3),-3.54037 # DEPENDENCYPART_ARC
(18,4),-4.17066 # DEPENDENCYPART_ARC
(18,5),-2.96718 # DEPENDENCYPART_ARC
(18,6),-3.26533 # DEPENDENCYPART_ARC
(18,8),-3.31864 # DEPENDENCYPART_ARC
(18,11),-1.58682 # DEPENDENCYPART_ARC
(18,12),-0.774974 # DEPENDENCYPART_ARC
(18,13),-2.03903 # DEPENDENCYPART_ARC
(18,14),-1.626 # DEPENDENCYPART_ARC
(18,15),0.0168226 # DEPENDENCYPART_ARC
(18,16),-1.2562 # DEPENDENCYPART_ARC
(18,19),0.298018 # DEPENDENCYPART_ARC
(18,21),-1.61177 # DEPENDENCYPART_ARC
(18,22),0.1457 # DEPENDENCYPART_ARC
(18,23),-2.37947 # DEPENDENCYPART_ARC
(18,24),-2.15522 # DEPENDENCYPART_ARC
(18,26),-2.37657 # DEPENDENCYPART_ARC
(18,27),-2.68436 # DEPENDENCYPART_ARC
(18,28),-3.7896 # DEPENDENCYPART_ARC
(19,1),-2.11542 # DEPENDENCYPART_ARC
(19,2),-3.80694 # DEPENDENCYPART_ARC
(19,3),-3.39812 # DEPENDENCYPART_ARC
(19,4),-3.79179 # DEPENDENCYPART_ARC
(19,5),-1.92956 # DEPENDENCYPART_ARC
(19,6),-2.84042 # DEPENDENCYPART_ARC
(19,7),-2.68051 # DEPENDENCYPART_ARC
(19,8),-1.44466 # DEPENDENCYPART_ARC
(19,10),-0.327727 # DEPENDENCYPART_ARC
(19,11),-0.0508644 # DEPENDENCYPART_ARC
(19,12),-0.805589 # DEPENDENCYPART_ARC
(19,13),-1.5962 # DEPENDENCYPART_ARC
(19,14),-0.706998 # DEPENDENCYPART_ARC
(19,15),0.600582 # DEPENDENCYPART_ARC
(19,16),-1.32901 # DEPENDENCYPART_ARC
(19,17),-0.0489682 # DEPENDENCYPART_ARC
(19,18),4.57127 # DEPENDENCYPART_ARC
(19,20),1.06716 # DEPENDENCYPART_ARC
(19,21),-0.855789 # DEPENDENCYPART_ARC
(19,22),-1.97565 # DEPENDENCYPART_ARC
(19,23),-0.827148 # DEPENDENCYPART_ARC
(19,24),-1.13169 # DEPENDENCYPART_ARC
(19,25),-1.92732 # DEPENDENCYPART_ARC
(19,26),-0.311494 # DEPENDENCYPART_ARC
(19,27),-1.56747 # DEPENDENCYPART_ARC
(19,28),-3.78572 # DEPENDENCYPART_ARC
(19,29),0.623708 # DEPENDENCYPART_ARC
(19,30),-0.194112 # DEPENDENCYPART_ARC
(19,31),0.122142 # DEPENDENCYPART_ARC
(20,1),1.5867 # DEPENDENCYPART_ARC
(20,2),-2.96766 # DEPENDENCYPART_ARC
(20,3),-0.613395 # DEPENDENCYPART_ARC
(20,4),-1.15426 # DEPENDENCYPART_ARC
(20,5),-2.24727 # DEPENDENCYPART_ARC
(20,6),-1.99476 # DEPENDENCYPART_ARC
(20,7),-0.265506 # DEPENDENCYPART_ARC
(20,8),1.91898 # DEPENDENCYPART_ARC
(20,9),1.25466 # DEPENDENCYPART_ARC
(20,10),-1.84513 # DEPENDENCYPART_ARC
(20,11),0.629224 # DEPENDENCYPART_ARC
(20,12),-1.45142 # DEPENDENCYPART_ARC
(20,13),0.289004 # DEPENDENCYPART_ARC
(20,14),0.759003 # DEPENDENCYPART_ARC
(20,15),-0.723603 # DEPENDENCYPART_ARC
(20,16),0.536005 # DEPENDENCYPART_ARC
(20,17),0.662306 # DEPENDENCYPART_ARC
(20,18),0.83285 # DEPENDENCYPART_ARC
(20,19),3.38171 # DEPENDENCYPART_ARC
(20,21),2.26079 # DEPENDENCYPART_ARC
(20,23),2.64397 # DEPENDENCYPART_ARC
(20,24),0.932528 # DEPENDENCYPART_ARC
(20,25),0.0820863 # DEPENDENCYPART_ARC
(20,26),0.684144 # DEPENDENCYPART_ARC
(20,27),0.245179 # DEPENDENCYPART_ARC
(20,28),-1.03167 # DEPENDENCYPART_ARC
(20,29),1.82035 # DEPENDENCYPART_ARC
(20,30),0.952503 # DEPENDENCYPART_ARC
(20,31),4.46141 # DEPENDENCYPART_ARC
(21,1),-3.02248 # DEPENDENCYPART_ARC
(21,2),-2.74854 # DEPENDENCYPART_ARC
(21,3),-3.37325 # DEPENDENCYPART_ARC
(21,4),-3.11479 # DEPENDENCYPART_ARC
(21,5),-2.90903 # DEPENDENCYPART_ARC
(21,6),-3.25506 # DEPENDENCYPART_ARC
(21,7),-3.15233 # DEPENDENCYPART_ARC
(21,8),-2.34955 # DEPENDENCYPART_ARC
(21,9),-2.4769 # DEPENDENCYPART_ARC
(21,10),-2.99383 # DEPENDENCYPART_ARC
(21,11),-1.59057 # DEPENDENCYPART_ARC
(21,12),-2.29385 # DEPENDENCYPART_ARC
(21,13),-2.34426 # DEPENDENCYPART_ARC
(21,14),-1.79109 # DEPENDENCYPART_ARC
(21,15),-2.16883 # DEPENDENCYPART_ARC
(21,16),-2.39952 # DEPENDENCYPART_ARC
(21,17),-1.79059 # DEPENDENCYPART_ARC
(21,18),-1.24723 # DEPENDENCYPART_ARC
(21,19),-1.76847 # DEPENDENCYPART_ARC
(21,20),-0.0288509 # DEPENDENCYPART_ARC
(21,22),0.536883 # DEPENDENCYPART_ARC
(21,23),4.23997 # DEPENDENCYPART_ARC
(21,24),0.0686896 # DEPENDENCYPART_ARC
(21,25),0.518089 # DEPENDENCYPART_ARC
(21,26),0.356448 # DEPENDENCYPART_ARC
(21,27),-1.82435 # DEPENDENCYPART_ARC
(21,28),-2.45419 # DEPENDENCYPART_ARC
(21,29),0.28042 # DEPENDENCYPART_ARC
(21,30),-0.0621753 # DEPENDENCYPART_ARC
(21,31),-0.481452 # DEPENDENCYPART_ARC
(22,1),-1.6772 # DEPENDENCYPART_ARC
(22,3),-2.41694 # DEPENDENCYPART_ARC
(22,4),-3.22803 # DEPENDENCYPART_ARC
(22,5),-1.72358 # DEPENDENCYPART_ARC
(22,6),-2.04047 # DEPENDENCYPART_ARC
(22,10),-1.00003 # DEPENDENCYPART_ARC
(22,11),-0.402782 # DEPENDENCYPART_ARC
(22,14),-1.44994 # DEPENDENCYPART_ARC
(22,19),-0.544753 # DEPENDENCYPART_ARC
(22,20),0.933104 # DEPENDENCYPART_ARC
(22,21),1.35835 # DEPENDENCYPART_ARC
(22,23),2.24054 # DEPENDENCYPART_ARC
(22,24),0.356945 # DEPENDENCYPART_ARC
(22,26),-0.909177 # DEPENDENCYPART_ARC
(22,29),-1.26216 # DEPENDENCYPART_ARC
(22,30),-1.8684 # DEPENDENCYPART_ARC
(23,1),-2.34365 # DEPENDENCYPART_ARC
(23,2),-4.74717 # DEPENDENCYPART_ARC
(23,3),-3.38676 # DEPENDENCYPART_ARC
(23,4),-4.22825 # DEPENDENCYPART_ARC
(23,5),-1.9771 # DEPENDENCYPART_ARC
(23,6),-2.88867 # DEPENDENCYPART_ARC
(23,7),-1.18745 # DEPENDENCYPART_ARC
