# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=6,3,1,1,6,0,6,9,7,9,12,9,9,13,12,17,14,17,9,22,20,25,22,23,7,25,28,26,9,29,30,31,31,6,
(2,24),-4.02628 # DEPENDENCYPART_ARC
(2,25),-4.18287 # DEPENDENCYPART_ARC
(2,26),-3.45197 # DEPENDENCYPART_ARC
(2,27),-5.40997 # DEPENDENCYPART_ARC
(2,28),-3.59748 # DEPENDENCYPART_ARC
(2,29),-5.63821 # DEPENDENCYPART_ARC
(2,30),-5.49773 # DEPENDENCYPART_ARC
(2,31),-5.10872 # DEPENDENCYPART_ARC
(2,32),-4.1064 # DEPENDENCYPART_ARC
(2,33),-5.05118 # DEPENDENCYPART_ARC
(2,34),-4.74899 # DEPENDENCYPART_ARC
(3,1),0.987113 # DEPENDENCYPART_ARC
(3,2),4.81306 # DEPENDENCYPART_ARC
(3,4),-0.139953 # DEPENDENCYPART_ARC
(3,5),-1.19895 # DEPENDENCYPART_ARC
(3,6),2.48822 # DEPENDENCYPART_ARC
(3,7),1.39308 # DEPENDENCYPART_ARC
(3,8),-2.03183 # DEPENDENCYPART_ARC
(3,9),0.00789089 # DEPENDENCYPART_ARC
(3,10),1.05273 # DEPENDENCYPART_ARC
(3,11),-2.4743 # DEPENDENCYPART_ARC
(3,12),-0.395345 # DEPENDENCYPART_ARC
(3,13),0.229196 # DEPENDENCYPART_ARC
(3,14),-0.531953 # DEPENDENCYPART_ARC
(3,15),0.301995 # DEPENDENCYPART_ARC
(3,16),-2.37696 # DEPENDENCYPART_ARC
(3,17),-1.43513 # DEPENDENCYPART_ARC
(3,18),-0.986641 # DEPENDENCYPART_ARC
(3,19),-0.6243 # DEPENDENCYPART_ARC
(3,20),-3.22206 # DEPENDENCYPART_ARC
(3,21),-3.02477 # DEPENDENCYPART_ARC
(3,22),-0.658936 # DEPENDENCYPART_ARC
(3,23),-0.949891 # DEPENDENCYPART_ARC
(3,24),-1.30965 # DEPENDENCYPART_ARC
(3,25),-2.22425 # DEPENDENCYPART_ARC
(3,26),-2.77059 # DEPENDENCYPART_ARC
(3,27),-3.23348 # DEPENDENCYPART_ARC
(3,28),-1.45264 # DEPENDENCYPART_ARC
(3,29),-1.16157 # DEPENDENCYPART_ARC
(3,30),-1.26997 # DEPENDENCYPART_ARC
(3,31),-5.49926 # DEPENDENCYPART_ARC
(3,32),-2.73615 # DEPENDENCYPART_ARC
(3,33),-6.42748 # DEPENDENCYPART_ARC
(3,34),1.05307 # DEPENDENCYPART_ARC
(4,1),-1.08922 # DEPENDENCYPART_ARC
(4,2),-0.700716 # DEPENDENCYPART_ARC
(4,3),-0.985481 # DEPENDENCYPART_ARC
(4,5),0.189476 # DEPENDENCYPART_ARC
(4,6),-0.245421 # DEPENDENCYPART_ARC
(4,7),-0.673767 # DEPENDENCYPART_ARC
(4,8),-1.66055 # DEPENDENCYPART_ARC
(4,9),-1.25454 # DEPENDENCYPART_ARC
(4,10),-0.190194 # DEPENDENCYPART_ARC
(4,11),-1.69453 # DEPENDENCYPART_ARC
(4,12),-1.20456 # DEPENDENCYPART_ARC
(4,13),-1.094 # DEPENDENCYPART_ARC
(4,14),-1.32807 # DEPENDENCYPART_ARC
(4,15),-0.282233 # DEPENDENCYPART_ARC
(4,16),-1.70028 # DEPENDENCYPART_ARC
(4,17),-1.23873 # DEPENDENCYPART_ARC
(4,18),-1.25691 # DEPENDENCYPART_ARC
(4,19),-1.38697 # DEPENDENCYPART_ARC
(4,20),-1.77926 # DEPENDENCYPART_ARC
(4,21),-1.76703 # DEPENDENCYPART_ARC
(4,22),-1.26475 # DEPENDENCYPART_ARC
(4,23),-1.3012 # DEPENDENCYPART_ARC
(4,24),-1.3706 # DEPENDENCYPART_ARC
(4,25),-1.21404 # DEPENDENCYPART_ARC
(4,26),-1.31848 # DEPENDENCYPART_ARC
(4,27),-2.04225 # DEPENDENCYPART_ARC
(4,28),-1.52098 # DEPENDENCYPART_ARC
(4,29),-1.56945 # DEPENDENCYPART_ARC
(4,30),-1.60091 # DEPENDENCYPART_ARC
(4,31),-1.76566 # DEPENDENCYPART_ARC
(4,32),-0.92582 # DEPENDENCYPART_ARC
(4,33),-1.7932 # DEPENDENCYPART_ARC
(4,34),-1.78737 # DEPENDENCYPART_ARC
(5,1),-0.991594 # DEPENDENCYPART_ARC
(5,2),-2.31325 # DEPENDENCYPART_ARC
(5,3),-2.91649 # DEPENDENCYPART_ARC
(5,4),-0.441401 # DEPENDENCYPART_ARC
(5,6),0.608032 # DEPENDENCYPART_ARC
(5,7),-0.617419 # DEPENDENCYPART_ARC
(5,8),-1.24734 # DEPENDENCYPART_ARC
(5,9),-1.51214 # DEPENDENCYPART_ARC
(5,10),-0.644316 # DEPENDENCYPART_ARC
(5,11),-2.30129 # DEPENDENCYPART_ARC
(5,12),-2.4553 # DEPENDENCYPART_ARC
(5,13),-1.945 # DEPENDENCYPART_ARC
(5,14),-1.91953 # DEPENDENCYPART_ARC
(5,15),-0.846693 # DEPENDENCYPART_ARC
(5,16),-2.66794 # DEPENDENCYPART_ARC
(5,17),-3.39167 # DEPENDENCYPART_ARC
(5,18),-2.18124 # DEPENDENCYPART_ARC
(5,19),-1.96191 # DEPENDENCYPART_ARC
(5,20),-2.38102 # DEPENDENCYPART_ARC
(5,21),-2.44104 # DEPENDENCYPART_ARC
(5,22),-2.46022 # DEPENDENCYPART_ARC
(5,23),-2.56919 # DEPENDENCYPART_ARC
(5,24),-3.86991 # DEPENDENCYPART_ARC
(5,25),-2.55328 # DEPENDENCYPART_ARC
(5,26),-3.48722 # DEPENDENCYPART_ARC
(5,27),-3.23947 # DEPENDENCYPART_ARC
(5,28),-4.02273 # DEPENDENCYPART_ARC
(5,29),-3.61821 # DEPENDENCYPART_ARC
(5,30),-3.01713 # DEPENDENCYPART_ARC
(5,31),-1.4647 # DEPENDENCYPART_ARC
(5,32),-2.12866 # DEPENDENCYPART_ARC
(5,33),-1.44583 # DEPENDENCYPART_ARC
(5,34),-0.452034 # DEPENDENCYPART_ARC
(6,1),1.50816 # DEPENDENCYPART_ARC
(6,2),-0.559915 # DEPENDENCYPART_ARC
(6,3),0.47215 # DEPENDENCYPART_ARC
(6,4),1.64474 # DEPENDENCYPART_ARC
(6,5),4.23974 # DEPENDENCYPART_ARC
(6,7),4.50331 # DEPENDENCYPART_ARC
(6,8),-1.90249 # DEPENDENCYPART_ARC
(6,9),1.67783 # DEPENDENCYPART_ARC
(6,10),1.29021 # DEPENDENCYPART_ARC
(6,11),-2.06956 # DEPENDENCYPART_ARC
(6,12),0.482449 # DEPENDENCYPART_ARC
(6,13),0.586505 # DEPENDENCYPART_ARC
(6,14),-0.518374 # DEPENDENCYPART_ARC
(6,15),1.00588 # DEPENDENCYPART_ARC
(6,16),-1.55728 # DEPENDENCYPART_ARC
(6,17),-1.05809 # DEPENDENCYPART_ARC
(6,18),-0.139111 # DEPENDENCYPART_ARC
(6,19),0.938328 # DEPENDENCYPART_ARC
(6,20),-2.58905 # DEPENDENCYPART_ARC
(6,21),-2.46481 # DEPENDENCYPART_ARC
(6,22),-1.78917 # DEPENDENCYPART_ARC
(6,23),-1.10731 # DEPENDENCYPART_ARC
(6,24),-2.65815 # DEPENDENCYPART_ARC
(6,25),0.741705 # DEPENDENCYPART_ARC
(6,26),-0.0642729 # DEPENDENCYPART_ARC
(6,27),-2.16782 # DEPENDENCYPART_ARC
(6,28),-2.01036 # DEPENDENCYPART_ARC
(6,29),-1.24772 # DEPENDENCYPART_ARC
(6,30),-3.38052 # DEPENDENCYPART_ARC
(6,31),-1.20176 # DEPENDENCYPART_ARC
(6,32),-0.428301 # DEPENDENCYPART_ARC
(6,33),-1.04606 # DEPENDENCYPART_ARC
(6,34),9.44255 # DEPENDENCYPART_ARC
(7,1),-0.0895712 # DEPENDENCYPART_ARC
(7,2),-2.22203 # DEPENDENCYPART_ARC
(7,3),-1.38772 # DEPENDENCYPART_ARC
(7,4),-0.190409 # DEPENDENCYPART_ARC
(7,5),2.37001 # DEPENDENCYPART_ARC
(7,6),2.1499 # DEPENDENCYPART_ARC
(7,8),-0.763605 # DEPENDENCYPART_ARC
(7,9),3.60308 # DEPENDENCYPART_ARC
(7,10),1.84382 # DEPENDENCYPART_ARC
(7,11),-1.76873 # DEPENDENCYPART_ARC
(7,12),1.14103 # DEPENDENCYPART_ARC
(7,13),0.867001 # DEPENDENCYPART_ARC
(7,14),-0.470089 # DEPENDENCYPART_ARC
(7,15),1.58805 # DEPENDENCYPART_ARC
(7,16),-2.02061 # DEPENDENCYPART_ARC
(7,17),-0.854627 # DEPENDENCYPART_ARC
(7,18),0.0506075 # DEPENDENCYPART_ARC
(7,19),-0.459365 # DEPENDENCYPART_ARC
(7,20),-1.99492 # DEPENDENCYPART_ARC
(7,21),-1.84899 # DEPENDENCYPART_ARC
(7,22),-1.21335 # DEPENDENCYPART_ARC
(7,23),-0.851322 # DEPENDENCYPART_ARC
(7,24),-1.92276 # DEPENDENCYPART_ARC
(7,25),2.59821 # DEPENDENCYPART_ARC
(7,26),1.11998 # DEPENDENCYPART_ARC
(7,27),-3.00373 # DEPENDENCYPART_ARC
(7,28),-1.96518 # DEPENDENCYPART_ARC
(7,29),-1.52712 # DEPENDENCYPART_ARC
(7,30),-2.63425 # DEPENDENCYPART_ARC
(7,31),-1.02176 # DEPENDENCYPART_ARC
(7,32),0.8618 # DEPENDENCYPART_ARC
(7,33),-0.770886 # DEPENDENCYPART_ARC
(7,34),4.89884 # DEPENDENCYPART_ARC
(8,1),-2.71325 # DEPENDENCYPART_ARC
(8,2),-1.70702 # DEPENDENCYPART_ARC
(8,3),-3.19479 # DEPENDENCYPART_ARC
(8,4),-2.30459 # DEPENDENCYPART_ARC
(8,5),-2.73182 # DEPENDENCYPART_ARC
(8,6),-1.35329 # DEPENDENCYPART_ARC
(8,7),-1.51461 # DEPENDENCYPART_ARC
(8,9),1.30439 # DEPENDENCYPART_ARC
(8,10),0.300783 # DEPENDENCYPART_ARC
(8,11),-0.748586 # DEPENDENCYPART_ARC
(8,12),-0.858204 # DEPENDENCYPART_ARC
(8,13),-1.13971 # DEPENDENCYPART_ARC
(8,14),-2.04042 # DEPENDENCYPART_ARC
(8,15),-1.18402 # DEPENDENCYPART_ARC
(8,16),-1.64453 # DEPENDENCYPART_ARC
(8,17),-2.55957 # DEPENDENCYPART_ARC
(8,18),-2.24342 # DEPENDENCYPART_ARC
(8,19),-1.93188 # DEPENDENCYPART_ARC
(8,20),-2.65578 # DEPENDENCYPART_ARC
(8,21),-1.18295 # DEPENDENCYPART_ARC
(8,22),-2.55009 # DEPENDENCYPART_ARC
(8,23),-2.44648 # DEPENDENCYPART_ARC
(8,24),-3.46885 # DEPENDENCYPART_ARC
(8,25),-2.4346 # DEPENDENCYPART_ARC
(8,26),-2.80506 # DEPENDENCYPART_ARC
(8,27),-4.99456 # DEPENDENCYPART_ARC
(8,28),-3.70016 # DEPENDENCYPART_ARC
(8,29),-4.82399 # DEPENDENCYPART_ARC
(8,30),-4.53737 # DEPENDENCYPART_ARC
(8,31),-2.98752 # DEPENDENCYPART_ARC
(8,32),-3.61072 # DEPENDENCYPART_ARC
(8,33),-2.97988 # DEPENDENCYPART_ARC
(8,34),-3.27441 # DEPENDENCYPART_ARC
(9,1),-0.298632 # DEPENDENCYPART_ARC
(9,2),-0.88226 # DEPENDENCYPART_ARC
(9,3),-2.4075 # DEPENDENCYPART_ARC
(9,4),-1.29907 # DEPENDENCYPART_ARC
(9,5),0.643197 # DEPENDENCYPART_ARC
(9,6),0.464915 # DEPENDENCYPART_ARC
(9,7),0.372194 # DEPENDENCYPART_ARC
(9,8),5.06587 # DEPENDENCYPART_ARC
(9,10),3.25722 # DEPENDENCYPART_ARC
(9,11),-0.608157 # DEPENDENCYPART_ARC
(9,12),2.39415 # DEPENDENCYPART_ARC
(9,13),3.09733 # DEPENDENCYPART_ARC
(9,14),2.10355 # DEPENDENCYPART_ARC
(9,15),2.0501 # DEPENDENCYPART_ARC
(9,16),-0.931161 # DEPENDENCYPART_ARC
(9,17),1.40908 # DEPENDENCYPART_ARC
(9,18),0.602118 # DEPENDENCYPART_ARC
(9,19),1.32631 # DEPENDENCYPART_ARC
(9,20),-0.991344 # DEPENDENCYPART_ARC
(9,21),-0.779591 # DEPENDENCYPART_ARC
(9,22),2.80423 # DEPENDENCYPART_ARC
(9,23),1.8376 # DEPENDENCYPART_ARC
(9,24),2.01537 # DEPENDENCYPART_ARC
(9,25),1.87005 # DEPENDENCYPART_ARC
(9,26),0.074163 # DEPENDENCYPART_ARC
(9,27),-1.98196 # DEPENDENCYPART_ARC
(9,28),0.678278 # DEPENDENCYPART_ARC
(9,29),2.83331 # DEPENDENCYPART_ARC
(9,30),1.30164 # DEPENDENCYPART_ARC
(9,31),-1.5033 # DEPENDENCYPART_ARC
(9,32),-0.463741 # DEPENDENCYPART_ARC
(9,33),-3.02338 # DEPENDENCYPART_ARC
(9,34),2.30819 # DEPENDENCYPART_ARC
(10,1),-2.96294 # DEPENDENCYPART_ARC
(10,2),-3.65421 # DEPENDENCYPART_ARC
(10,3),-3.73539 # DEPENDENCYPART_ARC
(10,4),-2.92393 # DEPENDENCYPART_ARC
(10,5),-2.93965 # DEPENDENCYPART_ARC
(10,6),-3.10174 # DEPENDENCYPART_ARC
(10,7),-2.67575 # DEPENDENCYPART_ARC
(10,8),-1.38069 # DEPENDENCYPART_ARC
(10,9),-1.49472 # DEPENDENCYPART_ARC
(10,11),-1.94907 # DEPENDENCYPART_ARC
(10,12),-1.12121 # DEPENDENCYPART_ARC
(10,13),-1.56299 # DEPENDENCYPART_ARC
(10,14),-2.10436 # DEPENDENCYPART_ARC
(10,15),-1.10465 # DEPENDENCYPART_ARC
(10,16),-3.48302 # DEPENDENCYPART_ARC
(10,17),-3.23566 # DEPENDENCYPART_ARC
(10,18),-2.33106 # DEPENDENCYPART_ARC
(10,19),-2.00424 # DEPENDENCYPART_ARC
(10,20),-3.39151 # DEPENDENCYPART_ARC
(10,21),-3.45219 # DEPENDENCYPART_ARC
(10,22),-4.2768 # DEPENDENCYPART_ARC
(10,23),-2.96767 # DEPENDENCYPART_ARC
(10,24),-4.52887 # DEPENDENCYPART_ARC
(10,25),-2.52732 # DEPENDENCYPART_ARC
(10,26),-3.19101 # DEPENDENCYPART_ARC
(10,27),-3.98167 # DEPENDENCYPART_ARC
(10,28),-5.57945 # DEPENDENCYPART_ARC
(10,29),-3.23055 # DEPENDENCYPART_ARC
(10,30),-5.51387 # DEPENDENCYPART_ARC
(10,31),-3.01999 # DEPENDENCYPART_ARC
(10,32),-2.34698 # DEPENDENCYPART_ARC
(10,33),-3.19868 # DEPENDENCYPART_ARC
(10,34),-2.34134 # DEPENDENCYPART_ARC
(11,1),-2.06499 # DEPENDENCYPART_ARC
(11,2),-1.77098 # DEPENDENCYPART_ARC
(11,3),-2.95303 # DEPENDENCYPART_ARC
(11,4),-1.88738 # DEPENDENCYPART_ARC
(11,5),-2.45593 # DEPENDENCYPART_ARC
(11,6),-2.51524 # DEPENDENCYPART_ARC
(11,7),-2.06596 # DEPENDENCYPART_ARC
(11,8),-0.411931 # DEPENDENCYPART_ARC
(11,9),-1.38995 # DEPENDENCYPART_ARC
(11,10),0.13961 # DEPENDENCYPART_ARC
(11,12),1.39444 # DEPENDENCYPART_ARC
(11,13),0.132122 # DEPENDENCYPART_ARC
(11,14),-1.86277 # DEPENDENCYPART_ARC
(11,15),-1.57761 # DEPENDENCYPART_ARC
(11,16),0.0743671 # DEPENDENCYPART_ARC
(11,17),-3.3327 # DEPENDENCYPART_ARC
(11,18),-3.81702 # DEPENDENCYPART_ARC
(11,19),-2.56107 # DEPENDENCYPART_ARC
(11,20),-1.31397 # DEPENDENCYPART_ARC
(11,21),-0.454883 # DEPENDENCYPART_ARC
(11,22),-3.68096 # DEPENDENCYPART_ARC
(11,23),-1.95413 # DEPENDENCYPART_ARC
(11,24),-4.36153 # DEPENDENCYPART_ARC
(11,25),-3.66933 # DEPENDENCYPART_ARC
(11,26),-3.33656 # DEPENDENCYPART_ARC
(11,27),-3.08148 # DEPENDENCYPART_ARC
(11,28),-5.04636 # DEPENDENCYPART_ARC
(11,29),-4.49885 # DEPENDENCYPART_ARC
(11,30),-5.71353 # DEPENDENCYPART_ARC
(11,31),-3.96837 # DEPENDENCYPART_ARC
(11,32),-4.74588 # DEPENDENCYPART_ARC
(11,33),-4.00512 # DEPENDENCYPART_ARC
(11,34),-4.15459 # DEPENDENCYPART_ARC
(12,1),-1.27185 # DEPENDENCYPART_ARC
(12,2),-2.24678 # DEPENDENCYPART_ARC
(12,3),-2.42837 # DEPENDENCYPART_ARC
(12,4),-0.873395 # DEPENDENCYPART_ARC
(12,5),0.455613 # DEPENDENCYPART_ARC
(12,6),-0.539382 # DEPENDENCYPART_ARC
(12,7),0.0678981 # DEPENDENCYPART_ARC
(12,8),0.769861 # DEPENDENCYPART_ARC
(12,9),-0.698827 # DEPENDENCYPART_ARC
(12,10),0.81154 # DEPENDENCYPART_ARC
(12,11),5.20123 # DEPENDENCYPART_ARC
(12,13),2.73333 # DEPENDENCYPART_ARC
(12,14),1.15498 # DEPENDENCYPART_ARC
(12,15),2.17108 # DEPENDENCYPART_ARC
(12,16),-0.918 # DEPENDENCYPART_ARC
(12,17),1.03768 # DEPENDENCYPART_ARC
(12,18),-0.0133702 # DEPENDENCYPART_ARC
(12,19),1.24072 # DEPENDENCYPART_ARC
(12,20),-1.41969 # DEPENDENCYPART_ARC
(12,21),-1.2682 # DEPENDENCYPART_ARC
(12,22),1.518 # DEPENDENCYPART_ARC
(12,23),1.29426 # DEPENDENCYPART_ARC
(12,24),0.381037 # DEPENDENCYPART_ARC
(12,25),0.160644 # DEPENDENCYPART_ARC
(12,26),-0.10095 # DEPENDENCYPART_ARC
(12,27),-2.26493 # DEPENDENCYPART_ARC
(12,28),-0.440573 # DEPENDENCYPART_ARC
(12,29),1.17346 # DEPENDENCYPART_ARC
(12,30),-0.395319 # DEPENDENCYPART_ARC
(12,31),-1.63627 # DEPENDENCYPART_ARC
(12,32),-0.793269 # DEPENDENCYPART_ARC
(12,33),-3.18406 # DEPENDENCYPART_ARC
(12,34),1.81091 # DEPENDENCYPART_ARC
(13,1),-2.87918 # DEPENDENCYPART_ARC
(13,2),-2.22923 # DEPENDENCYPART_ARC
(13,3),-2.57239 # DEPENDENCYPART_ARC
(13,4),-1.90128 # DEPENDENCYPART_ARC
(13,5),-1.51209 # DEPENDENCYPART_ARC
(13,6),-1.12567 # DEPENDENCYPART_ARC
(13,7),-1.09012 # DEPENDENCYPART_ARC
(13,8),-0.847571 # DEPENDENCYPART_ARC
(13,9),-1.50223 # DEPENDENCYPART_ARC
(13,10),-0.896556 # DEPENDENCYPART_ARC
(13,11),0.500184 # DEPENDENCYPART_ARC
(13,12),0.183687 # DEPENDENCYPART_ARC
(13,14),3.51135 # DEPENDENCYPART_ARC
(13,15),0.923617 # DEPENDENCYPART_ARC
(13,16),-1.3357 # DEPENDENCYPART_ARC
(13,17),-0.229046 # DEPENDENCYPART_ARC
(13,18),-1.54416 # DEPENDENCYPART_ARC
(13,19),0.0856972 # DEPENDENCYPART_ARC
(13,20),-2.46841 # DEPENDENCYPART_ARC
(13,21),-2.09995 # DEPENDENCYPART_ARC
(13,22),-3.58553 # DEPENDENCYPART_ARC
(13,23),-1.91641 # DEPENDENCYPART_ARC
(13,24),-4.05555 # DEPENDENCYPART_ARC
(13,25),-2.20199 # DEPENDENCYPART_ARC
(13,26),-1.83987 # DEPENDENCYPART_ARC
(13,27),-2.46128 # DEPENDENCYPART_ARC
(13,28),-7.72372 # DEPENDENCYPART_ARC
(13,29),-2.86444 # DEPENDENCYPART_ARC
(13,30),-7.69987 # DEPENDENCYPART_ARC
(13,31),-3.52258 # DEPENDENCYPART_ARC
(13,32),-1.66014 # DEPENDENCYPART_ARC
(13,33),-3.26861 # DEPENDENCYPART_ARC
(13,34),-0.341403 # DEPENDENCYPART_ARC
(14,1),-1.48285 # DEPENDENCYPART_ARC
(14,2),-3.87951 # DEPENDENCYPART_ARC
(14,3),-2.79793 # DEPENDENCYPART_ARC
(14,4),-2.51679 # DEPENDENCYPART_ARC
(14,5),-0.705178 # DEPENDENCYPART_ARC
(14,6),-1.42434 # DEPENDENCYPART_ARC
(14,7),-0.714447 # DEPENDENCYPART_ARC
(14,8),-0.525154 # DEPENDENCYPART_ARC
(14,9),-1.43887 # DEPENDENCYPART_ARC
(14,10),-0.203388 # DEPENDENCYPART_ARC
(14,11),1.60112 # DEPENDENCYPART_ARC
(14,12),-0.197982 # DEPENDENCYPART_ARC
(14,13),2.13557 # DEPENDENCYPART_ARC
(14,15),2.11898 # DEPENDENCYPART_ARC
(14,16),0.26115 # DEPENDENCYPART_ARC
(14,17),1.51891 # DEPENDENCYPART_ARC
(14,18),2.44278 # DEPENDENCYPART_ARC
(14,19),1.09296 # DEPENDENCYPART_ARC
(14,20),-0.416959 # DEPENDENCYPART_ARC
(14,21),-0.413023 # DEPENDENCYPART_ARC
(14,22),1.19641 # DEPENDENCYPART_ARC
(14,23),0.995872 # DEPENDENCYPART_ARC
(14,24),2.06235 # DEPENDENCYPART_ARC
(14,25),0.781294 # DEPENDENCYPART_ARC
(14,26),-0.379598 # DEPENDENCYPART_ARC
(14,27),-1.62009 # DEPENDENCYPART_ARC
(14,28),-0.109424 # DEPENDENCYPART_ARC
(14,29),-0.106373 # DEPENDENCYPART_ARC
(14,30),0.98293 # DEPENDENCYPART_ARC
(14,31),-0.0525571 # DEPENDENCYPART_ARC
(14,32),0.274188 # DEPENDENCYPART_ARC
(14,33),-1.78765 # DEPENDENCYPART_ARC
(14,34),0.837301 # DEPENDENCYPART_ARC
(15,1),-3.26441 # DEPENDENCYPART_ARC
(15,2),-3.88538 # DEPENDENCYPART_ARC
(15,3),-4.024 # DEPENDENCYPART_ARC
(15,4),-3.39057 # DEPENDENCYPART_ARC
(15,5),-3.26922 # DEPENDENCYPART_ARC
(15,6),-3.63459 # DEPENDENCYPART_ARC
(15,7),-3.34054 # DEPENDENCYPART_ARC
(15,8),-3.21489 # DEPENDENCYPART_ARC
