# _root_ A_partir_de dilluns_,_dia_5 , també es podrà adquirir a les llibreries de la Generalitat a un preu de 2.500 pessetes .
#goldHeads=7,1,1,7,7,7,0,7,10,8,10,13,11,7,16,14,16,19,17,7,
#predictedHeads=7,1,1,7,7,7,0,7,10,8,10,13,11,7,16,14,16,19,17,7,
(16,12),1.71846 # DEPENDENCYPART_ARC
(16,13),-0.784512 # DEPENDENCYPART_ARC
(16,14),0.840748 # DEPENDENCYPART_ARC
(16,15),4.13099 # DEPENDENCYPART_ARC
(16,17),3.23488 # DEPENDENCYPART_ARC
(16,18),0.448065 # DEPENDENCYPART_ARC
(16,19),0.781679 # DEPENDENCYPART_ARC
(16,20),1.25273 # DEPENDENCYPART_ARC
(17,1),-2.54215 # DEPENDENCYPART_ARC
(17,2),-2.2043 # DEPENDENCYPART_ARC
(17,3),-2.28634 # DEPENDENCYPART_ARC
(17,4),-1.48047 # DEPENDENCYPART_ARC
(17,5),-1.91897 # DEPENDENCYPART_ARC
(17,6),-2.2522 # DEPENDENCYPART_ARC
(17,7),-2.25796 # DEPENDENCYPART_ARC
(17,8),-2.00215 # DEPENDENCYPART_ARC
(17,9),-1.41333 # DEPENDENCYPART_ARC
(17,10),-1.67788 # DEPENDENCYPART_ARC
(17,11),-1.41216 # DEPENDENCYPART_ARC
(17,12),-0.750144 # DEPENDENCYPART_ARC
(17,13),-1.47984 # DEPENDENCYPART_ARC
(17,14),-0.53525 # DEPENDENCYPART_ARC
(17,15),0.291723 # DEPENDENCYPART_ARC
(17,16),0.403106 # DEPENDENCYPART_ARC
(17,18),1.48869 # DEPENDENCYPART_ARC
(17,19),2.9194 # DEPENDENCYPART_ARC
(17,20),-0.869866 # DEPENDENCYPART_ARC
(18,1),-1.97069 # DEPENDENCYPART_ARC
(18,2),-2.36534 # DEPENDENCYPART_ARC
(18,3),-3.15028 # DEPENDENCYPART_ARC
(18,4),-2.01093 # DEPENDENCYPART_ARC
(18,6),-2.95184 # DEPENDENCYPART_ARC
(18,7),-2.79691 # DEPENDENCYPART_ARC
(18,8),-1.76143 # DEPENDENCYPART_ARC
(18,9),-1.79765 # DEPENDENCYPART_ARC
(18,10),-2.42162 # DEPENDENCYPART_ARC
(18,11),-1.09056 # DEPENDENCYPART_ARC
(18,12),-1.50945 # DEPENDENCYPART_ARC
(18,13),-2.06342 # DEPENDENCYPART_ARC
(18,14),-0.698196 # DEPENDENCYPART_ARC
(18,16),-0.821011 # DEPENDENCYPART_ARC
(18,17),0.929154 # DEPENDENCYPART_ARC
(18,19),-0.537007 # DEPENDENCYPART_ARC
(18,20),-1.32329 # DEPENDENCYPART_ARC
(19,1),-1.44253 # DEPENDENCYPART_ARC
(19,3),-1.91906 # DEPENDENCYPART_ARC
(19,4),-1.35735 # DEPENDENCYPART_ARC
(19,6),-2.08443 # DEPENDENCYPART_ARC
(19,7),-1.93768 # DEPENDENCYPART_ARC
(19,8),-0.935572 # DEPENDENCYPART_ARC
(19,9),-0.127853 # DEPENDENCYPART_ARC
(19,10),-1.48243 # DEPENDENCYPART_ARC
(19,11),-0.410862 # DEPENDENCYPART_ARC
(19,12),-0.0625247 # DEPENDENCYPART_ARC
(19,14),0.244309 # DEPENDENCYPART_ARC
(19,15),1.64437 # DEPENDENCYPART_ARC
(19,16),-0.353929 # DEPENDENCYPART_ARC
(19,17),0.980459 # DEPENDENCYPART_ARC
(19,18),3.11256 # DEPENDENCYPART_ARC
(19,20),1.15254 # DEPENDENCYPART_ARC
(20,2),-3.20181 # DEPENDENCYPART_ARC
