# _root_ El líder , Eli_Ishai , va assegurar que no ha mantingut cap contacte amb Barak .
#goldHeads=2,7,4,2,4,7,0,11,11,11,7,13,11,11,14,7,
#predictedHeads=2,7,4,2,4,7,0,11,11,11,7,13,11,11,14,7,
(5,3),-0.746638 # DEPENDENCYPART_ARC
(5,13),-2.53847 # DEPENDENCYPART_ARC
(6,1),-2.78117 # DEPENDENCYPART_ARC
(6,2),-0.791747 # DEPENDENCYPART_ARC
(6,3),-1.99325 # DEPENDENCYPART_ARC
(6,4),-1.11334 # DEPENDENCYPART_ARC
(6,5),-1.06718 # DEPENDENCYPART_ARC
(6,7),0.604201 # DEPENDENCYPART_ARC
(6,8),-1.89948 # DEPENDENCYPART_ARC
(6,9),-2.02986 # DEPENDENCYPART_ARC
(6,10),-1.36498 # DEPENDENCYPART_ARC
(6,11),-1.85054 # DEPENDENCYPART_ARC
(6,12),-3.90949 # DEPENDENCYPART_ARC
(6,13),-2.79568 # DEPENDENCYPART_ARC
(6,14),-1.26368 # DEPENDENCYPART_ARC
(6,15),-3.5262 # DEPENDENCYPART_ARC
(6,16),1.62201 # DEPENDENCYPART_ARC
(7,1),-0.428285 # DEPENDENCYPART_ARC
(7,2),1.44813 # DEPENDENCYPART_ARC
(7,3),-0.513996 # DEPENDENCYPART_ARC
(7,4),1.17104 # DEPENDENCYPART_ARC
(7,5),0.0978033 # DEPENDENCYPART_ARC
(7,6),6.06726 # DEPENDENCYPART_ARC
(7,8),1.02119 # DEPENDENCYPART_ARC
(7,9),0.184521 # DEPENDENCYPART_ARC
(7,10),2.58033 # DEPENDENCYPART_ARC
(7,11),2.14335 # DEPENDENCYPART_ARC
(7,13),-0.728597 # DEPENDENCYPART_ARC
(7,14),1.14092 # DEPENDENCYPART_ARC
(7,15),-2.10295 # DEPENDENCYPART_ARC
(7,16),4.97056 # DEPENDENCYPART_ARC
(8,2),-4.04847 # DEPENDENCYPART_ARC
(8,3),-3.18198 # DEPENDENCYPART_ARC
(8,4),-3.6753 # DEPENDENCYPART_ARC
(8,5),-2.67645 # DEPENDENCYPART_ARC
(8,6),-2.75831 # DEPENDENCYPART_ARC
(8,7),-1.89111 # DEPENDENCYPART_ARC
(8,9),-1.03038 # DEPENDENCYPART_ARC
(8,10),-0.0588545 # DEPENDENCYPART_ARC
(8,11),-1.04772 # DEPENDENCYPART_ARC
(8,12),-2.75479 # DEPENDENCYPART_ARC
(8,13),-2.64308 # DEPENDENCYPART_ARC
(8,14),-1.94387 # DEPENDENCYPART_ARC
(8,15),-3.18701 # DEPENDENCYPART_ARC
(8,16),-1.18812 # DEPENDENCYPART_ARC
(9,3),-1.97215 # DEPENDENCYPART_ARC
(9,5),-1.58975 # DEPENDENCYPART_ARC
(9,8),1.10243 # DEPENDENCYPART_ARC
(9,12),-2.08588 # DEPENDENCYPART_ARC
(9,14),-2.39434 # DEPENDENCYPART_ARC
(9,16),-1.6227 # DEPENDENCYPART_ARC
(10,1),-4.5949 # DEPENDENCYPART_ARC
(10,2),-2.64963 # DEPENDENCYPART_ARC
(10,3),-3.85725 # DEPENDENCYPART_ARC
(10,4),-2.75394 # DEPENDENCYPART_ARC
(10,5),-3.64119 # DEPENDENCYPART_ARC
(10,6),0.489343 # DEPENDENCYPART_ARC
(10,7),-2.2031 # DEPENDENCYPART_ARC
(10,8),2.26932 # DEPENDENCYPART_ARC
(10,9),1.69991 # DEPENDENCYPART_ARC
(10,11),0.755513 # DEPENDENCYPART_ARC
(10,12),-1.96985 # DEPENDENCYPART_ARC
(10,13),0.190103 # DEPENDENCYPART_ARC
(10,14),-0.389575 # DEPENDENCYPART_ARC
(10,15),-1.09128 # DEPENDENCYPART_ARC
(10,16),1.34906 # DEPENDENCYPART_ARC
(11,1),-1.70124 # DEPENDENCYPART_ARC
(11,2),0.255084 # DEPENDENCYPART_ARC
(11,3),-1.96005 # DEPENDENCYPART_ARC
(11,4),-0.290579 # DEPENDENCYPART_ARC
(11,5),-1.3712 # DEPENDENCYPART_ARC
(11,6),3.56442 # DEPENDENCYPART_ARC
(11,7),0.547355 # DEPENDENCYPART_ARC
(11,8),4.47645 # DEPENDENCYPART_ARC
(11,9),3.93273 # DEPENDENCYPART_ARC
(11,10),6.28719 # DEPENDENCYPART_ARC
(11,13),3.51311 # DEPENDENCYPART_ARC
(11,14),2.73458 # DEPENDENCYPART_ARC
(11,15),1.49938 # DEPENDENCYPART_ARC
(11,16),3.27855 # DEPENDENCYPART_ARC
(12,2),-3.88841 # DEPENDENCYPART_ARC
(12,13),2.71703 # DEPENDENCYPART_ARC
(12,14),0.614925 # DEPENDENCYPART_ARC
(13,1),-4.14233 # DEPENDENCYPART_ARC
(13,2),-2.93956 # DEPENDENCYPART_ARC
(13,3),-0.692713 # DEPENDENCYPART_ARC
(13,4),-2.31927 # DEPENDENCYPART_ARC
(13,5),-0.440547 # DEPENDENCYPART_ARC
(13,6),-1.36436 # DEPENDENCYPART_ARC
(13,7),-1.81741 # DEPENDENCYPART_ARC
(13,8),0.75657 # DEPENDENCYPART_ARC
(13,9),0.700648 # DEPENDENCYPART_ARC
(13,10),-0.864614 # DEPENDENCYPART_ARC
(13,11),-0.640023 # DEPENDENCYPART_ARC
(13,12),3.86999 # DEPENDENCYPART_ARC
(13,14),2.56651 # DEPENDENCYPART_ARC
(13,15),0.818647 # DEPENDENCYPART_ARC
(13,16),0.748899 # DEPENDENCYPART_ARC
(14,1),-2.45027 # DEPENDENCYPART_ARC
(14,2),-2.7868 # DEPENDENCYPART_ARC
(14,3),-2.16941 # DEPENDENCYPART_ARC
(14,4),-2.5854 # DEPENDENCYPART_ARC
(14,5),-1.9844 # DEPENDENCYPART_ARC
(14,6),-1.32557 # DEPENDENCYPART_ARC
(14,7),-1.6107 # DEPENDENCYPART_ARC
(14,8),0.230565 # DEPENDENCYPART_ARC
(14,9),-0.776805 # DEPENDENCYPART_ARC
(14,10),-0.496881 # DEPENDENCYPART_ARC
(14,11),-1.01057 # DEPENDENCYPART_ARC
(14,12),0.212251 # DEPENDENCYPART_ARC
(14,13),0.552487 # DEPENDENCYPART_ARC
(14,15),4.1593 # DEPENDENCYPART_ARC
(14,16),-0.519372 # DEPENDENCYPART_ARC
(15,1),-6.35182 # DEPENDENCYPART_ARC
(15,2),-3.81987 # DEPENDENCYPART_ARC
(15,3),-2.35509 # DEPENDENCYPART_ARC
(15,4),-3.30672 # DEPENDENCYPART_ARC
(15,5),-2.07604 # DEPENDENCYPART_ARC
(15,6),-3.3096 # DEPENDENCYPART_ARC
(15,7),-3.17212 # DEPENDENCYPART_ARC
(15,8),-0.960795 # DEPENDENCYPART_ARC
(15,9),-1.49655 # DEPENDENCYPART_ARC
(15,10),-3.03005 # DEPENDENCYPART_ARC
(15,11),-1.9593 # DEPENDENCYPART_ARC
(15,12),0.42173 # DEPENDENCYPART_ARC
(15,13),-1.07004 # DEPENDENCYPART_ARC
(15,14),0.479351 # DEPENDENCYPART_ARC
(15,16),-0.419218 # DEPENDENCYPART_ARC
