# _root_ Mentre viu a sota de les branques o de les pedres dels jardins públics , com passa al Palau_de_Pedralbes de Barcelona , no hi ha tantes queixes : " Els problemes comencen a aparèixer quan s' acosten a les cases " .
#goldHeads=2,25,2,3,4,7,5,5,5,11,9,5,12,13,17,17,2,17,18,19,20,2,25,25,0,27,25,34,34,31,34,34,34,25,37,37,34,37,40,38,34,25,
#predictedHeads=2,0,2,3,4,7,5,5,5,11,9,11,12,13,17,17,2,17,18,19,20,17,25,25,17,27,25,34,34,31,34,34,34,17,37,37,34,37,40,38,37,34,
(0,40),-7.58071 # DEPENDENCYPART_ARC
(0,41),-10.014 # DEPENDENCYPART_ARC
(0,42),-10.6316 # DEPENDENCYPART_ARC
(1,2),1.23697 # DEPENDENCYPART_ARC
(1,3),-0.324524 # DEPENDENCYPART_ARC
(1,4),-1.43427 # DEPENDENCYPART_ARC
(1,5),-1.24251 # DEPENDENCYPART_ARC
(1,6),-2.22376 # DEPENDENCYPART_ARC
(1,7),-1.87478 # DEPENDENCYPART_ARC
(1,8),-0.57254 # DEPENDENCYPART_ARC
(1,9),-1.75434 # DEPENDENCYPART_ARC
(1,10),-2.43348 # DEPENDENCYPART_ARC
(1,11),-2.59607 # DEPENDENCYPART_ARC
(1,12),-1.50426 # DEPENDENCYPART_ARC
(1,13),-2.686 # DEPENDENCYPART_ARC
(1,14),-1.79773 # DEPENDENCYPART_ARC
(1,15),-0.314256 # DEPENDENCYPART_ARC
(1,16),-1.00892 # DEPENDENCYPART_ARC
(1,17),-1.86639 # DEPENDENCYPART_ARC
(1,18),-1.74324 # DEPENDENCYPART_ARC
(1,19),-3.42598 # DEPENDENCYPART_ARC
(1,20),-2.61723 # DEPENDENCYPART_ARC
(1,21),-3.58987 # DEPENDENCYPART_ARC
(1,22),-0.899462 # DEPENDENCYPART_ARC
(1,23),-2.65082 # DEPENDENCYPART_ARC
(1,24),-2.31157 # DEPENDENCYPART_ARC
(1,25),-2.92467 # DEPENDENCYPART_ARC
(1,26),-3.08047 # DEPENDENCYPART_ARC
(1,27),-4.52162 # DEPENDENCYPART_ARC
(1,28),-1.29847 # DEPENDENCYPART_ARC
(1,29),-2.1812 # DEPENDENCYPART_ARC
(1,30),-3.31254 # DEPENDENCYPART_ARC
(1,31),-5.51297 # DEPENDENCYPART_ARC
(1,32),-3.50674 # DEPENDENCYPART_ARC
(1,33),-2.73376 # DEPENDENCYPART_ARC
(1,34),-3.8032 # DEPENDENCYPART_ARC
(1,35),-2.12926 # DEPENDENCYPART_ARC
(1,36),-2.87138 # DEPENDENCYPART_ARC
(1,37),-3.78465 # DEPENDENCYPART_ARC
(1,38),-3.00042 # DEPENDENCYPART_ARC
(1,39),-3.46531 # DEPENDENCYPART_ARC
(1,40),-6.14267 # DEPENDENCYPART_ARC
(1,41),-2.78393 # DEPENDENCYPART_ARC
(1,42),-1.37558 # DEPENDENCYPART_ARC
(2,1),4.66588 # DEPENDENCYPART_ARC
(2,3),4.0159 # DEPENDENCYPART_ARC
(2,4),1.75064 # DEPENDENCYPART_ARC
(2,5),0.642185 # DEPENDENCYPART_ARC
(2,6),-1.89006 # DEPENDENCYPART_ARC
(2,7),2.39521 # DEPENDENCYPART_ARC
(2,8),1.17682 # DEPENDENCYPART_ARC
(2,9),-0.302617 # DEPENDENCYPART_ARC
(2,10),-2.11273 # DEPENDENCYPART_ARC
(2,11),1.39233 # DEPENDENCYPART_ARC
(2,12),-0.725839 # DEPENDENCYPART_ARC
(2,13),0.382294 # DEPENDENCYPART_ARC
(2,14),0.108086 # DEPENDENCYPART_ARC
(2,15),1.63137 # DEPENDENCYPART_ARC
(2,16),0.989787 # DEPENDENCYPART_ARC
(2,17),2.52366 # DEPENDENCYPART_ARC
(2,18),-0.767296 # DEPENDENCYPART_ARC
(2,19),-2.10764 # DEPENDENCYPART_ARC
(2,20),-1.54858 # DEPENDENCYPART_ARC
(2,21),-2.7694 # DEPENDENCYPART_ARC
(2,22),0.457782 # DEPENDENCYPART_ARC
(2,23),-1.74562 # DEPENDENCYPART_ARC
(2,24),-1.54265 # DEPENDENCYPART_ARC
(2,25),1.25767 # DEPENDENCYPART_ARC
(2,26),-3.00921 # DEPENDENCYPART_ARC
(2,27),-1.42113 # DEPENDENCYPART_ARC
(2,28),-1.71934 # DEPENDENCYPART_ARC
(2,29),-0.282256 # DEPENDENCYPART_ARC
(2,30),-3.69562 # DEPENDENCYPART_ARC
(2,31),-2.6507 # DEPENDENCYPART_ARC
(2,32),0.320177 # DEPENDENCYPART_ARC
(2,33),-3.57161 # DEPENDENCYPART_ARC
(2,34),-0.708973 # DEPENDENCYPART_ARC
(2,35),-5.65744 # DEPENDENCYPART_ARC
(2,36),-1.41422 # DEPENDENCYPART_ARC
(2,37),-0.277699 # DEPENDENCYPART_ARC
(2,38),-5.87582 # DEPENDENCYPART_ARC
(2,39),-3.4746 # DEPENDENCYPART_ARC
(2,40),-4.14353 # DEPENDENCYPART_ARC
(2,41),-1.38055 # DEPENDENCYPART_ARC
(2,42),3.46146 # DEPENDENCYPART_ARC
(3,1),-0.0730124 # DEPENDENCYPART_ARC
(3,2),0.808957 # DEPENDENCYPART_ARC
(3,4),3.07472 # DEPENDENCYPART_ARC
(3,5),1.24431 # DEPENDENCYPART_ARC
(3,6),-0.909584 # DEPENDENCYPART_ARC
(3,7),3.78498 # DEPENDENCYPART_ARC
(3,8),2.01236 # DEPENDENCYPART_ARC
(3,9),0.870835 # DEPENDENCYPART_ARC
(3,10),-1.29138 # DEPENDENCYPART_ARC
(3,11),1.17785 # DEPENDENCYPART_ARC
(3,12),0.770024 # DEPENDENCYPART_ARC
(3,13),0.358705 # DEPENDENCYPART_ARC
(3,14),-0.943271 # DEPENDENCYPART_ARC
(3,15),0.316252 # DEPENDENCYPART_ARC
(3,16),-0.261305 # DEPENDENCYPART_ARC
(3,17),-0.437335 # DEPENDENCYPART_ARC
(3,18),-0.647028 # DEPENDENCYPART_ARC
(3,19),-4.03996 # DEPENDENCYPART_ARC
(3,20),-2.81497 # DEPENDENCYPART_ARC
(3,21),-4.87823 # DEPENDENCYPART_ARC
(3,22),-1.26972 # DEPENDENCYPART_ARC
(3,23),-1.04445 # DEPENDENCYPART_ARC
(3,24),-4.92648 # DEPENDENCYPART_ARC
(3,25),-1.46849 # DEPENDENCYPART_ARC
(3,26),-1.77567 # DEPENDENCYPART_ARC
(3,27),-8.57369 # DEPENDENCYPART_ARC
(3,28),-2.33373 # DEPENDENCYPART_ARC
(3,29),-1.13092 # DEPENDENCYPART_ARC
(3,30),-2.41003 # DEPENDENCYPART_ARC
(3,31),-12.3654 # DEPENDENCYPART_ARC
(3,32),-4.13225 # DEPENDENCYPART_ARC
(3,33),-1.09078 # DEPENDENCYPART_ARC
(3,34),-4.03955 # DEPENDENCYPART_ARC
(3,35),-3.32382 # DEPENDENCYPART_ARC
(3,36),-8.14599 # DEPENDENCYPART_ARC
(3,37),-4.38338 # DEPENDENCYPART_ARC
(3,38),-1.8179 # DEPENDENCYPART_ARC
(3,39),-2.62631 # DEPENDENCYPART_ARC
(3,40),-15.5938 # DEPENDENCYPART_ARC
(3,41),-2.4367 # DEPENDENCYPART_ARC
(3,42),-0.820987 # DEPENDENCYPART_ARC
(4,1),-0.619918 # DEPENDENCYPART_ARC
(4,2),-0.251545 # DEPENDENCYPART_ARC
(4,3),0.981505 # DEPENDENCYPART_ARC
(4,5),2.76112 # DEPENDENCYPART_ARC
(4,6),0.46059 # DEPENDENCYPART_ARC
(4,7),0.163568 # DEPENDENCYPART_ARC
(4,8),1.12792 # DEPENDENCYPART_ARC
(4,9),1.21642 # DEPENDENCYPART_ARC
(4,10),-0.62044 # DEPENDENCYPART_ARC
(4,11),-0.502748 # DEPENDENCYPART_ARC
(4,12),0.379899 # DEPENDENCYPART_ARC
(4,13),-0.428415 # DEPENDENCYPART_ARC
(4,14),-0.292339 # DEPENDENCYPART_ARC
(4,15),0.209825 # DEPENDENCYPART_ARC
(4,16),0.113518 # DEPENDENCYPART_ARC
(4,17),-0.429494 # DEPENDENCYPART_ARC
(4,18),-0.426971 # DEPENDENCYPART_ARC
(4,19),-1.22652 # DEPENDENCYPART_ARC
(4,20),-0.903139 # DEPENDENCYPART_ARC
(4,21),-0.995606 # DEPENDENCYPART_ARC
(4,22),-0.96813 # DEPENDENCYPART_ARC
(4,23),-1.57649 # DEPENDENCYPART_ARC
(4,24),-0.924985 # DEPENDENCYPART_ARC
(4,25),-2.05444 # DEPENDENCYPART_ARC
(4,26),-1.57013 # DEPENDENCYPART_ARC
(4,27),-1.56776 # DEPENDENCYPART_ARC
(4,28),-1.5652 # DEPENDENCYPART_ARC
(4,29),-0.951308 # DEPENDENCYPART_ARC
(4,30),-1.93754 # DEPENDENCYPART_ARC
(4,31),-2.16279 # DEPENDENCYPART_ARC
(4,32),-2.78808 # DEPENDENCYPART_ARC
(4,33),-0.494999 # DEPENDENCYPART_ARC
(4,34),-3.20812 # DEPENDENCYPART_ARC
(4,35),-1.7842 # DEPENDENCYPART_ARC
(4,36),-1.2788 # DEPENDENCYPART_ARC
(4,37),-3.58099 # DEPENDENCYPART_ARC
(4,38),-0.220435 # DEPENDENCYPART_ARC
(4,39),-2.20235 # DEPENDENCYPART_ARC
(4,40),-2.4425 # DEPENDENCYPART_ARC
(4,41),-1.90443 # DEPENDENCYPART_ARC
(4,42),0.340657 # DEPENDENCYPART_ARC
(5,1),0.0811629 # DEPENDENCYPART_ARC
(5,2),0.509981 # DEPENDENCYPART_ARC
(5,3),0.249346 # DEPENDENCYPART_ARC
(5,4),1.19695 # DEPENDENCYPART_ARC
(5,6),1.19254 # DEPENDENCYPART_ARC
(5,7),4.64097 # DEPENDENCYPART_ARC
(5,8),2.31105 # DEPENDENCYPART_ARC
(5,9),2.6139 # DEPENDENCYPART_ARC
(5,10),-0.838545 # DEPENDENCYPART_ARC
(5,11),0.545107 # DEPENDENCYPART_ARC
(5,12),0.531785 # DEPENDENCYPART_ARC
(5,13),-1.06323 # DEPENDENCYPART_ARC
(5,14),-1.01017 # DEPENDENCYPART_ARC
(5,15),0.622494 # DEPENDENCYPART_ARC
(5,16),-0.709548 # DEPENDENCYPART_ARC
(5,17),-0.934188 # DEPENDENCYPART_ARC
(5,18),-2.81807 # DEPENDENCYPART_ARC
(5,19),-5.04446 # DEPENDENCYPART_ARC
(5,20),-0.78624 # DEPENDENCYPART_ARC
(5,21),-5.91114 # DEPENDENCYPART_ARC
(5,22),-0.744832 # DEPENDENCYPART_ARC
(5,23),-1.97485 # DEPENDENCYPART_ARC
(5,24),-4.89144 # DEPENDENCYPART_ARC
(5,25),-1.3739 # DEPENDENCYPART_ARC
(5,26),-1.67304 # DEPENDENCYPART_ARC
(5,27),-8.44516 # DEPENDENCYPART_ARC
(5,28),-2.03732 # DEPENDENCYPART_ARC
(5,29),-1.86038 # DEPENDENCYPART_ARC
(5,30),-2.14574 # DEPENDENCYPART_ARC
(5,31),-11.3651 # DEPENDENCYPART_ARC
(5,32),-3.46097 # DEPENDENCYPART_ARC
(5,33),-4.96058 # DEPENDENCYPART_ARC
(5,34),-3.5386 # DEPENDENCYPART_ARC
(5,35),-3.03089 # DEPENDENCYPART_ARC
(5,36),-8.15014 # DEPENDENCYPART_ARC
(5,37),-3.4841 # DEPENDENCYPART_ARC
(5,38),-5.97038 # DEPENDENCYPART_ARC
(5,39),-2.38936 # DEPENDENCYPART_ARC
(5,40),-15.1197 # DEPENDENCYPART_ARC
(5,41),-3.57465 # DEPENDENCYPART_ARC
(5,42),0.293028 # DEPENDENCYPART_ARC
(6,1),-1.26995 # DEPENDENCYPART_ARC
(6,2),-0.223968 # DEPENDENCYPART_ARC
(6,3),-0.727821 # DEPENDENCYPART_ARC
(6,4),1.20965 # DEPENDENCYPART_ARC
(6,5),1.47826 # DEPENDENCYPART_ARC
(6,7),1.51374 # DEPENDENCYPART_ARC
(6,8),0.196237 # DEPENDENCYPART_ARC
(6,9),-0.788599 # DEPENDENCYPART_ARC
(6,10),1.59463 # DEPENDENCYPART_ARC
(6,11),-0.25562 # DEPENDENCYPART_ARC
(6,12),-1.61741 # DEPENDENCYPART_ARC
(6,13),-2.71051 # DEPENDENCYPART_ARC
(6,14),-2.22426 # DEPENDENCYPART_ARC
(6,15),-1.85154 # DEPENDENCYPART_ARC
(6,16),-1.52895 # DEPENDENCYPART_ARC
(6,17),-2.49678 # DEPENDENCYPART_ARC
(6,18),-4.16823 # DEPENDENCYPART_ARC
(6,19),-2.54748 # DEPENDENCYPART_ARC
(6,20),-3.46694 # DEPENDENCYPART_ARC
(6,21),-3.57605 # DEPENDENCYPART_ARC
(6,22),-3.09361 # DEPENDENCYPART_ARC
(6,23),-2.48364 # DEPENDENCYPART_ARC
(6,24),-3.83875 # DEPENDENCYPART_ARC
(6,25),-3.52118 # DEPENDENCYPART_ARC
(6,26),-3.89584 # DEPENDENCYPART_ARC
(6,27),-3.82331 # DEPENDENCYPART_ARC
(6,28),-2.96365 # DEPENDENCYPART_ARC
(6,29),-2.75402 # DEPENDENCYPART_ARC
(6,30),-6.81373 # DEPENDENCYPART_ARC
(6,31),-4.42206 # DEPENDENCYPART_ARC
(6,32),-3.21435 # DEPENDENCYPART_ARC
(6,33),-6.92547 # DEPENDENCYPART_ARC
(6,34),-3.32541 # DEPENDENCYPART_ARC
(6,35),-3.40973 # DEPENDENCYPART_ARC
(6,36),-3.45053 # DEPENDENCYPART_ARC
(6,37),-3.67042 # DEPENDENCYPART_ARC
(6,38),-7.51952 # DEPENDENCYPART_ARC
(6,39),-6.69734 # DEPENDENCYPART_ARC
(6,40),-5.1547 # DEPENDENCYPART_ARC
(6,41),-3.87118 # DEPENDENCYPART_ARC
(6,42),-4.07834 # DEPENDENCYPART_ARC
(7,1),-1.07995 # DEPENDENCYPART_ARC
(7,2),-0.299511 # DEPENDENCYPART_ARC
(7,3),-0.901159 # DEPENDENCYPART_ARC
(7,4),-0.182297 # DEPENDENCYPART_ARC
(7,5),0.237097 # DEPENDENCYPART_ARC
(7,6),4.66381 # DEPENDENCYPART_ARC
(7,8),0.558037 # DEPENDENCYPART_ARC
(7,9),0.649572 # DEPENDENCYPART_ARC
(7,10),-0.74383 # DEPENDENCYPART_ARC
(7,11),1.76757 # DEPENDENCYPART_ARC
(7,12),1.95888 # DEPENDENCYPART_ARC
(7,13),0.688888 # DEPENDENCYPART_ARC
(7,14),0.124254 # DEPENDENCYPART_ARC
(7,15),-0.120074 # DEPENDENCYPART_ARC
(7,16),-0.743472 # DEPENDENCYPART_ARC
(7,17),-0.482803 # DEPENDENCYPART_ARC
(7,18),-2.01505 # DEPENDENCYPART_ARC
(7,19),-2.24814 # DEPENDENCYPART_ARC
(7,20),-1.63207 # DEPENDENCYPART_ARC
(7,21),-2.96725 # DEPENDENCYPART_ARC
(7,22),-2.07203 # DEPENDENCYPART_ARC
(7,23),-1.59011 # DEPENDENCYPART_ARC
(7,24),-2.42997 # DEPENDENCYPART_ARC
(7,25),-2.5061 # DEPENDENCYPART_ARC
(7,26),-2.63476 # DEPENDENCYPART_ARC
(7,27),-0.850458 # DEPENDENCYPART_ARC
(7,28),-2.68146 # DEPENDENCYPART_ARC
(7,29),-1.35236 # DEPENDENCYPART_ARC
(7,30),-3.51417 # DEPENDENCYPART_ARC
(7,31),-0.846947 # DEPENDENCYPART_ARC
(7,32),-1.8089 # DEPENDENCYPART_ARC
(7,33),-3.64335 # DEPENDENCYPART_ARC
(7,34),-3.10419 # DEPENDENCYPART_ARC
(7,35),-4.24578 # DEPENDENCYPART_ARC
(7,36),-2.85284 # DEPENDENCYPART_ARC
(7,37),-3.94663 # DEPENDENCYPART_ARC
(7,38),-4.79573 # DEPENDENCYPART_ARC
(7,39),-4.2731 # DEPENDENCYPART_ARC
(7,40),-3.24218 # DEPENDENCYPART_ARC
(7,41),-3.50755 # DEPENDENCYPART_ARC
(7,42),0.825402 # DEPENDENCYPART_ARC
(8,1),-2.59282 # DEPENDENCYPART_ARC
(8,2),-3.07904 # DEPENDENCYPART_ARC
(8,3),-2.00664 # DEPENDENCYPART_ARC
(8,4),-2.23409 # DEPENDENCYPART_ARC
(8,5),-1.50322 # DEPENDENCYPART_ARC
(8,6),-1.212 # DEPENDENCYPART_ARC
(8,7),-1.27564 # DEPENDENCYPART_ARC
(8,9),-1.17873 # DEPENDENCYPART_ARC
(8,10),-1.64163 # DEPENDENCYPART_ARC
(8,11),-1.16981 # DEPENDENCYPART_ARC
(8,12),-1.51977 # DEPENDENCYPART_ARC
(8,13),-1.5451 # DEPENDENCYPART_ARC
(8,14),-1.82868 # DEPENDENCYPART_ARC
(8,15),-0.939577 # DEPENDENCYPART_ARC
(8,16),-1.05803 # DEPENDENCYPART_ARC
(8,17),-1.16325 # DEPENDENCYPART_ARC
(8,18),-2.49916 # DEPENDENCYPART_ARC
(8,19),-3.1139 # DEPENDENCYPART_ARC
(8,20),-3.22609 # DEPENDENCYPART_ARC
(8,21),-3.30135 # DEPENDENCYPART_ARC
(8,22),-1.74488 # DEPENDENCYPART_ARC
(8,23),-3.07247 # DEPENDENCYPART_ARC
(8,24),-2.47725 # DEPENDENCYPART_ARC
(8,25),-2.63084 # DEPENDENCYPART_ARC
(8,26),-3.54011 # DEPENDENCYPART_ARC
(8,27),-4.16823 # DEPENDENCYPART_ARC
(8,28),-2.09774 # DEPENDENCYPART_ARC
(8,29),-2.96989 # DEPENDENCYPART_ARC
(8,30),-3.69656 # DEPENDENCYPART_ARC
(8,31),-5.21721 # DEPENDENCYPART_ARC
(8,32),-3.22527 # DEPENDENCYPART_ARC
(8,33),-3.43808 # DEPENDENCYPART_ARC
(8,34),-3.5124 # DEPENDENCYPART_ARC
(8,35),-2.24357 # DEPENDENCYPART_ARC
(8,36),-2.95412 # DEPENDENCYPART_ARC
(8,37),-3.46871 # DEPENDENCYPART_ARC
(8,38),-3.79357 # DEPENDENCYPART_ARC
(8,39),-4.10489 # DEPENDENCYPART_ARC
(8,40),-5.9002 # DEPENDENCYPART_ARC
(8,41),-3.64816 # DEPENDENCYPART_ARC
(8,42),-2.28198 # DEPENDENCYPART_ARC
(9,1),-0.560718 # DEPENDENCYPART_ARC
(9,2),-0.20673 # DEPENDENCYPART_ARC
(9,3),-1.0656 # DEPENDENCYPART_ARC
(9,4),-0.835269 # DEPENDENCYPART_ARC
(9,5),-0.333383 # DEPENDENCYPART_ARC
(9,6),0.692293 # DEPENDENCYPART_ARC
(9,7),-0.14418 # DEPENDENCYPART_ARC
(9,8),0.895439 # DEPENDENCYPART_ARC
(9,10),0.295677 # DEPENDENCYPART_ARC
(9,11),4.39356 # DEPENDENCYPART_ARC
(9,12),0.442934 # DEPENDENCYPART_ARC
(9,13),1.72369 # DEPENDENCYPART_ARC
(9,14),-0.390484 # DEPENDENCYPART_ARC
(9,15),0.549499 # DEPENDENCYPART_ARC
(9,16),-0.696959 # DEPENDENCYPART_ARC
(9,17),-0.936704 # DEPENDENCYPART_ARC
(9,18),-2.71474 # DEPENDENCYPART_ARC
(9,19),-3.25363 # DEPENDENCYPART_ARC
(9,20),-1.14314 # DEPENDENCYPART_ARC
(9,21),-3.79952 # DEPENDENCYPART_ARC
(9,22),-0.685357 # DEPENDENCYPART_ARC
(9,23),-2.09429 # DEPENDENCYPART_ARC
(9,24),-4.09288 # DEPENDENCYPART_ARC
(9,25),-1.26161 # DEPENDENCYPART_ARC
(9,26),-2.34199 # DEPENDENCYPART_ARC
(9,27),-6.56659 # DEPENDENCYPART_ARC
(9,28),-1.93575 # DEPENDENCYPART_ARC
(9,29),-1.55799 # DEPENDENCYPART_ARC
(9,30),-2.74673 # DEPENDENCYPART_ARC
(9,31),-9.29111 # DEPENDENCYPART_ARC
(9,32),-3.36036 # DEPENDENCYPART_ARC
(9,33),-4.71274 # DEPENDENCYPART_ARC
(9,34),-3.30712 # DEPENDENCYPART_ARC
(9,35),-2.89613 # DEPENDENCYPART_ARC
(9,36),-7.22565 # DEPENDENCYPART_ARC
(9,37),-3.29267 # DEPENDENCYPART_ARC
(9,38),-5.48236 # DEPENDENCYPART_ARC
(9,39),-3.05125 # DEPENDENCYPART_ARC
(9,40),-13.0963 # DEPENDENCYPART_ARC
(9,41),-3.40481 # DEPENDENCYPART_ARC
(9,42),-0.224068 # DEPENDENCYPART_ARC
(10,1),-1.58811 # DEPENDENCYPART_ARC
(10,2),-0.876412 # DEPENDENCYPART_ARC
(10,3),-1.49857 # DEPENDENCYPART_ARC
(10,4),-0.220642 # DEPENDENCYPART_ARC
(10,5),-0.397047 # DEPENDENCYPART_ARC
(10,6),0.751072 # DEPENDENCYPART_ARC
(10,7),-0.481227 # DEPENDENCYPART_ARC
(10,8),-0.0598743 # DEPENDENCYPART_ARC
(10,9),0.49422 # DEPENDENCYPART_ARC
(10,11),3.34459 # DEPENDENCYPART_ARC
(10,12),0.811225 # DEPENDENCYPART_ARC
(10,13),-1.09998 # DEPENDENCYPART_ARC
(10,14),-1.12747 # DEPENDENCYPART_ARC
(10,15),-0.965564 # DEPENDENCYPART_ARC
(10,16),-0.82183 # DEPENDENCYPART_ARC
(10,17),-1.88939 # DEPENDENCYPART_ARC
(10,18),-3.12317 # DEPENDENCYPART_ARC
(10,19),-1.73364 # DEPENDENCYPART_ARC
(10,20),-2.41775 # DEPENDENCYPART_ARC
(10,21),-2.8186 # DEPENDENCYPART_ARC
(10,22),-2.51401 # DEPENDENCYPART_ARC
(10,23),-2.04999 # DEPENDENCYPART_ARC
(10,24),-3.32863 # DEPENDENCYPART_ARC
(10,25),-2.96709 # DEPENDENCYPART_ARC
(10,26),-2.69238 # DEPENDENCYPART_ARC
(10,27),-3.0662 # DEPENDENCYPART_ARC
(10,28),-2.35934 # DEPENDENCYPART_ARC
(10,29),-2.12083 # DEPENDENCYPART_ARC
(10,30),-5.40116 # DEPENDENCYPART_ARC
(10,31),-3.65125 # DEPENDENCYPART_ARC
(10,32),-2.62307 # DEPENDENCYPART_ARC
(10,33),-5.91124 # DEPENDENCYPART_ARC
(10,34),-2.79592 # DEPENDENCYPART_ARC
(10,35),-2.70816 # DEPENDENCYPART_ARC
(10,36),-2.9217 # DEPENDENCYPART_ARC
(10,37),-2.9831 # DEPENDENCYPART_ARC
(10,38),-6.36442 # DEPENDENCYPART_ARC
(10,39),-5.56857 # DEPENDENCYPART_ARC
(10,40),-4.31046 # DEPENDENCYPART_ARC
(10,41),-3.34937 # DEPENDENCYPART_ARC
(10,42),-3.47208 # DEPENDENCYPART_ARC
(11,1),-1.1746 # DEPENDENCYPART_ARC
(11,2),0.108605 # DEPENDENCYPART_ARC
(11,3),-1.5431 # DEPENDENCYPART_ARC
(11,4),-1.12233 # DEPENDENCYPART_ARC
(11,5),-0.846959 # DEPENDENCYPART_ARC
(11,6),1.77802 # DEPENDENCYPART_ARC
(11,7),-0.642998 # DEPENDENCYPART_ARC
(11,8),-0.590718 # DEPENDENCYPART_ARC
(11,9),0.69358 # DEPENDENCYPART_ARC
(11,10),4.90408 # DEPENDENCYPART_ARC
(11,12),3.35826 # DEPENDENCYPART_ARC
(11,13),1.37039 # DEPENDENCYPART_ARC
(11,14),0.865836 # DEPENDENCYPART_ARC
(11,15),0.485966 # DEPENDENCYPART_ARC
(11,16),-0.00872961 # DEPENDENCYPART_ARC
(11,17),0.148738 # DEPENDENCYPART_ARC
(11,18),-1.36233 # DEPENDENCYPART_ARC
(11,19),-2.09643 # DEPENDENCYPART_ARC
(11,20),-0.648015 # DEPENDENCYPART_ARC
(11,21),-2.68164 # DEPENDENCYPART_ARC
(11,22),-1.40849 # DEPENDENCYPART_ARC
(11,23),-1.36592 # DEPENDENCYPART_ARC
(11,24),-2.59414 # DEPENDENCYPART_ARC
(11,25),-1.22927 # DEPENDENCYPART_ARC
(11,26),-2.29692 # DEPENDENCYPART_ARC
(11,27),-0.981234 # DEPENDENCYPART_ARC
(11,28),-1.70073 # DEPENDENCYPART_ARC
(11,29),-0.778385 # DEPENDENCYPART_ARC
(11,30),-3.01768 # DEPENDENCYPART_ARC
(11,31),-1.33893 # DEPENDENCYPART_ARC
(11,32),-1.68718 # DEPENDENCYPART_ARC
(11,33),-2.83732 # DEPENDENCYPART_ARC
(11,34),-2.49211 # DEPENDENCYPART_ARC
(11,35),-3.54505 # DEPENDENCYPART_ARC
(11,36),-2.91354 # DEPENDENCYPART_ARC
(11,37),-2.97887 # DEPENDENCYPART_ARC
(11,38),-3.89767 # DEPENDENCYPART_ARC
(11,39),-3.77226 # DEPENDENCYPART_ARC
(11,40),-3.32401 # DEPENDENCYPART_ARC
(11,41),-2.4562 # DEPENDENCYPART_ARC
(11,42),0.541634 # DEPENDENCYPART_ARC
(12,1),-1.11307 # DEPENDENCYPART_ARC
(12,2),-1.57437 # DEPENDENCYPART_ARC
(12,3),-2.07926 # DEPENDENCYPART_ARC
(12,4),-1.48926 # DEPENDENCYPART_ARC
(12,5),-1.48059 # DEPENDENCYPART_ARC
(12,6),-0.375636 # DEPENDENCYPART_ARC
(12,7),-1.54588 # DEPENDENCYPART_ARC
