# _root_ I ahir , per no deixar en evidència el_seu amic , Zenden també va fallar un altre penal .
#goldHeads=15,15,2,15,6,4,6,7,10,6,4,15,15,15,0,18,16,15,15,
#predictedHeads=2,15,4,15,6,4,6,7,10,6,12,15,15,15,0,18,16,15,15,
(1,18),-4.71597 # DEPENDENCYPART_ARC
(1,19),-1.05612 # DEPENDENCYPART_ARC
(2,1),0.560983 # DEPENDENCYPART_ARC
(2,3),1.92337 # DEPENDENCYPART_ARC
(2,4),-0.908519 # DEPENDENCYPART_ARC
(2,5),-0.515732 # DEPENDENCYPART_ARC
(2,6),-0.0312873 # DEPENDENCYPART_ARC
(2,7),-2.20123 # DEPENDENCYPART_ARC
(2,8),-1.58006 # DEPENDENCYPART_ARC
(2,9),-1.59624 # DEPENDENCYPART_ARC
(2,10),-1.49406 # DEPENDENCYPART_ARC
(2,11),-0.300512 # DEPENDENCYPART_ARC
(2,12),-1.74989 # DEPENDENCYPART_ARC
(2,13),-1.88415 # DEPENDENCYPART_ARC
(2,14),-1.49707 # DEPENDENCYPART_ARC
(2,15),-2.00863 # DEPENDENCYPART_ARC
(2,16),-1.97011 # DEPENDENCYPART_ARC
(2,17),-1.91992 # DEPENDENCYPART_ARC
(2,18),-1.86871 # DEPENDENCYPART_ARC
(2,19),0.0903399 # DEPENDENCYPART_ARC
(3,1),-1.60339 # DEPENDENCYPART_ARC
(3,2),-1.37518 # DEPENDENCYPART_ARC
(3,4),-0.899491 # DEPENDENCYPART_ARC
(3,5),-1.41924 # DEPENDENCYPART_ARC
(3,6),-1.04753 # DEPENDENCYPART_ARC
(3,7),-1.90233 # DEPENDENCYPART_ARC
(3,8),-2.08077 # DEPENDENCYPART_ARC
(3,9),-2.55146 # DEPENDENCYPART_ARC
(3,10),-2.18032 # DEPENDENCYPART_ARC
(3,11),-1.70609 # DEPENDENCYPART_ARC
(3,12),-2.31082 # DEPENDENCYPART_ARC
(3,13),-2.25925 # DEPENDENCYPART_ARC
(3,14),-1.86145 # DEPENDENCYPART_ARC
(3,15),-2.0174 # DEPENDENCYPART_ARC
(3,16),-2.86729 # DEPENDENCYPART_ARC
(3,17),-2.89657 # DEPENDENCYPART_ARC
(3,18),-2.44159 # DEPENDENCYPART_ARC
(3,19),-2.02894 # DEPENDENCYPART_ARC
(4,1),-0.29667 # DEPENDENCYPART_ARC
(4,2),0.0529439 # DEPENDENCYPART_ARC
(4,3),2.02962 # DEPENDENCYPART_ARC
(4,5),1.17104 # DEPENDENCYPART_ARC
(4,6),3.38066 # DEPENDENCYPART_ARC
(4,7),0.119165 # DEPENDENCYPART_ARC
(4,8),2.09295 # DEPENDENCYPART_ARC
(4,9),-1.31758 # DEPENDENCYPART_ARC
(4,10),-0.437316 # DEPENDENCYPART_ARC
(4,11),1.65569 # DEPENDENCYPART_ARC
(4,12),-3.27118 # DEPENDENCYPART_ARC
(4,13),-0.452394 # DEPENDENCYPART_ARC
(4,14),-1.54114 # DEPENDENCYPART_ARC
(4,15),-1.7256 # DEPENDENCYPART_ARC
(4,16),-2.25762 # DEPENDENCYPART_ARC
(4,17),-1.7749 # DEPENDENCYPART_ARC
(4,18),-5.72446 # DEPENDENCYPART_ARC
(4,19),1.30717 # DEPENDENCYPART_ARC
(5,1),-3.00535 # DEPENDENCYPART_ARC
(5,2),-3.14604 # DEPENDENCYPART_ARC
(5,3),-1.91708 # DEPENDENCYPART_ARC
(5,4),-1.62234 # DEPENDENCYPART_ARC
(5,6),0.446906 # DEPENDENCYPART_ARC
(5,7),-1.65987 # DEPENDENCYPART_ARC
(5,8),-1.43714 # DEPENDENCYPART_ARC
(5,9),-1.86698 # DEPENDENCYPART_ARC
(5,10),-1.48839 # DEPENDENCYPART_ARC
(5,11),-1.19555 # DEPENDENCYPART_ARC
(5,12),-2.09766 # DEPENDENCYPART_ARC
(5,13),-2.46339 # DEPENDENCYPART_ARC
(5,14),-1.95346 # DEPENDENCYPART_ARC
(5,15),-2.3316 # DEPENDENCYPART_ARC
(5,16),-2.50308 # DEPENDENCYPART_ARC
(5,17),-2.47997 # DEPENDENCYPART_ARC
(5,18),-2.26513 # DEPENDENCYPART_ARC
(5,19),-0.935889 # DEPENDENCYPART_ARC
(6,1),-0.306098 # DEPENDENCYPART_ARC
(6,2),0.796361 # DEPENDENCYPART_ARC
(6,3),0.422691 # DEPENDENCYPART_ARC
(6,4),1.23001 # DEPENDENCYPART_ARC
(6,5),2.11527 # DEPENDENCYPART_ARC
(6,7),3.82194 # DEPENDENCYPART_ARC
(6,8),2.46257 # DEPENDENCYPART_ARC
(6,9),-1.72336 # DEPENDENCYPART_ARC
(6,10),2.17342 # DEPENDENCYPART_ARC
(6,11),0.185114 # DEPENDENCYPART_ARC
(6,12),0.0119985 # DEPENDENCYPART_ARC
(6,13),0.431539 # DEPENDENCYPART_ARC
(6,14),0.0264702 # DEPENDENCYPART_ARC
(6,15),0.758727 # DEPENDENCYPART_ARC
(6,16),-2.93577 # DEPENDENCYPART_ARC
(6,17),-2.92334 # DEPENDENCYPART_ARC
(6,18),1.13666 # DEPENDENCYPART_ARC
(6,19),2.4223 # DEPENDENCYPART_ARC
(7,1),-0.921142 # DEPENDENCYPART_ARC
(7,2),-1.37928 # DEPENDENCYPART_ARC
(7,3),0.308747 # DEPENDENCYPART_ARC
(7,4),-0.293951 # DEPENDENCYPART_ARC
(7,5),0.48733 # DEPENDENCYPART_ARC
(7,6),0.384429 # DEPENDENCYPART_ARC
(7,8),5.78894 # DEPENDENCYPART_ARC
(7,9),-0.827213 # DEPENDENCYPART_ARC
(7,10),-0.0603202 # DEPENDENCYPART_ARC
(7,11),0.0379866 # DEPENDENCYPART_ARC
(7,12),-3.25558 # DEPENDENCYPART_ARC
(7,13),-1.38179 # DEPENDENCYPART_ARC
(7,14),-2.3881 # DEPENDENCYPART_ARC
(7,15),-2.10613 # DEPENDENCYPART_ARC
(7,16),-3.35216 # DEPENDENCYPART_ARC
(7,17),-2.87428 # DEPENDENCYPART_ARC
(7,18),-8.30478 # DEPENDENCYPART_ARC
(7,19),-2.14344 # DEPENDENCYPART_ARC
(8,1),-2.73672 # DEPENDENCYPART_ARC
(8,2),-2.84385 # DEPENDENCYPART_ARC
(8,3),-2.94067 # DEPENDENCYPART_ARC
(8,4),-2.59187 # DEPENDENCYPART_ARC
(8,5),-1.19815 # DEPENDENCYPART_ARC
(8,6),-1.88821 # DEPENDENCYPART_ARC
(8,7),-0.672244 # DEPENDENCYPART_ARC
(8,9),1.89575 # DEPENDENCYPART_ARC
(8,10),-0.163152 # DEPENDENCYPART_ARC
(8,11),0.448278 # DEPENDENCYPART_ARC
(8,12),-0.131845 # DEPENDENCYPART_ARC
(8,13),-1.6832 # DEPENDENCYPART_ARC
(8,14),-0.345705 # DEPENDENCYPART_ARC
(8,15),-1.23389 # DEPENDENCYPART_ARC
(8,16),-2.54155 # DEPENDENCYPART_ARC
(8,17),-2.72232 # DEPENDENCYPART_ARC
(8,18),-1.99826 # DEPENDENCYPART_ARC
(8,19),-1.08043 # DEPENDENCYPART_ARC
(9,1),-1.80389 # DEPENDENCYPART_ARC
(9,2),-1.7811 # DEPENDENCYPART_ARC
(9,3),-1.63874 # DEPENDENCYPART_ARC
(9,4),-1.56837 # DEPENDENCYPART_ARC
(9,5),-0.682682 # DEPENDENCYPART_ARC
(9,6),-1.68883 # DEPENDENCYPART_ARC
(9,7),-0.703587 # DEPENDENCYPART_ARC
(9,8),-0.231108 # DEPENDENCYPART_ARC
(9,10),-0.332446 # DEPENDENCYPART_ARC
(9,11),-1.05102 # DEPENDENCYPART_ARC
(9,12),-1.6482 # DEPENDENCYPART_ARC
(9,13),-1.51814 # DEPENDENCYPART_ARC
(9,14),-2.76069 # DEPENDENCYPART_ARC
(9,15),-2.63702 # DEPENDENCYPART_ARC
(9,16),-2.50315 # DEPENDENCYPART_ARC
(9,17),-1.44301 # DEPENDENCYPART_ARC
(9,18),-4.18324 # DEPENDENCYPART_ARC
(9,19),-2.79534 # DEPENDENCYPART_ARC
(10,1),-1.84689 # DEPENDENCYPART_ARC
(10,2),-2.0474 # DEPENDENCYPART_ARC
(10,3),-1.81991 # DEPENDENCYPART_ARC
(10,4),-1.64722 # DEPENDENCYPART_ARC
(10,5),-0.548465 # DEPENDENCYPART_ARC
(10,6),-2.10149 # DEPENDENCYPART_ARC
(10,7),-0.734783 # DEPENDENCYPART_ARC
(10,8),-0.445306 # DEPENDENCYPART_ARC
(10,9),3.82766 # DEPENDENCYPART_ARC
(10,11),1.28859 # DEPENDENCYPART_ARC
(10,12),1.43154 # DEPENDENCYPART_ARC
(10,13),0.13866 # DEPENDENCYPART_ARC
(10,14),1.27526 # DEPENDENCYPART_ARC
(10,15),0.481739 # DEPENDENCYPART_ARC
(10,16),-0.882239 # DEPENDENCYPART_ARC
(10,17),-1.13861 # DEPENDENCYPART_ARC
(10,18),0.49353 # DEPENDENCYPART_ARC
(10,19),0.857296 # DEPENDENCYPART_ARC
(11,1),-2.79048 # DEPENDENCYPART_ARC
(11,2),-3.40962 # DEPENDENCYPART_ARC
(11,3),-2.61393 # DEPENDENCYPART_ARC
(11,4),-2.64116 # DEPENDENCYPART_ARC
(11,5),-3.15845 # DEPENDENCYPART_ARC
(11,6),-3.01144 # DEPENDENCYPART_ARC
(11,7),-2.00031 # DEPENDENCYPART_ARC
(11,8),-2.64237 # DEPENDENCYPART_ARC
(11,9),-1.3508 # DEPENDENCYPART_ARC
(11,10),-1.60377 # DEPENDENCYPART_ARC
(11,12),-0.972987 # DEPENDENCYPART_ARC
(11,13),-1.89743 # DEPENDENCYPART_ARC
(11,14),-1.50993 # DEPENDENCYPART_ARC
(11,15),-2.12731 # DEPENDENCYPART_ARC
(11,16),-3.0638 # DEPENDENCYPART_ARC
(11,17),-3.07996 # DEPENDENCYPART_ARC
(11,18),-2.69445 # DEPENDENCYPART_ARC
(11,19),-2.07314 # DEPENDENCYPART_ARC
(12,1),-1.36692 # DEPENDENCYPART_ARC
(12,2),-1.98387 # DEPENDENCYPART_ARC
(12,3),-1.59277 # DEPENDENCYPART_ARC
(12,4),-0.915093 # DEPENDENCYPART_ARC
(12,5),-0.786803 # DEPENDENCYPART_ARC
(12,6),-1.80214 # DEPENDENCYPART_ARC
(12,7),-0.431656 # DEPENDENCYPART_ARC
(12,8),-0.493749 # DEPENDENCYPART_ARC
(12,9),0.476039 # DEPENDENCYPART_ARC
(12,10),-0.403589 # DEPENDENCYPART_ARC
(12,11),1.78187 # DEPENDENCYPART_ARC
(12,13),0.201692 # DEPENDENCYPART_ARC
(12,14),0.253605 # DEPENDENCYPART_ARC
(12,15),-0.576991 # DEPENDENCYPART_ARC
(12,16),-1.50583 # DEPENDENCYPART_ARC
(12,17),-1.72463 # DEPENDENCYPART_ARC
(12,18),-1.73774 # DEPENDENCYPART_ARC
(12,19),0.0808963 # DEPENDENCYPART_ARC
(13,1),-2.32367 # DEPENDENCYPART_ARC
(13,2),-2.2411 # DEPENDENCYPART_ARC
(13,3),-1.54843 # DEPENDENCYPART_ARC
(13,4),-1.95981 # DEPENDENCYPART_ARC
(13,5),-1.92242 # DEPENDENCYPART_ARC
(13,6),-2.08227 # DEPENDENCYPART_ARC
(13,7),-1.26612 # DEPENDENCYPART_ARC
(13,8),-2.12734 # DEPENDENCYPART_ARC
(13,9),-1.31292 # DEPENDENCYPART_ARC
(13,10),-1.6392 # DEPENDENCYPART_ARC
(13,11),0.0418436 # DEPENDENCYPART_ARC
(13,12),0.330459 # DEPENDENCYPART_ARC
(13,14),0.488282 # DEPENDENCYPART_ARC
(13,15),-0.762368 # DEPENDENCYPART_ARC
(13,16),-1.99342 # DEPENDENCYPART_ARC
(13,17),-2.11679 # DEPENDENCYPART_ARC
(13,18),-1.62152 # DEPENDENCYPART_ARC
(13,19),-1.4359 # DEPENDENCYPART_ARC
(14,1),-1.70509 # DEPENDENCYPART_ARC
(14,2),-0.575508 # DEPENDENCYPART_ARC
(14,3),-2.66577 # DEPENDENCYPART_ARC
(14,4),-1.14784 # DEPENDENCYPART_ARC
(14,5),-2.14629 # DEPENDENCYPART_ARC
(14,6),-1.06286 # DEPENDENCYPART_ARC
(14,7),-1.28158 # DEPENDENCYPART_ARC
(14,8),-0.651677 # DEPENDENCYPART_ARC
(14,9),-2.91056 # DEPENDENCYPART_ARC
(14,10),-0.532208 # DEPENDENCYPART_ARC
(14,11),-0.878282 # DEPENDENCYPART_ARC
(14,12),-0.239569 # DEPENDENCYPART_ARC
(14,13),0.650849 # DEPENDENCYPART_ARC
(14,15),1.23192 # DEPENDENCYPART_ARC
(14,16),-3.31851 # DEPENDENCYPART_ARC
(14,17),-3.88147 # DEPENDENCYPART_ARC
(14,18),-0.164642 # DEPENDENCYPART_ARC
(14,19),1.30347 # DEPENDENCYPART_ARC
(15,1),0.362828 # DEPENDENCYPART_ARC
(15,2),1.35265 # DEPENDENCYPART_ARC
(15,3),-0.433431 # DEPENDENCYPART_ARC
(15,4),1.22182 # DEPENDENCYPART_ARC
(15,5),0.173005 # DEPENDENCYPART_ARC
(15,6),0.950017 # DEPENDENCYPART_ARC
(15,7),1.00924 # DEPENDENCYPART_ARC
(15,8),0.759935 # DEPENDENCYPART_ARC
(15,9),-0.182083 # DEPENDENCYPART_ARC
(15,10),1.4281 # DEPENDENCYPART_ARC
(15,11),0.0611982 # DEPENDENCYPART_ARC
(15,12),2.28495 # DEPENDENCYPART_ARC
(15,13),3.03318 # DEPENDENCYPART_ARC
(15,14),6.02248 # DEPENDENCYPART_ARC
(15,16),-0.0809619 # DEPENDENCYPART_ARC
(15,17),-0.235526 # DEPENDENCYPART_ARC
(15,18),2.79638 # DEPENDENCYPART_ARC
(15,19),4.26175 # DEPENDENCYPART_ARC
(16,1),-3.29338 # DEPENDENCYPART_ARC
(16,2),-3.25968 # DEPENDENCYPART_ARC
(16,3),-2.86348 # DEPENDENCYPART_ARC
(16,4),-3.04543 # DEPENDENCYPART_ARC
(16,5),-2.94974 # DEPENDENCYPART_ARC
(16,6),-4.03512 # DEPENDENCYPART_ARC
(16,7),-2.70674 # DEPENDENCYPART_ARC
(16,8),-3.6799 # DEPENDENCYPART_ARC
(16,9),-3.50923 # DEPENDENCYPART_ARC
(16,10),-3.3886 # DEPENDENCYPART_ARC
(16,11),-2.29608 # DEPENDENCYPART_ARC
(16,12),-2.44604 # DEPENDENCYPART_ARC
(16,13),-1.58784 # DEPENDENCYPART_ARC
(16,14),-2.37459 # DEPENDENCYPART_ARC
(16,15),-1.34725 # DEPENDENCYPART_ARC
(16,17),6.18449 # DEPENDENCYPART_ARC
(16,18),1.39619 # DEPENDENCYPART_ARC
(16,19),0.0572131 # DEPENDENCYPART_ARC
(17,1),-2.36139 # DEPENDENCYPART_ARC
(17,2),-2.66443 # DEPENDENCYPART_ARC
(17,3),-2.26282 # DEPENDENCYPART_ARC
(17,4),-2.81647 # DEPENDENCYPART_ARC
(17,5),-2.07103 # DEPENDENCYPART_ARC
(17,6),-3.39815 # DEPENDENCYPART_ARC
(17,7),-2.51353 # DEPENDENCYPART_ARC
(17,8),-3.00613 # DEPENDENCYPART_ARC
(17,9),-2.5618 # DEPENDENCYPART_ARC
(17,10),-2.74102 # DEPENDENCYPART_ARC
(17,11),-1.6458 # DEPENDENCYPART_ARC
(17,12),-1.90528 # DEPENDENCYPART_ARC
(17,13),-1.30331 # DEPENDENCYPART_ARC
(17,14),-2.1953 # DEPENDENCYPART_ARC
(17,15),-1.36504 # DEPENDENCYPART_ARC
(17,16),1.84433 # DEPENDENCYPART_ARC
(17,18),-0.116278 # DEPENDENCYPART_ARC
(17,19),-1.56228 # DEPENDENCYPART_ARC
(18,1),-0.368604 # DEPENDENCYPART_ARC
(18,2),-1.13432 # DEPENDENCYPART_ARC
(18,3),-0.789915 # DEPENDENCYPART_ARC
(18,4),-0.873517 # DEPENDENCYPART_ARC
(18,5),0.250581 # DEPENDENCYPART_ARC
(18,6),-1.62789 # DEPENDENCYPART_ARC
(18,7),-0.517051 # DEPENDENCYPART_ARC
(18,8),-0.764292 # DEPENDENCYPART_ARC
(18,9),-0.885014 # DEPENDENCYPART_ARC
(18,10),-1.60227 # DEPENDENCYPART_ARC
(18,11),0.11337 # DEPENDENCYPART_ARC
(18,12),-0.859295 # DEPENDENCYPART_ARC
(18,13),0.96408 # DEPENDENCYPART_ARC
(18,14),-0.273663 # DEPENDENCYPART_ARC
(18,15),0.310563 # DEPENDENCYPART_ARC
(18,16),3.49021 # DEPENDENCYPART_ARC
(18,17),3.45209 # DEPENDENCYPART_ARC
(18,19),0.822849 # DEPENDENCYPART_ARC
(19,1),-3.92607 # DEPENDENCYPART_ARC
(19,2),-4.4946 # DEPENDENCYPART_ARC
(19,3),-3.98529 # DEPENDENCYPART_ARC
(19,4),-3.83253 # DEPENDENCYPART_ARC
(19,5),-4.42016 # DEPENDENCYPART_ARC
(19,6),-4.48632 # DEPENDENCYPART_ARC
(19,7),-3.64409 # DEPENDENCYPART_ARC
(19,8),-4.47207 # DEPENDENCYPART_ARC
(19,9),-4.25074 # DEPENDENCYPART_ARC
(19,10),-4.53153 # DEPENDENCYPART_ARC
(19,11),-3.44651 # DEPENDENCYPART_ARC
(19,12),-4.13611 # DEPENDENCYPART_ARC
(19,13),-3.78239 # DEPENDENCYPART_ARC
(19,14),-3.89898 # DEPENDENCYPART_ARC
(19,15),-3.52319 # DEPENDENCYPART_ARC
(19,16),-2.81109 # DEPENDENCYPART_ARC
(19,17),-2.05856 # DEPENDENCYPART_ARC
(19,18),-2.28567 # DEPENDENCYPART_ARC
