# _root_ La crisi de la companyia es va produir després que Dynegy anunciés , dimecres passat , que renunciava a adquirir l' empresa .
#goldHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,14,18,12,18,19,22,20,8,
#predictedHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,18,18,12,18,19,22,20,8,
(3,2),-0.0110423 # DEPENDENCYPART_ARC
(3,4),0.217865 # DEPENDENCYPART_ARC
(3,5),4.78098 # DEPENDENCYPART_ARC
(3,6),-0.717622 # DEPENDENCYPART_ARC
(3,7),0.685082 # DEPENDENCYPART_ARC
(3,8),0.153836 # DEPENDENCYPART_ARC
(3,9),-0.791994 # DEPENDENCYPART_ARC
(3,10),-1.66777 # DEPENDENCYPART_ARC
(3,11),-2.79107 # DEPENDENCYPART_ARC
(3,12),-2.30226 # DEPENDENCYPART_ARC
(3,13),-1.14805 # DEPENDENCYPART_ARC
(3,14),-1.6672 # DEPENDENCYPART_ARC
(3,15),-1.78911 # DEPENDENCYPART_ARC
(3,16),-1.64514 # DEPENDENCYPART_ARC
(3,17),-2.847 # DEPENDENCYPART_ARC
(3,18),-4.13363 # DEPENDENCYPART_ARC
(3,19),-4.31505 # DEPENDENCYPART_ARC
(3,20),-3.31012 # DEPENDENCYPART_ARC
(3,21),-1.99698 # DEPENDENCYPART_ARC
(3,22),-6.29724 # DEPENDENCYPART_ARC
(3,23),-0.870868 # DEPENDENCYPART_ARC
(4,1),-0.130157 # DEPENDENCYPART_ARC
(4,2),-0.849419 # DEPENDENCYPART_ARC
(4,3),0.449311 # DEPENDENCYPART_ARC
(4,5),0.881746 # DEPENDENCYPART_ARC
(4,6),-0.641467 # DEPENDENCYPART_ARC
(4,7),-2.21214 # DEPENDENCYPART_ARC
(4,8),-2.26396 # DEPENDENCYPART_ARC
(4,9),-2.55531 # DEPENDENCYPART_ARC
(4,10),-2.42856 # DEPENDENCYPART_ARC
(4,11),-3.19593 # DEPENDENCYPART_ARC
(4,12),-3.59434 # DEPENDENCYPART_ARC
(4,13),-3.28807 # DEPENDENCYPART_ARC
(4,14),-2.91251 # DEPENDENCYPART_ARC
(4,15),-5.83399 # DEPENDENCYPART_ARC
(4,16),-3.49509 # DEPENDENCYPART_ARC
(4,17),-3.31415 # DEPENDENCYPART_ARC
(4,18),-4.20002 # DEPENDENCYPART_ARC
(4,19),-5.07323 # DEPENDENCYPART_ARC
(4,20),-3.67524 # DEPENDENCYPART_ARC
(4,21),-3.43222 # DEPENDENCYPART_ARC
(4,22),-4.09043 # DEPENDENCYPART_ARC
(4,23),-3.82058 # DEPENDENCYPART_ARC
(5,1),1.47779 # DEPENDENCYPART_ARC
(5,2),-1.10845 # DEPENDENCYPART_ARC
(5,3),-0.15095 # DEPENDENCYPART_ARC
(5,4),4.48562 # DEPENDENCYPART_ARC
(5,6),-0.348669 # DEPENDENCYPART_ARC
(5,7),0.129082 # DEPENDENCYPART_ARC
(5,8),-0.424898 # DEPENDENCYPART_ARC
(5,9),-2.67395 # DEPENDENCYPART_ARC
(5,10),-3.74689 # DEPENDENCYPART_ARC
(5,11),-3.24455 # DEPENDENCYPART_ARC
(5,12),-2.62807 # DEPENDENCYPART_ARC
(5,13),-2.92362 # DEPENDENCYPART_ARC
(5,14),-3.00703 # DEPENDENCYPART_ARC
(5,15),-4.38862 # DEPENDENCYPART_ARC
(5,16),-2.5548 # DEPENDENCYPART_ARC
(5,17),-5.46185 # DEPENDENCYPART_ARC
(5,18),-5.05311 # DEPENDENCYPART_ARC
(5,19),-5.64679 # DEPENDENCYPART_ARC
(5,20),-5.44398 # DEPENDENCYPART_ARC
(5,21),-4.3901 # DEPENDENCYPART_ARC
(5,22),-5.14326 # DEPENDENCYPART_ARC
(5,23),-0.290095 # DEPENDENCYPART_ARC
(6,1),-1.63543 # DEPENDENCYPART_ARC
(6,2),-2.17488 # DEPENDENCYPART_ARC
(6,3),-0.351631 # DEPENDENCYPART_ARC
(6,4),0.346828 # DEPENDENCYPART_ARC
(6,5),-0.654763 # DEPENDENCYPART_ARC
(6,7),0.312604 # DEPENDENCYPART_ARC
(6,8),-0.762558 # DEPENDENCYPART_ARC
(6,9),-1.35049 # DEPENDENCYPART_ARC
(6,10),-1.13518 # DEPENDENCYPART_ARC
(6,11),-1.09773 # DEPENDENCYPART_ARC
(6,12),-2.12275 # DEPENDENCYPART_ARC
(6,13),-1.75165 # DEPENDENCYPART_ARC
(6,14),-1.81619 # DEPENDENCYPART_ARC
(6,15),-2.19637 # DEPENDENCYPART_ARC
(6,16),-1.85236 # DEPENDENCYPART_ARC
(6,17),-1.67368 # DEPENDENCYPART_ARC
(6,18),-3.54741 # DEPENDENCYPART_ARC
(6,19),-3.02999 # DEPENDENCYPART_ARC
(6,20),-4.15016 # DEPENDENCYPART_ARC
(6,21),-2.94335 # DEPENDENCYPART_ARC
(6,22),-2.13593 # DEPENDENCYPART_ARC
(6,23),-0.807872 # DEPENDENCYPART_ARC
(7,1),-2.53279 # DEPENDENCYPART_ARC
(7,2),-0.590099 # DEPENDENCYPART_ARC
(7,3),-1.62969 # DEPENDENCYPART_ARC
(7,4),-1.38909 # DEPENDENCYPART_ARC
(7,5),-0.274035 # DEPENDENCYPART_ARC
(7,6),2.05467 # DEPENDENCYPART_ARC
(7,8),1.1686 # DEPENDENCYPART_ARC
(7,9),0.49849 # DEPENDENCYPART_ARC
(7,10),-2.28682 # DEPENDENCYPART_ARC
(7,11),-2.18439 # DEPENDENCYPART_ARC
(7,12),-1.0608 # DEPENDENCYPART_ARC
(7,13),-0.797379 # DEPENDENCYPART_ARC
(7,14),-1.31035 # DEPENDENCYPART_ARC
(7,15),-1.73001 # DEPENDENCYPART_ARC
(7,16),-0.338168 # DEPENDENCYPART_ARC
(7,17),-1.73199 # DEPENDENCYPART_ARC
(7,18),-2.02315 # DEPENDENCYPART_ARC
(7,19),-1.59096 # DEPENDENCYPART_ARC
(7,20),-2.26851 # DEPENDENCYPART_ARC
(7,21),-4.04285 # DEPENDENCYPART_ARC
(7,22),-4.25944 # DEPENDENCYPART_ARC
(7,23),1.36701 # DEPENDENCYPART_ARC
(8,1),0.120881 # DEPENDENCYPART_ARC
(8,2),1.89446 # DEPENDENCYPART_ARC
(8,3),0.246536 # DEPENDENCYPART_ARC
(8,4),0.923423 # DEPENDENCYPART_ARC
(8,5),2.58679 # DEPENDENCYPART_ARC
(8,6),4.473 # DEPENDENCYPART_ARC
(8,7),6.07329 # DEPENDENCYPART_ARC
(8,9),3.1603 # DEPENDENCYPART_ARC
(8,10),-0.515083 # DEPENDENCYPART_ARC
(8,11),-0.622814 # DEPENDENCYPART_ARC
(8,12),2.32963 # DEPENDENCYPART_ARC
(8,13),0.558442 # DEPENDENCYPART_ARC
(8,14),0.115571 # DEPENDENCYPART_ARC
(8,15),-0.250784 # DEPENDENCYPART_ARC
(8,16),0.96021 # DEPENDENCYPART_ARC
(8,17),0.443293 # DEPENDENCYPART_ARC
(8,18),0.921319 # DEPENDENCYPART_ARC
(8,19),-0.514839 # DEPENDENCYPART_ARC
(8,20),0.332411 # DEPENDENCYPART_ARC
(8,21),-2.89457 # DEPENDENCYPART_ARC
(8,22),-2.81658 # DEPENDENCYPART_ARC
(8,23),5.11222 # DEPENDENCYPART_ARC
(9,1),-1.74012 # DEPENDENCYPART_ARC
(9,2),-1.59798 # DEPENDENCYPART_ARC
(9,3),-1.06386 # DEPENDENCYPART_ARC
(9,4),-1.04953 # DEPENDENCYPART_ARC
(9,5),-0.977974 # DEPENDENCYPART_ARC
(9,6),-0.757942 # DEPENDENCYPART_ARC
(9,7),-0.401818 # DEPENDENCYPART_ARC
(9,8),0.486625 # DEPENDENCYPART_ARC
(9,10),0.759547 # DEPENDENCYPART_ARC
(9,11),1.07436 # DEPENDENCYPART_ARC
(9,12),2.69025 # DEPENDENCYPART_ARC
(9,13),0.956468 # DEPENDENCYPART_ARC
(9,14),-0.335978 # DEPENDENCYPART_ARC
(9,15),-0.452106 # DEPENDENCYPART_ARC
(9,16),0.255316 # DEPENDENCYPART_ARC
(9,17),-0.295368 # DEPENDENCYPART_ARC
(9,18),1.27469 # DEPENDENCYPART_ARC
(9,19),-1.08792 # DEPENDENCYPART_ARC
(9,20),0.621174 # DEPENDENCYPART_ARC
(9,21),-0.953698 # DEPENDENCYPART_ARC
(9,22),-1.24328 # DEPENDENCYPART_ARC
(9,23),0.222061 # DEPENDENCYPART_ARC
(10,1),-3.70679 # DEPENDENCYPART_ARC
(10,2),-3.54641 # DEPENDENCYPART_ARC
(10,3),-2.58588 # DEPENDENCYPART_ARC
(10,4),-3.44032 # DEPENDENCYPART_ARC
(10,5),-3.26598 # DEPENDENCYPART_ARC
(10,6),-2.57728 # DEPENDENCYPART_ARC
(10,7),-2.7504 # DEPENDENCYPART_ARC
(10,8),-1.91215 # DEPENDENCYPART_ARC
(10,9),-0.771105 # DEPENDENCYPART_ARC
(10,11),-0.00908158 # DEPENDENCYPART_ARC
(10,12),-0.0985226 # DEPENDENCYPART_ARC
(10,13),-0.786896 # DEPENDENCYPART_ARC
(10,14),-1.73467 # DEPENDENCYPART_ARC
(10,15),-2.03516 # DEPENDENCYPART_ARC
(10,16),-0.929631 # DEPENDENCYPART_ARC
(10,17),-0.835021 # DEPENDENCYPART_ARC
(10,18),-1.50674 # DEPENDENCYPART_ARC
(10,19),-2.15942 # DEPENDENCYPART_ARC
(10,20),-1.8021 # DEPENDENCYPART_ARC
(10,21),-3.4146 # DEPENDENCYPART_ARC
(10,22),-3.61987 # DEPENDENCYPART_ARC
(10,23),-1.22783 # DEPENDENCYPART_ARC
(11,1),-2.51755 # DEPENDENCYPART_ARC
(11,2),-1.98233 # DEPENDENCYPART_ARC
(11,3),-0.370215 # DEPENDENCYPART_ARC
(11,4),-1.61034 # DEPENDENCYPART_ARC
(11,5),-1.66989 # DEPENDENCYPART_ARC
(11,6),-0.679653 # DEPENDENCYPART_ARC
(11,7),-1.76669 # DEPENDENCYPART_ARC
(11,8),-1.12558 # DEPENDENCYPART_ARC
(11,9),0.449453 # DEPENDENCYPART_ARC
(11,10),2.04833 # DEPENDENCYPART_ARC
(11,12),0.60801 # DEPENDENCYPART_ARC
(11,13),-0.87929 # DEPENDENCYPART_ARC
(11,14),-0.304865 # DEPENDENCYPART_ARC
(11,15),-1.02363 # DEPENDENCYPART_ARC
(11,16),-0.714527 # DEPENDENCYPART_ARC
(11,17),-2.53668 # DEPENDENCYPART_ARC
(11,18),-2.57297 # DEPENDENCYPART_ARC
(11,19),-2.79836 # DEPENDENCYPART_ARC
(11,20),-3.20026 # DEPENDENCYPART_ARC
(11,21),-2.25312 # DEPENDENCYPART_ARC
(11,22),-2.74733 # DEPENDENCYPART_ARC
(11,23),0.118427 # DEPENDENCYPART_ARC
(12,1),-1.35417 # DEPENDENCYPART_ARC
(12,2),1.11975 # DEPENDENCYPART_ARC
(12,3),-1.76688 # DEPENDENCYPART_ARC
(12,4),-1.14938 # DEPENDENCYPART_ARC
(12,5),1.4629 # DEPENDENCYPART_ARC
(12,6),2.35801 # DEPENDENCYPART_ARC
(12,7),2.15639 # DEPENDENCYPART_ARC
(12,8),0.980017 # DEPENDENCYPART_ARC
(12,9),1.7954 # DEPENDENCYPART_ARC
(12,10),4.96811 # DEPENDENCYPART_ARC
(12,11),2.75308 # DEPENDENCYPART_ARC
(12,13),1.47714 # DEPENDENCYPART_ARC
(12,14),1.9783 # DEPENDENCYPART_ARC
(12,15),1.63476 # DEPENDENCYPART_ARC
(12,16),1.04604 # DEPENDENCYPART_ARC
(12,17),0.961692 # DEPENDENCYPART_ARC
(12,18),1.74202 # DEPENDENCYPART_ARC
(12,19),0.709608 # DEPENDENCYPART_ARC
(12,20),0.607268 # DEPENDENCYPART_ARC
(12,21),-1.89969 # DEPENDENCYPART_ARC
(12,22),-0.646019 # DEPENDENCYPART_ARC
(12,23),3.85992 # DEPENDENCYPART_ARC
(13,1),-4.17319 # DEPENDENCYPART_ARC
(13,2),-4.2574 # DEPENDENCYPART_ARC
(13,3),-3.41766 # DEPENDENCYPART_ARC
(13,4),-4.01883 # DEPENDENCYPART_ARC
(13,5),-3.96716 # DEPENDENCYPART_ARC
(13,6),-3.53316 # DEPENDENCYPART_ARC
(13,7),-3.69376 # DEPENDENCYPART_ARC
(13,8),-3.58315 # DEPENDENCYPART_ARC
(13,9),-2.99266 # DEPENDENCYPART_ARC
(13,10),-2.37036 # DEPENDENCYPART_ARC
(13,11),-2.65709 # DEPENDENCYPART_ARC
(13,12),-1.50983 # DEPENDENCYPART_ARC
(13,14),-0.408217 # DEPENDENCYPART_ARC
(13,15),-1.45225 # DEPENDENCYPART_ARC
(13,16),-1.25593 # DEPENDENCYPART_ARC
(13,17),-1.32915 # DEPENDENCYPART_ARC
(13,18),-1.84389 # DEPENDENCYPART_ARC
(13,19),-2.58474 # DEPENDENCYPART_ARC
(13,20),-2.25842 # DEPENDENCYPART_ARC
(13,21),-3.22646 # DEPENDENCYPART_ARC
(13,22),-2.7547 # DEPENDENCYPART_ARC
(13,23),-2.0401 # DEPENDENCYPART_ARC
(14,1),-1.63704 # DEPENDENCYPART_ARC
(14,2),-2.45948 # DEPENDENCYPART_ARC
(14,3),-1.34574 # DEPENDENCYPART_ARC
(14,4),-1.16878 # DEPENDENCYPART_ARC
(14,5),-2.12579 # DEPENDENCYPART_ARC
(14,6),-1.2741 # DEPENDENCYPART_ARC
(14,7),-1.67814 # DEPENDENCYPART_ARC
(14,8),-1.57622 # DEPENDENCYPART_ARC
(14,9),-0.245402 # DEPENDENCYPART_ARC
(14,10),0.202578 # DEPENDENCYPART_ARC
(14,11),-0.87305 # DEPENDENCYPART_ARC
(14,12),0.290641 # DEPENDENCYPART_ARC
(14,13),2.38618 # DEPENDENCYPART_ARC
(14,15),3.31084 # DEPENDENCYPART_ARC
(14,16),1.37894 # DEPENDENCYPART_ARC
(14,17),0.659704 # DEPENDENCYPART_ARC
(14,18),0.447858 # DEPENDENCYPART_ARC
(14,19),-0.559343 # DEPENDENCYPART_ARC
(14,20),-0.429584 # DEPENDENCYPART_ARC
(14,21),-1.41954 # DEPENDENCYPART_ARC
(14,22),-0.989203 # DEPENDENCYPART_ARC
(14,23),0.718739 # DEPENDENCYPART_ARC
(15,1),-2.80865 # DEPENDENCYPART_ARC
(15,2),-3.53336 # DEPENDENCYPART_ARC
(15,3),-1.73048 # DEPENDENCYPART_ARC
(15,4),-2.85128 # DEPENDENCYPART_ARC
(15,5),-2.89884 # DEPENDENCYPART_ARC
(15,6),-1.83664 # DEPENDENCYPART_ARC
(15,7),-2.56817 # DEPENDENCYPART_ARC
(15,8),-2.9401 # DEPENDENCYPART_ARC
(15,9),-0.781533 # DEPENDENCYPART_ARC
(15,10),-0.648105 # DEPENDENCYPART_ARC
(15,11),-1.9412 # DEPENDENCYPART_ARC
(15,12),-1.07475 # DEPENDENCYPART_ARC
(15,13),0.874837 # DEPENDENCYPART_ARC
(15,14),0.238138 # DEPENDENCYPART_ARC
(15,16),-0.381968 # DEPENDENCYPART_ARC
(15,17),-1.65146 # DEPENDENCYPART_ARC
(15,18),-1.20156 # DEPENDENCYPART_ARC
(15,19),-2.13283 # DEPENDENCYPART_ARC
(15,20),-2.39701 # DEPENDENCYPART_ARC
(15,21),-4.42543 # DEPENDENCYPART_ARC
(15,22),-2.42841 # DEPENDENCYPART_ARC
(15,23),-2.42404 # DEPENDENCYPART_ARC
(16,1),-3.01377 # DEPENDENCYPART_ARC
(16,2),-3.10612 # DEPENDENCYPART_ARC
(16,3),-2.46403 # DEPENDENCYPART_ARC
(16,4),-2.96125 # DEPENDENCYPART_ARC
(16,5),-2.95629 # DEPENDENCYPART_ARC
(16,6),-2.46705 # DEPENDENCYPART_ARC
(16,7),-2.73473 # DEPENDENCYPART_ARC
(16,8),-2.59168 # DEPENDENCYPART_ARC
(16,9),-2.27596 # DEPENDENCYPART_ARC
(16,10),-1.65805 # DEPENDENCYPART_ARC
(16,11),-2.23067 # DEPENDENCYPART_ARC
(16,12),-1.90905 # DEPENDENCYPART_ARC
(16,13),-0.511934 # DEPENDENCYPART_ARC
(16,14),-0.926541 # DEPENDENCYPART_ARC
(16,15),0.0817957 # DEPENDENCYPART_ARC
(16,17),-0.356748 # DEPENDENCYPART_ARC
(16,18),-0.975369 # DEPENDENCYPART_ARC
(16,19),-1.77629 # DEPENDENCYPART_ARC
(16,20),-1.57759 # DEPENDENCYPART_ARC
(16,21),-2.53068 # DEPENDENCYPART_ARC
(16,22),-1.97684 # DEPENDENCYPART_ARC
(16,23),-1.36009 # DEPENDENCYPART_ARC
(17,1),-4.01864 # DEPENDENCYPART_ARC
(17,2),-4.01839 # DEPENDENCYPART_ARC
(17,3),-3.16722 # DEPENDENCYPART_ARC
(17,4),-3.94897 # DEPENDENCYPART_ARC
(17,5),-3.9198 # DEPENDENCYPART_ARC
(17,6),-3.33311 # DEPENDENCYPART_ARC
(17,7),-3.54046 # DEPENDENCYPART_ARC
(17,8),-3.54663 # DEPENDENCYPART_ARC
(17,9),-3.03853 # DEPENDENCYPART_ARC
(17,10),-2.43557 # DEPENDENCYPART_ARC
(17,11),-3.25942 # DEPENDENCYPART_ARC
(17,12),-2.92002 # DEPENDENCYPART_ARC
(17,13),-2.01946 # DEPENDENCYPART_ARC
(17,14),-2.09614 # DEPENDENCYPART_ARC
(17,15),-1.88096 # DEPENDENCYPART_ARC
(17,16),-0.59372 # DEPENDENCYPART_ARC
(17,18),0.666054 # DEPENDENCYPART_ARC
(17,19),-0.707704 # DEPENDENCYPART_ARC
(17,20),-0.965868 # DEPENDENCYPART_ARC
(17,21),-2.79652 # DEPENDENCYPART_ARC
(17,22),-2.15396 # DEPENDENCYPART_ARC
(17,23),-0.672 # DEPENDENCYPART_ARC
(18,1),-3.42244 # DEPENDENCYPART_ARC
(18,2),-2.18543 # DEPENDENCYPART_ARC
(18,3),-4.0065 # DEPENDENCYPART_ARC
(18,4),-3.13816 # DEPENDENCYPART_ARC
(18,5),-1.79377 # DEPENDENCYPART_ARC
(18,6),-0.736033 # DEPENDENCYPART_ARC
(18,7),-1.44781 # DEPENDENCYPART_ARC
(18,8),-2.95859 # DEPENDENCYPART_ARC
(18,9),-1.27841 # DEPENDENCYPART_ARC
(18,10),0.527877 # DEPENDENCYPART_ARC
(18,11),-0.833896 # DEPENDENCYPART_ARC
(18,12),-1.76685 # DEPENDENCYPART_ARC
(18,13),0.0422243 # DEPENDENCYPART_ARC
(18,14),-0.277243 # DEPENDENCYPART_ARC
(18,15),-0.375718 # DEPENDENCYPART_ARC
(18,16),2.2478 # DEPENDENCYPART_ARC
(18,17),4.18941 # DEPENDENCYPART_ARC
(18,19),4.60363 # DEPENDENCYPART_ARC
(18,20),2.21204 # DEPENDENCYPART_ARC
(18,21),-1.11627 # DEPENDENCYPART_ARC
(18,22),1.66366 # DEPENDENCYPART_ARC
(18,23),2.07312 # DEPENDENCYPART_ARC
(19,1),-2.9005 # DEPENDENCYPART_ARC
(19,2),-3.75382 # DEPENDENCYPART_ARC
(19,3),-3.4929 # DEPENDENCYPART_ARC
(19,4),-2.61318 # DEPENDENCYPART_ARC
(19,5),-3.56536 # DEPENDENCYPART_ARC
(19,6),-2.83675 # DEPENDENCYPART_ARC
(19,7),-2.88352 # DEPENDENCYPART_ARC
(19,8),-2.78196 # DEPENDENCYPART_ARC
(19,9),-2.46945 # DEPENDENCYPART_ARC
(19,10),-1.18261 # DEPENDENCYPART_ARC
(19,11),-3.30991 # DEPENDENCYPART_ARC
(19,12),-2.24192 # DEPENDENCYPART_ARC
(19,13),-1.88113 # DEPENDENCYPART_ARC
(19,14),-2.31406 # DEPENDENCYPART_ARC
(19,15),-2.1957 # DEPENDENCYPART_ARC
(19,16),-1.45729 # DEPENDENCYPART_ARC
(19,17),0.348354 # DEPENDENCYPART_ARC
(19,18),0.561358 # DEPENDENCYPART_ARC
(19,20),4.28352 # DEPENDENCYPART_ARC
(19,21),0.409894 # DEPENDENCYPART_ARC
(19,22),1.89946 # DEPENDENCYPART_ARC
(19,23),0.569832 # DEPENDENCYPART_ARC
(20,1),-1.7055 # DEPENDENCYPART_ARC
(20,2),-1.68439 # DEPENDENCYPART_ARC
(20,3),-3.48377 # DEPENDENCYPART_ARC
(20,4),-1.68783 # DEPENDENCYPART_ARC
(20,5),-1.23832 # DEPENDENCYPART_ARC
(20,6),0.484421 # DEPENDENCYPART_ARC
(20,7),1.07963 # DEPENDENCYPART_ARC
(20,8),-1.4092 # DEPENDENCYPART_ARC
(20,9),-0.374069 # DEPENDENCYPART_ARC
(20,10),1.23966 # DEPENDENCYPART_ARC
(20,11),-0.0832408 # DEPENDENCYPART_ARC
(20,12),0.117961 # DEPENDENCYPART_ARC
(20,13),-0.336781 # DEPENDENCYPART_ARC
(20,14),0.587014 # DEPENDENCYPART_ARC
(20,15),-0.132025 # DEPENDENCYPART_ARC
(20,16),1.62825 # DEPENDENCYPART_ARC
(20,17),3.2433 # DEPENDENCYPART_ARC
(20,18),3.50442 # DEPENDENCYPART_ARC
(20,19),4.29878 # DEPENDENCYPART_ARC
(20,21),0.153266 # DEPENDENCYPART_ARC
(20,22),4.38899 # DEPENDENCYPART_ARC
(20,23),2.60728 # DEPENDENCYPART_ARC
(21,1),-3.47769 # DEPENDENCYPART_ARC
(21,2),-4.14138 # DEPENDENCYPART_ARC
(21,3),-3.72965 # DEPENDENCYPART_ARC
(21,4),-2.93616 # DEPENDENCYPART_ARC
(21,5),-4.05161 # DEPENDENCYPART_ARC
(21,6),-3.18522 # DEPENDENCYPART_ARC
(21,7),-3.22611 # DEPENDENCYPART_ARC
(21,8),-4.10314 # DEPENDENCYPART_ARC
(21,9),-3.7262 # DEPENDENCYPART_ARC
(21,10),-3.09705 # DEPENDENCYPART_ARC
(21,11),-3.46101 # DEPENDENCYPART_ARC
(21,12),-3.4515 # DEPENDENCYPART_ARC
(21,13),-2.75471 # DEPENDENCYPART_ARC
(21,14),-2.86908 # DEPENDENCYPART_ARC
(21,15),-2.74026 # DEPENDENCYPART_ARC
(21,16),-2.47824 # DEPENDENCYPART_ARC
(21,17),-2.35467 # DEPENDENCYPART_ARC
(21,18),-1.99821 # DEPENDENCYPART_ARC
(21,19),-1.58853 # DEPENDENCYPART_ARC
(21,20),-1.17686 # DEPENDENCYPART_ARC
(21,22),0.386771 # DEPENDENCYPART_ARC
(21,23),-1.53847 # DEPENDENCYPART_ARC
(22,1),-5.15027 # DEPENDENCYPART_ARC
(22,2),-2.35751 # DEPENDENCYPART_ARC
(22,3),-1.96931 # DEPENDENCYPART_ARC
(22,4),-3.85362 # DEPENDENCYPART_ARC
(22,5),-2.16031 # DEPENDENCYPART_ARC
(22,6),-0.774627 # DEPENDENCYPART_ARC
(22,7),-2.48386 # DEPENDENCYPART_ARC
(22,8),-2.2646 # DEPENDENCYPART_ARC
(22,9),-1.85287 # DEPENDENCYPART_ARC
(22,10),0.0845816 # DEPENDENCYPART_ARC
(22,11),-1.87792 # DEPENDENCYPART_ARC
(22,12),-1.70771 # DEPENDENCYPART_ARC
(22,13),-0.118946 # DEPENDENCYPART_ARC
(22,14),-1.14082 # DEPENDENCYPART_ARC
(22,15),-1.86359 # DEPENDENCYPART_ARC
(22,16),-0.601169 # DEPENDENCYPART_ARC
(22,17),0.797088 # DEPENDENCYPART_ARC
(22,18),-0.508057 # DEPENDENCYPART_ARC
(22,19),-0.172039 # DEPENDENCYPART_ARC
(22,20),1.57942 # DEPENDENCYPART_ARC
(22,21),4.63315 # DEPENDENCYPART_ARC
(22,23),0.786036 # DEPENDENCYPART_ARC
(23,1),-4.97631 # DEPENDENCYPART_ARC
(23,2),-5.18715 # DEPENDENCYPART_ARC
(23,3),-4.185 # DEPENDENCYPART_ARC
