# _root_ Segons ell , aquestes polèmiques tenen un altre objectiu , " amagar el protagonisme del PP " .
#goldHeads=6,1,1,5,6,0,9,7,6,12,12,9,14,12,14,15,12,6,
#predictedHeads=6,1,1,5,6,0,9,7,6,6,12,6,14,12,14,15,12,12,
(14,11),0.540103 # DEPENDENCYPART_ARC
(14,12),0.458838 # DEPENDENCYPART_ARC
(14,13),3.88323 # DEPENDENCYPART_ARC
(14,15),3.36725 # DEPENDENCYPART_ARC
(14,16),1.03086 # DEPENDENCYPART_ARC
(14,17),0.958067 # DEPENDENCYPART_ARC
(14,18),0.411597 # DEPENDENCYPART_ARC
(15,1),-2.40179 # DEPENDENCYPART_ARC
(15,2),-3.62632 # DEPENDENCYPART_ARC
(15,3),-1.56277 # DEPENDENCYPART_ARC
(15,5),-2.85327 # DEPENDENCYPART_ARC
(15,6),-2.72329 # DEPENDENCYPART_ARC
(15,7),-2.04708 # DEPENDENCYPART_ARC
(15,8),-2.12834 # DEPENDENCYPART_ARC
(15,9),-2.83292 # DEPENDENCYPART_ARC
(15,10),-1.1421 # DEPENDENCYPART_ARC
(15,11),-1.58965 # DEPENDENCYPART_ARC
(15,12),-0.99163 # DEPENDENCYPART_ARC
(15,13),0.150583 # DEPENDENCYPART_ARC
(15,14),-0.232362 # DEPENDENCYPART_ARC
(15,16),3.84978 # DEPENDENCYPART_ARC
(15,17),-0.171784 # DEPENDENCYPART_ARC
(15,18),-0.572489 # DEPENDENCYPART_ARC
(16,1),-2.17046 # DEPENDENCYPART_ARC
(16,2),-2.27644 # DEPENDENCYPART_ARC
(16,3),-0.988316 # DEPENDENCYPART_ARC
(16,4),-4.21497 # DEPENDENCYPART_ARC
(16,5),-2.67739 # DEPENDENCYPART_ARC
(16,6),-2.25185 # DEPENDENCYPART_ARC
(16,7),-2.88737 # DEPENDENCYPART_ARC
(16,8),-3.35873 # DEPENDENCYPART_ARC
(16,9),-2.11972 # DEPENDENCYPART_ARC
(16,10),-1.04063 # DEPENDENCYPART_ARC
(16,11),-0.764763 # DEPENDENCYPART_ARC
(16,12),-1.03998 # DEPENDENCYPART_ARC
(16,13),1.00196 # DEPENDENCYPART_ARC
(16,14),-0.295171 # DEPENDENCYPART_ARC
(16,15),1.33157 # DEPENDENCYPART_ARC
(16,17),0.0675764 # DEPENDENCYPART_ARC
(16,18),-0.663749 # DEPENDENCYPART_ARC
