# _root_ Un_cop llicenciat , es va dedicar durant molts anys a l' ensenyament de la llengua i la literatura a Barcelona , Vila-real -Fpa- Plana_Baixa -Fpt- i Terrassa .
#goldHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,6,19,20,20,24,22,24,20,20,6,
#predictedHeads=2,6,6,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,18,19,22,12,24,12,24,15,20,6,
(2,12),-0.191658 # DEPENDENCYPART_ARC
(2,13),-1.15091 # DEPENDENCYPART_ARC
(2,14),-2.49305 # DEPENDENCYPART_ARC
(2,15),-0.523594 # DEPENDENCYPART_ARC
(2,16),-0.221336 # DEPENDENCYPART_ARC
(2,17),-2.40049 # DEPENDENCYPART_ARC
(2,18),-0.844654 # DEPENDENCYPART_ARC
(2,19),-0.0595938 # DEPENDENCYPART_ARC
(2,20),-0.287633 # DEPENDENCYPART_ARC
(2,21),0.196145 # DEPENDENCYPART_ARC
(2,22),-0.680457 # DEPENDENCYPART_ARC
(2,23),-1.64258 # DEPENDENCYPART_ARC
(2,24),-0.96467 # DEPENDENCYPART_ARC
(2,25),-1.29192 # DEPENDENCYPART_ARC
(2,26),-0.815625 # DEPENDENCYPART_ARC
(2,27),-0.984296 # DEPENDENCYPART_ARC
(2,28),-0.852137 # DEPENDENCYPART_ARC
(3,1),-1.59923 # DEPENDENCYPART_ARC
(3,2),-0.613853 # DEPENDENCYPART_ARC
(3,4),-2.41941 # DEPENDENCYPART_ARC
(3,5),-2.86534 # DEPENDENCYPART_ARC
(3,6),-3.27382 # DEPENDENCYPART_ARC
(3,7),-3.87598 # DEPENDENCYPART_ARC
(3,8),-4.38833 # DEPENDENCYPART_ARC
(3,9),-3.79445 # DEPENDENCYPART_ARC
(3,10),-3.9526 # DEPENDENCYPART_ARC
(3,11),-4.5183 # DEPENDENCYPART_ARC
(3,12),-3.9366 # DEPENDENCYPART_ARC
(3,13),-4.0093 # DEPENDENCYPART_ARC
(3,14),-4.5483 # DEPENDENCYPART_ARC
(3,15),-4.08338 # DEPENDENCYPART_ARC
(3,16),-2.85695 # DEPENDENCYPART_ARC
(3,17),-4.48562 # DEPENDENCYPART_ARC
(3,18),-3.90799 # DEPENDENCYPART_ARC
(3,19),-3.97005 # DEPENDENCYPART_ARC
(3,20),-4.02061 # DEPENDENCYPART_ARC
(3,21),-4.26931 # DEPENDENCYPART_ARC
(3,22),-4.20276 # DEPENDENCYPART_ARC
(3,23),-3.70389 # DEPENDENCYPART_ARC
(3,24),-4.2516 # DEPENDENCYPART_ARC
(3,25),-4.09541 # DEPENDENCYPART_ARC
(3,26),-3.31199 # DEPENDENCYPART_ARC
(3,27),-4.1957 # DEPENDENCYPART_ARC
(3,28),-4.28161 # DEPENDENCYPART_ARC
(4,1),-0.707969 # DEPENDENCYPART_ARC
(4,2),-1.17742 # DEPENDENCYPART_ARC
(4,3),0.695311 # DEPENDENCYPART_ARC
(4,5),-0.417712 # DEPENDENCYPART_ARC
(4,6),-0.890668 # DEPENDENCYPART_ARC
(4,7),-1.57162 # DEPENDENCYPART_ARC
(4,8),-1.93223 # DEPENDENCYPART_ARC
(4,9),-1.20847 # DEPENDENCYPART_ARC
(4,10),-2.43532 # DEPENDENCYPART_ARC
(4,11),-2.75367 # DEPENDENCYPART_ARC
(4,12),-1.86644 # DEPENDENCYPART_ARC
(4,13),-2.44434 # DEPENDENCYPART_ARC
(4,14),-2.94647 # DEPENDENCYPART_ARC
(4,15),-2.18458 # DEPENDENCYPART_ARC
(4,16),-1.4621 # DEPENDENCYPART_ARC
(4,17),-3.16569 # DEPENDENCYPART_ARC
(4,18),-2.20758 # DEPENDENCYPART_ARC
(4,19),-3.74686 # DEPENDENCYPART_ARC
(4,20),-1.93553 # DEPENDENCYPART_ARC
(4,21),-2.2909 # DEPENDENCYPART_ARC
(4,22),-1.93721 # DEPENDENCYPART_ARC
(4,23),-2.03031 # DEPENDENCYPART_ARC
(4,24),-2.08432 # DEPENDENCYPART_ARC
(4,25),-1.98491 # DEPENDENCYPART_ARC
(4,26),-2.15706 # DEPENDENCYPART_ARC
(4,27),-2.4114 # DEPENDENCYPART_ARC
(4,28),-0.752195 # DEPENDENCYPART_ARC
(5,1),-0.560527 # DEPENDENCYPART_ARC
(5,2),-1.35362 # DEPENDENCYPART_ARC
(5,3),0.656979 # DEPENDENCYPART_ARC
(5,4),1.14096 # DEPENDENCYPART_ARC
(5,6),1.55887 # DEPENDENCYPART_ARC
(5,7),0.902709 # DEPENDENCYPART_ARC
(5,8),-4.49981 # DEPENDENCYPART_ARC
(5,9),-0.686311 # DEPENDENCYPART_ARC
(5,10),0.412827 # DEPENDENCYPART_ARC
(5,11),-3.69027 # DEPENDENCYPART_ARC
(5,12),-1.07144 # DEPENDENCYPART_ARC
(5,13),-1.72861 # DEPENDENCYPART_ARC
(5,14),-4.68849 # DEPENDENCYPART_ARC
(5,15),-1.31631 # DEPENDENCYPART_ARC
(5,16),-1.03929 # DEPENDENCYPART_ARC
(5,17),-4.50702 # DEPENDENCYPART_ARC
(5,18),-2.19159 # DEPENDENCYPART_ARC
(5,19),-0.69437 # DEPENDENCYPART_ARC
(5,20),-3.09119 # DEPENDENCYPART_ARC
(5,21),-1.43632 # DEPENDENCYPART_ARC
(5,22),-3.08564 # DEPENDENCYPART_ARC
(5,23),-3.39815 # DEPENDENCYPART_ARC
(5,24),-3.55501 # DEPENDENCYPART_ARC
(5,25),-2.58541 # DEPENDENCYPART_ARC
(5,26),-1.93186 # DEPENDENCYPART_ARC
(5,27),-3.87108 # DEPENDENCYPART_ARC
(5,28),1.44589 # DEPENDENCYPART_ARC
(6,1),1.97605 # DEPENDENCYPART_ARC
(6,2),1.13195 # DEPENDENCYPART_ARC
(6,3),2.73618 # DEPENDENCYPART_ARC
(6,4),4.63306 # DEPENDENCYPART_ARC
(6,5),6.88418 # DEPENDENCYPART_ARC
(6,7),4.3437 # DEPENDENCYPART_ARC
(6,8),-0.38369 # DEPENDENCYPART_ARC
(6,9),3.14504 # DEPENDENCYPART_ARC
(6,10),3.18208 # DEPENDENCYPART_ARC
(6,11),-1.37519 # DEPENDENCYPART_ARC
(6,12),2.43648 # DEPENDENCYPART_ARC
(6,13),1.0197 # DEPENDENCYPART_ARC
(6,14),-1.88609 # DEPENDENCYPART_ARC
(6,15),2.0705 # DEPENDENCYPART_ARC
(6,16),2.01429 # DEPENDENCYPART_ARC
(6,17),-1.63208 # DEPENDENCYPART_ARC
(6,18),1.49295 # DEPENDENCYPART_ARC
(6,19),2.68925 # DEPENDENCYPART_ARC
(6,20),-0.461476 # DEPENDENCYPART_ARC
(6,21),-0.773597 # DEPENDENCYPART_ARC
(6,22),0.0286181 # DEPENDENCYPART_ARC
(6,23),-1.51486 # DEPENDENCYPART_ARC
(6,24),-0.334171 # DEPENDENCYPART_ARC
(6,25),-0.465985 # DEPENDENCYPART_ARC
(6,26),2.06048 # DEPENDENCYPART_ARC
(6,27),-0.686122 # DEPENDENCYPART_ARC
(6,28),5.50426 # DEPENDENCYPART_ARC
(7,1),-1.73942 # DEPENDENCYPART_ARC
(7,2),-2.19139 # DEPENDENCYPART_ARC
(7,3),-1.38222 # DEPENDENCYPART_ARC
(7,4),-1.23359 # DEPENDENCYPART_ARC
(7,5),-0.691736 # DEPENDENCYPART_ARC
(7,6),-0.217436 # DEPENDENCYPART_ARC
(7,8),0.356793 # DEPENDENCYPART_ARC
(7,9),5.23824 # DEPENDENCYPART_ARC
(7,10),0.227994 # DEPENDENCYPART_ARC
(7,11),-0.92755 # DEPENDENCYPART_ARC
(7,12),1.44564 # DEPENDENCYPART_ARC
(7,13),-0.482076 # DEPENDENCYPART_ARC
(7,14),-1.97908 # DEPENDENCYPART_ARC
(7,15),-0.103085 # DEPENDENCYPART_ARC
(7,16),-0.228722 # DEPENDENCYPART_ARC
(7,17),-1.45385 # DEPENDENCYPART_ARC
(7,18),-2.51943 # DEPENDENCYPART_ARC
(7,19),-0.907548 # DEPENDENCYPART_ARC
(7,20),-3.61671 # DEPENDENCYPART_ARC
(7,21),0.371181 # DEPENDENCYPART_ARC
(7,22),-5.73068 # DEPENDENCYPART_ARC
(7,23),-2.42311 # DEPENDENCYPART_ARC
(7,24),-7.74857 # DEPENDENCYPART_ARC
(7,25),-1.86872 # DEPENDENCYPART_ARC
(7,26),-1.82022 # DEPENDENCYPART_ARC
(7,27),-10.6478 # DEPENDENCYPART_ARC
(7,28),0.229715 # DEPENDENCYPART_ARC
(8,1),-2.5991 # DEPENDENCYPART_ARC
(8,2),-3.78382 # DEPENDENCYPART_ARC
(8,3),-2.6271 # DEPENDENCYPART_ARC
(8,4),-2.4808 # DEPENDENCYPART_ARC
(8,5),-1.87396 # DEPENDENCYPART_ARC
(8,6),-2.07138 # DEPENDENCYPART_ARC
(8,7),-0.373759 # DEPENDENCYPART_ARC
(8,9),2.71921 # DEPENDENCYPART_ARC
(8,10),-0.390121 # DEPENDENCYPART_ARC
(8,11),0.645849 # DEPENDENCYPART_ARC
(8,12),-0.883033 # DEPENDENCYPART_ARC
(8,13),-1.00637 # DEPENDENCYPART_ARC
(8,14),-2.11848 # DEPENDENCYPART_ARC
(8,15),-3.12686 # DEPENDENCYPART_ARC
(8,16),-1.5479 # DEPENDENCYPART_ARC
(8,17),-3.05194 # DEPENDENCYPART_ARC
(8,18),-2.63854 # DEPENDENCYPART_ARC
(8,19),-2.95095 # DEPENDENCYPART_ARC
(8,20),-3.75947 # DEPENDENCYPART_ARC
(8,21),-2.655 # DEPENDENCYPART_ARC
(8,22),-4.02076 # DEPENDENCYPART_ARC
(8,23),-2.31949 # DEPENDENCYPART_ARC
(8,24),-4.2898 # DEPENDENCYPART_ARC
(8,25),-2.74937 # DEPENDENCYPART_ARC
(8,26),-2.86397 # DEPENDENCYPART_ARC
(8,27),-4.50581 # DEPENDENCYPART_ARC
(8,28),-3.05139 # DEPENDENCYPART_ARC
(9,1),-0.617683 # DEPENDENCYPART_ARC
(9,2),-3.24149 # DEPENDENCYPART_ARC
(9,3),-0.74684 # DEPENDENCYPART_ARC
(9,4),-0.674245 # DEPENDENCYPART_ARC
(9,5),0.506582 # DEPENDENCYPART_ARC
(9,6),-0.425853 # DEPENDENCYPART_ARC
(9,7),1.33716 # DEPENDENCYPART_ARC
(9,8),4.66635 # DEPENDENCYPART_ARC
(9,10),1.4174 # DEPENDENCYPART_ARC
(9,11),-1.15354 # DEPENDENCYPART_ARC
(9,12),0.632176 # DEPENDENCYPART_ARC
(9,13),1.78166 # DEPENDENCYPART_ARC
(9,14),-2.87979 # DEPENDENCYPART_ARC
(9,15),0.164278 # DEPENDENCYPART_ARC
(9,16),1.9976 # DEPENDENCYPART_ARC
(9,17),-3.07868 # DEPENDENCYPART_ARC
(9,18),0.879859 # DEPENDENCYPART_ARC
(9,19),0.710269 # DEPENDENCYPART_ARC
(9,20),-0.569505 # DEPENDENCYPART_ARC
(9,21),-0.443947 # DEPENDENCYPART_ARC
(9,22),1.28748 # DEPENDENCYPART_ARC
(9,23),-0.445096 # DEPENDENCYPART_ARC
(9,24),1.28001 # DEPENDENCYPART_ARC
(9,25),-0.700659 # DEPENDENCYPART_ARC
(9,26),1.1869 # DEPENDENCYPART_ARC
(9,27),-0.413072 # DEPENDENCYPART_ARC
(9,28),0.25737 # DEPENDENCYPART_ARC
(10,1),-1.45696 # DEPENDENCYPART_ARC
(10,2),-1.96349 # DEPENDENCYPART_ARC
(10,3),-1.43396 # DEPENDENCYPART_ARC
(10,4),-1.32025 # DEPENDENCYPART_ARC
(10,5),-0.823788 # DEPENDENCYPART_ARC
(10,6),-0.828165 # DEPENDENCYPART_ARC
(10,7),-0.323373 # DEPENDENCYPART_ARC
(10,8),0.594809 # DEPENDENCYPART_ARC
(10,9),-0.405231 # DEPENDENCYPART_ARC
(10,11),0.553138 # DEPENDENCYPART_ARC
(10,12),4.31803 # DEPENDENCYPART_ARC
(10,13),-0.609136 # DEPENDENCYPART_ARC
(10,14),-2.0393 # DEPENDENCYPART_ARC
(10,15),1.24391 # DEPENDENCYPART_ARC
(10,16),0.488188 # DEPENDENCYPART_ARC
(10,17),-1.89923 # DEPENDENCYPART_ARC
(10,18),-1.99191 # DEPENDENCYPART_ARC
(10,19),-0.234313 # DEPENDENCYPART_ARC
(10,20),-3.45795 # DEPENDENCYPART_ARC
(10,21),-0.636019 # DEPENDENCYPART_ARC
(10,22),-5.56936 # DEPENDENCYPART_ARC
(10,23),-2.29446 # DEPENDENCYPART_ARC
(10,24),-7.83813 # DEPENDENCYPART_ARC
(10,25),-1.87569 # DEPENDENCYPART_ARC
(10,26),-1.32082 # DEPENDENCYPART_ARC
(10,27),-11.0154 # DEPENDENCYPART_ARC
(10,28),-1.24266 # DEPENDENCYPART_ARC
(11,1),-2.34643 # DEPENDENCYPART_ARC
(11,2),-2.40473 # DEPENDENCYPART_ARC
(11,3),-2.05551 # DEPENDENCYPART_ARC
(11,4),-2.23795 # DEPENDENCYPART_ARC
(11,5),-1.61764 # DEPENDENCYPART_ARC
(11,6),-2.25176 # DEPENDENCYPART_ARC
(11,7),-1.01823 # DEPENDENCYPART_ARC
(11,8),-1.03151 # DEPENDENCYPART_ARC
(11,9),-1.52418 # DEPENDENCYPART_ARC
(11,10),0.305874 # DEPENDENCYPART_ARC
(11,12),2.40987 # DEPENDENCYPART_ARC
(11,13),-0.0498241 # DEPENDENCYPART_ARC
(11,14),0.761549 # DEPENDENCYPART_ARC
(11,15),-1.10418 # DEPENDENCYPART_ARC
(11,16),-1.07211 # DEPENDENCYPART_ARC
(11,17),-0.978849 # DEPENDENCYPART_ARC
(11,18),-1.22564 # DEPENDENCYPART_ARC
(11,19),-2.93738 # DEPENDENCYPART_ARC
(11,20),-3.31734 # DEPENDENCYPART_ARC
(11,21),-2.59175 # DEPENDENCYPART_ARC
(11,22),-3.5855 # DEPENDENCYPART_ARC
(11,23),-2.4116 # DEPENDENCYPART_ARC
(11,24),-3.81218 # DEPENDENCYPART_ARC
(11,25),-2.83159 # DEPENDENCYPART_ARC
(11,26),-2.6315 # DEPENDENCYPART_ARC
(11,27),-3.8892 # DEPENDENCYPART_ARC
(11,28),-3.04241 # DEPENDENCYPART_ARC
(12,1),-1.65759 # DEPENDENCYPART_ARC
(12,2),-2.44185 # DEPENDENCYPART_ARC
(12,3),-1.52539 # DEPENDENCYPART_ARC
(12,4),-1.62864 # DEPENDENCYPART_ARC
(12,5),-1.47301 # DEPENDENCYPART_ARC
(12,6),-1.3436 # DEPENDENCYPART_ARC
(12,7),0.00640628 # DEPENDENCYPART_ARC
(12,8),0.138251 # DEPENDENCYPART_ARC
(12,9),-1.37559 # DEPENDENCYPART_ARC
(12,10),0.978635 # DEPENDENCYPART_ARC
(12,11),4.62223 # DEPENDENCYPART_ARC
(12,13),3.11477 # DEPENDENCYPART_ARC
(12,14),-0.741563 # DEPENDENCYPART_ARC
(12,15),1.52903 # DEPENDENCYPART_ARC
(12,16),2.31679 # DEPENDENCYPART_ARC
(12,17),-1.44855 # DEPENDENCYPART_ARC
(12,18),1.98147 # DEPENDENCYPART_ARC
(12,19),2.29 # DEPENDENCYPART_ARC
(12,20),0.72497 # DEPENDENCYPART_ARC
(12,21),0.585637 # DEPENDENCYPART_ARC
(12,22),2.56233 # DEPENDENCYPART_ARC
(12,23),0.614355 # DEPENDENCYPART_ARC
(12,24),2.66344 # DEPENDENCYPART_ARC
(12,25),0.682021 # DEPENDENCYPART_ARC
(12,26),1.61108 # DEPENDENCYPART_ARC
(12,27),1.28954 # DEPENDENCYPART_ARC
(12,28),1.93254 # DEPENDENCYPART_ARC
(13,1),-1.82543 # DEPENDENCYPART_ARC
(13,2),-2.44696 # DEPENDENCYPART_ARC
(13,3),-1.89564 # DEPENDENCYPART_ARC
(13,4),-1.55455 # DEPENDENCYPART_ARC
(13,5),-1.47351 # DEPENDENCYPART_ARC
(13,6),-1.6633 # DEPENDENCYPART_ARC
(13,7),-1.19695 # DEPENDENCYPART_ARC
(13,8),-0.686421 # DEPENDENCYPART_ARC
(13,9),-1.90731 # DEPENDENCYPART_ARC
(13,10),-0.571571 # DEPENDENCYPART_ARC
(13,11),0.41677 # DEPENDENCYPART_ARC
(13,12),-0.254472 # DEPENDENCYPART_ARC
(13,14),0.0713885 # DEPENDENCYPART_ARC
(13,15),4.42206 # DEPENDENCYPART_ARC
(13,16),0.734271 # DEPENDENCYPART_ARC
(13,17),-1.25874 # DEPENDENCYPART_ARC
(13,18),0.299686 # DEPENDENCYPART_ARC
(13,19),-1.49488 # DEPENDENCYPART_ARC
(13,20),-1.89404 # DEPENDENCYPART_ARC
(13,21),-0.170793 # DEPENDENCYPART_ARC
(13,22),-3.67771 # DEPENDENCYPART_ARC
(13,23),-1.6323 # DEPENDENCYPART_ARC
(13,24),-5.51325 # DEPENDENCYPART_ARC
(13,25),-1.13024 # DEPENDENCYPART_ARC
(13,26),-0.3159 # DEPENDENCYPART_ARC
(13,27),-8.35116 # DEPENDENCYPART_ARC
(13,28),-0.397801 # DEPENDENCYPART_ARC
(14,1),-2.59818 # DEPENDENCYPART_ARC
(14,2),-2.95206 # DEPENDENCYPART_ARC
(14,3),-1.95938 # DEPENDENCYPART_ARC
(14,4),-2.00942 # DEPENDENCYPART_ARC
(14,5),-2.69976 # DEPENDENCYPART_ARC
(14,6),-2.24127 # DEPENDENCYPART_ARC
(14,7),-1.59812 # DEPENDENCYPART_ARC
(14,8),-1.83209 # DEPENDENCYPART_ARC
(14,9),-2.01799 # DEPENDENCYPART_ARC
(14,10),-1.17351 # DEPENDENCYPART_ARC
(14,11),-1.09085 # DEPENDENCYPART_ARC
(14,12),-0.879092 # DEPENDENCYPART_ARC
(14,13),0.539289 # DEPENDENCYPART_ARC
(14,15),1.18001 # DEPENDENCYPART_ARC
(14,16),-0.752942 # DEPENDENCYPART_ARC
(14,17),0.596759 # DEPENDENCYPART_ARC
(14,18),-0.559578 # DEPENDENCYPART_ARC
(14,19),-2.11361 # DEPENDENCYPART_ARC
(14,20),-3.31834 # DEPENDENCYPART_ARC
(14,21),-2.859 # DEPENDENCYPART_ARC
(14,22),-3.68783 # DEPENDENCYPART_ARC
(14,23),-2.64519 # DEPENDENCYPART_ARC
(14,24),-3.9403 # DEPENDENCYPART_ARC
(14,25),-3.27355 # DEPENDENCYPART_ARC
(14,26),-3.55063 # DEPENDENCYPART_ARC
(14,27),-4.20073 # DEPENDENCYPART_ARC
(14,28),-3.49643 # DEPENDENCYPART_ARC
(15,1),-2.02395 # DEPENDENCYPART_ARC
(15,2),-3.59672 # DEPENDENCYPART_ARC
(15,3),-2.28269 # DEPENDENCYPART_ARC
(15,4),-2.02716 # DEPENDENCYPART_ARC
(15,5),-1.89033 # DEPENDENCYPART_ARC
(15,6),-1.44494 # DEPENDENCYPART_ARC
(15,7),-1.23201 # DEPENDENCYPART_ARC
(15,8),-2.07788 # DEPENDENCYPART_ARC
(15,9),-1.83157 # DEPENDENCYPART_ARC
(15,10),-0.530527 # DEPENDENCYPART_ARC
(15,11),0.965559 # DEPENDENCYPART_ARC
(15,12),-1.07827 # DEPENDENCYPART_ARC
(15,13),0.793149 # DEPENDENCYPART_ARC
(15,14),4.78169 # DEPENDENCYPART_ARC
(15,16),3.01867 # DEPENDENCYPART_ARC
(15,17),0.416527 # DEPENDENCYPART_ARC
(15,18),2.48313 # DEPENDENCYPART_ARC
(15,19),2.05177 # DEPENDENCYPART_ARC
(15,20),1.46215 # DEPENDENCYPART_ARC
(15,21),1.1407 # DEPENDENCYPART_ARC
(15,22),2.07256 # DEPENDENCYPART_ARC
(15,23),0.72543 # DEPENDENCYPART_ARC
(15,24),2.27023 # DEPENDENCYPART_ARC
(15,25),0.818111 # DEPENDENCYPART_ARC
(15,26),2.97688 # DEPENDENCYPART_ARC
(15,27),2.02777 # DEPENDENCYPART_ARC
(15,28),1.76833 # DEPENDENCYPART_ARC
(16,1),-3.23785 # DEPENDENCYPART_ARC
(16,2),-3.74965 # DEPENDENCYPART_ARC
(16,3),-3.27441 # DEPENDENCYPART_ARC
(16,4),-3.24321 # DEPENDENCYPART_ARC
(16,5),-3.60574 # DEPENDENCYPART_ARC
(16,6),-3.32284 # DEPENDENCYPART_ARC
(16,7),-2.45641 # DEPENDENCYPART_ARC
(16,8),-3.17775 # DEPENDENCYPART_ARC
(16,9),-3.27504 # DEPENDENCYPART_ARC
(16,10),-2.12741 # DEPENDENCYPART_ARC
(16,11),-2.50619 # DEPENDENCYPART_ARC
(16,12),-2.84027 # DEPENDENCYPART_ARC
(16,13),-1.48545 # DEPENDENCYPART_ARC
(16,14),-1.18261 # DEPENDENCYPART_ARC
(16,15),-1.28066 # DEPENDENCYPART_ARC
(16,17),-2.18158 # DEPENDENCYPART_ARC
(16,18),-1.35372 # DEPENDENCYPART_ARC
(16,19),-1.68862 # DEPENDENCYPART_ARC
(16,20),-2.1848 # DEPENDENCYPART_ARC
(16,21),-1.81476 # DEPENDENCYPART_ARC
(16,22),-3.23977 # DEPENDENCYPART_ARC
(16,23),-1.97731 # DEPENDENCYPART_ARC
(16,24),-3.75366 # DEPENDENCYPART_ARC
(16,25),-2.14033 # DEPENDENCYPART_ARC
(16,26),-1.84365 # DEPENDENCYPART_ARC
(16,27),-4.08539 # DEPENDENCYPART_ARC
(16,28),-1.91468 # DEPENDENCYPART_ARC
(17,1),-3.37543 # DEPENDENCYPART_ARC
(17,2),-3.30131 # DEPENDENCYPART_ARC
(17,3),-2.33812 # DEPENDENCYPART_ARC
(17,4),-2.45118 # DEPENDENCYPART_ARC
(17,5),-3.31617 # DEPENDENCYPART_ARC
(17,6),-2.97163 # DEPENDENCYPART_ARC
(17,7),-1.81944 # DEPENDENCYPART_ARC
(17,8),-2.08212 # DEPENDENCYPART_ARC
(17,9),-2.69586 # DEPENDENCYPART_ARC
(17,10),-1.82443 # DEPENDENCYPART_ARC
(17,11),-2.12937 # DEPENDENCYPART_ARC
(17,12),-2.20307 # DEPENDENCYPART_ARC
(17,13),-0.994885 # DEPENDENCYPART_ARC
(17,14),0.408099 # DEPENDENCYPART_ARC
(17,15),-1.15205 # DEPENDENCYPART_ARC
(17,16),0.118465 # DEPENDENCYPART_ARC
(17,18),1.39444 # DEPENDENCYPART_ARC
(17,19),-0.0641672 # DEPENDENCYPART_ARC
(17,20),-2.01461 # DEPENDENCYPART_ARC
(17,21),-2.0651 # DEPENDENCYPART_ARC
(17,22),-2.5611 # DEPENDENCYPART_ARC
(17,23),-2.23345 # DEPENDENCYPART_ARC
(17,24),-3.46717 # DEPENDENCYPART_ARC
(17,25),-2.82566 # DEPENDENCYPART_ARC
(17,26),-2.95591 # DEPENDENCYPART_ARC
(17,27),-3.6393 # DEPENDENCYPART_ARC
(17,28),-3.02044 # DEPENDENCYPART_ARC
(18,1),-1.80378 # DEPENDENCYPART_ARC
(18,2),-3.19905 # DEPENDENCYPART_ARC
(18,3),-1.81941 # DEPENDENCYPART_ARC
(18,4),-1.6237 # DEPENDENCYPART_ARC
(18,5),-1.07148 # DEPENDENCYPART_ARC
(18,6),-0.593817 # DEPENDENCYPART_ARC
(18,7),-1.25941 # DEPENDENCYPART_ARC
(18,8),-2.19937 # DEPENDENCYPART_ARC
(18,9),-1.73601 # DEPENDENCYPART_ARC
(18,10),-0.76079 # DEPENDENCYPART_ARC
(18,11),-0.384357 # DEPENDENCYPART_ARC
(18,12),-1.28534 # DEPENDENCYPART_ARC
(18,13),-0.100815 # DEPENDENCYPART_ARC
(18,14),2.62681 # DEPENDENCYPART_ARC
(18,15),-0.0938141 # DEPENDENCYPART_ARC
(18,16),0.941936 # DEPENDENCYPART_ARC
(18,17),5.32946 # DEPENDENCYPART_ARC
(18,19),2.79009 # DEPENDENCYPART_ARC
(18,20),1.0427 # DEPENDENCYPART_ARC
