# _root_ " Si parla així , és només per intentar fer_front a les enormes pressions internacionals de què és objecte " , va assegurar el ministre palestí Hassan_Asfur .
#goldHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,19,16,14,18,6,6,23,0,25,23,25,25,23,
#predictedHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,14,16,14,18,6,6,23,0,25,23,25,25,6,
(5,3),-1.76048 # DEPENDENCYPART_ARC
(5,4),-0.99314 # DEPENDENCYPART_ARC
(5,6),-1.41693 # DEPENDENCYPART_ARC
(5,7),-2.80645 # DEPENDENCYPART_ARC
(5,8),-2.90925 # DEPENDENCYPART_ARC
(5,9),-2.66474 # DEPENDENCYPART_ARC
(5,10),-2.87358 # DEPENDENCYPART_ARC
(5,11),-3.20223 # DEPENDENCYPART_ARC
(5,12),-3.73087 # DEPENDENCYPART_ARC
(5,13),-3.33378 # DEPENDENCYPART_ARC
(5,14),-3.36991 # DEPENDENCYPART_ARC
(5,15),-3.36824 # DEPENDENCYPART_ARC
(5,16),-3.42402 # DEPENDENCYPART_ARC
(5,17),-3.60261 # DEPENDENCYPART_ARC
(5,18),-3.15808 # DEPENDENCYPART_ARC
(5,19),-3.50802 # DEPENDENCYPART_ARC
(5,20),-2.86745 # DEPENDENCYPART_ARC
(5,21),-3.40073 # DEPENDENCYPART_ARC
(5,22),-3.23159 # DEPENDENCYPART_ARC
(5,23),-3.34764 # DEPENDENCYPART_ARC
(5,24),-4.11057 # DEPENDENCYPART_ARC
(5,25),-3.65158 # DEPENDENCYPART_ARC
(5,26),-3.75836 # DEPENDENCYPART_ARC
(5,27),-3.73376 # DEPENDENCYPART_ARC
(5,28),-3.71676 # DEPENDENCYPART_ARC
(6,1),3.70675 # DEPENDENCYPART_ARC
(6,2),1.75493 # DEPENDENCYPART_ARC
(6,3),2.76132 # DEPENDENCYPART_ARC
(6,4),1.72605 # DEPENDENCYPART_ARC
(6,5),1.65606 # DEPENDENCYPART_ARC
(6,7),2.54548 # DEPENDENCYPART_ARC
(6,8),2.51489 # DEPENDENCYPART_ARC
(6,9),1.73027 # DEPENDENCYPART_ARC
(6,10),1.77224 # DEPENDENCYPART_ARC
(6,11),0.996689 # DEPENDENCYPART_ARC
(6,12),-2.84313 # DEPENDENCYPART_ARC
(6,13),-0.435223 # DEPENDENCYPART_ARC
(6,14),0.821553 # DEPENDENCYPART_ARC
(6,15),-0.0540556 # DEPENDENCYPART_ARC
(6,16),-1.23118 # DEPENDENCYPART_ARC
(6,17),-0.983241 # DEPENDENCYPART_ARC
(6,18),1.52205 # DEPENDENCYPART_ARC
(6,19),0.463637 # DEPENDENCYPART_ARC
(6,20),3.75709 # DEPENDENCYPART_ARC
(6,21),2.3393 # DEPENDENCYPART_ARC
(6,22),-0.954912 # DEPENDENCYPART_ARC
(6,23),-0.149986 # DEPENDENCYPART_ARC
(6,24),-3.6385 # DEPENDENCYPART_ARC
(6,25),-0.381039 # DEPENDENCYPART_ARC
(6,26),-1.34969 # DEPENDENCYPART_ARC
(6,27),0.0367962 # DEPENDENCYPART_ARC
(6,28),4.26187 # DEPENDENCYPART_ARC
(7,1),-2.43292 # DEPENDENCYPART_ARC
(7,2),-1.6724 # DEPENDENCYPART_ARC
(7,3),-2.1997 # DEPENDENCYPART_ARC
(7,4),-1.64186 # DEPENDENCYPART_ARC
(7,5),-0.576005 # DEPENDENCYPART_ARC
(7,6),-0.308797 # DEPENDENCYPART_ARC
(7,8),0.338322 # DEPENDENCYPART_ARC
(7,9),0.788485 # DEPENDENCYPART_ARC
(7,10),-0.43721 # DEPENDENCYPART_ARC
(7,11),-1.19263 # DEPENDENCYPART_ARC
(7,12),-1.0601 # DEPENDENCYPART_ARC
(7,13),-0.924643 # DEPENDENCYPART_ARC
(7,14),-1.0505 # DEPENDENCYPART_ARC
(7,15),-1.12182 # DEPENDENCYPART_ARC
(7,16),-1.85011 # DEPENDENCYPART_ARC
(7,17),-1.20662 # DEPENDENCYPART_ARC
(7,18),-1.83807 # DEPENDENCYPART_ARC
(7,19),-1.08016 # DEPENDENCYPART_ARC
(7,20),-0.734301 # DEPENDENCYPART_ARC
(7,21),-0.813745 # DEPENDENCYPART_ARC
(7,22),-2.16271 # DEPENDENCYPART_ARC
(7,23),-2.54485 # DEPENDENCYPART_ARC
(7,24),-1.44187 # DEPENDENCYPART_ARC
(7,25),-1.77444 # DEPENDENCYPART_ARC
(7,26),-1.3937 # DEPENDENCYPART_ARC
(7,27),-1.45404 # DEPENDENCYPART_ARC
(7,28),-1.00023 # DEPENDENCYPART_ARC
(8,1),-0.799089 # DEPENDENCYPART_ARC
(8,2),-0.103846 # DEPENDENCYPART_ARC
(8,3),-0.169987 # DEPENDENCYPART_ARC
(8,4),-0.677855 # DEPENDENCYPART_ARC
(8,5),0.12063 # DEPENDENCYPART_ARC
(8,6),1.12266 # DEPENDENCYPART_ARC
(8,7),1.85236 # DEPENDENCYPART_ARC
(8,9),4.13085 # DEPENDENCYPART_ARC
(8,10),3.27071 # DEPENDENCYPART_ARC
(8,11),0.577407 # DEPENDENCYPART_ARC
(8,12),-1.69943 # DEPENDENCYPART_ARC
(8,13),-0.321412 # DEPENDENCYPART_ARC
(8,14),0.544403 # DEPENDENCYPART_ARC
(8,15),-0.856203 # DEPENDENCYPART_ARC
(8,16),-1.43416 # DEPENDENCYPART_ARC
(8,17),-0.249369 # DEPENDENCYPART_ARC
(8,18),-0.588918 # DEPENDENCYPART_ARC
(8,19),-2.85981 # DEPENDENCYPART_ARC
(8,20),1.20476 # DEPENDENCYPART_ARC
(8,21),0.0205959 # DEPENDENCYPART_ARC
(8,22),-3.38029 # DEPENDENCYPART_ARC
(8,23),-1.80882 # DEPENDENCYPART_ARC
(8,24),-2.33211 # DEPENDENCYPART_ARC
(8,25),-6.38012 # DEPENDENCYPART_ARC
(8,26),-3.33942 # DEPENDENCYPART_ARC
(8,27),-8.06175 # DEPENDENCYPART_ARC
(8,28),0.570629 # DEPENDENCYPART_ARC
(9,1),0.274067 # DEPENDENCYPART_ARC
(9,2),-1.79366 # DEPENDENCYPART_ARC
(9,3),-0.488687 # DEPENDENCYPART_ARC
(9,4),-1.31101 # DEPENDENCYPART_ARC
(9,5),-2.70582 # DEPENDENCYPART_ARC
(9,6),-0.232008 # DEPENDENCYPART_ARC
(9,7),-0.477628 # DEPENDENCYPART_ARC
(9,8),0.0335596 # DEPENDENCYPART_ARC
(9,10),4.23186 # DEPENDENCYPART_ARC
(9,11),2.29341 # DEPENDENCYPART_ARC
(9,12),-1.47454 # DEPENDENCYPART_ARC
(9,13),-0.145163 # DEPENDENCYPART_ARC
(9,14),1.27894 # DEPENDENCYPART_ARC
(9,15),0.0500926 # DEPENDENCYPART_ARC
(9,16),-0.568648 # DEPENDENCYPART_ARC
(9,17),-0.478616 # DEPENDENCYPART_ARC
(9,18),1.19769 # DEPENDENCYPART_ARC
(9,19),0.0616402 # DEPENDENCYPART_ARC
(9,20),1.23861 # DEPENDENCYPART_ARC
(9,21),0.93193 # DEPENDENCYPART_ARC
(9,22),-0.87265 # DEPENDENCYPART_ARC
(9,23),-0.241967 # DEPENDENCYPART_ARC
(9,24),-2.9365 # DEPENDENCYPART_ARC
(9,25),-1.06331 # DEPENDENCYPART_ARC
(9,26),-1.39005 # DEPENDENCYPART_ARC
(9,27),-1.40899 # DEPENDENCYPART_ARC
(9,28),2.08224 # DEPENDENCYPART_ARC
(10,1),1.37143 # DEPENDENCYPART_ARC
(10,2),-1.01149 # DEPENDENCYPART_ARC
(10,3),-0.775403 # DEPENDENCYPART_ARC
(10,4),-1.27083 # DEPENDENCYPART_ARC
(10,5),-2.34363 # DEPENDENCYPART_ARC
(10,6),-0.563203 # DEPENDENCYPART_ARC
(10,7),-0.786565 # DEPENDENCYPART_ARC
(10,8),-0.42691 # DEPENDENCYPART_ARC
(10,9),1.9879 # DEPENDENCYPART_ARC
(10,11),3.90122 # DEPENDENCYPART_ARC
(10,12),-0.588796 # DEPENDENCYPART_ARC
(10,13),0.584376 # DEPENDENCYPART_ARC
(10,14),2.17112 # DEPENDENCYPART_ARC
(10,15),1.13619 # DEPENDENCYPART_ARC
(10,16),-0.496318 # DEPENDENCYPART_ARC
(10,17),-0.471783 # DEPENDENCYPART_ARC
(10,18),1.34473 # DEPENDENCYPART_ARC
(10,19),0.660856 # DEPENDENCYPART_ARC
(10,20),1.86537 # DEPENDENCYPART_ARC
(10,21),1.84192 # DEPENDENCYPART_ARC
(10,22),-0.473948 # DEPENDENCYPART_ARC
(10,23),0.340279 # DEPENDENCYPART_ARC
(10,24),-3.15378 # DEPENDENCYPART_ARC
(10,25),-0.633013 # DEPENDENCYPART_ARC
(10,26),-1.21621 # DEPENDENCYPART_ARC
(10,27),-0.976028 # DEPENDENCYPART_ARC
(10,28),3.09528 # DEPENDENCYPART_ARC
(11,1),-2.69551 # DEPENDENCYPART_ARC
(11,2),-1.3197 # DEPENDENCYPART_ARC
(11,3),-1.62188 # DEPENDENCYPART_ARC
(11,4),-2.08659 # DEPENDENCYPART_ARC
(11,5),-1.87925 # DEPENDENCYPART_ARC
(11,6),-1.23257 # DEPENDENCYPART_ARC
(11,7),-0.790835 # DEPENDENCYPART_ARC
(11,8),-0.587884 # DEPENDENCYPART_ARC
(11,9),-0.790726 # DEPENDENCYPART_ARC
(11,10),-0.197492 # DEPENDENCYPART_ARC
(11,12),0.247478 # DEPENDENCYPART_ARC
(11,13),2.29067 # DEPENDENCYPART_ARC
(11,14),4.08324 # DEPENDENCYPART_ARC
(11,15),0.894534 # DEPENDENCYPART_ARC
(11,16),-0.614317 # DEPENDENCYPART_ARC
(11,17),1.50685 # DEPENDENCYPART_ARC
(11,18),0.452742 # DEPENDENCYPART_ARC
(11,19),-1.64932 # DEPENDENCYPART_ARC
(11,20),0.561862 # DEPENDENCYPART_ARC
(11,21),-0.232032 # DEPENDENCYPART_ARC
(11,22),-2.17953 # DEPENDENCYPART_ARC
(11,23),-2.28904 # DEPENDENCYPART_ARC
(11,24),-2.36144 # DEPENDENCYPART_ARC
(11,25),-5.32757 # DEPENDENCYPART_ARC
(11,26),-2.82007 # DEPENDENCYPART_ARC
(11,27),-7.17765 # DEPENDENCYPART_ARC
(11,28),-0.662157 # DEPENDENCYPART_ARC
(12,1),-2.45533 # DEPENDENCYPART_ARC
(12,2),-2.49536 # DEPENDENCYPART_ARC
(12,3),-1.98793 # DEPENDENCYPART_ARC
(12,4),-2.49145 # DEPENDENCYPART_ARC
(12,5),-2.40469 # DEPENDENCYPART_ARC
(12,6),-1.59895 # DEPENDENCYPART_ARC
(12,7),-1.78782 # DEPENDENCYPART_ARC
(12,8),-1.62748 # DEPENDENCYPART_ARC
(12,9),-1.99567 # DEPENDENCYPART_ARC
(12,10),-1.24757 # DEPENDENCYPART_ARC
(12,11),-0.474112 # DEPENDENCYPART_ARC
(12,13),1.44564 # DEPENDENCYPART_ARC
(12,14),0.368934 # DEPENDENCYPART_ARC
(12,15),-0.235962 # DEPENDENCYPART_ARC
(12,16),-0.876334 # DEPENDENCYPART_ARC
(12,17),-1.47332 # DEPENDENCYPART_ARC
(12,18),-1.8762 # DEPENDENCYPART_ARC
(12,19),-3.27374 # DEPENDENCYPART_ARC
(12,20),-1.60194 # DEPENDENCYPART_ARC
(12,21),-1.80187 # DEPENDENCYPART_ARC
(12,22),-2.60462 # DEPENDENCYPART_ARC
(12,23),-1.97873 # DEPENDENCYPART_ARC
(12,24),-4.63239 # DEPENDENCYPART_ARC
(12,25),-3.78494 # DEPENDENCYPART_ARC
(12,26),-4.43276 # DEPENDENCYPART_ARC
(12,27),-3.59151 # DEPENDENCYPART_ARC
(12,28),-2.37297 # DEPENDENCYPART_ARC
(13,1),-2.57807 # DEPENDENCYPART_ARC
(13,2),-2.29298 # DEPENDENCYPART_ARC
(13,3),-2.91711 # DEPENDENCYPART_ARC
(13,4),-1.97336 # DEPENDENCYPART_ARC
(13,5),-2.33345 # DEPENDENCYPART_ARC
(13,6),-2.61067 # DEPENDENCYPART_ARC
(13,7),-1.4975 # DEPENDENCYPART_ARC
(13,8),-0.652831 # DEPENDENCYPART_ARC
(13,9),-2.33713 # DEPENDENCYPART_ARC
(13,10),-1.91982 # DEPENDENCYPART_ARC
(13,11),0.48023 # DEPENDENCYPART_ARC
(13,12),2.57707 # DEPENDENCYPART_ARC
(13,14),1.49721 # DEPENDENCYPART_ARC
(13,15),1.4746 # DEPENDENCYPART_ARC
(13,16),-0.776452 # DEPENDENCYPART_ARC
(13,17),-1.68209 # DEPENDENCYPART_ARC
(13,18),0.35284 # DEPENDENCYPART_ARC
(13,19),-0.889947 # DEPENDENCYPART_ARC
(13,20),-0.484182 # DEPENDENCYPART_ARC
(13,21),-0.765638 # DEPENDENCYPART_ARC
(13,22),-1.59946 # DEPENDENCYPART_ARC
(13,23),-1.32952 # DEPENDENCYPART_ARC
(13,24),-3.59876 # DEPENDENCYPART_ARC
(13,25),-2.06348 # DEPENDENCYPART_ARC
(13,26),-2.71779 # DEPENDENCYPART_ARC
(13,27),-1.50127 # DEPENDENCYPART_ARC
(13,28),-1.58127 # DEPENDENCYPART_ARC
(14,1),-2.03595 # DEPENDENCYPART_ARC
(14,2),-0.784991 # DEPENDENCYPART_ARC
(14,3),-1.43375 # DEPENDENCYPART_ARC
(14,4),-1.10592 # DEPENDENCYPART_ARC
(14,5),-0.824688 # DEPENDENCYPART_ARC
(14,6),-0.591069 # DEPENDENCYPART_ARC
(14,7),-0.285274 # DEPENDENCYPART_ARC
(14,8),-0.932349 # DEPENDENCYPART_ARC
(14,9),-1.21217 # DEPENDENCYPART_ARC
(14,10),-0.786464 # DEPENDENCYPART_ARC
(14,11),0.482438 # DEPENDENCYPART_ARC
(14,12),5.06271 # DEPENDENCYPART_ARC
(14,13),5.62032 # DEPENDENCYPART_ARC
(14,15),4.51088 # DEPENDENCYPART_ARC
(14,16),2.17056 # DEPENDENCYPART_ARC
(14,17),-0.231609 # DEPENDENCYPART_ARC
(14,18),2.34468 # DEPENDENCYPART_ARC
(14,19),-0.273482 # DEPENDENCYPART_ARC
(14,20),1.10066 # DEPENDENCYPART_ARC
(14,21),-0.303454 # DEPENDENCYPART_ARC
(14,22),-0.750055 # DEPENDENCYPART_ARC
(14,23),0.160751 # DEPENDENCYPART_ARC
(14,24),-2.50784 # DEPENDENCYPART_ARC
(14,25),-1.69103 # DEPENDENCYPART_ARC
(14,26),-2.58361 # DEPENDENCYPART_ARC
(14,27),-0.3082 # DEPENDENCYPART_ARC
(14,28),0.418526 # DEPENDENCYPART_ARC
(15,1),-2.13276 # DEPENDENCYPART_ARC
(15,2),-1.91161 # DEPENDENCYPART_ARC
(15,3),-2.68199 # DEPENDENCYPART_ARC
(15,4),-2.18197 # DEPENDENCYPART_ARC
(15,5),-1.96783 # DEPENDENCYPART_ARC
(15,6),-2.32381 # DEPENDENCYPART_ARC
(15,7),-1.61275 # DEPENDENCYPART_ARC
(15,8),-0.893975 # DEPENDENCYPART_ARC
(15,9),-2.40806 # DEPENDENCYPART_ARC
(15,10),-1.90175 # DEPENDENCYPART_ARC
(15,11),0.510041 # DEPENDENCYPART_ARC
(15,12),1.43482 # DEPENDENCYPART_ARC
(15,13),-0.41234 # DEPENDENCYPART_ARC
(15,14),0.959789 # DEPENDENCYPART_ARC
(15,16),0.777579 # DEPENDENCYPART_ARC
(15,17),-0.704743 # DEPENDENCYPART_ARC
(15,18),0.433107 # DEPENDENCYPART_ARC
(15,19),-0.505506 # DEPENDENCYPART_ARC
(15,20),-0.32972 # DEPENDENCYPART_ARC
(15,21),-0.431268 # DEPENDENCYPART_ARC
(15,22),-1.74184 # DEPENDENCYPART_ARC
(15,23),-1.70756 # DEPENDENCYPART_ARC
(15,24),-3.27852 # DEPENDENCYPART_ARC
(15,25),-1.86789 # DEPENDENCYPART_ARC
(15,26),-2.81357 # DEPENDENCYPART_ARC
(15,27),-1.47699 # DEPENDENCYPART_ARC
(15,28),-1.37002 # DEPENDENCYPART_ARC
(16,1),-2.90925 # DEPENDENCYPART_ARC
(16,2),-1.99906 # DEPENDENCYPART_ARC
(16,3),-2.3933 # DEPENDENCYPART_ARC
(16,4),-2.39648 # DEPENDENCYPART_ARC
(16,5),-2.9555 # DEPENDENCYPART_ARC
(16,6),-2.18216 # DEPENDENCYPART_ARC
(16,7),-1.72099 # DEPENDENCYPART_ARC
(16,8),-2.22703 # DEPENDENCYPART_ARC
(16,9),-2.37744 # DEPENDENCYPART_ARC
(16,10),-2.23613 # DEPENDENCYPART_ARC
(16,11),-1.76647 # DEPENDENCYPART_ARC
(16,12),-0.40845 # DEPENDENCYPART_ARC
(16,13),-1.73259 # DEPENDENCYPART_ARC
(16,14),-1.16723 # DEPENDENCYPART_ARC
(16,15),-0.474939 # DEPENDENCYPART_ARC
(16,17),4.57002 # DEPENDENCYPART_ARC
(16,18),2.23229 # DEPENDENCYPART_ARC
(16,19),-0.795465 # DEPENDENCYPART_ARC
(16,20),-1.25901 # DEPENDENCYPART_ARC
(16,21),-1.02482 # DEPENDENCYPART_ARC
(16,22),-1.73654 # DEPENDENCYPART_ARC
(16,23),-1.63461 # DEPENDENCYPART_ARC
(16,24),-3.35816 # DEPENDENCYPART_ARC
(16,25),-4.98291 # DEPENDENCYPART_ARC
(16,26),-3.20044 # DEPENDENCYPART_ARC
(16,27),-6.49008 # DEPENDENCYPART_ARC
(16,28),-2.09112 # DEPENDENCYPART_ARC
(17,1),-1.72454 # DEPENDENCYPART_ARC
(17,2),-1.78836 # DEPENDENCYPART_ARC
(17,3),-1.69332 # DEPENDENCYPART_ARC
(17,4),-1.9686 # DEPENDENCYPART_ARC
(17,5),-1.93617 # DEPENDENCYPART_ARC
(17,6),-1.5169 # DEPENDENCYPART_ARC
(17,7),-1.46957 # DEPENDENCYPART_ARC
(17,8),-0.992167 # DEPENDENCYPART_ARC
(17,9),-2.10448 # DEPENDENCYPART_ARC
(17,10),-1.84997 # DEPENDENCYPART_ARC
(17,11),-0.487904 # DEPENDENCYPART_ARC
(17,12),-0.685694 # DEPENDENCYPART_ARC
(17,13),-1.68117 # DEPENDENCYPART_ARC
(17,14),-1.68083 # DEPENDENCYPART_ARC
(17,15),-0.783061 # DEPENDENCYPART_ARC
(17,16),1.13322 # DEPENDENCYPART_ARC
(17,18),0.0398257 # DEPENDENCYPART_ARC
(17,19),-1.94408 # DEPENDENCYPART_ARC
(17,20),-1.46523 # DEPENDENCYPART_ARC
(17,21),-1.85108 # DEPENDENCYPART_ARC
(17,22),-1.8943 # DEPENDENCYPART_ARC
(17,23),-2.7135 # DEPENDENCYPART_ARC
(17,24),-3.1083 # DEPENDENCYPART_ARC
(17,25),-3.45482 # DEPENDENCYPART_ARC
(17,26),-2.88282 # DEPENDENCYPART_ARC
(17,27),-2.33489 # DEPENDENCYPART_ARC
(17,28),-1.71591 # DEPENDENCYPART_ARC
(18,1),3.19647 # DEPENDENCYPART_ARC
(18,2),-0.447994 # DEPENDENCYPART_ARC
(18,3),1.67845 # DEPENDENCYPART_ARC
(18,4),-0.00591459 # DEPENDENCYPART_ARC
(18,5),-1.98676 # DEPENDENCYPART_ARC
(18,6),1.28381 # DEPENDENCYPART_ARC
(18,7),-0.820066 # DEPENDENCYPART_ARC
(18,8),-0.421631 # DEPENDENCYPART_ARC
(18,9),1.00151 # DEPENDENCYPART_ARC
(18,10),0.647097 # DEPENDENCYPART_ARC
(18,11),1.09608 # DEPENDENCYPART_ARC
(18,12),-0.731519 # DEPENDENCYPART_ARC
(18,13),0.426737 # DEPENDENCYPART_ARC
(18,14),0.466808 # DEPENDENCYPART_ARC
(18,15),0.729589 # DEPENDENCYPART_ARC
(18,16),1.82944 # DEPENDENCYPART_ARC
(18,17),3.20467 # DEPENDENCYPART_ARC
(18,19),4.09224 # DEPENDENCYPART_ARC
(18,20),2.39413 # DEPENDENCYPART_ARC
(18,21),2.25075 # DEPENDENCYPART_ARC
(18,22),0.775209 # DEPENDENCYPART_ARC
