# _root_ Empúries ha editat en català els tres números anteriors , que portaven per títol ' Harry_Potter_i_la_pedra_filosofal ' , ' Harry_Potter_i_la_cambra_secreta ' i ' Harry_Potter_i_el_presoner_d'_Azkaban ' .
#goldHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,12,16,16,20,16,20,16,24,16,24,3,
#predictedHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,14,16,12,20,14,20,16,24,14,24,3,
(9,25),-3.8542 # DEPENDENCYPART_ARC
(9,26),-3.36267 # DEPENDENCYPART_ARC
(10,5),-1.77925 # DEPENDENCYPART_ARC
(10,8),-0.914332 # DEPENDENCYPART_ARC
(10,9),0.480521 # DEPENDENCYPART_ARC
(10,14),-0.746649 # DEPENDENCYPART_ARC
(10,18),-0.426933 # DEPENDENCYPART_ARC
(11,3),-3.26686 # DEPENDENCYPART_ARC
(11,4),-1.89985 # DEPENDENCYPART_ARC
(11,5),-3.51524 # DEPENDENCYPART_ARC
(11,6),-3.5474 # DEPENDENCYPART_ARC
(11,8),-2.82906 # DEPENDENCYPART_ARC
(11,9),-1.37433 # DEPENDENCYPART_ARC
(11,12),0.999787 # DEPENDENCYPART_ARC
(11,13),-0.648731 # DEPENDENCYPART_ARC
(11,14),-1.81098 # DEPENDENCYPART_ARC
(12,1),-0.137775 # DEPENDENCYPART_ARC
(12,2),0.69666 # DEPENDENCYPART_ARC
(12,3),-1.11946 # DEPENDENCYPART_ARC
(12,4),0.614778 # DEPENDENCYPART_ARC
(12,5),-0.881094 # DEPENDENCYPART_ARC
(12,6),-0.635817 # DEPENDENCYPART_ARC
(12,8),1.41487 # DEPENDENCYPART_ARC
(12,9),0.425145 # DEPENDENCYPART_ARC
(12,10),1.64341 # DEPENDENCYPART_ARC
(12,11),5.0905 # DEPENDENCYPART_ARC
(12,13),4.13882 # DEPENDENCYPART_ARC
(12,14),2.34894 # DEPENDENCYPART_ARC
(12,15),0.999697 # DEPENDENCYPART_ARC
(12,16),1.04975 # DEPENDENCYPART_ARC
(12,17),0.651034 # DEPENDENCYPART_ARC
(12,18),1.16701 # DEPENDENCYPART_ARC
(12,19),-0.978569 # DEPENDENCYPART_ARC
(12,20),-0.579424 # DEPENDENCYPART_ARC
(12,21),-1.38137 # DEPENDENCYPART_ARC
(12,22),1.15377 # DEPENDENCYPART_ARC
(12,23),-3.42206 # DEPENDENCYPART_ARC
(12,24),-1.65347 # DEPENDENCYPART_ARC
(12,25),-2.94232 # DEPENDENCYPART_ARC
(12,26),1.35227 # DEPENDENCYPART_ARC
(13,1),-3.37911 # DEPENDENCYPART_ARC
(13,2),-2.56597 # DEPENDENCYPART_ARC
(13,3),-3.58221 # DEPENDENCYPART_ARC
(13,4),-2.0242 # DEPENDENCYPART_ARC
(13,5),-2.54399 # DEPENDENCYPART_ARC
(13,6),-1.76345 # DEPENDENCYPART_ARC
(13,7),-1.97265 # DEPENDENCYPART_ARC
(13,8),-2.48315 # DEPENDENCYPART_ARC
(13,9),-1.67977 # DEPENDENCYPART_ARC
(13,10),-1.24966 # DEPENDENCYPART_ARC
(13,11),-1.05153 # DEPENDENCYPART_ARC
(13,12),0.393949 # DEPENDENCYPART_ARC
(13,14),5.04545 # DEPENDENCYPART_ARC
(13,15),-0.0281659 # DEPENDENCYPART_ARC
(13,16),0.0471078 # DEPENDENCYPART_ARC
(13,17),-0.780308 # DEPENDENCYPART_ARC
(13,18),-0.417122 # DEPENDENCYPART_ARC
(13,19),-2.68568 # DEPENDENCYPART_ARC
(13,20),-3.95801 # DEPENDENCYPART_ARC
(13,21),-3.4953 # DEPENDENCYPART_ARC
(13,22),0.108505 # DEPENDENCYPART_ARC
(13,23),-4.68612 # DEPENDENCYPART_ARC
(13,24),-7.012 # DEPENDENCYPART_ARC
(13,25),-5.20174 # DEPENDENCYPART_ARC
(13,26),-1.52239 # DEPENDENCYPART_ARC
(14,1),-5.49627 # DEPENDENCYPART_ARC
(14,2),-5.8796 # DEPENDENCYPART_ARC
(14,3),-6.38326 # DEPENDENCYPART_ARC
(14,4),-4.19012 # DEPENDENCYPART_ARC
(14,5),-4.4017 # DEPENDENCYPART_ARC
(14,6),-5.97735 # DEPENDENCYPART_ARC
(14,7),-6.10559 # DEPENDENCYPART_ARC
(14,8),-5.21327 # DEPENDENCYPART_ARC
(14,9),-4.21218 # DEPENDENCYPART_ARC
(14,10),-3.58807 # DEPENDENCYPART_ARC
(14,11),-2.86788 # DEPENDENCYPART_ARC
(14,12),-4.06871 # DEPENDENCYPART_ARC
(14,13),-1.52907 # DEPENDENCYPART_ARC
(14,15),2.3202 # DEPENDENCYPART_ARC
(14,16),1.9583 # DEPENDENCYPART_ARC
(14,17),0.143893 # DEPENDENCYPART_ARC
(14,18),-0.153684 # DEPENDENCYPART_ARC
(14,19),0.543142 # DEPENDENCYPART_ARC
(14,20),1.4278 # DEPENDENCYPART_ARC
(14,21),-1.27012 # DEPENDENCYPART_ARC
(14,22),1.10979 # DEPENDENCYPART_ARC
(14,23),-0.503615 # DEPENDENCYPART_ARC
(14,24),1.77898 # DEPENDENCYPART_ARC
(14,25),-2.29065 # DEPENDENCYPART_ARC
(14,26),-0.348637 # DEPENDENCYPART_ARC
(16,1),-1.95766 # DEPENDENCYPART_ARC
(16,2),-2.91372 # DEPENDENCYPART_ARC
(16,3),-2.14601 # DEPENDENCYPART_ARC
(16,4),-0.993135 # DEPENDENCYPART_ARC
(16,5),-0.671003 # DEPENDENCYPART_ARC
(16,6),-2.47799 # DEPENDENCYPART_ARC
(16,7),-3.03561 # DEPENDENCYPART_ARC
(16,8),-1.3063 # DEPENDENCYPART_ARC
(16,9),-1.46554 # DEPENDENCYPART_ARC
(16,10),-0.549309 # DEPENDENCYPART_ARC
(16,11),-0.107932 # DEPENDENCYPART_ARC
(16,12),-1.1224 # DEPENDENCYPART_ARC
(16,13),0.636789 # DEPENDENCYPART_ARC
(16,14),1.8905 # DEPENDENCYPART_ARC
(16,15),4.17107 # DEPENDENCYPART_ARC
(16,17),3.31834 # DEPENDENCYPART_ARC
(16,18),0.974468 # DEPENDENCYPART_ARC
(16,19),0.978837 # DEPENDENCYPART_ARC
(16,20),0.789902 # DEPENDENCYPART_ARC
(16,21),0.227205 # DEPENDENCYPART_ARC
(16,22),1.99669 # DEPENDENCYPART_ARC
(16,23),-0.162806 # DEPENDENCYPART_ARC
(16,24),0.797379 # DEPENDENCYPART_ARC
(16,25),-0.456321 # DEPENDENCYPART_ARC
(16,26),0.0163065 # DEPENDENCYPART_ARC
(18,5),-2.69758 # DEPENDENCYPART_ARC
(18,8),-2.46761 # DEPENDENCYPART_ARC
(18,9),-1.97075 # DEPENDENCYPART_ARC
(18,10),-1.18268 # DEPENDENCYPART_ARC
(18,14),-1.82342 # DEPENDENCYPART_ARC
(20,1),-2.22782 # DEPENDENCYPART_ARC
(20,2),-3.43659 # DEPENDENCYPART_ARC
(20,3),-2.52864 # DEPENDENCYPART_ARC
(20,4),-1.29975 # DEPENDENCYPART_ARC
(20,5),-0.83813 # DEPENDENCYPART_ARC
(20,6),-4.25842 # DEPENDENCYPART_ARC
(20,7),-4.68081 # DEPENDENCYPART_ARC
(20,8),-1.73324 # DEPENDENCYPART_ARC
(20,9),-1.8561 # DEPENDENCYPART_ARC
(20,10),-0.896005 # DEPENDENCYPART_ARC
(20,11),-1.26012 # DEPENDENCYPART_ARC
(20,12),-1.8506 # DEPENDENCYPART_ARC
(20,13),-0.0935827 # DEPENDENCYPART_ARC
(20,14),0.478735 # DEPENDENCYPART_ARC
(20,15),0.700559 # DEPENDENCYPART_ARC
(20,16),-0.253371 # DEPENDENCYPART_ARC
(20,17),1.28192 # DEPENDENCYPART_ARC
(20,18),0.899403 # DEPENDENCYPART_ARC
(20,19),3.4312 # DEPENDENCYPART_ARC
(20,21),3.66083 # DEPENDENCYPART_ARC
(20,22),1.92996 # DEPENDENCYPART_ARC
(20,23),1.17497 # DEPENDENCYPART_ARC
(20,24),1.07686 # DEPENDENCYPART_ARC
(20,25),0.677338 # DEPENDENCYPART_ARC
(20,26),0.518542 # DEPENDENCYPART_ARC
(22,1),-4.04176 # DEPENDENCYPART_ARC
(22,10),-2.63198 # DEPENDENCYPART_ARC
(22,16),-2.69861 # DEPENDENCYPART_ARC
(22,18),-1.70759 # DEPENDENCYPART_ARC
(22,20),-1.53031 # DEPENDENCYPART_ARC
(22,24),0.144657 # DEPENDENCYPART_ARC
(24,1),-2.48777 # DEPENDENCYPART_ARC
(24,2),-3.20613 # DEPENDENCYPART_ARC
(24,3),-2.3137 # DEPENDENCYPART_ARC
(24,4),-1.5135 # DEPENDENCYPART_ARC
(24,5),-1.00858 # DEPENDENCYPART_ARC
(24,6),-5.46549 # DEPENDENCYPART_ARC
(24,7),-5.72615 # DEPENDENCYPART_ARC
(24,8),-1.84057 # DEPENDENCYPART_ARC
(24,9),-1.50163 # DEPENDENCYPART_ARC
(24,10),-1.30538 # DEPENDENCYPART_ARC
(24,11),-1.66121 # DEPENDENCYPART_ARC
(24,12),-1.71074 # DEPENDENCYPART_ARC
(24,13),-0.400098 # DEPENDENCYPART_ARC
(24,14),0.246793 # DEPENDENCYPART_ARC
(24,15),-0.388016 # DEPENDENCYPART_ARC
(24,16),-0.738423 # DEPENDENCYPART_ARC
(24,17),-0.0935809 # DEPENDENCYPART_ARC
(24,18),-0.330208 # DEPENDENCYPART_ARC
(24,19),0.374225 # DEPENDENCYPART_ARC
(24,20),-0.192287 # DEPENDENCYPART_ARC
(24,21),1.03819 # DEPENDENCYPART_ARC
(24,22),0.650772 # DEPENDENCYPART_ARC
(24,23),3.79271 # DEPENDENCYPART_ARC
(24,25),3.66018 # DEPENDENCYPART_ARC
(24,26),0.528536 # DEPENDENCYPART_ARC
(26,22),-1.00734 # DEPENDENCYPART_ARC
