# _root_ El príncep Haakon_de_Noruega i la_seva nòvia , Mette-Marit_Tjessem , van anunciar ahir que es casaran el 25_d'_agost vinent .
#goldHeads=2,11,2,2,6,2,8,6,8,11,0,11,15,15,11,17,15,17,11,
#predictedHeads=2,11,2,2,6,2,8,6,8,11,0,11,15,15,11,17,15,17,11,
(3,1),1.41583 # DEPENDENCYPART_ARC
(3,2),0.802786 # DEPENDENCYPART_ARC
(3,4),1.92231 # DEPENDENCYPART_ARC
(3,5),-0.232317 # DEPENDENCYPART_ARC
(3,6),1.76873 # DEPENDENCYPART_ARC
(3,7),0.85575 # DEPENDENCYPART_ARC
(3,8),1.76339 # DEPENDENCYPART_ARC
(3,9),0.254652 # DEPENDENCYPART_ARC
(3,10),-0.659205 # DEPENDENCYPART_ARC
(3,11),-0.978433 # DEPENDENCYPART_ARC
(3,12),-0.460531 # DEPENDENCYPART_ARC
(3,13),-2.47383 # DEPENDENCYPART_ARC
(3,15),-3.12643 # DEPENDENCYPART_ARC
(3,16),-2.35345 # DEPENDENCYPART_ARC
(3,17),-1.54149 # DEPENDENCYPART_ARC
(3,18),-1.83868 # DEPENDENCYPART_ARC
(3,19),1.51227 # DEPENDENCYPART_ARC
(4,3),-1.26039 # DEPENDENCYPART_ARC
(4,7),-1.0637 # DEPENDENCYPART_ARC
(4,8),-1.75991 # DEPENDENCYPART_ARC
(4,9),-1.39279 # DEPENDENCYPART_ARC
(5,12),-3.57741 # DEPENDENCYPART_ARC
(6,1),-1.23541 # DEPENDENCYPART_ARC
(6,2),-2.2144 # DEPENDENCYPART_ARC
(6,3),-1.62271 # DEPENDENCYPART_ARC
(6,4),-0.537994 # DEPENDENCYPART_ARC
(6,5),2.32233 # DEPENDENCYPART_ARC
(6,7),1.15432 # DEPENDENCYPART_ARC
(6,8),2.21339 # DEPENDENCYPART_ARC
(6,9),0.843863 # DEPENDENCYPART_ARC
(6,10),0.483606 # DEPENDENCYPART_ARC
(6,11),0.510547 # DEPENDENCYPART_ARC
(6,12),-0.187481 # DEPENDENCYPART_ARC
(6,13),-2.06218 # DEPENDENCYPART_ARC
(6,15),-1.14488 # DEPENDENCYPART_ARC
(6,16),-2.04589 # DEPENDENCYPART_ARC
(6,17),-1.4382 # DEPENDENCYPART_ARC
(6,18),-1.09697 # DEPENDENCYPART_ARC
(6,19),1.51696 # DEPENDENCYPART_ARC
(7,2),-2.9625 # DEPENDENCYPART_ARC
(7,6),-1.57669 # DEPENDENCYPART_ARC
(7,9),-1.35344 # DEPENDENCYPART_ARC
(7,18),-2.58086 # DEPENDENCYPART_ARC
(8,1),-2.2099 # DEPENDENCYPART_ARC
(8,2),-1.17289 # DEPENDENCYPART_ARC
(8,3),-0.603528 # DEPENDENCYPART_ARC
(8,4),-0.0357361 # DEPENDENCYPART_ARC
(8,5),0.609214 # DEPENDENCYPART_ARC
(8,6),0.120862 # DEPENDENCYPART_ARC
(8,7),2.99903 # DEPENDENCYPART_ARC
(8,9),2.81128 # DEPENDENCYPART_ARC
(8,10),-0.0814711 # DEPENDENCYPART_ARC
(8,11),-0.176688 # DEPENDENCYPART_ARC
(8,12),-0.850882 # DEPENDENCYPART_ARC
(8,13),-2.77781 # DEPENDENCYPART_ARC
(8,15),-2.25346 # DEPENDENCYPART_ARC
(8,16),-2.62502 # DEPENDENCYPART_ARC
(8,17),-1.9531 # DEPENDENCYPART_ARC
(8,18),-1.5747 # DEPENDENCYPART_ARC
(8,19),0.951458 # DEPENDENCYPART_ARC
(9,2),-3.0723 # DEPENDENCYPART_ARC
(9,6),-2.72765 # DEPENDENCYPART_ARC
(9,7),-0.681899 # DEPENDENCYPART_ARC
(9,18),-2.51108 # DEPENDENCYPART_ARC
(10,1),-4.25091 # DEPENDENCYPART_ARC
(10,2),-2.4878 # DEPENDENCYPART_ARC
(10,3),-2.1522 # DEPENDENCYPART_ARC
(10,4),-2.43189 # DEPENDENCYPART_ARC
(10,6),-1.30854 # DEPENDENCYPART_ARC
(10,7),-2.50437 # DEPENDENCYPART_ARC
(10,8),-1.51038 # DEPENDENCYPART_ARC
(10,9),-1.69364 # DEPENDENCYPART_ARC
(10,11),0.566941 # DEPENDENCYPART_ARC
(10,12),-0.0546508 # DEPENDENCYPART_ARC
(10,13),-1.85796 # DEPENDENCYPART_ARC
(10,14),-2.73404 # DEPENDENCYPART_ARC
(10,15),-0.989323 # DEPENDENCYPART_ARC
(10,16),-5.76344 # DEPENDENCYPART_ARC
(10,17),-1.71182 # DEPENDENCYPART_ARC
(10,18),-2.95182 # DEPENDENCYPART_ARC
(10,19),2.72687 # DEPENDENCYPART_ARC
(11,1),-1.02097 # DEPENDENCYPART_ARC
(11,2),1.00326 # DEPENDENCYPART_ARC
(11,3),0.667942 # DEPENDENCYPART_ARC
(11,4),-0.37207 # DEPENDENCYPART_ARC
(11,6),1.54829 # DEPENDENCYPART_ARC
(11,7),-0.270825 # DEPENDENCYPART_ARC
(11,8),1.07717 # DEPENDENCYPART_ARC
(11,9),0.312369 # DEPENDENCYPART_ARC
(11,10),6.02867 # DEPENDENCYPART_ARC
(11,12),3.24721 # DEPENDENCYPART_ARC
(11,13),0.543993 # DEPENDENCYPART_ARC
(11,14),0.117427 # DEPENDENCYPART_ARC
(11,15),2.18778 # DEPENDENCYPART_ARC
(11,16),-2.59862 # DEPENDENCYPART_ARC
(11,17),0.485654 # DEPENDENCYPART_ARC
(11,18),0.132783 # DEPENDENCYPART_ARC
(11,19),4.90081 # DEPENDENCYPART_ARC
(12,1),-2.82755 # DEPENDENCYPART_ARC
(12,2),-2.8717 # DEPENDENCYPART_ARC
(12,3),-2.78544 # DEPENDENCYPART_ARC
(12,4),-1.76082 # DEPENDENCYPART_ARC
(12,6),-2.61969 # DEPENDENCYPART_ARC
(12,7),-1.51563 # DEPENDENCYPART_ARC
(12,8),-2.0997 # DEPENDENCYPART_ARC
(12,9),-0.975491 # DEPENDENCYPART_ARC
(12,10),-1.14343 # DEPENDENCYPART_ARC
(12,11),-0.235692 # DEPENDENCYPART_ARC
(12,13),0.107508 # DEPENDENCYPART_ARC
(12,15),0.99336 # DEPENDENCYPART_ARC
(12,16),-1.31042 # DEPENDENCYPART_ARC
(12,17),-0.792837 # DEPENDENCYPART_ARC
(12,18),-1.28365 # DEPENDENCYPART_ARC
(12,19),-0.249735 # DEPENDENCYPART_ARC
(13,2),-4.56658 # DEPENDENCYPART_ARC
(13,3),-4.39201 # DEPENDENCYPART_ARC
(13,4),-3.79682 # DEPENDENCYPART_ARC
(13,6),-4.43208 # DEPENDENCYPART_ARC
(13,7),-3.52944 # DEPENDENCYPART_ARC
(13,8),-4.17908 # DEPENDENCYPART_ARC
(13,9),-3.23171 # DEPENDENCYPART_ARC
(13,10),-3.65142 # DEPENDENCYPART_ARC
(13,11),-2.83534 # DEPENDENCYPART_ARC
(13,12),-1.6308 # DEPENDENCYPART_ARC
(13,15),-1.37501 # DEPENDENCYPART_ARC
(13,18),-3.27696 # DEPENDENCYPART_ARC
(13,19),-2.64456 # DEPENDENCYPART_ARC
(15,1),-3.45577 # DEPENDENCYPART_ARC
(15,2),-1.29195 # DEPENDENCYPART_ARC
(15,3),-1.5885 # DEPENDENCYPART_ARC
(15,4),-1.47817 # DEPENDENCYPART_ARC
(15,6),-1.19 # DEPENDENCYPART_ARC
(15,7),-1.44746 # DEPENDENCYPART_ARC
(15,8),-1.33377 # DEPENDENCYPART_ARC
(15,9),-0.723178 # DEPENDENCYPART_ARC
(15,10),2.80014 # DEPENDENCYPART_ARC
(15,11),-0.493903 # DEPENDENCYPART_ARC
(15,12),0.624649 # DEPENDENCYPART_ARC
(15,13),4.03725 # DEPENDENCYPART_ARC
(15,14),4.32041 # DEPENDENCYPART_ARC
(15,16),-1.4542 # DEPENDENCYPART_ARC
(15,17),2.6014 # DEPENDENCYPART_ARC
(15,18),0.358899 # DEPENDENCYPART_ARC
(15,19),2.5782 # DEPENDENCYPART_ARC
(16,1),-3.93529 # DEPENDENCYPART_ARC
(16,2),-4.01136 # DEPENDENCYPART_ARC
(16,3),-3.66926 # DEPENDENCYPART_ARC
(16,4),-3.09389 # DEPENDENCYPART_ARC
(16,5),-4.05925 # DEPENDENCYPART_ARC
(16,6),-3.5065 # DEPENDENCYPART_ARC
(16,8),-3.33232 # DEPENDENCYPART_ARC
(16,12),-2.2891 # DEPENDENCYPART_ARC
(16,17),0.746935 # DEPENDENCYPART_ARC
(16,18),-0.850617 # DEPENDENCYPART_ARC
(17,1),-1.85022 # DEPENDENCYPART_ARC
(17,2),-2.4623 # DEPENDENCYPART_ARC
(17,3),-2.41705 # DEPENDENCYPART_ARC
(17,4),-1.22638 # DEPENDENCYPART_ARC
(17,6),-2.47756 # DEPENDENCYPART_ARC
(17,7),-0.880633 # DEPENDENCYPART_ARC
(17,8),-2.1715 # DEPENDENCYPART_ARC
(17,9),-0.579036 # DEPENDENCYPART_ARC
(17,10),-1.75876 # DEPENDENCYPART_ARC
(17,11),-1.74088 # DEPENDENCYPART_ARC
(17,12),-0.226759 # DEPENDENCYPART_ARC
(17,13),0.467811 # DEPENDENCYPART_ARC
(17,15),0.0515386 # DEPENDENCYPART_ARC
(17,16),3.79633 # DEPENDENCYPART_ARC
(17,18),3.08705 # DEPENDENCYPART_ARC
(17,19),1.1035 # DEPENDENCYPART_ARC
(18,1),-2.72051 # DEPENDENCYPART_ARC
(18,2),-3.30522 # DEPENDENCYPART_ARC
(18,3),-2.92568 # DEPENDENCYPART_ARC
(18,4),-1.82142 # DEPENDENCYPART_ARC
(18,5),-3.19161 # DEPENDENCYPART_ARC
(18,6),-2.96872 # DEPENDENCYPART_ARC
(18,7),-2.79438 # DEPENDENCYPART_ARC
(18,8),-2.58105 # DEPENDENCYPART_ARC
(18,9),-2.22246 # DEPENDENCYPART_ARC
(18,10),-2.99633 # DEPENDENCYPART_ARC
(18,11),-2.64862 # DEPENDENCYPART_ARC
(18,12),-0.764435 # DEPENDENCYPART_ARC
(18,13),-0.446209 # DEPENDENCYPART_ARC
(18,15),-1.7223 # DEPENDENCYPART_ARC
(18,16),0.643328 # DEPENDENCYPART_ARC
(18,17),0.524166 # DEPENDENCYPART_ARC
(18,19),-0.684815 # DEPENDENCYPART_ARC
(19,4),-2.29165 # DEPENDENCYPART_ARC
(19,17),-1.24263 # DEPENDENCYPART_ARC
