# _root_ Mentrestant , a l' interior del que ha de ser el pou d' extracció més modern amb què compta Iberpotash , tot està a punt per a rebre la maquinària de tecnologia alemanya .
#goldHeads=23,3,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,3,23,0,23,24,23,26,27,30,28,30,31,32,23,
#predictedHeads=10,1,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,23,23,0,23,24,23,26,27,30,28,30,31,32,19,
(3,19),-2.13833 # DEPENDENCYPART_ARC
(3,20),-5.48196 # DEPENDENCYPART_ARC
(3,21),-0.288453 # DEPENDENCYPART_ARC
(3,22),-4.43189 # DEPENDENCYPART_ARC
(3,23),-2.93186 # DEPENDENCYPART_ARC
(3,24),-0.262219 # DEPENDENCYPART_ARC
(3,25),-8.61383 # DEPENDENCYPART_ARC
(3,26),-2.38931 # DEPENDENCYPART_ARC
(3,27),0.912505 # DEPENDENCYPART_ARC
(3,28),-2.81905 # DEPENDENCYPART_ARC
(3,29),-3.30681 # DEPENDENCYPART_ARC
(3,30),-9.15645 # DEPENDENCYPART_ARC
(3,31),-5.30886 # DEPENDENCYPART_ARC
(3,32),-10.3726 # DEPENDENCYPART_ARC
(3,33),-4.46575 # DEPENDENCYPART_ARC
(3,34),-0.0821359 # DEPENDENCYPART_ARC
(4,1),-1.24403 # DEPENDENCYPART_ARC
(4,3),0.0615173 # DEPENDENCYPART_ARC
(4,5),2.03466 # DEPENDENCYPART_ARC
(4,6),-1.39359 # DEPENDENCYPART_ARC
(4,7),-2.1194 # DEPENDENCYPART_ARC
(4,9),-2.60317 # DEPENDENCYPART_ARC
(4,11),-3.43601 # DEPENDENCYPART_ARC
(4,12),-2.481 # DEPENDENCYPART_ARC
(4,13),-3.35144 # DEPENDENCYPART_ARC
(4,14),-3.10902 # DEPENDENCYPART_ARC
(4,15),-2.55359 # DEPENDENCYPART_ARC
(4,16),-3.88437 # DEPENDENCYPART_ARC
(4,17),-4.97664 # DEPENDENCYPART_ARC
(4,18),-3.79958 # DEPENDENCYPART_ARC
(4,20),-4.45362 # DEPENDENCYPART_ARC
(4,22),-3.08065 # DEPENDENCYPART_ARC
(4,24),-5.63264 # DEPENDENCYPART_ARC
(4,25),-3.9306 # DEPENDENCYPART_ARC
(4,26),-6.20998 # DEPENDENCYPART_ARC
(4,27),-6.84211 # DEPENDENCYPART_ARC
(4,29),-7.70978 # DEPENDENCYPART_ARC
(4,30),-3.6365 # DEPENDENCYPART_ARC
(4,31),-6.33308 # DEPENDENCYPART_ARC
(4,32),-4.97874 # DEPENDENCYPART_ARC
(4,33),-4.4542 # DEPENDENCYPART_ARC
(5,1),-0.861661 # DEPENDENCYPART_ARC
(5,2),0.0218725 # DEPENDENCYPART_ARC
(5,3),0.886371 # DEPENDENCYPART_ARC
(5,4),3.91653 # DEPENDENCYPART_ARC
(5,6),1.65321 # DEPENDENCYPART_ARC
(5,7),-1.35678 # DEPENDENCYPART_ARC
(5,8),1.53657 # DEPENDENCYPART_ARC
(5,9),-0.0359581 # DEPENDENCYPART_ARC
(5,10),0.50549 # DEPENDENCYPART_ARC
(5,11),-2.18453 # DEPENDENCYPART_ARC
(5,12),-0.963399 # DEPENDENCYPART_ARC
(5,13),-0.255545 # DEPENDENCYPART_ARC
(5,14),-1.94856 # DEPENDENCYPART_ARC
(5,15),-0.560839 # DEPENDENCYPART_ARC
(5,16),-0.442646 # DEPENDENCYPART_ARC
(5,17),-0.772413 # DEPENDENCYPART_ARC
(5,18),-3.07546 # DEPENDENCYPART_ARC
(5,19),0.0339273 # DEPENDENCYPART_ARC
(5,20),-1.8892 # DEPENDENCYPART_ARC
(5,21),-1.45643 # DEPENDENCYPART_ARC
(5,22),-2.24177 # DEPENDENCYPART_ARC
(5,23),-1.10113 # DEPENDENCYPART_ARC
(5,24),-1.66016 # DEPENDENCYPART_ARC
(5,25),-3.12466 # DEPENDENCYPART_ARC
(5,26),-1.0323 # DEPENDENCYPART_ARC
(5,27),-2.32995 # DEPENDENCYPART_ARC
(5,28),-1.22523 # DEPENDENCYPART_ARC
(5,29),-4.67798 # DEPENDENCYPART_ARC
(5,30),-3.22754 # DEPENDENCYPART_ARC
(5,31),-5.64308 # DEPENDENCYPART_ARC
(5,32),-4.59485 # DEPENDENCYPART_ARC
(5,33),-2.87423 # DEPENDENCYPART_ARC
(5,34),1.13415 # DEPENDENCYPART_ARC
(6,1),-1.28297 # DEPENDENCYPART_ARC
(6,2),-0.72273 # DEPENDENCYPART_ARC
(6,3),-0.782633 # DEPENDENCYPART_ARC
(6,4),-0.140503 # DEPENDENCYPART_ARC
(6,5),-0.810561 # DEPENDENCYPART_ARC
(6,7),1.51966 # DEPENDENCYPART_ARC
(6,8),3.59857 # DEPENDENCYPART_ARC
(6,9),0.0761336 # DEPENDENCYPART_ARC
(6,10),3.48704 # DEPENDENCYPART_ARC
(6,11),-1.66452 # DEPENDENCYPART_ARC
(6,12),-0.194494 # DEPENDENCYPART_ARC
(6,13),-0.62261 # DEPENDENCYPART_ARC
(6,14),-2.48264 # DEPENDENCYPART_ARC
(6,15),-1.42745 # DEPENDENCYPART_ARC
(6,16),-1.83368 # DEPENDENCYPART_ARC
(6,17),-1.59103 # DEPENDENCYPART_ARC
(6,18),-3.1316 # DEPENDENCYPART_ARC
(6,19),-0.179555 # DEPENDENCYPART_ARC
(6,20),-4.71892 # DEPENDENCYPART_ARC
(6,21),-0.926043 # DEPENDENCYPART_ARC
(6,22),-3.05958 # DEPENDENCYPART_ARC
(6,23),-0.864428 # DEPENDENCYPART_ARC
(6,24),-2.38073 # DEPENDENCYPART_ARC
(6,25),-7.15942 # DEPENDENCYPART_ARC
(6,26),-1.99471 # DEPENDENCYPART_ARC
(6,27),-1.43103 # DEPENDENCYPART_ARC
(6,28),-0.689301 # DEPENDENCYPART_ARC
(6,29),-2.98859 # DEPENDENCYPART_ARC
(6,30),-9.1061 # DEPENDENCYPART_ARC
(6,31),-2.0555 # DEPENDENCYPART_ARC
(6,32),-10.434 # DEPENDENCYPART_ARC
(6,33),-4.57198 # DEPENDENCYPART_ARC
(6,34),0.831802 # DEPENDENCYPART_ARC
(7,3),-1.18726 # DEPENDENCYPART_ARC
(7,4),-2.15098 # DEPENDENCYPART_ARC
(7,5),-2.53628 # DEPENDENCYPART_ARC
(7,6),-0.747868 # DEPENDENCYPART_ARC
(7,9),-1.23323 # DEPENDENCYPART_ARC
(7,10),-1.47054 # DEPENDENCYPART_ARC
(7,11),-3.03042 # DEPENDENCYPART_ARC
(7,12),-3.1838 # DEPENDENCYPART_ARC
(7,13),-1.78473 # DEPENDENCYPART_ARC
(7,14),-3.20011 # DEPENDENCYPART_ARC
(7,16),-2.61451 # DEPENDENCYPART_ARC
(7,17),-2.0472 # DEPENDENCYPART_ARC
(7,19),-3.45915 # DEPENDENCYPART_ARC
(7,23),-3.74859 # DEPENDENCYPART_ARC
(7,24),-3.47081 # DEPENDENCYPART_ARC
(7,25),-4.46503 # DEPENDENCYPART_ARC
(7,26),-3.57418 # DEPENDENCYPART_ARC
(7,27),-3.77559 # DEPENDENCYPART_ARC
(7,28),-4.44593 # DEPENDENCYPART_ARC
(7,29),-4.74076 # DEPENDENCYPART_ARC
(7,30),-4.54661 # DEPENDENCYPART_ARC
(7,31),-3.84332 # DEPENDENCYPART_ARC
(7,32),-4.56969 # DEPENDENCYPART_ARC
(7,33),-3.18303 # DEPENDENCYPART_ARC
(8,1),-0.615779 # DEPENDENCYPART_ARC
(8,2),-1.09429 # DEPENDENCYPART_ARC
(8,3),-0.510389 # DEPENDENCYPART_ARC
(8,4),-2.5014 # DEPENDENCYPART_ARC
(8,5),-1.02036 # DEPENDENCYPART_ARC
(8,6),-0.743375 # DEPENDENCYPART_ARC
(8,7),1.62834 # DEPENDENCYPART_ARC
(8,9),0.941942 # DEPENDENCYPART_ARC
(8,10),-0.6762 # DEPENDENCYPART_ARC
(8,11),-4.26309 # DEPENDENCYPART_ARC
(8,12),0.388572 # DEPENDENCYPART_ARC
(8,13),-1.90211 # DEPENDENCYPART_ARC
(8,14),-1.78105 # DEPENDENCYPART_ARC
(8,15),-2.07864 # DEPENDENCYPART_ARC
(8,16),-2.30942 # DEPENDENCYPART_ARC
(8,17),-1.48695 # DEPENDENCYPART_ARC
(8,18),-3.42791 # DEPENDENCYPART_ARC
(8,19),-0.334205 # DEPENDENCYPART_ARC
(8,20),-1.06053 # DEPENDENCYPART_ARC
(8,21),-0.74586 # DEPENDENCYPART_ARC
(8,22),-2.53163 # DEPENDENCYPART_ARC
(8,23),-1.13431 # DEPENDENCYPART_ARC
(8,24),-1.7247 # DEPENDENCYPART_ARC
(8,25),-3.27168 # DEPENDENCYPART_ARC
(8,26),-3.00088 # DEPENDENCYPART_ARC
(8,27),-2.8836 # DEPENDENCYPART_ARC
(8,28),-2.26306 # DEPENDENCYPART_ARC
(8,29),-5.47001 # DEPENDENCYPART_ARC
(8,30),-1.98201 # DEPENDENCYPART_ARC
(8,31),-4.38298 # DEPENDENCYPART_ARC
(8,32),-3.29134 # DEPENDENCYPART_ARC
(8,33),-3.79823 # DEPENDENCYPART_ARC
(8,34),1.30173 # DEPENDENCYPART_ARC
(9,1),-2.56772 # DEPENDENCYPART_ARC
(9,2),-2.38779 # DEPENDENCYPART_ARC
(9,3),-2.49382 # DEPENDENCYPART_ARC
(9,4),-2.2157 # DEPENDENCYPART_ARC
(9,5),-2.80298 # DEPENDENCYPART_ARC
(9,6),-1.42806 # DEPENDENCYPART_ARC
(9,7),-1.43449 # DEPENDENCYPART_ARC
(9,8),-0.316804 # DEPENDENCYPART_ARC
(9,10),2.88084 # DEPENDENCYPART_ARC
(9,11),-1.25452 # DEPENDENCYPART_ARC
(9,12),0.529434 # DEPENDENCYPART_ARC
(9,13),-0.34155 # DEPENDENCYPART_ARC
(9,14),-0.70237 # DEPENDENCYPART_ARC
(9,15),-1.97511 # DEPENDENCYPART_ARC
(9,16),-1.25129 # DEPENDENCYPART_ARC
(9,17),-1.66765 # DEPENDENCYPART_ARC
(9,18),-1.47558 # DEPENDENCYPART_ARC
(9,19),-0.423233 # DEPENDENCYPART_ARC
(9,20),-4.26611 # DEPENDENCYPART_ARC
(9,21),-0.935746 # DEPENDENCYPART_ARC
(9,22),-4.44538 # DEPENDENCYPART_ARC
(9,23),-1.15111 # DEPENDENCYPART_ARC
(9,24),-2.52952 # DEPENDENCYPART_ARC
(9,25),-6.64574 # DEPENDENCYPART_ARC
(9,26),-2.79236 # DEPENDENCYPART_ARC
(9,27),-1.14385 # DEPENDENCYPART_ARC
(9,28),-1.26824 # DEPENDENCYPART_ARC
(9,29),-3.49616 # DEPENDENCYPART_ARC
(9,30),-7.63517 # DEPENDENCYPART_ARC
(9,31),-1.5737 # DEPENDENCYPART_ARC
(9,32),-8.59772 # DEPENDENCYPART_ARC
(9,33),-3.86123 # DEPENDENCYPART_ARC
(9,34),0.0115581 # DEPENDENCYPART_ARC
(10,1),1.14778 # DEPENDENCYPART_ARC
(10,2),1.03188 # DEPENDENCYPART_ARC
(10,3),2.07778 # DEPENDENCYPART_ARC
(10,4),-0.259401 # DEPENDENCYPART_ARC
(10,5),1.23137 # DEPENDENCYPART_ARC
(10,6),0.450403 # DEPENDENCYPART_ARC
(10,7),3.92235 # DEPENDENCYPART_ARC
(10,8),4.97746 # DEPENDENCYPART_ARC
(10,9),3.97937 # DEPENDENCYPART_ARC
(10,11),-0.981381 # DEPENDENCYPART_ARC
(10,12),3.58458 # DEPENDENCYPART_ARC
(10,13),0.992791 # DEPENDENCYPART_ARC
(10,14),1.47442 # DEPENDENCYPART_ARC
(10,15),0.0019544 # DEPENDENCYPART_ARC
(10,16),0.287852 # DEPENDENCYPART_ARC
(10,17),0.654807 # DEPENDENCYPART_ARC
(10,18),-0.66285 # DEPENDENCYPART_ARC
(10,19),1.49086 # DEPENDENCYPART_ARC
(10,20),0.249004 # DEPENDENCYPART_ARC
(10,21),0.5548 # DEPENDENCYPART_ARC
(10,22),-1.08211 # DEPENDENCYPART_ARC
(10,23),0.614007 # DEPENDENCYPART_ARC
(10,24),0.0020875 # DEPENDENCYPART_ARC
(10,25),-0.718895 # DEPENDENCYPART_ARC
(10,26),0.642722 # DEPENDENCYPART_ARC
(10,27),-0.726473 # DEPENDENCYPART_ARC
(10,28),-0.128961 # DEPENDENCYPART_ARC
(10,29),-3.82044 # DEPENDENCYPART_ARC
(10,30),-0.725283 # DEPENDENCYPART_ARC
(10,31),-2.57793 # DEPENDENCYPART_ARC
(10,32),-0.70455 # DEPENDENCYPART_ARC
(10,33),-2.14566 # DEPENDENCYPART_ARC
(10,34),3.45935 # DEPENDENCYPART_ARC
(11,1),-2.45404 # DEPENDENCYPART_ARC
(11,3),-2.4187 # DEPENDENCYPART_ARC
(11,4),-3.41836 # DEPENDENCYPART_ARC
(11,5),-2.48079 # DEPENDENCYPART_ARC
(11,6),-1.76188 # DEPENDENCYPART_ARC
(11,7),-2.57268 # DEPENDENCYPART_ARC
(11,9),-1.00956 # DEPENDENCYPART_ARC
(11,12),1.62782 # DEPENDENCYPART_ARC
(11,13),0.17036 # DEPENDENCYPART_ARC
(11,14),-1.67252 # DEPENDENCYPART_ARC
(11,15),-0.69884 # DEPENDENCYPART_ARC
(11,16),-1.73514 # DEPENDENCYPART_ARC
(11,17),-2.80131 # DEPENDENCYPART_ARC
(11,18),-3.5991 # DEPENDENCYPART_ARC
(11,20),-3.77417 # DEPENDENCYPART_ARC
(11,22),-2.52531 # DEPENDENCYPART_ARC
(11,24),-4.15359 # DEPENDENCYPART_ARC
(11,25),-3.41122 # DEPENDENCYPART_ARC
(11,26),-4.76857 # DEPENDENCYPART_ARC
(11,27),-5.28768 # DEPENDENCYPART_ARC
(11,29),-6.7871 # DEPENDENCYPART_ARC
(11,30),-3.77209 # DEPENDENCYPART_ARC
(11,31),-4.42377 # DEPENDENCYPART_ARC
(11,32),-4.7428 # DEPENDENCYPART_ARC
(11,33),-4.53685 # DEPENDENCYPART_ARC
(12,1),-2.25378 # DEPENDENCYPART_ARC
(12,2),-1.13357 # DEPENDENCYPART_ARC
(12,3),-0.66603 # DEPENDENCYPART_ARC
(12,4),-1.71556 # DEPENDENCYPART_ARC
(12,5),-1.98782 # DEPENDENCYPART_ARC
(12,6),-0.0956135 # DEPENDENCYPART_ARC
(12,7),-0.193182 # DEPENDENCYPART_ARC
(12,8),-1.32739 # DEPENDENCYPART_ARC
(12,9),0.00306092 # DEPENDENCYPART_ARC
(12,10),0.337785 # DEPENDENCYPART_ARC
(12,11),3.85593 # DEPENDENCYPART_ARC
(12,13),3.60727 # DEPENDENCYPART_ARC
(12,14),1.10682 # DEPENDENCYPART_ARC
(12,15),1.19855 # DEPENDENCYPART_ARC
(12,16),2.05748 # DEPENDENCYPART_ARC
(12,17),0.890177 # DEPENDENCYPART_ARC
(12,18),-1.12221 # DEPENDENCYPART_ARC
(12,19),2.76677 # DEPENDENCYPART_ARC
(12,20),-0.272153 # DEPENDENCYPART_ARC
(12,21),-0.347139 # DEPENDENCYPART_ARC
(12,22),-0.896172 # DEPENDENCYPART_ARC
(12,23),1.38261 # DEPENDENCYPART_ARC
(12,24),-0.358211 # DEPENDENCYPART_ARC
(12,25),-1.47757 # DEPENDENCYPART_ARC
(12,26),0.371367 # DEPENDENCYPART_ARC
(12,27),-0.749951 # DEPENDENCYPART_ARC
(12,28),0.786756 # DEPENDENCYPART_ARC
(12,29),-3.33914 # DEPENDENCYPART_ARC
(12,30),-1.21153 # DEPENDENCYPART_ARC
(12,31),-2.93751 # DEPENDENCYPART_ARC
(12,32),-2.38709 # DEPENDENCYPART_ARC
(12,33),-1.7863 # DEPENDENCYPART_ARC
(12,34),1.39207 # DEPENDENCYPART_ARC
(13,1),-2.42839 # DEPENDENCYPART_ARC
(13,2),-2.29614 # DEPENDENCYPART_ARC
(13,3),-2.78924 # DEPENDENCYPART_ARC
(13,4),-2.32643 # DEPENDENCYPART_ARC
(13,5),-2.3233 # DEPENDENCYPART_ARC
(13,6),-2.08525 # DEPENDENCYPART_ARC
(13,7),-2.01824 # DEPENDENCYPART_ARC
(13,8),-1.37854 # DEPENDENCYPART_ARC
(13,9),-1.62061 # DEPENDENCYPART_ARC
(13,10),-0.35252 # DEPENDENCYPART_ARC
(13,11),0.183963 # DEPENDENCYPART_ARC
(13,12),0.207817 # DEPENDENCYPART_ARC
(13,14),4.10292 # DEPENDENCYPART_ARC
(13,15),-0.366802 # DEPENDENCYPART_ARC
(13,16),-0.792592 # DEPENDENCYPART_ARC
(13,17),-1.43136 # DEPENDENCYPART_ARC
(13,18),0.273951 # DEPENDENCYPART_ARC
(13,19),-1.1622 # DEPENDENCYPART_ARC
(13,20),-2.39665 # DEPENDENCYPART_ARC
(13,21),-1.20403 # DEPENDENCYPART_ARC
(13,22),-3.50635 # DEPENDENCYPART_ARC
(13,23),-1.85325 # DEPENDENCYPART_ARC
(13,24),-1.63404 # DEPENDENCYPART_ARC
(13,25),-4.7987 # DEPENDENCYPART_ARC
(13,26),-2.79671 # DEPENDENCYPART_ARC
(13,27),-1.07617 # DEPENDENCYPART_ARC
(13,28),-2.16063 # DEPENDENCYPART_ARC
(13,29),-4.09392 # DEPENDENCYPART_ARC
(13,30),-5.11018 # DEPENDENCYPART_ARC
(13,31),-3.1802 # DEPENDENCYPART_ARC
(13,32),-5.71171 # DEPENDENCYPART_ARC
(13,33),-4.24538 # DEPENDENCYPART_ARC
(13,34),-1.10916 # DEPENDENCYPART_ARC
(14,1),-2.37769 # DEPENDENCYPART_ARC
(14,2),-1.78494 # DEPENDENCYPART_ARC
(14,3),-1.246 # DEPENDENCYPART_ARC
(14,4),-2.72602 # DEPENDENCYPART_ARC
(14,5),-2.12312 # DEPENDENCYPART_ARC
(14,6),-0.3982 # DEPENDENCYPART_ARC
(14,7),-0.58758 # DEPENDENCYPART_ARC
(14,8),-2.16728 # DEPENDENCYPART_ARC
(14,9),-0.818266 # DEPENDENCYPART_ARC
(14,10),-0.844012 # DEPENDENCYPART_ARC
(14,11),1.00068 # DEPENDENCYPART_ARC
(14,12),0.0135319 # DEPENDENCYPART_ARC
(14,13),1.71153 # DEPENDENCYPART_ARC
(14,15),1.03895 # DEPENDENCYPART_ARC
(14,16),0.880156 # DEPENDENCYPART_ARC
(14,17),1.18316 # DEPENDENCYPART_ARC
(14,18),-1.69341 # DEPENDENCYPART_ARC
(14,19),1.78769 # DEPENDENCYPART_ARC
(14,20),-0.70544 # DEPENDENCYPART_ARC
(14,21),-0.900246 # DEPENDENCYPART_ARC
(14,22),-2.19453 # DEPENDENCYPART_ARC
(14,23),0.615697 # DEPENDENCYPART_ARC
(14,24),-0.795084 # DEPENDENCYPART_ARC
(14,25),-1.68469 # DEPENDENCYPART_ARC
(14,26),-0.156095 # DEPENDENCYPART_ARC
(14,27),-1.37783 # DEPENDENCYPART_ARC
(14,28),-0.0871162 # DEPENDENCYPART_ARC
(14,29),-2.68982 # DEPENDENCYPART_ARC
(14,30),-2.29985 # DEPENDENCYPART_ARC
(14,31),-2.91957 # DEPENDENCYPART_ARC
(14,32),-2.16649 # DEPENDENCYPART_ARC
(14,33),0.213022 # DEPENDENCYPART_ARC
(14,34),0.626458 # DEPENDENCYPART_ARC
(15,1),-2.32326 # DEPENDENCYPART_ARC
(15,2),-1.75814 # DEPENDENCYPART_ARC
(15,3),-2.32148 # DEPENDENCYPART_ARC
(15,4),-2.88325 # DEPENDENCYPART_ARC
(15,5),-2.99902 # DEPENDENCYPART_ARC
(15,6),-2.19121 # DEPENDENCYPART_ARC
(15,8),-2.34049 # DEPENDENCYPART_ARC
(15,9),-1.78268 # DEPENDENCYPART_ARC
(15,10),-1.828 # DEPENDENCYPART_ARC
(15,11),-1.55336 # DEPENDENCYPART_ARC
(15,12),-1.51532 # DEPENDENCYPART_ARC
(15,13),-0.592827 # DEPENDENCYPART_ARC
(15,14),0.234895 # DEPENDENCYPART_ARC
(15,16),0.450681 # DEPENDENCYPART_ARC
(15,17),-1.21004 # DEPENDENCYPART_ARC
(15,19),-0.244396 # DEPENDENCYPART_ARC
(15,20),-1.0718 # DEPENDENCYPART_ARC
(15,21),-0.898992 # DEPENDENCYPART_ARC
(15,22),-1.64831 # DEPENDENCYPART_ARC
(15,23),-1.38855 # DEPENDENCYPART_ARC
(15,24),-2.66616 # DEPENDENCYPART_ARC
(15,25),-2.21067 # DEPENDENCYPART_ARC
(15,26),-3.23951 # DEPENDENCYPART_ARC
(15,27),-2.7472 # DEPENDENCYPART_ARC
(15,28),-2.61457 # DEPENDENCYPART_ARC
(15,29),-2.69195 # DEPENDENCYPART_ARC
(15,30),-2.42778 # DEPENDENCYPART_ARC
(15,31),-3.47655 # DEPENDENCYPART_ARC
(15,32),-2.24655 # DEPENDENCYPART_ARC
(15,33),-2.30165 # DEPENDENCYPART_ARC
(15,34),-3.23206 # DEPENDENCYPART_ARC
(16,1),-1.91317 # DEPENDENCYPART_ARC
(16,2),-1.22764 # DEPENDENCYPART_ARC
(16,3),-1.69374 # DEPENDENCYPART_ARC
(16,4),-1.02821 # DEPENDENCYPART_ARC
(16,5),-1.85436 # DEPENDENCYPART_ARC
(16,6),-0.84067 # DEPENDENCYPART_ARC
(16,7),-0.999015 # DEPENDENCYPART_ARC
(16,8),-1.5233 # DEPENDENCYPART_ARC
(16,9),-0.628618 # DEPENDENCYPART_ARC
(16,10),-1.44066 # DEPENDENCYPART_ARC
(16,11),0.843303 # DEPENDENCYPART_ARC
(16,12),-0.413017 # DEPENDENCYPART_ARC
(16,13),1.10599 # DEPENDENCYPART_ARC
(16,14),0.668365 # DEPENDENCYPART_ARC
(16,15),3.6251 # DEPENDENCYPART_ARC
(16,17),1.69826 # DEPENDENCYPART_ARC
(16,18),-0.932124 # DEPENDENCYPART_ARC
(16,19),1.41856 # DEPENDENCYPART_ARC
(16,20),0.19049 # DEPENDENCYPART_ARC
(16,21),0.199831 # DEPENDENCYPART_ARC
(16,22),-1.04764 # DEPENDENCYPART_ARC
(16,23),0.289729 # DEPENDENCYPART_ARC
(16,24),-1.71845 # DEPENDENCYPART_ARC
(16,25),-1.30062 # DEPENDENCYPART_ARC
(16,26),-2.20376 # DEPENDENCYPART_ARC
(16,27),-2.63006 # DEPENDENCYPART_ARC
(16,28),-0.923712 # DEPENDENCYPART_ARC
(16,29),-3.06975 # DEPENDENCYPART_ARC
(16,30),-1.77631 # DEPENDENCYPART_ARC
(16,31),-4.48213 # DEPENDENCYPART_ARC
(16,32),-1.65438 # DEPENDENCYPART_ARC
(16,33),-2.4922 # DEPENDENCYPART_ARC
(16,34),-0.879974 # DEPENDENCYPART_ARC
(17,1),-2.41861 # DEPENDENCYPART_ARC
(17,2),-2.53847 # DEPENDENCYPART_ARC
(17,3),-3.56406 # DEPENDENCYPART_ARC
