# _root_ Segons va explicar , les peces intervingudes tenen imatges d' inspiració mironiana , però " no reprodueixen dibuixos del pintor " .
#goldHeads=3,3,8,3,6,8,6,0,8,9,10,11,9,8,17,17,8,17,18,19,17,8,
#predictedHeads=3,3,0,3,6,3,6,6,8,9,10,11,8,8,17,17,8,17,18,19,17,3,
(2,3),1.11441 # DEPENDENCYPART_ARC
(2,4),-0.50727 # DEPENDENCYPART_ARC
(2,5),-4.12156 # DEPENDENCYPART_ARC
(2,6),-1.18064 # DEPENDENCYPART_ARC
(2,7),-1.0155 # DEPENDENCYPART_ARC
(2,8),-0.833629 # DEPENDENCYPART_ARC
(2,9),-1.8907 # DEPENDENCYPART_ARC
(2,10),-2.02981 # DEPENDENCYPART_ARC
(2,11),-2.39058 # DEPENDENCYPART_ARC
(2,12),-1.88955 # DEPENDENCYPART_ARC
(2,13),-0.638754 # DEPENDENCYPART_ARC
(2,14),0.0833515 # DEPENDENCYPART_ARC
(2,15),-2.18143 # DEPENDENCYPART_ARC
(2,16),-2.91663 # DEPENDENCYPART_ARC
(2,17),-1.56887 # DEPENDENCYPART_ARC
(2,18),-3.47815 # DEPENDENCYPART_ARC
(2,19),-4.4024 # DEPENDENCYPART_ARC
(2,20),-3.87296 # DEPENDENCYPART_ARC
(2,21),-2.21939 # DEPENDENCYPART_ARC
(2,22),-0.448153 # DEPENDENCYPART_ARC
(3,1),4.43406 # DEPENDENCYPART_ARC
(3,2),6.47881 # DEPENDENCYPART_ARC
(3,4),1.39534 # DEPENDENCYPART_ARC
(3,5),-0.708594 # DEPENDENCYPART_ARC
(3,6),2.28853 # DEPENDENCYPART_ARC
(3,7),1.59535 # DEPENDENCYPART_ARC
(3,8),1.77548 # DEPENDENCYPART_ARC
(3,9),1.33772 # DEPENDENCYPART_ARC
(3,10),-0.93969 # DEPENDENCYPART_ARC
(3,11),0.257668 # DEPENDENCYPART_ARC
(3,12),-0.272754 # DEPENDENCYPART_ARC
(3,13),0.301758 # DEPENDENCYPART_ARC
(3,14),1.482 # DEPENDENCYPART_ARC
(3,15),-1.0733 # DEPENDENCYPART_ARC
(3,16),-1.56226 # DEPENDENCYPART_ARC
(3,17),0.760083 # DEPENDENCYPART_ARC
(3,18),-0.258226 # DEPENDENCYPART_ARC
(3,19),-3.34705 # DEPENDENCYPART_ARC
(3,20),-1.29654 # DEPENDENCYPART_ARC
(3,21),0.206269 # DEPENDENCYPART_ARC
(3,22),4.20307 # DEPENDENCYPART_ARC
(4,1),-2.57951 # DEPENDENCYPART_ARC
(4,2),-2.64504 # DEPENDENCYPART_ARC
(4,3),-1.74754 # DEPENDENCYPART_ARC
(4,5),-1.38365 # DEPENDENCYPART_ARC
(4,6),-1.40119 # DEPENDENCYPART_ARC
(4,7),-1.76322 # DEPENDENCYPART_ARC
(4,8),-1.60742 # DEPENDENCYPART_ARC
(4,9),-2.39987 # DEPENDENCYPART_ARC
(4,10),-2.4451 # DEPENDENCYPART_ARC
(4,11),-2.59931 # DEPENDENCYPART_ARC
(4,12),-2.59873 # DEPENDENCYPART_ARC
(4,13),-2.43969 # DEPENDENCYPART_ARC
(4,14),-1.5977 # DEPENDENCYPART_ARC
(4,15),-1.86891 # DEPENDENCYPART_ARC
(4,16),-2.56952 # DEPENDENCYPART_ARC
(4,17),-2.19228 # DEPENDENCYPART_ARC
(4,18),-2.61253 # DEPENDENCYPART_ARC
(4,19),-2.58059 # DEPENDENCYPART_ARC
(4,20),-2.78618 # DEPENDENCYPART_ARC
(4,21),-2.2573 # DEPENDENCYPART_ARC
(4,22),-2.53572 # DEPENDENCYPART_ARC
(5,1),-1.92787 # DEPENDENCYPART_ARC
(5,2),-1.20702 # DEPENDENCYPART_ARC
(5,3),-1.39224 # DEPENDENCYPART_ARC
(5,4),-0.29815 # DEPENDENCYPART_ARC
(5,6),-0.256644 # DEPENDENCYPART_ARC
(5,7),-0.643841 # DEPENDENCYPART_ARC
(5,8),-1.25263 # DEPENDENCYPART_ARC
(5,9),-2.05923 # DEPENDENCYPART_ARC
(5,10),-2.16674 # DEPENDENCYPART_ARC
(5,11),-3.76112 # DEPENDENCYPART_ARC
(5,12),-4.01075 # DEPENDENCYPART_ARC
(5,13),-2.99351 # DEPENDENCYPART_ARC
(5,14),-2.54151 # DEPENDENCYPART_ARC
(5,15),-2.45161 # DEPENDENCYPART_ARC
(5,16),-3.00144 # DEPENDENCYPART_ARC
(5,17),-2.90274 # DEPENDENCYPART_ARC
(5,18),-3.97454 # DEPENDENCYPART_ARC
(5,19),-4.54552 # DEPENDENCYPART_ARC
(5,20),-5.12991 # DEPENDENCYPART_ARC
(5,21),-3.17932 # DEPENDENCYPART_ARC
(5,22),-3.18534 # DEPENDENCYPART_ARC
(6,1),-0.899042 # DEPENDENCYPART_ARC
(6,2),-0.997391 # DEPENDENCYPART_ARC
(6,3),-1.40451 # DEPENDENCYPART_ARC
(6,4),1.30656 # DEPENDENCYPART_ARC
(6,5),5.02888 # DEPENDENCYPART_ARC
(6,7),5.40565 # DEPENDENCYPART_ARC
(6,8),2.45926 # DEPENDENCYPART_ARC
(6,9),0.668467 # DEPENDENCYPART_ARC
(6,10),0.881115 # DEPENDENCYPART_ARC
(6,11),-0.518148 # DEPENDENCYPART_ARC
(6,12),-0.290216 # DEPENDENCYPART_ARC
(6,13),-0.11505 # DEPENDENCYPART_ARC
(6,14),-0.221956 # DEPENDENCYPART_ARC
(6,15),-0.101573 # DEPENDENCYPART_ARC
(6,16),-1.12895 # DEPENDENCYPART_ARC
(6,17),-0.466752 # DEPENDENCYPART_ARC
(6,18),-0.228742 # DEPENDENCYPART_ARC
(6,19),-1.28407 # DEPENDENCYPART_ARC
(6,20),-0.951558 # DEPENDENCYPART_ARC
(6,21),-0.378405 # DEPENDENCYPART_ARC
(6,22),-0.330804 # DEPENDENCYPART_ARC
(7,1),-1.71864 # DEPENDENCYPART_ARC
(7,2),-1.85524 # DEPENDENCYPART_ARC
(7,3),-2.03773 # DEPENDENCYPART_ARC
(7,4),-0.0894365 # DEPENDENCYPART_ARC
(7,5),1.2759 # DEPENDENCYPART_ARC
(7,6),-0.312613 # DEPENDENCYPART_ARC
(7,8),0.791449 # DEPENDENCYPART_ARC
(7,9),0.327179 # DEPENDENCYPART_ARC
(7,10),0.406084 # DEPENDENCYPART_ARC
(7,11),-0.646803 # DEPENDENCYPART_ARC
(7,12),-2.74889 # DEPENDENCYPART_ARC
(7,13),-0.579858 # DEPENDENCYPART_ARC
(7,14),-0.348335 # DEPENDENCYPART_ARC
(7,15),-0.755882 # DEPENDENCYPART_ARC
(7,16),-1.60664 # DEPENDENCYPART_ARC
(7,17),-1.53095 # DEPENDENCYPART_ARC
(7,18),-1.52957 # DEPENDENCYPART_ARC
(7,19),-1.84877 # DEPENDENCYPART_ARC
(7,20),-1.74818 # DEPENDENCYPART_ARC
(7,21),-1.93251 # DEPENDENCYPART_ARC
(7,22),-1.70672 # DEPENDENCYPART_ARC
(8,1),2.91976 # DEPENDENCYPART_ARC
(8,2),2.52526 # DEPENDENCYPART_ARC
(8,3),0.290199 # DEPENDENCYPART_ARC
(8,4),0.871505 # DEPENDENCYPART_ARC
(8,5),1.00248 # DEPENDENCYPART_ARC
(8,6),2.78184 # DEPENDENCYPART_ARC
(8,7),2.29365 # DEPENDENCYPART_ARC
(8,9),4.8058 # DEPENDENCYPART_ARC
(8,10),1.41586 # DEPENDENCYPART_ARC
(8,11),1.28927 # DEPENDENCYPART_ARC
(8,12),-0.583477 # DEPENDENCYPART_ARC
(8,13),1.40969 # DEPENDENCYPART_ARC
(8,14),2.37869 # DEPENDENCYPART_ARC
(8,15),0.591776 # DEPENDENCYPART_ARC
(8,16),-0.267966 # DEPENDENCYPART_ARC
(8,17),2.49449 # DEPENDENCYPART_ARC
(8,18),0.25975 # DEPENDENCYPART_ARC
(8,19),-1.95726 # DEPENDENCYPART_ARC
(8,20),-0.870048 # DEPENDENCYPART_ARC
(8,21),1.02145 # DEPENDENCYPART_ARC
(8,22),4.08173 # DEPENDENCYPART_ARC
(9,1),-2.12671 # DEPENDENCYPART_ARC
(9,2),-1.28435 # DEPENDENCYPART_ARC
(9,3),-2.24169 # DEPENDENCYPART_ARC
(9,4),-1.35266 # DEPENDENCYPART_ARC
(9,5),0.71183 # DEPENDENCYPART_ARC
(9,6),-1.08699 # DEPENDENCYPART_ARC
(9,7),0.325306 # DEPENDENCYPART_ARC
(9,8),1.75165 # DEPENDENCYPART_ARC
(9,10),4.01747 # DEPENDENCYPART_ARC
(9,11),1.57109 # DEPENDENCYPART_ARC
(9,12),1.70687 # DEPENDENCYPART_ARC
(9,13),0.972294 # DEPENDENCYPART_ARC
(9,14),0.992453 # DEPENDENCYPART_ARC
(9,15),0.846863 # DEPENDENCYPART_ARC
(9,16),-0.0363274 # DEPENDENCYPART_ARC
(9,17),1.37992 # DEPENDENCYPART_ARC
(9,18),0.783665 # DEPENDENCYPART_ARC
(9,19),0.0280711 # DEPENDENCYPART_ARC
(9,20),-0.769913 # DEPENDENCYPART_ARC
(9,21),0.0532426 # DEPENDENCYPART_ARC
(9,22),0.680501 # DEPENDENCYPART_ARC
(10,1),-1.11733 # DEPENDENCYPART_ARC
(10,2),-1.43043 # DEPENDENCYPART_ARC
(10,3),-1.63357 # DEPENDENCYPART_ARC
(10,4),-1.32584 # DEPENDENCYPART_ARC
(10,5),-0.118102 # DEPENDENCYPART_ARC
(10,6),-1.53628 # DEPENDENCYPART_ARC
(10,7),-0.754158 # DEPENDENCYPART_ARC
(10,8),0.827493 # DEPENDENCYPART_ARC
(10,9),0.693325 # DEPENDENCYPART_ARC
(10,11),4.67435 # DEPENDENCYPART_ARC
(10,12),1.13564 # DEPENDENCYPART_ARC
(10,13),0.984238 # DEPENDENCYPART_ARC
(10,14),0.757952 # DEPENDENCYPART_ARC
(10,15),-1.08574 # DEPENDENCYPART_ARC
(10,16),-0.647777 # DEPENDENCYPART_ARC
(10,17),-1.34983 # DEPENDENCYPART_ARC
(10,18),-3.22341 # DEPENDENCYPART_ARC
(10,19),-1.34925 # DEPENDENCYPART_ARC
(10,20),-3.79599 # DEPENDENCYPART_ARC
(10,21),-1.74229 # DEPENDENCYPART_ARC
(10,22),-0.766292 # DEPENDENCYPART_ARC
(11,1),-1.34167 # DEPENDENCYPART_ARC
(11,2),-2.16408 # DEPENDENCYPART_ARC
(11,3),-1.83111 # DEPENDENCYPART_ARC
(11,4),-0.602375 # DEPENDENCYPART_ARC
(11,5),-1.13403 # DEPENDENCYPART_ARC
(11,6),-1.41053 # DEPENDENCYPART_ARC
(11,7),-0.552342 # DEPENDENCYPART_ARC
(11,8),-1.05723 # DEPENDENCYPART_ARC
(11,9),0.689012 # DEPENDENCYPART_ARC
(11,10),1.46604 # DEPENDENCYPART_ARC
(11,12),3.75322 # DEPENDENCYPART_ARC
(11,13),0.0149734 # DEPENDENCYPART_ARC
(11,14),0.0643738 # DEPENDENCYPART_ARC
(11,15),-0.197189 # DEPENDENCYPART_ARC
(11,16),-1.11175 # DEPENDENCYPART_ARC
(11,17),-0.451049 # DEPENDENCYPART_ARC
(11,18),-0.879434 # DEPENDENCYPART_ARC
(11,19),-0.69072 # DEPENDENCYPART_ARC
(11,20),-0.547993 # DEPENDENCYPART_ARC
(11,21),-1.02442 # DEPENDENCYPART_ARC
(11,22),-0.873628 # DEPENDENCYPART_ARC
(12,1),-2.2858 # DEPENDENCYPART_ARC
(12,2),-3.00975 # DEPENDENCYPART_ARC
(12,3),-2.80987 # DEPENDENCYPART_ARC
(12,4),-1.85445 # DEPENDENCYPART_ARC
(12,5),-2.31933 # DEPENDENCYPART_ARC
(12,6),-3.51366 # DEPENDENCYPART_ARC
(12,7),-0.282096 # DEPENDENCYPART_ARC
(12,8),-2.42688 # DEPENDENCYPART_ARC
(12,9),-2.01471 # DEPENDENCYPART_ARC
(12,10),-0.0262834 # DEPENDENCYPART_ARC
(12,11),0.257375 # DEPENDENCYPART_ARC
(12,13),0.473362 # DEPENDENCYPART_ARC
(12,14),0.49671 # DEPENDENCYPART_ARC
(12,15),0.233554 # DEPENDENCYPART_ARC
(12,16),-0.969323 # DEPENDENCYPART_ARC
(12,17),-1.03848 # DEPENDENCYPART_ARC
(12,18),-2.07105 # DEPENDENCYPART_ARC
(12,19),-1.98926 # DEPENDENCYPART_ARC
(12,20),-1.65 # DEPENDENCYPART_ARC
(12,21),-1.3298 # DEPENDENCYPART_ARC
(12,22),-1.58582 # DEPENDENCYPART_ARC
(13,1),-2.18929 # DEPENDENCYPART_ARC
(13,2),-2.84232 # DEPENDENCYPART_ARC
(13,3),-2.7498 # DEPENDENCYPART_ARC
(13,4),-1.27774 # DEPENDENCYPART_ARC
(13,5),-2.53257 # DEPENDENCYPART_ARC
(13,6),-2.42738 # DEPENDENCYPART_ARC
(13,7),-1.68013 # DEPENDENCYPART_ARC
(13,8),-2.13692 # DEPENDENCYPART_ARC
(13,9),-1.90479 # DEPENDENCYPART_ARC
(13,10),-0.854219 # DEPENDENCYPART_ARC
(13,11),-1.17636 # DEPENDENCYPART_ARC
(13,12),0.144287 # DEPENDENCYPART_ARC
(13,14),-0.103893 # DEPENDENCYPART_ARC
(13,15),-0.766651 # DEPENDENCYPART_ARC
(13,16),-1.20118 # DEPENDENCYPART_ARC
(13,17),-0.862886 # DEPENDENCYPART_ARC
(13,18),-1.53175 # DEPENDENCYPART_ARC
(13,19),-1.59981 # DEPENDENCYPART_ARC
(13,20),-1.71684 # DEPENDENCYPART_ARC
(13,21),-1.11275 # DEPENDENCYPART_ARC
(13,22),-1.28322 # DEPENDENCYPART_ARC
(14,1),-2.39874 # DEPENDENCYPART_ARC
(14,2),-3.19777 # DEPENDENCYPART_ARC
(14,3),-3.16405 # DEPENDENCYPART_ARC
(14,4),-2.04075 # DEPENDENCYPART_ARC
(14,5),-2.97377 # DEPENDENCYPART_ARC
(14,6),-3.08028 # DEPENDENCYPART_ARC
(14,7),-2.77779 # DEPENDENCYPART_ARC
(14,8),-2.57308 # DEPENDENCYPART_ARC
(14,9),-2.59025 # DEPENDENCYPART_ARC
(14,10),-1.35347 # DEPENDENCYPART_ARC
(14,11),-2.09807 # DEPENDENCYPART_ARC
(14,12),-1.36557 # DEPENDENCYPART_ARC
(14,13),0.660449 # DEPENDENCYPART_ARC
(14,15),0.0808514 # DEPENDENCYPART_ARC
(14,16),-1.39838 # DEPENDENCYPART_ARC
(14,17),-0.128265 # DEPENDENCYPART_ARC
(14,18),-1.60763 # DEPENDENCYPART_ARC
(14,19),-1.81488 # DEPENDENCYPART_ARC
(14,20),-2.09035 # DEPENDENCYPART_ARC
(14,21),-1.01116 # DEPENDENCYPART_ARC
(14,22),-0.548874 # DEPENDENCYPART_ARC
(15,1),-2.61734 # DEPENDENCYPART_ARC
(15,2),-3.21155 # DEPENDENCYPART_ARC
(15,3),-3.16231 # DEPENDENCYPART_ARC
(15,4),-2.09379 # DEPENDENCYPART_ARC
(15,5),-2.92767 # DEPENDENCYPART_ARC
(15,6),-2.85495 # DEPENDENCYPART_ARC
(15,7),-2.31782 # DEPENDENCYPART_ARC
(15,8),-2.6468 # DEPENDENCYPART_ARC
(15,9),-2.4393 # DEPENDENCYPART_ARC
(15,10),-1.63349 # DEPENDENCYPART_ARC
(15,11),-2.07822 # DEPENDENCYPART_ARC
(15,12),-1.5469 # DEPENDENCYPART_ARC
(15,13),-0.899047 # DEPENDENCYPART_ARC
(15,14),-0.193148 # DEPENDENCYPART_ARC
(15,16),-0.644364 # DEPENDENCYPART_ARC
(15,17),-0.803524 # DEPENDENCYPART_ARC
(15,18),-1.49617 # DEPENDENCYPART_ARC
(15,19),-1.72677 # DEPENDENCYPART_ARC
(15,20),-1.8858 # DEPENDENCYPART_ARC
(15,21),-1.04396 # DEPENDENCYPART_ARC
(15,22),-1.18759 # DEPENDENCYPART_ARC
(16,1),-1.63632 # DEPENDENCYPART_ARC
(16,2),-2.73855 # DEPENDENCYPART_ARC
(16,3),-2.76907 # DEPENDENCYPART_ARC
(16,4),-2.14861 # DEPENDENCYPART_ARC
(16,5),-2.62287 # DEPENDENCYPART_ARC
(16,6),-3.14544 # DEPENDENCYPART_ARC
(16,7),-1.60494 # DEPENDENCYPART_ARC
(16,8),-2.09129 # DEPENDENCYPART_ARC
(16,9),-2.39753 # DEPENDENCYPART_ARC
(16,10),-0.924136 # DEPENDENCYPART_ARC
(16,11),-2.14938 # DEPENDENCYPART_ARC
(16,12),-0.692163 # DEPENDENCYPART_ARC
(16,13),-1.12146 # DEPENDENCYPART_ARC
(16,14),-0.371975 # DEPENDENCYPART_ARC
(16,15),0.459241 # DEPENDENCYPART_ARC
(16,17),0.929729 # DEPENDENCYPART_ARC
(16,18),-0.194675 # DEPENDENCYPART_ARC
(16,19),-0.401604 # DEPENDENCYPART_ARC
(16,20),-0.683864 # DEPENDENCYPART_ARC
(16,21),-0.541165 # DEPENDENCYPART_ARC
(16,22),-0.663198 # DEPENDENCYPART_ARC
(17,1),1.65095 # DEPENDENCYPART_ARC
(17,2),1.0342 # DEPENDENCYPART_ARC
(17,3),-0.628785 # DEPENDENCYPART_ARC
(17,4),-3.20288 # DEPENDENCYPART_ARC
(17,5),-1.08158 # DEPENDENCYPART_ARC
(17,6),1.56857 # DEPENDENCYPART_ARC
(17,7),0.823412 # DEPENDENCYPART_ARC
(17,8),0.713776 # DEPENDENCYPART_ARC
(17,9),1.50482 # DEPENDENCYPART_ARC
(17,10),-0.148498 # DEPENDENCYPART_ARC
(17,11),0.132999 # DEPENDENCYPART_ARC
(17,12),-0.832977 # DEPENDENCYPART_ARC
(17,13),0.760337 # DEPENDENCYPART_ARC
(17,14),1.938 # DEPENDENCYPART_ARC
(17,15),3.68565 # DEPENDENCYPART_ARC
(17,16),4.28271 # DEPENDENCYPART_ARC
(17,18),4.79754 # DEPENDENCYPART_ARC
(17,19),1.28742 # DEPENDENCYPART_ARC
(17,20),1.2164 # DEPENDENCYPART_ARC
(17,21),2.55944 # DEPENDENCYPART_ARC
(17,22),3.38159 # DEPENDENCYPART_ARC
(18,1),-2.56979 # DEPENDENCYPART_ARC
(18,2),-1.75195 # DEPENDENCYPART_ARC
(18,3),-3.12887 # DEPENDENCYPART_ARC
(18,4),-2.20778 # DEPENDENCYPART_ARC
(18,5),-3.48863 # DEPENDENCYPART_ARC
(18,6),-3.00921 # DEPENDENCYPART_ARC
(18,7),-2.58661 # DEPENDENCYPART_ARC
(18,8),-1.36366 # DEPENDENCYPART_ARC
(18,9),-2.43353 # DEPENDENCYPART_ARC
(18,10),-1.70516 # DEPENDENCYPART_ARC
(18,11),-2.38496 # DEPENDENCYPART_ARC
(18,12),-3.05987 # DEPENDENCYPART_ARC
(18,13),-1.97837 # DEPENDENCYPART_ARC
(18,14),-1.42805 # DEPENDENCYPART_ARC
(18,15),0.0124414 # DEPENDENCYPART_ARC
(18,16),0.533031 # DEPENDENCYPART_ARC
(18,17),0.98968 # DEPENDENCYPART_ARC
(18,19),3.66556 # DEPENDENCYPART_ARC
(18,20),1.18715 # DEPENDENCYPART_ARC
(18,21),1.22297 # DEPENDENCYPART_ARC
(18,22),0.548693 # DEPENDENCYPART_ARC
(19,1),-1.3092 # DEPENDENCYPART_ARC
(19,2),-3.01392 # DEPENDENCYPART_ARC
(19,3),-2.45776 # DEPENDENCYPART_ARC
(19,4),-2.2108 # DEPENDENCYPART_ARC
(19,5),-1.80401 # DEPENDENCYPART_ARC
(19,6),-3.65192 # DEPENDENCYPART_ARC
(19,7),-2.01193 # DEPENDENCYPART_ARC
(19,8),-2.4547 # DEPENDENCYPART_ARC
(19,9),-2.54568 # DEPENDENCYPART_ARC
(19,10),-1.2909 # DEPENDENCYPART_ARC
(19,11),-1.33996 # DEPENDENCYPART_ARC
(19,12),-1.00646 # DEPENDENCYPART_ARC
(19,13),-1.5415 # DEPENDENCYPART_ARC
(19,14),-0.356581 # DEPENDENCYPART_ARC
(19,15),-0.490733 # DEPENDENCYPART_ARC
(19,16),0.252859 # DEPENDENCYPART_ARC
(19,17),-1.15948 # DEPENDENCYPART_ARC
(19,18),-0.75726 # DEPENDENCYPART_ARC
(19,20),4.70473 # DEPENDENCYPART_ARC
(19,21),0.467425 # DEPENDENCYPART_ARC
(19,22),0.015962 # DEPENDENCYPART_ARC
(20,1),-1.72764 # DEPENDENCYPART_ARC
(20,2),-2.23342 # DEPENDENCYPART_ARC
(20,3),-2.38439 # DEPENDENCYPART_ARC
(20,4),-1.42479 # DEPENDENCYPART_ARC
(20,5),-4.51398 # DEPENDENCYPART_ARC
(20,6),-3.0285 # DEPENDENCYPART_ARC
(20,7),-2.41559 # DEPENDENCYPART_ARC
(20,8),-2.57589 # DEPENDENCYPART_ARC
(20,9),-2.42936 # DEPENDENCYPART_ARC
(20,10),-1.07785 # DEPENDENCYPART_ARC
(20,11),-1.14615 # DEPENDENCYPART_ARC
(20,12),-1.32716 # DEPENDENCYPART_ARC
(20,13),-1.21318 # DEPENDENCYPART_ARC
(20,14),-0.898625 # DEPENDENCYPART_ARC
(20,15),-0.16368 # DEPENDENCYPART_ARC
(20,16),0.141083 # DEPENDENCYPART_ARC
(20,17),-1.64036 # DEPENDENCYPART_ARC
(20,18),-0.325219 # DEPENDENCYPART_ARC
(20,19),1.31222 # DEPENDENCYPART_ARC
(20,21),0.652138 # DEPENDENCYPART_ARC
(20,22),-0.140975 # DEPENDENCYPART_ARC
(21,1),-2.87042 # DEPENDENCYPART_ARC
(21,2),-3.70063 # DEPENDENCYPART_ARC
(21,3),-3.65938 # DEPENDENCYPART_ARC
(21,4),-2.52626 # DEPENDENCYPART_ARC
(21,5),-3.46776 # DEPENDENCYPART_ARC
(21,6),-3.4489 # DEPENDENCYPART_ARC
(21,7),-2.89963 # DEPENDENCYPART_ARC
(21,8),-3.3399 # DEPENDENCYPART_ARC
(21,9),-3.33314 # DEPENDENCYPART_ARC
(21,10),-2.52031 # DEPENDENCYPART_ARC
(21,11),-3.1018 # DEPENDENCYPART_ARC
(21,12),-2.76999 # DEPENDENCYPART_ARC
(21,13),-2.31966 # DEPENDENCYPART_ARC
(21,14),-2.41826 # DEPENDENCYPART_ARC
(21,15),-2.36479 # DEPENDENCYPART_ARC
(21,16),-2.68864 # DEPENDENCYPART_ARC
(21,17),-2.57615 # DEPENDENCYPART_ARC
(21,18),-2.37674 # DEPENDENCYPART_ARC
(21,19),-1.28795 # DEPENDENCYPART_ARC
(21,20),-1.24351 # DEPENDENCYPART_ARC
(21,22),-0.667622 # DEPENDENCYPART_ARC
(22,1),-3.32018 # DEPENDENCYPART_ARC
(22,2),-4.11044 # DEPENDENCYPART_ARC
(22,3),-4.0517 # DEPENDENCYPART_ARC
(22,4),-3.07092 # DEPENDENCYPART_ARC
(22,5),-3.88995 # DEPENDENCYPART_ARC
(22,6),-3.854 # DEPENDENCYPART_ARC
(22,7),-3.26007 # DEPENDENCYPART_ARC
(22,8),-3.78934 # DEPENDENCYPART_ARC
(22,9),-3.73574 # DEPENDENCYPART_ARC
(22,10),-2.91206 # DEPENDENCYPART_ARC
(22,11),-3.63306 # DEPENDENCYPART_ARC
(22,12),-3.14027 # DEPENDENCYPART_ARC
(22,13),-2.89569 # DEPENDENCYPART_ARC
(22,14),-2.863 # DEPENDENCYPART_ARC
(22,15),-2.91677 # DEPENDENCYPART_ARC
(22,16),-3.30921 # DEPENDENCYPART_ARC
(22,17),-3.2038 # DEPENDENCYPART_ARC
(22,18),-2.97519 # DEPENDENCYPART_ARC
(22,19),-1.86489 # DEPENDENCYPART_ARC
(22,20),-2.40241 # DEPENDENCYPART_ARC
(22,21),-1.10584 # DEPENDENCYPART_ARC
