# _root_ Xavier_Vendrell va néixer a Sant_Joan_Despí -Fpa- Baix_Llobregat -Fpt- , on resideix , el 15_d'_octubre_de_1966 .
#goldHeads=3,3,0,3,4,7,5,7,11,11,5,11,14,3,3,
#predictedHeads=3,3,0,3,4,7,5,7,11,11,5,14,14,11,3,
(3,2),5.93572 # DEPENDENCYPART_ARC
(3,4),4.22521 # DEPENDENCYPART_ARC
(3,5),2.36541 # DEPENDENCYPART_ARC
(3,6),0.899254 # DEPENDENCYPART_ARC
(3,7),0.781823 # DEPENDENCYPART_ARC
(3,8),1.41834 # DEPENDENCYPART_ARC
(3,9),0.818256 # DEPENDENCYPART_ARC
(3,10),-0.949444 # DEPENDENCYPART_ARC
(3,11),0.747018 # DEPENDENCYPART_ARC
(3,12),-0.479184 # DEPENDENCYPART_ARC
(3,13),-2.6059 # DEPENDENCYPART_ARC
(3,14),0.546881 # DEPENDENCYPART_ARC
(3,15),2.85251 # DEPENDENCYPART_ARC
(4,1),-1.99938 # DEPENDENCYPART_ARC
(4,2),-0.498729 # DEPENDENCYPART_ARC
(4,3),0.238528 # DEPENDENCYPART_ARC
(4,5),5.1821 # DEPENDENCYPART_ARC
(4,6),0.107031 # DEPENDENCYPART_ARC
(4,7),0.25833 # DEPENDENCYPART_ARC
(4,8),0.00057813 # DEPENDENCYPART_ARC
(4,9),0.123714 # DEPENDENCYPART_ARC
(4,10),-3.02602 # DEPENDENCYPART_ARC
(4,11),-1.47399 # DEPENDENCYPART_ARC
(4,12),-0.704478 # DEPENDENCYPART_ARC
(4,13),-3.16999 # DEPENDENCYPART_ARC
(4,14),-2.58348 # DEPENDENCYPART_ARC
(4,15),-1.67283 # DEPENDENCYPART_ARC
(5,1),-2.40828 # DEPENDENCYPART_ARC
(5,2),-2.53856 # DEPENDENCYPART_ARC
(5,3),-1.34948 # DEPENDENCYPART_ARC
(5,4),-0.0245744 # DEPENDENCYPART_ARC
(5,6),2.20301 # DEPENDENCYPART_ARC
(5,7),2.76802 # DEPENDENCYPART_ARC
(5,8),1.33214 # DEPENDENCYPART_ARC
(5,9),0.525863 # DEPENDENCYPART_ARC
(5,10),-0.213479 # DEPENDENCYPART_ARC
(5,11),2.11133 # DEPENDENCYPART_ARC
(5,12),0.894062 # DEPENDENCYPART_ARC
(5,13),-1.3188 # DEPENDENCYPART_ARC
(5,14),-1.20601 # DEPENDENCYPART_ARC
(5,15),0.842883 # DEPENDENCYPART_ARC
(6,1),-3.36381 # DEPENDENCYPART_ARC
(6,2),-3.01495 # DEPENDENCYPART_ARC
(6,3),-2.5975 # DEPENDENCYPART_ARC
(6,4),-1.5485 # DEPENDENCYPART_ARC
(6,5),-1.51184 # DEPENDENCYPART_ARC
(6,7),-0.592872 # DEPENDENCYPART_ARC
(6,8),-1.16913 # DEPENDENCYPART_ARC
(6,9),-0.864265 # DEPENDENCYPART_ARC
(6,10),-1.87617 # DEPENDENCYPART_ARC
(6,11),-1.40305 # DEPENDENCYPART_ARC
(6,12),-1.27677 # DEPENDENCYPART_ARC
(6,13),-2.68647 # DEPENDENCYPART_ARC
(6,14),-1.85815 # DEPENDENCYPART_ARC
(6,15),-1.31016 # DEPENDENCYPART_ARC
(7,1),-0.811544 # DEPENDENCYPART_ARC
(7,2),-1.24112 # DEPENDENCYPART_ARC
(7,3),-0.634852 # DEPENDENCYPART_ARC
(7,4),0.582547 # DEPENDENCYPART_ARC
(7,5),2.02265 # DEPENDENCYPART_ARC
(7,6),4.75137 # DEPENDENCYPART_ARC
(7,8),3.63784 # DEPENDENCYPART_ARC
(7,9),0.401454 # DEPENDENCYPART_ARC
(7,10),-0.352802 # DEPENDENCYPART_ARC
(7,11),1.42537 # DEPENDENCYPART_ARC
(7,12),-0.409528 # DEPENDENCYPART_ARC
(7,13),-1.79915 # DEPENDENCYPART_ARC
(7,14),-1.36995 # DEPENDENCYPART_ARC
(7,15),0.50684 # DEPENDENCYPART_ARC
(8,1),-3.23125 # DEPENDENCYPART_ARC
(8,2),-3.06869 # DEPENDENCYPART_ARC
(8,3),-2.79893 # DEPENDENCYPART_ARC
(8,4),-1.70961 # DEPENDENCYPART_ARC
(8,5),-2.45307 # DEPENDENCYPART_ARC
(8,6),-1.34363 # DEPENDENCYPART_ARC
(8,7),-1.20831 # DEPENDENCYPART_ARC
(8,9),0.0930474 # DEPENDENCYPART_ARC
(8,10),-0.659619 # DEPENDENCYPART_ARC
(8,11),-0.532825 # DEPENDENCYPART_ARC
(8,12),-0.813495 # DEPENDENCYPART_ARC
(8,13),-2.06357 # DEPENDENCYPART_ARC
(8,14),-1.22442 # DEPENDENCYPART_ARC
(8,15),-0.662923 # DEPENDENCYPART_ARC
(9,1),-3.24713 # DEPENDENCYPART_ARC
(9,2),-3.10705 # DEPENDENCYPART_ARC
(9,3),-2.84724 # DEPENDENCYPART_ARC
(9,4),-1.90571 # DEPENDENCYPART_ARC
(9,5),-2.59598 # DEPENDENCYPART_ARC
(9,6),-1.5925 # DEPENDENCYPART_ARC
(9,7),-1.9379 # DEPENDENCYPART_ARC
(9,8),-0.501349 # DEPENDENCYPART_ARC
(9,10),-0.117761 # DEPENDENCYPART_ARC
(9,11),-0.644869 # DEPENDENCYPART_ARC
(9,12),-0.822175 # DEPENDENCYPART_ARC
(9,13),-2.03272 # DEPENDENCYPART_ARC
(9,14),-1.3193 # DEPENDENCYPART_ARC
(9,15),-0.754611 # DEPENDENCYPART_ARC
(10,1),-3.27673 # DEPENDENCYPART_ARC
(10,2),-2.63851 # DEPENDENCYPART_ARC
(10,3),-2.39243 # DEPENDENCYPART_ARC
(10,4),-1.80766 # DEPENDENCYPART_ARC
(10,5),-2.79726 # DEPENDENCYPART_ARC
(10,6),-1.24926 # DEPENDENCYPART_ARC
(10,7),-2.30041 # DEPENDENCYPART_ARC
(10,8),-0.86077 # DEPENDENCYPART_ARC
(10,9),-0.208184 # DEPENDENCYPART_ARC
(10,11),0.395201 # DEPENDENCYPART_ARC
(10,12),-0.793148 # DEPENDENCYPART_ARC
(10,13),-1.67402 # DEPENDENCYPART_ARC
(10,14),-1.07848 # DEPENDENCYPART_ARC
(10,15),-0.113532 # DEPENDENCYPART_ARC
(11,1),-0.0629831 # DEPENDENCYPART_ARC
(11,2),1.49284 # DEPENDENCYPART_ARC
(11,3),-0.295365 # DEPENDENCYPART_ARC
(11,4),0.202021 # DEPENDENCYPART_ARC
(11,5),-0.556842 # DEPENDENCYPART_ARC
(11,6),0.678642 # DEPENDENCYPART_ARC
(11,7),-0.2968 # DEPENDENCYPART_ARC
(11,8),-0.120756 # DEPENDENCYPART_ARC
(11,9),1.72555 # DEPENDENCYPART_ARC
(11,10),5.07087 # DEPENDENCYPART_ARC
(11,12),1.41886 # DEPENDENCYPART_ARC
(11,13),-1.5486 # DEPENDENCYPART_ARC
(11,14),1.62768 # DEPENDENCYPART_ARC
(11,15),2.63089 # DEPENDENCYPART_ARC
(12,1),-4.28166 # DEPENDENCYPART_ARC
(12,2),-3.98452 # DEPENDENCYPART_ARC
(12,3),-4.02789 # DEPENDENCYPART_ARC
(12,4),-3.04423 # DEPENDENCYPART_ARC
(12,5),-3.82029 # DEPENDENCYPART_ARC
(12,6),-2.92366 # DEPENDENCYPART_ARC
(12,7),-3.6408 # DEPENDENCYPART_ARC
(12,8),-2.70437 # DEPENDENCYPART_ARC
(12,9),-2.2648 # DEPENDENCYPART_ARC
(12,10),-2.17958 # DEPENDENCYPART_ARC
(12,11),-1.55322 # DEPENDENCYPART_ARC
(12,13),-1.08418 # DEPENDENCYPART_ARC
(12,14),-0.801911 # DEPENDENCYPART_ARC
(12,15),-0.773544 # DEPENDENCYPART_ARC
(13,1),-3.12425 # DEPENDENCYPART_ARC
(13,2),-3.75747 # DEPENDENCYPART_ARC
(13,3),-3.4166 # DEPENDENCYPART_ARC
(13,4),-2.48194 # DEPENDENCYPART_ARC
(13,5),-2.62358 # DEPENDENCYPART_ARC
(13,6),-1.82754 # DEPENDENCYPART_ARC
(13,7),-2.41773 # DEPENDENCYPART_ARC
(13,8),-1.61686 # DEPENDENCYPART_ARC
(13,9),-1.51556 # DEPENDENCYPART_ARC
(13,10),-1.21405 # DEPENDENCYPART_ARC
(13,11),-1.60319 # DEPENDENCYPART_ARC
(13,12),0.132036 # DEPENDENCYPART_ARC
(13,14),0.492257 # DEPENDENCYPART_ARC
(13,15),-0.963334 # DEPENDENCYPART_ARC
(14,1),-2.51726 # DEPENDENCYPART_ARC
(14,2),-2.00252 # DEPENDENCYPART_ARC
(14,3),-2.03342 # DEPENDENCYPART_ARC
(14,4),-1.11063 # DEPENDENCYPART_ARC
(14,5),-2.03016 # DEPENDENCYPART_ARC
(14,6),-0.237042 # DEPENDENCYPART_ARC
(14,7),-1.77025 # DEPENDENCYPART_ARC
(14,8),-0.308265 # DEPENDENCYPART_ARC
(14,9),0.129306 # DEPENDENCYPART_ARC
(14,10),-0.258598 # DEPENDENCYPART_ARC
(14,11),-0.629269 # DEPENDENCYPART_ARC
(14,12),2.35098 # DEPENDENCYPART_ARC
(14,13),4.121 # DEPENDENCYPART_ARC
(14,15),0.910156 # DEPENDENCYPART_ARC
(15,1),-4.49642 # DEPENDENCYPART_ARC
(15,2),-4.32024 # DEPENDENCYPART_ARC
(15,3),-4.25297 # DEPENDENCYPART_ARC
(15,4),-3.40549 # DEPENDENCYPART_ARC
(15,5),-4.08531 # DEPENDENCYPART_ARC
(15,6),-3.44914 # DEPENDENCYPART_ARC
(15,7),-3.98938 # DEPENDENCYPART_ARC
(15,8),-3.30304 # DEPENDENCYPART_ARC
(15,9),-3.09769 # DEPENDENCYPART_ARC
(15,10),-3.23844 # DEPENDENCYPART_ARC
(15,11),-3.35839 # DEPENDENCYPART_ARC
(15,12),-2.34425 # DEPENDENCYPART_ARC
(15,13),-1.90379 # DEPENDENCYPART_ARC
(15,14),-1.52968 # DEPENDENCYPART_ARC
