# _root_ El ministre va assenyalar la informació , la lluita contra la guerra bacteriològica , la nuclear i la química com_a camps per a la cooperació intereuropea .
#goldHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,12,16,12,12,19,12,4,20,21,22,25,23,25,4,
#predictedHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,16,16,12,16,19,16,19,20,9,22,25,23,25,4,
(1,7),-2.70995 # DEPENDENCYPART_ARC
(1,8),-2.87911 # DEPENDENCYPART_ARC
(1,9),-3.26393 # DEPENDENCYPART_ARC
(1,10),-3.43238 # DEPENDENCYPART_ARC
(1,11),-3.42521 # DEPENDENCYPART_ARC
(1,12),-4.11114 # DEPENDENCYPART_ARC
(1,13),-4.07789 # DEPENDENCYPART_ARC
(1,14),-3.3416 # DEPENDENCYPART_ARC
(1,15),-4.94101 # DEPENDENCYPART_ARC
(1,16),-3.45635 # DEPENDENCYPART_ARC
(1,17),-3.21157 # DEPENDENCYPART_ARC
(1,18),-5.16322 # DEPENDENCYPART_ARC
(1,19),-3.99852 # DEPENDENCYPART_ARC
(1,20),-4.11923 # DEPENDENCYPART_ARC
(1,21),-5.1989 # DEPENDENCYPART_ARC
(1,22),-5.09889 # DEPENDENCYPART_ARC
(1,23),-5.72812 # DEPENDENCYPART_ARC
(1,24),-5.99022 # DEPENDENCYPART_ARC
(1,25),-5.54884 # DEPENDENCYPART_ARC
(1,26),-4.46174 # DEPENDENCYPART_ARC
(1,27),-3.84771 # DEPENDENCYPART_ARC
(2,1),4.28591 # DEPENDENCYPART_ARC
(2,3),0.959338 # DEPENDENCYPART_ARC
(2,4),0.171893 # DEPENDENCYPART_ARC
(2,5),-1.7561 # DEPENDENCYPART_ARC
(2,6),-0.340135 # DEPENDENCYPART_ARC
(2,7),-0.683578 # DEPENDENCYPART_ARC
(2,8),-2.27552 # DEPENDENCYPART_ARC
(2,9),-0.526646 # DEPENDENCYPART_ARC
(2,10),-0.469339 # DEPENDENCYPART_ARC
(2,11),-2.6678 # DEPENDENCYPART_ARC
(2,12),-0.694328 # DEPENDENCYPART_ARC
(2,13),-1.9592 # DEPENDENCYPART_ARC
(2,14),-0.755029 # DEPENDENCYPART_ARC
(2,15),-2.76922 # DEPENDENCYPART_ARC
(2,16),-1.9137 # DEPENDENCYPART_ARC
(2,17),0.0935696 # DEPENDENCYPART_ARC
(2,18),-2.81658 # DEPENDENCYPART_ARC
(2,19),-3.1034 # DEPENDENCYPART_ARC
(2,20),-1.07504 # DEPENDENCYPART_ARC
(2,21),-1.04992 # DEPENDENCYPART_ARC
(2,22),-1.88144 # DEPENDENCYPART_ARC
(2,23),-3.12004 # DEPENDENCYPART_ARC
(2,24),-3.67147 # DEPENDENCYPART_ARC
(2,25),-1.78682 # DEPENDENCYPART_ARC
(2,26),-3.79945 # DEPENDENCYPART_ARC
(2,27),0.577074 # DEPENDENCYPART_ARC
(3,1),-1.13344 # DEPENDENCYPART_ARC
(3,2),0.627483 # DEPENDENCYPART_ARC
(3,4),0.82063 # DEPENDENCYPART_ARC
(3,5),-3.39335 # DEPENDENCYPART_ARC
(3,6),0.152109 # DEPENDENCYPART_ARC
(3,7),-0.869007 # DEPENDENCYPART_ARC
(3,8),-4.34439 # DEPENDENCYPART_ARC
(3,9),-1.33142 # DEPENDENCYPART_ARC
(3,10),-0.75517 # DEPENDENCYPART_ARC
(3,11),-4.71504 # DEPENDENCYPART_ARC
(3,12),-1.80001 # DEPENDENCYPART_ARC
(3,13),-1.6209 # DEPENDENCYPART_ARC
(3,14),-1.623 # DEPENDENCYPART_ARC
(3,15),-4.77878 # DEPENDENCYPART_ARC
(3,16),-1.95958 # DEPENDENCYPART_ARC
(3,17),-1.38831 # DEPENDENCYPART_ARC
(3,18),-4.60621 # DEPENDENCYPART_ARC
(3,19),-2.22481 # DEPENDENCYPART_ARC
(3,20),-1.21408 # DEPENDENCYPART_ARC
(3,21),-3.72483 # DEPENDENCYPART_ARC
(3,22),-1.58453 # DEPENDENCYPART_ARC
(3,23),-3.13097 # DEPENDENCYPART_ARC
(3,24),-4.88158 # DEPENDENCYPART_ARC
(3,25),-3.14339 # DEPENDENCYPART_ARC
(3,26),-2.70352 # DEPENDENCYPART_ARC
(3,27),2.62478 # DEPENDENCYPART_ARC
(4,1),1.22922 # DEPENDENCYPART_ARC
(4,2),2.82087 # DEPENDENCYPART_ARC
(4,3),5.98945 # DEPENDENCYPART_ARC
(4,5),-0.258232 # DEPENDENCYPART_ARC
(4,6),4.15274 # DEPENDENCYPART_ARC
(4,7),1.53139 # DEPENDENCYPART_ARC
(4,8),-1.52675 # DEPENDENCYPART_ARC
(4,9),1.72426 # DEPENDENCYPART_ARC
(4,10),1.94376 # DEPENDENCYPART_ARC
(4,11),-1.95292 # DEPENDENCYPART_ARC
(4,12),0.900266 # DEPENDENCYPART_ARC
(4,13),0.871586 # DEPENDENCYPART_ARC
(4,14),0.701377 # DEPENDENCYPART_ARC
(4,15),-2 # DEPENDENCYPART_ARC
(4,16),-0.0194053 # DEPENDENCYPART_ARC
(4,17),0.573601 # DEPENDENCYPART_ARC
(4,18),-1.84935 # DEPENDENCYPART_ARC
(4,19),0.288862 # DEPENDENCYPART_ARC
(4,20),1.39559 # DEPENDENCYPART_ARC
(4,21),-0.657377 # DEPENDENCYPART_ARC
(4,22),0.574342 # DEPENDENCYPART_ARC
(4,23),-1.08983 # DEPENDENCYPART_ARC
(4,24),-2.12006 # DEPENDENCYPART_ARC
(4,25),-0.602739 # DEPENDENCYPART_ARC
(4,26),-0.362873 # DEPENDENCYPART_ARC
(4,27),8.31289 # DEPENDENCYPART_ARC
(5,1),-1.88164 # DEPENDENCYPART_ARC
(5,2),-2.76732 # DEPENDENCYPART_ARC
(5,3),-2.15164 # DEPENDENCYPART_ARC
(5,4),-1.17746 # DEPENDENCYPART_ARC
(5,6),0.759748 # DEPENDENCYPART_ARC
(5,7),-1.27688 # DEPENDENCYPART_ARC
(5,8),0.198301 # DEPENDENCYPART_ARC
(5,9),-0.978299 # DEPENDENCYPART_ARC
(5,10),-2.1925 # DEPENDENCYPART_ARC
(5,11),-1.02742 # DEPENDENCYPART_ARC
(5,12),-2.91479 # DEPENDENCYPART_ARC
(5,13),-2.97896 # DEPENDENCYPART_ARC
(5,14),-2.75359 # DEPENDENCYPART_ARC
(5,15),-2.47474 # DEPENDENCYPART_ARC
(5,16),-3.35798 # DEPENDENCYPART_ARC
(5,17),-3.07782 # DEPENDENCYPART_ARC
(5,18),-3.01693 # DEPENDENCYPART_ARC
(5,19),-2.80356 # DEPENDENCYPART_ARC
(5,20),-3.55794 # DEPENDENCYPART_ARC
(5,21),-4.91222 # DEPENDENCYPART_ARC
(5,22),-4.64835 # DEPENDENCYPART_ARC
(5,23),-5.40608 # DEPENDENCYPART_ARC
(5,24),-3.27047 # DEPENDENCYPART_ARC
(5,25),-4.80999 # DEPENDENCYPART_ARC
(5,26),-3.40429 # DEPENDENCYPART_ARC
(5,27),-3.43227 # DEPENDENCYPART_ARC
(6,1),-0.849742 # DEPENDENCYPART_ARC
(6,2),-1.68645 # DEPENDENCYPART_ARC
(6,3),-1.05023 # DEPENDENCYPART_ARC
(6,4),0.675156 # DEPENDENCYPART_ARC
(6,5),4.81612 # DEPENDENCYPART_ARC
(6,7),1.57927 # DEPENDENCYPART_ARC
(6,8),0.501652 # DEPENDENCYPART_ARC
(6,9),2.03837 # DEPENDENCYPART_ARC
(6,10),1.66211 # DEPENDENCYPART_ARC
(6,11),-0.475467 # DEPENDENCYPART_ARC
(6,12),1.71268 # DEPENDENCYPART_ARC
(6,13),2.14172 # DEPENDENCYPART_ARC
(6,14),1.328 # DEPENDENCYPART_ARC
(6,15),-0.648407 # DEPENDENCYPART_ARC
(6,16),0.53239 # DEPENDENCYPART_ARC
(6,17),2.29765 # DEPENDENCYPART_ARC
(6,18),-0.775867 # DEPENDENCYPART_ARC
(6,19),1.03208 # DEPENDENCYPART_ARC
(6,20),0.967008 # DEPENDENCYPART_ARC
(6,21),0.821793 # DEPENDENCYPART_ARC
(6,22),0.334587 # DEPENDENCYPART_ARC
(6,23),-0.840721 # DEPENDENCYPART_ARC
(6,24),-1.43037 # DEPENDENCYPART_ARC
(6,25),0.582134 # DEPENDENCYPART_ARC
(6,26),1.02392 # DEPENDENCYPART_ARC
(6,27),1.58388 # DEPENDENCYPART_ARC
(7,1),-3.28065 # DEPENDENCYPART_ARC
(7,2),-3.3745 # DEPENDENCYPART_ARC
(7,3),-2.90478 # DEPENDENCYPART_ARC
(7,4),-2.48887 # DEPENDENCYPART_ARC
(7,5),-1.28458 # DEPENDENCYPART_ARC
(7,6),-1.6182 # DEPENDENCYPART_ARC
(7,8),-1.08894 # DEPENDENCYPART_ARC
(7,9),-1.04546 # DEPENDENCYPART_ARC
(7,10),-1.45208 # DEPENDENCYPART_ARC
(7,11),-2.18518 # DEPENDENCYPART_ARC
(7,12),-1.81964 # DEPENDENCYPART_ARC
(7,13),-1.75207 # DEPENDENCYPART_ARC
(7,14),-1.18868 # DEPENDENCYPART_ARC
(7,15),-2.45003 # DEPENDENCYPART_ARC
(7,16),-1.87928 # DEPENDENCYPART_ARC
(7,17),-0.44083 # DEPENDENCYPART_ARC
(7,18),-2.25536 # DEPENDENCYPART_ARC
(7,19),-1.81474 # DEPENDENCYPART_ARC
(7,20),-1.73498 # DEPENDENCYPART_ARC
(7,21),-1.83101 # DEPENDENCYPART_ARC
(7,22),-1.81355 # DEPENDENCYPART_ARC
(7,23),-1.81483 # DEPENDENCYPART_ARC
(7,24),-2.422 # DEPENDENCYPART_ARC
(7,25),-2.04052 # DEPENDENCYPART_ARC
(7,26),-1.9998 # DEPENDENCYPART_ARC
(7,27),-1.28128 # DEPENDENCYPART_ARC
(8,1),-2.56179 # DEPENDENCYPART_ARC
(8,2),-2.96219 # DEPENDENCYPART_ARC
(8,3),-2.74706 # DEPENDENCYPART_ARC
(8,4),-2.27678 # DEPENDENCYPART_ARC
(8,5),-0.323405 # DEPENDENCYPART_ARC
(8,6),-1.47048 # DEPENDENCYPART_ARC
(8,7),-0.0454241 # DEPENDENCYPART_ARC
(8,9),1.76119 # DEPENDENCYPART_ARC
(8,10),0.055772 # DEPENDENCYPART_ARC
(8,11),1.25827 # DEPENDENCYPART_ARC
(8,12),-1.42435 # DEPENDENCYPART_ARC
(8,13),-1.71161 # DEPENDENCYPART_ARC
(8,14),-1.83675 # DEPENDENCYPART_ARC
(8,15),-1.13389 # DEPENDENCYPART_ARC
(8,16),-2.75949 # DEPENDENCYPART_ARC
(8,17),-1.8836 # DEPENDENCYPART_ARC
(8,18),-1.5935 # DEPENDENCYPART_ARC
(8,19),-2.26759 # DEPENDENCYPART_ARC
(8,20),-2.69166 # DEPENDENCYPART_ARC
(8,21),-4.08 # DEPENDENCYPART_ARC
(8,22),-3.51286 # DEPENDENCYPART_ARC
(8,23),-4.26502 # DEPENDENCYPART_ARC
(8,24),-1.80454 # DEPENDENCYPART_ARC
(8,25),-4.01054 # DEPENDENCYPART_ARC
(8,26),-2.63286 # DEPENDENCYPART_ARC
(8,27),-2.53231 # DEPENDENCYPART_ARC
(9,1),-2.6655 # DEPENDENCYPART_ARC
(9,2),-1.69827 # DEPENDENCYPART_ARC
(9,3),-1.24072 # DEPENDENCYPART_ARC
(9,4),-0.430784 # DEPENDENCYPART_ARC
(9,5),2.00562 # DEPENDENCYPART_ARC
(9,6),-0.386097 # DEPENDENCYPART_ARC
(9,7),1.37284 # DEPENDENCYPART_ARC
(9,8),5.44506 # DEPENDENCYPART_ARC
(9,10),3.29105 # DEPENDENCYPART_ARC
(9,11),0.137917 # DEPENDENCYPART_ARC
(9,12),1.60965 # DEPENDENCYPART_ARC
(9,13),2.38271 # DEPENDENCYPART_ARC
(9,14),1.18162 # DEPENDENCYPART_ARC
(9,15),-0.561045 # DEPENDENCYPART_ARC
(9,16),0.37952 # DEPENDENCYPART_ARC
(9,17),1.87673 # DEPENDENCYPART_ARC
(9,18),-0.686028 # DEPENDENCYPART_ARC
(9,19),0.922183 # DEPENDENCYPART_ARC
(9,20),1.83272 # DEPENDENCYPART_ARC
(9,21),-0.147409 # DEPENDENCYPART_ARC
(9,22),1.78815 # DEPENDENCYPART_ARC
(9,23),0.154834 # DEPENDENCYPART_ARC
(9,24),-1.50006 # DEPENDENCYPART_ARC
(9,25),-0.16125 # DEPENDENCYPART_ARC
(9,26),0.604738 # DEPENDENCYPART_ARC
(9,27),1.87387 # DEPENDENCYPART_ARC
(10,1),-2.19199 # DEPENDENCYPART_ARC
(10,2),-2.62312 # DEPENDENCYPART_ARC
(10,3),-1.21407 # DEPENDENCYPART_ARC
(10,4),-1.35087 # DEPENDENCYPART_ARC
(10,5),-0.897733 # DEPENDENCYPART_ARC
(10,6),-1.80932 # DEPENDENCYPART_ARC
(10,7),0.199583 # DEPENDENCYPART_ARC
(10,8),0.610207 # DEPENDENCYPART_ARC
(10,9),-0.194651 # DEPENDENCYPART_ARC
(10,11),0.115234 # DEPENDENCYPART_ARC
(10,12),4.67116 # DEPENDENCYPART_ARC
(10,13),0.60546 # DEPENDENCYPART_ARC
(10,14),0.136728 # DEPENDENCYPART_ARC
(10,15),-1.74383 # DEPENDENCYPART_ARC
(10,16),-0.464174 # DEPENDENCYPART_ARC
(10,17),0.866524 # DEPENDENCYPART_ARC
(10,18),-1.87732 # DEPENDENCYPART_ARC
(10,19),-0.0698969 # DEPENDENCYPART_ARC
(10,20),-0.521962 # DEPENDENCYPART_ARC
(10,21),-1.58027 # DEPENDENCYPART_ARC
(10,22),-0.754872 # DEPENDENCYPART_ARC
(10,23),0.533904 # DEPENDENCYPART_ARC
(10,24),-2.11192 # DEPENDENCYPART_ARC
(10,25),-2.16393 # DEPENDENCYPART_ARC
(10,26),-1.40715 # DEPENDENCYPART_ARC
(10,27),0.749715 # DEPENDENCYPART_ARC
(11,1),-3.57956 # DEPENDENCYPART_ARC
(11,2),-3.64462 # DEPENDENCYPART_ARC
(11,3),-3.53367 # DEPENDENCYPART_ARC
(11,4),-3.20302 # DEPENDENCYPART_ARC
(11,5),-2.19398 # DEPENDENCYPART_ARC
(11,6),-2.80039 # DEPENDENCYPART_ARC
(11,7),-1.85131 # DEPENDENCYPART_ARC
(11,8),-0.807203 # DEPENDENCYPART_ARC
(11,9),-1.61676 # DEPENDENCYPART_ARC
(11,10),-0.293171 # DEPENDENCYPART_ARC
(11,12),1.28495 # DEPENDENCYPART_ARC
(11,13),-0.827221 # DEPENDENCYPART_ARC
(11,14),-1.52624 # DEPENDENCYPART_ARC
(11,15),-0.429494 # DEPENDENCYPART_ARC
(11,16),-2.49647 # DEPENDENCYPART_ARC
(11,17),-1.75887 # DEPENDENCYPART_ARC
(11,18),-1.53461 # DEPENDENCYPART_ARC
(11,19),-2.61439 # DEPENDENCYPART_ARC
(11,20),-2.73554 # DEPENDENCYPART_ARC
(11,21),-3.50787 # DEPENDENCYPART_ARC
(11,22),-3.63029 # DEPENDENCYPART_ARC
(11,23),-4.24208 # DEPENDENCYPART_ARC
(11,24),-1.45736 # DEPENDENCYPART_ARC
(11,25),-3.52733 # DEPENDENCYPART_ARC
(11,26),-3.08409 # DEPENDENCYPART_ARC
(11,27),-2.75824 # DEPENDENCYPART_ARC
(12,1),-4.75842 # DEPENDENCYPART_ARC
(12,2),-2.6462 # DEPENDENCYPART_ARC
(12,3),-2.25738 # DEPENDENCYPART_ARC
(12,4),-1.44852 # DEPENDENCYPART_ARC
(12,5),-0.300484 # DEPENDENCYPART_ARC
(12,6),-1.72715 # DEPENDENCYPART_ARC
(12,7),-0.289012 # DEPENDENCYPART_ARC
(12,8),1.98258 # DEPENDENCYPART_ARC
(12,9),-0.715372 # DEPENDENCYPART_ARC
(12,10),0.671491 # DEPENDENCYPART_ARC
(12,11),4.92628 # DEPENDENCYPART_ARC
(12,13),4.08648 # DEPENDENCYPART_ARC
(12,14),0.896407 # DEPENDENCYPART_ARC
(12,15),-0.223999 # DEPENDENCYPART_ARC
(12,16),0.948429 # DEPENDENCYPART_ARC
(12,17),1.83393 # DEPENDENCYPART_ARC
(12,18),-0.580827 # DEPENDENCYPART_ARC
(12,19),0.984415 # DEPENDENCYPART_ARC
(12,20),1.19724 # DEPENDENCYPART_ARC
(12,21),0.561689 # DEPENDENCYPART_ARC
(12,22),0.458981 # DEPENDENCYPART_ARC
(12,23),-0.875157 # DEPENDENCYPART_ARC
(12,24),-1.39099 # DEPENDENCYPART_ARC
(12,25),0.76462 # DEPENDENCYPART_ARC
(12,26),0.704253 # DEPENDENCYPART_ARC
(12,27),1.95777 # DEPENDENCYPART_ARC
(13,1),-1.89224 # DEPENDENCYPART_ARC
(13,2),-3.24133 # DEPENDENCYPART_ARC
(13,3),-2.58093 # DEPENDENCYPART_ARC
(13,4),-2.24283 # DEPENDENCYPART_ARC
(13,5),-0.904079 # DEPENDENCYPART_ARC
(13,6),-1.97588 # DEPENDENCYPART_ARC
(13,7),-0.396825 # DEPENDENCYPART_ARC
(13,8),0.203519 # DEPENDENCYPART_ARC
(13,9),-1.14877 # DEPENDENCYPART_ARC
(13,10),0.179947 # DEPENDENCYPART_ARC
(13,11),1.52757 # DEPENDENCYPART_ARC
(13,12),0.599815 # DEPENDENCYPART_ARC
(13,14),0.00777149 # DEPENDENCYPART_ARC
(13,15),-1.03686 # DEPENDENCYPART_ARC
(13,16),0.875027 # DEPENDENCYPART_ARC
(13,17),0.751403 # DEPENDENCYPART_ARC
(13,18),-1.60175 # DEPENDENCYPART_ARC
(13,19),0.0714428 # DEPENDENCYPART_ARC
(13,20),-1.12324 # DEPENDENCYPART_ARC
(13,21),-1.45794 # DEPENDENCYPART_ARC
(13,22),-1.23395 # DEPENDENCYPART_ARC
(13,23),-1.83204 # DEPENDENCYPART_ARC
(13,24),-2.20541 # DEPENDENCYPART_ARC
(13,25),-1.64293 # DEPENDENCYPART_ARC
(13,26),0.0205082 # DEPENDENCYPART_ARC
(13,27),-0.34765 # DEPENDENCYPART_ARC
(14,1),-3.16441 # DEPENDENCYPART_ARC
(14,2),-3.17085 # DEPENDENCYPART_ARC
(14,3),-3.00019 # DEPENDENCYPART_ARC
(14,4),-2.732 # DEPENDENCYPART_ARC
(14,5),-2.68951 # DEPENDENCYPART_ARC
(14,6),-2.71491 # DEPENDENCYPART_ARC
(14,7),-1.39857 # DEPENDENCYPART_ARC
(14,8),-2.42548 # DEPENDENCYPART_ARC
(14,9),-2.4123 # DEPENDENCYPART_ARC
(14,10),-1.3347 # DEPENDENCYPART_ARC
(14,11),-1.46973 # DEPENDENCYPART_ARC
(14,12),-1.4629 # DEPENDENCYPART_ARC
(14,13),-0.091161 # DEPENDENCYPART_ARC
(14,15),-0.934849 # DEPENDENCYPART_ARC
(14,16),-0.947599 # DEPENDENCYPART_ARC
(14,17),-0.277812 # DEPENDENCYPART_ARC
(14,18),-1.91652 # DEPENDENCYPART_ARC
(14,19),-1.52544 # DEPENDENCYPART_ARC
(14,20),-1.47911 # DEPENDENCYPART_ARC
(14,21),-1.51033 # DEPENDENCYPART_ARC
(14,22),-1.61061 # DEPENDENCYPART_ARC
(14,23),-1.58262 # DEPENDENCYPART_ARC
(14,24),-2.2263 # DEPENDENCYPART_ARC
(14,25),-1.71122 # DEPENDENCYPART_ARC
(14,26),-1.74983 # DEPENDENCYPART_ARC
(14,27),-0.855167 # DEPENDENCYPART_ARC
(15,1),-3.98898 # DEPENDENCYPART_ARC
(15,2),-3.84111 # DEPENDENCYPART_ARC
(15,3),-3.82387 # DEPENDENCYPART_ARC
(15,4),-3.53345 # DEPENDENCYPART_ARC
(15,5),-2.46312 # DEPENDENCYPART_ARC
(15,6),-3.18218 # DEPENDENCYPART_ARC
(15,7),-2.14844 # DEPENDENCYPART_ARC
(15,8),-2.05413 # DEPENDENCYPART_ARC
(15,9),-2.70963 # DEPENDENCYPART_ARC
(15,10),-1.97659 # DEPENDENCYPART_ARC
(15,11),-0.73665 # DEPENDENCYPART_ARC
(15,12),-2.07103 # DEPENDENCYPART_ARC
(15,13),-0.830947 # DEPENDENCYPART_ARC
(15,14),-0.0741372 # DEPENDENCYPART_ARC
(15,16),-0.0549681 # DEPENDENCYPART_ARC
(15,17),0.0997049 # DEPENDENCYPART_ARC
(15,18),0.762835 # DEPENDENCYPART_ARC
(15,19),-1.32679 # DEPENDENCYPART_ARC
(15,20),-1.01502 # DEPENDENCYPART_ARC
(15,21),-3.1138 # DEPENDENCYPART_ARC
(15,22),-2.30474 # DEPENDENCYPART_ARC
(15,23),-2.9464 # DEPENDENCYPART_ARC
(15,24),-0.54314 # DEPENDENCYPART_ARC
(15,25),-2.96472 # DEPENDENCYPART_ARC
(15,26),-2.44001 # DEPENDENCYPART_ARC
(15,27),-1.86844 # DEPENDENCYPART_ARC
(16,1),-1.25409 # DEPENDENCYPART_ARC
(16,2),-2.91069 # DEPENDENCYPART_ARC
(16,3),-2.14098 # DEPENDENCYPART_ARC
(16,4),-1.81144 # DEPENDENCYPART_ARC
(16,5),-0.892146 # DEPENDENCYPART_ARC
(16,6),-1.7972 # DEPENDENCYPART_ARC
(16,7),0.0289652 # DEPENDENCYPART_ARC
(16,8),-0.155962 # DEPENDENCYPART_ARC
(16,9),-1.41193 # DEPENDENCYPART_ARC
(16,10),-0.18167 # DEPENDENCYPART_ARC
(16,11),0.713953 # DEPENDENCYPART_ARC
(16,12),-0.659595 # DEPENDENCYPART_ARC
(16,13),0.162187 # DEPENDENCYPART_ARC
(16,14),1.61399 # DEPENDENCYPART_ARC
(16,15),3.35552 # DEPENDENCYPART_ARC
(16,17),2.3339 # DEPENDENCYPART_ARC
(16,18),0.712525 # DEPENDENCYPART_ARC
(16,19),3.0537 # DEPENDENCYPART_ARC
(16,20),1.74109 # DEPENDENCYPART_ARC
(16,21),0.917165 # DEPENDENCYPART_ARC
(16,22),0.916754 # DEPENDENCYPART_ARC
(16,23),0.491739 # DEPENDENCYPART_ARC
(16,24),-0.451541 # DEPENDENCYPART_ARC
(16,25),0.656509 # DEPENDENCYPART_ARC
(16,26),2.02587 # DEPENDENCYPART_ARC
(16,27),1.59039 # DEPENDENCYPART_ARC
(17,1),-3.84797 # DEPENDENCYPART_ARC
(17,2),-4.03841 # DEPENDENCYPART_ARC
(17,3),-3.73619 # DEPENDENCYPART_ARC
(17,4),-3.52376 # DEPENDENCYPART_ARC
(17,5),-3.44907 # DEPENDENCYPART_ARC
(17,6),-3.72451 # DEPENDENCYPART_ARC
(17,7),-2.76094 # DEPENDENCYPART_ARC
(17,8),-3.28725 # DEPENDENCYPART_ARC
(17,9),-3.36982 # DEPENDENCYPART_ARC
(17,10),-2.20184 # DEPENDENCYPART_ARC
(17,11),-3.03621 # DEPENDENCYPART_ARC
(17,12),-3.09182 # DEPENDENCYPART_ARC
(17,13),-2.82107 # DEPENDENCYPART_ARC
(17,14),-1.84515 # DEPENDENCYPART_ARC
(17,15),-1.17155 # DEPENDENCYPART_ARC
(17,16),-1.26479 # DEPENDENCYPART_ARC
(17,18),-1.93439 # DEPENDENCYPART_ARC
(17,19),-0.987713 # DEPENDENCYPART_ARC
(17,20),-1.51139 # DEPENDENCYPART_ARC
(17,21),-2.00605 # DEPENDENCYPART_ARC
(17,22),-1.9779 # DEPENDENCYPART_ARC
(17,23),-2.03467 # DEPENDENCYPART_ARC
(17,24),-3.62577 # DEPENDENCYPART_ARC
(17,25),-2.91469 # DEPENDENCYPART_ARC
(17,26),-2.57135 # DEPENDENCYPART_ARC
(17,27),-1.79004 # DEPENDENCYPART_ARC
(18,1),-3.64141 # DEPENDENCYPART_ARC
(18,2),-3.65544 # DEPENDENCYPART_ARC
(18,3),-3.69293 # DEPENDENCYPART_ARC
(18,4),-3.46153 # DEPENDENCYPART_ARC
(18,5),-2.29386 # DEPENDENCYPART_ARC
(18,6),-3.08784 # DEPENDENCYPART_ARC
(18,7),-2.08607 # DEPENDENCYPART_ARC
(18,8),-1.75963 # DEPENDENCYPART_ARC
(18,9),-2.72077 # DEPENDENCYPART_ARC
(18,10),-1.8246 # DEPENDENCYPART_ARC
(18,11),-1.13047 # DEPENDENCYPART_ARC
(18,12),-2.42276 # DEPENDENCYPART_ARC
(18,13),-1.62439 # DEPENDENCYPART_ARC
(18,14),-1.30718 # DEPENDENCYPART_ARC
(18,15),0.225279 # DEPENDENCYPART_ARC
(18,16),-1.21569 # DEPENDENCYPART_ARC
(18,17),0.0386855 # DEPENDENCYPART_ARC
(18,19),0.317985 # DEPENDENCYPART_ARC
(18,20),0.254918 # DEPENDENCYPART_ARC
(18,21),-2.10613 # DEPENDENCYPART_ARC
(18,22),-1.50739 # DEPENDENCYPART_ARC
(18,23),-2.21375 # DEPENDENCYPART_ARC
(18,24),-0.203149 # DEPENDENCYPART_ARC
(18,25),-2.7638 # DEPENDENCYPART_ARC
(18,26),-2.59799 # DEPENDENCYPART_ARC
(18,27),-2.07115 # DEPENDENCYPART_ARC
(19,1),-1.55831 # DEPENDENCYPART_ARC
(19,2),-3.12291 # DEPENDENCYPART_ARC
(19,3),-2.16933 # DEPENDENCYPART_ARC
(19,4),-1.70152 # DEPENDENCYPART_ARC
(19,5),-0.930206 # DEPENDENCYPART_ARC
(19,6),-2.25666 # DEPENDENCYPART_ARC
(19,7),-0.556474 # DEPENDENCYPART_ARC
(19,8),-0.583453 # DEPENDENCYPART_ARC
(19,9),-1.63848 # DEPENDENCYPART_ARC
(19,10),-0.815174 # DEPENDENCYPART_ARC
(19,11),-0.228883 # DEPENDENCYPART_ARC
(19,12),-1.31962 # DEPENDENCYPART_ARC
(19,13),-0.382543 # DEPENDENCYPART_ARC
