# _root_ El senador per CiU i alcalde d' Amposta , Joan_Maria_Roig , s' havia interessat per aquesta qüestió en una pregunta oral a la cambra alta .
#goldHeads=2,14,2,3,2,2,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
#predictedHeads=2,14,2,3,4,4,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
(2,16),-2.35444 # DEPENDENCYPART_ARC
(2,17),0.638537 # DEPENDENCYPART_ARC
(2,18),-0.078458 # DEPENDENCYPART_ARC
(2,19),-2.78505 # DEPENDENCYPART_ARC
(2,20),0.442729 # DEPENDENCYPART_ARC
(2,21),0.592879 # DEPENDENCYPART_ARC
(2,22),0.0723141 # DEPENDENCYPART_ARC
(2,23),-3.18151 # DEPENDENCYPART_ARC
(2,24),-0.0620162 # DEPENDENCYPART_ARC
(2,25),-1.25506 # DEPENDENCYPART_ARC
(2,26),1.64794 # DEPENDENCYPART_ARC
(3,1),0.47484 # DEPENDENCYPART_ARC
(3,2),0.32649 # DEPENDENCYPART_ARC
(3,4),3.9522 # DEPENDENCYPART_ARC
(3,5),1.06985 # DEPENDENCYPART_ARC
(3,6),-0.0051902 # DEPENDENCYPART_ARC
(3,7),-0.0399532 # DEPENDENCYPART_ARC
(3,8),-1.00846 # DEPENDENCYPART_ARC
(3,9),0.449179 # DEPENDENCYPART_ARC
(3,10),-3.266 # DEPENDENCYPART_ARC
(3,11),-0.701684 # DEPENDENCYPART_ARC
(3,12),-3.75497 # DEPENDENCYPART_ARC
(3,13),-2.74743 # DEPENDENCYPART_ARC
(3,14),-2.11994 # DEPENDENCYPART_ARC
(3,15),-1.07023 # DEPENDENCYPART_ARC
(3,16),-3.04291 # DEPENDENCYPART_ARC
(3,17),-7.91333 # DEPENDENCYPART_ARC
(3,18),-3.73229 # DEPENDENCYPART_ARC
(3,19),-3.16417 # DEPENDENCYPART_ARC
(3,20),-9.65302 # DEPENDENCYPART_ARC
(3,21),-4.48062 # DEPENDENCYPART_ARC
(3,22),-4.21252 # DEPENDENCYPART_ARC
(3,23),-3.22296 # DEPENDENCYPART_ARC
(3,24),-11.5606 # DEPENDENCYPART_ARC
(3,25),-4.86561 # DEPENDENCYPART_ARC
(3,26),0.0301844 # DEPENDENCYPART_ARC
(4,1),-1.28515 # DEPENDENCYPART_ARC
(4,2),-2.22319 # DEPENDENCYPART_ARC
(4,3),-0.228788 # DEPENDENCYPART_ARC
(4,5),3.5502 # DEPENDENCYPART_ARC
(4,6),2.50105 # DEPENDENCYPART_ARC
(4,7),1.2267 # DEPENDENCYPART_ARC
(4,8),1.20865 # DEPENDENCYPART_ARC
(4,9),0.58264 # DEPENDENCYPART_ARC
(4,10),1.37446 # DEPENDENCYPART_ARC
(4,11),-0.3708 # DEPENDENCYPART_ARC
(4,12),-0.348434 # DEPENDENCYPART_ARC
(4,13),-0.351887 # DEPENDENCYPART_ARC
(4,14),-0.0742021 # DEPENDENCYPART_ARC
(4,15),-2.22541 # DEPENDENCYPART_ARC
(4,16),-2.50089 # DEPENDENCYPART_ARC
(4,17),-1.11837 # DEPENDENCYPART_ARC
(4,18),-1.89707 # DEPENDENCYPART_ARC
(4,19),-2.90052 # DEPENDENCYPART_ARC
(4,20),-0.913124 # DEPENDENCYPART_ARC
(4,21),-0.619594 # DEPENDENCYPART_ARC
(4,22),-2.06904 # DEPENDENCYPART_ARC
(4,23),-3.10163 # DEPENDENCYPART_ARC
(4,24),-1.31672 # DEPENDENCYPART_ARC
(4,25),-0.616507 # DEPENDENCYPART_ARC
(4,26),-0.159221 # DEPENDENCYPART_ARC
(5,1),-2.41475 # DEPENDENCYPART_ARC
(5,2),-2.70026 # DEPENDENCYPART_ARC
(5,3),-1.35907 # DEPENDENCYPART_ARC
(5,4),-1.37896 # DEPENDENCYPART_ARC
(5,6),-0.204938 # DEPENDENCYPART_ARC
(5,7),-1.72345 # DEPENDENCYPART_ARC
(5,8),-1.89313 # DEPENDENCYPART_ARC
(5,9),-1.34813 # DEPENDENCYPART_ARC
(5,10),-2.64728 # DEPENDENCYPART_ARC
(5,11),-1.35874 # DEPENDENCYPART_ARC
(5,12),-2.55371 # DEPENDENCYPART_ARC
(5,13),-2.40713 # DEPENDENCYPART_ARC
(5,14),-3.02265 # DEPENDENCYPART_ARC
(5,15),-3.47466 # DEPENDENCYPART_ARC
(5,16),-4.09846 # DEPENDENCYPART_ARC
(5,17),-4.58474 # DEPENDENCYPART_ARC
(5,18),-3.8736 # DEPENDENCYPART_ARC
(5,19),-4.18875 # DEPENDENCYPART_ARC
(5,20),-4.93339 # DEPENDENCYPART_ARC
(5,21),-3.34463 # DEPENDENCYPART_ARC
(5,22),-3.51443 # DEPENDENCYPART_ARC
(5,23),-4.3673 # DEPENDENCYPART_ARC
(5,24),-5.43491 # DEPENDENCYPART_ARC
(5,25),-3.50438 # DEPENDENCYPART_ARC
(5,26),-2.50459 # DEPENDENCYPART_ARC
(6,1),0.271851 # DEPENDENCYPART_ARC
(6,2),-0.73825 # DEPENDENCYPART_ARC
(6,3),0.289917 # DEPENDENCYPART_ARC
(6,4),1.10518 # DEPENDENCYPART_ARC
(6,5),1.93843 # DEPENDENCYPART_ARC
(6,7),2.53593 # DEPENDENCYPART_ARC
(6,8),1.43835 # DEPENDENCYPART_ARC
(6,9),1.329 # DEPENDENCYPART_ARC
(6,10),1.83092 # DEPENDENCYPART_ARC
(6,11),-0.0455806 # DEPENDENCYPART_ARC
(6,12),-0.597608 # DEPENDENCYPART_ARC
(6,13),0.338234 # DEPENDENCYPART_ARC
(6,14),-0.080295 # DEPENDENCYPART_ARC
(6,15),-1.44596 # DEPENDENCYPART_ARC
(6,16),-2.88947 # DEPENDENCYPART_ARC
(6,17),-0.701267 # DEPENDENCYPART_ARC
(6,18),-2.05565 # DEPENDENCYPART_ARC
(6,19),-3.35293 # DEPENDENCYPART_ARC
(6,20),-0.99022 # DEPENDENCYPART_ARC
(6,21),-0.658565 # DEPENDENCYPART_ARC
(6,22),-1.72946 # DEPENDENCYPART_ARC
(6,23),-3.51747 # DEPENDENCYPART_ARC
(6,24),-1.31866 # DEPENDENCYPART_ARC
(6,25),-2.1433 # DEPENDENCYPART_ARC
(6,26),0.532518 # DEPENDENCYPART_ARC
(7,1),-0.934924 # DEPENDENCYPART_ARC
(7,2),-1.16779 # DEPENDENCYPART_ARC
(7,3),-0.445713 # DEPENDENCYPART_ARC
(7,4),-0.462754 # DEPENDENCYPART_ARC
(7,5),0.00214465 # DEPENDENCYPART_ARC
(7,6),0.598717 # DEPENDENCYPART_ARC
(7,8),3.84475 # DEPENDENCYPART_ARC
(7,9),0.489319 # DEPENDENCYPART_ARC
(7,10),0.106607 # DEPENDENCYPART_ARC
(7,11),-0.852964 # DEPENDENCYPART_ARC
(7,12),-2.32887 # DEPENDENCYPART_ARC
(7,13),-2.08375 # DEPENDENCYPART_ARC
(7,14),-1.52518 # DEPENDENCYPART_ARC
(7,15),-2.74731 # DEPENDENCYPART_ARC
(7,16),-3.33978 # DEPENDENCYPART_ARC
(7,17),-4.9543 # DEPENDENCYPART_ARC
(7,18),-2.81898 # DEPENDENCYPART_ARC
(7,19),-3.3835 # DEPENDENCYPART_ARC
(7,20),-6.28351 # DEPENDENCYPART_ARC
(7,21),-3.91675 # DEPENDENCYPART_ARC
(7,22),-2.78628 # DEPENDENCYPART_ARC
(7,23),-3.50255 # DEPENDENCYPART_ARC
(7,24),-7.83845 # DEPENDENCYPART_ARC
(7,25),-4.31555 # DEPENDENCYPART_ARC
(7,26),-2.0019 # DEPENDENCYPART_ARC
(8,1),-2.42149 # DEPENDENCYPART_ARC
(8,2),-2.34608 # DEPENDENCYPART_ARC
(8,3),-1.3356 # DEPENDENCYPART_ARC
(8,4),-1.01048 # DEPENDENCYPART_ARC
(8,5),-1.07974 # DEPENDENCYPART_ARC
(8,6),-0.579169 # DEPENDENCYPART_ARC
(8,7),0.704795 # DEPENDENCYPART_ARC
(8,9),2.05278 # DEPENDENCYPART_ARC
(8,10),2.06996 # DEPENDENCYPART_ARC
(8,11),0.126269 # DEPENDENCYPART_ARC
(8,12),-0.376139 # DEPENDENCYPART_ARC
(8,13),0.962617 # DEPENDENCYPART_ARC
(8,14),1.07202 # DEPENDENCYPART_ARC
(8,15),-1.55702 # DEPENDENCYPART_ARC
(8,16),-1.9201 # DEPENDENCYPART_ARC
(8,17),-0.700985 # DEPENDENCYPART_ARC
(8,18),-1.40607 # DEPENDENCYPART_ARC
(8,19),-2.28231 # DEPENDENCYPART_ARC
(8,20),-0.835436 # DEPENDENCYPART_ARC
(8,21),-0.450629 # DEPENDENCYPART_ARC
(8,22),-1.38701 # DEPENDENCYPART_ARC
(8,23),-2.57752 # DEPENDENCYPART_ARC
(8,24),-1.17185 # DEPENDENCYPART_ARC
(8,25),-0.305584 # DEPENDENCYPART_ARC
(8,26),0.380415 # DEPENDENCYPART_ARC
(9,1),-3.09031 # DEPENDENCYPART_ARC
(9,2),-3.2887 # DEPENDENCYPART_ARC
(9,3),-2.22172 # DEPENDENCYPART_ARC
(9,4),-3.00895 # DEPENDENCYPART_ARC
(9,5),-2.13483 # DEPENDENCYPART_ARC
(9,6),-2.70718 # DEPENDENCYPART_ARC
(9,7),-1.55592 # DEPENDENCYPART_ARC
(9,8),-1.54294 # DEPENDENCYPART_ARC
(9,10),-1.20284 # DEPENDENCYPART_ARC
(9,11),-1.89282 # DEPENDENCYPART_ARC
(9,12),-2.31464 # DEPENDENCYPART_ARC
(9,13),-1.90268 # DEPENDENCYPART_ARC
(9,14),-2.43748 # DEPENDENCYPART_ARC
(9,15),-2.71839 # DEPENDENCYPART_ARC
(9,16),-3.3015 # DEPENDENCYPART_ARC
(9,17),-2.93573 # DEPENDENCYPART_ARC
(9,18),-2.64759 # DEPENDENCYPART_ARC
(9,19),-3.40416 # DEPENDENCYPART_ARC
(9,20),-2.98937 # DEPENDENCYPART_ARC
(9,21),-2.96591 # DEPENDENCYPART_ARC
(9,22),-2.95994 # DEPENDENCYPART_ARC
(9,23),-3.49088 # DEPENDENCYPART_ARC
(9,24),-3.1474 # DEPENDENCYPART_ARC
(9,25),-3.04429 # DEPENDENCYPART_ARC
(9,26),-2.56176 # DEPENDENCYPART_ARC
(10,1),-2.99454 # DEPENDENCYPART_ARC
(10,2),-1.21985 # DEPENDENCYPART_ARC
(10,3),-0.293831 # DEPENDENCYPART_ARC
(10,4),0.147139 # DEPENDENCYPART_ARC
(10,5),-0.364611 # DEPENDENCYPART_ARC
(10,6),-0.126296 # DEPENDENCYPART_ARC
(10,7),0.399028 # DEPENDENCYPART_ARC
(10,8),1.66134 # DEPENDENCYPART_ARC
(10,9),3.16766 # DEPENDENCYPART_ARC
(10,11),3.19959 # DEPENDENCYPART_ARC
(10,12),0.865151 # DEPENDENCYPART_ARC
(10,13),1.70098 # DEPENDENCYPART_ARC
(10,14),1.15889 # DEPENDENCYPART_ARC
(10,15),-1.06145 # DEPENDENCYPART_ARC
(10,16),-1.39819 # DEPENDENCYPART_ARC
(10,17),-0.72655 # DEPENDENCYPART_ARC
(10,18),-1.23719 # DEPENDENCYPART_ARC
(10,19),-1.81033 # DEPENDENCYPART_ARC
(10,20),-1.19329 # DEPENDENCYPART_ARC
(10,21),-0.497555 # DEPENDENCYPART_ARC
(10,22),-1.01014 # DEPENDENCYPART_ARC
(10,23),-2.1404 # DEPENDENCYPART_ARC
(10,24),-1.58508 # DEPENDENCYPART_ARC
(10,25),-0.470732 # DEPENDENCYPART_ARC
(10,26),1.25293 # DEPENDENCYPART_ARC
(11,1),-3.25874 # DEPENDENCYPART_ARC
(11,2),-3.58124 # DEPENDENCYPART_ARC
(11,3),-2.48622 # DEPENDENCYPART_ARC
(11,4),-3.27984 # DEPENDENCYPART_ARC
(11,5),-2.47078 # DEPENDENCYPART_ARC
(11,6),-3.28019 # DEPENDENCYPART_ARC
(11,7),-2.11616 # DEPENDENCYPART_ARC
(11,8),-2.89191 # DEPENDENCYPART_ARC
(11,9),-1.41889 # DEPENDENCYPART_ARC
(11,10),-1.6411 # DEPENDENCYPART_ARC
(11,12),-2.12668 # DEPENDENCYPART_ARC
(11,13),-2.62582 # DEPENDENCYPART_ARC
(11,14),-3.03983 # DEPENDENCYPART_ARC
(11,15),-3.61508 # DEPENDENCYPART_ARC
(11,16),-4.14809 # DEPENDENCYPART_ARC
(11,17),-3.65039 # DEPENDENCYPART_ARC
(11,18),-3.5238 # DEPENDENCYPART_ARC
(11,19),-4.27806 # DEPENDENCYPART_ARC
(11,20),-3.81669 # DEPENDENCYPART_ARC
(11,21),-3.82096 # DEPENDENCYPART_ARC
(11,22),-3.78542 # DEPENDENCYPART_ARC
(11,23),-4.37036 # DEPENDENCYPART_ARC
(11,24),-3.9386 # DEPENDENCYPART_ARC
(11,25),-3.90358 # DEPENDENCYPART_ARC
(11,26),-3.32708 # DEPENDENCYPART_ARC
(12,1),-3.04812 # DEPENDENCYPART_ARC
(12,2),-2.69023 # DEPENDENCYPART_ARC
(12,3),-1.72084 # DEPENDENCYPART_ARC
(12,4),-2.2983 # DEPENDENCYPART_ARC
(12,5),-1.18194 # DEPENDENCYPART_ARC
(12,6),-2.56006 # DEPENDENCYPART_ARC
(12,7),-1.53672 # DEPENDENCYPART_ARC
(12,8),-2.11849 # DEPENDENCYPART_ARC
(12,9),-0.669508 # DEPENDENCYPART_ARC
(12,10),-1.38659 # DEPENDENCYPART_ARC
(12,11),0.578266 # DEPENDENCYPART_ARC
(12,13),-0.306345 # DEPENDENCYPART_ARC
(12,14),-1.24541 # DEPENDENCYPART_ARC
(12,15),-1.48848 # DEPENDENCYPART_ARC
(12,16),-2.03844 # DEPENDENCYPART_ARC
(12,17),-1.14625 # DEPENDENCYPART_ARC
(12,18),-2.5205 # DEPENDENCYPART_ARC
(12,19),-2.76593 # DEPENDENCYPART_ARC
(12,20),-1.62427 # DEPENDENCYPART_ARC
(12,21),-2.2109 # DEPENDENCYPART_ARC
(12,22),-2.58329 # DEPENDENCYPART_ARC
(12,23),-2.98926 # DEPENDENCYPART_ARC
(12,24),-1.97578 # DEPENDENCYPART_ARC
(12,25),-2.47848 # DEPENDENCYPART_ARC
(12,26),-0.185705 # DEPENDENCYPART_ARC
(13,1),-3.18788 # DEPENDENCYPART_ARC
(13,2),-1.44837 # DEPENDENCYPART_ARC
(13,3),-0.633206 # DEPENDENCYPART_ARC
(13,4),-1.63911 # DEPENDENCYPART_ARC
(13,5),-2.26787 # DEPENDENCYPART_ARC
(13,6),-0.931841 # DEPENDENCYPART_ARC
(13,7),-1.19239 # DEPENDENCYPART_ARC
(13,8),-1.78654 # DEPENDENCYPART_ARC
(13,9),-1.16041 # DEPENDENCYPART_ARC
(13,10),-1.27686 # DEPENDENCYPART_ARC
(13,11),0.75328 # DEPENDENCYPART_ARC
(13,12),1.49392 # DEPENDENCYPART_ARC
(13,14),2.19048 # DEPENDENCYPART_ARC
(13,15),0.355845 # DEPENDENCYPART_ARC
(13,16),-3.76348 # DEPENDENCYPART_ARC
(13,17),-0.0807177 # DEPENDENCYPART_ARC
(13,18),-0.121493 # DEPENDENCYPART_ARC
(13,19),-4.26075 # DEPENDENCYPART_ARC
(13,20),-0.833471 # DEPENDENCYPART_ARC
(13,21),-1.51693 # DEPENDENCYPART_ARC
(13,22),-0.690601 # DEPENDENCYPART_ARC
(13,23),-4.58115 # DEPENDENCYPART_ARC
(13,24),-0.959316 # DEPENDENCYPART_ARC
(13,25),-1.86284 # DEPENDENCYPART_ARC
(13,26),1.70704 # DEPENDENCYPART_ARC
(14,1),-0.689127 # DEPENDENCYPART_ARC
(14,2),1.2175 # DEPENDENCYPART_ARC
(14,3),0.190872 # DEPENDENCYPART_ARC
(14,4),1.16431 # DEPENDENCYPART_ARC
(14,5),-0.0544126 # DEPENDENCYPART_ARC
(14,6),1.30099 # DEPENDENCYPART_ARC
(14,7),-0.420625 # DEPENDENCYPART_ARC
(14,8),0.952739 # DEPENDENCYPART_ARC
(14,9),0.467673 # DEPENDENCYPART_ARC
(14,10),1.31426 # DEPENDENCYPART_ARC
(14,11),2.50731 # DEPENDENCYPART_ARC
(14,12),4.6119 # DEPENDENCYPART_ARC
(14,13),6.42517 # DEPENDENCYPART_ARC
(14,15),3.59854 # DEPENDENCYPART_ARC
(14,16),-0.965212 # DEPENDENCYPART_ARC
(14,17),2.60535 # DEPENDENCYPART_ARC
(14,18),2.3573 # DEPENDENCYPART_ARC
(14,19),-2.02124 # DEPENDENCYPART_ARC
(14,20),1.77361 # DEPENDENCYPART_ARC
(14,21),0.514977 # DEPENDENCYPART_ARC
(14,22),1.79756 # DEPENDENCYPART_ARC
(14,23),-2.50995 # DEPENDENCYPART_ARC
(14,24),1.39649 # DEPENDENCYPART_ARC
(14,25),0.166925 # DEPENDENCYPART_ARC
(14,26),4.17581 # DEPENDENCYPART_ARC
(15,1),-3.05086 # DEPENDENCYPART_ARC
(15,2),-3.80103 # DEPENDENCYPART_ARC
(15,3),-2.95637 # DEPENDENCYPART_ARC
(15,4),-3.49277 # DEPENDENCYPART_ARC
(15,5),-2.14856 # DEPENDENCYPART_ARC
(15,6),-3.6703 # DEPENDENCYPART_ARC
(15,7),-2.46064 # DEPENDENCYPART_ARC
(15,8),-3.47995 # DEPENDENCYPART_ARC
(15,9),-2.19918 # DEPENDENCYPART_ARC
(15,10),-3.26076 # DEPENDENCYPART_ARC
(15,11),-1.85001 # DEPENDENCYPART_ARC
(15,12),-1.52719 # DEPENDENCYPART_ARC
(15,13),-0.678748 # DEPENDENCYPART_ARC
(15,14),-1.06768 # DEPENDENCYPART_ARC
(15,16),0.354114 # DEPENDENCYPART_ARC
(15,17),4.82875 # DEPENDENCYPART_ARC
(15,18),0.143978 # DEPENDENCYPART_ARC
(15,19),-1.556 # DEPENDENCYPART_ARC
(15,20),1.45627 # DEPENDENCYPART_ARC
(15,21),-0.483788 # DEPENDENCYPART_ARC
(15,22),-0.69318 # DEPENDENCYPART_ARC
(15,23),-2.19678 # DEPENDENCYPART_ARC
(15,24),-0.981568 # DEPENDENCYPART_ARC
(15,25),-1.17019 # DEPENDENCYPART_ARC
(15,26),0.532325 # DEPENDENCYPART_ARC
(16,1),-4.73536 # DEPENDENCYPART_ARC
(16,2),-4.37791 # DEPENDENCYPART_ARC
(16,3),-3.87466 # DEPENDENCYPART_ARC
(16,4),-3.7521 # DEPENDENCYPART_ARC
(16,5),-3.12397 # DEPENDENCYPART_ARC
(16,6),-4.03261 # DEPENDENCYPART_ARC
(16,7),-3.68217 # DEPENDENCYPART_ARC
(16,8),-3.53986 # DEPENDENCYPART_ARC
(16,9),-3.02164 # DEPENDENCYPART_ARC
(16,10),-3.35485 # DEPENDENCYPART_ARC
(16,11),-2.82922 # DEPENDENCYPART_ARC
(16,12),-2.70711 # DEPENDENCYPART_ARC
(16,13),-3.12918 # DEPENDENCYPART_ARC
(16,14),-2.61105 # DEPENDENCYPART_ARC
(16,15),-1.00309 # DEPENDENCYPART_ARC
(16,17),3.34122 # DEPENDENCYPART_ARC
(16,18),-0.213973 # DEPENDENCYPART_ARC
(16,19),1.8438 # DEPENDENCYPART_ARC
(16,20),-0.755362 # DEPENDENCYPART_ARC
(16,21),-1.68876 # DEPENDENCYPART_ARC
(16,22),-2.56612 # DEPENDENCYPART_ARC
(16,23),-0.483368 # DEPENDENCYPART_ARC
(16,24),-2.0731 # DEPENDENCYPART_ARC
(16,25),-2.12943 # DEPENDENCYPART_ARC
(16,26),-1.80512 # DEPENDENCYPART_ARC
(17,1),-6.72302 # DEPENDENCYPART_ARC
(17,2),-2.44698 # DEPENDENCYPART_ARC
(17,3),-2.03795 # DEPENDENCYPART_ARC
(17,4),-1.78615 # DEPENDENCYPART_ARC
(17,5),-1.13551 # DEPENDENCYPART_ARC
(17,6),-2.12977 # DEPENDENCYPART_ARC
(17,7),-1.63089 # DEPENDENCYPART_ARC
(17,8),-1.85659 # DEPENDENCYPART_ARC
(17,9),-0.717172 # DEPENDENCYPART_ARC
(17,10),-2.11043 # DEPENDENCYPART_ARC
(17,11),-0.663512 # DEPENDENCYPART_ARC
(17,12),-0.974447 # DEPENDENCYPART_ARC
(17,13),-1.28528 # DEPENDENCYPART_ARC
(17,14),-1.20756 # DEPENDENCYPART_ARC
(17,15),0.876602 # DEPENDENCYPART_ARC
(17,16),4.48808 # DEPENDENCYPART_ARC
(17,18),1.30821 # DEPENDENCYPART_ARC
(17,19),-0.629852 # DEPENDENCYPART_ARC
(17,20),0.854359 # DEPENDENCYPART_ARC
(17,21),1.454 # DEPENDENCYPART_ARC
(17,22),0.876828 # DEPENDENCYPART_ARC
(17,23),-1.73324 # DEPENDENCYPART_ARC
(17,24),0.198568 # DEPENDENCYPART_ARC
(17,25),0.878095 # DEPENDENCYPART_ARC
(17,26),1.32366 # DEPENDENCYPART_ARC
(18,1),-3.01283 # DEPENDENCYPART_ARC
(18,2),-3.4227 # DEPENDENCYPART_ARC
(18,3),-3.03732 # DEPENDENCYPART_ARC
(18,4),-2.96592 # DEPENDENCYPART_ARC
(18,5),-1.91148 # DEPENDENCYPART_ARC
(18,6),-3.25663 # DEPENDENCYPART_ARC
(18,7),-2.50254 # DEPENDENCYPART_ARC
(18,8),-2.99067 # DEPENDENCYPART_ARC
(18,9),-1.64216 # DEPENDENCYPART_ARC
(18,10),-2.93881 # DEPENDENCYPART_ARC
(18,11),-1.20774 # DEPENDENCYPART_ARC
(18,12),-1.49407 # DEPENDENCYPART_ARC
(18,13),-1.09819 # DEPENDENCYPART_ARC
(18,14),-1.99023 # DEPENDENCYPART_ARC
(18,15),-0.241064 # DEPENDENCYPART_ARC
(18,16),0.426326 # DEPENDENCYPART_ARC
(18,17),-0.260118 # DEPENDENCYPART_ARC
(18,19),0.541588 # DEPENDENCYPART_ARC
(18,20),5.06194 # DEPENDENCYPART_ARC
(18,21),0.341286 # DEPENDENCYPART_ARC
(18,22),-0.137981 # DEPENDENCYPART_ARC
(18,23),-1.64335 # DEPENDENCYPART_ARC
(18,24),0.623524 # DEPENDENCYPART_ARC
(18,25),-0.77274 # DEPENDENCYPART_ARC
(18,26),-0.347195 # DEPENDENCYPART_ARC
(19,1),-6.21023 # DEPENDENCYPART_ARC
(19,2),-4.76168 # DEPENDENCYPART_ARC
(19,3),-4.14033 # DEPENDENCYPART_ARC
(19,4),-4.13733 # DEPENDENCYPART_ARC
(19,5),-3.65099 # DEPENDENCYPART_ARC
(19,6),-4.64688 # DEPENDENCYPART_ARC
(19,7),-3.86229 # DEPENDENCYPART_ARC
(19,8),-4.16728 # DEPENDENCYPART_ARC
(19,9),-3.2004 # DEPENDENCYPART_ARC
(19,10),-3.95781 # DEPENDENCYPART_ARC
(19,11),-3.12374 # DEPENDENCYPART_ARC
(19,12),-3.55458 # DEPENDENCYPART_ARC
(19,13),-4.17168 # DEPENDENCYPART_ARC
(19,14),-4.04734 # DEPENDENCYPART_ARC
(19,15),-2.5557 # DEPENDENCYPART_ARC
(19,16),-1.98002 # DEPENDENCYPART_ARC
(19,17),-2.47535 # DEPENDENCYPART_ARC
(19,18),-1.03206 # DEPENDENCYPART_ARC
(19,20),1.71625 # DEPENDENCYPART_ARC
(19,21),-0.361886 # DEPENDENCYPART_ARC
(19,22),-1.76754 # DEPENDENCYPART_ARC
(19,23),0.521799 # DEPENDENCYPART_ARC
(19,24),-1.20408 # DEPENDENCYPART_ARC
(19,25),-1.96506 # DEPENDENCYPART_ARC
(19,26),-2.10022 # DEPENDENCYPART_ARC
(20,1),-7.95591 # DEPENDENCYPART_ARC
(20,2),-2.94335 # DEPENDENCYPART_ARC
(20,3),-1.98162 # DEPENDENCYPART_ARC
(20,4),-2.19896 # DEPENDENCYPART_ARC
(20,5),-1.18652 # DEPENDENCYPART_ARC
(20,6),-2.45854 # DEPENDENCYPART_ARC
(20,7),-1.5806 # DEPENDENCYPART_ARC
