# _root_ En el cas del disc de Belén_Alonso , la fotografia de llibret és de Julia_Llona i el disseny de Juanjo_Melgar ; en el disc de Díaz , la fotografia i el disseny del llibret són de Carlos_Roche .
#goldHeads=13,3,1,3,4,3,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,35,24,22,24,25,22,29,35,29,32,29,29,33,13,35,36,13,
#predictedHeads=13,3,1,3,4,5,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,18,24,22,24,25,22,29,35,29,32,29,32,33,13,35,36,13,
(4,35),-7.24099 # DEPENDENCYPART_ARC
(4,36),-1.91615 # DEPENDENCYPART_ARC
(4,37),-22.1221 # DEPENDENCYPART_ARC
(4,38),-0.817579 # DEPENDENCYPART_ARC
(5,1),-0.439457 # DEPENDENCYPART_ARC
(5,2),1.06924 # DEPENDENCYPART_ARC
(5,3),-0.343143 # DEPENDENCYPART_ARC
(5,4),0.912616 # DEPENDENCYPART_ARC
(5,6),3.16212 # DEPENDENCYPART_ARC
(5,7),1.44358 # DEPENDENCYPART_ARC
(5,8),0.534093 # DEPENDENCYPART_ARC
(5,9),-1.94839 # DEPENDENCYPART_ARC
(5,10),0.746769 # DEPENDENCYPART_ARC
(5,11),1.51842 # DEPENDENCYPART_ARC
(5,12),0.412217 # DEPENDENCYPART_ARC
(5,13),0.999153 # DEPENDENCYPART_ARC
(5,14),-1.07667 # DEPENDENCYPART_ARC
(5,15),-0.534723 # DEPENDENCYPART_ARC
(5,16),0.12246 # DEPENDENCYPART_ARC
(5,17),-2.6056 # DEPENDENCYPART_ARC
(5,18),-0.631679 # DEPENDENCYPART_ARC
(5,19),-1.19121 # DEPENDENCYPART_ARC
(5,20),-0.441344 # DEPENDENCYPART_ARC
(5,21),0.280571 # DEPENDENCYPART_ARC
(5,22),-1.89421 # DEPENDENCYPART_ARC
(5,23),-3.24314 # DEPENDENCYPART_ARC
(5,24),-0.638319 # DEPENDENCYPART_ARC
(5,25),-2.62316 # DEPENDENCYPART_ARC
(5,26),-0.912288 # DEPENDENCYPART_ARC
(5,27),-1.83767 # DEPENDENCYPART_ARC
(5,28),-4.44033 # DEPENDENCYPART_ARC
(5,29),-0.533933 # DEPENDENCYPART_ARC
(5,30),-1.20764 # DEPENDENCYPART_ARC
(5,31),-3.87897 # DEPENDENCYPART_ARC
(5,32),-1.97215 # DEPENDENCYPART_ARC
(5,33),-3.37716 # DEPENDENCYPART_ARC
(5,34),-1.96323 # DEPENDENCYPART_ARC
(5,35),-1.48932 # DEPENDENCYPART_ARC
(5,36),-6.22795 # DEPENDENCYPART_ARC
(5,37),-2.03668 # DEPENDENCYPART_ARC
(5,38),-1.0757 # DEPENDENCYPART_ARC
(6,1),-0.82984 # DEPENDENCYPART_ARC
(6,2),-0.663888 # DEPENDENCYPART_ARC
(6,3),-0.932616 # DEPENDENCYPART_ARC
(6,4),0.214131 # DEPENDENCYPART_ARC
(6,5),0.817292 # DEPENDENCYPART_ARC
(6,7),3.69222 # DEPENDENCYPART_ARC
(6,8),-0.362498 # DEPENDENCYPART_ARC
(6,9),-2.66541 # DEPENDENCYPART_ARC
(6,10),-0.582455 # DEPENDENCYPART_ARC
(6,11),-0.602304 # DEPENDENCYPART_ARC
(6,12),-1.91372 # DEPENDENCYPART_ARC
(6,13),-2.43363 # DEPENDENCYPART_ARC
(6,14),-1.2168 # DEPENDENCYPART_ARC
(6,15),-4.99608 # DEPENDENCYPART_ARC
(6,16),-0.882892 # DEPENDENCYPART_ARC
(6,17),-3.57321 # DEPENDENCYPART_ARC
(6,18),-7.22472 # DEPENDENCYPART_ARC
(6,19),-1.3285 # DEPENDENCYPART_ARC
(6,20),-8.3004 # DEPENDENCYPART_ARC
(6,21),-0.131823 # DEPENDENCYPART_ARC
(6,22),-3.58666 # DEPENDENCYPART_ARC
(6,23),-3.83296 # DEPENDENCYPART_ARC
(6,24),-10.36 # DEPENDENCYPART_ARC
(6,25),-1.55962 # DEPENDENCYPART_ARC
(6,26),-11.3599 # DEPENDENCYPART_ARC
(6,27),-2.49521 # DEPENDENCYPART_ARC
(6,28),-3.66272 # DEPENDENCYPART_ARC
(6,29),-13.5517 # DEPENDENCYPART_ARC
(6,30),-1.85966 # DEPENDENCYPART_ARC
(6,31),-3.55711 # DEPENDENCYPART_ARC
(6,32),-16.3472 # DEPENDENCYPART_ARC
(6,33),-2.76007 # DEPENDENCYPART_ARC
(6,34),-17.0231 # DEPENDENCYPART_ARC
(6,35),-4.50875 # DEPENDENCYPART_ARC
(6,36),-2.3276 # DEPENDENCYPART_ARC
(6,37),-18.8941 # DEPENDENCYPART_ARC
(6,38),-1.46235 # DEPENDENCYPART_ARC
(7,1),-1.01895 # DEPENDENCYPART_ARC
(7,2),-0.604018 # DEPENDENCYPART_ARC
(7,3),-1.34031 # DEPENDENCYPART_ARC
(7,4),-0.319037 # DEPENDENCYPART_ARC
(7,5),0.586213 # DEPENDENCYPART_ARC
(7,6),1.34336 # DEPENDENCYPART_ARC
(7,8),0.329668 # DEPENDENCYPART_ARC
(7,9),-0.95932 # DEPENDENCYPART_ARC
(7,10),0.588929 # DEPENDENCYPART_ARC
(7,11),0.915417 # DEPENDENCYPART_ARC
(7,12),0.239029 # DEPENDENCYPART_ARC
(7,13),0.544096 # DEPENDENCYPART_ARC
(7,14),-1.62885 # DEPENDENCYPART_ARC
(7,15),-0.349177 # DEPENDENCYPART_ARC
(7,16),0.760101 # DEPENDENCYPART_ARC
(7,17),-2.73576 # DEPENDENCYPART_ARC
(7,18),-0.804 # DEPENDENCYPART_ARC
(7,19),-1.92975 # DEPENDENCYPART_ARC
(7,20),-0.215436 # DEPENDENCYPART_ARC
(7,21),-0.0853699 # DEPENDENCYPART_ARC
(7,22),-2.43042 # DEPENDENCYPART_ARC
(7,23),-3.40339 # DEPENDENCYPART_ARC
(7,24),-0.763919 # DEPENDENCYPART_ARC
(7,25),-3.34515 # DEPENDENCYPART_ARC
(7,26),-0.488778 # DEPENDENCYPART_ARC
(7,27),-0.926665 # DEPENDENCYPART_ARC
(7,28),-4.08384 # DEPENDENCYPART_ARC
(7,29),-0.0186307 # DEPENDENCYPART_ARC
(7,30),0.0168319 # DEPENDENCYPART_ARC
(7,31),-4.14154 # DEPENDENCYPART_ARC
(7,32),-1.86223 # DEPENDENCYPART_ARC
(7,33),-4.48122 # DEPENDENCYPART_ARC
(7,34),-1.71629 # DEPENDENCYPART_ARC
(7,35),-2.22247 # DEPENDENCYPART_ARC
(7,36),-6.69439 # DEPENDENCYPART_ARC
(7,37),-1.34845 # DEPENDENCYPART_ARC
(7,38),-0.483392 # DEPENDENCYPART_ARC
(8,3),-3.12896 # DEPENDENCYPART_ARC
(8,5),-2.47484 # DEPENDENCYPART_ARC
(8,10),-1.0008 # DEPENDENCYPART_ARC
(8,12),-1.56688 # DEPENDENCYPART_ARC
(8,18),-2.13465 # DEPENDENCYPART_ARC
(8,24),-2.3028 # DEPENDENCYPART_ARC
(8,27),-1.48145 # DEPENDENCYPART_ARC
(8,29),-2.41763 # DEPENDENCYPART_ARC
(8,32),-2.44332 # DEPENDENCYPART_ARC
(8,34),-2.40318 # DEPENDENCYPART_ARC
(9,1),-2.45786 # DEPENDENCYPART_ARC
(9,2),-2.6685 # DEPENDENCYPART_ARC
(9,3),-2.35755 # DEPENDENCYPART_ARC
(9,4),-1.45499 # DEPENDENCYPART_ARC
(9,5),-1.93353 # DEPENDENCYPART_ARC
(9,6),-1.5074 # DEPENDENCYPART_ARC
(9,7),-1.04217 # DEPENDENCYPART_ARC
(9,10),1.58431 # DEPENDENCYPART_ARC
(9,11),0.950579 # DEPENDENCYPART_ARC
(9,12),-1.45457 # DEPENDENCYPART_ARC
(9,14),-1.1277 # DEPENDENCYPART_ARC
(9,15),-3.03891 # DEPENDENCYPART_ARC
(9,16),-2.54017 # DEPENDENCYPART_ARC
(9,17),-3.35664 # DEPENDENCYPART_ARC
(9,18),-3.23498 # DEPENDENCYPART_ARC
(9,19),-2.17095 # DEPENDENCYPART_ARC
(9,20),-4.03073 # DEPENDENCYPART_ARC
(9,22),-5.10523 # DEPENDENCYPART_ARC
(9,23),-4.81605 # DEPENDENCYPART_ARC
(9,24),-4.23434 # DEPENDENCYPART_ARC
(9,25),-3.26029 # DEPENDENCYPART_ARC
(9,26),-4.91804 # DEPENDENCYPART_ARC
(9,28),-4.61513 # DEPENDENCYPART_ARC
(9,29),-4.81654 # DEPENDENCYPART_ARC
(9,30),-4.69555 # DEPENDENCYPART_ARC
(9,31),-7.08169 # DEPENDENCYPART_ARC
(9,32),-5.36707 # DEPENDENCYPART_ARC
(9,33),-4.73084 # DEPENDENCYPART_ARC
(9,34),-5.83683 # DEPENDENCYPART_ARC
(9,36),-4.80049 # DEPENDENCYPART_ARC
(9,37),-6.53948 # DEPENDENCYPART_ARC
(10,1),-1.49275 # DEPENDENCYPART_ARC
(10,2),-2.61899 # DEPENDENCYPART_ARC
(10,3),-1.60023 # DEPENDENCYPART_ARC
(10,4),-1.69231 # DEPENDENCYPART_ARC
(10,5),-0.868442 # DEPENDENCYPART_ARC
(10,6),-0.952721 # DEPENDENCYPART_ARC
(10,7),-0.550369 # DEPENDENCYPART_ARC
(10,8),0.968713 # DEPENDENCYPART_ARC
(10,9),4.74126 # DEPENDENCYPART_ARC
(10,11),3.44403 # DEPENDENCYPART_ARC
(10,12),1.13135 # DEPENDENCYPART_ARC
(10,13),1.52773 # DEPENDENCYPART_ARC
(10,14),0.349694 # DEPENDENCYPART_ARC
(10,15),-0.469749 # DEPENDENCYPART_ARC
(10,16),1.17066 # DEPENDENCYPART_ARC
(10,17),-2.51125 # DEPENDENCYPART_ARC
(10,18),0.164862 # DEPENDENCYPART_ARC
(10,19),0.0489445 # DEPENDENCYPART_ARC
(10,20),-0.16134 # DEPENDENCYPART_ARC
(10,21),1.48745 # DEPENDENCYPART_ARC
(10,22),-0.667898 # DEPENDENCYPART_ARC
(10,23),-3.31186 # DEPENDENCYPART_ARC
(10,24),0.231453 # DEPENDENCYPART_ARC
(10,25),-1.27363 # DEPENDENCYPART_ARC
(10,26),-0.348917 # DEPENDENCYPART_ARC
(10,27),0.00452656 # DEPENDENCYPART_ARC
(10,28),-2.97262 # DEPENDENCYPART_ARC
(10,29),0.783369 # DEPENDENCYPART_ARC
(10,30),1.37979 # DEPENDENCYPART_ARC
(10,31),-3.87264 # DEPENDENCYPART_ARC
(10,32),-0.577596 # DEPENDENCYPART_ARC
(10,33),-1.53312 # DEPENDENCYPART_ARC
(10,34),-0.91546 # DEPENDENCYPART_ARC
(10,35),-1.45833 # DEPENDENCYPART_ARC
(10,36),-4.03048 # DEPENDENCYPART_ARC
(10,37),-1.07697 # DEPENDENCYPART_ARC
(10,38),1.62283 # DEPENDENCYPART_ARC
(11,1),-1.86918 # DEPENDENCYPART_ARC
(11,2),-2.23921 # DEPENDENCYPART_ARC
(11,3),-2.10496 # DEPENDENCYPART_ARC
(11,4),-1.43933 # DEPENDENCYPART_ARC
(11,5),-1.71139 # DEPENDENCYPART_ARC
(11,6),-1.17463 # DEPENDENCYPART_ARC
(11,7),-1.5965 # DEPENDENCYPART_ARC
(11,8),0.0522086 # DEPENDENCYPART_ARC
(11,9),0.787003 # DEPENDENCYPART_ARC
(11,10),0.578174 # DEPENDENCYPART_ARC
(11,12),4.37962 # DEPENDENCYPART_ARC
(11,13),-0.335499 # DEPENDENCYPART_ARC
(11,14),-0.630546 # DEPENDENCYPART_ARC
(11,15),-0.916998 # DEPENDENCYPART_ARC
(11,16),-0.891723 # DEPENDENCYPART_ARC
(11,17),-3.50017 # DEPENDENCYPART_ARC
(11,18),-3.71405 # DEPENDENCYPART_ARC
(11,19),-1.05594 # DEPENDENCYPART_ARC
(11,20),-4.84708 # DEPENDENCYPART_ARC
(11,21),0.0497416 # DEPENDENCYPART_ARC
(11,22),-2.70561 # DEPENDENCYPART_ARC
(11,23),-3.88869 # DEPENDENCYPART_ARC
(11,24),-6.80749 # DEPENDENCYPART_ARC
(11,25),-1.285 # DEPENDENCYPART_ARC
(11,26),-7.84877 # DEPENDENCYPART_ARC
(11,27),-2.12467 # DEPENDENCYPART_ARC
(11,28),-3.69455 # DEPENDENCYPART_ARC
(11,29),-10.1619 # DEPENDENCYPART_ARC
(11,30),-1.65756 # DEPENDENCYPART_ARC
(11,31),-3.54611 # DEPENDENCYPART_ARC
(11,32),-12.7709 # DEPENDENCYPART_ARC
(11,33),-2.3702 # DEPENDENCYPART_ARC
(11,34),-13.4144 # DEPENDENCYPART_ARC
(11,35),-3.8709 # DEPENDENCYPART_ARC
(11,36),-2.10815 # DEPENDENCYPART_ARC
(11,37),-15.2804 # DEPENDENCYPART_ARC
(11,38),-1.07808 # DEPENDENCYPART_ARC
(12,1),-1.66543 # DEPENDENCYPART_ARC
(12,2),-3.26413 # DEPENDENCYPART_ARC
(12,3),-1.88441 # DEPENDENCYPART_ARC
(12,4),-1.58175 # DEPENDENCYPART_ARC
(12,5),-1.14486 # DEPENDENCYPART_ARC
(12,6),-0.691351 # DEPENDENCYPART_ARC
(12,7),-0.945832 # DEPENDENCYPART_ARC
(12,8),-0.916793 # DEPENDENCYPART_ARC
(12,9),1.94896 # DEPENDENCYPART_ARC
(12,10),-0.0676772 # DEPENDENCYPART_ARC
(12,11),1.84095 # DEPENDENCYPART_ARC
(12,13),-0.239306 # DEPENDENCYPART_ARC
(12,14),-1.45829 # DEPENDENCYPART_ARC
(12,15),-1.71854 # DEPENDENCYPART_ARC
(12,16),-1.3424 # DEPENDENCYPART_ARC
(12,17),-3.30801 # DEPENDENCYPART_ARC
(12,18),-2.29759 # DEPENDENCYPART_ARC
(12,19),-1.94131 # DEPENDENCYPART_ARC
(12,20),-1.62653 # DEPENDENCYPART_ARC
(12,21),-1.62053 # DEPENDENCYPART_ARC
(12,22),-3.05037 # DEPENDENCYPART_ARC
(12,23),-4.1364 # DEPENDENCYPART_ARC
(12,24),-2.47291 # DEPENDENCYPART_ARC
(12,25),-3.54109 # DEPENDENCYPART_ARC
(12,26),-1.84937 # DEPENDENCYPART_ARC
(12,27),-2.66935 # DEPENDENCYPART_ARC
(12,28),-5.16157 # DEPENDENCYPART_ARC
(12,29),-1.86652 # DEPENDENCYPART_ARC
(12,30),-1.71641 # DEPENDENCYPART_ARC
(12,31),-4.62273 # DEPENDENCYPART_ARC
(12,32),-3.04089 # DEPENDENCYPART_ARC
(12,33),-4.67247 # DEPENDENCYPART_ARC
(12,34),-2.56985 # DEPENDENCYPART_ARC
(12,35),-4.11913 # DEPENDENCYPART_ARC
(12,36),-6.70791 # DEPENDENCYPART_ARC
(12,37),-2.58553 # DEPENDENCYPART_ARC
(12,38),-1.76421 # DEPENDENCYPART_ARC
(13,1),1.97552 # DEPENDENCYPART_ARC
(13,2),-1.50999 # DEPENDENCYPART_ARC
(13,3),2.04663 # DEPENDENCYPART_ARC
(13,4),-1.44519 # DEPENDENCYPART_ARC
(13,5),1.23603 # DEPENDENCYPART_ARC
(13,6),-1.80293 # DEPENDENCYPART_ARC
(13,7),0.637046 # DEPENDENCYPART_ARC
(13,8),-0.340396 # DEPENDENCYPART_ARC
(13,9),0.481253 # DEPENDENCYPART_ARC
(13,10),2.86242 # DEPENDENCYPART_ARC
(13,11),0.047631 # DEPENDENCYPART_ARC
(13,12),2.19705 # DEPENDENCYPART_ARC
(13,14),2.4963 # DEPENDENCYPART_ARC
(13,15),2.40781 # DEPENDENCYPART_ARC
(13,16),2.08968 # DEPENDENCYPART_ARC
(13,17),-2.21895 # DEPENDENCYPART_ARC
(13,18),1.61934 # DEPENDENCYPART_ARC
(13,19),0.770623 # DEPENDENCYPART_ARC
(13,20),-0.152684 # DEPENDENCYPART_ARC
(13,21),1.78596 # DEPENDENCYPART_ARC
(13,22),0.574681 # DEPENDENCYPART_ARC
(13,23),-2.84423 # DEPENDENCYPART_ARC
(13,24),0.716751 # DEPENDENCYPART_ARC
(13,25),0.325037 # DEPENDENCYPART_ARC
(13,26),-0.662641 # DEPENDENCYPART_ARC
(13,27),0.391496 # DEPENDENCYPART_ARC
(13,28),-2.97587 # DEPENDENCYPART_ARC
(13,29),0.307001 # DEPENDENCYPART_ARC
(13,30),1.04691 # DEPENDENCYPART_ARC
(13,31),-3.09591 # DEPENDENCYPART_ARC
(13,32),-0.863194 # DEPENDENCYPART_ARC
(13,33),-3.94997 # DEPENDENCYPART_ARC
(13,34),-2.35552 # DEPENDENCYPART_ARC
(13,35),2.75901 # DEPENDENCYPART_ARC
(13,36),-1.10293 # DEPENDENCYPART_ARC
(13,37),-2.46056 # DEPENDENCYPART_ARC
(13,38),7.41134 # DEPENDENCYPART_ARC
(14,1),-3.75678 # DEPENDENCYPART_ARC
(14,2),-3.61279 # DEPENDENCYPART_ARC
(14,3),-3.73531 # DEPENDENCYPART_ARC
(14,4),-3.25843 # DEPENDENCYPART_ARC
(14,5),-3.49273 # DEPENDENCYPART_ARC
(14,6),-3.17895 # DEPENDENCYPART_ARC
(14,7),-3.4672 # DEPENDENCYPART_ARC
(14,8),-2.59645 # DEPENDENCYPART_ARC
(14,9),-1.86803 # DEPENDENCYPART_ARC
(14,10),-2.53564 # DEPENDENCYPART_ARC
(14,11),-1.9181 # DEPENDENCYPART_ARC
(14,12),-1.84347 # DEPENDENCYPART_ARC
(14,13),-0.220341 # DEPENDENCYPART_ARC
(14,15),4.78612 # DEPENDENCYPART_ARC
(14,16),0.447105 # DEPENDENCYPART_ARC
(14,17),-2.05076 # DEPENDENCYPART_ARC
(14,18),-0.568537 # DEPENDENCYPART_ARC
(14,19),0.329388 # DEPENDENCYPART_ARC
(14,20),-1.5132 # DEPENDENCYPART_ARC
(14,21),0.652081 # DEPENDENCYPART_ARC
(14,22),-1.35934 # DEPENDENCYPART_ARC
(14,23),-2.88951 # DEPENDENCYPART_ARC
(14,24),-4.23919 # DEPENDENCYPART_ARC
(14,25),0.0100214 # DEPENDENCYPART_ARC
(14,26),-4.58774 # DEPENDENCYPART_ARC
(14,27),-0.906294 # DEPENDENCYPART_ARC
(14,28),-2.78517 # DEPENDENCYPART_ARC
(14,29),-7.43818 # DEPENDENCYPART_ARC
(14,30),-0.729757 # DEPENDENCYPART_ARC
(14,31),-2.59737 # DEPENDENCYPART_ARC
(14,32),-10.2942 # DEPENDENCYPART_ARC
(14,33),-0.988695 # DEPENDENCYPART_ARC
(14,34),-10.6313 # DEPENDENCYPART_ARC
(14,35),-2.61926 # DEPENDENCYPART_ARC
