# _root_ Tot_i_que ahir hi va haver una reunió de darrera hora , no es va aconseguir acostar posicions , de_manera_que els treballadors han decidit anar a la vaga .
#goldHeads=5,5,5,5,15,7,5,7,10,8,5,15,15,15,0,15,16,23,23,21,23,23,15,23,24,27,25,15,
#predictedHeads=5,5,5,5,0,7,5,7,10,8,4,15,15,15,7,15,16,23,23,21,23,23,16,23,24,27,25,16,
(7,22),-3.71606 # DEPENDENCYPART_ARC
(7,23),-1.84618 # DEPENDENCYPART_ARC
(7,24),-2.77418 # DEPENDENCYPART_ARC
(7,25),-2.6788 # DEPENDENCYPART_ARC
(7,26),-2.58076 # DEPENDENCYPART_ARC
(7,27),-2.10397 # DEPENDENCYPART_ARC
(7,28),0.392733 # DEPENDENCYPART_ARC
(8,1),-0.922236 # DEPENDENCYPART_ARC
(8,2),-1.76066 # DEPENDENCYPART_ARC
(8,3),-1.76886 # DEPENDENCYPART_ARC
(8,4),-0.949704 # DEPENDENCYPART_ARC
(8,5),-0.6769 # DEPENDENCYPART_ARC
(8,6),0.536287 # DEPENDENCYPART_ARC
(8,7),0.270563 # DEPENDENCYPART_ARC
(8,9),2.18018 # DEPENDENCYPART_ARC
(8,10),4.4845 # DEPENDENCYPART_ARC
(8,11),0.223194 # DEPENDENCYPART_ARC
(8,12),-1.25307 # DEPENDENCYPART_ARC
(8,13),-1.76053 # DEPENDENCYPART_ARC
(8,14),-0.189258 # DEPENDENCYPART_ARC
(8,15),0.0730862 # DEPENDENCYPART_ARC
(8,16),-1.60451 # DEPENDENCYPART_ARC
(8,17),-2.91519 # DEPENDENCYPART_ARC
(8,18),-1.28457 # DEPENDENCYPART_ARC
(8,19),-1.19867 # DEPENDENCYPART_ARC
(8,20),-3.30992 # DEPENDENCYPART_ARC
(8,21),-5.60516 # DEPENDENCYPART_ARC
(8,22),-4.00612 # DEPENDENCYPART_ARC
(8,23),-3.81586 # DEPENDENCYPART_ARC
(8,24),-4.45783 # DEPENDENCYPART_ARC
(8,25),-4.03061 # DEPENDENCYPART_ARC
(8,26),-3.60701 # DEPENDENCYPART_ARC
(8,27),-8.39391 # DEPENDENCYPART_ARC
(8,28),-1.27647 # DEPENDENCYPART_ARC
(9,1),-1.58373 # DEPENDENCYPART_ARC
(9,2),-2.03819 # DEPENDENCYPART_ARC
(9,6),-0.25126 # DEPENDENCYPART_ARC
(9,7),-0.398104 # DEPENDENCYPART_ARC
(9,8),0.906504 # DEPENDENCYPART_ARC
(9,10),0.851193 # DEPENDENCYPART_ARC
(9,11),-1.09257 # DEPENDENCYPART_ARC
(9,12),-1.09742 # DEPENDENCYPART_ARC
(9,15),-1.17394 # DEPENDENCYPART_ARC
(9,16),-1.93897 # DEPENDENCYPART_ARC
(9,17),-2.61258 # DEPENDENCYPART_ARC
(9,18),-1.86335 # DEPENDENCYPART_ARC
(9,19),-2.19483 # DEPENDENCYPART_ARC
(9,20),-4.55821 # DEPENDENCYPART_ARC
(9,21),-3.09253 # DEPENDENCYPART_ARC
(9,23),-2.95899 # DEPENDENCYPART_ARC
(9,24),-3.39461 # DEPENDENCYPART_ARC
(9,25),-4.18583 # DEPENDENCYPART_ARC
(9,26),-3.91659 # DEPENDENCYPART_ARC
(9,27),-2.85128 # DEPENDENCYPART_ARC
(9,28),-1.99144 # DEPENDENCYPART_ARC
(10,1),-0.568819 # DEPENDENCYPART_ARC
(10,2),-0.602816 # DEPENDENCYPART_ARC
(10,3),0.726237 # DEPENDENCYPART_ARC
(10,4),-1.47275 # DEPENDENCYPART_ARC
(10,5),-0.522402 # DEPENDENCYPART_ARC
(10,6),2.60501 # DEPENDENCYPART_ARC
(10,7),0.156093 # DEPENDENCYPART_ARC
(10,8),1.34454 # DEPENDENCYPART_ARC
(10,9),5.38834 # DEPENDENCYPART_ARC
(10,11),0.258191 # DEPENDENCYPART_ARC
(10,12),-0.164718 # DEPENDENCYPART_ARC
(10,14),1.1515 # DEPENDENCYPART_ARC
(10,15),0.57125 # DEPENDENCYPART_ARC
(10,16),-0.428246 # DEPENDENCYPART_ARC
(10,17),-0.747994 # DEPENDENCYPART_ARC
(10,18),-0.95984 # DEPENDENCYPART_ARC
(10,19),-0.389235 # DEPENDENCYPART_ARC
(10,20),-3.42744 # DEPENDENCYPART_ARC
(10,21),-2.4629 # DEPENDENCYPART_ARC
(10,22),-4.1281 # DEPENDENCYPART_ARC
(10,23),-2.73626 # DEPENDENCYPART_ARC
(10,24),-3.72388 # DEPENDENCYPART_ARC
(10,25),-3.5311 # DEPENDENCYPART_ARC
(10,26),-2.84585 # DEPENDENCYPART_ARC
(10,27),-2.43987 # DEPENDENCYPART_ARC
(10,28),0.454807 # DEPENDENCYPART_ARC
(11,7),-2.22212 # DEPENDENCYPART_ARC
(11,10),-0.734718 # DEPENDENCYPART_ARC
(11,17),-2.14205 # DEPENDENCYPART_ARC
(11,18),-1.63735 # DEPENDENCYPART_ARC
(11,21),-2.26074 # DEPENDENCYPART_ARC
(11,27),-2.38483 # DEPENDENCYPART_ARC
(12,1),-2.21883 # DEPENDENCYPART_ARC
(12,6),-2.54155 # DEPENDENCYPART_ARC
(12,8),-1.42238 # DEPENDENCYPART_ARC
(12,11),-0.101228 # DEPENDENCYPART_ARC
(12,18),-2.35046 # DEPENDENCYPART_ARC
(12,19),-3.2454 # DEPENDENCYPART_ARC
(12,25),-4.56017 # DEPENDENCYPART_ARC
(12,28),-1.53892 # DEPENDENCYPART_ARC
(14,1),-0.439273 # DEPENDENCYPART_ARC
(14,2),-0.818699 # DEPENDENCYPART_ARC
(14,3),-3.13761 # DEPENDENCYPART_ARC
(14,4),-0.537006 # DEPENDENCYPART_ARC
(14,5),-1.36878 # DEPENDENCYPART_ARC
(14,6),-3.18696 # DEPENDENCYPART_ARC
(14,7),-1.01913 # DEPENDENCYPART_ARC
(14,8),-2.61977 # DEPENDENCYPART_ARC
(14,10),-1.7423 # DEPENDENCYPART_ARC
(14,11),-0.81945 # DEPENDENCYPART_ARC
(14,12),0.99234 # DEPENDENCYPART_ARC
(14,13),1.52668 # DEPENDENCYPART_ARC
(14,15),-0.000803799 # DEPENDENCYPART_ARC
(14,16),-0.308034 # DEPENDENCYPART_ARC
(14,17),-0.157316 # DEPENDENCYPART_ARC
(14,18),-0.0840672 # DEPENDENCYPART_ARC
(14,19),-1.084 # DEPENDENCYPART_ARC
(14,20),-5.13328 # DEPENDENCYPART_ARC
(14,21),-2.64574 # DEPENDENCYPART_ARC
(14,22),-2.65712 # DEPENDENCYPART_ARC
(14,23),-3.10645 # DEPENDENCYPART_ARC
(14,24),-2.38582 # DEPENDENCYPART_ARC
(14,25),-2.0954 # DEPENDENCYPART_ARC
(14,26),-5.09187 # DEPENDENCYPART_ARC
(14,27),-2.52874 # DEPENDENCYPART_ARC
(14,28),0.191818 # DEPENDENCYPART_ARC
(15,1),0.426653 # DEPENDENCYPART_ARC
(15,2),0.940255 # DEPENDENCYPART_ARC
(15,3),-0.293488 # DEPENDENCYPART_ARC
(15,4),1.16771 # DEPENDENCYPART_ARC
(15,5),0.0994284 # DEPENDENCYPART_ARC
(15,7),0.665809 # DEPENDENCYPART_ARC
(15,8),-1.2241 # DEPENDENCYPART_ARC
(15,9),-0.434759 # DEPENDENCYPART_ARC
(15,10),-0.358295 # DEPENDENCYPART_ARC
(15,11),0.212562 # DEPENDENCYPART_ARC
(15,12),2.82442 # DEPENDENCYPART_ARC
(15,13),3.17084 # DEPENDENCYPART_ARC
(15,14),4.99679 # DEPENDENCYPART_ARC
(15,16),3.22292 # DEPENDENCYPART_ARC
(15,17),3.21305 # DEPENDENCYPART_ARC
(15,18),1.22941 # DEPENDENCYPART_ARC
(15,19),0.516393 # DEPENDENCYPART_ARC
(15,20),-2.83911 # DEPENDENCYPART_ARC
(15,21),-0.966675 # DEPENDENCYPART_ARC
(15,22),0.162487 # DEPENDENCYPART_ARC
(15,23),0.0302137 # DEPENDENCYPART_ARC
(15,24),0.0781757 # DEPENDENCYPART_ARC
(15,25),-1.45839 # DEPENDENCYPART_ARC
(15,26),-3.26659 # DEPENDENCYPART_ARC
(15,27),-1.26907 # DEPENDENCYPART_ARC
(15,28),2.91839 # DEPENDENCYPART_ARC
(16,1),-0.0935281 # DEPENDENCYPART_ARC
(16,2),-0.32042 # DEPENDENCYPART_ARC
(16,3),-1.07212 # DEPENDENCYPART_ARC
(16,4),-0.022573 # DEPENDENCYPART_ARC
(16,5),-1.45602 # DEPENDENCYPART_ARC
(16,7),-1.10501 # DEPENDENCYPART_ARC
(16,8),-2.51187 # DEPENDENCYPART_ARC
(16,9),-2.03401 # DEPENDENCYPART_ARC
(16,10),-1.96684 # DEPENDENCYPART_ARC
(16,11),-1.78036 # DEPENDENCYPART_ARC
(16,12),1.26708 # DEPENDENCYPART_ARC
(16,13),1.41266 # DEPENDENCYPART_ARC
(16,14),2.72079 # DEPENDENCYPART_ARC
(16,15),1.9334 # DEPENDENCYPART_ARC
(16,17),4.41681 # DEPENDENCYPART_ARC
(16,18),1.09218 # DEPENDENCYPART_ARC
(16,19),0.636029 # DEPENDENCYPART_ARC
(16,20),-2.8939 # DEPENDENCYPART_ARC
(16,21),-0.697776 # DEPENDENCYPART_ARC
(16,22),0.781628 # DEPENDENCYPART_ARC
(16,23),0.155879 # DEPENDENCYPART_ARC
(16,24),0.292997 # DEPENDENCYPART_ARC
(16,25),-0.362924 # DEPENDENCYPART_ARC
(16,26),-3.80226 # DEPENDENCYPART_ARC
(16,27),-1.68772 # DEPENDENCYPART_ARC
(16,28),3.72608 # DEPENDENCYPART_ARC
(17,1),-2.2561 # DEPENDENCYPART_ARC
(17,2),-2.5007 # DEPENDENCYPART_ARC
(17,3),-1.71818 # DEPENDENCYPART_ARC
(17,4),-2.76598 # DEPENDENCYPART_ARC
(17,5),-3.17243 # DEPENDENCYPART_ARC
(17,6),-2.63461 # DEPENDENCYPART_ARC
(17,7),-2.88449 # DEPENDENCYPART_ARC
(17,8),-1.57142 # DEPENDENCYPART_ARC
(17,9),-2.19868 # DEPENDENCYPART_ARC
(17,10),-2.51715 # DEPENDENCYPART_ARC
(17,11),-1.43356 # DEPENDENCYPART_ARC
(17,12),-1.26657 # DEPENDENCYPART_ARC
(17,14),-1.1043 # DEPENDENCYPART_ARC
(17,15),-1.01148 # DEPENDENCYPART_ARC
(17,16),0.085293 # DEPENDENCYPART_ARC
(17,18),0.469943 # DEPENDENCYPART_ARC
(17,19),0.506123 # DEPENDENCYPART_ARC
(17,20),-1.77856 # DEPENDENCYPART_ARC
(17,21),-0.390473 # DEPENDENCYPART_ARC
(17,22),0.0126426 # DEPENDENCYPART_ARC
(17,23),-0.845315 # DEPENDENCYPART_ARC
(17,24),-2.10049 # DEPENDENCYPART_ARC
(17,25),-2.7145 # DEPENDENCYPART_ARC
(17,26),-3.30096 # DEPENDENCYPART_ARC
(17,27),-2.30984 # DEPENDENCYPART_ARC
(17,28),-0.198732 # DEPENDENCYPART_ARC
(18,7),-3.75243 # DEPENDENCYPART_ARC
(18,10),-3.58752 # DEPENDENCYPART_ARC
(18,11),-2.02467 # DEPENDENCYPART_ARC
(18,17),-1.28084 # DEPENDENCYPART_ARC
(18,21),-1.47299 # DEPENDENCYPART_ARC
(18,27),-2.40272 # DEPENDENCYPART_ARC
(19,1),-2.3846 # DEPENDENCYPART_ARC
(19,2),-2.63498 # DEPENDENCYPART_ARC
(19,3),-2.68296 # DEPENDENCYPART_ARC
(19,4),-3.14555 # DEPENDENCYPART_ARC
(19,5),-3.24486 # DEPENDENCYPART_ARC
(19,6),-2.90425 # DEPENDENCYPART_ARC
(19,7),-3.34011 # DEPENDENCYPART_ARC
(19,8),-2.29269 # DEPENDENCYPART_ARC
(19,10),-3.12967 # DEPENDENCYPART_ARC
(19,11),-1.99131 # DEPENDENCYPART_ARC
(19,12),-2.31625 # DEPENDENCYPART_ARC
(19,14),-2.49553 # DEPENDENCYPART_ARC
(19,15),-2.2759 # DEPENDENCYPART_ARC
(19,16),-1.83819 # DEPENDENCYPART_ARC
(19,17),-1.37129 # DEPENDENCYPART_ARC
(19,18),0.921044 # DEPENDENCYPART_ARC
(19,21),0.0450247 # DEPENDENCYPART_ARC
(19,22),0.185198 # DEPENDENCYPART_ARC
(19,23),-0.71711 # DEPENDENCYPART_ARC
(19,24),-0.941911 # DEPENDENCYPART_ARC
(19,25),-1.2849 # DEPENDENCYPART_ARC
(19,27),-2.24129 # DEPENDENCYPART_ARC
(19,28),-0.0512396 # DEPENDENCYPART_ARC
(20,2),-3.13581 # DEPENDENCYPART_ARC
(20,6),-3.27142 # DEPENDENCYPART_ARC
(20,7),-3.55966 # DEPENDENCYPART_ARC
(20,8),-3.03305 # DEPENDENCYPART_ARC
(20,9),-3.41152 # DEPENDENCYPART_ARC
(20,10),-3.32591 # DEPENDENCYPART_ARC
(20,17),-1.42189 # DEPENDENCYPART_ARC
(20,21),0.395238 # DEPENDENCYPART_ARC
(20,25),-2.81687 # DEPENDENCYPART_ARC
(20,26),-3.71192 # DEPENDENCYPART_ARC
(20,27),-4.01689 # DEPENDENCYPART_ARC
(21,1),-1.44606 # DEPENDENCYPART_ARC
(21,2),-2.34649 # DEPENDENCYPART_ARC
(21,3),-2.04053 # DEPENDENCYPART_ARC
(21,4),-1.7068 # DEPENDENCYPART_ARC
(21,5),-2.81152 # DEPENDENCYPART_ARC
(21,6),-2.55781 # DEPENDENCYPART_ARC
(21,7),-2.94783 # DEPENDENCYPART_ARC
(21,8),-1.33043 # DEPENDENCYPART_ARC
(21,9),-3.04927 # DEPENDENCYPART_ARC
(21,10),-3.09892 # DEPENDENCYPART_ARC
(21,11),-1.5466 # DEPENDENCYPART_ARC
(21,12),-1.46509 # DEPENDENCYPART_ARC
(21,14),-0.581676 # DEPENDENCYPART_ARC
(21,15),-1.82252 # DEPENDENCYPART_ARC
(21,16),-1.38082 # DEPENDENCYPART_ARC
(21,17),-1.13865 # DEPENDENCYPART_ARC
(21,18),-0.669574 # DEPENDENCYPART_ARC
(21,19),0.557767 # DEPENDENCYPART_ARC
(21,20),4.88549 # DEPENDENCYPART_ARC
(21,22),0.763536 # DEPENDENCYPART_ARC
(21,23),-0.389369 # DEPENDENCYPART_ARC
(21,24),-1.70783 # DEPENDENCYPART_ARC
(21,25),-2.10894 # DEPENDENCYPART_ARC
(21,26),-4.17508 # DEPENDENCYPART_ARC
(21,27),-2.25835 # DEPENDENCYPART_ARC
(21,28),-0.641348 # DEPENDENCYPART_ARC
(22,1),-3.33015 # DEPENDENCYPART_ARC
(22,2),-2.59501 # DEPENDENCYPART_ARC
(22,3),-6.23382 # DEPENDENCYPART_ARC
(22,4),-4.21456 # DEPENDENCYPART_ARC
(22,5),-4.01455 # DEPENDENCYPART_ARC
(22,6),-6.46445 # DEPENDENCYPART_ARC
(22,7),-3.78831 # DEPENDENCYPART_ARC
(22,8),-6.35547 # DEPENDENCYPART_ARC
(22,10),-4.90424 # DEPENDENCYPART_ARC
(22,11),-5.13472 # DEPENDENCYPART_ARC
(22,12),-3.18496 # DEPENDENCYPART_ARC
(22,13),-3.38716 # DEPENDENCYPART_ARC
(22,14),-3.39738 # DEPENDENCYPART_ARC
(22,15),-3.95727 # DEPENDENCYPART_ARC
(22,16),-4.21539 # DEPENDENCYPART_ARC
(22,17),-2.63765 # DEPENDENCYPART_ARC
(22,18),-1.16065 # DEPENDENCYPART_ARC
(22,19),-0.451634 # DEPENDENCYPART_ARC
(22,20),-1.62732 # DEPENDENCYPART_ARC
(22,21),-0.252128 # DEPENDENCYPART_ARC
(22,23),-0.559124 # DEPENDENCYPART_ARC
(22,24),-1.07156 # DEPENDENCYPART_ARC
(22,25),-1.15972 # DEPENDENCYPART_ARC
(22,26),-5.9178 # DEPENDENCYPART_ARC
(22,27),-1.64245 # DEPENDENCYPART_ARC
(22,28),0.331616 # DEPENDENCYPART_ARC
(23,1),0.122019 # DEPENDENCYPART_ARC
(23,2),0.542167 # DEPENDENCYPART_ARC
(23,3),-1.17548 # DEPENDENCYPART_ARC
(23,4),-0.239488 # DEPENDENCYPART_ARC
(23,5),-0.80437 # DEPENDENCYPART_ARC
(23,7),-0.318722 # DEPENDENCYPART_ARC
(23,8),-3.31706 # DEPENDENCYPART_ARC
(23,9),-1.56385 # DEPENDENCYPART_ARC
(23,10),-1.48492 # DEPENDENCYPART_ARC
(23,11),-2.17575 # DEPENDENCYPART_ARC
(23,12),0.34191 # DEPENDENCYPART_ARC
(23,13),0.537349 # DEPENDENCYPART_ARC
(23,14),0.648682 # DEPENDENCYPART_ARC
(23,15),-0.588601 # DEPENDENCYPART_ARC
(23,16),-0.936183 # DEPENDENCYPART_ARC
(23,17),-0.212505 # DEPENDENCYPART_ARC
(23,18),1.68867 # DEPENDENCYPART_ARC
(23,19),2.32307 # DEPENDENCYPART_ARC
(23,20),0.740488 # DEPENDENCYPART_ARC
(23,21),1.94377 # DEPENDENCYPART_ARC
(23,22),4.60145 # DEPENDENCYPART_ARC
(23,24),2.77861 # DEPENDENCYPART_ARC
(23,25),1.88376 # DEPENDENCYPART_ARC
(23,26),-2.31461 # DEPENDENCYPART_ARC
(23,27),1.21837 # DEPENDENCYPART_ARC
(23,28),3.25609 # DEPENDENCYPART_ARC
(24,1),-2.295 # DEPENDENCYPART_ARC
(24,2),-1.57555 # DEPENDENCYPART_ARC
(24,3),-3.95639 # DEPENDENCYPART_ARC
(24,4),-2.15203 # DEPENDENCYPART_ARC
(24,5),-3.19038 # DEPENDENCYPART_ARC
(24,7),-1.54359 # DEPENDENCYPART_ARC
(24,8),-4.75128 # DEPENDENCYPART_ARC
(24,9),-2.82553 # DEPENDENCYPART_ARC
(24,10),-2.69946 # DEPENDENCYPART_ARC
(24,11),-4.9699 # DEPENDENCYPART_ARC
(24,12),-1.24315 # DEPENDENCYPART_ARC
(24,13),-1.27403 # DEPENDENCYPART_ARC
(24,14),-0.927259 # DEPENDENCYPART_ARC
(24,15),-2.50668 # DEPENDENCYPART_ARC
(24,16),-3.41486 # DEPENDENCYPART_ARC
(24,17),-1.66482 # DEPENDENCYPART_ARC
(24,18),-0.558699 # DEPENDENCYPART_ARC
(24,19),0.234402 # DEPENDENCYPART_ARC
(24,20),-1.49622 # DEPENDENCYPART_ARC
(24,21),0.707275 # DEPENDENCYPART_ARC
(24,22),2.99949 # DEPENDENCYPART_ARC
(24,23),1.4836 # DEPENDENCYPART_ARC
(24,25),3.87367 # DEPENDENCYPART_ARC
